geo,time,ny_adj_dco2_cd
are,1998,1395417047.99792
are,1999,1391995360.31976
are,2000,2089852336.06071
are,2001,1967266384.21575
are,2002,1705881462.80194
are,2003,2241025854.01067
are,2004,2493982361.99512
are,2005,2696845325.40924
are,2006,3028382885.74595
are,2007,3483630112.93651
are,2008,4210257530.42586
are,2009,4644385457.56932
are,2010,4528681217.92134
are,2011,5114817493.15133
are,2012,6826119579.6931
are,2013,7131899718.75179
are,2014,7610038270.41736
are,2015,6771387973.79865
are,2016,7410567992.891
are,2017,8019372559.6594
are,2018,8624372800.4131
are,2019,9274702865.27338
arg,1970,218773138.63082
arg,1971,252661827.17769
arg,1972,273204005.05198
arg,1973,307435565.67505
arg,1974,348115562.79134
arg,1975,386321557.43828
arg,1976,438067823.55458
arg,1977,480546672.18184
arg,1978,535563336.20468
arg,1979,639637834.959
arg,1980,700448885.84636
arg,1981,735699942.31911
arg,1982,809551942.39138
arg,1983,875071868.30608
arg,1984,938574831.34998
arg,1985,934967651.97838
arg,1986,1010309664.86923
arg,1987,1167575782.677
arg,1988,1306183921.13459
arg,1989,1337862844.0924
arg,1990,1359259109.51516
arg,1991,1500269380.36514
arg,1992,1625979991.67428
arg,1993,1653919804.92175
arg,1994,1792880010.44291
arg,1995,1956596430.81206
arg,1996,2149290133.01743
arg,1997,2285278853.03117
arg,1998,2394009233.53424
arg,1999,2610553035.49791
arg,2000,2638935574.60415
arg,2001,2594233391.19848
arg,2002,2513082757.94394
arg,2003,2834528305.45746
arg,2004,3472730842.97509
arg,2005,3766535182.9429
arg,2006,4294001186.08986
arg,2007,4501879947.116
arg,2008,5065865162.01731
arg,2009,4966938933.41917
arg,2010,5364650414.23875
arg,2011,5710742963.53046
arg,2012,5994863167.86454
arg,2013,6259089515.42019
arg,2014,6588168205.27505
arg,2015,6993985895.25389
arg,2016,7231839817.89139
arg,2017,7717081089.00602
arg,2018,7846016539.88314
arg,2019,7977436638.91536
arm,1992,78073375.23858
arm,1993,35846329.30223
arm,1994,39637681.54659
arm,1995,52144505.97934
arm,1996,40808197.82641
arm,1997,53558376.69059
arm,1998,57577278.30337
arm,1999,53535778.13984
arm,2000,64337713.6297
arm,2001,68722356.60335
arm,2002,61330746.51848
arm,2003,71956015.57349
arm,2004,80323314.90209
arm,2005,101047564.39944
arm,2006,107166034.36711
arm,2007,129955254.17247
arm,2008,148724449.39489
arm,2009,120337647.56368
arm,2010,120186930.16561
arm,2011,146549799.33585
arm,2012,176865489.46016
arm,2013,177619127.72116
arm,2014,186086228.50315
arm,2015,167012186.20067
arm,2016,185181882.12929
arm,2017,204620653.88765
arm,2018,222462745.50028
arm,2019,246182756.7908
asm,1980,2738155.32064
asm,1981,3602071.17378
asm,1982,5451247.00226
asm,1983,3651614.42804
asm,1984,4414117.55388
asm,1985,4362033.45693
asm,1986,4696774.50715
asm,1987,5109767.24706
asm,1988,5256750.73354
asm,1989,6265534.61267
asm,1990,6998732.15278
asm,1991,7398211.28544
asm,1992,7966273.77152
asm,1993,8111589.88877
asm,1994,8244334.83781
asm,1995,8369701.58005
asm,1996,8738485.65947
asm,1997,9321001.11623
asm,1998,9637969.23767
asm,1999,9997147.51045
asm,2000,10219220.1389
asm,2001,10678367.35313
asm,2002,11282954.6536
asm,2003,11751090.75456
asm,2004,12338942.0059
asm,2005,13744277.27251
asm,2006,14733041.92149
asm,2007,15469246.79025
asm,2008,16169042.64596
asm,2009,16613428.01461
asm,2010,17185214.04381
asm,2011,10592458.29216
asm,2012,11068792.02286
asm,2013,11484931.58464
asm,2014,11960606.56321
asm,2015,12357117.5416
asm,2016,12765961.33161
asm,2017,13299069.7453
asm,2018,13929599.06723
asm,2019,13542294.12136
atg,1970,1221762.94067
atg,1971,1208409.82735
atg,1972,1133442.14249
atg,1973,1078637.17881
atg,1974,1562793.37144
atg,1975,2880101.22781
atg,1976,1770816.57324
atg,1977,2220382.28069
atg,1978,2563968.81213
atg,1979,2351843.37608
atg,1980,921239.21856
atg,1981,766712.12589
atg,1982,2296275.54217
atg,1983,701472.63945
atg,1984,1292402.26011
atg,1985,2317566.44678
atg,1986,2417434.01285
atg,1987,2793689.06367
atg,1988,3075600.61126
atg,1989,3268087.49614
atg,1990,3422259.14504
atg,1991,3429670.39635
atg,1992,3537623.04416
atg,1993,3805779.58159
atg,1994,3920800.47819
atg,1995,4205202.09511
atg,1996,4670466.13178
atg,1997,5100797.78006
atg,1998,5462620.73325
atg,1999,5861581.54816
atg,2000,6399730.24465
atg,2001,6758409.81089
atg,2002,7463139.03418
atg,2003,8465413.59688
atg,2004,9292938.84682
atg,2005,9968435.94834
atg,2006,10860209.51291
atg,2007,12062561.66358
atg,2008,12868495.9516
atg,2009,14068068.13402
atg,2010,14971020.04676
atg,2011,15299755.33708
atg,2012,16285746.93677
atg,2013,16944319.72257
atg,2014,17769507.23107
atg,2015,18996042.5526
atg,2016,20019662.9329
atg,2017,22083131.37676
atg,2018,25499064.79252
atg,2019,28556064.87646
aus,1970,390343563.01402
aus,1971,434006639.88938
aus,1972,477234702.87835
aus,1973,558853907.1974
aus,1974,627815504.655
aus,1975,715757384.9262
aus,1976,764944464.64219
aus,1977,895321075.54508
aus,1978,1054097327.31388
aus,1979,1184884118.2024
aus,1980,1421968166.12752
aus,1981,1660857094.78155
aus,1982,1832571399.87158
aus,1983,1871376507.99501
aus,1984,2084644845.56098
aus,1985,2242041046.10309
aus,1986,2326389181.86346
aus,1987,2601520505.27818
aus,1988,2808062788.85467
aus,1989,3173773842.88483
aus,1990,3196167816.84477
aus,1991,3349989286.868
aus,1992,3590687389.82735
aus,1993,3890483892.00272
aus,1994,4073550568.04866
aus,1995,4309715384.51221
aus,1996,4810638496.55763
aus,1997,5063816996.15035
aus,1998,5425889317.97789
aus,1999,5778347090.17404
aus,2000,6116508140.20374
aus,2001,6302110436.91955
aus,2002,6878501845.67733
aus,2003,7057230524.19254
aus,2004,7551926955.91011
aus,2005,8136032940.29963
aus,2006,8942260611.41505
aus,2007,9562407281.27652
aus,2008,10337724492.0538
aus,2009,10896275419.978
aus,2010,11159063327.0226
aus,2011,11676991841.1901
aus,2012,12054072119.0807
aus,2013,12030703986.5143
aus,2014,12158785322.8598
aus,2015,12701467995.8887
aus,2016,13501550440.2248
aus,2017,13940360435.8488
aus,2018,14563383641.9892
aus,2019,15024708971.0751
aut,1970,134044848.34822
aut,1971,148165629.08998
aut,1972,170283013.64258
aut,1973,196635557.6965
aut,1974,209334168.52375
aut,1975,221349956.0214
aut,1976,256446436.47011
aut,1977,268036856.26209
aut,1978,299946082.8276
aut,1979,355891109.8018
aut,1980,336937338.80931
aut,1981,404691810.72622
aut,1982,421653596.43063
aut,1983,432351136.38321
aut,1984,480644400.53573
aut,1985,508399098.33272
aut,1986,524298776.78636
aut,1987,586562955.80841
aut,1988,573560083.22236
aut,1989,618338913.69252
aut,1990,700452001.63355
aut,1991,790750444.39688
aut,1992,760687221.80223
aut,1993,802505197.1765
aut,1994,837386304.8685
aut,1995,916173363.12096
aut,1996,1008295257.02415
aut,1997,1039894785.51732
aut,1998,1092524146.65064
aut,1999,1101456301.58273
aut,2000,1156036378.2353
aut,2001,1278050865.81694
aut,2002,1350310917.92613
aut,2003,1507997994.82621
aut,2004,1589739008.11749
aut,2005,1715082184.95839
aut,2006,1757828126.53254
aut,2007,1784034022.29078
aut,2008,1843338370.47227
aut,2009,1733105026.8129
aut,2010,1928958352.17886
aut,2011,1939025421.04105
aut,2012,1935612272.2891
aut,2013,2020521258.10622
aut,2014,1982163851.75473
aut,2015,2129979080.04168
aut,2016,2207036130.04309
aut,2017,2301478462.38505
aut,2018,2417239397.90875
aut,2019,2497946638.24008
aze,1992,753562842.06051
aze,1993,679537373.12824
aze,1994,614813740.73695
aze,1995,509670493.92714
aze,1996,497638166.34091
aze,1997,493623632.78659
aze,1998,542369171.19358
aze,1999,507547833.3866
aze,2000,547857758.28383
aze,2001,558173509.22348
aze,2002,596755552.87137
aze,2003,642524892.00327
aze,2004,707152242.16114
aze,2005,797815677.09639
aze,2006,958660312.45821
aze,2007,784066508.13266
aze,2008,951089906.89648
aze,2009,880519372.4172
aze,2010,875857018.95947
aze,2011,990877726.00908
aze,2012,1099344861.40307
aze,2013,1147000104.29675
aze,2014,1258056432.08862
aze,2015,1307157210.01181
aze,2016,1351195539.66176
aze,2017,1395034937.27999
aze,2018,1467583002.58878
aze,2019,1547315423.0847
bdi,1970,164841.03168
bdi,1971,208346.52196
bdi,1972,222243.55735
bdi,1973,239697.15085
bdi,1974,333930.20757
bdi,1975,313378.89007
bdi,1976,386359.97962
bdi,1977,472049.77621
bdi,1978,535754.67716
bdi,1979,635633.34489
bdi,1980,944860.73699
bdi,1981,1136849.01426
bdi,1982,1234248.10392
bdi,1983,1707933.383
bdi,1984,1938603.39017
bdi,1985,2147157.14922
bdi,1986,2275232.01209
bdi,1987,2532944.75106
bdi,1988,2444708.17818
bdi,1989,3058594.70792
bdi,1990,2533360.66581
bdi,1991,3053816.10634
bdi,1992,2898885.55008
bdi,1993,3188626.13592
bdi,1994,3437414.11786
bdi,1995,3644508.48243
bdi,1996,3853134.55872
bdi,1997,4129217.25052
bdi,1998,4269634.59611
bdi,1999,4493879.18692
bdi,2000,5038085.51174
bdi,2001,3983904.73063
bdi,2002,4285763.00973
bdi,2003,3386165.43875
bdi,2004,4363640.84981
bdi,2005,3578412.90453
bdi,2006,4577443.679
bdi,2007,4806176.91283
bdi,2008,5108105.26323
bdi,2009,5262874.40985
bdi,2010,8794165.62187
bdi,2011,12676940.13643
bdi,2012,12071952.27481
bdi,2013,13271075.5869
bdi,2014,12956932.35599
bdi,2015,14023924.03212
bdi,2016,17780621.68382
bdi,2017,20122895.79289
bdi,2018,23150141.50163
bdi,2019,26564741.2671
bel,1970,332174071.89416
bel,1971,345240604.20944
bel,1972,396471394.13688
bel,1973,453878539.9844
bel,1974,492547056.17108
bel,1975,496884614.41681
bel,1976,570750279.8877
bel,1977,603454447.2469
bel,1978,708879974.2662
bel,1979,810263012.50463
bel,1980,871563165.31458
bel,1981,894171407.23666
bel,1982,920146313.19106
bel,1983,845274530.53475
bel,1984,928881814.39914
bel,1985,970992177.48202
bel,1986,997333732.30027
bel,1987,1047447152.93914
bel,1988,1079102076.00345
bel,1989,1227837231.7224
bel,1990,1285347200.96715
bel,1991,1421621870.18034
bel,1992,1500246972.64626
bel,1993,1509814475.35955
bel,1994,1645339751.35281
bel,1995,1717516674.36483
bel,1996,1879570713.90727
bel,1997,1910005873.4985
bel,1998,2026883447.01318
bel,1999,2029344660.65613
bel,2000,2137305655.0024
bel,2001,2221880581.19648
bel,2002,2162389115.80334
bel,2003,2369700140.68326
bel,2004,2448325749.39987
bel,2005,2521929094.62337
bel,2006,2623952273.63691
bel,2007,2663941352.3911
bel,2008,2797964657.9356
bel,2009,2740844267.1759
bel,2010,3147892522.83928
bel,2011,2979299499.99555
bel,2012,2954553376.08826
bel,2013,3150577042.68041
bel,2014,3148534562.50525
bel,2015,3453964998.89204
bel,2016,3479996934.29603
bel,2017,3607529988.10649
bel,2018,3767584966.60584
bel,2019,3913081233.21587
ben,1970,746632.90819
ben,1971,833386.08783
ben,1972,1177890.85396
ben,1973,1246425.1844
ben,1974,1482650.12163
ben,1975,1805659.31899
ben,1976,1142981.60636
ben,1977,1416149.32863
ben,1978,1894275.46568
ben,1979,2118777.81629
ben,1980,3330634.09788
ben,1981,3093286.85275
ben,1982,3846261.53313
ben,1983,3781852.49094
ben,1984,4426477.74088
ben,1985,6918617.48083
ben,1986,6647943.53533
ben,1987,5475630.5648
ben,1988,5954047.33718
ben,1989,7206551.91456
ben,1990,8577870.32457
ben,1991,10523920.12031
ben,1992,12037745.08084
ben,1993,15891701.22581
ben,1994,18529810.4791
ben,1995,20297108.77906
ben,1996,20141385.19329
ben,1997,20160295.98784
ben,1998,20783074.28399
ben,1999,27744819.32795
ben,2000,29683855.1773
ben,2001,35214872.17252
ben,2002,41897028.04335
ben,2003,49407232.08361
ben,2004,55272784.09761
ben,2005,55635800.63477
