geo,time,se_pre_tcaq_ma_zs
hkg,2001,55.55556
hkg,2002,50
hkg,2003,59.09091
hkg,2004,51.35135
hkg,2005,56.71642
hkg,2007,70.93023
hkg,2008,64.51613
hkg,2009,70.93023
hkg,2010,64.07767
hkg,2011,63.49206
hkg,2012,71.53285
hkg,2013,70.28986
hkg,2014,70.34884
hkg,2015,72.72727
hkg,2016,71.60494
hkg,2017,76.75277
hkg,2018,81.48148
hkg,2019,81.32911
hkg,2020,81.6156
hnd,2004,52.90909
hnd,2013,41.2037
hrv,1999,85.71429
hrv,2000,89.47368
hrv,2001,94.11765
hrv,2002,90.90909
hrv,2003,100
jam,2015,81.62072
jam,2018,92.94606
jam,2019,100
jam,2020,100
jor,2013,100
kaz,2014,100
ken,2003,49.19321
ken,2004,54.05466
ken,2005,54.54747
ken,2006,54.54162
ken,2007,55.03252
ken,2008,73.24809
ken,2009,92.49232
ken,2012,75.59577
ken,2014,90.00112
kgz,2003,33.33333
kgz,2004,100
kgz,2005,38.88889
kgz,2006,40
kgz,2007,44.44444
kgz,2008,50
kgz,2009,44
kgz,2010,42.30769
kgz,2011,48
khm,2012,100
khm,2013,100
khm,2014,100
khm,2015,100
khm,2016,100
khm,2017,100
khm,2018,100
khm,2020,100
kir,2020,100
kwt,1999,100
kwt,2000,100
kwt,2003,100
kwt,2005,100
kwt,2006,100
kwt,2007,100
kwt,2008,100
kwt,2009,100
kwt,2011,0
kwt,2012,0
kwt,2013,0
kwt,2014,0
kwt,2015,0
kwt,2020,100
lao,1999,100
lao,2000,83.33333
lao,2001,50
lao,2002,50
lao,2003,100
lao,2004,61.53846
lao,2005,61.11111
lao,2006,36
lao,2007,66.66667
lao,2008,61.90476
lao,2009,35
lao,2010,97.58065
lao,2011,90.13158
lao,2012,89.92806
lao,2014,92.59259
lao,2015,95.74468
lao,2016,91.53846
lao,2017,94.11765
lao,2018,94.57364
lao,2020,88.61789
lbr,2006,26.36434
lbr,2016,48.65391
lbr,2017,51.2558
lka,2010,82.6087
lka,2012,81.25
lka,2013,82.6087
lka,2014,89.47368
lka,2015,84.61538
lka,2017,84.61538
lka,2018,82.35294
lso,2015,100
lva,2010,100
lva,2011,100
lva,2012,100
lva,2013,100
lva,2014,100
lva,2015,100
lva,2016,100
lva,2017,100
lva,2018,100
lva,2019,100
mac,2000,100
mac,2002,0
mac,2004,100
mac,2005,75
mac,2007,100
mac,2008,50
mac,2009,100
mac,2010,100
mac,2011,81.81818
mac,2012,90
mac,2013,90
mac,2014,81.81818
mac,2015,100
mac,2016,100
mac,2017,100
mac,2018,100
mac,2019,95.45455
mac,2020,100
mar,2005,100
mar,2007,100
mar,2008,100
mar,2010,100
mar,2012,100
mco,2019,100
mco,2020,100
mco,2021,100
mda,2016,65.34653
mda,2017,79.59184
mda,2018,77.77778
mda,2019,100
mda,2020,100
mdg,2010,82.74112
mdg,2014,26.44135
mdg,2019,32.99139
mdv,1998,25
mdv,1999,45.94595
mdv,2000,24
mdv,2001,56
mdv,2002,45
mdv,2003,31.81818
mdv,2005,42.30769
mdv,2006,46.15385
mdv,2009,21.42857
mdv,2010,14.28571
mdv,2011,3.44828
mdv,2012,4.08163
mdv,2013,1.93548
mdv,2014,0
mdv,2015,98.18182
mdv,2016,98
mdv,2017,96.77419
mdv,2018,90.90909
mex,2013,46.31689
mex,2014,45.80414
mex,2015,40.42666
mex,2016,57.39275
mex,2017,58.94544
mex,2018,58.43112
mhl,2002,100
mli,2008,56.97674
mli,2011,82.52427
mmr,2006,29.48718
mmr,2009,18.88889
mmr,2010,56.33803
mmr,2018,95.2381
mng,1998,100
mng,1999,100
mng,2000,100
mng,2001,100
mng,2002,100
mng,2003,100
mng,2004,100
mng,2005,100
mng,2006,100
mng,2007,100
mng,2008,100
mng,2009,100
mng,2010,80.55556
mng,2011,84.14634
mng,2012,85.10638
mng,2016,100
mng,2017,100
mng,2018,96.05911
mng,2019,83.33333
mus,2008,92.30769
mus,2009,100
mus,2011,92.30769
mus,2012,100
mus,2013,100
mus,2014,100
mus,2015,100
mus,2016,100
mus,2017,100
mus,2018,100
mus,2019,100
mus,2021,100
mys,2011,99.64974
mys,2012,99.83485
mys,2013,98.90282
mys,2014,99.89095
mys,2015,100
mys,2016,92.29278
mys,2018,97.95803
nam,1999,11.7284
ner,1999,90.90909
ner,2000,100
ner,2001,100
ner,2002,100
ner,2003,100
ner,2004,63.63636
ner,2007,94.66667
ner,2008,67.3913
ner,2009,90.72165
ner,2010,93.1677
ner,2018,25.06143
nic,1998,23.92638
nic,1999,18.78453
nic,2000,11.42857
nic,2001,9.60452
nic,2002,14.52514
nic,2004,34.76703
nic,2005,23.79603
nic,2006,33.3815
nic,2007,43.42342
nic,2008,33.52273
nic,2010,32.35294
npl,2010,67.63042
npl,2011,74.23816
npl,2012,51.03832
npl,2013,46.41623
npl,2014,41.00939
npl,2015,38.48179
npl,2016,51.64693
npl,2017,51.33333
npl,2019,43.53141
npl,2020,48.79072
nru,2007,0
omn,2009,100
omn,2013,100
omn,2014,100
omn,2015,100
omn,2016,100
omn,2017,100
omn,2018,100
omn,2019,100
omn,2020,100
pan,1999,34.69388
pan,2000,21.42857
pan,2001,13.58025
pan,2004,15.21739
pan,2005,7.32984
pan,2006,7.69231
pan,2007,8.28025
pan,2008,5.61404
pan,2009,6.71141
pan,2010,5.48387
pan,2011,5.90406
pan,2012,9.42761
pan,2016,100
pan,2017,100
phl,2015,100
phl,2016,100
phl,2017,100
phl,2018,100
phl,2019,100
pol,2018,100
pol,2019,100
pri,2015,94.63087
pri,2016,84.39716
pry,2012,83.75706
pse,2004,100
pse,2005,100
pse,2006,100
pse,2007,100
qat,2015,100
qat,2017,100
qat,2018,100
rwa,2011,32.70869
rwa,2015,51.0445
rwa,2016,52.65998
rwa,2017,46.52524
rwa,2018,44.96982
rwa,2019,52.03022
sen,2008,20.20972
sen,2009,19.8741
sen,2010,21.52778
sen,2012,29.46245
sen,2013,33.55111
sen,2014,32.35915
sen,2015,33.16971
sen,2019,49.54921
sen,2020,46.75848
slb,2011,71.11111
slb,2012,33.98693
slb,2013,50
sle,2001,94.73684
sle,2011,31.51042
sle,2012,42.24599
sle,2013,34.35701
sle,2015,44.0708
sle,2017,50.07112
sle,2018,42.84404
sle,2019,44.91279
slv,2003,77.56892
slv,2004,72.85903
slv,2005,67.73296
slv,2006,61.91176
slv,2007,55.46875
slv,2008,66.92161
slv,2011,73.30637
slv,2015,74.2836
slv,2016,75.79264
slv,2017,76.15527
slv,2018,79.43925
smr,2018,25
smr,2019,50
smr,2020,0
srb,2007,100
srb,2011,75.4491
ssd,2011,32.48882
stp,2002,75
stp,2010,63.15789
stp,2011,63.15789
stp,2012,30.76923
stp,2013,24.13793
stp,2014,11.76471
stp,2015,23.68421
sur,2008,100
sur,2018,100
swz,2010,60.57692
swz,2011,56.41026
syc,2001,100
syc,2016,100
syc,2017,100
syc,2019,100
syc,2020,100
syr,1999,84.45596
syr,2013,0
tcd,2010,58.26772
tcd,2011,76.81159
tcd,2013,48.61111
tcd,2016,10.9589
tgo,2000,13.33333
tgo,2001,22.22222
tgo,2002,22.72727
tgo,2003,36.06557
tgo,2010,40.51724
tgo,2011,42.05607
tgo,2012,62.0155
tgo,2015,64.86486
tgo,2018,63.28125
tgo,2019,72.52747
tgo,2020,68.92562
tjk,2016,100
tto,2019,41.17647
tun,2016,100
tza,2004,11.71171
tza,2005,15.7611
tza,2006,9.57553
tza,2007,8.41376
tza,2010,6.52378
tza,2012,9.77324
tza,2014,22.0067
tza,2016,39.80603
tza,2017,37.76581
uga,2017,34.94709
uzb,2006,100
uzb,2007,100
uzb,2008,100
uzb,2009,100
uzb,2010,100
uzb,2011,100
uzb,2017,98.53157
uzb,2018,98.753
uzb,2019,19.84385
uzb,2020,96.72627
vct,2013,0
vgb,2019,0
vgb,2020,50
vnm,2014,85.2898
vnm,2015,96.61211
vnm,2018,96.73759
vnm,2019,99.77778
vnm,2020,99.20635
vut,2015,46.34146
vut,2019,48
wsm,2014,100
wsm,2015,100
wsm,2016,100
wsm,2017,100
wsm,2018,100
zaf,1999,66.03175
zaf,2000,61.94651
zaf,2001,60.62378
zaf,2002,87.21763
zwe,2012,77.72861
zwe,2013,46.29879
zwe,2014,63.286
zwe,2015,52.20634
zwe,2016,76.42467
zwe,2017,77.63158
zwe,2018,74.78311
zwe,2019,76.29213
zwe,2020,82.86621
