geo,time,se_sec_enrl_vo
are,1982,602
are,1983,722
are,1984,615
are,1985,607
are,1986,604
are,1987,638
are,1988,591
are,1989,720
are,1990,690
are,1991,766
are,1992,893
are,1993,1040
are,1994,1143
are,1995,1215
are,1997,1925
are,1998,2263
are,2016,8366
are,2017,8206
arg,1970,571544
arg,1971,602869
arg,1972,648413
arg,1973,703063
arg,1974,757425
arg,1975,788864
arg,1976,837659
arg,1977,846200
arg,1978,850956
arg,1979,855222
arg,1980,816600
arg,1981,838304
arg,1982,831481
arg,1983,851809
arg,1984,979133
arg,1985,1084531
arg,1986,1087214
arg,1987,1127096
arg,1988,1162863
arg,1998,518357
arm,1994,21029
arm,1996,7352
arm,1997,7162
arm,1998,6032
arm,1999,4192
arm,2000,6016
arm,2001,5122
arm,2004,6471
arm,2005,7029
arm,2006,8281
arm,2007,10765
arm,2008,12048
arm,2009,12996
arm,2010,14638
arm,2011,21659
arm,2013,24358
arm,2014,26614
arm,2015,25281
arm,2018,19676
asm,1972,0
asm,1973,0
asm,1974,0
asm,1975,0
asm,1976,0
asm,1977,0
asm,1978,0
asm,1979,0
asm,1980,0
asm,1981,0
asm,1982,0
asm,1983,0
asm,1984,0
asm,1985,0
asm,1986,0
asm,1987,124
asm,1988,157
asm,1989,159
asm,1990,139
asm,1991,140
asm,1992,160
asm,1993,170
asm,1994,180
asm,1995,180
asm,1996,180
asm,1997,180
atg,1972,239
atg,1973,211
atg,1974,235
atg,1975,229
atg,1976,198
atg,1977,242
atg,1978,248
atg,1992,0
atg,2000,700
atg,2008,514
atg,2009,591
atg,2010,595
atg,2011,476
atg,2012,476
atg,2014,325
atg,2015,251
atg,2017,262
atg,2018,282
aus,1993,747098
aus,1994,729864
aus,1995,906429
aus,1996,985428
aus,1997,1051857
aus,2015,1055685
aus,2016,994058
aus,2017,970735
aut,1971,233617
aut,1976,302178
aut,1981,354102
aut,1982,342102
aut,1983,344305
aut,1984,340443
aut,1985,349951
aut,1986,351433
aut,1987,345418
aut,1988,335971
aut,1989,322961
aut,1990,323988
aut,1991,318986
aut,1992,314389
aut,1993,309165
aut,1994,308091
aut,1995,309883
aut,1996,311633
aut,1997,312519
aut,1998,281188
aut,1999,260902
aut,2000,261722
aut,2001,263081
aut,2002,265645
aut,2003,266909
aut,2004,292161
aut,2005,299968
aut,2006,302683
aut,2007,301168
aut,2008,299903
aut,2009,302047
aut,2010,293980
aut,2011,284644
aut,2012,279253
aut,2013,259553.075
aut,2014,253505.5
aut,2015,248659.91667
aut,2016,241385.60758
aut,2017,238160.67659
aze,1981,67089
aze,1986,77483
aze,1990,45043
aze,1991,50517
aze,1992,48758
aze,1993,44512
aze,1994,35390
aze,1995,26750
aze,1996,19357
aze,1997,17287
aze,2018,152777
bdi,1971,4200
bdi,1972,4576
bdi,1973,4124
bdi,1974,5409
bdi,1975,6002
bdi,1976,6480
bdi,1977,7073
bdi,1978,7493
bdi,1979,8014
bdi,1980,8443
bdi,1981,10114
bdi,1982,9889
bdi,1983,10946
bdi,1984,11808
bdi,1985,12594
bdi,1986,12902
bdi,1987,12229
bdi,1988,12937
bdi,1989,12674
bdi,1990,15171
bdi,1991,7434
bdi,1992,8064
bdi,1993,9332
bdi,2001,8542
bdi,2002,9293
bdi,2003,10127
bdi,2004,11516
bdi,2005,11870
bdi,2006,11912
bdi,2007,12630
bdi,2009,13796
bdi,2010,15465
bdi,2011,18930
bdi,2012,17384
bdi,2013,26149
bdi,2014,37026
bdi,2015,48297
bdi,2016,50885
bdi,2017,67110
bdi,2018,68831
bel,1971,388812
bel,1972,403252
bel,1973,361784
bel,1974,347828
bel,1975,319680
bel,1976,300519
bel,1977,294586
bel,1983,356121
bel,1984,376227
bel,1985,374519
bel,1986,374335
bel,1987,371112
bel,1988,372383
bel,1991,334480
bel,1993,546995
bel,1994,556824
bel,1995,566230
bel,1996,569041
bel,1999,556868
bel,2000,580842
bel,2001,643304
bel,2002,681721
bel,2003,706131
bel,2004,664213
bel,2005,715237
bel,2006,731974
bel,2007,738416
bel,2008,745659
bel,2009,733992
bel,2010,718407
bel,2011,705921
bel,2012,706682
bel,2013,554005
bel,2014,553401
bel,2015,549733
bel,2016,545335
bel,2017,524924
ben,1971,646
ben,1972,1083
ben,1973,919
ben,1974,1049
ben,1975,1024
ben,1976,1321
ben,1977,1798
ben,1978,2246
ben,1979,4027
ben,1980,5707
ben,1981,6762
ben,1982,7613
ben,1983,8761
ben,1984,8522
ben,1985,8315
ben,1986,7827
ben,1987,7050
ben,2000,20343
ben,2001,23567
ben,2002,24342
ben,2003,28867
ben,2004,30904
ben,2011,24626
ben,2013,22662
ben,2014,23673
ben,2015,22098
ben,2016,27875
bfa,1971,1914
bfa,1972,2182
bfa,1973,2013
bfa,1974,2463
bfa,1975,2788
bfa,1976,3060
bfa,1977,3123
bfa,1979,3617
bfa,1980,4584
bfa,1981,4119
bfa,1982,6125
bfa,1983,4987
bfa,1984,4492
bfa,1985,4474
bfa,1986,4627
bfa,1987,4645
bfa,1988,4936
bfa,1989,5884
bfa,1990,6789
bfa,1991,7202
bfa,1992,8372
bfa,1993,8729
bfa,1999,13109
bfa,2000,15188
bfa,2001,17396
bfa,2003,18421
bfa,2004,20376
bfa,2005,22432
bfa,2006,23002
bfa,2007,24577
bfa,2008,25610
bfa,2009,25877
bfa,2010,26403
bfa,2011,25877
bfa,2012,27381
bfa,2013,29730
bfa,2014,28232
bfa,2015,29989
bfa,2016,30030
bfa,2017,29957
bfa,2018,28566
bgd,1973,9719
bgd,1976,19085
bgd,1977,25118
bgd,1979,26349
bgd,1980,26304
bgd,1981,26542
bgd,1982,26676
bgd,1983,28680
bgd,1984,27624
bgd,1985,27348
bgd,1986,31561
bgd,1987,33865
bgd,1988,31773
bgd,1989,29152
bgd,1990,30801
bgd,1998,102499
bgd,1999,105791
bgd,2000,105157
bgd,2001,123746
bgd,2002,126355
bgd,2003,127218
bgd,2004,167764
bgd,2005,192491
bgd,2006,219086
bgd,2007,254122
bgd,2008,344629
bgd,2009,367409
bgd,2010,372524
bgd,2011,364064
bgd,2012,428459
bgd,2013,429558
bgd,2015,602080
bgd,2016,626923
bgd,2017,612601
bgd,2018,757289
bgr,1971,234689
bgr,1972,242119
bgr,1973,244711
bgr,1974,247593
bgr,1975,245210
bgr,1976,242809
bgr,1977,239798
bgr,1978,238536
bgr,1979,235434
bgr,1980,228138
bgr,1981,222890
bgr,1982,207011
bgr,1983,193141
bgr,1984,183968
bgr,1985,183206
bgr,1986,211148
bgr,1987,215568
bgr,1988,221600
bgr,1989,232917
bgr,1990,239572
bgr,1991,238867
bgr,1992,233528
bgr,1993,221713
bgr,1994,211235
bgr,1995,212401
bgr,1996,213337
bgr,1997,206570
bgr,1998,196351
bgr,1999,189851
bgr,2000,185752
bgr,2001,186135
bgr,2002,187756
bgr,2003,199347
bgr,2004,208614
bgr,2005,204359
bgr,2006,198135
bgr,2007,190721
bgr,2008,175546
bgr,2009,164412
bgr,2010,160123
bgr,2011,158312
bgr,2012,142924
bgr,2013,164584
bgr,2014,167635
bgr,2015,155132
bgr,2016,143399
bgr,2017,141163
bhr,1971,955
bhr,1972,1453
bhr,1973,1548
bhr,1974,1716
bhr,1975,1941
bhr,1976,1655
bhr,1977,1760
bhr,1978,1831
bhr,1979,2264
bhr,1980,2048
bhr,1981,2810
bhr,1982,4063
bhr,1983,5844
bhr,1984,7067
bhr,1985,7648
bhr,1986,7870
bhr,1987,7710
bhr,1988,7294
bhr,1989,6725
bhr,1990,6412
bhr,1991,6227
bhr,1992,6165
bhr,1993,6393
bhr,1994,6776
bhr,1995,7113
bhr,1996,7428
bhr,1997,7287
bhr,1998,7803
bhr,1999,8790
bhr,2000,10143
bhr,2001,11392
bhr,2002,13115
bhr,2003,14886
bhr,2004,15377
bhr,2005,15738
bhr,2006,15200
bhr,2008,12079
bhr,2009,9188
bhr,2010,6371
bhr,2011,5708
bhr,2012,6204
bhr,2013,6970
bhr,2014,7092
bhr,2015,6666
bhr,2016,6364
bhr,2017,6429
bhr,2018,6543
bhs,1971,927
bhs,1972,958
bhs,1973,884
bhs,1974,1044
bhs,1975,2926
bhs,1976,2554
bhs,1981,0
bhs,1982,0
bhs,1983,0
bhs,1984,0
bhs,1985,0
bhs,1986,0
bhs,1987,0
bhs,1990,0
bhs,1991,0
bhs,1992,0
bhs,1993,0
bhs,1994,0
bhs,1995,0
bhs,1997,0
bih,2007,123495
bih,2008,118262
bih,2009,110681
bih,2010,109424
bih,2011,112962
bih,2012,122203
bih,2013,122273
bih,2014,116285
bih,2015,106749
bih,2016,99907
bih,2017,96209
bih,2018,94557
blr,1971,50900
blr,1972,57240
blr,1973,63580
blr,1974,69920
blr,1975,76260
blr,1976,82600
blr,1977,90167
blr,1978,97734
blr,1979,105300
blr,1980,109700
blr,1981,114500
blr,1982,118600
blr,1983,122100
blr,1984,123200
blr,1985,126400
blr,1986,130000
blr,1987,133900
blr,1988,135700
blr,1989,134600
blr,1990,129100
blr,1991,124500
blr,1992,120600
blr,1993,119200
blr,1994,126400
blr,1995,122500
blr,1996,126200
blr,1997,118600
blr,1998,7600
blr,2008,107669
blr,2009,101768
blr,2010,113741
blr,2011,114039
blr,2012,106723
blr,2013,88257
blr,2014,86024
blr,2015,85086
blr,2016,85748
blr,2017,85034
blr,2018,82592
blz,1973,217
blz,1974,117
blz,1977,51
blz,1979,130
blz,1980,130
blz,1981,130
blz,1982,132
blz,1983,190
blz,1986,101
blz,1987,93
blz,1991,105
blz,1994,158
blz,1995,125
blz,2001,964
blz,2003,1070
blz,2004,1178
blz,2005,1260
blz,2006,1624
blz,2007,1293
blz,2008,1313
blz,2009,1316
blz,2010,1322
blz,2011,1511
blz,2012,1720
blz,2013,1204
blz,2014,1218
blz,2015,1811
blz,2016,3741
blz,2017,3232
blz,2018,3301
bmu,1971,424
bmu,1972,241
bmu,1973,293
bmu,1974,0
bmu,1975,0
bmu,1976,0
bmu,1977,0
bmu,1978,0
bmu,1979,184
bmu,1980,227
bmu,2016,0
bol,1970,14485
bol,1971,15674
bol,1972,14642
bol,1973,14773
bol,1975,22588
bol,1998,52053
bol,1999,48784
bol,2000,461185
bol,2001,487344
bol,2002,534587
bol,2003,566770
bol,2004,602252
bol,2005,624784
bol,2006,630593
bol,2007,637173
bol,2008,637442
bol,2009,634067
bol,2010,700725
bol,2011,682718
bol,2012,708121
bol,2013,726867
bol,2014,743402
bol,2015,781286
bol,2016,800004
bol,2017,798478
bol,2018,788570
bra,1970,1030421
bra,1971,570078
bra,1972,655176
bra,1973,787791
bra,1974,1053550
bra,1975,1053844
bra,1976,1434981
bra,1977,1690875
bra,1978,1801908
bra,1985,2017450
bra,1998,2260240
bra,2002,471227
bra,2003,452342
bra,2004,717568
bra,2005,753523
bra,2007,997258
bra,2008,1129584
bra,2009,1232675
bra,2010,1323663
bra,2011,1416520
bra,2012,1496569
bra,2013,874889
bra,2014,898666
bra,2015,893860
bra,2016,978202
bra,2017,956632
brb,1971,806
brb,1972,822
brb,1973,761
brb,1974,0
brb,1975,0
brb,1976,0
brb,1977,0
brb,1978,0
brb,1979,0
brb,1980,0
brb,1981,0
brb,1982,0
brb,1983,0
brb,1984,0
brb,1985,0
brb,1986,0
brb,1987,0
brb,1988,0
brb,1989,0
brb,1990,0
brb,1991,161
brb,1992,0
brb,1993,0
brb,1994,0
brb,1995,0
brb,2001,114
brb,2002,110
brb,2003,109
brb,2004,78
brb,2005,73
brn,1970,553
brn,1971,439
brn,1972,638
brn,1973,666
brn,1974,798
brn,1975,927
brn,1976,869
brn,1977,801
brn,1978,839
brn,1979,895
brn,1980,909
brn,1981,1064
brn,1982,1036
brn,1983,1086
brn,1984,1339
brn,1985,1573
brn,1986,1578
brn,1987,1275
brn,1988,1452
brn,1991,1557
brn,1992,1721
brn,1993,2011
brn,1994,2151
brn,1998,1707
brn,1999,1848
brn,2000,1862
brn,2001,2149
brn,2002,2061
brn,2003,2279
brn,2004,2614
brn,2005,3010
brn,2006,3289
brn,2007,3230
brn,2008,3481
brn,2009,3689
brn,2010,3918
brn,2011,4290
brn,2012,5964
brn,2013,6861
brn,2014,5622
brn,2015,5514
brn,2016,4858
brn,2017,4472
brn,2018,5257
btn,1970,321
btn,1971,315
btn,1972,324
btn,1974,734
btn,1977,367
btn,1982,1748
btn,1983,2189
btn,1984,2264
btn,1985,2314
btn,1998,0
btn,1999,0
btn,2000,0
btn,2001,444
btn,2005,630
btn,2006,810
btn,2007,1284
btn,2014,1405
btn,2015,2209
btn,2016,1487
btn,2017,1536
btn,2018,1583
bwa,1970,1292
bwa,1971,1470
bwa,1972,1631
bwa,1973,1866
bwa,1974,1937
bwa,1975,2188
bwa,1976,2284
bwa,1977,2400
bwa,1978,2891
bwa,1979,2802
bwa,1980,2644
bwa,1981,2814
bwa,1983,2758
bwa,1984,3538
bwa,1985,3972
bwa,1986,3747
bwa,1987,3577
bwa,1988,3837
bwa,1989,4501
bwa,1990,4875
bwa,1991,4089
bwa,1992,4485
bwa,1993,4971
bwa,1994,5178
bwa,1995,7975
bwa,1998,9939
bwa,1999,9609
bwa,2000,10896
bwa,2001,11507
bwa,2002,10882
bwa,2003,11133
bwa,2004,12649
bwa,2005,13027
bwa,2006,12701
bwa,2007,10094
caf,1971,1588
caf,1972,1564
caf,1973,1638
caf,1974,2059
caf,1975,2112
caf,1976,2376
caf,1977,2418
caf,1978,3055
caf,1979,3300
caf,1980,3413
caf,1981,3400
caf,1982,5372
caf,1983,3213
caf,1984,2993
caf,1985,2317
caf,1986,2332
caf,1987,2132
caf,1988,2008
caf,1989,1989
caf,1990,3514
caf,1991,1862
caf,1992,1477
caf,2001,6778
caf,2009,4267
caf,2010,4662
caf,2011,5400
caf,2012,3850
caf,2016,4858
caf,2017,5149
can,1970,0
can,1971,0
can,1972,0
can,1973,0
can,1974,0
can,1975,0
can,1976,0
can,1977,0
can,1978,0
can,1979,0
can,1980,0
can,1981,0
can,1982,0
can,1983,0
can,1984,0
can,1985,0
can,1986,0
can,1987,0
can,1988,0
can,1989,0
can,1990,0
can,1991,0
can,1992,0
can,1993,0
can,1994,0
can,1995,0
can,1996,0
can,1997,0
can,2012,116287
can,2013,119479
can,2014,123454
can,2015,123324
can,2016,125029
can,2017,128399
che,1978,209519
che,1979,216478
che,1980,225424
che,1981,234122
che,1982,240561
che,1983,245941
che,1984,251154
che,1985,253728
che,1986,252308
che,1987,250169
che,1988,248766
che,1989,244883
che,1990,239099
che,1991,229438
che,1992,218730
che,1993,188872
che,1994,184265
che,1995,181541
che,1996,181596
che,1998,171915
che,1999,175874
che,2000,179474
che,2001,180156
che,2002,174893
che,2003,175281
che,2004,175978
che,2005,179564
che,2006,181850
che,2007,190558
che,2008,196826
che,2009,203056
che,2010,209024
che,2011,207151
che,2012,210047
che,2013,230492
che,2015,230515
che,2016,228403
che,2017,226342
chl,1970,99558
chl,1971,127448
chl,1972,146819
chl,1973,163141
chl,1974,162048
chl,1975,163105
chl,1976,157989
chl,1977,168823
chl,1978,186092
chl,1979,178301
chl,1980,169129
chl,1981,161809
chl,1982,147096
chl,1983,125200
chl,1984,112186
chl,1985,128647
chl,1986,127060
chl,1987,116037
chl,1988,133941
chl,1989,203981
chl,1990,255396
chl,1991,262563
chl,1992,264177
chl,1993,261358
chl,1994,277226
chl,1998,358278
chl,1999,370016
chl,2000,377958
chl,2002,395557
chl,2003,386832
chl,2004,384355
chl,2005,397673
chl,2006,395420
chl,2007,388921
chl,2008,379115
chl,2009,358291
chl,2010,356071
chl,2011,354097
chl,2012,324596
chl,2013,335298
chl,2014,322195
chl,2015,311532
chl,2016,300280
chl,2017,292757
chn,1971,63976
chn,1972,217570
chn,1973,342503
chn,1974,482481
chn,1975,634284
chn,1976,707318
chn,1977,689877
chn,1978,689202
chn,1979,889209
chn,1980,1198676
chn,1981,1697008
chn,1982,1549904
chn,1983,1742981
chn,1984,2887861
chn,1985,3695400
chn,1986,4604200
chn,1987,5209300
chn,1988,5581300
chn,1989,6006500
chn,1990,6258000
chn,1991,6526000
chn,1992,6855000
chn,1993,7392000
chn,1994,8157000
chn,1995,9124841
chn,1996,10090627
chn,1997,10878677
chn,1999,12752383
chn,2000,12327079
chn,2003,11298031
chn,2006,15306302
chn,2007,17228669
chn,2008,18906427
chn,2009,19777488
chn,2010,20419354
chn,2011,20299603
chn,2012,19696392
chn,2013,21140347
chn,2014,19233849
chn,2015,17555320
chn,2016,16569753
chn,2017,15992821
chn,2018,15927388
civ,1971,6745
civ,1972,7297
civ,1973,8645
civ,1974,7729
civ,1975,9253
civ,1976,17095
civ,1977,17961
civ,1978,21814
civ,1979,24366
civ,1980,24968
civ,1981,23750
civ,1983,24302
civ,1984,21545
civ,1985,21758
civ,1987,27086
civ,1999,25699
civ,2014,96805
civ,2015,108384
civ,2016,105353
civ,2017,107060
civ,2018,116644
cmr,1971,20430
cmr,1972,21924
cmr,1973,27430
cmr,1974,28833
cmr,1975,32720
cmr,1976,37546
cmr,1977,42756
cmr,1978,47661
cmr,1979,51543
cmr,1980,59242
cmr,1981,64792
cmr,1982,68538
cmr,1983,73248
cmr,1984,78481
cmr,1985,90348
cmr,1986,87267
cmr,1987,95025
cmr,1988,98998
cmr,1989,93388
cmr,1990,90633
cmr,1991,90543
cmr,1992,91207
cmr,1994,92339
cmr,1995,90998
cmr,1997,108020
cmr,1998,112085
cmr,1999,122122
cmr,2000,144839
cmr,2001,163633
cmr,2003,153939
cmr,2004,139899
cmr,2005,144090
cmr,2006,118042
cmr,2007,184434
cmr,2008,215220
cmr,2009,258868
cmr,2011,321859
cmr,2012,359513
cmr,2013,383539
cmr,2014,444133
cmr,2015,460219
cmr,2016,477192
cod,1971,62948
cod,1972,84565
cod,1973,95493
cod,1974,109615
cod,1975,145728
cod,1976,150593
cod,1977,169733
cod,1978,192329
cod,1979,219080
cod,1988,558407
cod,1992,574405
cod,1993,633755
cod,1994,701148
cod,2007,561896
cod,2008,600961
cod,2009,616992
cod,2010,687130
cod,2012,732683
cod,2013,745343
cod,2014,821585
cod,2015,870961
cog,1971,3896
cog,1972,4636
cog,1973,4899
cog,1974,5807
cog,1975,6427
cog,1976,7834
cog,1977,7665
cog,1978,9432
cog,1979,10861
cog,1980,10361
cog,1981,18867
cog,1982,20744
cog,1983,19884
cog,1984,18959
cog,1985,20614
cog,1986,25142
cog,1987,33822
cog,1988,27970
cog,1989,20692
cog,1990,15981
cog,1991,12558
cog,1992,12706
cog,1994,20621
cog,1996,25269
cog,2002,29598
cog,2003,39859
cog,2004,43437
cog,2012,34336
col,1970,211576
col,1971,228095
col,1972,241159
col,1973,251602
col,1974,281033
col,1975,339330
col,1976,383313
col,1977,428963
col,1978,403989
col,1979,413809
col,1980,420188
col,1981,429893
col,1982,441936
col,1983,392180
col,1984,456789
col,1985,465323
col,1986,518851
col,1987,529703
col,1988,539471
col,1989,553708
col,1991,596348
col,1992,674853
col,1993,711230
col,1996,914664
col,2002,285922
col,2004,317648
col,2005,282894
col,2006,253843
col,2007,276201
col,2008,309191
col,2009,374127
col,2010,385626
col,2011,288364
col,2012,318538
col,2013,348734
col,2014,347752
col,2015,354831
col,2016,356871
col,2017,358914
col,2018,362733
com,1971,24
com,1973,23
com,1974,22
com,1981,270
com,1986,515
com,1987,334
com,1992,231
com,1994,163
com,1999,159
com,2002,226
com,2003,69
com,2004,168
com,2013,325
com,2014,398
com,2017,434
com,2018,0
cpv,1971,578
cpv,1972,623
cpv,1980,638
cpv,1981,608
cpv,1982,618
cpv,1983,632
cpv,1984,580
cpv,1987,649
cpv,1988,673
cpv,1989,712
cpv,1990,752
cpv,1994,2289
cpv,2000,911
cpv,2001,1054
cpv,2002,1424
cpv,2003,1856
cpv,2004,2291
cpv,2005,2573
cpv,2006,2085
cpv,2007,1608
cpv,2008,1595
cpv,2009,1688
cpv,2010,1761
cpv,2011,1710
cpv,2012,1664
cpv,2013,1815
cpv,2014,1711
cpv,2015,1629
cpv,2016,1607
cpv,2017,1480
cpv,2018,1212
cri,1970,5989
cri,1971,7424
cri,1972,9329
cri,1973,13552
cri,1974,17558
cri,1975,20311
cri,1976,22175
cri,1977,26754
cri,1978,29896
cri,1979,30923
cri,1980,30610
cri,1981,30713
cri,1982,30294
cri,1983,27684
cri,1984,26326
cri,1985,25493
cri,1986,25992
cri,1987,26835
cri,1988,27003
cri,1989,28012
cri,1990,29102
cri,1991,30959
cri,1992,33538
cri,1993,35631
cri,1994,36863
cri,1995,40172
cri,1996,39999
cri,1997,43459
cri,1998,44392
cri,1999,42440
cri,2000,48892
cri,2001,52416
cri,2002,53809
cri,2004,58483
cri,2005,60830
cri,2006,55857
cri,2007,57438
cri,2008,58852
cri,2009,61288
cri,2010,61739
cri,2011,63610
cri,2012,73195
cri,2013,92040
cri,2014,101770
cri,2015,110755
cri,2016,112599
cri,2017,114071
cri,2018,108578
cub,1971,85859
cub,1972,50991
cub,1973,62793
cub,1974,83095
cub,1975,111517
cub,1976,209083
cub,1977,270940
cub,1978,172758
cub,1979,176800
cub,1980,301739
cub,1981,309153
cub,1982,331674
cub,1983,342520
cub,1984,367136
cub,1985,351274
cub,1986,348958
cub,1987,352927
cub,1988,367792
cub,1989,357321
cub,1990,344505
cub,1991,330172
cub,1992,314168
cub,1993,299422
cub,1994,266660
cub,1995,228974
cub,1996,244253
cub,1997,212558
cub,1999,183515
cub,2000,202286
cub,2001,226761
cub,2002,257400
cub,2003,271891
cub,2004,260389
cub,2005,268612
cub,2006,270962
cub,2007,253190
cub,2008,228425
cub,2009,216621
cub,2010,203146
cub,2011,214859
cub,2012,210271
cub,2013,216953
cub,2014,199318
cub,2015,194540
cub,2016,202192
cub,2017,203825
cub,2018,207590
cym,1971,0
cym,1972,0
cym,1973,0
cym,1974,0
cym,1975,0
cym,1976,0
cym,1977,0
cym,1978,0
cym,1979,0
cym,1980,0
cym,1981,0
cym,1982,0
cym,1983,0
cym,1984,0
cym,1985,0
cym,1986,0
cym,1987,0
cym,1988,0
cym,1989,0
cym,1990,0
cym,1991,0
cym,1992,0
cym,1993,0
cym,1994,0
cym,1995,0
cyp,1971,4439
cyp,1972,4702
cyp,1973,4198
cyp,1974,4672
cyp,1975,5763
cyp,1976,6112
cyp,1977,6574
cyp,1978,6723
cyp,1979,6445
cyp,1980,5840
cyp,1981,5805
cyp,1982,5543
cyp,1983,5527
cyp,1984,3675
cyp,1985,3857
cyp,1986,3874
cyp,1987,3668
cyp,1988,3482
cyp,1989,3314
cyp,1990,3146
cyp,1991,3030
cyp,1992,3172
cyp,1993,3518
cyp,1994,3817
cyp,1995,4066
cyp,1996,4410
cyp,1997,4614
cyp,1999,4261
cyp,2000,4392
cyp,2001,4497
cyp,2002,4290
cyp,2003,4363
cyp,2004,4225
cyp,2005,4308
cyp,2006,4304
cyp,2007,4204
cyp,2008,4052
cyp,2009,4106
cyp,2010,4236
cyp,2011,4178
cyp,2012,4169
cyp,2013,4360
cyp,2014,4652
cyp,2015,4685
cyp,2016,4890
cyp,2017,4818
cze,1971,426045
cze,1972,421276
cze,1973,414047
cze,1974,412301
cze,1975,404698
cze,1976,400282
cze,1977,404966
cze,1978,413893
cze,1979,431761
cze,1980,458187
cze,1982,477986
cze,1983,472914
cze,1984,439199
cze,1985,423882
cze,1986,413106
cze,1987,450427
cze,1988,451916
cze,1989,505448
cze,1990,517846
cze,1991,511056
cze,1992,460412
cze,1993,513136
cze,1994,496433
cze,1995,528961
cze,1996,547534
cze,1997,452039
cze,1998,350267
cze,1999,315952
cze,2000,347320
cze,2001,388548
cze,2002,391928
cze,2003,390658
cze,2004,382065
cze,2005,382571
cze,2006,380933
cze,2007,359952
cze,2008,349300
cze,2009,340560
cze,2010,334690
cze,2011,318506
cze,2012,299908
cze,2013,323681
cze,2014,306155
cze,2015,294696
cze,2016,286502
cze,2017,283313
deu,1991,2296087
deu,1992,2272063
deu,1993,2299144
deu,1994,2286317
deu,1995,2260978
deu,1996,2274624
deu,1997,2320465
deu,1998,1690193
deu,1999,1729976
deu,2000,1735846
deu,2001,1740473
deu,2002,1753409
deu,2003,1729839
deu,2004,1791293
deu,2005,1790168
deu,2006,1812986
deu,2007,1726660
deu,2008,1741243
deu,2009,1582678
deu,2010,1557160
deu,2011,1457886
deu,2012,1396380
deu,2013,1338507.37383
deu,2014,1348527.19398
deu,2015,1320985.95497
deu,2016,1351989.48324
deu,2017,1347863.12896
dji,1971,627
dji,1972,774
dji,1973,585
dji,1974,561
dji,1975,604
dji,1976,596
dji,1977,734
dji,1978,951
dji,1979,1223
dji,1980,1328
dji,1981,1321
dji,1982,1467
dji,1983,1503
dji,1984,1540
dji,1985,1639
dji,1986,1984
dji,1987,2466
dji,1988,2337
dji,1989,2366
dji,1990,2058
dji,1991,1771
dji,1992,1896
dji,1993,1657
dji,1994,1629
dji,1995,1807
dji,1996,1852
dji,1997,1944
dji,1999,2207
dji,2000,1242
dji,2001,1280
dji,2002,1447
dji,2004,2336
dji,2005,2321
dji,2006,1731
dji,2007,2108
dji,2008,2212
dji,2009,1949
dji,2011,1866
dji,2012,2289
dji,2013,2338
dji,2014,2728
dji,2015,4398
dji,2016,5879
dji,2017,3590
dji,2018,5019
