geo,time,se_sec_tcaq_fe_zs
ecu,2001,87.33833
ecu,2002,74.023
ecu,2003,76.22291
ecu,2004,75.77058
ecu,2005,76.14772
ecu,2006,76.63546
ecu,2007,76.72823
ecu,2019,77.73518
ecu,2020,78.09963
egy,2016,72.07933
egy,2018,84.10728
egy,2019,84.74769
eri,1999,65.66038
eri,2000,65.74394
eri,2001,68.30986
eri,2002,61.97605
eri,2003,56.61538
eri,2004,64.14254
eri,2005,67.43697
eri,2006,63.69565
eri,2007,59.50096
eri,2009,69.73244
eri,2010,64.83301
eri,2011,76.50794
eri,2012,79.51389
eri,2013,86.57445
esp,2001,100
esp,2002,100
esp,2003,100
esp,2004,100
esp,2005,100
esp,2006,100
esp,2007,100
esp,2008,100
esp,2009,100
esp,2010,100
esp,2011,100
esp,2012,100
esp,2013,100
esp,2014,100
esp,2015,100
esp,2016,100
esp,2017,100
esp,2018,100
esp,2019,100
eth,2008,66.94674
fji,2007,96.07209
fji,2011,100
fji,2012,100
geo,2000,92.21014
geo,2009,95.11412
gha,1999,89.35528
gha,2000,85.17527
gha,2001,87.25685
gha,2002,85.03293
gha,2006,59.60759
gha,2007,78.43065
gha,2008,82.47861
gha,2009,84.70215
gha,2010,82.00214
gha,2011,82.00094
gha,2013,82.96417
gha,2014,82.14818
gha,2015,82.64013
gha,2016,85.67537
gha,2017,84.25631
gha,2018,84.01567
gib,1999,98.55072
gib,2000,97.26027
gib,2001,100
gib,2008,94.69697
gib,2009,96.18321
gib,2016,88.46154
gib,2017,100
gib,2020,14.07407
gin,2008,93.6722
gin,2010,60.43841
gin,2011,66.30754
gin,2012,54.2571
gin,2013,61.3654
gin,2014,49.89591
gin,2015,49.32563
gin,2016,52.63158
gmb,2013,87.0229
gmb,2014,93.80403
gmb,2015,90.58824
gmb,2017,92.78097
gmb,2018,100
gmb,2019,96.18821
gnq,2005,16.07143
grd,2003,28.54077
grd,2008,28.94737
grd,2010,11.2069
grd,2011,41.16505
grd,2013,43.48786
grd,2014,40
grd,2015,44.57364
grd,2016,45.13619
grd,2017,47.53086
grd,2018,46.2203
guy,2003,58.52317
guy,2005,60.20942
guy,2008,56.99756
guy,2009,56.90004
guy,2010,61.05263
guy,2011,61.10517
guy,2012,62.87078
hkg,2001,83.50176
hkg,2002,86.08002
hkg,2003,87.37824
hkg,2004,90.58358
hkg,2005,93.2478
hkg,2007,94.60594
hkg,2008,94.18736
hkg,2009,93.56118
hkg,2010,94.2699
hkg,2011,94.67856
hkg,2012,94.11606
hkg,2013,95.26947
hkg,2014,96.41553
hkg,2015,96.83722
hkg,2016,97.13243
hkg,2017,97.50445
hkg,2018,97.31816
hkg,2019,96.6967
hkg,2020,96.29271
hnd,2004,68.7404
hrv,1999,100
hrv,2000,100
hrv,2001,100
hrv,2002,100
hrv,2003,100
ind,2017,78.51335
ind,2019,76.5499
ind,2020,81.11936
irn,2013,100
irn,2014,100
irn,2016,97.43728
irn,2017,97.77168
irq,2000,100
irq,2004,100
jam,2013,83.39776
jam,2014,86.77555
jam,2015,87.92691
jam,2016,100
jam,2017,100
jam,2018,100
jam,2019,100
jam,2020,100
jor,2014,100
jor,2017,100
jor,2018,100
jor,2019,100
jor,2020,100
kaz,2015,100
kaz,2016,100
kaz,2017,100
kaz,2018,100
kaz,2019,100
kaz,2020,100
ken,2008,95.9781
kgz,2003,72.31343
kgz,2004,73.76118
kgz,2005,76.56462
kgz,2006,78.41343
kgz,2007,79.57058
kgz,2008,80.84236
kgz,2011,79.49446
kgz,2012,80.14267
kgz,2013,85.31828
kgz,2015,82.57468
kgz,2016,93.94709
kgz,2017,92.76369
khm,2002,99.35575
kir,2005,68.63354
kir,2006,50.65359
kir,2007,62.73292
kir,2008,64.66877
kir,2010,64.91228
kir,2011,60.46512
kir,2012,58.77863
kna,2002,39.84375
kna,2003,38.48921
kna,2004,35.2
kna,2005,33.4728
kna,2009,53.19149
kna,2010,53.19149
kna,2011,55.81395
kna,2012,55.35714
kna,2014,52.9745
kna,2015,62.43094
kna,2016,64.48087
kwt,1999,100
kwt,2000,100
kwt,2001,100
kwt,2004,100
lao,1999,98.16301
lao,2000,98.11093
lao,2001,97.1006
lao,2002,97.03147
lao,2003,98.54419
lao,2004,97.84017
lao,2005,92.23417
lao,2006,95.12053
lao,2007,95.04098
lao,2017,96.04315
lao,2019,97.87385
lao,2020,99.47317
lbr,2014,57.43146
lbr,2015,60.70288
lca,2001,57.89474
lca,2005,60.51081
lca,2006,59.10781
lca,2010,65.30303
lca,2011,67.17877
lca,2012,67.0816
lca,2015,75.20661
lka,2017,83.03926
lka,2018,80.11436
lso,1999,86.26179
lso,2000,87.71044
lso,2001,88.61306
lso,2005,83.55533
lso,2006,89.2104
lso,2007,87.25136
lso,2015,100
lso,2016,91.21711
