geo,time,se_sec_tchr_fe_zs
btn,2018,42.35244
bwa,1970,28.89518
bwa,1971,30.71429
bwa,1972,35.35565
bwa,1974,33.83769
bwa,1975,29.76744
bwa,1976,31.08696
bwa,1977,31.46552
bwa,1978,31.17229
bwa,1980,36.67546
bwa,1981,32.56785
bwa,1984,39.23323
bwa,1985,39.52239
bwa,1986,39.17073
bwa,1987,37.33154
bwa,1988,38.59308
bwa,1989,42.55319
bwa,1990,39.88159
bwa,1991,40.3525
bwa,1992,40.09402
bwa,1993,42.85995
bwa,1994,43.98174
bwa,1995,42.66867
bwa,1998,45.72445
bwa,1999,45.32883
bwa,2000,45.73355
bwa,2001,45.74949
bwa,2002,45.01926
bwa,2003,46.65666
bwa,2004,47.66167
bwa,2005,48.19651
bwa,2006,49.0193
bwa,2007,50.29453
bwa,2015,54.71565
bwa,2017,55.44292
caf,1975,25.8467
caf,1977,22.61735
caf,1981,15.74586
caf,1987,9.42579
caf,2009,12.00686
caf,2010,12.3412
caf,2011,11.93001
caf,2012,11.03896
caf,2016,12.75852
caf,2017,46.82121
can,1976,41.78794
can,1983,44.24475
can,1984,45.54236
can,1990,53.58408
can,1991,53.54151
can,1992,53.67294
can,1993,66.52794
can,1994,66.31417
can,1995,67.19882
can,1996,67.1979
che,1979,39.9995
che,1980,40.00194
che,2012,48.40169
che,2013,48.79533
che,2014,48.78189
che,2016,49.25065
che,2017,49.78609
che,2018,50.27979
che,2019,50.58696
chl,1999,62.26348
chl,2000,63.23685
chl,2002,63.12825
chl,2004,62.7853
chl,2005,62.57122
chl,2006,62.62047
chl,2007,62.85714
chl,2008,62.76188
chl,2009,62.8563
chl,2010,61.85154
chl,2011,62.15957
chl,2012,62.29294
chl,2013,59.45498
chl,2014,59.63543
chl,2015,59.91255
chl,2016,59.9759
chl,2017,59.98031
chl,2018,60.01988
chl,2019,60.47109
chn,1979,24.45765
chn,1980,24.55229
chn,1981,24.83633
chn,1982,25.31251
chn,1983,26.15613
chn,1984,26.26505
chn,1985,27.74367
chn,1986,28.12675
chn,1987,28.41642
chn,1988,28.81336
chn,1989,29.38027
chn,1990,30.37054
chn,1991,31.08633
chn,1992,31.80392
chn,1993,32.56901
chn,1994,33.18214
chn,1995,33.80055
chn,1996,34.9253
chn,1997,36.45387
chn,2000,40.7346
chn,2001,42.64305
chn,2002,42.62136
chn,2003,43.3655
chn,2006,44.99016
chn,2007,45.08337
chn,2009,47.43273
chn,2010,48.36898
chn,2011,48.97826
chn,2012,49.61937
chn,2013,50.28462
chn,2014,51.03468
chn,2015,51.9058
chn,2016,52.6629
chn,2017,53.62428
chn,2018,54.71241
chn,2019,55.70018
chn,2020,56.40227
civ,2011,15.03751
civ,2013,12.59695
civ,2014,14.59545
civ,2015,13.44937
civ,2016,15.33686
civ,2017,16.21565
civ,2018,15.69202
civ,2019,16.36995
civ,2020,17.24586
cmr,1972,22.67073
cmr,1973,22.77699
cmr,1974,21.43925
cmr,1975,20.22095
cmr,1976,20.1873
cmr,1977,19.25016
cmr,1978,19.77676
cmr,1979,19.50538
cmr,1980,18.9754
cmr,1982,20.31066
cmr,1983,20.18595
cmr,1984,20.75869
cmr,1985,21.0588
cmr,1986,22.49459
cmr,1987,23.91174
cmr,1988,20.62588
cmr,1989,21.54126
cmr,1990,21.71846
cmr,1991,21.33703
cmr,1998,21.55554
cmr,1999,21.55402
cmr,2004,25.5247
cmr,2005,26.40576
cmr,2006,26.40706
cmr,2007,26.75573
cmr,2008,41.70534
cmr,2011,28.22819
cmr,2012,44.40289
cmr,2013,35.03639
cmr,2014,33.45963
cmr,2015,34.67805
cmr,2016,34.80162
cod,1992,14.23686
cod,1993,15.02363
cod,1994,16.72145
cod,2007,10.1144
cod,2008,10.55093
cod,2009,10.3838
cod,2010,10.56523
cod,2012,11.38035
cod,2013,11.86035
cod,2014,12.11796
cod,2015,12.45514
cod,2018,11.96804
cog,1971,21.79364
cog,1972,20.48699
cog,1973,16.74347
cog,1974,14.45568
cog,1975,12.83248
cog,1976,11.02362
cog,1978,9.30024
cog,1979,8.79655
cog,1996,15.72564
cog,2003,12.80815
cog,2004,13.31197
cog,2012,9.1935
cog,2018,9.9586
col,1971,38.70389
col,1972,40.58078
col,1975,41.49977
col,1977,42.09952
col,1978,41.4994
col,1979,42.0995
col,1980,41.99918
col,1981,42.7998
col,1982,42.79979
col,1983,43.88596
col,1996,48.08793
col,1999,49.46765
col,2000,49.83918
col,2001,50.5867
col,2002,50.38159
col,2004,51.58269
col,2005,51.58288
col,2006,51.59331
col,2007,50.10505
col,2009,49.98852
col,2010,50.12345
col,2011,50.66487
col,2012,51.50942
col,2013,51.49199
col,2014,51.52875
col,2015,51.45133
col,2016,51.27741
col,2017,51.07637
col,2019,50.52795
com,1971,31.74603
com,1972,37.87879
com,1973,41.59292
com,1981,20.26726
com,2002,12.77906
com,2003,11.41512
com,2004,12.95403
com,2014,10.03681
com,2017,8.808
com,2018,16.708
cpv,1987,48.98785
cpv,1989,49.14089
cpv,2001,40.56204
cpv,2002,40.97859
cpv,2003,40.88953
cpv,2004,39.07889
cpv,2005,40.0714
cpv,2006,41.43039
cpv,2007,39.43662
cpv,2008,39.69938
cpv,2009,39.83813
cpv,2010,40.97104
cpv,2011,41.39458
cpv,2012,41.90838
cpv,2013,43.04636
cpv,2014,43.21352
cpv,2015,44.67133
cpv,2016,46.27114
cpv,2017,46.52643
cpv,2018,47.02312
cpv,2019,48.8279
cri,1970,47.27716
cri,1981,54.4069
cri,1996,58.82643
cri,1997,53.11457
cri,1998,52.85631
cri,1999,52.96825
cri,2000,53.06604
cri,2001,52.57977
cri,2002,54.21155
cri,2006,57.71315
cri,2007,57.68119
cri,2008,58.35627
cri,2009,59.26374
cri,2010,59.4242
cri,2011,59.70972
cri,2013,57.39272
cri,2014,57.41475
cri,2015,57.1814
cri,2016,57.42814
cri,2017,57.365
cri,2018,59.58284
cri,2019,57.698
cri,2020,57.71416
cub,1975,46.84458
cub,1976,47.35026
cub,1977,45.89314
cub,1981,45.61051
cub,1982,44.47368
cub,1983,44.53091
cub,1984,44.32669
cub,1985,47.74109
cub,1986,48.12015
cub,1987,51.01562
cub,1988,50.99913
cub,1989,51.43322
cub,1990,50.42926
cub,1991,51.05176
cub,1992,46.58711
cub,1993,49.21617
cub,1994,50.88725
cub,1995,51.10789
cub,1996,52.63761
cub,1997,56.65742
cub,1999,60.45766
cub,2000,60.62733
cub,2001,61.06456
cub,2002,57.91721
cub,2003,56.61798
cub,2004,55.96505
cub,2005,55.45051
cub,2006,56.0947
cub,2007,55.96446
cub,2008,54.54159
cub,2009,55.07987
cub,2010,55.4916
cub,2011,55.17913
cub,2012,56.98153
cub,2013,59.4592
cub,2014,61.06328
cub,2015,63.49615
cub,2016,62.63498
cub,2017,63.69982
cub,2018,63.42173
cub,2019,65.02961
cub,2020,63.89565
cym,1974,43.05556
cym,1976,51.88679
cym,1977,56.14035
cym,1980,50
cym,1981,55.07246
cym,1999,45.99156
cym,2000,54.36508
cym,2001,57.74059
cym,2002,55.84416
cym,2004,53.55649
cym,2005,52.36364
cym,2006,58.22785
cym,2008,61.49584
cym,2011,48.48485
cym,2012,67.41214
cym,2018,67.82334
cym,2020,68.18314
cyp,1971,38.18996
cyp,1972,39.98087
cyp,1973,39.87086
cyp,1974,39.57529
cyp,1975,39.11686
cyp,1976,40.18768
cyp,1977,41.32011
cyp,1978,41.61148
cyp,1979,41.50018
cyp,1980,42.81366
cyp,1981,41.8896
cyp,1982,42.36954
cyp,1983,42.06272
cyp,1984,42.77973
cyp,1985,43.25509
cyp,1986,43.56278
cyp,1987,44.27701
cyp,1988,44.93689
cyp,1989,45.28944
cyp,1990,45.37396
cyp,1991,45.78313
cyp,1992,47.03947
cyp,1993,48.30448
cyp,1994,48.64319
cyp,1995,50.05387
cyp,1996,51.79245
cyp,1997,51.41873
cyp,1999,51.30612
cyp,2000,57.27409
cyp,2001,57.00656
cyp,2002,58.63446
cyp,2003,59.7822
cyp,2004,59.58856
cyp,2005,60.46716
cyp,2006,61.07131
cyp,2007,62.00823
cyp,2008,62.99386
cyp,2009,63.836
cyp,2010,64.17407
cyp,2011,64.10455
cyp,2012,64.7482
cyp,2013,65.02827
cyp,2014,65.71618
cyp,2015,65.56783
cyp,2016,65.72857
cyp,2017,66.12976
cyp,2018,66.70089
cyp,2019,66.38808
cze,1993,60.52366
cze,1994,61.11518
cze,1995,63.94999
cze,1996,61.35889
cze,2001,66.07587
cze,2002,66.87738
cze,2003,66.77885
cze,2004,67.08361
cze,2005,67.23883
cze,2006,64.84251
cze,2007,67.7936
cze,2008,65.5496
cze,2009,65.54107
cze,2010,64.91258
cze,2011,65.53621
cze,2012,65.76863
deu,1993,45.57377
deu,1994,45.24387
deu,1995,46.99357
deu,1996,48.97736
deu,1997,49.39849
deu,1999,51.09442
deu,2000,53.02831
deu,2001,53.70515
deu,2002,54.35187
deu,2003,54.94467
deu,2004,55.60424
deu,2005,56.03146
deu,2006,56.50518
deu,2007,57.18005
deu,2008,57.59884
deu,2009,58.24413
deu,2010,58.9623
deu,2011,59.7841
deu,2012,60.33612
deu,2013,61.08469
deu,2014,61.9616
deu,2015,62.37353
deu,2016,62.82546
deu,2017,63.01504
deu,2018,63.34756
deu,2019,63.39086
dji,1972,49.28571
dji,1973,43.29897
dji,1974,43.39623
dji,1975,43.26241
dji,1976,38.51351
dji,1994,23.33333
dji,1996,20.38217
dji,1999,21.61765
dji,2002,21.58385
dji,2006,23.06101
dji,2007,23.50637
dji,2009,23.04609
dji,2011,21.01806
dji,2012,24.20444
dji,2013,24.49428
dji,2014,24.057
dji,2015,24.57887
dji,2016,25
dji,2017,26.43979
dji,2018,26.49239
dji,2019,26.46456
dji,2020,26.37326
dji,2021,26.02196
dma,1973,54.38596
dma,1974,54.0146
dma,1975,52.98507
dma,1977,54.40613
dma,1999,67.55319
dma,2000,67.91908
dma,2001,67.37968
dma,2002,66.59142
dma,2003,60.65217
dma,2004,65.16854
dma,2005,58.46774
dma,2006,64.17582
dma,2007,65.2452
dma,2008,68.18182
dma,2009,72.70992
dma,2010,68.88454
dma,2011,72.14953
dma,2013,71.8232
dma,2014,72.86822
dma,2015,73.26923
dma,2016,72.84173
dma,2019,73.58871
dma,2020,72.8
dnk,1993,49.71209
dnk,1994,51.69811
dnk,1995,51.69661
dnk,1998,44.80974
dnk,1999,45.11864
dnk,2000,47.69327
dnk,2001,48.05674
dnk,2014,56.36493
dnk,2018,56.44539
dnk,2019,56.39745
dom,1971,56.64096
dom,2004,60.93685
dom,2005,61.84809
dom,2006,61.98777
dom,2007,60.17975
dom,2008,59.28856
dom,2009,67.62034
dom,2010,66.49109
dom,2011,67.48378
dom,2012,65.87629
dom,2013,67.61905
dom,2015,68.33686
dom,2017,62.83145
dza,1985,33.79927
dza,1986,36.34606
dza,1987,38.09761
dza,1988,38.44778
dza,1989,39.1816
dza,1990,39.35737
dza,1991,39.04774
dza,1992,40.05121
dza,1993,41.91483
dza,1994,43.01431
dza,1995,43.11134
dza,1996,44.1046
dza,1997,45.1977
ecu,1971,32.74731
ecu,1974,32.61779
ecu,1975,33.89613
ecu,1976,35.46447
ecu,1977,36.18967
ecu,1978,36.94432
ecu,1979,36.59225
ecu,1980,37.34203
ecu,1982,37.90932
ecu,1983,39.09983
ecu,1984,38.58472
ecu,1985,39.89638
ecu,1986,40.92115
ecu,1987,40.81489
ecu,1988,41.38665
ecu,1993,44.22648
ecu,1996,44.8438
ecu,1998,45.63006
ecu,2000,49.10582
ecu,2001,49.10749
ecu,2002,49.10994
ecu,2003,49.2918
ecu,2004,49.30441
ecu,2005,49.40655
ecu,2006,49.50987
ecu,2007,49.76381
ecu,2009,54.92294
ecu,2010,55.31456
ecu,2011,55.36909
ecu,2012,56.07602
ecu,2013,56.86406
ecu,2014,57.26246
ecu,2015,57.4882
ecu,2016,57.38479
ecu,2017,57.47757
ecu,2018,58.11227
ecu,2019,58.47164
ecu,2020,58.81899
egy,1971,23.60397
egy,1972,25.64212
egy,1975,27.93004
egy,1976,26.60524
egy,1977,28.4674
egy,1978,28.46415
egy,1979,28.25662
egy,1981,31.02566
egy,1982,32.04005
egy,1983,33.2433
egy,1984,34.14623
egy,1986,35.49259
egy,1987,36.23774
egy,1988,37.06001
egy,1990,39.35655
egy,1992,40.22107
egy,1993,39.9096
egy,1994,39.90897
egy,1995,40.12934
egy,1996,40.10599
egy,1997,38.62445
egy,1999,40.79305
egy,2000,39.82918
egy,2001,40.383
egy,2002,40.58333
egy,2003,41.40165
egy,2004,41.29327
egy,2009,44.49744
egy,2016,46.32928
egy,2017,46.6896
egy,2018,47.72038
egy,2019,48.1913
eri,1993,13.03879
eri,1994,11.83771
eri,1995,11.60962
eri,1996,12.0839
eri,1997,13.6649
eri,1999,11.63301
eri,2000,11.55538
eri,2001,10.4797
eri,2002,10.78463
eri,2003,10.78301
eri,2004,11.06456
eri,2005,11.26627
eri,2006,10.98376
eri,2007,10.31071
eri,2009,10.59532
eri,2010,15.87401
eri,2011,14.54965
eri,2012,16.43367
eri,2013,17.60493
eri,2014,19.05621
eri,2015,20.6422
eri,2016,19.87568
eri,2017,22.21401
eri,2018,23.92415
esp,1981,40.35038
esp,1982,41.8256
esp,1983,43.04972
esp,1984,43.45491
esp,1985,43.99755
esp,1986,44.93476
esp,1987,47.50746
esp,1988,46.91803
esp,1989,48.37853
esp,1990,49.89241
esp,1991,50.93344
esp,1992,50.46801
esp,1993,49.99189
esp,1994,50.83234
esp,1995,51.17503
esp,1996,52.28379
esp,1999,52.32372
esp,2000,51.38282
esp,2001,52.1931
esp,2002,53.25526
esp,2003,54.73124
esp,2004,55.13852
esp,2005,56.4161
esp,2006,57.20213
esp,2007,56.77237
esp,2008,54.89538
esp,2009,54.1183
esp,2010,54.57756
esp,2011,54.69218
esp,2012,54.95091
esp,2013,54.99193
esp,2014,56.58564
esp,2015,56.93324
esp,2016,57.371
esp,2017,57.63346
esp,2018,57.84707
esp,2019,58.23251
est,1993,78.52208
est,1994,81.80901
est,1995,78.92547
est,1996,80.22166
est,1999,81.17381
est,2000,81.27827
est,2001,81.88963
est,2007,77.34864
est,2008,77.67033
est,2009,77.15072
est,2010,76.93227
est,2011,76.90449
est,2013,76.73044
est,2016,76.07577
est,2017,76.41856
est,2018,76.42791
est,2019,76.30064
eth,1971,15.98772
eth,1972,15.69264
eth,1973,14.81665
eth,1974,14.02774
eth,1991,9.84605
eth,1992,10.24678
eth,1993,9.5531
eth,1994,9.58611
eth,1995,9.96823
eth,1996,10.37946
eth,2008,18.90273
eth,2009,19.09216
eth,2010,21.06082
eth,2011,26.22638
eth,2012,24.26912
eth,2020,19.6184
fin,1971,53.00028
fin,1972,51.39576
fin,1973,54.2347
fin,1974,53.54753
fin,1975,53.12993
fin,1999,63.69725
fin,2000,63.65277
fin,2001,63.91562
fin,2002,63.43823
fin,2003,64.23054
fin,2004,64.3911
fin,2005,64.40141
fin,2006,65.0479
fin,2007,64.68644
fin,2008,63.66681
fin,2009,64.21432
fin,2010,64.4512
fin,2011,64.70456
fin,2012,64.88415
fin,2013,65.25671
fin,2014,65.61245
fin,2016,66.57182
fin,2017,67.30221
fin,2018,67.72316
fin,2019,68.09333
fji,1998,45.4778
fji,1999,47.49403
fji,2000,50.51653
fji,2001,50.37728
fji,2002,51.08907
fji,2003,49.31745
fji,2004,49.64897
fji,2006,50.83333
fji,2007,50.01156
fji,2008,71.37702
fji,2011,50.17047
fji,2012,57.48859
fra,1971,40.48105
fra,1972,41.41443
fra,1974,41.50163
