geo,time,sh_xpd_ghed_pc_cd
bhr,2007,454.03206
bhr,2008,500.60008
bhr,2009,501.8127
bhr,2010,501.4303
bhr,2011,503.62604
bhr,2012,634.77384
bhr,2013,694.91927
bhr,2014,716.52202
bhr,2015,732.393
bhr,2016,674.32102
bhr,2017,652.87675
bhr,2018,584.89891
bhr,2019,556.7572
bhs,2000,408.04359
bhs,2001,430.49312
bhs,2002,435.71713
bhs,2003,461.2952
bhs,2004,457.63621
bhs,2005,480.70639
bhs,2006,508.99796
bhs,2007,566.55927
bhs,2008,638.43361
bhs,2009,670.19023
bhs,2010,673.92049
bhs,2011,665.11431
bhs,2012,682.16942
bhs,2013,734.34976
bhs,2014,750.84724
bhs,2015,725.54079
bhs,2016,863.18369
bhs,2017,1196.87342
bhs,2018,1000.11578
bhs,2019,1041.64834
bih,2000,60.46798
bih,2001,66.69336
bih,2002,79.13733
bih,2003,123.76245
bih,2004,139.27999
bih,2005,143.48179
bih,2006,165.60509
bih,2007,214.74612
bih,2008,268.92212
bih,2009,289.18198
bih,2010,284.34804
bih,2011,316.04515
bih,2012,310.96034
bih,2013,337.57312
bih,2014,355.20167
bih,2015,305.96791
bih,2016,327.53072
bih,2017,338.12669
bih,2018,377.21875
bih,2019,380.60523
blr,2000,45.40637
blr,2001,55.44907
blr,2002,63.17391
blr,2003,83.51525
blr,2004,109.46316
blr,2005,147.73716
blr,2006,160.04985
blr,2007,197.26415
blr,2008,231.38847
blr,2009,187.69612
blr,2010,233.85366
blr,2011,202.59625
blr,2012,240.20672
blr,2013,286.02342
blr,2014,281.84219
blr,2015,220.49508
blr,2016,211.84821
blr,2017,230.50937
blr,2018,247.68008
blr,2019,281.09976
blz,2000,62.3026
blz,2001,81.10136
blz,2002,86.77961
blz,2003,85.14882
blz,2004,86.6572
blz,2005,92.62863
blz,2006,107.79455
blz,2007,135.58039
blz,2008,165.10675
blz,2009,155.31262
blz,2010,161.29804
blz,2011,165.31683
blz,2012,161.89618
blz,2013,172.002
blz,2014,183.66951
blz,2015,192.69036
blz,2016,203.7182
blz,2017,193.97158
blz,2018,196.18195
blz,2019,205.00212
bol,2000,24.26098
bol,2001,24.80346
bol,2002,23.52916
bol,2003,25.00135
bol,2004,24.52791
bol,2005,28.48199
bol,2006,31.82558
bol,2007,38.09759
bol,2008,46.34298
bol,2009,55.40349
bol,2010,59.78466
bol,2011,70.87427
bol,2012,78.20132
bol,2013,94.87788
bol,2014,113.79569
bol,2015,130.74249
bol,2016,136.27886
bol,2017,149.04413
bol,2018,171.60089
bol,2019,175.18552
bra,2000,130.12746
bra,2001,111.01912
bra,2002,104.67369
bra,2003,107.75836
bra,2004,126.10288
bra,2005,160.25283
bra,2006,208.45515
bra,2007,256.05695
bra,2008,309.48164
bra,2009,318.75632
bra,2010,403.70429
bra,2011,459.04267
bra,2012,414.97558
bra,2013,436.80388
bra,2014,448.03721
bra,2015,339.6778
bra,2016,343.91138
bra,2017,392.49513
bra,2018,355.91903
bra,2019,347.67693
brb,2000,311.54033
brb,2001,330.0381
brb,2002,356.37302
brb,2003,439.76526
brb,2004,543.51678
brb,2005,535.17028
brb,2006,563.00647
brb,2007,553.08378
brb,2008,612.43384
brb,2009,619.99305
brb,2010,581.36205
brb,2011,550.67321
brb,2012,699.36306
brb,2013,626.21295
brb,2014,541.74122
brb,2015,528.85675
brb,2016,532.48755
brb,2017,522.32838
brb,2018,521.43027
brb,2019,512.59995
brn,2000,428.03847
brn,2001,386.67431
brn,2002,395.56806
brn,2003,444.00542
brn,2004,514.56876
brn,2005,540.61662
brn,2006,558.52588
brn,2007,612.83297
brn,2008,708.90029
brn,2009,670.8768
brn,2010,737.14476
brn,2011,802.84594
brn,2012,805.45323
brn,2013,769.43044
brn,2014,740.20534
brn,2015,706.92057
brn,2016,657.57367
brn,2017,613.5666
brn,2018,726.06939
brn,2019,633.41721
btn,2000,24.61168
btn,2001,25.41285
btn,2002,26.16671
btn,2003,26.10073
btn,2004,30.98315
btn,2005,30.51069
btn,2006,30.91381
btn,2007,42.64613
btn,2008,40.68578
btn,2009,45.14198
btn,2010,53.3842
btn,2011,58.41003
btn,2012,59.8188
btn,2013,60.78598
btn,2014,61.34942
btn,2015,73.18417
btn,2016,73.14327
btn,2017,78.13638
btn,2018,81.72799
btn,2019,85.32454
bwa,2000,112.5204
bwa,2001,114.29142
bwa,2002,119.1115
bwa,2003,155.05502
bwa,2004,171.54796
bwa,2005,156.64635
bwa,2006,150.8003
bwa,2007,176.31248
bwa,2008,205.47419
bwa,2009,176.63599
bwa,2010,229.39633
bwa,2011,270.25499
bwa,2012,279.30125
bwa,2013,287.4915
bwa,2014,295.56286
bwa,2015,263.83613
bwa,2016,267.95357
bwa,2017,366.36185
bwa,2018,388.23126
bwa,2019,378.118
caf,2000,4.09861
caf,2001,3.66864
caf,2002,3.72844
caf,2003,4.73424
caf,2004,4.88571
caf,2005,3.62362
caf,2006,4.58623
caf,2007,5.32301
caf,2008,4.05657
caf,2009,3.53599
caf,2010,2.85675
caf,2011,2.29363
caf,2012,3.52288
caf,2013,3.73811
caf,2014,3.0182
caf,2015,1.72049
caf,2016,2.41128
caf,2017,3.28625
caf,2018,3.36227
caf,2019,3.93204
can,2000,1462.77409
can,2001,1502.5719
can,2002,1564.16491
can,2003,1874.51105
can,2004,2137.11057
can,2005,2407.61775
can,2006,2630.26466
can,2007,2931.78985
can,2008,3121.39702
can,2009,3067.90491
can,2010,3541.3295
can,2011,3791.71119
can,2012,3874.93786
can,2013,3849.57187
can,2014,3661.593
can,2015,3275.17463
can,2016,3224.50607
can,2017,3395.67656
can,2018,3521.60526
can,2019,3542.3155
che,2000,1016.90207
che,2001,1127.72364
che,2002,1320.92528
che,2003,1576.10565
che,2004,1732.26568
che,2005,1761.64552
che,2006,1736.13398
che,2007,1890.15059
che,2008,2250.53768
che,2009,2346.0252
che,2010,2493.58823
che,2011,3027.8831
che,2012,3008.85977
che,2013,3041.34401
che,2014,3074.46407
che,2015,2985.30671
che,2016,2925.79362
che,2017,3031.38604
che,2018,3081.69767
che,2019,3103.81145
chl,2000,127.77419
chl,2001,118.95856
chl,2002,121.28538
chl,2003,133.86224
chl,2004,168.72555
chl,2005,196.96631
chl,2006,236.18556
chl,2007,274.07397
chl,2008,315.42771
chl,2009,344.88892
chl,2010,408.74025
chl,2011,467.42574
chl,2012,516.65966
chl,2013,562.01099
chl,2014,546.7709
chl,2015,541.15891
chl,2016,581.74436
chl,2017,685.52048
chl,2018,739.51575
chl,2019,700.52023
chn,2000,9.25432
chn,2001,10.00669
chn,2002,12.47502
chn,2003,15.79029
chn,2004,19.13296
chn,2005,23.54116
chn,2006,28.5435
chn,2007,37.88626
chn,2008,58.71938
chn,2009,80.33033
chn,2010,96.8007
chn,2011,126.98556
chn,2012,156.99349
chn,2013,186.00768
chn,2014,209.89231
chn,2015,234.76858
chn,2016,229.7098
chn,2017,247.80805
chn,2018,282.67976
chn,2019,299.56252
civ,2000,5.29694
civ,2001,4.68397
civ,2002,5.40646
civ,2003,6.21112
civ,2004,7.14275
civ,2005,6.81036
civ,2006,7.32465
civ,2007,8.64062
civ,2008,10.34719
civ,2009,11.22423
civ,2010,9.85321
civ,2011,9.79672
civ,2012,12.82168
civ,2013,14.24459
civ,2014,16.78367
civ,2015,15.86834
civ,2016,17.33338
civ,2017,20.04164
civ,2018,20.97783
civ,2019,21.83628
cmr,2000,4.39385
cmr,2001,5.3656
cmr,2002,6.76942
cmr,2003,8.15273
cmr,2004,7.69588
cmr,2005,7.1741
cmr,2006,7.43658
cmr,2007,7.26818
cmr,2008,7.92788
cmr,2009,6.32352
cmr,2010,5.49531
cmr,2011,8.39465
cmr,2012,8.98378
cmr,2013,7.33903
cmr,2014,9.46123
cmr,2015,5.03007
cmr,2016,5.17153
cmr,2017,2.07498
cmr,2018,3.22926
cmr,2019,1.8114
cod,2000,0.79511
cod,2001,0.23731
cod,2002,0.18263
cod,2003,0.39917
cod,2004,0.36129
cod,2005,0.47623
cod,2006,0.57813
cod,2007,0.6965
cod,2008,0.95538
cod,2009,0.93054
cod,2010,1.32893
cod,2011,1.37062
cod,2012,2.26146
cod,2013,2.28265
cod,2014,2.68127
cod,2015,3.29227
cod,2016,2.59803
cod,2017,1.93148
cod,2018,2.79261
cod,2019,3.25389
cog,2000,5.97921
cog,2001,9.11919
cog,2002,4.36573
cog,2003,5.68417
cog,2004,6.3259
cog,2005,7.93231
cog,2006,11.96083
cog,2007,13.28963
cog,2008,31.92465
cog,2009,14.48881
cog,2010,25.48586
cog,2011,23.20212
cog,2012,32.12579
cog,2013,36.38741
cog,2014,35.80897
cog,2015,27.39484
cog,2016,24.57038
cog,2017,21.01097
cog,2018,17.47319
cog,2019,18.25518
col,2000,99.03983
col,2001,102.52782
col,2002,99.36811
col,2003,99.0507
col,2004,115.86842
col,2005,148.78235
col,2006,170.85423
col,2007,216.19031
col,2008,259.70614
col,2009,273.57861
col,2010,323.63204
col,2011,365.57264
col,2012,379.39834
col,2013,402.8687
col,2014,410.49879
col,2015,329.10578
col,2016,310.95359
col,2017,347.84823
col,2018,367.4958
col,2019,356.06514
com,2000,5.57473
com,2001,3.53383
com,2002,7.13856
com,2003,7.98311
com,2004,8.23731
com,2005,7.41229
com,2006,7.07798
com,2007,6.99584
com,2008,6.03781
com,2009,5.02904
com,2010,4.74525
com,2011,13.85299
com,2012,11.16145
com,2013,9.93204
com,2014,8.40046
com,2015,5.7921
com,2016,7.30736
com,2017,8.94695
com,2018,10.83968
com,2019,11.62174
cpv,2000,44.94275
cpv,2001,49.02309
cpv,2002,53.05632
cpv,2003,65.33809
cpv,2004,69.9924
cpv,2005,69.56647
cpv,2006,78.39768
cpv,2007,94.81319
cpv,2008,91.19066
cpv,2009,96.86952
cpv,2010,95.61633
cpv,2011,107.16269
cpv,2012,106.0084
cpv,2013,110.5007
cpv,2014,109.22036
cpv,2015,96.59447
cpv,2016,96.44638
cpv,2017,108.03402
cpv,2018,116.05829
cpv,2019,116.98636
cri,2000,161.49818
cri,2001,168.08298
cri,2002,185.67407
cri,2003,191.86832
cri,2004,192.7909
cri,2005,199.35849
cri,2006,239.64933
cri,2007,282.74851
cri,2008,349.56458
cri,2009,379.24154
cri,2010,477.7031
cri,2011,526.19896
cri,2012,554.47617
cri,2013,586.03216
cri,2014,590.4019
cri,2015,642.66128
cri,2016,644.43556
cri,2017,633.15003
cri,2018,658.54825
cri,2019,668.4804
