geo,time,se_pre_enrr_ma
bhs,2002,32.40663
bhs,2011,35.7029
bhs,2012,39.53043
bhs,2013,28.48203
bhs,2014,36.5905
bhs,2015,27.92522
bhs,2016,30.88386
bhs,2017,31.73866
bhs,2018,33.20902
bih,2011,14.75224
bih,2013,15.01836
bih,2014,14.34138
bih,2015,15.71501
bih,2016,16.4898
bih,2017,23.94379
bih,2018,26.24065
bih,2019,24.95703
bih,2020,27.54558
blr,1995,88.78474
blr,1996,87.37217
blr,1999,88.8843
blr,2000,88.12315
blr,2001,89.4063
blr,2002,93.83072
blr,2003,94.62167
blr,2004,97.87215
blr,2005,104.92257
blr,2006,107.07389
blr,2007,106.63773
blr,2008,104.65985
blr,2009,101.43234
blr,2010,103.23896
blr,2011,106.22537
blr,2012,104.05252
blr,2013,105.62517
blr,2014,104.19954
blr,2015,102.62719
blr,2016,99.60542
blr,2017,99.88988
blr,2018,100.60842
blr,2019,102.62774
blz,1986,19.89096
blz,1987,17.99856
blz,1990,21.02556
blz,1991,21.63859
blz,1992,26.35646
blz,1993,28.3449
blz,1994,26.53808
blz,1995,26.73432
blz,1996,26.302
blz,1997,25.88031
blz,1999,26.10569
blz,2000,26.36036
blz,2001,24.633
blz,2003,24.02082
blz,2004,24.41816
blz,2005,27.20794
blz,2006,29.80392
blz,2007,30.95117
blz,2008,36.75662
blz,2009,38.32028
blz,2010,41.06188
blz,2011,43.09863
blz,2012,46.3662
blz,2013,48.89582
blz,2014,49.67886
blz,2015,49.2765
blz,2016,50.52645
blz,2017,47.6933
blz,2018,46.22642
blz,2019,47.02764
blz,2020,46.52541
bmu,1971,113.38156
bmu,1977,116.09977
bmu,1979,124.07809
bmu,1980,124.67532
bmu,1981,118.63636
bmu,1982,128.70589
bmu,1983,120.74074
bmu,1984,170.43703
bmu,1985,170.60367
bmu,2001,48.79808
bmu,2002,48.90511
bmu,2003,46.55172
bmu,2004,53.25
bmu,2005,53.29949
bmu,2006,54.26357
bmu,2010,54.82094
bmu,2011,49.01408
bmu,2012,62.93103
bmu,2013,60.93294
bmu,2014,59.10448
bmu,2015,74.23313
bol,1971,27.82822
bol,1972,28.81622
bol,1980,27.87622
bol,1984,37.69246
bol,1986,37.30289
bol,1989,29.89789
bol,1990,31.80903
bol,1991,32.56932
bol,1992,33.39891
bol,1993,35.51973
bol,1994,36.28894
bol,1995,37.49511
bol,1996,37.51283
bol,1997,37.59757
bol,1998,46.41533
bol,1999,47.14509
bol,2000,48.53447
bol,2001,48.53489
bol,2002,48.69518
bol,2003,48.68059
bol,2004,50.88259
bol,2005,51.96456
bol,2006,51.36693
bol,2007,50.43314
bol,2008,48.5074
bol,2009,46.27492
bol,2010,47.25972
bol,2011,54.4071
bol,2012,60.89751
bol,2013,63.24827
bol,2014,66.87354
bol,2015,69.84538
bol,2016,73.72073
bol,2017,73.61056
bol,2018,73.87865
bol,2019,76.6863
bra,2013,85.56916
bra,2014,89.41587
bra,2015,90.55878
bra,2016,93.77026
bra,2017,96.37317
bra,2018,96.88564
bra,2019,95.12367
brb,1974,18.90812
brb,1978,30.65557
brb,1979,28.35646
brb,1980,35.37374
brb,1981,40.28571
brb,1982,37.42703
brb,1983,36.23356
brb,1999,73.62146
brb,2000,68.008
brb,2001,67.4717
brb,2002,77.50322
brb,2003,78.56202
brb,2004,79.92495
brb,2005,83.62276
brb,2006,86.76471
brb,2007,83.83489
brb,2008,78.13326
brb,2009,81.01864
brb,2010,76.32825
brb,2011,75.08605
brb,2014,87.27326
brb,2015,91.54972
brb,2016,90.87569
brb,2017,87.88449
brb,2018,85.93449
brb,2019,86.29375
brb,2020,82.17822
brn,1978,16.58842
brn,1979,39.05019
brn,1980,40.47756
brn,1981,39.8618
brn,1982,42.02606
brn,1983,41.89944
brn,1984,42.91817
brn,1986,44.52047
brn,1987,46.8238
brn,1988,40.62175
brn,1989,45.30899
brn,1991,47.77233
brn,1992,50.10124
brn,1993,57.58523
brn,1994,51.28087
brn,1995,52.28473
brn,1996,54.02154
brn,1997,54.34511
brn,1998,51.97498
brn,1999,51.92674
brn,2000,46.25207
brn,2001,48.18182
brn,2002,53.62903
brn,2003,55.98368
brn,2004,58.97977
brn,2005,59.77692
brn,2006,58.61133
brn,2007,58.18412
brn,2008,58.94747
brn,2009,65.97333
brn,2010,67.6225
brn,2011,67.6029
brn,2012,69.45105
brn,2013,68.82793
brn,2014,70.26999
brn,2015,68.59188
brn,2016,67.38898
brn,2017,65.72069
brn,2018,64.48607
brn,2019,63.04368
brn,2020,63.82563
btn,1995,1.29509
btn,1998,1.12839
btn,1999,0.91979
btn,2000,1.13461
btn,2005,1.46078
btn,2007,0.73368
btn,2008,0.99735
btn,2010,2.48939
btn,2011,5.40245
btn,2012,9.88136
btn,2013,14.56845
btn,2014,18.01639
btn,2015,22.07307
btn,2016,27.13544
btn,2017,28.18253
btn,2018,34.25859
btn,2019,35.68788
btn,2020,32.7618
bwa,2005,15.93971
bwa,2006,16.15283
bwa,2007,14.92158
bwa,2008,17.48113
bwa,2009,16.56714
bwa,2012,14.58456
bwa,2013,17.59964
bwa,2014,19.6387
bwa,2015,21.08422
caf,1971,5.28722
caf,1972,5.66872
caf,1973,5.27305
caf,1987,5.68192
caf,2003,1.62491
caf,2005,3.1768
caf,2006,3.1083
caf,2007,3.01681
caf,2008,3.78548
caf,2009,4.08082
caf,2011,4.99482
caf,2017,2.86145
can,1971,40.73472
can,1972,40.74806
can,1973,43.39746
can,1974,46.96587
can,1975,54.005
can,1976,56.73079
can,1977,56.37549
can,1978,53.89588
can,1980,52.87652
can,1981,55.65467
can,1982,54.95185
can,1983,56.02625
can,1984,56.03245
can,1985,57.4754
can,1986,57.83766
can,1987,58.26155
can,1988,59.04495
can,1989,59.86942
can,1990,62.35883
can,1991,61.22225
can,1992,62.4943
can,1993,61.75624
can,1994,62.76555
can,1995,64.10099
can,1996,64.5792
che,1977,71.37708
che,1978,70.53613
che,1979,72.45154
che,1980,74.70111
che,1981,77.19344
che,1982,78.60792
che,1983,82.09484
che,1984,83.633
che,1985,85.8045
che,1986,88.05889
che,1987,90.59321
che,1988,92.53266
che,1989,91.4801
che,1990,90.99419
che,1991,90.94294
che,1992,90.54569
che,1993,93.38901
che,1994,95.44231
che,1995,97.92762
che,1996,98.19554
che,1998,95.09387
che,1999,92.83926
che,2000,92.38206
che,2001,91.78296
che,2002,92.76943
che,2003,93.77773
che,2004,94.72958
che,2005,98.54822
che,2006,100.75764
che,2007,100.52349
che,2008,100.40951
che,2009,102.19206
che,2010,98.71987
che,2011,99.39203
che,2012,99.34318
che,2013,103.30069
che,2014,106.29197
che,2015,105.67161
che,2016,105.32792
che,2017,104.04636
che,2018,103.79967
che,2019,103.5062
chl,1970,22.07722
chl,1971,25.13606
chl,1972,29.22998
chl,1973,30.11144
chl,1976,50.14821
chl,1977,56.56815
chl,1978,60.88511
chl,1979,62.92558
chl,1984,68.01942
chl,1985,77.95255
chl,1986,80.78768
chl,1988,82.69788
chl,1989,80.72821
chl,1990,82.29066
chl,1991,75.18025
chl,1992,87.12894
chl,1993,90.51912
chl,1994,91.33162
chl,1995,97.3992
chl,1996,98.8318
chl,1998,74.64405
chl,1999,77.85416
chl,2000,79.01533
chl,2002,77.99196
chl,2003,75.57719
chl,2004,77.93582
chl,2005,81.47555
chl,2006,80.89658
chl,2007,82.39332
chl,2008,81.68957
chl,2009,84.3149
chl,2010,110.06089
chl,2011,114.88868
chl,2012,115.73208
chl,2013,80.13802
chl,2014,82.61598
chl,2015,83.25889
chl,2016,83.24273
chl,2017,82.49957
chl,2018,82.88339
chl,2019,85.60788
chn,1984,14.74812
chn,1985,17.54727
chn,1986,19.99757
chn,1987,21.45328
chn,1988,23.14625
chn,1989,22.67434
chn,1990,21.72173
chn,1991,21.84589
chn,1992,23.2699
chn,1993,24.07493
chn,1994,24.21204
chn,1995,25.21747
chn,1996,26.58696
chn,1997,28.12336
chn,1998,41.43295
chn,1999,45.42152
chn,2000,45.54516
chn,2001,45.25111
chn,2002,41.07411
chn,2003,40.30394
chn,2006,43.81826
chn,2007,46.22478
chn,2008,48.54235
chn,2009,51.4601
chn,2010,54.85113
chn,2011,60.79879
chn,2012,68.44507
chn,2013,72.55974
chn,2014,76.04974
chn,2015,78.50868
chn,2016,82.20493
chn,2017,84.53648
chn,2018,87.85069
chn,2019,89.07805
chn,2020,90.27464
civ,1971,1.18296
civ,1972,1.13458
civ,1973,1.21799
civ,1976,0.73595
civ,1977,0.71083
civ,1978,0.75409
civ,1979,0.75605
civ,1980,0.80283
civ,1981,0.80099
civ,1982,0.80634
civ,1983,0.78667
civ,1984,0.77756
civ,1985,0.89018
civ,1986,0.86737
civ,1987,0.93181
civ,1988,1.04256
civ,1989,1.10168
civ,1990,1.11486
civ,1991,1.01209
civ,1992,0.94767
civ,1993,1.4847
civ,1994,1.77008
civ,1995,2.00095
civ,1996,2.33284
civ,1997,2.35123
civ,1998,2.35432
civ,1999,2.42832
civ,2000,2.5983
civ,2001,2.6972
civ,2002,2.77372
civ,2003,2.98322
civ,2006,3.0661
civ,2007,2.90667
civ,2008,2.89832
civ,2009,3.48376
civ,2011,3.92801
civ,2012,4.69968
civ,2013,5.66007
civ,2014,6.45578
civ,2015,7.02984
civ,2016,7.71713
civ,2017,8.08562
civ,2018,8.13044
civ,2019,8.22657
civ,2020,10.28032
cmr,1971,3.22905
cmr,1976,4.76945
cmr,1977,4.98442
cmr,1978,5.10011
cmr,1979,6.39424
cmr,1980,6.99838
cmr,1981,7.40207
cmr,1983,7.15596
cmr,1984,8.9753
cmr,1985,10.31356
cmr,1986,11.24534
cmr,1987,12.12753
cmr,1988,13.18633
cmr,1989,12.42193
cmr,1990,11.99484
cmr,1991,11.7002
cmr,1992,11.37499
cmr,1994,10.55671
cmr,1995,10.34594
cmr,1997,9.37594
cmr,1998,9.76308
cmr,1999,11.19373
cmr,2000,12.72881
cmr,2001,12.76866
cmr,2002,13.20403
cmr,2003,13.52444
cmr,2004,16.87484
cmr,2005,18.04098
cmr,2006,17.76098
cmr,2007,19.12426
cmr,2008,22.33149
cmr,2009,23.49726
cmr,2010,25.17529
cmr,2011,26.27163
cmr,2012,29.24825
cmr,2014,33.4908
cmr,2015,36.74714
cmr,2016,38.31592
cmr,2017,35.59581
cmr,2018,34.13541
cmr,2019,35.24976
cod,1973,0.98731
cod,1993,0.84792
cod,2001,0.85926
cod,2002,1.39567
cod,2007,2.91243
cod,2008,3.27698
cod,2009,3.88988
cod,2010,3.29368
cod,2011,3.58058
cod,2012,3.84867
cod,2013,3.81198
cod,2014,4.03123
cod,2015,4.2918
cod,2018,5.53476
cog,1971,0.30734
cog,1973,1.23722
cog,1978,1.99267
cog,1981,1.93193
cog,1982,1.94087
cog,1983,2.3465
cog,1984,2.96691
cog,1985,2.73824
cog,1986,2.74905
cog,1987,2.80991
cog,1988,2.51333
cog,1989,2.46996
cog,1990,2.67372
cog,1991,2.5874
cog,1992,2.89037
cog,1993,1.89898
cog,1994,1.75662
cog,1995,1.07075
cog,1996,0.86862
cog,1997,1.39475
cog,1998,0.46072
cog,1999,1.72762
cog,2000,2.31753
cog,2001,3.27976
cog,2002,4.99392
cog,2003,5.84794
cog,2004,6.70365
cog,2005,7.13471
cog,2006,7.90222
cog,2007,8.91839
cog,2008,10.69537
cog,2009,10.15079
cog,2010,11.0865
cog,2011,11.67338
cog,2012,13.37159
cog,2018,13.6688
col,1983,9.05883
col,1984,10.77789
col,1985,11.71439
col,1986,11.26652
col,1987,12.01816
col,1988,12.63073
col,1989,13.16662
col,1992,18.05031
col,1993,19.93565
col,1996,34.69415
col,1998,36.42377
col,1999,38.11653
com,1999,2.58036
com,2003,3.23369
com,2004,4.35313
com,2008,25.08442
com,2013,22.89348
com,2014,20.15943
com,2017,20.07533
com,2018,21.46626
cpv,1999,51.84142
cpv,2001,51.43748
cpv,2002,56.75172
cpv,2003,60.50074
cpv,2004,61.60363
cpv,2005,66.01156
cpv,2006,66.42711
cpv,2007,67.36305
cpv,2008,68.78444
cpv,2009,67.85054
cpv,2010,68.30419
cpv,2011,72.44175
cpv,2012,70.06187
cpv,2013,71.02041
cpv,2014,71.2555
cpv,2015,75.04446
cpv,2016,74.59524
cpv,2017,72.7409
cpv,2018,72.95632
cpv,2019,73.83058
cri,1970,5.99737
cri,1971,7.76173
cri,1972,11.06923
cri,1973,13.13778
cri,1974,14.29584
cri,1975,13.95029
cri,1976,16.05519
cri,1977,18.88225
cri,1980,19.16216
cri,1981,20.10858
cri,1982,22.1509
cri,1983,23.47834
cri,1984,21.24851
cri,1985,25.61108
cri,1986,26.69299
cri,1987,26.13484
cri,1988,27.006
cri,1989,28.09181
cri,1990,29.27329
cri,1991,31.91171
cri,1992,31.69002
cri,1993,31.99175
cri,1994,32.40618
cri,1995,34.28374
cri,1996,36.03399
cri,1997,84.52711
cri,1998,40.39991
cri,1999,46.11875
cri,2000,45.59214
cri,2001,58.12379
cri,2002,61.05966
cri,2004,65.88795
cri,2005,71.6872
cri,2006,74.24425
cri,2008,75.92618
cri,2009,77.51337
cri,2010,77.09607
cri,2011,77.72731
cri,2012,77.33652
cri,2013,79.45783
cri,2014,80.3184
cri,2015,79.6514
cri,2016,78.20004
cri,2017,80.26734
cri,2018,97.62298
cri,2019,95.52237
cri,2020,97.15175
cub,1971,51.24409
cub,1972,49.04241
cub,1973,47.21632
cub,1974,48.69767
cub,1975,52.31691
cub,1976,55.07595
cub,1977,66.30041
cub,1978,65.8697
cub,1979,59.31005
cub,1980,54.53539
cub,1981,58.0275
cub,1982,62.17483
cub,1983,66.08985
cub,1984,67.65933
cub,1985,75.68457
cub,1986,86.51042
cub,1987,89.46117
cub,1988,103.2151
cub,1989,103.61696
cub,1990,98.8784
cub,1991,111.04107
cub,1992,96.7873
cub,1993,102.26066
cub,1994,104.22709
cub,1995,87.27893
cub,1996,93.43466
cub,1997,87.90062
cub,1998,89.83076
cub,1999,107.47722
cub,2000,106.37885
cub,2001,108.30441
cub,2002,106.35715
cub,2003,108.29615
cub,2004,107.93983
cub,2005,106.50303
cub,2006,108.33085
cub,2007,109.15772
cub,2008,110.117
cub,2009,106.15829
cub,2010,102.41791
cub,2011,104.84816
cub,2013,93.99594
cub,2014,98.28682
cub,2015,100.8838
cub,2016,100.9465
cub,2017,100.62364
cub,2018,98.06068
cub,2019,97.81317
cub,2020,96.89636
cym,1980,49.06832
cym,1999,40.28662
cym,2000,49.53416
cym,2001,46.10687
cym,2002,49.6124
cym,2004,50.9772
cym,2005,47.51553
cym,2006,48.27068
cym,2007,53.17919
cym,2012,35.96059
cym,2013,78.93462
cym,2014,88.95558
cym,2015,86.27685
