geo,time,si_pov_mdim_fe
mne,2018,31.1
mne,2019,30.5
mne,2020,30.8
nld,2010,16
nld,2011,16.6
nld,2012,16.3
nld,2013,16.9
nld,2014,17.2
nld,2015,16.9
nld,2016,17.3
nld,2017,17.3
nld,2018,17.2
nld,2019,17
nld,2020,16.7
nor,2010,15.9
nor,2011,15.5
nor,2012,14.5
nor,2013,14.9
nor,2014,14.5
nor,2015,16.6
nor,2016,17.1
nor,2017,17.1
nor,2018,17.2
nor,2019,16.9
nor,2020,17.1
pan,2017,18.5
pol,2010,28.5
pol,2011,27.7
pol,2012,27.3
pol,2013,26.2
pol,2014,24.7
pol,2015,23.2
pol,2016,22.2
pol,2017,19.6
pol,2018,19.4
pol,2019,18.7
pol,2020,18.2
rou,2010,42.4
rou,2011,41.9
rou,2012,43.8
rou,2013,42.5
rou,2014,40.7
rou,2015,38.2
rou,2016,39.8
rou,2017,36.5
rou,2018,33.9
rou,2019,32.1
rou,2020,31.9
slv,2014,38.9
slv,2016,40.9
slv,2017,37.1
slv,2018,32.8
slv,2019,31
srb,2013,42
srb,2014,42.2
srb,2015,41.2
srb,2016,38.3
srb,2017,37.1
srb,2018,34.3
srb,2019,32.3
srb,2020,30.6
svk,2010,21.6
svk,2011,21.7
svk,2012,21.3
svk,2013,20.2
svk,2014,18.7
svk,2015,18.6
svk,2016,18.2
svk,2017,16.2
svk,2018,16.6
svk,2019,17
svk,2020,15.1
svn,2010,20.1
svn,2011,21.1
svn,2012,20.8
svn,2013,21.4
svn,2014,21.5
svn,2015,20.8
svn,2016,19.9
svn,2017,18.3
svn,2018,17.2
svn,2019,15.6
svn,2020,16
swe,2010,18.8
swe,2011,20
swe,2012,18.7
swe,2013,19.6
swe,2014,19.2
swe,2015,19.8
swe,2016,19.5
swe,2017,18.3
swe,2018,19.4
swe,2019,19.6
swe,2020,19
tur,2010,66.4
tur,2011,64.5
tur,2012,62.1
tur,2013,52.1
tur,2014,42.8
tur,2015,42.4
tur,2016,46.1
tur,2017,42.6
tur,2018,41
tur,2019,41
tur,2020,42.8
