geo,time,sh_sta_orth
lby,1987,10
lby,1989,60
lby,1995,40.4
lca,1987,75
lca,1989,75
lka,1986,15
lka,1987,40
lka,1989,58
lka,1993,34.4
lka,2007,51.1
lka,2016,54
lso,1987,68
lso,1989,68
lso,1996,35
lso,2000,53.9
lso,2004,41.9
lso,2005,41.9
lso,2009,51.3
lso,2014,53.4
lso,2018,39.7
mar,1986,15
mar,1987,44
mar,1989,14
mar,1992,13.9
mar,1995,28.2
mar,2004,22.9
mar,2011,22.1
mda,2000,7.5
mda,2005,33.3
mda,2012,41.5
mdg,1986,12
mdg,1987,2
mdg,1989,11
mdg,1992,14.2
mdg,1997,23.1
mdg,2000,10.4
mdg,2004,12.4
mdg,2009,16.9
mdg,2013,14.6
mdg,2018,18.7
mdv,1986,12
mdv,1987,12
mdv,1989,27
mdv,1996,51.2
mdv,2009,57
mdv,2017,74.8
mex,1986,75
mex,1987,72
mex,1989,72
mex,1993,41.9
mex,1997,80.5
mex,2012,52.3
mex,2015,61.4
mhl,2007,38.2
mkd,1996,30.8
mkd,2006,24
mkd,2011,62
mli,1986,2
mli,1987,3
mli,1989,41
mli,1996,15.7
mli,2001,12
mli,2006,14
mli,2010,21.6
mli,2013,36.8
mli,2015,20.9
mli,2018,21.4
mmr,1986,21
mmr,1987,21
mmr,1989,19
mmr,2000,44.9
mmr,2003,53.1
mmr,2010,60.6
mmr,2016,61.9
mne,2006,16.3
mng,1986,5
mng,1987,59
mng,1989,59
mng,2000,55.9
mng,2005,38
mng,2010,30.6
mng,2013,41.8
mng,2014,41.8
mng,2018,58.2
moz,1986,14
moz,1987,14
moz,1989,30
moz,1997,41.9
moz,2003,48.5
moz,2008,45.7
moz,2011,55
moz,2015,45.9
mrt,1986,2
mrt,1987,2
mrt,1989,54
mrt,1996,13.9
mrt,2001,22.6
mrt,2007,20.1
mrt,2011,18.8
mrt,2015,25.4
mus,1986,4
mus,1987,4
mus,1989,7
mwi,1986,10
mwi,1987,42
mwi,1989,14
mwi,1992,43.2
mwi,1996,49.7
mwi,2000,47.9
mwi,2004,61.1
mwi,2005,61.1
mwi,2006,55.2
mwi,2010,69
mwi,2014,63.5
mwi,2016,64.7
mys,1986,7
mys,1987,11
mys,1989,20
mys,2016,45
nam,1992,63.2
nam,2000,61.1
nam,2007,63.1
nam,2013,71.6
ner,1986,1
ner,1987,24
ner,1989,54
ner,1992,10.4
ner,1998,19.6
ner,2000,14.3
ner,2006,17.6
ner,2012,44.3
ner,2015,40.8
nga,1986,18
nga,1987,20
