geo,time,ic_tax_durs
ecu,2018,664
ecu,2019,664
egy,2005,504
egy,2006,595.5
egy,2007,711
egy,2008,711
egy,2009,480
egy,2010,433
egy,2011,433
egy,2012,392
egy,2013,392
egy,2014,392
egy,2015,392
egy,2016,392
egy,2017,392
egy,2018,392
egy,2019,370
eri,2005,216
eri,2006,216
eri,2007,216
eri,2008,216
eri,2009,216
eri,2010,216
eri,2011,216
eri,2012,216
eri,2013,216
eri,2014,216
eri,2015,216
eri,2016,216
eri,2017,216
eri,2018,216
eri,2019,216
esp,2005,298
esp,2006,298
esp,2007,298
esp,2008,234
esp,2009,213
esp,2010,197
esp,2011,187
esp,2012,167
esp,2013,167
esp,2014,167
esp,2015,158
esp,2016,152
esp,2017,152
esp,2018,147.5
esp,2019,143
est,2005,81
est,2006,81
est,2007,81
est,2008,81
est,2009,81
est,2010,81
est,2011,81
est,2012,81
est,2013,81
est,2014,81
est,2015,81
est,2016,56
est,2017,50
est,2018,50
est,2019,50
eth,2005,212
eth,2006,212
eth,2007,198
eth,2008,198
eth,2009,198
eth,2010,198
eth,2011,198
eth,2012,306
eth,2013,306
eth,2014,306
eth,2015,306
eth,2016,306
eth,2017,306
eth,2018,300
eth,2019,300
fin,2005,269
fin,2006,269
fin,2007,269
fin,2008,269
fin,2009,243
fin,2010,243
fin,2011,93
fin,2012,93
fin,2013,93
fin,2014,93
fin,2015,93
fin,2016,93
fin,2017,93
fin,2018,90
fin,2019,90
fji,2005,202
fji,2006,202
fji,2007,202
fji,2008,202
fji,2009,212
fji,2010,225
fji,2011,225
fji,2012,225
fji,2013,257
fji,2014,257
fji,2015,257
fji,2016,247
fji,2017,247
fji,2018,247
fji,2019,247
fra,2005,132
fra,2006,132
fra,2007,132
fra,2008,132
fra,2009,132
fra,2010,132
fra,2011,132
fra,2012,132
fra,2013,137
fra,2014,137
fra,2015,137
fra,2016,139
fra,2017,139
fra,2018,139
fra,2019,139
fsm,2005,128
fsm,2006,128
fsm,2007,128
fsm,2008,128
fsm,2009,128
fsm,2010,128
fsm,2011,128
fsm,2012,128
fsm,2013,128
fsm,2014,128
fsm,2015,128
fsm,2016,128
fsm,2017,128
fsm,2018,128
fsm,2019,128
gab,2005,488
gab,2006,488
gab,2007,488
gab,2008,488
gab,2009,488
gab,2010,488
gab,2011,488
gab,2012,488
gab,2013,488
gab,2014,488
gab,2015,488
gab,2016,488
gab,2017,488
gab,2018,632
gab,2019,632
gbr,2005,100
gbr,2006,100
gbr,2007,100
gbr,2008,100
gbr,2009,105
gbr,2010,105
gbr,2011,105
gbr,2012,105
gbr,2013,105
gbr,2014,105
gbr,2015,105
gbr,2016,105
gbr,2017,105
gbr,2018,105
gbr,2019,114
geo,2005,448
geo,2006,387
geo,2007,387
geo,2008,387
geo,2009,387
geo,2010,387
geo,2011,387
geo,2012,280
geo,2013,280
geo,2014,362
geo,2015,362
geo,2016,270
geo,2017,269
geo,2018,220
geo,2019,216
gha,2005,304
gha,2006,304
gha,2007,304
gha,2008,224
gha,2009,224
gha,2010,224
gha,2011,224
gha,2012,224
gha,2013,224
gha,2014,224
gha,2015,224
gha,2016,224
gha,2017,224
gha,2018,224
gha,2019,226
gin,2005,416
gin,2006,416
gin,2007,416
gin,2008,416
gin,2009,416
gin,2010,416
gin,2011,416
gin,2012,416
gin,2013,440
gin,2014,440
gin,2015,440
gin,2016,400
gin,2017,400
gin,2018,400
gin,2019,400
gmb,2005,376
gmb,2006,376
gmb,2007,376
gmb,2008,376
gmb,2009,376
gmb,2010,376
gmb,2011,376
gmb,2012,376
gmb,2013,376
gmb,2014,376
gmb,2015,326
gmb,2016,326
gmb,2017,326
gmb,2018,326
gmb,2019,326
gnb,2005,218
gnb,2006,218
gnb,2007,218
gnb,2008,218
gnb,2009,218
gnb,2010,218
gnb,2011,218
gnb,2012,218
gnb,2013,218
gnb,2014,218
gnb,2015,218
gnb,2016,218
gnb,2017,218
gnb,2018,218
gnb,2019,218
gnq,2005,492
gnq,2006,492
gnq,2007,492
gnq,2008,492
gnq,2009,492
gnq,2010,492
gnq,2011,492
gnq,2012,492
gnq,2013,492
gnq,2014,492
gnq,2015,492
gnq,2016,492
gnq,2017,492
gnq,2018,492
gnq,2019,492
grc,2005,264
grc,2006,264
grc,2007,264
grc,2008,224
grc,2009,224
grc,2010,224
grc,2011,224
grc,2012,202
grc,2013,193
grc,2014,193
grc,2015,193
grc,2016,193
grc,2017,193
grc,2018,193
grc,2019,193
grd,2005,140
grd,2006,140
grd,2007,140
grd,2008,140
grd,2009,140
grd,2010,140
grd,2011,140
grd,2012,140
grd,2013,140
grd,2014,140
grd,2015,140
grd,2016,140
grd,2017,140
grd,2018,140
grd,2019,140
gtm,2005,344
gtm,2006,344
gtm,2007,344
gtm,2008,344
gtm,2009,344
gtm,2010,344
gtm,2011,344
gtm,2012,332
gtm,2013,326
gtm,2014,256
gtm,2015,256
gtm,2016,256
gtm,2017,248
gtm,2018,248
gtm,2019,248
guy,2005,288
guy,2006,288
guy,2007,288
guy,2008,288
guy,2009,288
guy,2010,288
guy,2011,263
guy,2012,263
guy,2013,256
guy,2014,256
guy,2015,256
guy,2016,256
guy,2017,256
guy,2018,256
guy,2019,256
hkg,2005,50.5
hkg,2006,50.5
hkg,2007,50.5
hkg,2008,50.5
hkg,2009,50.5
hkg,2010,50.5
