geo,time,se_ter_enrl_tc_zs
bhr,2003,22.26254
bhr,2012,22.09384
bhr,2013,19.74135
bhr,2014,17.48142
bhr,2015,15.4369
bhr,2016,18.9776
bhr,2017,19.39918
bhr,2018,21.85798
bhs,1977,44.21875
bhs,1978,38.56944
bhs,1979,41.22794
bhs,1980,34.61417
bhs,1981,32.22835
bhs,1982,31.45238
bhs,1983,24.19531
bhs,1988,21.30522
bhs,1995,19.03846
bih,2008,20.09537
bih,2009,20.27056
bih,2010,12.42314
bih,2011,12.44209
bih,2012,11.60917
bih,2013,12.31485
bih,2014,11.83365
bih,2015,11.32189
bih,2016,11.22979
bih,2017,10.19465
bih,2018,9.3736
blr,1992,7.87688
blr,1993,7.94756
blr,1994,7.64388
blr,1995,7.32
blr,1997,8.15747
blr,1999,12.79513
blr,2000,10.508
blr,2001,10.82271
blr,2002,10.89564
blr,2003,11.31134
blr,2004,11.8343
blr,2005,12.6695
blr,2006,12.91192
blr,2007,13.21255
blr,2008,13.76223
blr,2009,13.89771
blr,2010,14.02471
blr,2011,14.33903
blr,2012,13.84212
blr,2013,13.38304
blr,2014,16.23723
blr,2015,14.5663
blr,2016,15.08347
blr,2017,14.42158
blr,2018,13.86492
blz,1971,7.53333
blz,1972,4.8
blz,1974,5
blz,1975,5.26087
blz,2011,19.95304
blz,2012,19.71429
blz,2013,20.26316
blz,2014,14.51261
blz,2015,14.1755
blz,2016,14.74392
blz,2017,13.94231
bmu,1981,9.07463
bmu,2007,12.28409
bmu,2009,16.45783
bmu,2010,15.28916
bmu,2011,18.49296
bmu,2012,20.95082
bmu,2014,19.10345
bmu,2015,18.71154
bmu,2017,11.84211
bmu,2018,14.53061
bra,1970,10.01846
bra,1971,11.49797
bra,1972,11.94645
bra,1973,13.13854
bra,1974,14.80597
bra,1975,11.77585
bra,1976,12.33817
bra,1977,12.34791
bra,1978,12.0033
bra,1979,13.06841
bra,1980,12.83604
bra,1981,11.8072
bra,1982,11.77728
bra,1983,12.05732
bra,1986,12.38101
bra,1987,12.13049
bra,1988,11.98218
bra,1989,11.86375
bra,1990,11.69909
bra,1991,12.16292
bra,1992,11.83884
bra,1993,12.04711
bra,1994,12.13061
bra,1996,11.38528
bra,1998,13.34528
bra,1999,14.13379
bra,2000,15.18242
bra,2001,15.36702
bra,2002,14.77309
bra,2003,13.33185
bra,2004,13.62689
bra,2005,15.63157
bra,2007,14.34258
bra,2008,15.87981
bra,2009,17.94259
bra,2010,18.97493
bra,2011,19.38717
bra,2012,19.96351
bra,2013,20.53221
bra,2014,18.95573
bra,2015,19.31742
bra,2016,19.46537
bra,2017,19.2394
brb,1972,9.26126
brb,1981,12.7224
brb,1984,11.50897
brb,1985,9.60846
brb,1999,11.02871
brb,2000,12.17798
brb,2001,13.47804
brb,2007,14.51018
brn,1977,6.89583
brn,1979,8.54902
brn,1983,3.40625
brn,1984,6.38947
brn,1986,3.98013
brn,1987,5.43103
brn,1992,5.83193
brn,1993,5.50758
brn,1994,5.47687
brn,1998,6.43929
brn,1999,7.43976
brn,2000,8.24845
brn,2001,8.68023
brn,2002,9.10928
brn,2003,9.23984
brn,2004,8.59615
brn,2005,8.51356
brn,2006,8.35082
brn,2007,8.14176
brn,2008,8.06763
brn,2009,9.5721
brn,2010,8.34682
brn,2011,9.61684
brn,2012,11.7574
brn,2013,13.18891
brn,2014,15.11647
brn,2015,11.91447
brn,2016,11.12121
brn,2017,12.19033
brn,2018,12.41771
btn,1978,5.38462
btn,1979,7.33333
btn,1980,8.7027
btn,1983,8.22857
btn,2006,10.79096
btn,2007,6.30075
btn,2008,6.36948
btn,2010,6.74724
btn,2011,7.23945
btn,2012,7.74869
btn,2018,15.59269
bwa,1972,5.26471
bwa,1973,6.1
bwa,1974,9.63333
bwa,1975,8.375
bwa,1976,8.5
bwa,1977,8.88571
bwa,1978,8.96471
bwa,1979,9.55556
bwa,1980,7.7
bwa,1981,7.89583
bwa,1982,10.05344
bwa,1983,10.47445
bwa,1984,11.83916
bwa,1985,10.2
bwa,1986,10.76018
bwa,1987,9.93091
bwa,1991,8.94
bwa,1996,11.56863
bwa,2012,21.7716
bwa,2016,20.10643
bwa,2017,18.25175
caf,1976,7.87059
caf,1980,7.50538
caf,1981,3.87162
caf,1982,6.18689
caf,1983,5.68947
caf,1984,6.41755
caf,1985,5.86512
caf,1986,5.42127
caf,1989,7.96632
caf,1990,8.92821
caf,1999,20.76333
caf,2000,19.45538
caf,2008,29.05828
caf,2009,30.66765
caf,2011,34.60677
can,1993,11.04785
can,1994,10.17146
can,1995,10.08986
can,1998,9.50255
can,2008,6.86432
can,2009,7.31984
can,2010,6.90694
can,2011,7.71861
can,2012,7.75472
can,2013,7.95076
can,2014,7.97452
can,2015,7.63863
can,2016,9.17398
che,1981,13.01437
che,1991,18.63712
che,1996,18.89025
che,1999,19.44182
che,2000,19.03178
che,2001,14.76885
che,2002,9.06057
che,2003,9.10834
che,2004,7.4692
che,2005,5.86031
che,2006,6.29894
che,2007,6.71748
che,2008,6.64168
che,2009,6.27066
che,2010,6.24063
che,2011,6.21254
che,2012,5.8358
che,2014,8.86705
che,2016,8.71211
che,2017,8.72723
chl,1975,13.10509
chl,1983,12.95358
chl,1984,12.46877
chn,1970,0.79125
chn,1973,1.48814
chn,1974,2.25756
chn,1975,2.89743
chn,1976,3.21721
chn,1977,3.37327
chn,1978,3.35311
chn,1979,4.15178
chn,1980,4.40629
chn,1981,5.90136
chn,1985,7.33916
chn,1986,8.57496
chn,1987,8.15753
chn,1994,8.62926
chn,1997,11.41202
chn,1998,11.76455
chn,1999,12.63359
chn,2000,14.07175
chn,2001,15.96658
chn,2002,17.86136
chn,2003,20.45389
chn,2004,22.47211
chn,2005,14.67141
chn,2006,17.53158
chn,2007,17.14973
chn,2008,16.73773
chn,2009,19.61024
chn,2010,19.94105
chn,2011,19.48791
civ,1971,19.91364
civ,1972,9.92688
civ,1973,11.368
civ,1974,16.70652
civ,1982,15.55814
civ,2008,16.38978
civ,2010,14.2236
civ,2011,6.06687
civ,2013,11.3074
civ,2014,9.05427
civ,2015,10.28717
civ,2016,11.53832
civ,2017,11.67438
cmr,1971,12.22727
cmr,1972,12.38489
cmr,1973,13.67073
cmr,1980,30.98537
cmr,1987,21.78659
cmr,1991,30.54972
cmr,1999,25.29376
cmr,2000,21.819
cmr,2001,23.40909
cmr,2002,25.69676
cmr,2003,25.68478
cmr,2004,28.03308
cmr,2005,31.47305
cmr,2007,43.46513
cmr,2008,38.50574
cmr,2010,52.02621
cmr,2011,56.06818
cmr,2012,47.48183
cmr,2013,52.58283
cmr,2014,52.28042
cod,1971,9.40152
cod,1972,11.26051
cod,1974,11.60328
cod,1975,11.19329
cod,1976,12.36468
cod,1977,10.53021
cod,1978,9.97281
cod,1979,10.21927
cod,1985,11.83951
cod,1986,12.49328
cod,1987,13.94238
cod,1988,15.0599
cod,1989,15.85902
cod,1999,15.92951
cod,2006,14.06245
cod,2007,14.06232
cod,2008,15.35098
cod,2009,16.42257
cod,2011,21.09729
cod,2013,15.3402
cog,1971,15.28205
cog,1972,11.06716
cog,1973,14.46897
cog,1974,15.48193
cog,1975,13.36444
cog,1976,19.69091
cog,1978,17.98031
cog,1979,20.74144
cog,1980,22.6755
cog,1981,24.84589
cog,1982,25.10169
cog,1983,21.86343
cog,1984,17.6708
cog,1985,19.1633
cog,1986,17.40065
cog,1987,16.14076
cog,1988,15.38059
cog,1989,16.08424
cog,1990,11.92045
cog,1991,9.59622
cog,1992,10.39258
cog,1993,10.45117
cog,1999,24.23756
cog,2000,24.23101
cog,2001,16.38509
cog,2002,13.93356
cog,2003,13.81096
cog,2009,19.99744
cog,2011,11.52837
cog,2012,11.84896
cog,2013,12.25985
cog,2017,12.20142
col,1970,8.31083
col,1971,7.64789
col,1972,8.41692
col,1973,8.7261
col,1974,8.41762
col,1975,8.32497
col,1976,9.92241
col,1977,9.5143
col,1978,9.66261
col,1979,9.84328
col,1980,8.72399
col,1981,9.1348
col,1982,8.7311
col,1983,9.06037
col,1984,9.09276
col,1985,9.05661
col,1986,9.65027
col,1987,9.81777
col,1988,9.5402
col,1989,9.17906
col,1990,9.29446
col,1991,9.42783
col,1992,9.83791
col,1993,9.81196
col,1994,9.48693
col,1996,9.68151
col,1997,9.71044
col,1999,10.18898
col,2000,10.89401
col,2001,11.01901
col,2002,11.8757
col,2004,12.70874
col,2005,13.0624
col,2006,15.04596
col,2007,15.53906
col,2009,14.21373
col,2013,18.05688
col,2014,15.52306
col,2015,15.36408
col,2016,15.66259
col,2018,14.8453
com,1990,7.75
com,1999,9.68657
com,2000,9.39474
com,2003,13.656
com,2009,21.76536
com,2010,17.0524
com,2011,24.29956
com,2012,25.15289
com,2013,25.74793
com,2014,26.31174
cpv,2000,3.62443
cpv,2001,3.62626
cpv,2002,6.28472
cpv,2003,7.63793
cpv,2004,7.14353
cpv,2005,8.06186
cpv,2006,8.4262
cpv,2007,8.96441
cpv,2008,8.40657
cpv,2009,9.46868
cpv,2010,10.95464
cpv,2011,9.3479
cpv,2012,8.96657
cpv,2013,9.40821
cpv,2014,9.46784
cpv,2015,9.17862
cpv,2016,9.64985
cpv,2017,8.77715
cpv,2018,7.98015
cri,1986,11.86698
cub,1971,6.37975
cub,1973,10.37577
cub,1974,11.29022
cub,1975,11.88664
cub,1976,15.36952
cub,1977,17.06051
cub,1979,13.11905
cub,1980,13.62146
cub,1981,14.20721
cub,1982,13.71362
cub,1983,14.18778
cub,1984,12.1403
cub,1985,11.97466
cub,1986,12.03069
cub,1987,11.89538
cub,1988,11.65859
cub,1989,10.72607
cub,1990,9.89289
cub,1991,9.82787
cub,1992,9.01337
cub,1993,7.856
cub,1994,7.07743
cub,1995,6.0332
cub,1996,5.32703
cub,1997,4.94316
cub,1998,4.84326
cub,1999,6.52368
cub,2000,6.69369
cub,2001,7.84683
cub,2002,7.90372
cub,2003,5.28324
cub,2004,5.36899
cub,2005,5.1803
cub,2006,5.89563
cub,2007,6.36853
cub,2008,6.72106
cub,2009,6.27165
cub,2010,5.24128
cub,2011,7.07313
cub,2012,6.42806
cub,2013,5.41018
cub,2014,4.59873
cub,2015,4.59684
cub,2016,3.98398
cub,2017,4.58827
cub,2018,4.79499
cym,1999,16.63158
cym,2000,19.45455
cym,2001,18.81481
cym,2006,11.57143
cym,2007,25.04
cym,2008,26.82353
cyp,1971,10.90625
cyp,1972,10
cyp,1973,9.11881
cyp,1974,7.38261
cyp,1978,8.24812
cyp,1979,7.99451
cyp,1980,7.42439
cyp,1981,8.54626
cyp,1982,8.00405
cyp,1983,7.07451
cyp,1984,8.12177
cyp,1985,8.89655
cyp,1986,9.13703
cyp,1987,9.04497
cyp,1988,9.67426
cyp,1989,11.7814
cyp,1990,12.16632
cyp,1991,9.52616
cyp,1992,12.16082
cyp,1993,8.94714
cyp,1994,9.28552
cyp,1995,9.52761
cyp,1996,9.62473
cyp,1997,9.40811
cyp,1999,10.04819
cyp,2000,9.62477
cyp,2001,10.52381
cyp,2002,12.19527
cyp,2003,13.68689
cyp,2004,14.28014
cyp,2005,13.83735
cyp,2006,11.94835
cyp,2007,12.18586
cyp,2008,10.98247
cyp,2009,13.09637
cyp,2010,12.62554
cyp,2011,12.03372
cyp,2012,11.72399
cyp,2013,11.33913
cyp,2014,12.68324
cyp,2015,12.65441
cyp,2016,12.25608
cyp,2017,13.91423
cze,1971,7.49469
cze,1972,7.16542
cze,1973,6.92369
cze,1974,7.42204
cze,1975,8.06912
cze,1976,8.66625
cze,1977,9.27939
cze,1978,9.95958
cze,1979,10.24164
cze,1980,10.67086
cze,1981,10.80033
cze,1982,10.82902
cze,1983,10.56898
cze,1984,10.35312
cze,1985,9.4006
cze,1986,9.24454
cze,1987,9.16118
cze,1988,8.68087
cze,1989,9.02423
cze,1990,9.74038
cze,1991,9.98344
cze,1992,9.42081
cze,1993,7.87674
cze,1994,8.68747
cze,1996,9.69214
cze,1999,12.05108
cze,2000,12.67841
cze,2001,12.36891
cze,2003,12.98882
cze,2005,13.84093
cze,2006,14.98998
cze,2011,24.78408
cze,2012,25.19055
cze,2013,26.02222
deu,1993,7.55038
deu,1994,7.56585
deu,1995,7.13232
deu,1996,7.91215
deu,1997,7.75343
deu,2013,7.51864
deu,2014,7.57195
deu,2015,7.51542
deu,2016,7.56213
deu,2017,7.59384
dji,1996,11.81818
dji,1999,8.75
dji,2000,10.55556
dji,2001,12.4
dji,2002,15.16667
dji,2003,17.76471
dji,2004,12.32609
dji,2005,17.66667
dji,2006,17.52727
dji,2007,18.1157
dji,2009,20.12102
dji,2010,20.5414
dji,2011,19.20408
dma,1981,3.70588
dma,1984,3.41176
dma,1989,5.66667
dma,1991,12.64706
dma,1992,16.45
dma,1993,14.23529
dnk,1972,8.26837
dnk,1993,18.89149
dnk,1994,18.84656
dnk,1995,17.68573
dnk,2014,10.69246
dnk,2015,8.46297
dom,1986,18.92461
dom,1997,19.57693
dom,2003,25.82612
dom,2012,25.64907
dom,2014,26.20872
dom,2015,25.52517
dom,2016,25.8632
dom,2017,27.42709
dza,1987,11.46387
dza,1990,12.59581
dza,1992,14.65957
dza,1993,15.71256
dza,1995,14.91896
dza,1996,17.44902
dza,2001,28.81634
dza,2002,30.80505
dza,2003,31.49186
dza,2004,27.45342
dza,2005,27.92009
dza,2006,27.27833
dza,2007,28.4557
dza,2009,30.93161
dza,2010,28.76354
dza,2011,28.12166
dza,2012,26.05313
dza,2013,24.88584
dza,2014,23.77774
dza,2015,24.04748
dza,2016,25.67906
dza,2017,26.81942
dza,2018,27.2934
ecu,1971,13.49564
ecu,1979,22.12917
ecu,1980,22.48398
ecu,1983,21.74063
ecu,1984,22.18517
ecu,1988,21.84386
ecu,1990,15.597
ecu,1991,16.06573
ecu,1995,12.80205
ecu,1997,14.25968
ecu,2008,19.86332
ecu,2012,14.54677
ecu,2015,16.59034
egy,1971,16.37221
egy,1972,17.37382
egy,1973,18.49416
egy,1974,19.37508
egy,1975,21.35232
egy,1983,24.12449
egy,1984,26.3122
egy,1985,24.29397
egy,1986,26.78695
egy,2003,28.89463
egy,2004,28.02894
egy,2013,25.09349
egy,2014,23.87107
eri,1995,23.06618
eri,1996,22.20588
eri,1998,15.63636
eri,1999,21.70652
eri,2000,16.54
eri,2001,21.58824
eri,2002,21.59608
eri,2004,10.75058
eri,2009,16.04677
eri,2010,19.17038
eri,2014,20.24839
eri,2015,19.46263
eri,2016,14.09229
esp,1972,12.76378
esp,1973,14.08032
esp,1974,14.56154
esp,1975,15.90894
esp,1976,18.18922
esp,1977,17.04
esp,1978,20.53067
esp,1979,16.82671
esp,1980,16.65775
esp,1981,16.29168
esp,1982,16.31532
esp,1983,16.41973
esp,1984,17.2105
esp,1985,18.02806
esp,1986,19.68521
esp,1987,19.93708
esp,1988,19.85287
esp,1989,19.84176
esp,1990,19.74009
esp,1991,18.59086
esp,1992,18.48811
esp,1993,17.86962
esp,1994,18.22212
esp,1995,18.56878
esp,1996,18.04363
esp,1999,16.59356
esp,2000,17.08823
esp,2001,15.37175
esp,2002,13.72381
esp,2003,13.49063
esp,2004,13.07306
esp,2005,12.48062
esp,2006,12.23597
esp,2007,12.33594
esp,2008,12.22614
esp,2009,11.87901
esp,2010,12.10374
esp,2011,12.71799
esp,2012,12.6389
esp,2013,13.01222
esp,2014,12.87913
esp,2015,12.50899
esp,2016,11.99039
esp,2017,12.03248
est,1996,9.86981
est,1997,9.80113
est,1999,7.8586
est,2000,9.39425
est,2001,8.83726
est,2003,9.67828
est,2004,9.90332
est,2005,10.74021
est,2006,10.74017
est,2016,11.35883
est,2017,11.3498
eth,1971,8.80426
eth,1972,8.76408
eth,1973,7.66732
eth,1974,14.91705
eth,1978,22.7395
eth,1979,20.18882
eth,1980,13.77788
eth,1981,13.67079
eth,1982,13.17942
eth,1983,12.70055
eth,1984,11.08575
eth,1986,20.80518
eth,1987,22.22958
eth,1988,20.96989
eth,1989,18.3661
eth,1990,19.50262
eth,1991,20.16331
eth,1994,13.09255
eth,1995,16.8668
eth,1999,23.47621
eth,2000,27.12535
eth,2001,27.05167
eth,2002,30.73619
eth,2003,35.02699
eth,2004,35.83406
eth,2005,39.44956
eth,2009,34.06085
eth,2014,31.22114
fin,1971,9.5371
fin,1972,9.41307
fin,1973,8.76409
fin,1974,13.80537
fin,1975,13.71281
fin,1999,17.20259
fin,2000,16.66163
fin,2001,16.84405
fin,2002,16.3341
fin,2003,16.21437
fin,2004,16.19266
fin,2005,16.44698
fin,2008,21.76787
fin,2009,20.39814
fin,2010,19.6934
fin,2011,18.70971
fin,2012,19.11185
fin,2013,18.9193
fin,2014,19.32933
fin,2016,19.90775
fin,2017,19.84342
fji,1974,5.99005
fji,1975,9.95783
fji,1985,9.28916
fji,1986,6.90938
fji,1989,10.7638
fji,1991,28.54874
fra,1993,16.22754
fra,1994,16.6123
fra,1995,15.74122
fra,1996,15.82933
fra,1997,14.58521
fra,1999,19.66684
fra,2000,17.1169
fra,2001,15.97848
fra,2002,15.72922
fra,2003,15.80193
fra,2004,15.90994
fra,2012,19.87954
fra,2013,21.28925
fsm,1978,10.41818
fsm,1979,10.9871
fsm,1980,8.41139
fsm,1981,9.25652
fsm,1982,9.2069
fsm,1999,17.15909
fsm,2000,17.1
gab,1983,5.03704
gab,1984,5.24026
gab,1999,12.77436
gbr,1983,12.34701
gbr,1984,12.59626
gbr,1985,12.65927
gbr,1986,12.96757
gbr,1987,13.24489
gbr,1988,12.18466
gbr,1989,13.1498
gbr,1990,14.13916
gbr,1991,14.59615
gbr,1992,15.47566
gbr,1993,16.60083
gbr,1994,17.10658
gbr,1995,22.05856
gbr,1996,20.40373
gbr,1997,21.04721
gbr,1999,22.57864
gbr,2000,21.45123
gbr,2001,21.43441
gbr,2002,22.79198
gbr,2003,22.64284
gbr,2004,20.09694
gbr,2005,18.70358
gbr,2006,18.60183
gbr,2007,18.18529
gbr,2008,17.36226
gbr,2009,17.50795
gbr,2010,17.66389
gbr,2011,17.83285
gbr,2012,17.85441
gbr,2013,16.42327
gbr,2014,15.52415
gbr,2015,15.68994
gbr,2016,15.78774
gbr,2017,15.55958
geo,1981,10.19864
