geo,time,nv_srv_totl_kn
bel,2013,279525800000
bel,2014,283105200000
bel,2015,288476600000
bel,2016,292894900000
bel,2017,297774600000
bel,2018,304840200000
bel,2019,310836400000
bel,2020,292595800000
ben,1970,563934899804.36682
ben,1971,571764585885.979
ben,1972,609349854977.005
ben,1973,603641116482.24194
ben,1974,663046630023.50317
ben,1975,648706396526.62598
ben,1976,640120820698.21204
ben,1977,679694988568.41101
ben,1978,665041913743.53296
ben,1979,714095121147.25
ben,1980,792045439580.48303
ben,1981,934384569520.50586
ben,1982,894764972992.21582
ben,1983,835938240469.35388
ben,1984,852799313552.58093
ben,1985,903382748063.21899
ben,1986,975698409827.31396
ben,1987,994058278694.16101
ben,1988,962958817051.51196
ben,1989,842635872400.34497
ben,1990,963717656697.22205
ben,1991,976883525600
ben,1992,1004630708700
ben,1993,1055919072900
ben,1994,1057815125000
ben,1995,1131263959700
ben,1996,1156875848800
ben,1997,1228256374500
ben,1998,1280022903500
ben,1999,1355499322300
ben,2000,1525135276700
ben,2001,1638730939900
ben,2002,1680236054500
ben,2003,1776200325200
ben,2004,1832536530000
ben,2005,1921589070800
ben,2006,2026919213800
ben,2007,2194915588600
ben,2008,2478117385900
ben,2009,2469653208100
ben,2010,2529644178600
ben,2011,2750010544000
ben,2012,2904271284100
ben,2013,3158559828400
ben,2014,3316121104100
ben,2015,3315298000000
ben,2016,3376687000000
ben,2017,3561125944300
ben,2018,3764121218100
ben,2019,3960496337800
ben,2020,4152842609300
bfa,1970,322625356734.27002
bfa,1971,323734847858.60693
bfa,1972,348157002139.59497
bfa,1973,333644174802.96997
bfa,1974,389816935841.37097
bfa,1975,373018702146.96301
bfa,1976,401501300091.60498
bfa,1977,467283264413.03107
bfa,1978,489424181600.71802
bfa,1979,587968717328.33496
bfa,1980,559753299501.91101
bfa,1981,589589344635.50806
bfa,1982,679837584037.87292
bfa,1983,702014360615.53101
bfa,1984,686029995853.44897
bfa,1985,748303192769.12805
bfa,1986,787955744971.104
bfa,1987,804967344252.62805
bfa,1988,824864622972.97485
bfa,1989,869822976280.91101
bfa,1990,868771648011.81482
bfa,1991,914045164600
bfa,1992,891128335200
bfa,1993,887972303900
bfa,1994,844067018200
bfa,1995,908425223400
bfa,1996,1034298054600
bfa,1997,1114948626100
bfa,1998,1147187144700
bfa,1999,1146503208300
bfa,2000,1251989060900
bfa,2001,1342267951400
bfa,2002,1435046362800
bfa,2003,1496572982500
bfa,2004,1614085788200
bfa,2005,1761459089900
bfa,2006,1941611462000
bfa,2007,2029351002500
bfa,2008,2094804050900
bfa,2009,2219207904900
bfa,2010,2278333575100
bfa,2011,2427822581500
bfa,2012,2636464814000
bfa,2013,2779538185500
bfa,2014,2920262381400
bfa,2015,3083660000000
bfa,2016,3289555000000
bfa,2017,3492950317300
bfa,2018,3670676659900
bfa,2019,3958359938200
bfa,2020,3740438030500
bgd,1960,532081931359.98999
bgd,1961,535430641892.81598
bgd,1962,538851962953.534
bgd,1963,562530815561.16797
bgd,1964,569938439677.552
bgd,1965,600358261049.14099
bgd,1966,619532407067.97705
bgd,1967,656794274693.87292
bgd,1968,654633520407.02795
bgd,1969,704764237445.37292
bgd,1970,696929605025.35803
bgd,1971,649585908874.45691
bgd,1972,612893499690.48706
bgd,1973,665868268210.09802
bgd,1974,659955126223.672
bgd,1975,698586914422.08997
bgd,1976,721652850694.90405
bgd,1977,774571451970.68384
bgd,1978,802210777219.23694
bgd,1979,786594608741.93506
bgd,1980,857166116920.39392
bgd,1981,886703038041.56604
bgd,1982,915922685795.89795
bgd,1983,952187184734.76294
bgd,1984,991833706040.37683
bgd,1985,1026830300134.39001
bgd,1986,1068145423685.73999
bgd,1987,1108373599078.23999
bgd,1988,1142543638729.88989
bgd,1989,1180291024947.80005
bgd,1990,1217484570608.11011
bgd,1991,1258735429000
bgd,1992,1311618950300
bgd,1993,1362469176900
bgd,1994,1417658629900
bgd,1995,1482780896900
bgd,1996,1539228000000
bgd,1997,1602125000000
bgd,1998,1674859000000
bgd,1999,1749371000000
bgd,2000,1841815000000
bgd,2001,1940749000000
bgd,2002,2034626000000
bgd,2003,2135927000000
bgd,2004,2247275000000
bgd,2005,2386507000000
bgd,2006,2544066898200
bgd,2007,2709052540000
bgd,2008,2865158515500
bgd,2009,3010707715600
bgd,2010,3177164607100
bgd,2011,3374677044200
bgd,2012,3596597714700
bgd,2013,3794919732900
bgd,2014,4008359584700
bgd,2015,4240887000000
bgd,2016,4505811000000
bgd,2017,4807282000000
bgd,2018,5114389000000
bgd,2019,5461329000000
bgd,2020,5688538000000
bgr,1980,36618210870.4192
bgr,1981,40033772622.9512
bgr,1982,35503720450.3194
bgr,1983,41574485532.5119
bgr,1984,38386415845.0822
bgr,1985,45995706084.4996
bgr,1986,42059301647.3766
bgr,1987,52383130854.8368
bgr,1988,59997519561.9858
bgr,1989,54481454097.8736
bgr,1990,51180915189.3014
bgr,1991,53253398121.8523
bgr,1992,38928233991.4814
bgr,1993,39161803500.5623
bgr,1994,37947787567.1506
bgr,1995,39465698000
bgr,1996,41032089000
bgr,1997,30307790000
bgr,1998,34003676000
bgr,1999,28701709000
bgr,2000,29825445000
bgr,2001,30765804000
bgr,2002,33351510000
bgr,2003,34353190000
bgr,2004,35986138000
bgr,2005,39316420000
bgr,2006,42133220000
bgr,2007,45303404000
bgr,2008,46711352000
bgr,2009,47257025000
bgr,2010,50523270000
bgr,2011,51311756000
bgr,2012,51053577000
bgr,2013,50248850000
bgr,2014,50567825000
bgr,2015,52226248000
bgr,2016,53115725000
bgr,2017,55217891000
bgr,2018,58169747000
bgr,2019,61132345000
bgr,2020,59091386000
bhr,2006,3930890000
bhr,2007,4315760000
bhr,2008,4651800000
bhr,2009,4882590000
bhr,2010,5190050000
bhr,2011,5319880000
bhr,2012,5749070000
bhr,2013,5918680000
bhr,2014,6186500000
bhr,2015,6383910000
bhr,2016,6666410000
bhr,2017,7127000000
bhr,2018,7304150000
bhr,2019,7197350000
bhr,2020,6653600000
bhs,1989,7792515188.04579
bhs,1990,7738303586.00095
bhs,1991,6778131900
bhs,1992,6977558500
bhs,1993,7192925300
bhs,1994,7257970100
bhs,1995,7646035700
bhs,1996,7934503700
bhs,1997,6716200000
bhs,1998,6938800000
bhs,1999,7694800000
bhs,2000,7778000000
bhs,2001,8154600000
bhs,2002,8310900000
bhs,2003,8058800000
bhs,2004,8274300000
bhs,2005,8572100000
bhs,2006,8457100000
bhs,2007,8949100000
bhs,2008,8580800000
bhs,2009,8201200000
bhs,2010,8225100000
bhs,2011,8167900000
bhs,2012,8248400000
bhs,2013,8180200000
bhs,2014,8429300000
bhs,2015,8788800000
bhs,2016,8929900000
bhs,2017,8919000000
bhs,2018,9146100000
bhs,2019,9237400000
bhs,2020,7471100000
bih,2000,10834546035.0225
bih,2001,11010522879.4791
bih,2002,11568953847.1948
bih,2003,12112778015.4156
bih,2004,12747112880.7256
bih,2005,12981908655.4924
bih,2006,13545892491.1022
bih,2007,14322414930.631
bih,2008,14942497520.1163
bih,2009,14663949530.6457
bih,2010,14806185711.2888
bih,2011,15061090475.0672
bih,2012,15239449700.5176
bih,2013,15300625273.2886
bih,2014,15702727271.5965
bih,2015,16060040831.4028
bih,2016,16385652367.9112
bih,2017,17027520174.0094
bih,2018,17566293250.1076
bih,2019,18431659980.7433
bih,2020,17687757000
blr,1990,18862589271.8632
blr,1991,18325195500
blr,1992,15661459200
blr,1993,14250719300
blr,1994,14645405900
blr,1995,12553277600
blr,1996,12789668600
blr,1997,14559803300
blr,1998,16030420700
blr,1999,17199147800
blr,2000,18127941800
blr,2001,19456730500
blr,2002,20061177600
blr,2003,20956157400
blr,2004,22434689800
blr,2005,24268288900
blr,2006,26233219700
blr,2007,27443089100
blr,2008,28766758600
blr,2009,29002254200
blr,2010,31683333000
blr,2011,34125846700
blr,2012,33794147000
blr,2013,35713905900
blr,2014,36786200000
blr,2015,36242100000
blr,2016,35318700000
blr,2017,35807700000
blr,2018,36851800000
blr,2019,37390884800
blr,2020,36600643100
blz,1980,345592735.06892
blz,1981,350447740.88201
blz,1982,342223405.32073
blz,1983,342287338.03653
blz,1984,354181591.96652
blz,1985,356752146.76979
blz,1986,374574260.05334
blz,1987,404863182.84656
blz,1988,440977733.49459
blz,1989,495941307.19306
blz,1990,538659122.93765
blz,1991,575200000
blz,1992,647702400
blz,1993,686677900
blz,1994,702328800
blz,1995,708359500
blz,1996,718355200
blz,1997,742680700
blz,1998,783175700
blz,1999,845108100
blz,2000,938522800
blz,2001,1001128500
blz,2002,1074445200
blz,2003,1162208100
blz,2004,1203077400
blz,2005,1246096300
blz,2006,1282140800
blz,2007,1349628500
blz,2008,1370395600
blz,2009,1377926700
blz,2010,1429013000
blz,2011,1451526300
blz,2012,1485196800
blz,2013,1498042600
blz,2014,1562159000
blz,2015,1668621800
blz,2016,1782280400
blz,2017,1841478100
blz,2018,1892714500
blz,2019,1945161000
blz,2020,1620000000
bmu,2010,6359436000
bmu,2011,6143988000
bmu,2012,5838521000
bmu,2013,5823723000
bmu,2014,5623627000
bmu,2015,5636683000
bmu,2016,5589728000
bmu,2017,5789582000
bmu,2018,5750165000
bmu,2019,5734320000
bol,1960,2390934815.68788
bol,1961,2451311957.49818
bol,1962,2637618566.51282
bol,1963,2782981325.88946
bol,1964,2871855966.33735
bol,1965,2910267887.20889
bol,1966,3131701313.40957
bol,1967,3340330765.9864
bol,1968,3718424575.34946
bol,1969,4017435018.21228
bol,1970,4267489091.33685
bol,1971,4486942572.13374
bol,1972,4733780196.11499
bol,1973,4947021533.31913
bol,1974,5249641671.19444
bol,1975,5732667530.1408
bol,1976,6193887497.29221
bol,1977,6537837406.8254
bol,1978,6863150885.58035
bol,1979,7053572103.46419
bol,1980,7140035000
bol,1981,7361762000
bol,1982,7063205000
bol,1983,6765056000
bol,1984,6655787000
bol,1985,6660835000
bol,1986,6413739000
bol,1987,6526290000
bol,1988,6659665000
bol,1989,6907034000
bol,1990,7121415000
bol,1991,7430180000
bol,1992,7740003000
bol,1993,8070691000
bol,1994,8419514000
bol,1995,8728367000
bol,1996,9209020000
bol,1997,9898316000
bol,1998,10511265000
bol,1999,10964260000
bol,2000,11158914000
bol,2001,11344959000
bol,2002,11498875000
bol,2003,11638313000
bol,2004,11906078000
bol,2005,12168581000
bol,2006,12650842000
bol,2007,13224801000
bol,2008,13756474000
bol,2009,14431488000
bol,2010,15176244449.5481
bol,2011,15866825369.0086
bol,2012,16721691246.0592
bol,2013,17780178610.3945
bol,2014,18725931015.5994
bol,2015,19848856740.0212
bol,2016,20954303098.4303
bol,2017,21980068062.4446
bol,2018,23137165938.548
bol,2019,23949983665.0706
bol,2020,21898445627.5344
bra,1991,1273703393739.07007
bra,1992,1293063685323.90991
bra,1993,1334571029622.80005
bra,1994,1358626965925.55005
bra,1995,1376263580880.08008
bra,1996,1407905775171.36011
bra,1997,1443585399265.70996
bra,1998,1464105698983.36011
bra,1999,1490757037412.93994
bra,2000,1548102765734.32007
bra,2001,1580051180668.37012
bra,2002,1629385901322.05005
bra,2003,1645538325957.42993
bra,2004,1727972485466.22998
bra,2005,1791227136780.27002
bra,2006,1868809574507.62964
bra,2007,1977695974472.87012
bra,2008,2073100406717.5
bra,2009,2115947738733.56006
bra,2010,2238750000000
bra,2011,2316162000000
bra,2012,2383398096818.16943
bra,2013,2449032775630.7002
bra,2014,2473165628670.35986
bra,2015,2405555178183.12012
bra,2016,2352119531054.97998
bra,2017,2370128845615.58008
bra,2018,2419596841180.74023
bra,2019,2459650545212.27979
bra,2020,2349867950113.12012
brb,1975,3297418375.62528
brb,1976,3323819605.27512
brb,1977,3517521815.37062
brb,1978,3663348183.71987
brb,1979,3969856334.69759
brb,1980,4136197682.58299
brb,1981,4140021100.50022
brb,1982,3946583356.07094
brb,1983,3915603092.31469
brb,1984,4038012914.96134
brb,1985,4164200818.55389
brb,1986,4368972805.82082
brb,1987,4610769986.35743
brb,1988,4775494315.598
brb,1989,4984044383.81082
brb,1990,4789095407.00318
brb,1991,4608503100
brb,1992,4374262100
brb,1993,4450579400
brb,1994,4665174400
brb,1995,4719578700
brb,1996,4832165500
brb,1997,5049783000
brb,1998,5407945100
brb,1999,5355051900
brb,2000,5666365800
brb,2001,5540933500
brb,2002,5552267800
brb,2003,5736638100
brb,2004,5831845700
brb,2005,6001103800
brb,2006,6638779600
brb,2007,6871609200
brb,2008,6879150900
brb,2009,6494545900
brb,2010,6451793100
brb,2011,6419933400
brb,2012,6415699300
brb,2013,6318665700
brb,2014,6328783400
brb,2015,6494350700
brb,2016,6723648400
brb,2017,6756596900
brb,2018,6736785000
brb,2019,6776500000
brn,1989,3177755443.06729
brn,1990,3291532737.44843
brn,1991,3266319200
brn,1992,3391697100
brn,1993,3483367500
brn,1994,3560931600
brn,1995,3663525100
brn,1996,3646469000
brn,1997,3917542300
brn,1998,3871447700
brn,1999,3944343400
brn,2000,4043408200
brn,2001,4290204700
brn,2002,4408949900
brn,2003,4481624200
brn,2004,4571072600
brn,2005,4759494500
brn,2006,5112001000
brn,2007,5584225400
brn,2008,5731892400
brn,2009,5851664300
brn,2010,6074748000
brn,2011,6374583000
brn,2012,6727896000
brn,2013,7042337000
brn,2014,7084122000
brn,2015,7003930000
brn,2016,6886875000
brn,2017,6961555000
brn,2018,7015984000
brn,2019,7257892000
brn,2020,7106712430.19562
btn,1980,1376409600
btn,1981,1431474500
btn,1982,1401091700
btn,1983,1436110700
btn,1984,1488991500
btn,1985,1748194900
btn,1986,1994931600
btn,1987,2275104500
btn,1988,2505098100
btn,1989,2746300600
btn,1990,3641093000
btn,1991,3704416100
btn,1992,3696334700
btn,1993,3912473600
btn,1994,4007299000
