geo,time,sh_anm_chld_zs
arg,2010,18.8
arg,2011,18.7
arg,2012,18.5
arg,2013,18.4
arg,2014,18.3
arg,2015,18.3
arg,2016,18.3
arg,2017,18.5
arg,2018,18.6
arg,2019,19
arm,2000,28.9
arm,2001,28.5
arm,2002,28.3
arm,2003,27.9
arm,2004,27.6
arm,2005,26.9
arm,2006,26.3
arm,2007,25.5
arm,2008,24.6
arm,2009,23.6
arm,2010,22.5
arm,2011,21.6
arm,2012,21
arm,2013,20.3
arm,2014,19.8
arm,2015,19.3
arm,2016,19.1
arm,2017,19.1
arm,2018,19.3
arm,2019,19.6
atg,2000,27.4
atg,2001,27
atg,2002,26.4
atg,2003,25.9
atg,2004,25.1
atg,2005,24.3
atg,2006,23.5
atg,2007,22.6
atg,2008,21.8
atg,2009,21
atg,2010,20.2
atg,2011,19.6
atg,2012,19.1
atg,2013,18.6
atg,2014,18.2
atg,2015,17.9
atg,2016,17.6
atg,2017,17.4
atg,2018,17.3
atg,2019,17.2
aus,2000,11.8
aus,2001,11.7
aus,2002,11.6
aus,2003,11.6
aus,2004,11.6
aus,2005,11.6
aus,2006,11.6
aus,2007,11.7
aus,2008,11.6
aus,2009,11.6
aus,2010,11.6
aus,2011,11.6
aus,2012,11.5
aus,2013,11.5
aus,2014,11.6
aus,2015,11.8
aus,2016,12.1
aus,2017,12.4
aus,2018,12.8
aus,2019,13.3
aut,2000,12.1
aut,2001,12.1
aut,2002,12
aut,2003,12.1
aut,2004,12.1
aut,2005,12.1
aut,2006,12.2
aut,2007,12.2
aut,2008,12.3
aut,2009,12.4
aut,2010,12.4
aut,2011,12.5
aut,2012,12.6
aut,2013,12.7
aut,2014,12.9
aut,2015,13.2
aut,2016,13.5
aut,2017,13.8
aut,2018,14.2
aut,2019,14.6
aze,2000,43.4
aze,2001,42.2
aze,2002,41.2
aze,2003,40.3
aze,2004,39.5
aze,2005,38.5
aze,2006,37.4
aze,2007,36.1
aze,2008,34.6
aze,2009,33.2
aze,2010,31.8
aze,2011,30.4
aze,2012,29.1
aze,2013,28
aze,2014,27.1
aze,2015,26.3
aze,2016,25.7
aze,2017,25.2
aze,2018,24.9
aze,2019,24.8
bdi,2000,67.7
bdi,2001,65.8
bdi,2002,63.8
bdi,2003,62
bdi,2004,60.3
bdi,2005,58.6
bdi,2006,57
bdi,2007,55.5
bdi,2008,54.2
bdi,2009,53.1
bdi,2010,52.4
bdi,2011,52
bdi,2012,52
bdi,2013,52.3
bdi,2014,52.9
bdi,2015,53.7
bdi,2016,54.7
bdi,2017,55.9
bdi,2018,56.9
bdi,2019,58
bel,2000,13.8
bel,2001,13.6
bel,2002,13.6
bel,2003,13.6
bel,2004,13.6
bel,2005,13.8
bel,2006,14
bel,2007,14.2
bel,2008,14.3
bel,2009,14.5
bel,2010,14.6
bel,2011,14.9
bel,2012,15.2
bel,2013,15.3
bel,2014,15.6
bel,2015,15.9
bel,2016,16.4
bel,2017,16.8
bel,2018,17.1
bel,2019,17.4
ben,2000,80.3
ben,2001,79.9
ben,2002,79.4
ben,2003,78.8
ben,2004,78
ben,2005,77.3
ben,2006,76.4
ben,2007,75.6
ben,2008,74.7
ben,2009,73.9
ben,2010,73.2
ben,2011,72.7
ben,2012,72.3
ben,2013,72.2
ben,2014,72.1
ben,2015,72
ben,2016,71.9
ben,2017,71.7
ben,2018,71.4
ben,2019,71
bfa,2000,88.2
bfa,2001,88.3
bfa,2002,88.4
bfa,2003,88.4
bfa,2004,88.3
bfa,2005,88.1
bfa,2006,88
bfa,2007,87.7
bfa,2008,87.4
bfa,2009,87.1
bfa,2010,86.6
bfa,2011,86.2
bfa,2012,85.6
bfa,2013,84.9
bfa,2014,84
bfa,2015,82.9
bfa,2016,81.6
bfa,2017,80.1
bfa,2018,78.4
bfa,2019,76.6
bgd,2000,56.6
bgd,2001,55.2
bgd,2002,53.9
bgd,2003,52.7
bgd,2004,51.7
bgd,2005,50.6
bgd,2006,49.6
bgd,2007,48.6
bgd,2008,47.7
bgd,2009,46.8
bgd,2010,46.1
bgd,2011,45.4
bgd,2012,44.9
bgd,2013,44.4
bgd,2014,44
bgd,2015,43.8
bgd,2016,43.5
bgd,2017,43.3
bgd,2018,43.1
bgd,2019,43.1
bgr,2000,28.8
bgr,2001,28.4
bgr,2002,28.3
bgr,2003,28.1
bgr,2004,27.8
bgr,2005,27.3
bgr,2006,26.8
bgr,2007,26.3
bgr,2008,25.9
bgr,2009,25.6
bgr,2010,25.2
bgr,2011,24.8
bgr,2012,24.4
bgr,2013,24.1
bgr,2014,23.8
bgr,2015,23.7
bgr,2016,23.6
bgr,2017,23.7
bgr,2018,23.9
bgr,2019,24.1
bhr,2000,26.2
bhr,2001,25.6
bhr,2002,25.1
bhr,2003,24.9
bhr,2004,24.7
bhr,2005,24.4
bhr,2006,24.1
bhr,2007,23.7
bhr,2008,23.3
bhr,2009,23
bhr,2010,22.6
bhr,2011,22.4
bhr,2012,22.3
bhr,2013,22.3
bhr,2014,22.4
bhr,2015,22.5
bhr,2016,22.7
bhr,2017,22.9
bhr,2018,23.1
bhr,2019,23.4
bhs,2000,19.4
bhs,2001,19.3
bhs,2002,19.4
bhs,2003,19.6
bhs,2004,19.8
bhs,2005,19.9
bhs,2006,19.9
bhs,2007,19.8
bhs,2008,19.6
bhs,2009,19.2
bhs,2010,18.9
bhs,2011,18.4
bhs,2012,18
bhs,2013,17.8
bhs,2014,17.7
bhs,2015,17.6
bhs,2016,17.6
bhs,2017,17.5
bhs,2018,17.7
bhs,2019,17.9
bih,2000,25.3
bih,2001,25
bih,2002,24.8
bih,2003,24.8
bih,2004,24.8
bih,2005,24.8
bih,2006,24.7
bih,2007,24.5
bih,2008,24.2
bih,2009,23.9
bih,2010,23.6
bih,2011,23.4
bih,2012,23.2
bih,2013,23.1
bih,2014,23.1
bih,2015,23.2
bih,2016,23.4
bih,2017,23.6
bih,2018,23.9
bih,2019,24.3
blr,2000,24.8
blr,2001,24
blr,2002,23.4
blr,2003,22.8
blr,2004,22.2
blr,2005,21.4
blr,2006,20.7
blr,2007,19.8
blr,2008,18.9
blr,2009,18.1
blr,2010,17.5
blr,2011,17.1
blr,2012,16.9
blr,2013,16.8
blr,2014,16.8
blr,2015,16.9
blr,2016,17.1
blr,2017,17.3
blr,2018,17.5
blr,2019,17.8
blz,2000,26.1
blz,2001,25.7
blz,2002,25.4
blz,2003,25.1
blz,2004,24.8
blz,2005,24.6
blz,2006,24.5
blz,2007,24.3
blz,2008,24
blz,2009,23.6
blz,2010,23.1
blz,2011,22.7
blz,2012,22.3
blz,2013,22
blz,2014,21.7
blz,2015,21.3
blz,2016,21
blz,2017,20.7
blz,2018,20.4
blz,2019,20.2
bol,2000,57
bol,2001,56.9
bol,2002,56.8
bol,2003,56.7
bol,2004,56.6
bol,2005,56.4
bol,2006,56.2
bol,2007,55.6
bol,2008,54.8
bol,2009,53.8
bol,2010,52.5
bol,2011,51.1
bol,2012,49.5
bol,2013,47.7
bol,2014,46.2
bol,2015,44.3
bol,2016,42
bol,2017,40.1
bol,2018,38.3
bol,2019,36.9
bra,2000,25.9
bra,2001,25
bra,2002,24.3
bra,2003,23.7
bra,2004,23
bra,2005,22.2
bra,2006,21.4
bra,2007,20.6
bra,2008,19.7
bra,2009,18.7
bra,2010,17.7
bra,2011,16.7
bra,2012,15.9
bra,2013,15.1
bra,2014,14.3
bra,2015,13.7
bra,2016,13
bra,2017,12.5
bra,2018,11.9
bra,2019,11.6
brb,2000,21.4
brb,2001,21.8
brb,2002,22.1
brb,2003,22.4
brb,2004,22.5
brb,2005,22.5
brb,2006,22.5
brb,2007,22.4
brb,2008,22.2
brb,2009,22.1
brb,2010,21.9
brb,2011,21.8
brb,2012,21.5
brb,2013,21.3
brb,2014,21.1
brb,2015,20.8
brb,2016,20.6
brb,2017,20.3
brb,2018,20.1
brb,2019,20
brn,2000,17
brn,2001,16.7
brn,2002,16.6
brn,2003,16.7
brn,2004,16.6
brn,2005,16.7
brn,2006,16.9
brn,2007,17
brn,2008,17
brn,2009,16.9
brn,2010,16.9
brn,2011,17
brn,2012,17.1
brn,2013,17.2
brn,2014,17.4
brn,2015,17.8
brn,2016,18.2
brn,2017,18.8
brn,2018,19.3
brn,2019,20
btn,2000,67.5
btn,2001,66.5
btn,2002,65.4
btn,2003,64.2
btn,2004,62.8
btn,2005,61.4
btn,2006,59.9
btn,2007,58.3
btn,2008,56.6
btn,2009,55
btn,2010,53.4
btn,2011,51.9
btn,2012,50.5
btn,2013,49.2
btn,2014,48.1
btn,2015,47.2
btn,2016,46.4
btn,2017,45.7
btn,2018,45.2
btn,2019,44.7
bwa,2000,44.2
bwa,2001,43.6
bwa,2002,42.9
bwa,2003,42.3
bwa,2004,41.5
bwa,2005,40
bwa,2006,38.4
bwa,2007,37.7
bwa,2008,37.6
bwa,2009,37.5
bwa,2010,37.5
bwa,2011,38.3
bwa,2012,38.7
bwa,2013,39.1
bwa,2014,40
bwa,2015,41.3
bwa,2016,42.5
bwa,2017,43.1
bwa,2018,43.2
bwa,2019,43.3
caf,2000,82
caf,2001,81.5
caf,2002,81.1
caf,2003,80.6
caf,2004,80.2
caf,2005,79.8
caf,2006,79.3
caf,2007,78.8
caf,2008,78.4
caf,2009,78
caf,2010,77.7
caf,2011,77.3
caf,2012,77.1
caf,2013,76.9
caf,2014,76.7
caf,2015,76.3
caf,2016,75.8
caf,2017,75.2
caf,2018,74.4
caf,2019,73.6
can,2000,10.7
can,2001,10.5
can,2002,10.4
can,2003,10.4
can,2004,10.3
can,2005,10.3
can,2006,10.3
can,2007,10.3
can,2008,10.3
can,2009,10.4
can,2010,10.4
can,2011,10.5
can,2012,10.7
can,2013,10.9
can,2014,11.2
can,2015,11.5
can,2016,11.8
can,2017,12.2
can,2018,12.7
can,2019,13.2
che,2000,11.1
che,2001,11
che,2002,11
che,2003,11
che,2004,11
che,2005,11
che,2006,11.1
che,2007,11.1
che,2008,11.1
che,2009,11.2
che,2010,11.3
che,2011,11.4
che,2012,11.6
che,2013,11.8
che,2014,12.1
che,2015,12.4
che,2016,12.8
che,2017,13.2
che,2018,13.6
che,2019,14
chl,2000,20.9
chl,2001,20.4
chl,2002,20.1
chl,2003,19.8
chl,2004,19.7
chl,2005,19.5
chl,2006,19.5
chl,2007,19.5
chl,2008,19.5
chl,2009,19.4
chl,2010,19.3
chl,2011,19.3
chl,2012,19.3
chl,2013,19.3
chl,2014,19.3
chl,2015,19.3
chl,2016,19.4
chl,2017,19.5
chl,2018,19.7
chl,2019,20.1
chn,2000,28.5
chn,2001,27
chn,2002,25.8
chn,2003,24.6
chn,2004,23.6
chn,2005,22.6
chn,2006,21.7
chn,2007,20.8
chn,2008,20.1
chn,2009,19.5
chn,2010,19
chn,2011,18.6
chn,2012,18.3
chn,2013,18.2
chn,2014,18.1
chn,2015,18.2
chn,2016,18.3
chn,2017,18.4
chn,2018,18.5
chn,2019,18.8
civ,2000,80
civ,2001,79.3
civ,2002,78.6
civ,2003,77.9
civ,2004,77.2
civ,2005,76.6
civ,2006,76
civ,2007,75.4
civ,2008,75
civ,2009,74.6
civ,2010,74.4
civ,2011,74.3
civ,2012,74.3
civ,2013,74.3
civ,2014,74.3
civ,2015,74.2
civ,2016,74
civ,2017,73.6
civ,2018,73
civ,2019,72.2
cmr,2000,70.7
cmr,2001,70
cmr,2002,69.3
cmr,2003,68.6
cmr,2004,67.9
cmr,2005,67.2
cmr,2006,66.5
cmr,2007,65.8
cmr,2008,65.1
cmr,2009,64.6
cmr,2010,64
cmr,2011,63.6
cmr,2012,63.3
cmr,2013,62.9
cmr,2014,62.6
cmr,2015,62.1
cmr,2016,61.5
cmr,2017,60.8
cmr,2018,60
cmr,2019,59.2
cod,2000,76.6
cod,2001,75.9
cod,2002,75.2
cod,2003,74.4
cod,2004,73.6
cod,2005,72.8
cod,2006,72.1
cod,2007,71.3
cod,2008,70.5
cod,2009,69.9
cod,2010,69.3
cod,2011,68.8
cod,2012,68.4
cod,2013,68
cod,2014,67.7
cod,2015,67.3
cod,2016,66.9
cod,2017,66.3
cod,2018,65.6
cod,2019,64.9
cog,2000,72.5
cog,2001,72
cog,2002,71.4
cog,2003,70.7
cog,2004,69.7
cog,2005,68.7
cog,2006,67.7
cog,2007,66.8
cog,2008,65.9
cog,2009,65.3
cog,2010,64.9
cog,2011,64.6
cog,2012,64.4
cog,2013,64.2
cog,2014,63.9
cog,2015,63.5
cog,2016,63
cog,2017,62.3
cog,2018,61.6
cog,2019,60.8
col,2000,30.2
col,2001,30
col,2002,29.8
col,2003,29.5
col,2004,29.3
col,2005,28.9
col,2006,28.5
col,2007,28
col,2008,27.5
col,2009,26.9
col,2010,26.3
col,2011,25.6
col,2012,24.9
col,2013,24.3
col,2014,23.8
col,2015,23.3
col,2016,22.9
col,2017,22.5
col,2018,22.3
col,2019,22.2
com,2000,61.3
com,2001,60.5
com,2002,59.9
com,2003,59.4
com,2004,58.8
com,2005,58.2
com,2006,57.5
com,2007,56.8
com,2008,56.2
com,2009,55.5
com,2010,55
com,2011,54.4
com,2012,54.1
com,2013,53.9
com,2014,53.8
com,2015,53.8
com,2016,53.9
com,2017,53.9
com,2018,53.9
com,2019,53.9
cpv,2000,58.4
cpv,2001,56.3
cpv,2002,54.6
cpv,2003,53.4
cpv,2004,52.5
cpv,2005,52
cpv,2006,51.7
cpv,2007,51.4
cpv,2008,51.2
cpv,2009,50.9
cpv,2010,50.5
cpv,2011,50.1
cpv,2012,49.6
cpv,2013,49
cpv,2014,48.3
cpv,2015,47.6
cpv,2016,46.7
cpv,2017,45.8
cpv,2018,44.9
cpv,2019,44.1
cri,2000,20.1
cri,2001,19.9
cri,2002,19.8
cri,2003,19.7
cri,2004,19.7
cri,2005,19.6
cri,2006,19.5
cri,2007,19.4
cri,2008,19.3
cri,2009,19.1
cri,2010,18.9
cri,2011,18.8
cri,2012,18.7
cri,2013,18.6
cri,2014,18.6
cri,2015,18.6
cri,2016,18.6
cri,2017,18.7
cri,2018,18.8
cri,2019,19
cub,2000,26.4
cub,2001,26.3
cub,2002,26.4
cub,2003,26.4
cub,2004,26.2
cub,2005,25.7
cub,2006,25.2
cub,2007,24.6
cub,2008,24
cub,2009,23.3
cub,2010,22.5
cub,2011,21.9
cub,2012,21.5
cub,2013,21
cub,2014,20.5
cub,2015,19.9
cub,2016,19.4
cub,2017,18.9
cub,2018,18.5
cub,2019,18.1
cyp,2000,13.4
cyp,2001,13.2
cyp,2002,13.1
cyp,2003,13
cyp,2004,13
cyp,2005,12.9
cyp,2006,12.9
cyp,2007,12.9
cyp,2008,12.8
cyp,2009,12.8
cyp,2010,12.8
cyp,2011,12.9
cyp,2012,12.9
cyp,2013,13.1
cyp,2014,13.2
cyp,2015,13.4
cyp,2016,13.7
cyp,2017,13.9
cyp,2018,14.2
cyp,2019,14.5
cze,2000,17.4
cze,2001,17
cze,2002,16.9
cze,2003,16.7
cze,2004,16.6
cze,2005,16.4
cze,2006,16.2
cze,2007,16.1
cze,2008,16
cze,2009,16
cze,2010,16.1
cze,2011,16.2
cze,2012,16.4
cze,2013,16.6
cze,2014,16.9
cze,2015,17.2
cze,2016,17.5
cze,2017,17.8
cze,2018,18.2
cze,2019,18.7
deu,2000,11.7
deu,2001,11.6
deu,2002,11.6
deu,2003,11.7
deu,2004,11.7
deu,2005,11.7
deu,2006,11.7
deu,2007,11.7
deu,2008,11.8
deu,2009,11.8
deu,2010,11.9
deu,2011,12
deu,2012,12.1
deu,2013,12.4
deu,2014,12.7
deu,2015,13.1
deu,2016,13.5
deu,2017,14
deu,2018,14.5
deu,2019,15.1
dji,2000,61.5
dji,2001,60.5
dji,2002,59.4
dji,2003,58.3
dji,2004,57.2
dji,2005,56.2
dji,2006,55.4
dji,2007,54.7
dji,2008,54
dji,2009,53.3
dji,2010,52.8
dji,2011,52.4
dji,2012,52.1
dji,2013,52
dji,2014,51.9
dji,2015,51.9
dji,2016,52
dji,2017,52
dji,2018,52
dji,2019,52
dma,2000,26.8
dma,2001,26.6
dma,2002,26.4
dma,2003,26.3
dma,2004,26.5
dma,2005,26.7
dma,2006,27
dma,2007,27.3
dma,2008,27.6
dma,2009,27.9
dma,2010,28.2
dma,2011,28.3
dma,2012,28.4
dma,2013,28.5
dma,2014,28.7
dma,2015,28.9
dma,2016,29.1
dma,2017,29.2
dma,2018,29.5
dma,2019,29.8
dnk,2000,12.9
dnk,2001,13
dnk,2002,13.1
dnk,2003,13
dnk,2004,12.8
dnk,2005,12.7
dnk,2006,12.7
dnk,2007,12.6
dnk,2008,12.5
dnk,2009,12.5
dnk,2010,12.6
dnk,2011,12.8
dnk,2012,13
dnk,2013,13.1
dnk,2014,13.3
dnk,2015,13.5
dnk,2016,13.8
dnk,2017,14.1
dnk,2018,14.2
dnk,2019,14.5
dom,2000,34.6
dom,2001,34.1
dom,2002,33.7
dom,2003,33.2
dom,2004,32.8
dom,2005,32.3
dom,2006,31.7
dom,2007,31.1
dom,2008,30.6
dom,2009,30.2
dom,2010,30
dom,2011,29.8
dom,2012,29.6
dom,2013,29.3
dom,2014,29.2
dom,2015,28.9
dom,2016,28.5
dom,2017,28.2
dom,2018,28
dom,2019,27.8
dza,2000,39.9
dza,2001,39.3
dza,2002,38.8
dza,2003,38.3
dza,2004,37.9
dza,2005,37.4
dza,2006,36.9
dza,2007,36.3
dza,2008,35.8
dza,2009,35.2
dza,2010,34.7
dza,2011,34.3
dza,2012,34.1
dza,2013,33.9
dza,2014,33.9
dza,2015,33.9
dza,2016,34
dza,2017,34
dza,2018,34.1
dza,2019,34.3
ecu,2000,31.9
ecu,2001,31.4
ecu,2002,30.9
ecu,2003,30.5
ecu,2004,30.1
ecu,2005,29.6
ecu,2006,29.2
ecu,2007,28.5
ecu,2008,27.8
ecu,2009,27.1
ecu,2010,26.3
ecu,2011,25.6
ecu,2012,25
ecu,2013,24.5
ecu,2014,24.3
ecu,2015,24
ecu,2016,23.8
ecu,2017,23.7
ecu,2018,23.6
ecu,2019,23.5
egy,2000,39.6
egy,2001,39.6
egy,2002,39.8
egy,2003,40
egy,2004,40.1
egy,2005,40.2
egy,2006,40
egy,2007,39.7
egy,2008,39.1
egy,2009,38.4
egy,2010,37.7
egy,2011,36.9
egy,2012,36.2
egy,2013,35.5
egy,2014,34.9
egy,2015,34.1
egy,2016,33.5
egy,2017,33
egy,2018,32.5
egy,2019,32.2
eri,2000,59.5
eri,2001,58.1
eri,2002,56.8
eri,2003,55.7
eri,2004,54.7
eri,2005,53.8
eri,2006,53
eri,2007,52.1
eri,2008,51.3
eri,2009,50.6
eri,2010,49.9
eri,2011,49.4
eri,2012,49
eri,2013,48.8
eri,2014,48.7
eri,2015,48.6
eri,2016,48.7
eri,2017,48.7
eri,2018,48.8
eri,2019,48.8
esp,2000,12
esp,2001,11.8
esp,2002,11.8
esp,2003,11.8
esp,2004,11.8
esp,2005,11.9
esp,2006,12
esp,2007,12.2
esp,2008,12.3
esp,2009,12.4
esp,2010,12.5
esp,2011,12.7
esp,2012,12.9
esp,2013,13
esp,2014,13.2
esp,2015,13.4
esp,2016,13.6
esp,2017,13.9
esp,2018,14.2
esp,2019,14.6
est,2000,23.1
est,2001,22.4
est,2002,21.8
est,2003,21.3
est,2004,20.7
est,2005,20.3
est,2006,19.8
est,2007,19.3
est,2008,18.7
est,2009,18.4
est,2010,18.1
est,2011,18
est,2012,17.8
est,2013,17.7
est,2014,17.7
est,2015,17.7
est,2016,17.7
est,2017,17.7
est,2018,17.8
est,2019,18
eth,2000,68.5
eth,2001,66.5
eth,2002,64.4
eth,2003,62.4
eth,2004,60.4
eth,2005,58.5
eth,2006,56.9
eth,2007,55.3
eth,2008,53.8
eth,2009,52.6
eth,2010,51.6
eth,2011,51
eth,2012,50.6
eth,2013,50.4
eth,2014,50.3
eth,2015,50.5
eth,2016,50.9
eth,2017,51.2
eth,2018,51.6
eth,2019,52.1
fin,2000,10.7
fin,2001,10.5
fin,2002,10.4
fin,2003,10.3
fin,2004,10.3
fin,2005,10.2
fin,2006,10.2
fin,2007,10.1
fin,2008,10.1
fin,2009,10
fin,2010,10
fin,2011,10
fin,2012,10.1
fin,2013,10.2
fin,2014,10.4
fin,2015,10.5
fin,2016,10.8
fin,2017,11.1
fin,2018,11.4
fin,2019,11.8
fji,2000,36.3
fji,2001,36.8
fji,2002,37.3
fji,2003,38
fji,2004,38.7
fji,2005,39.4
fji,2006,40
fji,2007,40.4
fji,2008,40.5
fji,2009,40.5
fji,2010,40.4
fji,2011,40.3
fji,2012,40.1
fji,2013,39.9
fji,2014,39.8
fji,2015,39.8
fji,2016,39.9
fji,2017,39.9
fji,2018,39.9
fji,2019,39.9
fra,2000,10.9
fra,2001,10.7
fra,2002,10.7
fra,2003,10.7
fra,2004,10.9
fra,2005,10.9
fra,2006,11
fra,2007,11.1
fra,2008,11.2
fra,2009,11.3
fra,2010,11.4
fra,2011,11.5
fra,2012,11.7
fra,2013,11.9
fra,2014,12.3
fra,2015,12.7
fra,2016,13.1
fra,2017,13.6
fra,2018,14.2
fra,2019,14.7
fsm,2000,35.9
fsm,2001,36.2
fsm,2002,36.6
fsm,2003,37
fsm,2004,37.4
fsm,2005,37.8
fsm,2006,38.1
fsm,2007,38.3
fsm,2008,38.3
fsm,2009,38.2
fsm,2010,38
fsm,2011,38
fsm,2012,37.8
fsm,2013,37.7
fsm,2014,37.5
fsm,2015,37.3
fsm,2016,37.2
fsm,2017,37
fsm,2018,36.8
fsm,2019,36.7
gab,2000,68.3
gab,2001,67.9
gab,2002,67.4
gab,2003,67
gab,2004,66.4
gab,2005,65.9
gab,2006,65.4
gab,2007,64.8
gab,2008,64.2
gab,2009,63.7
gab,2010,63.2
gab,2011,62.8
gab,2012,62.3
gab,2013,61.9
gab,2014,61.5
gab,2015,60.9
gab,2016,60.1
gab,2017,59.4
gab,2018,58.6
gab,2019,57.9
gbr,2000,13.7
gbr,2001,13.6
gbr,2002,13.5
gbr,2003,13.5
gbr,2004,13.5
gbr,2005,13.5
gbr,2006,13.6
gbr,2007,13.6
gbr,2008,13.6
gbr,2009,13.7
gbr,2010,13.7
gbr,2011,13.8
gbr,2012,13.8
gbr,2013,13.8
gbr,2014,14
gbr,2015,14.2
gbr,2016,14.4
gbr,2017,14.7
gbr,2018,15
gbr,2019,15.5
geo,2000,36.9
geo,2001,35.7
geo,2002,34.4
geo,2003,33.2
geo,2004,31.9
geo,2005,30.7
geo,2006,29.6
geo,2007,28.5
geo,2008,27.5
geo,2009,26.6
geo,2010,25.7
geo,2011,24.9
geo,2012,24.3
geo,2013,23.9
geo,2014,23.7
geo,2015,23.6
geo,2016,23.7
geo,2017,23.9
geo,2018,24.2
geo,2019,24.6
gha,2000,76.4
gha,2001,76.2
gha,2002,76
gha,2003,75.7
gha,2004,75.3
gha,2005,74.8
gha,2006,74.2
gha,2007,73.5
gha,2008,72.6
gha,2009,71.7
gha,2010,70.5
gha,2011,69.4
gha,2012,68.4
gha,2013,67.5
gha,2014,66.5
gha,2015,65.4
gha,2016,64.1
gha,2017,62.6
gha,2018,61
gha,2019,59.5
gin,2000,80.9
gin,2001,80.2
gin,2002,79.6
gin,2003,78.9
gin,2004,78.3
gin,2005,77.7
gin,2006,77.2
gin,2007,76.8
gin,2008,76.5
gin,2009,76.3
gin,2010,76.2
gin,2011,76.1
gin,2012,76.1
gin,2013,76.1
gin,2014,76.1
gin,2015,75.9
gin,2016,75.6
gin,2017,75.1
gin,2018,74.4
gin,2019,73.8
gmb,2000,75
gmb,2001,75
gmb,2002,74.9
gmb,2003,74.7
gmb,2004,74.4
gmb,2005,74.1
gmb,2006,73.6
gmb,2007,73.1
gmb,2008,72.5
gmb,2009,71.8
gmb,2010,71
gmb,2011,70.1
gmb,2012,69
gmb,2013,67.6
gmb,2014,65.9
gmb,2015,63.8
gmb,2016,61.2
gmb,2017,58.3
gmb,2018,55.3
gmb,2019,52.3
gnb,2000,79.7
gnb,2001,79.2
gnb,2002,78.6
gnb,2003,78
gnb,2004,77.3
gnb,2005,76.6
gnb,2006,75.9
gnb,2007,75.2
gnb,2008,74.5
gnb,2009,73.8
gnb,2010,73.2
gnb,2011,72.6
gnb,2012,72.2
gnb,2013,71.8
gnb,2014,71.3
gnb,2015,70.9
gnb,2016,70.4
gnb,2017,69.7
gnb,2018,68.9
gnb,2019,68
gnq,2000,77.7
gnq,2001,76.8
gnq,2002,75.9
gnq,2003,75
gnq,2004,74.1
gnq,2005,73.1
gnq,2006,72.2
gnq,2007,71.2
gnq,2008,70.3
gnq,2009,69.5
gnq,2010,68.9
gnq,2011,68.3
gnq,2012,67.9
gnq,2013,67.5
gnq,2014,67.2
gnq,2015,66.8
gnq,2016,66.3
gnq,2017,65.7
gnq,2018,65
gnq,2019,64.3
grc,2000,14
grc,2001,13.7
grc,2002,13.5
grc,2003,13.3
grc,2004,13.3
grc,2005,13.3
grc,2006,13.3
grc,2007,13.3
grc,2008,13.3
grc,2009,13.4
grc,2010,13.6
grc,2011,13.8
grc,2012,14.1
grc,2013,14.5
grc,2014,15
grc,2015,15.4
grc,2016,15.8
grc,2017,16.2
grc,2018,16.5
grc,2019,16.7
grd,2000,24.5
grd,2001,24.3
grd,2002,24.2
grd,2003,24
grd,2004,24.1
grd,2005,24.1
grd,2006,24.1
grd,2007,24.1
grd,2008,24
grd,2009,24
grd,2010,24.1
grd,2011,23.9
grd,2012,23.8
grd,2013,23.8
grd,2014,23.7
grd,2015,23.7
grd,2016,23.6
grd,2017,23.6
grd,2018,23.6
grd,2019,23.6
gtm,2000,32.7
gtm,2001,32.8
