geo,time,ic_tax_gift_zs
kaz,2005,58.7
kaz,2009,25.1
kaz,2013,21.8
kaz,2019,11.9
ken,2007,32.3
ken,2013,17.4
ken,2018,20.9
kgz,2002,79.1
kgz,2003,49.5
kgz,2005,83.8
kgz,2009,39
kgz,2013,51.9
kgz,2019,28.7
khm,2007,60.3
khm,2013,58.2
khm,2016,58.7
kna,2010,0
kor,2005,21.3
kos,2009,7.7
kos,2013,3.1
kos,2019,1.8
lao,2009,26.2
lao,2012,23.5
lao,2016,13.7
lao,2018,35.2
lbn,2009,19.2
lbn,2013,14.6
lbn,2019,19.3
lbr,2009,54.4
lbr,2017,41.7
lca,2010,11.9
lka,2011,7.7
lso,2009,9.2
lso,2016,15.7
ltu,2002,29.1
ltu,2004,3.8
ltu,2005,35.4
ltu,2009,3.4
ltu,2013,7.8
ltu,2019,0
lux,2020,0
lva,2002,37.1
lva,2005,30
lva,2009,4.4
lva,2013,0.6
lva,2019,0
mar,2007,10.7
mar,2013,28.7
mar,2019,10
mda,2002,73.3
mda,2003,43.3
mda,2005,45.2
mda,2009,15.5
mda,2013,20
mda,2019,9.7
mdg,2009,6.8
mdg,2013,31.7
mex,2006,9.6
mex,2010,10.4
mkd,2002,35.6
mkd,2005,32.8
mkd,2009,8.1
mkd,2013,4
mkd,2019,3.7
mli,2007,31.1
mli,2010,20.2
mli,2016,32.1
mlt,2019,0
mmr,2014,37.1
mmr,2016,20.4
mne,2009,3.4
mne,2013,15.3
mne,2019,22.8
mng,2009,20.8
mng,2013,20.5
mng,2019,16
moz,2007,9.8
moz,2018,13.5
mrt,2006,48.2
mrt,2014,20.4
mus,2009,0.3
mwi,2009,11.4
mwi,2014,18.3
mys,2015,23.7
nam,2006,2.6
nam,2014,5.3
ner,2006,17
ner,2009,13.7
ner,2017,6.1
nga,2007,22.9
nga,2014,25.9
nic,2006,2.6
nic,2010,4.2
nic,2016,4.8
nld,2020,0
npl,2009,14.9
npl,2013,10.4
pak,2007,58.8
pak,2013,28.8
pan,2006,7.7
pan,2010,6.4
per,2006,1.6
per,2010,8.4
per,2017,7
phl,2009,21.8
phl,2015,14.1
png,2015,0
pol,2002,28.3
pol,2003,0
pol,2005,30.4
pol,2009,4.8
pol,2013,2.1
pol,2019,3
prt,2005,52.1
prt,2019,0.1
pry,2006,24.5
pry,2010,14.6
pry,2017,16.1
pse,2006,2.7
pse,2013,3.7
pse,2019,5.4
rou,2002,36.1
rou,2005,27.4
rou,2009,12.1
rou,2013,6.3
rou,2019,5
rus,2002,55.1
rus,2005,59.3
rus,2009,17.4
rus,2012,7.3
rus,2019,31.7
rwa,2006,4.9
rwa,2011,4.5
rwa,2019,4.5
sdn,2014,3.2
sen,2007,18.7
sen,2014,7.3
slb,2015,30.9
sle,2009,8.6
sle,2017,29.6
slv,2006,2.6
slv,2010,0.3
slv,2016,0.7
srb,2002,46.8
srb,2005,59.6
srb,2009,3.6
srb,2013,5.6
srb,2019,1.2
ssd,2014,30.6
sur,2010,1.8
sur,2018,7.7
svk,2002,43.4
svk,2005,31.3
svk,2009,3.1
svk,2013,2.5
svk,2019,0.9
svn,2002,15.8
svn,2005,14
svn,2009,0
svn,2013,0.2
svn,2019,0
swe,2014,0.3
swe,2020,0
swz,2006,3.3
swz,2016,6.6
syr,2009,61
tcd,2009,21.2
tcd,2018,21
tgo,2009,16.4
tgo,2016,4.7
tha,2016,8.5
tjk,2002,84.4
tjk,2003,44.4
tjk,2005,71.5
tjk,2008,33
tjk,2013,30.8
tjk,2019,8.1
tls,2009,2.6
tls,2015,17.1
ton,2009,1.4
tto,2010,5.5
tun,2013,4.9
tun,2020,4.8
tur,2002,48.1
tur,2004,23.4
tur,2005,8.4
tur,2008,3.9
tur,2013,1.2
tur,2019,1.3
tza,2006,14.7
tza,2013,14.6
uga,2006,14.5
uga,2013,14.3
ukr,2002,58.8
ukr,2005,49.5
ukr,2008,28.3
ukr,2013,47.9
ukr,2019,36.3
ury,2006,0.6
ury,2010,1.8
ury,2017,0
uzb,2002,53.9
uzb,2003,15.4
uzb,2005,63
uzb,2008,52.4
uzb,2013,3.2
uzb,2019,6.7
vct,2010,5.9
ven,2006,2.6
ven,2010,6.4
vnm,2009,33.7
vnm,2015,25
vut,2009,4.6
wsm,2009,19.6
yem,2010,66.7
yem,2013,62.6
zaf,2007,3.1
zaf,2020,1.7
zmb,2007,4.9
zmb,2013,10.1
zmb,2019,5
zwe,2011,12.5
zwe,2016,12.6
