geo,time,nv_mnf_mtrn_zs_un
bgd,1967,1.05679
bgd,1968,2.02528
bgd,1969,2.1072
bgd,1970,1.7098
bgd,1971,0.68901
bgd,1972,0.81827
bgd,1973,1.14728
bgd,1974,0.70763
bgd,1975,1.86026
bgd,1976,1.82832
bgd,1977,2.52449
bgd,1978,3.10613
bgd,1979,2.63222
bgd,1980,1.80029
bgd,1981,3.19989
bgd,1982,2.91207
bgd,1983,3.46218
bgd,1984,3.37425
bgd,1985,3.11303
bgd,1986,2.69336
bgd,1987,2.66969
bgd,1988,2.22147
bgd,1989,2.2996
bgd,1990,3.56688
bgd,1991,3.65725
bgd,1992,4.94328
bgd,1995,0.97557
bgd,1998,3.29512
bgd,2006,10.93644
bgd,2012,2.2653
bgd,2018,3.58455
bgr,1996,16.26446
bgr,1997,15.55612
bgr,1998,18.24072
bgr,1999,16.14435
bgr,2000,13.98561
bgr,2001,15.17262
bgr,2002,16.16872
bgr,2003,15.02198
bgr,2004,13.30171
bgr,2005,14.40992
bgr,2006,13.89009
bgr,2007,14.3402
bgr,2008,17.89085
bgr,2009,14.79726
bgr,2010,15.74706
bgr,2011,16.1269
bgr,2012,16.59198
bgr,2013,17.77421
bgr,2014,18.82636
bgr,2015,17.47038
bgr,2016,16.56037
bgr,2017,17.64861
bgr,2018,19.24112
bgr,2019,19.24112
bhr,2006,7.25676
bhr,2007,6.61913
bhr,2008,6.0963
bhr,2009,7.73693
bhr,2010,5.97168
bhr,2011,4.78432
bhr,2012,4.92177
bhr,2013,5.18462
bhr,2014,5.35182
bhr,2015,5.73783
bhr,2016,5.75992
bhr,2017,5.75992
bhr,2018,5.75992
bhs,1995,0.13323
bhs,1996,0.00653
bhs,1997,0.00571
bih,1990,13.05861
bih,1991,13.59354
bih,2010,9.87424
bih,2011,9.75785
bih,2012,10.2481
bih,2013,8.55461
bih,2014,8.44097
bih,2015,9.04447
bih,2016,7.35981
bih,2017,8.26804
bih,2018,8.96725
bih,2019,8.93803
blr,2005,19.28542
blr,2006,19.28542
blr,2007,19.28542
blr,2008,19.28542
blr,2009,17.4643
blr,2010,24.36492
blr,2011,24.27152
blr,2012,22.71885
blr,2013,22.42978
blr,2014,16.98743
blr,2015,13.11112
blr,2016,19.08735
blr,2017,18.46495
blr,2018,19.15218
blr,2019,19.15218
blz,1989,1.92517
blz,1990,2.28158
blz,1991,1.43048
