geo,time,fx_own_totl_40_zs
isr,2014,85.06932
isr,2017,85.69012
ita,2011,62.35211
ita,2014,82.62798
ita,2017,90.63109
jam,2011,62.0444
jam,2014,69.22845
jor,2011,13.05461
jor,2014,16.33525
jor,2017,32.8802
jpn,2011,95.30056
jpn,2014,96.9743
jpn,2017,97.53993
kaz,2011,33.62757
kaz,2014,44.72789
kaz,2017,48.80589
ken,2011,19.43515
ken,2014,63.1689
ken,2017,70.45348
kgz,2011,0.98037
kgz,2014,12.15669
kgz,2017,35.67722
khm,2011,0.8211
khm,2014,16.30692
khm,2017,14.30406
kor,2011,90.34721
kor,2014,94.35184
kor,2017,92.14917
kos,2011,29.86673
kos,2014,40.21311
kos,2017,44.33332
kwt,2011,84.00272
kwt,2014,63.67265
kwt,2017,70.80116
lao,2011,20.68253
lao,2017,17.37037
lbn,2011,18.01929
lbn,2014,28.35342
lbn,2017,29.89436
lbr,2017,26.603
lby,2017,58.27686
lka,2011,59.13459
lka,2014,78.69918
lka,2017,70.58422
lso,2011,7.09931
lso,2017,32.39399
ltu,2011,69.34216
ltu,2014,69.12141
ltu,2017,77.93442
lux,2011,92.04441
lux,2014,95.23908
lux,2017,98.31727
lva,2011,84.56862
lva,2014,86.51405
lva,2017,88.5241
mar,2017,19.29215
mda,2011,9.73867
mda,2014,11.07803
mda,2017,31.50981
mdg,2011,2.49601
mdg,2014,4.57561
mdg,2017,12.34299
mex,2011,13.36583
mex,2014,29.36303
mex,2017,25.84821
mkd,2011,69.29895
mkd,2014,59.8386
mkd,2017,66.67264
mli,2011,3.35478
mli,2014,15.35775
mli,2017,31.26108
mlt,2011,94.85969
mlt,2014,94.61816
mlt,2017,94.65633
mmr,2014,19.3539
mmr,2017,22.54398
mne,2011,42.27661
mne,2014,46.39609
mne,2017,60.27471
mng,2011,70.88973
mng,2014,89.10905
mng,2017,90.59444
moz,2017,26.80052
mrt,2011,6.1401
mrt,2014,12.04668
mrt,2017,12.82911
mus,2011,69.49527
mus,2014,71.9548
mus,2017,86.31898
mwi,2011,10.8707
mwi,2014,9.35595
mwi,2017,21.20528
mys,2011,47.81147
mys,2014,75.27716
mys,2017,80.50455
nam,2014,40.70078
nam,2017,70.41742
ner,2011,0.0851
ner,2014,5.81021
ner,2017,10.49382
nga,2011,13.9574
nga,2014,30.50653
nga,2017,24.52876
nic,2011,5.20058
nic,2014,8.83848
nic,2017,19.93781
nld,2011,99.51089
nld,2014,98.95609
nld,2017,99.78854
nor,2014,100
nor,2017,99.3624
npl,2011,14.43701
npl,2014,24.13491
npl,2017,37.92153
nzl,2011,99.37694
nzl,2014,99.36187
nzl,2017,98.96743
omn,2011,65.95377
pak,2011,4.80787
pak,2014,9.75477
pak,2017,14.21589
pan,2011,18.03991
pan,2014,31.8581
pan,2017,32.864
per,2011,5.12758
per,2014,15.72273
per,2017,27.02475
phl,2011,9.88939
phl,2014,18.03767
phl,2017,18.02635
pol,2011,62.18369
pol,2014,71.32214
pol,2017,84.22105
pri,2014,56.03956
prt,2011,73.39905
prt,2014,80.1758
prt,2017,87.461
pry,2011,5.59762
pry,2017,38.29595
pse,2011,7.9941
pse,2014,15.64026
pse,2017,11.98157
qat,2011,53.8168
rou,2011,31.74612
rou,2014,44.84652
rou,2017,37.8349
rus,2011,40.38034
rus,2014,63.19337
rus,2017,70.23621
rwa,2011,31.14024
rwa,2014,17.08735
rwa,2017,38.65184
sau,2011,32.77486
sau,2014,64.82426
sau,2017,64.56371
sdn,2011,3.87541
sdn,2014,7.52743
sen,2011,2.80969
sen,2014,4.392
sen,2017,34.48883
sgp,2014,96.27464
sgp,2017,96.37825
sle,2017,12.92098
slv,2011,5.10573
slv,2014,21.94179
slv,2017,19.29225
som,2014,27.35656
srb,2011,48.65464
srb,2014,82.51584
srb,2017,64.52927
ssd,2017,3.8522
svk,2011,72.7878
svk,2014,69.86657
svk,2017,77.93739
svn,2011,94.78719
svn,2014,95.73991
svn,2017,95.46062
swe,2011,98.03001
swe,2014,99.34187
swe,2017,99.66758
swz,2011,16.40458
syr,2011,23.78842
tcd,2011,6.76407
tcd,2014,7.13134
tcd,2017,14.1436
tgo,2011,5.95267
tgo,2014,8.14146
tgo,2017,34.74358
tha,2011,64.53183
tha,2014,71.35886
tha,2017,77.54671
tjk,2011,0.98002
tjk,2014,5.79232
tjk,2017,38.47501
tkm,2011,0
tkm,2017,39.69786
tto,2017,77.07738
tun,2014,14.8081
tun,2017,21.04965
tur,2011,47.10647
tur,2014,51.13229
tur,2017,56.37541
tza,2011,8.76981
tza,2014,24.7677
tza,2017,37.25052
uga,2011,9.87004
uga,2014,28.8055
uga,2017,47.29897
ukr,2011,30.24482
ukr,2014,43.73914
ukr,2017,53.26021
ury,2011,8.8169
ury,2014,33.21131
ury,2017,48.61473
usa,2011,78.57781
usa,2014,87.69115
usa,2017,85.21857
uzb,2011,19.28422
uzb,2014,35.33139
uzb,2017,29.72162
ven,2011,30.74471
ven,2014,48.03145
ven,2017,60.18404
vnm,2011,11.04858
vnm,2014,18.7117
vnm,2017,20.27752
yem,2011,0.71205
yem,2014,3.51488
zaf,2011,39.55468
zaf,2014,56.35289
zaf,2017,62.63528
zmb,2011,8.76669
zmb,2014,20.57227
zmb,2017,31.24496
zwe,2011,24.09259
zwe,2014,16.30313
zwe,2017,43.60118
