geo,time,sl_emp_self_fe_zs
bel,2015,11.07
bel,2016,10.62
bel,2017,10.65
bel,2018,10.71
bel,2019,10.7
ben,1991,96.81
ben,1992,96.78
ben,1993,96.75
ben,1994,96.08
ben,1995,96.09
ben,1996,96.03
ben,1997,95.96
ben,1998,96.01
ben,1999,95.76
ben,2000,95.7
ben,2001,95.52
ben,2002,95.44
ben,2003,95.39
ben,2004,95.44
ben,2005,95.37
ben,2006,95.4
ben,2007,95.4
ben,2008,95.51
ben,2009,95.46
ben,2010,95.37
ben,2011,95.42
ben,2012,95.42
ben,2013,95.24
ben,2014,94.99
ben,2015,94.79
ben,2016,94.85
ben,2017,94.52
ben,2018,94.32
ben,2019,93.85
bfa,1991,97.72
bfa,1992,97.73
bfa,1993,97.78
bfa,1994,97.85
bfa,1995,97.87
bfa,1996,97.85
bfa,1997,97.74
bfa,1998,97.76
bfa,1999,97.35
bfa,2000,97.42
bfa,2001,97.4
bfa,2002,97.3
bfa,2003,96.86
bfa,2004,96.7
bfa,2005,96.69
bfa,2006,96.47
bfa,2007,95.84
bfa,2008,95.64
bfa,2009,94.88
bfa,2010,93.69
bfa,2011,92.53
bfa,2012,92.06
bfa,2013,91.86
bfa,2014,90.96
bfa,2015,90.73
bfa,2016,90.1
bfa,2017,89.56
bfa,2018,89.05
bfa,2019,88.69
bgd,1991,79.57
bgd,1992,79.57
bgd,1993,79.57
bgd,1994,79.52
bgd,1995,79.43
bgd,1996,79.34
bgd,1997,79.23
bgd,1998,79.08
bgd,1999,78.87
bgd,2000,78.62
bgd,2001,78.36
bgd,2002,78.12
bgd,2003,77.87
bgd,2004,77.85
bgd,2005,77.71
bgd,2006,77.4
bgd,2007,79.13
bgd,2008,80.75
bgd,2009,82.31
bgd,2010,83.59
bgd,2011,81.86
bgd,2012,80.04
bgd,2013,78.17
bgd,2014,76.16
bgd,2015,74.11
bgd,2016,72.02
bgd,2017,68.91
bgd,2018,67.39
bgd,2019,66.01
bgr,1991,13.93
bgr,1992,13.83
bgr,1993,13.74
bgr,1994,13.63
bgr,1995,13.58
bgr,1996,13.52
bgr,1997,13.45
bgr,1998,13.36
bgr,1999,13.24
bgr,2000,12.89
bgr,2001,11.65
bgr,2002,12.14
bgr,2003,12.35
bgr,2004,12.55
bgr,2005,11.06
bgr,2006,10.03
bgr,2007,9.37
bgr,2008,9.79
bgr,2009,9.79
bgr,2010,10.09
bgr,2011,9.4
bgr,2012,8.81
bgr,2013,9.07
bgr,2014,9.33
bgr,2015,8.82
bgr,2016,8.93
bgr,2017,9.04
bgr,2018,8.6
bgr,2019,8.08
bhr,1991,1.11
bhr,1992,1.15
bhr,1993,1.19
bhr,1994,1.25
bhr,1995,1.33
bhr,1996,1.39
bhr,1997,1.47
bhr,1998,1.52
bhr,1999,1.62
bhr,2000,1.75
bhr,2001,1.85
bhr,2002,1.83
bhr,2003,1.77
bhr,2004,1.21
bhr,2005,1.73
bhr,2006,1.73
bhr,2007,1.67
bhr,2008,1.7
bhr,2009,1.76
bhr,2010,3.2
bhr,2011,3.25
bhr,2012,3.21
bhr,2013,3.18
bhr,2014,3.12
bhr,2015,3.06
bhr,2016,3.03
bhr,2017,3.04
bhr,2018,3.06
bhr,2019,3.03
bhs,1991,9.63
bhs,1992,8.26
bhs,1993,9.89
bhs,1994,10.99
bhs,1995,12.07
bhs,1996,13
bhs,1997,10.4
bhs,1998,10.63
bhs,1999,11.19
bhs,2000,10.17
bhs,2001,9.28
bhs,2002,10.49
bhs,2003,10.55
bhs,2004,12.04
bhs,2005,11.32
bhs,2006,10.66
bhs,2007,10.06
bhs,2008,9.42
bhs,2009,7.44
bhs,2010,7.37
bhs,2011,7.39
bhs,2012,7.08
bhs,2013,6.99
bhs,2014,6.85
bhs,2015,6.82
bhs,2016,6.64
bhs,2017,6.66
bhs,2018,6.82
bhs,2019,6.79
bih,1991,41.2
bih,1992,44.65
bih,1993,46.5
bih,1994,44.29
bih,1995,40.45
bih,1996,31.86
bih,1997,27.83
bih,1998,26.15
bih,1999,25.83
bih,2000,26.37
bih,2001,27
bih,2002,27.33
bih,2003,27.63
bih,2004,27.32
bih,2005,27.05
bih,2006,26.69
bih,2007,26.45
bih,2008,27.53
bih,2009,29.67
bih,2010,27.93
bih,2011,25.54
bih,2012,27.59
bih,2013,24.7
bih,2014,22.24
bih,2015,23.02
bih,2016,23.92
bih,2017,24.73
bih,2018,21.1
bih,2019,25.99
blr,1991,1.93
blr,1992,2.01
blr,1993,2.11
blr,1994,2.22
blr,1995,2.35
blr,1996,2.5
blr,1997,2.65
blr,1998,2.76
blr,1999,2.84
blr,2000,2.9
blr,2001,2.93
blr,2002,2.92
blr,2003,2.9
blr,2004,2.86
blr,2005,2.79
blr,2006,2.7
blr,2007,2.61
blr,2008,2.53
blr,2009,2.46
blr,2010,2.39
blr,2011,2.34
blr,2012,2.3
blr,2013,2.26
blr,2014,2.24
blr,2015,2.23
blr,2016,2.23
blr,2017,2.83
blr,2018,2.77
blr,2019,2.76
blz,1991,24.73
blz,1992,25.01
blz,1993,25.05
blz,1994,25.13
blz,1995,25.01
blz,1996,24.72
blz,1997,24.71
blz,1998,24.77
blz,1999,25
blz,2000,25.18
blz,2001,25.33
blz,2002,25.56
blz,2003,25.83
blz,2004,25.82
blz,2005,25.92
blz,2006,25.98
blz,2007,26.21
blz,2008,26.44
blz,2009,26.77
blz,2010,27.1
blz,2011,27.39
blz,2012,27.9
blz,2013,28.33
blz,2014,28.75
blz,2015,31.7
blz,2016,34.95
blz,2017,32.39
blz,2018,32.96
blz,2019,33.47
bol,1991,79.96
bol,1992,79.89
bol,1993,79.79
bol,1994,79.65
bol,1995,79.51
bol,1996,79.22
bol,1997,78.6
bol,1998,78.27
bol,1999,77.51
bol,2000,74.57
bol,2001,72.97
bol,2002,73.71
bol,2003,73.23
bol,2004,72.79
bol,2005,72.6
bol,2006,70.18
bol,2007,68.78
bol,2008,68.09
bol,2009,66.02
bol,2010,66.84
bol,2011,67.63
bol,2012,64.36
bol,2013,65.35
bol,2014,68.1
bol,2015,66.62
bol,2016,70.52
bol,2017,71.8
bol,2018,72.25
bol,2019,71.4
bra,1991,34.16
bra,1992,34.27
bra,1993,34.12
bra,1994,34.15
bra,1995,34.24
bra,1996,31.76
bra,1997,32.41
bra,1998,32.37
bra,1999,32.8
bra,2000,33.39
bra,2001,34.08
bra,2002,34.71
bra,2003,34.37
bra,2004,33.93
bra,2005,34.69
bra,2006,33.49
bra,2007,32.25
bra,2008,31.4
bra,2009,30.3
bra,2010,28.72
bra,2011,27.39
bra,2012,24.5
bra,2013,24.62
bra,2014,24.2
bra,2015,25.08
bra,2016,25.4
bra,2017,26.41
bra,2018,27.04
bra,2019,27.46
brb,1991,8.64
brb,1992,9.22
brb,1993,10.13
brb,1994,9.76
brb,1995,9.56
brb,1996,9.51
brb,1997,8.22
brb,1998,9.01
brb,1999,9.33
brb,2000,8.01
brb,2001,9.25
brb,2002,9.32
brb,2003,8.9
brb,2004,10.26
brb,2005,10.25
brb,2006,10.17
brb,2007,10.24
brb,2008,10.34
brb,2009,10.81
brb,2010,11.17
brb,2011,11.34
brb,2012,11.59
brb,2013,11.87
brb,2014,12.05
brb,2015,12.09
brb,2016,12.02
brb,2017,12.1
brb,2018,12.22
brb,2019,12.31
brn,1991,3.9
brn,1992,3.96
brn,1993,4.05
brn,1994,4.12
brn,1995,4.19
brn,1996,4.3
brn,1997,4.44
brn,1998,4.56
brn,1999,4.73
brn,2000,4.94
brn,2001,5.04
brn,2002,5.17
brn,2003,5.32
brn,2004,5.5
brn,2005,5.7
brn,2006,5.84
brn,2007,5.99
brn,2008,6.2
brn,2009,6.34
brn,2010,6.55
brn,2011,6.76
brn,2012,6.9
brn,2013,7.06
brn,2014,7.3
brn,2015,7.55
brn,2016,7.99
brn,2017,8.53
brn,2018,8.53
brn,2019,10.65
btn,1991,78.69
btn,1992,78.7
btn,1993,78.64
btn,1994,78.55
btn,1995,78.4
btn,1996,78.64
btn,1997,78.59
btn,1998,78.35
btn,1999,78.09
btn,2000,78.13
btn,2001,77.84
btn,2002,77.52
btn,2003,77.25
btn,2004,77.05
btn,2005,76.92
btn,2006,76.71
btn,2007,76.72
btn,2008,77.29
btn,2009,77.7
btn,2010,77.65
btn,2011,83.92
btn,2012,85.52
btn,2013,85.2
btn,2014,84.55
btn,2015,84.51
btn,2016,84.25
btn,2017,83.93
btn,2018,83.73
btn,2019,83.24
bwa,1991,39.95
bwa,1992,38.74
bwa,1993,37.2
bwa,1994,35.25
bwa,1995,27.58
bwa,1996,22.1
bwa,1997,22.89
bwa,1998,23.41
bwa,1999,24.3
bwa,2000,25.29
bwa,2001,25.99
bwa,2002,26.88
bwa,2003,27.67
bwa,2004,28.94
bwa,2005,30.49
bwa,2006,31.58
bwa,2007,31.71
bwa,2008,31.84
bwa,2009,33.08
bwa,2010,31.98
bwa,2011,30.96
bwa,2012,29.9
bwa,2013,28.83
bwa,2014,28.15
bwa,2015,27.49
bwa,2016,27.04
bwa,2017,26.39
bwa,2018,25.88
bwa,2019,25.44
caf,1991,93.38
caf,1992,93.66
caf,1993,93.74
caf,1994,93.93
caf,1995,93.96
caf,1996,94.48
caf,1997,94.74
caf,1998,94.85
caf,1999,95.18
caf,2000,95.41
caf,2001,95.47
caf,2002,95.62
caf,2003,95.95
caf,2004,95.97
caf,2005,96.08
caf,2006,95.94
caf,2007,95.86
caf,2008,95.79
caf,2009,95.66
caf,2010,95.63
caf,2011,95.55
caf,2012,95.6
caf,2013,96.35
caf,2014,96.66
caf,2015,96.84
caf,2016,96.89
caf,2017,96.85
caf,2018,96.84
caf,2019,96.8
can,1991,10.05
can,1992,10.58
can,1993,11.19
can,1994,11.43
can,1995,11.61
can,1996,12.21
can,1997,13.21
can,1998,13.32
can,1999,12.9
can,2000,12.33
can,2001,11.18
can,2002,11.5
can,2003,11.4
can,2004,11.28
can,2005,11.48
can,2006,11.39
can,2007,11.43
can,2008,11.4
can,2009,11.87
can,2010,11.54
can,2011,11.48
can,2012,11.47
can,2013,11.78
can,2014,11.69
can,2015,11.93
can,2016,11.74
can,2017,11.86
can,2018,12.12
can,2019,11.95
chanisl,1991,17.33
chanisl,1992,17.27
chanisl,1993,17.17
chanisl,1994,17.05
chanisl,1995,16.94
chanisl,1996,16.82
chanisl,1997,16.66
chanisl,1998,16.49
chanisl,1999,16.31
chanisl,2000,16.06
chanisl,2001,15.98
chanisl,2002,15.92
chanisl,2003,15.94
chanisl,2004,15.87
chanisl,2005,15.8
chanisl,2006,15.62
chanisl,2007,15.39
chanisl,2008,15.34
chanisl,2009,15.38
chanisl,2010,15.33
chanisl,2011,15.27
chanisl,2012,15.21
chanisl,2013,15.12
chanisl,2014,15.02
chanisl,2015,14.92
chanisl,2016,14.85
chanisl,2017,14.78
chanisl,2018,14.73
chanisl,2019,14.66
che,1991,15.61
che,1992,15.6
che,1993,15.6
che,1994,15.58
che,1995,15.56
che,1996,15.56
che,1997,16.18
che,1998,15.6
che,1999,15.19
che,2000,14.56
che,2001,14.37
che,2002,14.24
che,2003,14.71
che,2004,13.14
che,2005,13.42
che,2006,13.5
che,2007,13.93
che,2008,13.22
che,2009,12.94
che,2010,13.12
che,2011,12.95
che,2012,12.93
che,2013,12.99
che,2014,13.03
che,2015,13.07
che,2016,13
che,2017,12.81
che,2018,12.62
che,2019,12.47
chl,1991,25.37
chl,1992,25.33
chl,1993,25.23
chl,1994,25.15
chl,1995,25
chl,1996,24.81
chl,1997,25.69
chl,1998,27.27
chl,1999,25.8
chl,2000,25.2
chl,2001,26.7
chl,2002,26.82
chl,2003,26.86
chl,2004,28.14
chl,2005,25.48
chl,2006,26.27
chl,2007,25.62
chl,2008,25.66
chl,2009,25.35
chl,2010,24.92
chl,2011,25.97
chl,2012,24.8
chl,2013,25.06
chl,2014,25.63
chl,2015,25.24
chl,2016,25.98
chl,2017,26.46
chl,2018,25.58
chl,2019,25.78
chn,1991,66.3
chn,1992,65.16
chn,1993,63.97
chn,1994,62.89
chn,1995,61.98
chn,1996,61.24
chn,1997,60.63
chn,1998,60.27
chn,1999,59.93
chn,2000,59.43
chn,2001,58.91
chn,2002,58.26
chn,2003,57.41
chn,2004,56.56
chn,2005,55.56
chn,2006,54.48
chn,2007,53.31
chn,2008,52.4
chn,2009,51.61
chn,2010,50.63
chn,2011,49.84
chn,2012,49.31
chn,2013,48.83
chn,2014,48.41
chn,2015,48.14
chn,2016,47.88
chn,2017,47.57
chn,2018,46.8
chn,2019,45.85
civ,1991,94.9
civ,1992,94.84
civ,1993,94.81
civ,1994,94.84
civ,1995,94.73
civ,1996,94.56
civ,1997,94.14
civ,1998,94.11
civ,1999,93.81
civ,2000,93.69
civ,2001,93.94
civ,2002,93.75
civ,2003,93.52
civ,2004,93.13
civ,2005,92.9
civ,2006,92.51
civ,2007,92.17
civ,2008,91.66
civ,2009,91.06
civ,2010,90.76
civ,2011,90.16
civ,2012,89.25
civ,2013,87.2
civ,2014,86.6
civ,2015,86.58
civ,2016,86.23
civ,2017,83.33
civ,2018,82.25
civ,2019,81.08
cmr,1991,94.73
cmr,1992,94.72
cmr,1993,94.7
cmr,1994,94.65
cmr,1995,94.47
cmr,1996,94.21
cmr,1997,93.76
cmr,1998,93.44
cmr,1999,92.71
cmr,2000,91.7
cmr,2001,91.05
cmr,2002,91.1
cmr,2003,91.22
cmr,2004,91.08
cmr,2005,90.86
cmr,2006,90.54
cmr,2007,90.42
cmr,2008,89.8
cmr,2009,89.68
cmr,2010,89.13
cmr,2011,88.48
cmr,2012,87.65
cmr,2013,87.02
cmr,2014,86.32
cmr,2015,85.84
cmr,2016,85.26
cmr,2017,84.45
cmr,2018,83.72
cmr,2019,83.17
cod,1991,95.7
cod,1992,95.94
cod,1993,96.11
cod,1994,96.1
cod,1995,96.17
cod,1996,95.3
cod,1997,96.41
cod,1998,96.61
cod,1999,96.91
cod,2000,96.78
cod,2001,96.23
cod,2002,96.09
cod,2003,96.41
cod,2004,95.95
cod,2005,95.83
cod,2006,95.76
cod,2007,95.45
cod,2008,94.75
cod,2009,94.55
cod,2010,93.3
cod,2011,92.48
cod,2012,91.82
cod,2013,91.06
cod,2014,90.17
cod,2015,90.05
cod,2016,90.2
cod,2017,89.75
cod,2018,89.02
cod,2019,89.46
cog,1991,94.64
cog,1992,94.63
cog,1993,94.59
cog,1994,94.38
cog,1995,94.41
cog,1996,94.18
cog,1997,93.92
cog,1998,94.18
cog,1999,93.55
cog,2000,92.76
cog,2001,93.01
cog,2002,92.93
cog,2003,92.9
cog,2004,92.46
cog,2005,91.82
cog,2006,91.35
cog,2007,91.63
cog,2008,91.09
cog,2009,91.76
cog,2010,90.54
cog,2011,90.27
cog,2012,90.11
cog,2013,90.41
cog,2014,90.47
cog,2015,91.06
cog,2016,91.37
cog,2017,91.45
cog,2018,91.5
cog,2019,91.2
col,1991,48.71
col,1992,48.65
col,1993,48.52
col,1994,48.35
col,1995,48.26
col,1996,48.36
col,1997,48.37
col,1998,48.62
col,1999,49.36
col,2000,49.28
col,2001,49.33
col,2002,48.18
col,2003,48.89
col,2004,48.95
col,2005,48.98
col,2006,48.78
col,2007,48.6
col,2008,48.94
col,2009,51.66
col,2010,52.06
col,2011,52.98
col,2012,53
col,2013,51.62
col,2014,50.25
col,2015,49.6
col,2016,49.34
col,2017,48.96
col,2018,49.02
col,2019,48.47
com,1991,82.02
com,1992,81.92
com,1993,81.99
com,1994,82.38
com,1995,82.58
com,1996,82.93
com,1997,83.12
com,1998,83.41
com,1999,83.71
com,2000,83.5
com,2001,83.65
com,2002,83.72
com,2003,83.72
com,2004,83.66
com,2005,82.37
com,2006,81.08
com,2007,79.5
com,2008,78.24
com,2009,76.97
com,2010,75.58
com,2011,74.11
com,2012,72.71
com,2013,71.06
com,2014,69.76
com,2015,69.67
com,2016,69.42
com,2017,69.15
com,2018,69.02
com,2019,68.84
cpv,1991,58.68
cpv,1992,58.29
cpv,1993,58.29
cpv,1994,57.79
cpv,1995,57.2
cpv,1996,56.27
cpv,1997,55.52
cpv,1998,54.66
cpv,1999,53.98
cpv,2000,52.62
cpv,2001,52.81
cpv,2002,52.78
cpv,2003,51.97
cpv,2004,51.6
cpv,2005,51.66
cpv,2006,51.97
cpv,2007,51.83
cpv,2008,50.99
cpv,2009,50.64
cpv,2010,50.73
cpv,2011,50.76
cpv,2012,51.04
cpv,2013,50.92
cpv,2014,50.66
cpv,2015,50.38
cpv,2016,40.55
cpv,2017,34.23
cpv,2018,33.08
cpv,2019,34.51
cri,1991,25.11
cri,1992,21.36
cri,1993,23.83
cri,1994,23.76
cri,1995,24.31
cri,1996,22.33
cri,1997,25.71
cri,1998,24.26
cri,1999,25.34
cri,2000,23.42
cri,2001,28.67
cri,2002,29.85
cri,2003,28.92
cri,2004,29.36
cri,2005,26.86
cri,2006,26.24
cri,2007,23.85
cri,2008,24.58
cri,2009,25.2
cri,2010,20.91
cri,2011,18.08
cri,2012,19.5
cri,2013,21.39
cri,2014,20.91
cri,2015,21.02
cri,2016,19.22
cri,2017,20.87
cri,2018,22.98
cri,2019,23.62
cub,1991,6.84
cub,1992,5.93
cub,1993,4.7
cub,1994,4.22
cub,1995,3.9
cub,1996,3.33
cub,1997,3.72
cub,1998,4.17
cub,1999,4.83
cub,2000,4.65
cub,2001,4.9
cub,2002,4.55
cub,2003,5.37
cub,2004,5.4
cub,2005,5.41
cub,2006,4.71
cub,2007,4.27
cub,2008,4.76
cub,2009,4.14
cub,2010,4.14
cub,2011,9.6
cub,2012,8.15
cub,2013,9.84
cub,2014,12.88
cub,2015,12.75
cub,2016,12.84
cub,2017,12.88
cub,2018,12.72
cub,2019,12.6
cyp,1991,19.13
cyp,1992,18.8
cyp,1993,18.67
cyp,1994,18.36
cyp,1995,18.14
cyp,1996,17.89
cyp,1997,17.54
cyp,1998,17.21
cyp,1999,16.83
cyp,2000,16.5
cyp,2001,15.94
cyp,2002,15.88
cyp,2003,15.69
cyp,2004,15.66
cyp,2005,16
cyp,2006,14.76
cyp,2007,13.08
cyp,2008,12.83
cyp,2009,13.94
cyp,2010,12.89
cyp,2011,11.93
cyp,2012,10.87
cyp,2013,11.34
cyp,2014,12.28
cyp,2015,11.53
cyp,2016,10.33
cyp,2017,10.05
cyp,2018,10.13
cyp,2019,10.5
cze,1991,7.83
cze,1992,7.84
cze,1993,7.84
cze,1994,7.87
cze,1995,7.87
cze,1996,7.9
cze,1997,7.97
cze,1998,9.01
cze,1999,9.68
cze,2000,9.94
cze,2001,10.35
cze,2002,10.46
cze,2003,11.7
cze,2004,11.05
cze,2005,10.41
cze,2006,10.86
cze,2007,10.56
cze,2008,10.63
cze,2009,11.4
cze,2010,12.16
cze,2011,12.88
cze,2012,13.44
cze,2013,13.52
cze,2014,12.85
cze,2015,12.78
cze,2016,13.23
cze,2017,12.89
cze,2018,12.42
cze,2019,12.33
deu,1991,7.95
deu,1992,8.09
deu,1993,8.33
deu,1994,8.37
deu,1995,8.5
deu,1996,7.99
deu,1997,8.12
deu,1998,8.16
deu,1999,7.78
deu,2000,7.83
deu,2001,8.52
deu,2002,8.29
deu,2003,8.24
deu,2004,8.81
deu,2005,9.42
deu,2006,9.24
deu,2007,9.23
deu,2008,8.84
deu,2009,8.44
deu,2010,8.42
deu,2011,8.49
deu,2012,8.34
deu,2013,8.1
deu,2014,7.98
deu,2015,7.75
deu,2016,7.65
deu,2017,7.55
deu,2018,7.29
deu,2019,6.98
dji,1991,47.17
dji,1992,47.31
dji,1993,47.59
dji,1994,47.86
dji,1995,48.13
dji,1996,48.52
dji,1997,48.8
dji,1998,49.28
dji,1999,49.34
dji,2000,49.44
dji,2001,49.63
dji,2002,49.49
dji,2003,49.26
dji,2004,49.03
dji,2005,48.91
dji,2006,48.54
dji,2007,48.15
dji,2008,47.66
dji,2009,47.16
dji,2010,46.93
dji,2011,46.43
dji,2012,45.8
dji,2013,45.66
dji,2014,45.12
dji,2015,44.47
dji,2016,43.72
dji,2017,43.15
dji,2018,42.51
dji,2019,41.89
dnk,1991,7.09
dnk,1992,7.18
dnk,1993,6.9
dnk,1994,6.99
dnk,1995,6.24
dnk,1996,6.06
dnk,1997,5.91
dnk,1998,6.33
dnk,1999,5.97
dnk,2000,5.73
dnk,2001,4.69
dnk,2002,5.16
dnk,2003,5.74
dnk,2004,5.16
dnk,2005,5.4
dnk,2006,5.79
dnk,2007,5.31
dnk,2008,5.26
dnk,2009,5.69
dnk,2010,5.42
dnk,2011,5.34
dnk,2012,5.57
dnk,2013,5.6
dnk,2014,5.56
dnk,2015,5.46
dnk,2016,5.66
dnk,2017,5.27
dnk,2018,5.11
dnk,2019,5.38
dom,1991,31.08
dom,1992,36.83
dom,1993,33.38
dom,1994,30.34
dom,1995,30.43
dom,1996,30.21
dom,1997,30.22
dom,1998,30.04
dom,1999,29.93
dom,2000,29.82
dom,2001,31.82
dom,2002,32.38
dom,2003,30.04
dom,2004,29.45
dom,2005,32.68
dom,2006,31.36
dom,2007,31.5
dom,2008,34.47
dom,2009,32
dom,2010,33.63
dom,2011,32.58
dom,2012,31.63
dom,2013,31.39
dom,2014,29.93
dom,2015,31.93
dom,2016,31.19
dom,2017,30.51
dom,2018,30.54
dom,2019,29.4
dza,1991,40.37
dza,1992,40.44
dza,1993,40.44
dza,1994,40.42
dza,1995,40.43
dza,1996,40.4
dza,1997,40.26
dza,1998,40.18
dza,1999,39.66
dza,2000,38.95
dza,2001,38.41
