geo,time,sl_uem_basc_ma_zs
bel,2006,11.3
bel,2007,10.28
bel,2008,10.55
bel,2009,12.21
bel,2010,13.15
bel,2011,12.84
bel,2012,12.99
bel,2013,15.06
bel,2014,15.65
bel,2015,16.73
bel,2016,15.35
bel,2017,13.85
bel,2018,12.14
bel,2019,11.72
bel,2020,11.29
ben,2011,1.71
ben,2018,0.44
bfa,2014,4.61
bfa,2018,5
bgd,2006,2.08
bgd,2010,2.76
bgd,2013,3.12
bgd,2016,2
bgd,2017,2.4
bgr,2000,23.59
bgr,2001,33.22
bgr,2002,29.83
bgr,2003,23.91
bgr,2004,19.79
bgr,2005,18.24
bgr,2006,17.5
bgr,2007,14.26
bgr,2008,12.46
bgr,2009,13.99
bgr,2010,21.31
bgr,2011,24.94
bgr,2012,27.44
bgr,2013,29.61
bgr,2014,27.98
bgr,2015,23.54
bgr,2016,20.84
bgr,2017,16.07
bgr,2018,14.59
bgr,2019,11.96
bgr,2020,12.5
bhs,1994,6.24
bih,2006,33.78
bih,2007,35.93
bih,2008,27.17
bih,2009,30.35
bih,2010,30.42
bih,2011,28.93
bih,2012,28.14
bih,2013,29.86
bih,2014,27.14
bih,2015,28.68
bih,2016,24.37
bih,2017,17.42
bih,2018,20.95
bih,2019,14.01
bih,2020,20.85
blr,2016,17.89
blr,2017,14.3
blr,2018,9.93
blr,2019,8.23
blr,2020,11.54
blz,2005,9.57
blz,2012,9.04
blz,2013,6
blz,2014,4.81
blz,2015,5.58
blz,2016,3.9
blz,2017,4.4
blz,2019,6.09
bmu,2000,3.21
bmu,2010,4.08
bmu,2012,12.11
bol,1996,5.83
bol,1997,1.68
bol,1999,4.32
bol,2000,2.87
bol,2001,4.53
bol,2002,3.55
bol,2004,1.76
bol,2005,4.24
bol,2006,3.04
bol,2007,2.61
bol,2008,1.94
bol,2009,2.14
bol,2011,1.62
bol,2012,0.95
bol,2013,1.92
bol,2014,0.95
bol,2015,2.34
bol,2016,2.6
bol,2017,2.66
bol,2018,2.52
bol,2019,3.12
bol,2020,4.82
bra,1995,6.75
bra,1996,7.22
bra,1997,7.96
bra,1998,9.14
bra,1999,9.92
bra,2001,9.42
bra,2002,8.9
bra,2003,9.4
bra,2004,8.11
bra,2005,8.68
bra,2006,7.58
bra,2007,7.08
bra,2008,6.01
bra,2009,7.2
bra,2011,5.94
bra,2012,5.86
bra,2013,5.74
bra,2014,5.76
bra,2015,7.73
bra,2016,12.16
bra,2017,13.87
bra,2018,13.19
bra,2019,12.73
bra,2020,14.47
brb,1997,2.92
brb,2003,1.93
brb,2015,11.4
brb,2016,8.66
brb,2017,9.88
brb,2018,9.72
brb,2019,10.71
brn,2014,7.86
brn,2017,9.04
brn,2018,8.17
brn,2019,8.05
btn,2009,3.39
btn,2010,1.79
btn,2012,2.89
btn,2013,1.78
btn,2015,0.48
bwa,2006,17.33
bwa,2009,16.69
bwa,2010,17.32
bwa,2019,26.8
bwa,2020,28.43
can,1990,12.21
can,1991,15.92
can,1992,18.13
can,1993,17.79
can,1994,16.66
can,1995,15.32
can,1996,15.7
can,1997,15.74
can,1998,14.79
can,1999,13.69
can,2000,12.32
can,2001,13.09
can,2002,14.47
can,2003,13.91
can,2004,13.36
can,2005,12.19
can,2006,12.22
can,2007,12.22
can,2008,12.38
can,2009,16.78
can,2010,16.72
can,2011,15.39
can,2012,14.97
can,2013,14.51
can,2014,14.05
can,2015,14.38
can,2016,14.26
can,2017,13.22
can,2018,11.64
can,2019,11.65
can,2020,15.66
can,2021,13.51
che,1991,2.36
che,1992,3.59
che,1993,3.35
che,1994,5.34
che,1995,5.77
che,1998,4.53
che,1999,5.56
che,2000,4.91
che,2001,4.55
che,2002,5.13
che,2003,6.29
che,2004,7.03
che,2005,6.93
che,2006,6.5
che,2007,5.99
che,2008,5.57
che,2009,7.08
che,2010,7.61
che,2011,7.59
che,2012,7.86
che,2013,8.9
che,2014,8.61
che,2015,8.8
che,2016,9.4
che,2017,8.24
che,2018,7.9
che,2019,8.47
che,2020,7.93
chl,1998,10.09
chl,2000,11.28
chl,2003,8.96
chl,2006,4.12
chl,2007,4.4
chl,2009,9.64
chl,2010,7.56
chl,2011,5.92
chl,2012,5.48
chl,2013,5.63
chl,2014,6.13
chl,2015,5.93
chl,2016,5.83
chl,2017,5.92
chl,2018,6.25
chl,2019,5.91
chl,2020,10.97
civ,2012,6.63
civ,2013,3.98
civ,2016,2.91
civ,2017,1.28
cmr,2007,2.73
cmr,2014,2.19
cod,2005,3.49
cod,2012,2.58
cog,2005,19.68
cog,2009,21.35
col,2002,12.22
col,2003,10.26
col,2004,9.77
col,2005,8.17
col,2007,6.89
col,2008,6.88
col,2009,7.5
col,2010,7
col,2011,6.23
col,2012,6.1
col,2013,5.63
col,2014,5.34
col,2015,4.97
col,2016,5.13
col,2017,5.21
col,2018,5.4
col,2019,6.34
com,2004,5.06
com,2014,8.04
cpv,2015,32.79
cpv,2017,10.45
cpv,2018,10.34
cpv,2019,10.89
cri,1996,5.88
cri,1997,4.98
cri,1998,6.29
cri,1999,5.81
cri,2000,4.9
cri,2001,6.11
cri,2002,6.48
cri,2003,6.5
cri,2004,5.72
cri,2005,5.27
cri,2006,4.68
cri,2007,3.59
cri,2008,4.96
cri,2010,7.58
cri,2011,9.93
cri,2012,9.55
cri,2013,8.87
cri,2014,8.6
cri,2015,7.91
cri,2016,8.12
cri,2017,7.37
cri,2018,8.49
cri,2019,9.55
cri,2020,14.6
cub,2006,2.04
cub,2007,2.03
cub,2008,1.67
cub,2009,1.84
cub,2010,2.62
cym,2011,15.14
cym,2012,10.69
cym,2013,10.91
cym,2014,9.44
cym,2015,5.48
cyp,2000,4.82
cyp,2001,3.15
cyp,2002,2.96
cyp,2003,4.51
cyp,2004,4.74
cyp,2005,5.39
cyp,2006,4.22
cyp,2007,4.33
cyp,2008,4.28
cyp,2009,6.67
cyp,2010,8.56
cyp,2011,9.35
cyp,2012,16.52
cyp,2013,24.32
cyp,2014,24.45
cyp,2015,21.65
cyp,2016,17.44
cyp,2017,14.76
cyp,2018,9.09
cyp,2019,7.95
cyp,2020,6.54
cze,1996,13.19
cze,1997,15.28
cze,1998,16.78
cze,1999,22.56
cze,2000,26.14
cze,2001,23.26
cze,2002,23.36
cze,2003,23.92
cze,2004,28.8
cze,2005,30.02
cze,2006,26.21
cze,2007,21.08
cze,2008,19.92
cze,2009,26.43
cze,2010,26.83
cze,2011,27.92
cze,2012,31.62
cze,2013,26.5
cze,2014,23.37
cze,2015,23
cze,2016,20.28
cze,2017,11.81
cze,2018,10.31
cze,2019,9.87
cze,2020,10.54
deu,1998,15.8
deu,1999,14.77
deu,2000,13.65
deu,2001,13.01
deu,2002,15.04
deu,2003,18.25
deu,2004,19.91
deu,2005,20.88
deu,2006,19.7
deu,2007,18.01
deu,2008,16.29
deu,2009,17.27
deu,2010,16.41
deu,2011,14.11
deu,2012,13.38
deu,2013,13.28
deu,2014,13.32
deu,2015,12.56
deu,2016,11.22
deu,2017,10.67
deu,2018,10.22
deu,2019,9.03
deu,2020,9.69
dji,2017,29.33
dnk,1998,5.32
dnk,1999,6.71
dnk,2000,5.01
dnk,2001,5
dnk,2002,6.6
dnk,2003,8.11
dnk,2004,7.18
dnk,2005,7.17
dnk,2006,5.77
dnk,2007,5.17
dnk,2008,5.64
dnk,2009,10.95
dnk,2010,13.12
dnk,2011,12.8
dnk,2012,13.04
dnk,2013,12.16
dnk,2014,11.31
dnk,2015,10.03
dnk,2016,8.36
dnk,2017,9.22
dnk,2018,8.71
dnk,2019,8.1
dnk,2020,8.92
dom,2000,4.44
dom,2001,6.29
dom,2002,5.65
dom,2003,5.95
dom,2004,4.49
dom,2005,5.28
dom,2006,4
dom,2007,4.18
dom,2008,3.32
dom,2009,4.56
dom,2010,4.49
dom,2011,4.63
dom,2012,5.56
dom,2013,5.76
dom,2014,4.77
dom,2015,4.97
dom,2016,5.14
dom,2017,4.33
dom,2018,3.7
dom,2019,3.4
dom,2020,3.87
dza,2004,23.85
dza,2017,10.19
ecu,2000,2.37
ecu,2001,2.8
ecu,2002,2.74
ecu,2003,5.16
ecu,2004,4.6
ecu,2005,3.06
ecu,2006,2.76
ecu,2007,1.94
ecu,2008,2.5
ecu,2009,3.16
ecu,2010,2.75
ecu,2011,2.11
ecu,2012,1.86
ecu,2013,1.99
ecu,2014,2.23
ecu,2015,2.26
ecu,2016,2.64
ecu,2017,1.92
ecu,2018,1.84
ecu,2019,1.94
egy,2008,2.55
egy,2009,1.7
egy,2010,1.97
egy,2011,7.94
egy,2012,9.11
egy,2013,9.29
egy,2014,11.41
egy,2015,9.1
egy,2016,8.74
egy,2017,7.18
egy,2018,3.9
egy,2019,3.32
egy,2020,5.43
esp,1998,15.1
esp,1999,11.81
esp,2000,10.8
esp,2001,8.36
esp,2002,9.19
esp,2003,9.23
esp,2004,9.59
esp,2005,8.36
esp,2006,7.64
esp,2007,7.79
esp,2008,13.44
esp,2009,23.47
esp,2010,26.34
esp,2011,28.05
esp,2012,33.06
esp,2013,34.31
esp,2014,31.91
esp,2015,28.32
esp,2016,25.07
esp,2017,21.99
esp,2018,18.73
esp,2019,17.02
esp,2020,18.44
est,1995,10.08
est,1998,17.03
est,1999,21.65
est,2000,27.07
est,2001,20.68
est,2002,26.4
est,2003,20.87
est,2004,22
est,2005,16.67
est,2006,12.26
est,2007,11.63
est,2008,11.68
est,2009,29.19
est,2010,33.75
est,2011,27.35
est,2012,24.02
est,2013,15.23
est,2014,13.35
est,2015,11.86
est,2016,12.25
est,2017,10.62
est,2018,9.11
est,2019,8.41
est,2020,13.02
eth,1999,4.13
eth,2005,2.54
eth,2013,1.94
fin,1998,18.2
fin,1999,17.4
fin,2000,16.9
fin,2001,16.35
fin,2002,18.05
fin,2003,17.73
fin,2004,17.75
fin,2005,13.19
fin,2006,12.79
fin,2007,11.69
fin,2008,11.61
fin,2009,14.59
fin,2010,15.74
fin,2011,15.49
fin,2012,14.63
fin,2013,16.25
fin,2014,16.09
fin,2015,16.18
fin,2016,14.13
fin,2017,15.76
fin,2018,14.7
fin,2019,14.97
fin,2020,17.42
fji,2005,3.38
fji,2011,3.17
fji,2014,3.35
fji,2016,2.6
fra,1998,15
fra,1999,15.83
fra,2000,13.34
fra,2001,10.89
fra,2002,11.84
fra,2003,10.82
fra,2004,11.76
fra,2005,11.68
fra,2006,11.93
fra,2007,11.58
fra,2008,10.9
fra,2009,13.99
fra,2010,14.68
fra,2011,14.5
fra,2012,15.66
fra,2013,16.52
fra,2014,18.26
fra,2015,18.76
fra,2016,18.49
fra,2017,17.55
fra,2018,16.18
fra,2019,15.51
fra,2020,13.94
fsm,2014,7.18
gbr,1998,46.32
gbr,1999,11.81
gbr,2000,11.03
gbr,2001,9.5
gbr,2002,9.97
gbr,2003,9.2
gbr,2004,8.87
gbr,2005,9.17
gbr,2006,10.34
gbr,2007,10.4
gbr,2008,11.23
gbr,2009,14.49
gbr,2010,15.36
gbr,2011,15.33
gbr,2012,14.8
gbr,2013,14.12
gbr,2014,11.65
gbr,2015,9.8
gbr,2016,8.58
gbr,2017,7.36
gbr,2018,6.43
gbr,2019,6.72
geo,1999,1.56
geo,2002,1.33
geo,2009,22.3
geo,2010,22.29
geo,2011,16.69
geo,2012,16.11
geo,2013,19.32
geo,2014,17.14
geo,2015,13.12
geo,2016,17.17
geo,2017,14.57
geo,2018,13.38
geo,2019,14.32
geo,2020,29.03
gha,1991,4.64
gha,2000,9.79
gha,2006,4.23
gha,2010,4.48
gha,2013,1.52
gha,2015,7.34
gha,2017,3.03
gin,2002,10.32
gin,2019,4.31
gmb,2012,8.9
gmb,2018,9.71
gnb,2018,2.46
grc,1998,6.37
grc,1999,6.65
grc,2000,6.46
grc,2001,6.04
grc,2002,5.82
grc,2003,4.99
grc,2004,6.1
grc,2005,5.95
grc,2006,5.46
grc,2007,4.92
grc,2008,5.09
grc,2009,7.33
grc,2010,10.84
grc,2011,16.6
grc,2012,24.39
grc,2013,28.67
grc,2014,26.74
grc,2015,24.83
grc,2016,24.2
grc,2017,21.64
grc,2018,18.98
grc,2019,17.63
grc,2020,15.92
gtm,2003,3.08
gtm,2004,4.21
gtm,2006,2.25
gtm,2010,4.41
gtm,2011,3.19
gtm,2012,2.96
gtm,2013,3.63
gtm,2014,3.23
gtm,2015,2.58
gtm,2016,2.75
gtm,2017,2.66
gtm,2018,2.32
gtm,2019,2.15
guy,2018,13.15
guy,2019,13.08
hkg,2002,11.4
hkg,2004,11.29
hkg,2005,9.84
hkg,2006,8.12
hkg,2007,6.41
hkg,2008,5.44
hkg,2009,7.78
hkg,2010,6.2
hkg,2011,5.11
hkg,2012,4.52
hkg,2013,4.68
hkg,2014,4.44
hkg,2015,4.07
hkg,2016,4.27
hkg,2017,4.07
hkg,2018,3.83
hkg,2019,4.52
hkg,2020,9.2
hnd,2005,5.09
hnd,2006,3.55
hnd,2007,3.17
hnd,2008,3.22
hnd,2009,3.13
hnd,2010,3.79
hnd,2011,3.93
hnd,2012,3.2
hnd,2013,4.56
hnd,2014,6.52
hnd,2015,4.44
hnd,2016,5.07
hnd,2017,4.53
hnd,2018,4.66
hnd,2019,3.72
hrv,2002,11.46
hrv,2003,14.34
hrv,2004,13.13
hrv,2005,11.66
hrv,2006,12.65
hrv,2007,12.1
hrv,2008,9.05
hrv,2009,10.72
hrv,2010,14.84
hrv,2011,18.76
hrv,2012,19.28
hrv,2013,22.55
hrv,2014,24.62
hrv,2015,21.34
hrv,2016,16.76
hrv,2017,19.03
hrv,2018,11.67
hrv,2019,10.61
hrv,2020,9.74
hti,2012,14.22
hun,1998,17.87
hun,1999,16.2
hun,2000,13.3
hun,2001,13.86
hun,2002,13.73
hun,2003,13.8
hun,2004,14.3
hun,2005,15.62
hun,2006,17.33
hun,2007,18.66
hun,2008,20.24
hun,2009,24.62
hun,2010,27.24
hun,2011,25.45
hun,2012,25.25
hun,2013,24.53
hun,2014,18.3
hun,2015,16.66
hun,2016,13.69
hun,2017,10.95
hun,2018,10.02
hun,2019,9.35
hun,2020,10.67
idn,1990,1.81
idn,1991,1.75
idn,1992,1.86
idn,1993,1.93
idn,1994,2.81
idn,1996,3.09
idn,1997,2.95
idn,1998,3.64
idn,1999,4.39
idn,2000,4.77
idn,2001,3.45
idn,2002,4.7
idn,2003,3.85
idn,2004,4.22
idn,2005,5.09
idn,2006,5.17
idn,2007,5.03
idn,2008,5.99
idn,2009,4.74
idn,2010,3.89
idn,2011,3.71
idn,2012,3.58
idn,2013,3.56
idn,2014,3.23
idn,2015,3.32
idn,2016,3.49
idn,2017,2.9
idn,2018,3.29
idn,2019,2.69
idn,2020,3.3
ind,1994,3.12
ind,2000,3.6
ind,2005,2.4
ind,2010,2.06
ind,2012,2.11
ind,2018,4.41
ind,2019,4.18
ind,2020,3.16
irl,1998,12.28
irl,1999,10.01
irl,2000,7.73
irl,2001,6.4
irl,2002,6.97
irl,2003,7.38
irl,2004,7.78
irl,2005,7.22
irl,2006,6.64
irl,2007,7.98
irl,2008,11.45
irl,2009,20.36
irl,2010,24.37
irl,2011,26
irl,2012,27.35
irl,2013,22.57
irl,2014,19.7
irl,2015,17.17
irl,2016,14.61
irl,2017,11.37
irl,2018,8.9
irl,2019,8.53
irl,2020,7.87
irn,2005,10.34
irn,2006,10.46
irn,2007,9.45
irn,2008,8.94
irn,2009,11
irn,2010,11.46
irn,2011,9.96
irn,2012,8.78
irn,2013,7.38
irn,2014,7.53
irn,2015,8.09
irn,2016,9.22
irn,2018,9.16
irn,2019,7.45
irn,2020,7.29
irq,2007,9.63
irq,2012,7.01
isl,1995,8.55
isl,1996,9.09
isl,1997,6.96
isl,1998,5.49
isl,2001,2.68
isl,2002,5.62
isl,2003,5.75
isl,2004,6.31
isl,2005,4.7
isl,2006,4.8
isl,2007,3.91
isl,2008,5.37
isl,2009,12.44
isl,2010,11.15
isl,2011,11.69
isl,2012,10.86
isl,2013,9.19
isl,2014,8.37
isl,2015,6.14
isl,2016,4.36
isl,2017,4.94
isl,2018,4.69
isl,2019,6.75
isl,2020,8.89
isr,1996,7.75
isr,1998,12.46
isr,1999,13.56
isr,2000,13.93
isr,2001,13.34
isr,2002,14.71
isr,2003,15.59
isr,2004,14.22
isr,2005,14.04
isr,2006,12.97
isr,2007,12.54
isr,2008,10.07
isr,2009,11.28
isr,2010,11.3
isr,2011,8.84
isr,2012,12.96
isr,2013,10.87
isr,2014,10.06
isr,2015,9.14
isr,2016,8.59
isr,2017,6.22
isr,2018,6.23
isr,2019,5.95
isr,2020,7.31
ita,1998,10.19
ita,1999,9.52
ita,2000,9.52
ita,2001,8.31
ita,2002,8.05
ita,2003,8.02
ita,2004,7.44
ita,2005,7.21
ita,2006,6.37
ita,2007,5.83
ita,2008,6.8
ita,2009,8.04
ita,2010,9.21
ita,2011,9.5
ita,2012,12.43
ita,2013,15.06
ita,2014,15.33
ita,2015,14.75
ita,2016,14.56
ita,2017,14.1
ita,2018,13.1
ita,2019,12.31
ita,2020,11.51
jam,2008,4.15
jam,2009,4.44
jam,2010,4.57
jam,2011,4.92
jam,2012,5.23
jam,2013,5.01
jam,2014,4.31
jam,2016,3.86
jam,2017,3.86
jam,2018,2.81
jam,2019,2.09
jam,2020,2.53
jor,2017,17.06
jor,2018,18.55
jor,2019,18.3
jor,2020,21.14
kaz,2009,6.96
kaz,2010,6.6
kaz,2011,6.09
kaz,2012,5.52
kaz,2013,5.13
kaz,2017,5.46
ken,1999,6.34
ken,2006,9.5
ken,2016,1.4
ken,2019,4.06
kgz,2004,10.82
kgz,2005,4.96
kgz,2006,5.04
kgz,2011,9.87
kgz,2012,12.53
kgz,2013,12.62
kgz,2014,11.87
kgz,2015,10.29
kgz,2016,9.09
kgz,2017,7.98
kgz,2018,6.43
khm,2000,2.74
khm,2001,1.87
khm,2007,1.12
khm,2008,1.14
khm,2009,0.59
khm,2010,0.68
khm,2011,0.3
khm,2012,1.47
khm,2013,0.37
khm,2014,0.52
khm,2015,0.32
khm,2016,0.49
khm,2019,0.89
kir,2015,11.79
kir,2019,10.37
kor,1991,3.2
kor,1992,3.31
kor,1993,3.99
kor,1994,3.67
kor,1995,3.18
kor,1996,2.89
kor,1997,3.79
kor,1998,14.97
kor,1999,13.46
kor,2000,5.1
kor,2001,4.57
kor,2002,2.94
kor,2003,2.34
kor,2004,2.87
kor,2005,3.17
kor,2006,2.83
kor,2007,2.42
kor,2008,2.8
kor,2009,3.17
kor,2010,3.38
kor,2011,2.91
kor,2012,2.57
kor,2013,2.31
kor,2014,2.65
kor,2015,3.26
kor,2016,3.12
kor,2017,3.06
kor,2018,3.54
kor,2019,4.31
kor,2020,4.45
kos,2012,40.2
kos,2013,37.21
kos,2014,44.87
kos,2015,48.46
kos,2016,34.16
kos,2017,37.07
kos,2018,43.42
kos,2019,33.08
kos,2020,34.62
kwt,2016,0.34
lao,2010,0.52
lao,2017,12.77
lbn,2007,8.06
lbn,2019,8.61
lbr,2010,1.78
lbr,2014,1.09
lbr,2016,2.77
lbr,2017,9
lca,2017,26.92
lca,2018,24.86
lca,2019,19.14
lka,2009,3.29
lka,2010,2.51
lka,2011,2.34
lka,2012,2.61
lka,2013,2.43
lka,2014,2.67
lka,2015,2.36
lka,2016,2.52
lka,2017,1.96
lka,2018,2.45
lka,2019,2.63
lso,2019,24.23
ltu,1997,14.53
ltu,1998,21.4
ltu,1999,21.67
ltu,2000,26.06
ltu,2001,26.78
ltu,2002,19.91
ltu,2003,21.31
ltu,2004,14.24
ltu,2005,14.55
ltu,2006,10.09
ltu,2007,6.59
ltu,2008,12.25
ltu,2009,33.04
ltu,2010,42.38
ltu,2011,40.32
ltu,2012,35.85
ltu,2013,31.29
ltu,2014,28.38
ltu,2015,25.58
ltu,2016,25.47
ltu,2017,22.07
ltu,2018,18.2
ltu,2019,16.82
ltu,2020,22.4
lux,1999,3.35
lux,2000,3.44
lux,2001,2.72
lux,2002,3.29
lux,2003,3.92
lux,2004,5.29
lux,2005,5.71
lux,2006,5.35
lux,2007,6.27
lux,2008,5.73
lux,2009,6.9
lux,2010,5.99
lux,2011,6.34
lux,2012,8.37
lux,2013,9.5
lux,2014,10.41
lux,2015,9.87
lux,2016,9.83
lux,2017,8.48
lux,2018,7.43
lux,2019,8.95
lux,2020,10.23
lva,1998,23.13
lva,1999,19.07
lva,2000,23.4
lva,2001,23.81
lva,2002,24.75
lva,2003,21.04
lva,2004,17.22
lva,2005,15.27
lva,2006,14.01
lva,2007,10.5
lva,2008,15.11
lva,2009,34.2
lva,2010,34.57
lva,2011,29.49
lva,2012,23.12
lva,2013,23.14
lva,2014,22.62
lva,2015,19.99
lva,2016,21.1
lva,2017,17.1
lva,2018,15.13
lva,2019,13.82
lva,2020,18.37
mac,1996,4.91
mac,1997,3.68
mac,1998,5.83
mac,1999,8.7
mac,2000,9.59
mac,2001,8.84
mac,2002,8.78
mac,2003,8.08
mac,2005,5.14
mac,2006,4.34
mac,2007,4.16
mac,2008,3.86
mac,2009,5.4
mac,2010,4.64
mac,2011,3.94
mac,2012,2.77
mac,2013,2.79
mac,2014,2.03
mac,2015,2.28
mac,2016,2.78
mar,1995,16.47
mar,2002,11.28
mar,2003,13.78
mar,2011,9.67
mar,2012,9.98
mco,2016,4.91
mda,2010,11.18
mda,2011,8.76
mda,2012,7.5
mda,2013,5.98
mda,2014,4.78
mda,2015,6.37
mda,2016,5.49
mda,2017,4.65
mda,2018,3.58
mda,2019,7.68
mda,2020,4.81
mdg,2003,12.7
mdg,2005,6.16
mdg,2012,0.35
mdg,2015,1.12
mdv,2009,6.22
mdv,2014,4.86
mdv,2016,10.12
mdv,2019,6.55
mex,1995,8.28
mex,1996,4.32
mex,1997,4.04
mex,1999,2.21
mex,2000,2.73
mex,2001,4.84
mex,2002,2.71
mex,2003,2.98
mex,2004,3.25
mex,2005,3.49
mex,2006,3.53
mex,2007,3.57
mex,2008,4.06
mex,2009,5.62
mex,2010,5.62
mex,2011,5.41
mex,2012,5.04
mex,2013,5.1
mex,2014,4.79
mex,2015,4.17
mex,2016,3.64
mex,2017,3.18
mex,2018,2.98
mex,2019,3.27
mex,2020,4.41
mhl,2019,10.49
mkd,2006,39.76
mkd,2007,42.25
mkd,2008,40.94
mkd,2009,37.57
mkd,2010,39.81
mkd,2011,39.14
mkd,2012,40.57
mkd,2013,35.21
mkd,2014,32.38
mkd,2015,31.07
mkd,2016,30.06
mkd,2017,29.28
mkd,2018,25.99
mkd,2019,19.82
mkd,2020,23.35
mli,2013,6.83
mli,2014,7.39
mli,2015,9.69
mli,2016,1.7
mli,2017,9.92
mli,2018,2.08
mlt,2000,7.13
mlt,2001,7.47
mlt,2002,7.28
mlt,2003,7.35
mlt,2004,8.12
mlt,2005,8.24
mlt,2006,7.9
mlt,2007,7.1
mlt,2008,7.33
mlt,2009,8.1
mlt,2010,8.84
mlt,2011,8.1
mlt,2012,8.16
mlt,2013,8.7
mlt,2014,8.91
mlt,2015,7.94
mlt,2016,6.32
mlt,2017,5.11
mlt,2018,5.16
mlt,2019,4.06
mlt,2020,5.51
mmr,2015,0.68
mmr,2017,0.92
mmr,2018,0.54
mmr,2019,0.29
mne,2011,25.05
mne,2012,33.82
mne,2013,39.93
mne,2014,31.59
mne,2015,24.78
mne,2016,24.32
mne,2017,19.53
mne,2018,16.64
mne,2019,20.36
mne,2020,27.78
mng,2008,5.3
mng,2009,3.55
mng,2010,5.98
mng,2011,4.43
mng,2012,3.8
mng,2013,3.07
mng,2014,4.26
mng,2015,3.46
mng,2016,4.66
mng,2017,3.32
mng,2018,3.25
mng,2019,8.9
mng,2020,6.13
moz,2015,4.38
mrt,2012,14.26
mrt,2017,14.48
mus,2001,8.39
mus,2002,6.83
mus,2003,4.2
mus,2004,5.55
mus,2005,5.57
mus,2006,5.91
mus,2007,5.19
mus,2008,4.28
mus,2009,4.54
mus,2010,4.51
mus,2012,4.21
mus,2013,4.57
mus,2014,5.03
mus,2015,4.12
mus,2016,3.47
mus,2017,2.84
mus,2018,2.64
mus,2019,3.94
mus,2020,7.2
mwi,2005,0.76
mwi,2011,1.26
mwi,2013,3.8
mwi,2017,3.84
mwi,2020,0.83
mys,2008,0.47
mys,2009,3.08
mys,2010,2.56
mys,2015,1.96
mys,2016,1.86
mys,2018,2.12
mys,2019,2.45
mys,2020,4.12
nam,2010,19.62
nam,2012,17.1
nam,2013,20.59
nam,2014,20.3
nam,2016,26.66
nam,2018,20.75
ncl,2014,20.26
ner,2011,1.08
ner,2014,1.6
ner,2017,8.74
nga,2016,6.46
nga,2019,6.68
nic,1995,6.23
nic,2001,6.04
nic,2005,4.48
nic,2012,5.2
nic,2014,4.3
nld,1995,13.05
nld,1998,5.89
nld,1999,4.85
nld,2000,3.53
nld,2001,2.46
nld,2002,3.12
nld,2003,5.62
nld,2004,6.3
nld,2005,7.34
nld,2006,6.13
nld,2007,5.12
nld,2008,4.6
nld,2009,6.12
nld,2010,7.44
nld,2011,7.05
nld,2012,8.65
nld,2013,11.22
nld,2014,11.49
nld,2015,10.39
nld,2016,9
nld,2017,7.46
nld,2018,5.84
nld,2019,5.63
nld,2020,6.31
nld_curacao,2018,23.77
nor,1998,6.8
nor,1999,5.81
nor,2000,6.3
nor,2001,7.33
nor,2002,7.42
nor,2003,9.37
nor,2004,7.79
nor,2005,10.31
