geo,time,dc_dac_svnl_cd
kos,2011,1070000.05245
kos,2012,1190000.05722
kos,2013,1350000.02384
kos,2014,1039999.96185
kos,2015,1070000.05245
kos,2016,1230000.01907
kos,2017,1789999.96185
kos,2018,1120000.00477
kos,2019,1110000.01431
lbn,2015,109999.9994
lbn,2016,129999.99523
lbn,2017,50000.00075
lbn,2018,59999.99866
lbn,2019,59999.99866
lbr,2008,9999.99978
lbr,2009,9999.99978
lby,2011,100000.00149
lby,2013,90000.00358
lca,2011,9999.99978
lka,2008,9999.99978
lka,2009,39999.99911
lka,2011,9999.99978
lka,2012,9999.99978
lka,2017,29999.99933
mar,2015,29999.99933
mar,2016,19999.99955
mar,2017,19999.99955
mar,2018,19999.99955
mar,2019,19999.99955
mda,2009,19999.99955
mda,2010,50000.00075
mda,2011,189999.99762
mda,2012,109999.9994
mda,2013,79999.99821
mda,2014,490000.00954
mda,2015,150000.00596
mda,2016,29999.99933
mda,2017,29999.99933
mda,2018,39999.99911
mda,2019,39999.99911
mdg,2008,39999.99911
mdg,2009,79999.99821
mdg,2010,50000.00075
mdg,2012,9999.99978
mdg,2017,29999.99933
mex,2009,19999.99955
mex,2011,9999.99978
mex,2012,9999.99978
mhl,2011,9999.99978
mkd,2008,3000000
mkd,2009,1330000.04292
mkd,2010,1269999.98093
mkd,2011,1750000
mkd,2012,2950000.04768
mkd,2013,3670000.07629
mkd,2014,2759999.99046
mkd,2015,2529999.97139
mkd,2016,3000000
mkd,2017,3539999.96185
mkd,2018,4570000.17166
mkd,2019,5230000.01907
mli,2013,39999.99911
mli,2015,29999.99933
mmr,2008,70000.0003
mne,2008,1330000.04292
mne,2009,1309999.94278
mne,2010,1710000.03815
mne,2011,2410000.08583
mne,2012,2250000
mne,2013,2059999.94278
mne,2014,1529999.97139
mne,2015,1730000.01907
mne,2016,1360000.01431
mne,2017,1399999.97616
mne,2018,1610000.01431
mne,2019,1720000.02861
moz,2019,59999.99866
mwi,2008,29999.99933
mwi,2009,29999.99933
mwi,2010,29999.99933
mwi,2011,29999.99933
mys,2009,9999.99978
mys,2010,9999.99978
mys,2012,19999.99955
mys,2019,0
ner,2010,50000.00075
ner,2011,19999.99955
nga,2008,100000.00149
nga,2009,90000.00358
npl,2012,9999.99978
npl,2015,59999.99866
pak,2008,59999.99866
pak,2009,119999.99732
pak,2010,39999.99911
phl,2013,79999.99821
plw,2011,9999.99978
pse,2008,300000.01192
pse,2009,370000.00477
pse,2010,170000.00179
pse,2011,200000.00298
pse,2012,200000.00298
pse,2013,209999.99344
pse,2014,159999.99642
pse,2015,239999.99464
pse,2016,349999.99404
pse,2017,340000.00358
pse,2018,949999.98808
pse,2019,289999.99166
rwa,2008,29999.99933
rwa,2009,19999.99955
rwa,2010,39999.99911
rwa,2011,59999.99866
rwa,2012,29999.99933
rwa,2013,79999.99821
rwa,2014,79999.99821
rwa,2015,29999.99933
rwa,2016,29999.99933
rwa,2017,29999.99933
rwa,2018,140000.0006
rwa,2019,180000.00715
sdn,2008,39999.99911
sdn,2009,9999.99978
sdn,2010,39999.99911
sdn,2011,100000.00149
sdn,2019,29999.99933
sen,2008,59999.99866
sen,2018,140000.0006
sle,2008,70000.0003
sle,2009,19999.99955
sle,2010,19999.99955
som,2008,9999.99978
som,2009,9999.99978
som,2011,9999.99978
som,2012,19999.99955
som,2016,29999.99933
som,2017,29999.99933
srb,2008,2509999.99046
srb,2009,1909999.96662
srb,2010,959999.97854
srb,2011,1330000.04292
srb,2012,860000.01431
srb,2013,910000.02623
srb,2014,1259999.99046
srb,2015,1580000.04292
srb,2016,2190000.05722
srb,2017,3000000
srb,2018,4719999.79019
srb,2019,4000000
ssd,2014,39999.99911
ssd,2015,29999.99933
ssd,2016,29999.99933
ssd,2017,29999.99933
ssd,2018,39999.99911
syc,2012,9999.99978
syr,2012,79999.99821
syr,2013,100000.00149
syr,2014,39999.99911
syr,2015,159999.99642
syr,2016,100000.00149
syr,2017,50000.00075
syr,2018,50000.00075
syr,2019,449999.98808
tcd,2010,9999.99978
tjk,2008,9999.99978
tjk,2017,0
tun,2011,9999.99978
tun,2019,39999.99911
tur,2008,1080000.04292
tur,2009,200000.00298
tur,2010,9999.99978
tur,2011,219999.99881
tur,2012,150000.00596
tur,2013,100000.00149
tur,2014,79999.99821
tur,2015,50000.00075
tur,2016,1659999.96662
tur,2017,2589999.91417
tur,2018,1370000.00477
tur,2019,939999.99762
uga,2009,29999.99933
uga,2010,50000.00075
uga,2011,119999.99732
uga,2012,59999.99866
uga,2013,39999.99911
uga,2014,39999.99911
uga,2015,29999.99933
uga,2016,29999.99933
uga,2017,79999.99821
uga,2018,59999.99866
uga,2019,59999.99866
ukr,2008,90000.00358
ukr,2009,109999.9994
ukr,2010,100000.00149
ukr,2011,19999.99955
ukr,2012,159999.99642
ukr,2013,200000.00298
ukr,2014,129999.99523
ukr,2015,310000.00238
ukr,2016,200000.00298
ukr,2017,250000
ukr,2018,1149999.97616
ukr,2019,1710000.03815
uzb,2008,9999.99978
uzb,2009,9999.99978
uzb,2016,0
uzb,2017,0
uzb,2018,0
vct,2011,9999.99978
ven,2008,9999.99978
ven,2019,59999.99866
yem,2016,29999.99933
yem,2017,70000.0003
yem,2018,59999.99866
yem,2019,100000.00149
zaf,2009,9999.99978
zaf,2010,19999.99955
zaf,2011,19999.99955
zwe,2008,9999.99978
zwe,2009,9999.99978
