geo,time,se_ter_cuat_do_fe_zs
nld,2014,0.3001
nld,2015,0.29866
nld,2016,0.39565
nld,2018,0.43739
nld,2020,0.55884
nor,2014,0.6745
nor,2015,0.74022
nor,2016,0.80437
nor,2017,0.83533
nor,2019,0.91702
nzl,2014,0.37025
nzl,2015,0.30589
nzl,2016,0.79758
nzl,2020,0.95516
omn,2010,0.25908
omn,2015,0.37691
omn,2020,0.24157
pan,2010,0.19862
pan,2019,0.18798
phl,2017,0.03982
phl,2019,0.12711
pol,2013,0.43059
pol,2014,0.46766
pol,2016,0.29173
pol,2020,0.57971
pri,2012,0.67951
pri,2017,1.01853
prt,2014,0.42598
prt,2015,0.38514
prt,2016,0.41946
prt,2017,0.51608
prt,2018,0.54551
prt,2019,0.64451
prt,2020,0.67573
pry,2012,0.04733
pry,2013,0.20615
pry,2014,0.06184
pry,2015,0.12904
pry,2016,0.00971
pry,2018,0.0478
pry,2019,0.07719
pry,2020,0.01048
pse,2013,0.06838
pse,2014,0.04617
pse,2015,0.01789
pse,2016,0.03179
pse,2017,0.06002
pse,2018,0.04071
pse,2020,0.06973
qat,2016,0.48395
qat,2017,0.51699
rou,2014,0.08473
rus,2010,0.63761
rwa,2012,0.01075
rwa,2014,0
rwa,2018,0
sau,2017,0.41014
sau,2020,0.66219
sen,2011,0.13567
sen,2013,0.18376
sen,2017,0.03861
slv,2013,0.03761
srb,2011,0.2534
srb,2013,0.24224
srb,2014,0.25024
srb,2015,0.28679
srb,2016,0.33082
srb,2017,0.3073
srb,2019,0.36203
ssd,2008,0.16297
stp,2012,0
svk,2011,0.93041
svk,2014,0.41679
svk,2015,0.6479
svk,2016,0.55644
svk,2017,0.63008
svk,2018,0.76698
svk,2019,0.76361
svn,2014,1.39241
svn,2015,1.79257
svn,2016,2.38246
svn,2017,2.85337
svn,2019,3.88895
swe,2013,0.84735
swe,2014,0.87944
swe,2015,0.91044
swe,2016,0.93567
swe,2017,0.96592
swe,2019,1.027
tcd,2009,0.00727
tha,2018,0.09834
tha,2019,0.05163
tto,2011,0.18021
tur,2013,0.26784
tur,2014,0.27479
tur,2015,0.28345
tur,2016,0.28583
tur,2017,0.3389
tur,2019,0.34264
ukr,2001,0
ury,2013,0.06197
usa,2013,1.1878
usa,2014,1.26415
usa,2015,1.36391
usa,2016,1.48143
usa,2018,1.64229
usa,2020,1.76066
vnm,2019,0.04025
zaf,2017,0.25912
zaf,2019,0.18069
zwe,2017,0.02473
