geo,time,dc_oda_tldc_cd
aut,2016,43180000
bel,1960,86000000
bel,1961,70500000
bel,1962,63400000
bel,1963,75770000
bel,1964,76460000
bel,1965,95980000
bel,1966,59640000
bel,1967,62820000
bel,1968,60560000
bel,1969,65530000
bel,1970,72570000
bel,1971,80840000
bel,1972,102190000
bel,1973,121310000
bel,1974,143320000
bel,1975,168170000
bel,1976,151220000
bel,1977,172690000
bel,1978,210950000
bel,1979,269400000
bel,1980,276730000
bel,1981,219340000
bel,1982,184110000
bel,1983,150960000
bel,1984,139480000
bel,1985,177620000
bel,1986,233330000
bel,1987,230060000
bel,1988,233950000
bel,1989,179880000
bel,1990,269900000
bel,1991,167560000
bel,1992,215540000
bel,1993,174200000
bel,1994,171970000
bel,1995,154270000
bel,1996,163140000
bel,1997,167780000
bel,1998,191890000
bel,1999,129860000
bel,2000,153450000
bel,2001,187410000
bel,2002,252130000
bel,2003,959220000
bel,2004,457250000
bel,2005,349450000
bel,2006,478960000
bel,2007,492340000
bel,2008,540800000
bel,2009,613740000
bel,2010,1083550000
bel,2011,723430000
bel,2012,444330000
bel,2013,495830000
bel,2014,474250000
bel,2015,377360000
bel,2016,398100000
can,1960,520000
can,1961,1150000
can,1962,1060000
can,1963,1350000
can,1964,3190000
can,1965,4690000
can,1966,7060000
can,1967,8730000
can,1968,9760000
can,1969,10430000
can,1970,18090000
can,1971,35130000
can,1972,65230000
can,1973,106770000
can,1974,142330000
can,1975,179000000
can,1976,146260000
can,1977,140470000
can,1978,209410000
can,1979,197360000
can,1980,195470000
can,1981,203370000
can,1982,287710000
can,1983,276660000
can,1984,303980000
can,1985,329140000
can,1986,265280000
can,1987,391190000
can,1988,417600000
can,1989,363370000
can,1990,390860000
can,1991,402800000
can,1992,412570000
can,1993,271060000
can,1994,261310000
can,1995,252380000
can,1996,232390000
can,1997,275790000
can,1998,219890000
can,1999,208350000
can,2000,194680000
can,2001,198200000
can,2002,224270000
can,2003,487110000
can,2004,548020000
can,2005,714950000
can,2006,742070000
can,2007,1168770000
can,2008,1218040000
can,2009,1154650000
can,2010,1725960000
can,2011,1394330000
can,2012,1266370000
can,2013,1194230000
can,2014,1039310000
can,2015,998200000
can,2016,829790000
che,1961,110000
che,1963,670000
che,1964,1000000
che,1965,1470000
che,1966,1850000
che,1967,1700000
che,1968,2160000
che,1969,3040000
che,1970,2790000
che,1971,6540000
che,1972,11290000
che,1973,8870000
che,1974,10690000
che,1975,16880000
che,1976,13730000
che,1977,24060000
che,1978,52510000
che,1979,40540000
che,1980,69360000
che,1981,63170000
che,1982,70840000
che,1983,84220000
che,1984,84690000
che,1985,86000000
che,1986,138120000
che,1987,146470000
che,1988,168910000
che,1989,173810000
che,1990,229930000
che,1991,228610000
che,1992,230030000
che,1993,194910000
che,1994,230920000
che,1995,239850000
che,1996,208790000
che,1997,175500000
che,1998,176700000
che,1999,173470000
che,2000,163070000
che,2001,163070000
che,2002,189110000
che,2003,252610000
che,2004,252770000
che,2005,244580000
che,2006,248520000
che,2007,295140000
che,2008,290620000
che,2009,471000000
che,2010,365360000
che,2011,529720000
che,2012,473560000
che,2013,530990000
che,2014,579160000
che,2015,618140000
che,2016,573740000
cze,1998,20000
cze,1999,300000
cze,2000,400000
cze,2001,1320000
cze,2002,1720000
cze,2003,8110000
cze,2004,9440000
cze,2005,5130000
cze,2006,9920000
cze,2007,17590000
cze,2008,52380000
cze,2009,39210000
cze,2010,24460000
cze,2011,21220000
cze,2012,21330000
cze,2013,12110000
cze,2014,13830000
cze,2015,11500000
cze,2016,10420000
deu,1960,5900000
deu,1961,16810000
deu,1962,59220000
deu,1963,55230000
deu,1964,39730000
deu,1965,64750000
deu,1966,69400000
deu,1967,54800000
deu,1968,45310000
deu,1969,56740000
deu,1970,62130000
deu,1971,73160000
deu,1972,85640000
deu,1973,175950000
deu,1974,226280000
deu,1975,281210000
deu,1976,265220000
deu,1977,298500000
deu,1978,452610000
deu,1979,639430000
deu,1980,711980000
deu,1981,639070000
deu,1982,683840000
deu,1983,611830000
deu,1984,518050000
deu,1985,576910000
deu,1986,712300000
deu,1987,837610000
deu,1988,929020000
deu,1989,930320000
deu,1990,1151590000
deu,1991,1152790000
deu,1992,1146530000
deu,1993,1123480000
deu,1994,1108080000
deu,1995,1087200000
deu,1996,1105440000
deu,1997,795840000
deu,1998,881460000
deu,1999,772920000
deu,2000,661970000
deu,2001,599090000
deu,2002,818340000
deu,2003,1549160000
deu,2004,960130000
deu,2005,1028330000
deu,2006,1223640000
deu,2007,1267430000
deu,2008,1758280000
deu,2009,1641530000
deu,2010,1765490000
deu,2011,1936950000
deu,2012,2342070000
deu,2013,1782310000
deu,2014,2257560000
deu,2015,1602640000
deu,2016,2093400000
dnk,1960,100000
dnk,1965,1180000
dnk,1966,1830000
dnk,1967,1780000
dnk,1968,4180000
dnk,1969,8610000
dnk,1970,11590000
dnk,1971,11930000
dnk,1972,17550000
dnk,1973,27610000
dnk,1974,41470000
dnk,1975,49980000
dnk,1976,50040000
dnk,1977,70610000
dnk,1978,94970000
dnk,1979,117110000
dnk,1980,143770000
dnk,1981,97440000
dnk,1982,105860000
dnk,1983,115590000
dnk,1984,103410000
dnk,1985,125960000
dnk,1986,175840000
dnk,1987,195800000
dnk,1988,254730000
dnk,1989,261340000
dnk,1990,293050000
dnk,1991,306840000
dnk,1992,306100000
dnk,1993,312940000
dnk,1994,309830000
dnk,1995,325520000
dnk,1996,399080000
dnk,1997,335500000
dnk,1998,400970000
dnk,1999,408820000
dnk,2000,371760000
dnk,2001,396870000
dnk,2002,370940000
dnk,2003,447880000
dnk,2004,492000000
dnk,2005,553210000
dnk,2006,592020000
dnk,2007,716120000
dnk,2008,745640000
dnk,2009,799080000
dnk,2010,803310000
dnk,2011,823790000
dnk,2012,733730000
dnk,2013,639730000
dnk,2014,613680000
dnk,2015,384120000
dnk,2016,405220000
esp,1987,12900000
esp,1988,14510000
esp,1989,56500000
esp,1990,90980000
esp,1991,98750000
esp,1992,99980000
esp,1993,65920000
esp,1994,46600000
esp,1995,121090000
esp,1996,105330000
esp,1997,150150000
esp,1998,69140000
esp,1999,106140000
esp,2000,65620000
esp,2001,76570000
esp,2002,128540000
esp,2003,158340000
esp,2004,160140000
esp,2005,401400000
esp,2006,141620000
esp,2007,436080000
esp,2008,707910000
esp,2009,991120000
esp,2010,887700000
esp,2011,551660000
esp,2012,263000000
esp,2013,159570000
esp,2014,123940000
esp,2015,77220000
esp,2016,80700000
fin,1971,1250000
fin,1972,3760000
fin,1973,5200000
fin,1974,9570000
fin,1975,15710000
fin,1976,22680000
fin,1977,19200000
fin,1978,18570000
fin,1979,24920000
fin,1980,34420000
fin,1981,36470000
fin,1982,36930000
fin,1983,49560000
fin,1984,53620000
fin,1985,60460000
fin,1986,94940000
fin,1987,126080000
fin,1988,192680000
fin,1989,197620000
fin,1990,194610000
fin,1991,197440000
fin,1992,147760000
fin,1993,60570000
fin,1994,75720000
fin,1995,66330000
fin,1996,65370000
fin,1997,54060000
fin,1998,67970000
fin,1999,64810000
fin,2000,65570000
fin,2001,70550000
fin,2002,78310000
fin,2003,99220000
fin,2004,124430000
fin,2005,137920000
fin,2006,161500000
fin,2007,207580000
fin,2008,232240000
fin,2009,267750000
fin,2010,283190000
fin,2011,274810000
fin,2012,268020000
fin,2013,291270000
fin,2014,325070000
fin,2015,235750000
fin,2016,195430000
fra,1960,1200000
fra,1963,3800000
fra,1964,151100000
fra,1965,146400000
fra,1966,139700000
fra,1967,170200000
fra,1968,160400000
fra,1969,168000000
fra,1970,135100000
fra,1971,142400000
fra,1972,203930000
fra,1973,223230000
fra,1974,327790000
fra,1975,362080000
fra,1976,356570000
fra,1977,323360000
fra,1978,395170000
fra,1979,457500000
fra,1980,656320000
fra,1981,733390000
fra,1982,658030000
fra,1983,588180000
fra,1984,711370000
fra,1985,717700000
fra,1986,926270000
fra,1987,1107190000
fra,1988,1240160000
fra,1989,1458460000
fra,1990,1849200000
fra,1991,1751980000
fra,1992,1649970000
fra,1993,1510070000
fra,1994,1446250000
fra,1995,1417000000
fra,1996,1236680000
fra,1997,1263580000
fra,1998,905190000
fra,1999,890240000
fra,2000,841610000
fra,2001,642750000
fra,2002,1105370000
fra,2003,2243700000
fra,2004,2264590000
fra,2005,999500000
fra,2006,1235150000
fra,2007,1407220000
fra,2008,1307280000
fra,2009,1104700000
fra,2010,1464870000
fra,2011,2158840000
fra,2012,1270380000
fra,2013,1702750000
fra,2014,1254720000
fra,2015,1088790000
fra,2016,886220000
gbr,1960,70040000
gbr,1961,94020000
gbr,1962,107180000
gbr,1963,97270000
gbr,1964,141260000
gbr,1965,132140000
gbr,1966,141470000
gbr,1967,135160000
gbr,1968,78320000
gbr,1969,74420000
gbr,1970,60750000
gbr,1971,75010000
gbr,1972,93610000
gbr,1973,88390000
gbr,1974,108320000
gbr,1975,155820000
gbr,1976,141920000
gbr,1977,170040000
gbr,1978,271560000
gbr,1979,377220000
gbr,1980,446510000
gbr,1981,383140000
gbr,1982,304500000
gbr,1983,257820000
gbr,1984,232090000
gbr,1985,280700000
gbr,1986,285310000
gbr,1987,371860000
gbr,1988,516090000
gbr,1989,484870000
gbr,1990,471200000
gbr,1991,574480000
gbr,1992,594030000
gbr,1993,414340000
gbr,1994,572990000
gbr,1995,559580000
gbr,1996,565810000
gbr,1997,558370000
gbr,1998,686460000
gbr,1999,630870000
gbr,2000,1014840000
gbr,2001,1071640000
gbr,2002,861410000
gbr,2003,1363790000
gbr,2004,2201620000
gbr,2005,1749460000
gbr,2006,2151030000
gbr,2007,2318010000
gbr,2008,2572540000
gbr,2009,2563990000
gbr,2010,2595810000
gbr,2011,3344000000
gbr,2012,3040640000
gbr,2013,3547260000
gbr,2014,3804220000
gbr,2015,3815280000
gbr,2016,3175860000
grc,1996,5690000
grc,1997,250000
grc,1998,1510000
grc,1999,560000
grc,2000,1750000
grc,2001,2310000
grc,2002,9700000
grc,2003,10790000
grc,2004,15250000
grc,2005,23570000
grc,2006,17590000
grc,2007,27180000
grc,2008,25940000
grc,2009,28930000
grc,2010,5870000
grc,2011,5130000
grc,2012,4010000
grc,2013,1450000
grc,2014,1860000
grc,2015,1150000
grc,2016,150000
hun,1976,500000
hun,1977,100000
hun,1978,100000
hun,1979,1900000
hun,1980,19600000
hun,1981,13000000
hun,1982,6800000
hun,1983,1460000
hun,1984,1700000
hun,1985,10110000
hun,1986,5800000
hun,1987,9300000
hun,1988,11900000
hun,1989,2500000
hun,1990,1000000
hun,1991,600000
hun,1992,250000
hun,2003,20000
hun,2004,2320000
hun,2005,20350000
hun,2006,470000
hun,2007,25510000
hun,2008,4490000
hun,2009,10700000
hun,2010,6950000
hun,2011,7590000
hun,2012,2110000
hun,2013,1360000
hun,2014,770000
hun,2015,1360000
hun,2016,4880000
irl,1974,60000
irl,1975,150000
irl,1976,430000
irl,1977,830000
irl,1978,2350000
irl,1979,3740000
irl,1980,5730000
irl,1981,6300000
irl,1982,7490000
irl,1983,8200000
irl,1984,8040000
irl,1985,10440000
irl,1986,12720000
irl,1987,14280000
irl,1988,14000000
irl,1989,11290000
irl,1990,13930000
irl,1991,14350000
irl,1992,18210000
irl,1993,25300000
irl,1994,35800000
irl,1995,55680000
irl,1996,67170000
irl,1997,80160000
irl,1998,82150000
irl,1999,83430000
irl,2000,98250000
irl,2001,123560000
irl,2002,181060000
irl,2003,225980000
irl,2004,270640000
irl,2005,288190000
irl,2006,362320000
irl,2007,464970000
irl,2008,526690000
irl,2009,412380000
irl,2010,381620000
irl,2011,385090000
irl,2012,334610000
irl,2013,325400000
irl,2014,309400000
irl,2015,256740000
irl,2016,238780000
isl,1992,750000
isl,1994,340000
isl,1997,900000
isl,1998,830000
isl,1999,1330000
isl,2000,2180000
isl,2001,3460000
isl,2002,3120000
isl,2003,3940000
isl,2004,4740000
isl,2005,8450000
isl,2006,13090000
isl,2007,15050000
isl,2008,15910000
isl,2009,12070000
isl,2010,11120000
isl,2011,9890000
isl,2012,10150000
isl,2013,14290000
isl,2014,13030000
isl,2015,12910000
isl,2016,13670000
ita,1960,16630000
ita,1961,18520000
ita,1962,12500000
ita,1963,22480000
ita,1964,12560000
ita,1965,15610000
ita,1966,9160000
ita,1967,31830000
ita,1968,50160000
ita,1969,14690000
ita,1970,24730000
ita,1971,23780000
ita,1972,8060000
ita,1973,19200000
ita,1974,12210000
ita,1975,14150000
ita,1976,11540000
ita,1977,14150000
ita,1978,15160000
ita,1979,18480000
ita,1980,39030000
ita,1981,78030000
ita,1982,151590000
ita,1983,227700000
ita,1984,334610000
ita,1985,412540000
ita,1986,864560000
ita,1987,1065690000
ita,1988,1275240000
ita,1989,846260000
ita,1990,962530000
ita,1991,546480000
ita,1992,669210000
ita,1993,566110000
ita,1994,348290000
ita,1995,273320000
ita,1996,242800000
ita,1997,247240000
ita,1998,480950000
ita,1999,172440000
ita,2000,239220000
ita,2001,187180000
ita,2002,771140000
ita,2003,721870000
ita,2004,286790000
ita,2005,290690000
ita,2006,260830000
ita,2007,305320000
ita,2008,465160000
ita,2009,375730000
ita,2010,341420000
ita,2011,781410000
ita,2012,148930000
ita,2013,157550000
ita,2014,172280000
ita,2015,280250000
ita,2016,296380000
jpn,1960,22090000
jpn,1961,14280000
jpn,1962,26350000
jpn,1963,30060000
jpn,1964,18280000
jpn,1965,13150000
jpn,1966,13770000
jpn,1967,11090000
jpn,1968,15490000
jpn,1969,24620000
jpn,1970,26000000
jpn,1971,40210000
jpn,1972,67130000
jpn,1973,117670000
jpn,1974,115890000
jpn,1975,103500000
jpn,1976,90260000
jpn,1977,140240000
jpn,1978,357020000
jpn,1979,585880000
jpn,1980,606730000
jpn,1981,504620000
jpn,1982,635110000
jpn,1983,458500000
jpn,1984,434070000
jpn,1985,557930000
jpn,1986,920210000
jpn,1987,1108510000
jpn,1988,1348370000
jpn,1989,1242760000
jpn,1990,1051400000
jpn,1991,1000000000
jpn,1992,987980000
jpn,1993,1196080000
jpn,1994,1513090000
jpn,1995,1640540000
jpn,1996,1207620000
jpn,1997,988390000
jpn,1998,1132740000
jpn,1999,1122540000
jpn,2000,1295140000
jpn,2001,1162440000
jpn,2002,1005690000
jpn,2003,1048460000
jpn,2004,901220000
jpn,2005,1271670000
jpn,2006,1090790000
jpn,2007,1860560000
jpn,2008,1404090000
jpn,2009,1861850000
jpn,2010,2647100000
jpn,2011,2562780000
jpn,2012,3007020000
jpn,2013,5462120000
jpn,2014,2303370000
jpn,2015,2480590000
jpn,2016,2568290000
kor,1987,370000
kor,1988,620000
kor,1989,320000
kor,1990,130000
kor,1991,4760000
kor,1992,5180000
kor,1993,5940000
kor,1994,15370000
kor,1995,14170000
kor,1996,9280000
kor,1997,24810000
kor,1998,31850000
kor,1999,27550000
kor,2000,21170000
kor,2001,8230000
kor,2002,45600000
kor,2003,56760000
kor,2004,85870000
kor,2005,111680000
kor,2006,91950000
kor,2007,120660000
kor,2008,143470000
kor,2009,161020000
kor,2010,333260000
kor,2011,346730000
kor,2012,417000000
kor,2013,515310000
kor,2014,542000000
kor,2015,580130000
kor,2016,577710000
lux,1990,7390000
lux,1991,9580000
lux,1992,8260000
lux,1993,10260000
lux,1994,13190000
lux,1995,17170000
lux,1996,15040000
lux,1997,18930000
lux,1998,20150000
lux,1999,21930000
lux,2000,32180000
lux,2001,35110000
lux,2002,42970000
lux,2003,46240000
lux,2004,57620000
lux,2005,65910000
lux,2006,78640000
lux,2007,105100000
lux,2008,117610000
lux,2009,108700000
lux,2010,102700000
lux,2011,109680000
lux,2012,105230000
lux,2013,120170000
lux,2014,135220000
lux,2015,121430000
lux,2016,126520000
nld,1965,330000
nld,1967,1580000
nld,1968,100000
nld,1969,120000
nld,1970,4860000
nld,1971,7960000
nld,1972,14510000
nld,1973,17420000
nld,1974,48270000
nld,1975,66990000
nld,1976,88840000
nld,1977,170910000
nld,1978,257920000
nld,1979,288590000
nld,1980,368360000
nld,1981,337850000
nld,1982,309520000
nld,1983,245500000
nld,1984,304390000
nld,1985,251910000
nld,1986,409020000
nld,1987,475440000
nld,1988,520020000
nld,1989,451260000
nld,1990,582770000
nld,1991,412290000
nld,1992,546580000
nld,1993,477910000
nld,1994,493970000
nld,1995,662880000
nld,1996,663620000
nld,1997,617900000
nld,1998,612670000
nld,1999,418060000
nld,2000,553130000
nld,2001,757170000
nld,2002,918240000
nld,2003,972630000
nld,2004,1045380000
nld,2005,1065210000
nld,2006,939540000
nld,2007,1180700000
nld,2008,1355140000
nld,2009,1094560000
nld,2010,1331700000
nld,2011,816440000
nld,2012,665030000
nld,2013,693830000
nld,2014,589890000
nld,2015,464860000
nld,2016,506650000
nor,1962,40000
nor,1963,120000
nor,1964,640000
nor,1965,840000
nor,1966,1170000
nor,1967,1400000
nor,1968,1550000
nor,1969,2360000
nor,1970,3600000
nor,1971,8580000
nor,1972,14640000
nor,1973,17230000
nor,1974,31360000
nor,1975,39130000
nor,1976,43380000
nor,1977,72990000
nor,1978,88370000
nor,1979,107470000
nor,1980,110640000
nor,1981,109850000
nor,1982,150700000
nor,1983,151560000
nor,1984,127980000
nor,1985,156250000
nor,1986,234140000
nor,1987,221050000
nor,1988,276010000
nor,1989,252880000
nor,1990,355720000
nor,1991,361520000
nor,1992,399740000
nor,1993,313150000
nor,1994,363050000
nor,1995,369660000
nor,1996,392050000
nor,1997,378080000
nor,1998,362430000
nor,1999,333660000
nor,2000,310710000
nor,2001,314710000
nor,2002,450460000
nor,2003,577390000
nor,2004,617200000
nor,2005,710130000
nor,2006,805820000
nor,2007,966130000
nor,2008,1072830000
nor,2009,901840000
nor,2010,997160000
nor,2011,1069300000
nor,2012,927040000
nor,2013,1053200000
nor,2014,965190000
nor,2015,727910000
nor,2016,658800000
nzl,1972,1450000
nzl,1973,1660000
nzl,1974,1720000
nzl,1975,6160000
nzl,1976,3050000
nzl,1977,2420000
nzl,1978,2150000
nzl,1979,2870000
nzl,1980,3530000
nzl,1981,3080000
nzl,1982,2520000
nzl,1983,2290000
nzl,1984,3300000
nzl,1985,3190000
nzl,1986,4890000
nzl,1987,11730000
nzl,1988,7120000
nzl,1989,6480000
nzl,1990,7490000
nzl,1991,8200000
nzl,1992,7350000
nzl,1993,9270000
nzl,1994,11140000
nzl,1995,14160000
nzl,1996,16350000
nzl,1997,20310000
nzl,1998,17350000
nzl,1999,20100000
nzl,2000,20200000
nzl,2001,21160000
nzl,2002,20590000
nzl,2003,31920000
nzl,2004,50110000
nzl,2005,51820000
nzl,2006,50740000
nzl,2007,55250000
nzl,2008,73210000
nzl,2009,71950000
nzl,2010,65730000
nzl,2011,81020000
nzl,2012,100570000
nzl,2013,87270000
nzl,2014,113330000
nzl,2015,113410000
nzl,2016,113340000
pol,1975,500000
pol,1976,500000
pol,1977,500000
pol,1978,1400000
pol,1979,200000
pol,1980,-1900000
pol,1981,3820000
pol,1982,400000
pol,1983,5500000
pol,1984,3500000
pol,1985,8800000
pol,1986,3700000
pol,1987,500000
pol,1988,1400000
pol,1989,300000
pol,1990,300000
pol,1998,1130000
pol,1999,2000000
pol,2000,770000
pol,2001,24090000
pol,2002,830000
pol,2003,550000
pol,2004,9600000
pol,2005,930000
pol,2006,93890000
pol,2007,5790000
pol,2008,13170000
pol,2009,15660000
pol,2010,9370000
pol,2011,12170000
pol,2012,11690000
pol,2013,46600000
pol,2014,40730000
pol,2015,44250000
pol,2016,71670000
prt,1961,30520000
prt,1966,10680000
prt,1967,37740000
prt,1989,60490000
prt,1990,84130000
prt,1991,135570000
prt,1992,206240000
prt,1993,148550000
prt,1994,149770000
prt,1995,141510000
prt,1996,129130000
prt,1997,147030000
prt,1998,108070000
prt,1999,165790000
prt,2000,124930000
prt,2001,132000000
prt,2002,145010000
prt,2003,110610000
prt,2004,793710000
prt,2005,111380000
prt,2006,117820000
prt,2007,130760000
prt,2008,134480000
prt,2009,136360000
prt,2010,191080000
prt,2011,285990000
prt,2012,135570000
prt,2013,101620000
prt,2014,73370000
prt,2015,52710000
prt,2016,45900000
svk,2002,230000
svk,2003,890000
svk,2004,1320000
svk,2005,21860000
svk,2006,17170000
svk,2007,19300000
svk,2008,25770000
svk,2009,690000
svk,2010,1400000
svk,2011,2010000
svk,2012,1700000
svk,2013,3340000
svk,2014,1170000
svk,2015,930000
svk,2016,1050000
svn,2008,820000
svn,2009,500000
svn,2010,1360000
svn,2011,1500000
svn,2012,660000
svn,2013,570000
svn,2014,440000
svn,2015,410000
svn,2016,410000
swe,1960,270000
swe,1961,390000
swe,1962,810000
swe,1963,1840000
swe,1964,2880000
swe,1965,3850000
swe,1967,8610000
swe,1968,14030000
swe,1969,18750000
swe,1970,16130000
swe,1971,19890000
swe,1972,56210000
swe,1973,58100000
swe,1974,70640000
swe,1975,136890000
swe,1976,131300000
swe,1977,177900000
swe,1978,189620000
swe,1979,284640000
swe,1980,271290000
swe,1981,245370000
swe,1982,240420000
swe,1983,210760000
swe,1984,175580000
swe,1985,194190000
swe,1986,328910000
swe,1987,308360000
swe,1988,431960000
swe,1989,393510000
swe,1990,521290000
swe,1991,610040000
swe,1992,516950000
swe,1993,423580000
swe,1994,370190000
swe,1995,351530000
swe,1996,405500000
swe,1997,361230000
swe,1998,293700000
swe,1999,289600000
swe,2000,337310000
swe,2001,325660000
swe,2002,344660000
swe,2003,608680000
swe,2004,586640000
swe,2005,638570000
swe,2006,728590000
swe,2007,748500000
swe,2008,902690000
swe,2009,807730000
swe,2010,828750000
swe,2011,1203910000
swe,2012,951780000
swe,2013,1071150000
swe,2014,985020000
swe,2015,847260000
swe,2016,837570000
tha,2006,61420000
tha,2007,49130000
tha,2008,130380000
tha,2009,29760000
tha,2010,-8080000
tha,2011,10460000
tha,2012,1640000
tha,2013,24000000
tha,2014,56710000
tha,2015,49590000
tha,2016,48730000
tur,1992,10000
tur,1993,6110000
tur,1994,1030000
tur,1995,1940000
tur,1998,790000
tur,1999,460000
tur,2000,370000
tur,2001,890000
tur,2002,430000
tur,2003,780000
tur,2004,10700000
tur,2005,32030000
tur,2006,79950000
tur,2007,100830000
tur,2008,194540000
tur,2009,136680000
tur,2010,159040000
tur,2011,280150000
tur,2012,341690000
tur,2013,287720000
tur,2014,211860000
tur,2015,456240000
tur,2016,153290000
usa,1960,144520000
usa,1961,206000000
usa,1962,263000000
usa,1963,235000000
usa,1964,227000000
usa,1965,284710000
usa,1966,241780000
usa,1967,229370000
usa,1968,174900000
usa,1969,175000000
usa,1970,167000000
usa,1971,222000000
usa,1972,293000000
usa,1973,454000000
usa,1974,598000000
usa,1975,660000000
usa,1976,314000000
usa,1977,336000000
usa,1978,461000000
usa,1979,532000000
usa,1980,691000000
usa,1981,700000000
usa,1982,782000000
usa,1983,866000000
usa,1984,988000000
usa,1985,1420000000
usa,1986,1056000000
usa,1987,977000000
usa,1988,890000000
usa,1989,866000000
usa,1990,1092000000
usa,1991,1011000000
usa,1992,1155000000
usa,1993,1423000000
usa,1994,1963000000
usa,1995,1261000000
usa,1996,599000000
usa,1997,728000000
usa,1998,629930000
usa,1999,1034820000
usa,2000,1042950000
usa,2001,987030000
usa,2002,2079910000
usa,2003,4231790000
usa,2004,3425630000
usa,2005,4647010000
usa,2006,5307060000
usa,2007,4799800000
usa,2008,7026470000
usa,2009,8031950000
usa,2010,8936160000
usa,2011,10066080000
usa,2012,9125460000
usa,2013,8841210000
usa,2014,8636320000
usa,2015,9121880000
usa,2016,9345700000
