geo,time,sh_prv_smok_fe
brn,2019,2.4
brn,2020,2.3
bwa,2000,27.6
bwa,2005,20.4
bwa,2010,15.2
bwa,2015,11.2
bwa,2018,9.3
bwa,2019,8.9
bwa,2020,8.3
can,2000,26.4
can,2005,21.1
can,2010,17
can,2015,13.5
can,2018,11.8
can,2019,11.3
can,2020,10.7
che,2000,23.7
che,2005,23.5
che,2010,23.3
che,2015,23.1
che,2018,23
che,2019,23
che,2020,22.9
chl,2000,42.4
chl,2005,37.9
chl,2010,33.9
chl,2015,30.2
chl,2018,28.1
chl,2019,27.5
chl,2020,26.8
chn,2000,3.2
chn,2005,2.7
chn,2010,2.3
chn,2015,2
chn,2018,1.8
chn,2019,1.7
chn,2020,1.7
civ,2000,2.8
civ,2005,2.1
civ,2010,1.5
civ,2015,1.1
civ,2018,1
civ,2019,0.9
civ,2020,0.9
cmr,2000,4.2
cmr,2005,3.2
cmr,2010,2.4
cmr,2015,1.9
cmr,2018,1.6
cmr,2019,1.5
cmr,2020,1.4
cod,2000,8
cod,2005,6.2
cod,2010,4.8
cod,2015,3.8
cod,2018,3.2
cod,2019,3.1
cod,2020,2.9
cog,2000,5.6
cog,2005,4.4
cog,2010,3.4
cog,2015,2.7
cog,2018,2.3
cog,2019,2.2
cog,2020,2.1
col,2000,8.1
col,2005,7
col,2010,6.1
col,2015,5.3
col,2018,4.8
col,2019,4.7
col,2020,4.6
com,2000,37.9
com,2005,27.8
com,2010,20.5
com,2015,15
com,2018,12.5
com,2019,11.7
com,2020,11.1
cpv,2000,13.3
cpv,2005,10.6
cpv,2010,8.4
cpv,2015,6.7
cpv,2018,5.9
cpv,2019,5.6
cpv,2020,5.4
cri,2000,9.8
cri,2005,8.1
cri,2010,6.7
cri,2015,5.5
cri,2018,4.9
cri,2019,4.8
cri,2020,4.6
cub,2000,30.3
cub,2005,23.2
cub,2010,17.7
cub,2015,13.4
cub,2018,11.5
cub,2019,10.9
cub,2020,10.3
cyp,2000,21.1
cyp,2005,21.6
cyp,2010,22.2
cyp,2015,22.7
cyp,2018,22.9
cyp,2019,23.2
cyp,2020,23.2
cze,2000,28.2
cze,2005,28
cze,2010,27.3
cze,2015,26.9
cze,2018,26.7
cze,2019,26.5
cze,2020,26.4
deu,2000,31.6
deu,2005,28.3
deu,2010,25.1
deu,2015,22.3
deu,2018,20.9
deu,2019,20.4
deu,2020,19.9
dnk,2000,34.1
dnk,2005,28.6
dnk,2010,24.2
dnk,2015,20.3
dnk,2018,18.4
dnk,2019,17.8
dnk,2020,17.1
dom,2000,16.2
dom,2005,13
dom,2010,10.2
dom,2015,8.2
dom,2018,7.1
dom,2019,6.8
dom,2020,6.5
dza,2000,1.9
dza,2005,1.5
dza,2010,1.2
dza,2015,0.9
dza,2018,0.8
dza,2019,0.7
dza,2020,0.7
ecu,2000,7.6
ecu,2005,6.5
ecu,2010,5.6
ecu,2015,4.8
ecu,2018,4.4
ecu,2019,4.3
ecu,2020,4.2
egy,2000,1
egy,2005,0.8
egy,2010,0.7
egy,2015,0.5
egy,2018,0.5
egy,2019,0.4
egy,2020,0.4
eri,2000,0.5
eri,2005,0.4
eri,2010,0.3
eri,2015,0.3
eri,2018,0.2
eri,2019,0.2
eri,2020,0.2
esp,2000,29
esp,2005,28.5
esp,2010,27.9
esp,2015,27.3
esp,2018,27
esp,2019,26.9
esp,2020,26.7
est,2000,30.1
est,2005,28.2
est,2010,26.4
est,2015,24.7
est,2018,23.7
est,2019,23.5
est,2020,23
eth,2000,2
eth,2005,1.8
eth,2010,1.6
eth,2015,1.5
eth,2018,1.4
eth,2019,1.4
eth,2020,1.3
fin,2000,24.7
fin,2005,22.2
fin,2010,20.1
fin,2015,18
fin,2018,17
fin,2019,16.6
fin,2020,16.3
fji,2000,15.2
fji,2005,13.8
fji,2010,12.6
fji,2015,11.5
fji,2018,10.9
fji,2019,10.6
fji,2020,10.5
fra,2000,29.8
fra,2005,30.5
fra,2010,30.9
fra,2015,31.4
fra,2018,31.7
fra,2019,31.9
fra,2020,31.9
gbr,2000,36.5
gbr,2005,28.3
gbr,2010,22.2
gbr,2015,17.4
gbr,2018,15
gbr,2019,14.2
gbr,2020,13.5
geo,2000,5.4
geo,2005,5.8
geo,2010,6.2
geo,2015,6.6
geo,2018,6.9
geo,2019,7
geo,2020,7.1
gha,2000,1.1
gha,2005,0.8
gha,2010,0.6
gha,2015,0.5
gha,2018,0.4
gha,2019,0.4
gha,2020,0.3
gmb,2000,3.6
gmb,2005,2.5
gmb,2010,1.7
gmb,2015,1.2
gmb,2018,1
gmb,2019,0.9
gmb,2020,0.8
gnb,2000,2
gnb,2005,1.6
gnb,2010,1.4
gnb,2015,1.1
gnb,2018,1
gnb,2019,0.9
gnb,2020,0.9
grc,2000,43.8
grc,2005,40
grc,2010,36.7
grc,2015,33.5
grc,2018,31.9
grc,2019,31.2
grc,2020,30.5
gtm,2000,3.3
gtm,2005,2.8
gtm,2010,2.3
gtm,2015,1.9
gtm,2018,1.7
gtm,2019,1.6
gtm,2020,1.6
guy,2000,5.5
guy,2005,4.5
guy,2010,3.6
guy,2015,2.9
guy,2018,2.6
guy,2019,2.5
guy,2020,2.4
hrv,2000,27.1
hrv,2005,29.2
hrv,2010,31.3
hrv,2015,33.7
hrv,2018,34.9
hrv,2019,35.6
hrv,2020,36.1
hti,2000,6.3
hti,2005,5.3
hti,2010,4.4
hti,2015,3.7
hti,2018,3.4
hti,2019,3.2
hti,2020,3.1
hun,2000,31.6
hun,2005,30.5
hun,2010,29.7
hun,2015,28.7
hun,2018,28
hun,2019,28
hun,2020,27.8
idn,2000,6.9
idn,2005,5.9
idn,2010,5.1
idn,2015,4.3
idn,2018,3.9
idn,2019,3.8
idn,2020,3.7
ind,2000,39
ind,2005,29.9
ind,2010,22.7
ind,2015,17.2
ind,2018,14.5
ind,2019,13.7
ind,2020,13
irl,2000,35.9
irl,2005,30.9
irl,2010,26.1
irl,2015,22.3
irl,2018,20.3
irl,2019,19.7
irl,2020,19
irn,2000,8.1
irn,2005,6.4
irn,2010,5
irn,2015,4
irn,2018,3.4
irn,2019,3.3
irn,2020,3.1
irq,2000,7.1
irq,2005,5.1
irq,2010,3.6
irq,2015,2.6
irq,2018,2.1
irq,2019,2
irq,2020,1.8
isl,2000,27.6
isl,2005,22.4
isl,2010,18.2
isl,2015,14.9
isl,2018,13.1
isl,2019,12.5
isl,2020,12
isr,2000,24.2
isr,2005,20.9
isr,2010,18
isr,2015,15.4
isr,2018,14.2
isr,2019,13.9
isr,2020,13.5
ita,2000,19.7
ita,2005,19.6
ita,2010,19.6
ita,2015,19.6
ita,2018,19.6
ita,2019,19.6
ita,2020,19.5
jam,2000,8.1
jam,2005,6.7
jam,2010,5.5
jam,2015,4.6
jam,2018,4.1
jam,2019,3.9
jam,2020,3.8
jor,2000,10.1
jor,2005,10.8
jor,2010,11.4
jor,2015,12.1
jor,2018,12.6
jor,2019,12.7
jor,2020,12.8
jpn,2000,14.5
jpn,2005,13.2
jpn,2010,12
jpn,2015,10.9
jpn,2018,10.3
jpn,2019,10.2
jpn,2020,10
kaz,2000,11.2
kaz,2005,9.8
kaz,2010,8.6
kaz,2015,7.6
kaz,2018,7.1
kaz,2019,6.9
kaz,2020,6.7
ken,2000,6.1
ken,2005,5
ken,2010,4.1
ken,2015,3.3
ken,2018,3
ken,2019,2.9
ken,2020,2.7
kgz,2000,5
kgz,2005,4.4
kgz,2010,4
kgz,2015,3.6
kgz,2018,3.4
kgz,2019,3.3
kgz,2020,2.8
khm,2000,19.3
khm,2005,14.4
khm,2010,10.7
khm,2015,8
khm,2018,6.7
khm,2019,6.3
khm,2020,6
kir,2000,53.9
kir,2005,45.9
kir,2010,38.4
kir,2015,32.3
kir,2018,29.1
kir,2019,28.2
kir,2020,27.3
kor,2000,7.1
kor,2005,6.7
kor,2010,6.4
kor,2015,6.2
kor,2018,6
kor,2019,6
kor,2020,5.9
kwt,2000,4.2
kwt,2005,3.6
kwt,2010,3.1
kwt,2015,2.6
kwt,2018,2.4
kwt,2019,2.3
kwt,2020,2.2
lao,2000,28.9
lao,2005,22.3
lao,2010,17.3
lao,2015,13.3
lao,2018,11.5
lao,2019,10.9
lao,2020,10.3
lbn,2000,34.6
lbn,2005,33.1
lbn,2010,31.7
lbn,2015,30.2
lbn,2018,29.4
lbn,2019,29.2
lbn,2020,28.9
lbr,2000,6.2
lbr,2005,4.6
lbr,2010,3.5
lbr,2015,2.6
lbr,2018,2.2
lbr,2019,2.1
lbr,2020,2
lka,2000,8.6
lka,2005,6.4
lka,2010,4.7
lka,2015,3.5
lka,2018,2.9
lka,2019,2.7
lka,2020,2.6
lso,2000,15.2
lso,2005,11.8
lso,2010,9.1
lso,2015,7
lso,2018,6.1
lso,2019,5.7
lso,2020,5.4
ltu,2000,24.8
ltu,2005,24.1
ltu,2010,23.2
ltu,2015,22.4
ltu,2018,21.9
ltu,2019,21.8
ltu,2020,21.8
lux,2000,25.5
lux,2005,23.8
lux,2010,22.5
lux,2015,21.1
lux,2018,20.3
lux,2019,20.1
lux,2020,19.8
lva,2000,26.3
lva,2005,25.7
lva,2010,25.1
lva,2015,24.4
lva,2018,23.8
lva,2019,23.8
lva,2020,23.7
mar,2000,2.1
mar,2005,1.7
mar,2010,1.3
mar,2015,1
mar,2018,0.9
mar,2019,0.9
mar,2020,0.8
mda,2000,5.3
mda,2005,5.5
mda,2010,5.8
mda,2015,6
mda,2018,6.1
mda,2019,6.2
mda,2020,6.2
mdg,2000,35.2
mdg,2005,27.4
mdg,2010,21.3
mdg,2015,16.5
mdg,2018,14.2
mdg,2019,13.5
mdg,2020,12.8
mdv,2000,19.4
mdv,2005,14.4
mdv,2010,10.7
mdv,2015,8
mdv,2018,6.7
mdv,2019,6.4
mdv,2020,6
mex,2000,12.8
mex,2005,10.6
mex,2010,8.9
mex,2015,7.4
mex,2018,6.6
mex,2019,6.4
mex,2020,6.2
mhl,2000,9.8
mhl,2005,9.4
mhl,2010,9
mhl,2015,8.6
mhl,2018,8.4
mhl,2019,8.3
mhl,2020,8.3
mli,2000,4.2
mli,2005,3
mli,2010,2.1
mli,2015,1.5
mli,2018,1.2
mli,2019,1.1
mli,2020,1
mlt,2000,26.4
mlt,2005,25.3
mlt,2010,23.9
mlt,2015,22.8
mlt,2018,22.1
mlt,2019,21.8
mlt,2020,21.6
mmr,2000,50
mmr,2005,41.8
mmr,2010,33.1
mmr,2015,25.6
mmr,2018,22
mmr,2019,20.8
mmr,2020,19.7
mne,2000,33.9
mne,2005,33.3
mne,2010,32.6
mne,2015,31.9
mne,2018,31.4
mne,2019,31.3
mne,2020,31.1
mng,2000,8.9
mng,2005,8.4
mng,2010,7.9
mng,2015,7.5
mng,2018,7.3
mng,2019,7.2
mng,2020,7.1
moz,2000,15
moz,2005,11.8
moz,2010,9.2
moz,2015,7.2
moz,2018,6.2
moz,2019,5.9
moz,2020,5.6
mrt,2000,6.9
mrt,2005,5.1
mrt,2010,3.8
mrt,2015,2.8
mrt,2018,2.4
mrt,2019,2.2
mrt,2020,2.1
mus,2000,4.8
mus,2005,4.2
mus,2010,3.8
mus,2015,3.4
mus,2018,3.1
mus,2019,3.1
mus,2020,3
mwi,2000,12.8
mwi,2005,9.5
mwi,2010,7.2
mwi,2015,5.4
mwi,2018,4.6
mwi,2019,4.3
mwi,2020,4.1
mys,2000,4.1
mys,2005,3
mys,2010,2.2
mys,2015,1.6
mys,2018,1.3
mys,2019,1.2
mys,2020,1.1
nam,2000,18
nam,2005,13.7
nam,2010,10.4
nam,2015,7.9
nam,2018,6.7
nam,2019,6.3
nam,2020,6
ner,2000,2.9
ner,2005,2.3
ner,2010,1.8
ner,2015,1.4
ner,2018,1.2
ner,2019,1.2
ner,2020,1.1
nga,2000,1.9
nga,2005,1.4
nga,2010,1
nga,2015,0.7
nga,2018,0.6
nga,2019,0.5
nga,2020,0.5
nld,2000,31.7
nld,2005,28.2
nld,2010,25
nld,2015,22.2
nld,2018,20.8
nld,2019,20.3
nld,2020,19.9
nor,2000,43.3
nor,2005,33.5
nor,2010,25.8
nor,2015,19.7
nor,2018,17
nor,2019,16.2
nor,2020,15.4
npl,2000,54.9
npl,2005,40.8
npl,2010,27.7
npl,2015,18.7
npl,2018,14.8
npl,2019,13.8
npl,2020,12.8
nru,2000,69.4
nru,2005,63.6
nru,2010,58.3
nru,2015,53.6
nru,2018,50.7
nru,2019,49.9
nru,2020,49.1
nzl,2000,29.1
nzl,2005,23.5
nzl,2010,18.9
nzl,2015,15.2
nzl,2018,13.4
nzl,2019,12.8
nzl,2020,12.3
omn,2000,0.7
omn,2005,0.6
omn,2010,0.5
omn,2015,0.4
omn,2018,0.4
omn,2019,0.4
omn,2020,0.4
pak,2000,20.9
pak,2005,16.1
pak,2010,12.4
pak,2015,9.5
pak,2018,8.1
pak,2019,7.7
pak,2020,7.3
pan,2000,4.9
pan,2005,4
pan,2010,3.3
pan,2015,2.7
pan,2018,2.4
pan,2019,2.3
pan,2020,2.2
per,2000,13
per,2005,8.9
per,2010,6.2
per,2015,4.3
per,2018,3.4
per,2019,3.2
per,2020,3
phl,2000,13
phl,2005,11
phl,2010,9.2
phl,2015,7.7
phl,2018,6.9
phl,2019,6.7
phl,2020,6.5
plw,2000,13.7
plw,2005,12
plw,2010,10.5
plw,2015,9.1
plw,2018,8.4
plw,2019,8.1
plw,2020,7.9
png,2000,36.7
png,2005,33.2
png,2010,30.2
png,2015,27.5
png,2018,26.1
png,2019,25.6
png,2020,25.1
pol,2000,33.6
pol,2005,29.6
pol,2010,25.9
pol,2015,22.8
pol,2018,21.2
pol,2019,20.7
pol,2020,20.1
prk,2000,0
prk,2005,0
prk,2010,0
prk,2015,0
prk,2018,0
prk,2019,0
prk,2020,0
prt,2000,14.9
prt,2005,16.1
prt,2010,17.4
prt,2015,18.7
prt,2018,19.7
prt,2019,20
prt,2020,20.2
pry,2000,14.2
pry,2005,10.6
pry,2010,7.9
pry,2015,5.9
pry,2018,5
pry,2019,4.7
pry,2020,4.4
qat,2000,3.4
qat,2005,2.9
qat,2010,2.5
qat,2015,2.2
qat,2018,2
qat,2019,2
qat,2020,1.9
rou,2000,23.3
rou,2005,22.5
rou,2010,21.6
rou,2015,20.8
rou,2018,20.4
rou,2019,20.2
rou,2020,20
rus,2000,12.5
rus,2005,12.5
rus,2010,12.6
rus,2015,12.7
rus,2018,12.7
rus,2019,12.7
rus,2020,12.8
rwa,2000,14.9
rwa,2005,12.4
rwa,2010,10.3
rwa,2015,8.6
rwa,2018,7.7
rwa,2019,7.4
rwa,2020,7.2
sau,2000,3.5
sau,2005,3
sau,2010,2.7
sau,2015,2.3
sau,2018,2.1
sau,2019,2.1
sau,2020,2
sen,2000,1.8
sen,2005,1.4
sen,2010,1.1
sen,2015,0.9
sen,2018,0.7
sen,2019,0.7
sen,2020,0.7
sgp,2000,5.8
sgp,2005,5.6
sgp,2010,5.4
sgp,2015,5.2
sgp,2018,5.1
sgp,2019,5
sgp,2020,5
slb,2000,26.7
slb,2005,24.5
slb,2010,22.6
slb,2015,20.9
slb,2018,19.9
slb,2019,19.6
slb,2020,19.2
sle,2000,23
sle,2005,16.7
sle,2010,12.2
sle,2015,8.8
sle,2018,7.3
sle,2019,6.8
sle,2020,6.4
slv,2000,3.9
slv,2005,3.2
slv,2010,2.6
slv,2015,2.1
slv,2018,1.9
slv,2019,1.8
slv,2020,1.7
srb,2000,39.1
srb,2005,39.3
srb,2010,39.1
srb,2015,39.1
srb,2018,39
srb,2019,39
srb,2020,39.1
stp,2000,3.9
stp,2005,3
stp,2010,2.3
stp,2015,1.8
stp,2018,1.5
stp,2019,1.4
stp,2020,1.3
svk,2000,20.7
svk,2005,21.8
svk,2010,22.9
svk,2015,24.3
svk,2018,25.1
svk,2019,25.4
svk,2020,25.6
svn,2000,23.1
svn,2005,22.1
svn,2010,21.3
svn,2015,20.4
svn,2018,20
svn,2019,19.8
svn,2020,19.6
swe,2000,38.9
swe,2005,32.3
swe,2010,26.7
swe,2015,22.1
swe,2018,19.6
swe,2019,19
swe,2020,18.2
swz,2000,5.1
swz,2005,3.9
swz,2010,3
swz,2015,2.3
swz,2018,2
swz,2019,1.9
swz,2020,1.8
syc,2000,14.2
syc,2005,11.6
syc,2010,9.5
syc,2015,7.8
syc,2018,6.9
syc,2019,6.6
syc,2020,6.4
tcd,2000,6.3
tcd,2005,5.1
tcd,2010,4.1
tcd,2015,3.3
tcd,2018,2.9
tcd,2019,2.8
tcd,2020,2.7
tgo,2000,4.8
tgo,2005,3.4
tgo,2010,2.4
tgo,2015,1.7
tgo,2018,1.4
tgo,2019,1.3
tgo,2020,1.2
tha,2000,6
tha,2005,5
tha,2010,4.2
tha,2015,3.5
tha,2018,3.1
tha,2019,3
tha,2020,2.9
tkm,2000,0.7
tkm,2005,0.6
tkm,2010,0.6
tkm,2015,0.5
tkm,2018,0.5
tkm,2019,0.5
tkm,2020,0.4
tls,2000,20.3
tls,2005,17.3
tls,2010,14.8
tls,2015,12.7
tls,2018,11.5
tls,2019,11.2
tls,2020,10.8
ton,2000,14
ton,2005,14.4
ton,2010,14.6
ton,2015,15
ton,2018,15.2
ton,2019,15.2
ton,2020,15.3
tun,2000,5.1
tun,2005,4
tun,2010,3.2
tun,2015,2.5
tun,2018,2.2
tun,2019,2.1
tun,2020,2
tur,2000,14.5
tur,2005,15.6
tur,2010,16.7
tur,2015,17.9
tur,2018,18.6
tur,2019,18.9
tur,2020,19.2
tuv,2000,29.3
tuv,2005,27.3
tuv,2010,25
tuv,2015,23.1
tuv,2018,22
tuv,2019,21.7
tuv,2020,21.3
tza,2000,7.4
tza,2005,6.1
tza,2010,5
tza,2015,4.1
tza,2018,3.6
tza,2019,3.5
tza,2020,3.4
uga,2000,13.6
uga,2005,9.8
uga,2010,7.1
uga,2015,5.1
uga,2018,4.3
uga,2019,4
uga,2020,3.7
ukr,2000,14.1
ukr,2005,13.4
ukr,2010,12.7
ukr,2015,12.1
ukr,2018,11.7
ukr,2019,11.6
ukr,2020,11.5
ury,2000,29.3
ury,2005,26
ury,2010,23.3
ury,2015,20.7
ury,2018,19.3
ury,2019,18.8
ury,2020,18.5
usa,2000,27
usa,2005,24.2
usa,2010,21.8
usa,2015,19.6
usa,2018,18.3
usa,2019,17.8
usa,2020,17.5
uzb,2000,1.4
uzb,2005,1.3
uzb,2010,1.3
uzb,2015,1.2
uzb,2018,1.1
uzb,2019,1.1
uzb,2020,1.1
vnm,2000,4.8
vnm,2005,3.9
vnm,2010,3.2
vnm,2015,2.6
vnm,2018,2.3
vnm,2019,2.2
vnm,2020,2.2
vut,2000,4.1
vut,2005,3.7
vut,2010,3.3
vut,2015,2.9
vut,2018,2.7
vut,2019,2.7
vut,2020,2.6
wsm,2000,23.1
wsm,2005,20.5
wsm,2010,18.3
wsm,2015,16.2
wsm,2018,15.2
wsm,2019,14.9
wsm,2020,14.5
yem,2000,15.5
yem,2005,13.1
yem,2010,11.1
yem,2015,9.5
yem,2018,8.6
yem,2019,8.3
yem,2020,8.1
zaf,2000,11.8
zaf,2005,10.1
zaf,2010,8.7
zaf,2015,7.5
zaf,2018,7
zaf,2019,6.7
zaf,2020,6.5
zmb,2000,8.5
zmb,2005,6.9
zmb,2010,5.6
zmb,2015,4.6
zmb,2018,4
zmb,2019,3.9
zmb,2020,3.7
zwe,2000,4.6
zwe,2005,3.5
zwe,2010,2.6
zwe,2015,2
zwe,2018,1.7
zwe,2019,1.6
zwe,2020,1.5
