geo,time,nv_ind_totl_kd
nam,2007,2580840155.56711
nam,2008,2677959959.32277
nam,2009,2279646535.06082
nam,2010,2551229096.63947
nam,2011,2611732749.05099
nam,2012,2781953337.62877
nam,2013,2927866525.90068
nam,2014,3083490455.60049
nam,2015,3124389631.96423
nam,2016,2931828635.52737
nam,2017,2910994985.21181
nam,2018,3063920299.02421
nam,2019,2992275922.03013
nam,2020,2582181300.89505
ncl,2015,1931146014.81195
ner,1990,1051185736.22908
ner,1991,1014900161.57305
ner,1992,1039709471.48433
ner,1993,1007321625.87388
ner,1994,1020509095.31316
ner,1995,1040706219.75222
ner,1996,1085543182.10277
ner,1997,1119645046.55277
ner,1998,1121208422.95733
ner,1999,1037173544.66047
ner,2000,1047403858.21679
ner,2001,1087321342.94041
ner,2002,1122773746.28608
ner,2003,1162689056.37805
ner,2004,1175183514.62767
ner,2005,1157895523.97015
ner,2006,1205250746.79808
ner,2007,1183743047.05335
ner,2008,1210259011.74136
ner,2009,1403022189.17731
ner,2010,1547627703.52147
ner,2011,1567469809.20007
ner,2012,1995610110.73512
ner,2013,2139623555.91608
ner,2014,2191196368.81631
ner,2015,2182581975.28905
ner,2016,2139581360.11178
ner,2017,2285480028.89659
ner,2018,2422606727.16727
ner,2019,2641364071.27937
ner,2020,2686141550.81843
nga,1981,70479782142.7691
nga,1982,61099346568.0061
nga,1983,49506019359.54449
nga,1984,50324459957.4688
nga,1985,52579467712.3621
nga,1986,50056344727.0291
nga,1987,52765831621.8144
nga,1988,57055934312.1946
nga,1989,56624316250.7261
nga,1990,66850059988.2767
nga,1991,65425663657.9758
nga,1992,69433859864.82201
nga,1993,64704529818.539
nga,1994,60875081593.70609
nga,1995,59041800987.1434
nga,1996,62377161330.3882
nga,1997,63561546289.8376
nga,1998,63810789994.8227
nga,1999,61175600674.8591
nga,2000,65739154985.3743
nga,2001,69417867339.3665
nga,2002,70312008565.6478
nga,2003,78861886331.69118
nga,2004,80250901051.40379
nga,2005,81611505728.77721
nga,2006,80008689893.09219
nga,2007,78466358739.00381
nga,2008,76862400591.33699
nga,2009,78788250884.97699
nga,2010,82910799855.52188
nga,2011,89867917225.65689
nga,2012,92049638907.18628
nga,2013,94040566720.14941
nga,2014,100395036238.271
nga,2015,98143355464.36659
nga,2016,89457301145.67641
nga,2017,91376995421.06648
nga,2018,93086894603.14819
nga,2019,95239166937.76601
nga,2020,89670590152.71339
nic,1960,614455235.03179
nic,1961,678227980.77974
nic,1962,858762829.05856
nic,1963,947574509.58184
nic,1964,1054284590.47151
nic,1965,1175860230.34121
nic,1966,1334706612.65592
nic,1967,1389808591.43001
nic,1968,1380148243.50143
nic,1969,1423013843.74097
nic,1970,1463844738.90993
nic,1971,1508652512.75888
nic,1972,1582617750.71461
nic,1973,1697761395.0852
nic,1974,2133350035.64807
nic,1975,2074426647.11514
nic,1976,2201135374.69009
nic,1977,2488584364.58287
nic,1978,2003662398.78686
nic,1979,1163035531.9402
nic,1980,1469271608.94055
nic,1981,1531322302.48768
nic,1982,1426028687.71464
nic,1983,1529644995.71477
nic,1984,1557004740.68074
nic,1985,1539121731.23035
nic,1986,1576619017.18957
nic,1987,1589798964.67196
nic,1988,1286730253.81426
nic,1989,1228008387.97941
nic,1990,1193777419.67402
nic,1991,1216989837.09669
nic,1992,1207313767.62411
nic,1993,1214636429.39586
nic,1994,1276296201.98067
nic,1995,1375211628.1255
nic,1996,1445392001.12618
nic,1997,1490645510.61318
nic,1998,1510179298.73926
nic,1999,1724388847.71456
nic,2000,1758694502.51289
nic,2001,1852621407.54766
nic,2002,1816799591.15541
nic,2003,1853121609.8685
nic,2004,2036744685.13106
nic,2005,2139423502.14004
nic,2006,2213941140.04365
nic,2007,2216491359.94848
nic,2008,2201011292.16563
nic,2009,1970930501.78492
nic,2010,2079497140.88504
nic,2011,2301665481.20169
nic,2012,2623124505.03707
nic,2013,2911107607.39546
nic,2014,3085546042.88712
nic,2015,3282902664.79644
nic,2016,3368802928.02925
nic,2017,3440929457.70724
nic,2018,3401973725.33607
nic,2019,3201753493.74668
nic,2020,3160786237.43916
nld,1969,90374249235.0088
