geo,time,ip_tmk_totl
bhr,1983,696
bhr,1984,812
bhr,1985,866
bhr,1986,809
bhr,1990,929
bhr,1991,854
bhr,1992,1319
bhr,1993,1404
bhr,1994,1560
bhr,1995,1641
bhr,1996,2103
bhr,1997,2046
bhr,1998,2253
bhr,1999,2180
bhr,2000,2998
bhr,2001,2342
bhr,2002,2378
bhr,2003,2558
bhr,2004,2793
bhr,2005,3358
bhr,2006,4956
bhr,2007,5869
bhr,2008,5452
bhr,2009,8360
bhr,2011,6738
bhr,2012,6590
bhr,2013,7507
bhr,2014,7228
bhr,2015,7642
bhr,2016,7910
bhr,2017,6894
bhr,2018,7427
bhr,2019,7057
bhs,1980,436
bhs,1981,326
bhs,1982,349
bhs,1984,339
bhs,1985,366
bhs,1986,413
bhs,1988,470
bhs,1990,588
bhs,1991,661
bhs,1992,593
bhs,2012,1196
bhs,2013,1003
bhs,2014,1127
bhs,2015,1164
bhs,2016,1406
bhs,2017,1002
bih,1999,3554
bih,2000,4111
bih,2001,4039
bih,2003,4091
bih,2004,4153
bih,2005,4360
bih,2006,4498
bih,2007,4852
bih,2008,4914
bih,2010,4243
bih,2011,4071
bih,2012,3817
bih,2013,3932
bih,2014,3775
bih,2015,3737
bih,2016,3801
bih,2017,3672
bih,2018,3785
bih,2019,3576
blr,1993,3238
blr,1994,5420
blr,1995,5117
blr,1996,5286
blr,1997,5844
blr,1998,5727
blr,1999,5076
blr,2000,5847
blr,2001,6311
blr,2002,6080
blr,2003,6916
blr,2004,7997
blr,2005,8175
blr,2006,9249
blr,2007,10742
blr,2008,10417
blr,2009,9310
blr,2010,10346
blr,2011,10379
blr,2012,11092
blr,2013,11061
blr,2014,8314
blr,2015,7415
blr,2016,7232
blr,2017,7592
blr,2018,7818
blr,2019,7993
blz,1988,37
blz,1989,48
blz,2001,285
blz,2002,1048
blz,2003,647
blz,2004,813
blz,2005,764
blz,2006,748
blz,2007,766
blz,2008,805
blz,2011,979
blz,2012,992
blz,2013,1029
blz,2014,1017
blz,2015,1033
blz,2016,857
blz,2017,860
blz,2018,880
blz,2019,870
bol,1980,2094
bol,1981,1752
bol,1982,1323
bol,1983,854
bol,1984,821
bol,1985,822
bol,1986,1095
bol,1987,1488
bol,1988,1414
bol,1989,1505
bol,1990,1365
bol,1991,2380
bol,1992,3203
bol,1993,2807
bol,1994,3491
bol,1995,4188
bol,1996,4684
bol,1997,5554
bol,1998,5149
bol,1999,4719
bol,2000,5371
bol,2001,4464
bol,2002,4053
bol,2003,4272
bol,2004,4240
bol,2005,5007
bol,2006,5365
bol,2007,6081
bol,2008,6001
bol,2009,5221
bol,2010,5993
bol,2011,7211
bol,2012,6966
bol,2013,8286
bol,2014,8032
bol,2016,7923
bol,2017,8204
bra,1980,46711
bra,1981,32625
bra,1982,32011
bra,1983,27933
bra,1984,31578
bra,1985,52945
bra,1986,76875
bra,1987,104604
bra,1988,81229
bra,1989,69080
bra,1990,63880
bra,1991,56759
bra,1992,47691
bra,1993,62493
bra,1994,57341
bra,1995,76816
bra,1996,69391
bra,1997,77710
bra,1998,78095
bra,1999,93278
bra,2000,108229
bra,2001,101615
bra,2002,94311
bra,2003,95580
bra,2004,94040
bra,2005,99318
bra,2006,95842
bra,2007,104219
bra,2008,121912
bra,2009,112811
bra,2010,127692
bra,2011,152699
bra,2012,151711
bra,2013,163422
bra,2014,157016
bra,2015,158709
bra,2016,166368
bra,2017,186103
bra,2018,204419
bra,2019,247157
brb,1980,347
brb,1981,340
brb,1984,322
brb,1985,384
brb,1999,1250
brb,2001,1152
brb,2002,1215
brb,2003,1103
brb,2004,1272
brb,2005,1088
brb,2006,1305
brb,2007,1390
brb,2008,1376
brb,2009,976
brb,2010,1196
brb,2011,1371
brb,2012,1398
brb,2013,1182
brb,2014,1583
brb,2015,1337
brb,2016,1094
brb,2017,861
brb,2019,1031
brn,1986,469
brn,1988,779
brn,1989,989
brn,1990,880
brn,1991,990
brn,1992,970
brn,1993,1074
brn,1994,1011
brn,1995,1177
brn,1996,1500
brn,1997,1713
brn,1998,1167
brn,1999,1106
brn,2000,1423
brn,2001,758
brn,2002,609
brn,2003,818
brn,2004,793
brn,2005,846
brn,2006,685
brn,2007,860
brn,2008,944
brn,2009,649
brn,2010,725
brn,2011,857
brn,2012,1128
brn,2013,1135
brn,2014,1176
brn,2016,1168
brn,2017,1651
brn,2018,1978
brn,2019,2000
btn,1997,1143
btn,1998,408
btn,1999,223
btn,2000,440
btn,2001,660
btn,2002,598
btn,2003,617
btn,2004,1003
btn,2005,967
btn,2006,861
btn,2007,920
btn,2011,749
btn,2012,783
btn,2013,753
btn,2015,884
btn,2016,912
btn,2017,932
bwa,1980,573
bwa,1981,262
bwa,1982,570
bwa,2011,1612
bwa,2012,1890
bwa,2013,1721
bwa,2014,1824
bwa,2015,1963
bwa,2016,1959
bwa,2017,1930
bwa,2018,1988
bwa,2019,1929
can,1980,15219
can,1981,16862
can,1982,16402
can,1983,17456
can,1984,20044
can,1985,21472
can,1986,21250
can,1987,19267
can,1988,24834
can,1989,26284
can,1990,25681
can,1991,23513
can,1992,23875
can,1993,24937
can,1994,27730
can,1995,28704
can,1996,33341
can,1997,32756
can,1998,35390
can,1999,40365
can,2000,46252
can,2001,39092
can,2002,36732
can,2003,38712
can,2004,39888
can,2005,41832
can,2006,45031
can,2007,47758
can,2008,45619
can,2009,40956
can,2010,45220
can,2011,48472
can,2012,50110
can,2013,49819
can,2014,51028
can,2015,52461
can,2016,54665
can,2017,58913
can,2018,63058
can,2019,68277
che,1980,4619
che,1981,4771
che,1982,4945
che,1983,5328
che,1984,5365
che,1985,11539
che,1986,12186
che,1987,13525
che,1988,15931
che,1989,17108
che,1990,17225
che,1991,15892
che,1992,16130
che,1993,20504
che,1994,19820
che,1995,24767
che,1996,20391
che,1997,21135
che,1998,21738
che,1999,22882
che,2000,28654
che,2001,24217
che,2002,21680
che,2003,22175
che,2004,25260
che,2005,26210
che,2006,27365
che,2007,30550
che,2008,30769
che,2009,27952
che,2010,27853
che,2011,28283
che,2012,28507
che,2013,28869
che,2014,29029
che,2015,29987
che,2016,30405
che,2017,31287
che,2018,31999
che,2019,32541
chl,1980,21509
chl,1983,12314
chl,1984,11826
chl,1986,23705
chl,1989,16861
chl,1990,16804
chl,1991,19964
chl,1992,23883
chl,1993,27110
chl,1994,25864
chl,1995,27231
chl,1996,27977
chl,1997,30614
chl,1998,27825
chl,1999,27893
chl,2000,34388
chl,2001,30381
chl,2002,29122
chl,2003,29034
chl,2004,29744
chl,2005,33757
chl,2006,31577
chl,2007,32081
chl,2008,33026
chl,2009,39935
chl,2010,45104
chl,2011,35733
chl,2012,33831
chl,2013,33564
chl,2014,31869
chl,2015,31857
chl,2016,33642
chl,2017,39987
chl,2018,34527
chl,2019,34583
chn,1980,26177
chn,1981,23004
chn,1982,18565
chn,1983,20807
chn,1984,29564
chn,1985,49243
chn,1986,50970
chn,1987,44069
chn,1988,47549
chn,1989,48737
chn,1990,57464
chn,1991,67606
chn,1992,90818
chn,1993,132222
chn,1994,141688
chn,1995,171030
chn,1996,149410
chn,1997,145478
chn,1998,153250
chn,1999,164697
chn,2000,212771
chn,2001,259417
chn,2002,364336
chn,2003,446641
chn,2004,582748
chn,2005,657603
chn,2006,739340
chn,2007,679935
chn,2008,667025
chn,2009,806906
chn,2010,1056563
chn,2011,1386776
chn,2012,1618432
chn,2013,1847938
chn,2014,2104414
cod,1980,274
cod,1981,258
cod,1982,350
cod,1983,424
cod,1984,631
cod,1986,424
cod,1988,340
cod,1994,524
cod,1995,478
cod,1996,709
col,1980,5914
col,1981,5335
col,1984,5072
col,1985,7320
col,1986,3845
col,1987,8401
col,1988,9606
col,1989,11800
col,1990,11427
col,1991,11865
col,1992,11045
col,1993,13100
col,1994,13984
col,1995,13054
col,1996,13674
col,1997,14614
col,1998,13345
col,1999,12757
col,2000,16610
col,2001,14904
col,2002,15296
col,2003,16365
col,2004,16930
col,2005,19937
col,2006,21670
col,2007,23994
col,2008,23464
col,2009,21099
col,2010,25990
col,2011,29084
col,2012,32030
col,2013,25924
col,2014,25688
col,2015,27991
col,2016,27570
col,2017,27086
col,2018,28131
col,2019,30244
cpv,1992,1
cpv,2016,348
cpv,2017,251
cpv,2018,344
cpv,2019,284
cri,1980,1645
cri,1981,1751
cri,1982,1719
cri,1983,1716
cri,1986,1263
cri,1987,1418
cri,1988,1490
cri,1989,2084
cri,1990,4341
cri,1991,4624
cri,1992,5048
cri,1993,7622
cri,1994,8488
cri,1995,8845
cri,1996,9491
cri,1997,9406
cri,1998,9716
cri,1999,10664
cri,2000,9999
cri,2001,9564
cri,2002,9341
cri,2003,9134
cri,2004,9450
cri,2005,9939
cri,2006,12018
cri,2007,11754
cri,2010,11265
cri,2011,14124
cri,2012,11963
cri,2014,12361
cri,2015,13600
cri,2016,14173
cri,2017,14405
cri,2018,9995
cri,2019,11782
cub,1980,571
cub,1981,264
cub,1982,423
cub,1983,413
cub,1984,463
cub,1985,468
cub,1987,369
cub,1988,590
cub,1989,773
cub,1990,1745
cub,1991,2081
cub,1992,2172
cub,1993,2492
cub,1994,2863
cub,1995,4112
cub,1996,3816
cub,1999,4064
cub,2000,3895
cub,2001,2926
cub,2002,2514
cub,2003,2279
cub,2004,2392
cub,2005,2386
cub,2006,2337
cub,2007,2222
cub,2008,2254
cub,2009,1849
cub,2011,1874
cub,2012,2603
cub,2013,2027
cub,2014,2241
cub,2015,4019
cub,2016,4066
cub,2017,3038
cub,2018,2977
cub,2019,2898
cyp,1980,894
cyp,1981,1063
cyp,1982,1097
cyp,1983,1111
cyp,1984,1381
cyp,1985,1054
cyp,1986,1082
cyp,1990,1721
cyp,1991,2103
cyp,1992,2004
cyp,1999,3161
cyp,2000,3799
cyp,2001,3119
cyp,2002,2860
cyp,2003,4814
cyp,2004,3269
cyp,2005,2733
cyp,2006,3025
cyp,2007,2740
cyp,2008,2989
cyp,2009,1907
cyp,2010,2252
cyp,2011,2088
cyp,2012,2174
cyp,2013,1847
cyp,2014,1918
cyp,2015,1569
cyp,2016,2082
cyp,2018,2344
cze,1993,13292
cze,1994,15589
cze,1995,17214
cze,1996,16227
cze,1997,16645
cze,1998,16111
cze,1999,17210
cze,2000,19216
cze,2001,18219
cze,2002,17389
cze,2003,18227
cze,2004,16787
cze,2005,14996
cze,2006,14870
cze,2007,14144
cze,2008,12667
cze,2009,10445
cze,2010,10893
cze,2011,11034
cze,2012,11034
cze,2013,10895
cze,2014,10124
cze,2015,9979
cze,2016,9766
cze,2017,9837
cze,2018,9497
cze,2019,9293
deu,1980,21425
deu,1981,20978
deu,1982,20931
deu,1983,22554
deu,1984,23618
deu,1985,31478
deu,1986,32393
deu,1987,34961
deu,1988,40519
deu,1989,42608
deu,1990,45144
deu,1991,43793
deu,1992,44352
deu,1993,48128
deu,1994,57306
deu,1995,59914
deu,1996,60966
deu,1997,66117
deu,1998,78298
deu,1999,85719
deu,2000,97892
deu,2001,77984
deu,2002,66642
deu,2003,70807
deu,2004,75598
deu,2005,79223
deu,2006,79744
deu,2007,83193
deu,2008,80841
deu,2009,74370
deu,2010,74229
deu,2011,68741
deu,2012,64593
deu,2013,64496
deu,2014,70882
deu,2015,72807
deu,2016,73415
deu,2017,76707
deu,2018,75252
deu,2019,78304
dji,2013,230
dma,1986,77
dma,1987,100
dma,1988,76
dma,1989,62
dma,1990,69
dma,1991,85
dma,1992,80
dma,1993,103
dma,1994,226
dma,1995,180
dma,1996,193
dma,1997,220
dma,1998,242
dma,1999,163
dma,2000,156
dma,2001,77
dma,2002,149
dma,2003,213
dma,2004,171
dma,2005,205
dma,2006,220
dma,2007,204
dma,2016,264
dma,2017,162
dma,2018,178
dma,2019,151
dnk,1980,5850
dnk,1981,5631
dnk,1982,5992
dnk,1983,6507
dnk,1984,7110
dnk,1985,7472
dnk,1986,8575
dnk,1987,8795
dnk,1988,9166
dnk,1989,9684
dnk,1990,10034
dnk,1991,9226
dnk,1992,9072
dnk,1993,8339
dnk,1994,9277
dnk,1995,10077
dnk,1996,8493
dnk,1997,9473
dnk,1998,10422
dnk,1999,11011
dnk,2000,12188
dnk,2001,11097
dnk,2002,10153
dnk,2003,9762
dnk,2004,10113
dnk,2005,9548
dnk,2006,8566
dnk,2007,8116
dnk,2008,7557
dnk,2009,5751
dnk,2010,5564
dnk,2011,5349
dnk,2012,4852
dnk,2013,4716
dnk,2014,4480
dnk,2015,4439
dnk,2016,4353
dnk,2017,4300
dnk,2018,4100
dnk,2019,4207
dom,1983,1512
dom,1990,2240
dom,1991,2569
dom,1992,3655
dom,1993,4651
dom,1994,6194
dom,1995,5850
dom,1996,6249
dom,1997,7837
dom,1998,7305
dom,1999,8688
dom,2000,8343
dom,2001,8757
dom,2002,9344
dom,2003,6105
dom,2004,7785
dom,2005,7125
dom,2006,7626
dom,2007,7337
dom,2008,7753
dom,2009,7268
dom,2010,7954
dom,2011,8881
dom,2012,9582
dom,2013,9413
dom,2014,9738
dom,2015,10049
dom,2016,10594
dom,2017,11090
dom,2018,11160
dom,2019,11043
dza,1980,961
dza,1981,753
dza,1982,1294
dza,1983,893
dza,1984,852
dza,1985,3170
dza,1986,4211
dza,1987,3393
dza,1988,3504
dza,1989,3805
dza,1990,3723
dza,1991,3719
dza,1992,3954
dza,1993,3627
dza,1994,3366
dza,1995,3843
dza,1996,4214
dza,1997,3779
dza,1998,3958
dza,1999,4032
dza,2000,4476
dza,2001,4464
dza,2002,4257
dza,2003,4162
dza,2004,4555
dza,2005,5261
dza,2006,5700
dza,2008,5670
dza,2009,5345
dza,2010,5258
dza,2011,5758
dza,2012,5865
dza,2013,3434
dza,2014,9817
dza,2015,7718
dza,2016,7144
dza,2017,8883
dza,2018,9497
dza,2019,11889
ecu,1980,2404
ecu,1981,2438
ecu,1986,2888
ecu,1987,1862
ecu,1988,3452
ecu,1989,1749
ecu,1990,5962
ecu,1991,4311
ecu,1992,4703
ecu,1993,6573
ecu,1994,14199
ecu,1995,11420
ecu,1996,10584
ecu,1997,9688
ecu,1998,10998
ecu,1999,10054
ecu,2000,10037
ecu,2001,10093
ecu,2002,10028
ecu,2003,10433
ecu,2004,12108
ecu,2005,13817
ecu,2006,13421
ecu,2007,12605
ecu,2008,15524
ecu,2009,14517
ecu,2010,16195
ecu,2013,20110
ecu,2014,25389
ecu,2015,17523
ecu,2016,15890
ecu,2017,14551
ecu,2018,17969
ecu,2019,19350
egy,1980,1546
egy,1981,1655
egy,1982,1773
egy,1983,1502
egy,1984,1722
egy,2000,11370
egy,2001,11450
egy,2002,10443
egy,2003,9269
egy,2004,9716
egy,2005,12573
egy,2006,16283
egy,2007,18815
egy,2008,16808
egy,2009,17206
egy,2010,21860
egy,2011,17710
egy,2012,18048
egy,2013,17429
egy,2014,19260
egy,2015,20151
egy,2016,20858
egy,2017,21947
egy,2018,24543
egy,2019,26113
esp,1980,33730
esp,1981,30945
esp,1982,31839
esp,1983,20711
esp,1984,24891
esp,1985,44731
esp,1986,50708
esp,1987,60053
esp,1988,76276
esp,1989,88115
esp,1990,80992
esp,1991,78012
esp,1992,72226
esp,1993,70022
esp,1994,70873
esp,1995,77139
esp,1996,71827
esp,1997,78265
esp,1998,80909
esp,1999,85324
esp,2000,98981
esp,2001,88695
esp,2002,78362
esp,2003,62632
esp,2004,63292
esp,2005,63371
esp,2006,64902
esp,2007,63717
esp,2008,55111
esp,2009,46309
esp,2010,46874
esp,2011,47337
esp,2012,47051
esp,2013,49692
esp,2014,52764
esp,2015,53118
esp,2016,54740
esp,2017,55078
esp,2018,55374
esp,2019,53701
est,1992,1365
est,1993,11932
est,1994,2733
est,1995,2830
est,1996,2659
est,1997,3101
est,1998,3133
est,1999,4549
est,2000,5903
est,2001,5780
est,2002,5609
est,2003,6365
est,2004,5616
est,2005,4462
est,2006,4366
est,2007,4656
est,2008,4145
est,2009,2840
est,2010,2950
est,2011,2780
est,2012,2531
est,2013,2728
est,2014,2562
est,2015,2365
est,2016,2152
est,2017,2381
est,2018,2705
est,2019,2516
eth,1981,195
eth,1984,77
eth,1985,249
eth,1986,117
eth,1988,316
eth,1989,506
eth,1990,466
eth,1991,452
eth,1993,473
eth,1994,417
eth,1995,342
eth,1998,692
eth,1999,679
eth,2000,659
eth,2001,588
eth,2002,753
eth,2003,520
eth,2004,510
eth,2005,574
eth,2006,546
eth,2007,719
eth,2011,980
eth,2012,1890
eth,2013,4001
eth,2014,4205
eth,2015,1848
eth,2016,2250
eth,2017,2170
eth,2018,1027
fin,1980,3615
fin,1981,3317
fin,1982,3577
fin,1983,3591
fin,1984,3901
fin,1985,4604
fin,1986,5209
fin,1987,5581
fin,1988,5829
fin,1989,7740
fin,1990,6666
fin,1991,6281
fin,1992,6168
fin,1993,5945
fin,1994,6602
fin,1995,7508
fin,1996,6638
fin,1997,7659
fin,1998,8534
fin,1999,8987
fin,2000,10278
fin,2001,9465
fin,2002,8433
fin,2003,7720
fin,2004,7893
fin,2005,6801
fin,2006,6911
fin,2007,6946
fin,2008,6848
fin,2009,5236
fin,2010,5282
fin,2011,5321
fin,2012,5204
fin,2013,5141
fin,2014,4451
fin,2015,4282
fin,2016,4825
fin,2017,4455
fin,2018,4238
fin,2019,4350
fji,1980,410
fji,1981,370
fji,1985,684
fji,1986,817
fra,1980,44730
fra,1981,33175
fra,1982,33527
fra,1983,36486
fra,1984,39640
fra,1985,53703
fra,1986,62743
fra,1987,72700
fra,1988,88512
fra,1989,87622
fra,1990,91411
fra,1991,80847
fra,1992,70757
fra,1993,73358
fra,1994,76290
fra,1995,81694
fra,1996,61739
fra,1997,62524
fra,1998,94109
fra,1999,100352
fra,2000,112324
fra,2001,74652
fra,2002,70576
fra,2003,69689
fra,2004,74696
fra,2005,74489
fra,2006,76370
fra,2007,79827
fra,2008,79021
fra,2009,83901
fra,2010,93141
fra,2011,93041
fra,2012,89870
fra,2013,89414
fra,2014,90960
fra,2015,94917
fra,2016,91798
fra,2017,94174
fra,2018,98299
fra,2019,102513
gbr,1980,20102
gbr,1981,20881
gbr,1982,20631
gbr,1983,22100
gbr,1984,22796
gbr,1985,24323
gbr,1986,39153
gbr,1987,33399
gbr,1988,38006
gbr,1989,40052
gbr,1990,39632
gbr,1991,34983
gbr,1992,35968
gbr,1993,34764
gbr,1994,41044
gbr,1995,36743
gbr,1996,33046
gbr,1997,35944
gbr,1998,36748
gbr,1999,37940
gbr,2000,42550
gbr,2001,36691
gbr,2002,35306
gbr,2003,34194
gbr,2004,36192
gbr,2005,35500
gbr,2006,38056
gbr,2007,40044
gbr,2008,35091
gbr,2009,33846
gbr,2010,36255
gbr,2011,39113
gbr,2012,42913
gbr,2013,50005
gbr,2014,54796
gbr,2015,57892
gbr,2016,67053
gbr,2017,83756
gbr,2018,94953
gbr,2019,105674
geo,1992,1217
geo,1993,8058
geo,1994,1610
geo,1995,1037
geo,1996,1088
geo,1997,1200
geo,1998,1787
geo,1999,2340
geo,2000,3020
geo,2001,2954
geo,2002,2388
geo,2003,2652
geo,2004,3296
geo,2005,3490
geo,2006,3899
geo,2007,4563
geo,2008,4697
geo,2009,3786
geo,2010,3902
geo,2011,4419
geo,2012,4310
geo,2013,4611
geo,2014,4445
geo,2015,4478
geo,2016,4640
geo,2017,5125
geo,2018,4696
geo,2019,4782
gha,1980,408
gha,1981,455
gha,1982,254
gha,1985,312
gha,1987,284
gha,1989,254
gha,1990,289
gha,1991,424
gha,1992,457
gha,1993,505
gha,1994,529
gha,2012,3547
gha,2013,3832
gha,2014,4214
gha,2015,3465
gha,2016,3602
gha,2017,3354
gha,2018,3424
gin,1991,20
gmb,1981,121
gmb,1982,98
gmb,1984,116
gmb,1985,207
gmb,1988,92
gmb,1998,272
gmb,1999,309
gmb,2000,415
gmb,2001,419
gmb,2002,412
gmb,2003,298
gmb,2004,550
gmb,2005,421
gmb,2006,319
gmb,2007,327
gmb,2008,517
gmb,2009,375
gmb,2010,516
gmb,2011,407
gmb,2012,441
gmb,2013,406
gmb,2014,562
gmb,2015,427
gmb,2016,746
gmb,2017,971
gmb,2018,1131
gmb,2019,1052
gnb,2001,2
gnb,2002,5
gnb,2005,4
gnb,2006,5
gnb,2007,6
gnb,2011,11
gnb,2012,12
gnb,2013,14
grc,1980,5084
grc,1981,5297
grc,1982,5425
grc,1983,5227
grc,1984,5844
grc,1985,5055
grc,1987,6126
grc,1993,8835
grc,1994,10398
grc,1995,11095
grc,1996,7850
grc,1997,8561
grc,1998,8602
grc,1999,8714
grc,2000,11126
grc,2001,11768
grc,2002,10829
grc,2003,11642
