geo,time,se_sec_enrl_up_tc_zs
ind,2015,33.01958
ind,2016,30.24963
ind,2017,29.30399
ind,2018,33.14411
irn,1997,30.4823
irn,2013,18.3482
irn,2014,18.46739
irn,2016,16.48525
irn,2017,16.75359
irq,1999,16.19042
irq,2000,16.07285
irq,2003,17.47909
irq,2004,18.68712
isl,1998,14.32535
isl,1999,14.14692
isl,2000,13.63545
isl,2001,13.67968
isl,2002,13.53766
isl,2003,13.58042
isl,2004,12.12267
isl,2005,11.95668
isl,2006,11.70767
isl,2007,11.50028
isl,2008,11.37433
isl,2009,11.64981
isl,2010,12.12527
isl,2011,12.2561
isl,2012,12.45239
isr,1998,9.10433
isr,1999,9.42769
isr,2000,9.73203
isr,2001,9.1166
isr,2002,9.10739
isr,2003,9.03226
isr,2004,8.86007
isr,2005,9.16959
isr,2006,9.18552
isr,2007,9.21212
isr,2008,8.9424
isr,2009,8.68793
ita,1994,8.30482
ita,1995,9.33864
ita,1996,9.81202
ita,1998,10.63249
ita,1999,10.73486
ita,2000,10.50248
ita,2001,10.2914
ita,2002,10.4668
ita,2003,10.79188
ita,2004,11.35587
ita,2005,11.09562
ita,2006,11.10584
ita,2007,10.85749
ita,2013,11.75716
ita,2015,11.69956
ita,2016,9.96549
ita,2017,9.86574
jam,2002,19.30821
jor,1996,16.60058
jor,1999,16.74435
jor,2000,16.28822
jor,2002,16.32606
jor,2003,14.27779
jor,2004,17.48079
jor,2007,10.38
jor,2008,11.86462
jor,2013,9.37229
jor,2014,9.36214
jor,2017,8.41009
jor,2018,8.39564
jpn,2014,10.36483
jpn,2015,10.39223
jpn,2016,10.26378
jpn,2017,10.20335
ken,2003,18.20477
ken,2004,17.2725
ken,2005,17.38106
ken,2006,19.37216
ken,2007,22.52152
ken,2008,25.78451
ken,2009,26.71328
khm,1998,18.98517
khm,1999,21.48644
khm,2000,23.67337
khm,2001,23.86824
khm,2002,22.35581
khm,2003,22.77859
khm,2006,26.2551
khm,2007,25.33049
kir,2002,17.72887
kir,2003,14.084
kir,2004,14.09032
kir,2005,16.01779
kir,2006,16.40613
kir,2007,17.54545
kir,2008,19.008
kna,2002,10.01307
kna,2003,9.80132
kna,2004,9.98667
kna,2005,9.89404
kna,2007,10.18
kna,2008,10.52941
kna,2009,10.53741
kna,2010,9.01176
kna,2011,6.88532
kna,2012,6.14423
kor,1994,22.2759
kor,1995,22.42283
kor,1996,22.86531
kor,1997,23.52736
kor,1998,22.87925
kor,1999,22.38191
kor,2000,20.63497
kor,2001,18.99521
kor,2002,16.27823
kor,2003,15.85783
kor,2004,15.6855
kor,2005,15.83024
kor,2006,15.67192
kor,2007,16.04109
kor,2008,16.27768
kor,2009,16.52448
kor,2010,16.24442
kor,2011,14.72249
kor,2012,14.86215
