geo,time,sl_tlf_cact_fe_ne_zs
aut,1991,43.53
aut,1992,44.83
aut,1993,45.3
aut,1994,48.65
aut,1995,49.38
aut,1996,48.82
aut,1997,48.72
aut,1998,49.34
aut,1999,49.52
aut,2000,49.42
aut,2001,49.37
aut,2002,50.66
aut,2003,50.8
aut,2004,50.02
aut,2005,51.3
aut,2006,51.99
aut,2007,52.85
aut,2008,53.39
aut,2009,54.05
aut,2010,54.16
aut,2011,54.51
aut,2012,55
aut,2013,55.29
aut,2014,55.31
aut,2015,55.36
aut,2016,55.91
aut,2017,55.91
aut,2018,55.91
aut,2019,56
aut,2020,55.64
aze,1989,48.26
aze,1993,46.82
aze,1996,43.64
aze,1997,44.68
aze,1998,44.23
aze,1999,57.16
aze,2000,72.7
aze,2001,70.7
aze,2002,68.8
aze,2003,67
aze,2004,65.4
aze,2005,64.1
aze,2006,62.5
aze,2007,62.06
aze,2008,61.9
aze,2009,61.78
aze,2010,61.96
aze,2011,61.47
aze,2012,61.4
aze,2013,61.4
aze,2014,62
aze,2015,62.4
aze,2016,62.8
aze,2017,62.9
aze,2018,63.1
aze,2019,63.3
aze,2020,64
bdi,1978,42.13
bdi,1979,93.13
bdi,1980,40.97
bdi,1982,62.18
bdi,1984,62.17
bdi,1986,87.02
bdi,1990,90.55
bdi,1998,86.04
bdi,2008,70.15
bdi,2014,79.83
bel,1961,25.53
bel,1970,28.13
bel,1977,28.74
bel,1979,30.21
bel,1980,30.68
bel,1981,28.49
bel,1983,36.29
bel,1984,36.07
bel,1985,36.46
bel,1986,36.94
bel,1987,36.56
bel,1988,36.45
bel,1989,36.21
bel,1990,36.55
bel,1991,38.01
bel,1992,38.9
bel,1993,39.58
bel,1994,40.16
bel,1995,40.53
bel,1996,40.56
bel,1997,41.01
bel,1998,41.66
bel,1999,43.17
bel,2000,43.65
bel,2001,41.87
bel,2002,42.57
bel,2003,42.95
bel,2004,44.25
bel,2005,45.69
bel,2006,45.82
bel,2007,46.53
bel,2008,46.91
bel,2009,46.95
bel,2010,47.71
bel,2011,47.03
bel,2012,47.1
bel,2013,47.77
bel,2014,48.08
bel,2015,48.01
bel,2016,47.78
bel,2017,48.72
bel,2018,49.52
bel,2019,49.83
bel,2020,49.34
ben,1961,52.45
ben,1975,70.1
ben,1977,42.86
ben,1979,38.72
ben,1986,38.89
ben,1992,57.55
ben,1996,61.43
ben,2001,68.7
ben,2002,65.6
ben,2003,78.3
ben,2010,74.64
ben,2011,69.7
ben,2018,56.62
bfa,1975,3.06
bfa,1985,75.2
bfa,1991,79.39
bfa,1994,73.4
bfa,2005,85.6
bfa,2006,61.1
bfa,2007,85
bfa,2014,58.22
bfa,2018,37.95
bgd,1961,18.15
bgd,1974,3.43
bgd,1981,4.48
bgd,1984,7.94
bgd,1985,8.33
bgd,1986,9.72
bgd,1989,67.39
bgd,1991,62.57
bgd,1996,55.86
bgd,2000,55.87
bgd,2003,26.07
bgd,2006,28.99
bgd,2010,35.49
bgd,2013,33.56
bgd,2016,33.19
bgd,2017,36.35
bgr,1965,59.47
bgr,1975,60.64
bgr,1992,53.82
bgr,1997,46.9
bgr,2000,44.66
bgr,2001,46.44
bgr,2002,46.04
bgr,2003,44.78
bgr,2004,45.44
bgr,2005,44.4
bgr,2006,46.35
bgr,2007,47.46
bgr,2008,48.32
bgr,2009,47.52
bgr,2010,47.77
bgr,2011,47.2
bgr,2012,47.83
bgr,2013,48.56
bgr,2014,48.62
bgr,2015,48.56
bgr,2016,47.66
bgr,2017,49.52
bgr,2018,49.22
bgr,2019,50.29
bgr,2020,49.2
bhr,1965,2.44
bhr,1971,6.2
bhr,1979,8.62
bhr,1981,18.24
bhr,1985,17.17
bhr,1987,17.84
bhr,1990,28
bhr,1991,29.24
bhr,1992,29.7
bhr,1993,30.4
bhr,1994,31.1
bhr,1995,31.7
bhr,1996,32.4
bhr,1997,33.1
bhr,1998,33.7
bhr,1999,34.4
bhr,2000,35.1
bhr,2001,35.51
bhr,2002,36.4
bhr,2003,37.1
bhr,2004,37.2
bhr,2005,26.38
bhr,2006,39.13
bhr,2010,43.68
bhr,2011,42.54
bhr,2015,43.54
bhs,1963,52.86
bhs,1970,57
bhs,1979,32.75
bhs,1980,57.51
bhs,1989,47.07
bhs,1990,64.55
bhs,1991,68.5
bhs,1992,69.9
bhs,1993,69.5
bhs,1994,66.99
bhs,1995,69.5
bhs,1996,68.2
bhs,1997,70.5
bhs,1998,65.86
bhs,1999,70.9
bhs,2001,71.1
bhs,2002,71.9
bhs,2009,69.1
bhs,2011,69.99
bhs,2012,69.07
bhs,2013,69.8
bih,2006,30.63
bih,2007,30.77
bih,2008,31.43
bih,2009,31.77
bih,2010,33.01
bih,2011,32.65
bih,2012,32.47
bih,2013,32.32
bih,2014,32.94
bih,2015,33.42
bih,2016,32.06
bih,2017,32.28
bih,2018,31.37
bih,2019,32.78
bih,2020,36.71
blr,1970,46.62
blr,1989,61.31
blr,1997,46
blr,1999,52.74
blr,2006,53.3
blr,2007,53.55
blr,2008,54.92
blr,2009,55.2
blr,2015,85.5
blr,2016,66.9
blr,2017,67.1
blr,2018,66.2
blr,2019,66.3
blr,2020,65.68
blz,1960,18.77
blz,1970,10.35
blz,1994,34.84
blz,1996,21
blz,1997,38.6
blz,1998,39.6
blz,1999,39.6
blz,2005,27.8
blz,2012,53.67
blz,2013,46.54
blz,2014,47.49
blz,2015,47.93
blz,2016,49.21
blz,2017,48.81
blz,2019,57.19
bmu,1970,59.79
bmu,1976,65.75
bmu,1980,67.03
bmu,1991,67.9
bmu,2000,67.93
bmu,2009,79
bmu,2010,81
bol,1976,22.24
bol,1980,23.04
bol,1981,23.18
bol,1982,23.16
bol,1985,23.43
bol,1986,23.75
bol,1987,24.04
bol,1989,44.37
bol,1990,24.32
bol,1991,41.03
bol,1992,46.94
bol,1993,43.2
bol,1994,44.4
bol,1995,52.81
bol,1996,56.3
bol,1997,59.76
bol,1999,61.86
bol,2000,59.61
bol,2001,60.2
bol,2002,61.8
bol,2003,63.9
bol,2004,63.9
bol,2005,60.52
bol,2006,63.66
bol,2007,43.55
bol,2008,62.43
bol,2009,62.88
bol,2011,62.11
bol,2012,58.09
bol,2013,59.15
bol,2014,61.43
bol,2015,54.86
bol,2016,57.12
bol,2017,59.34
bol,2018,63.79
bol,2019,61.01
bol,2020,59.63
bra,1960,18.45
bra,1970,21.14
bra,1973,37.17
bra,1980,30.06
bra,1985,41.09
bra,1986,41.14
bra,1987,43.17
bra,1988,43.34
bra,1989,43.39
bra,1990,44.02
bra,1991,44.02
bra,1992,52.61
bra,1993,52.53
bra,1995,49.02
bra,1996,47.8
bra,1997,48.7
bra,1998,49.49
bra,1999,50.65
bra,2001,53.4
bra,2002,54.74
bra,2003,54.97
bra,2004,56.06
bra,2005,57.13
bra,2006,56.9
bra,2007,56.67
bra,2008,56.38
bra,2009,56.85
bra,2011,54.06
bra,2012,52.47
bra,2013,52.45
bra,2014,52.38
bra,2015,52.94
bra,2016,52.93
bra,2017,53.82
bra,2018,54.11
bra,2019,54.87
bra,2020,49.55
brb,1960,30.52
brb,1966,29.81
brb,1970,44.72
brb,1978,35.59
brb,1980,52.46
brb,1983,54.55
brb,1986,57.6
brb,1987,58.4
brb,1988,60.77
brb,1989,61.27
brb,1990,60.18
brb,1991,58.21
brb,1992,59.27
brb,1994,60.99
brb,1995,62.78
brb,1996,61.45
brb,1997,62.22
brb,1998,62.03
brb,1999,61.52
brb,2001,63.79
brb,2002,62.77
brb,2003,63.93
brb,2004,64.38
brb,2005,64.47
brb,2006,62.78
brb,2007,61.95
brb,2008,62.52
brb,2009,62.14
brb,2010,61.9
brb,2011,63.04
brb,2012,61.04
brb,2013,62
brb,2014,60.53
brb,2015,60.81
brb,2016,61.87
brb,2017,60.51
brb,2018,59.47
brb,2019,59.03
brn,1960,20.07
brn,1971,19.99
brn,1978,19.84
brn,1981,31.3
brn,1986,38.73
brn,1991,46.44
brn,2001,56.43
brn,2011,56.4
brn,2014,58.36
brn,2017,56.49
brn,2018,57.31
brn,2019,54.91
brn,2020,55.15
btn,2005,47.7
btn,2006,55.8
btn,2009,66.04
btn,2010,63.87
btn,2011,62.84
btn,2012,63.23
btn,2013,58.9
btn,2014,54.84
btn,2015,55.94
bwa,1964,44.94
bwa,1971,49.32
bwa,1981,44.7
bwa,1985,64.17
bwa,1991,41.68
bwa,1994,50.5
bwa,1996,45.71
bwa,1998,47.67
bwa,2000,48.54
bwa,2001,46.17
bwa,2006,52.73
bwa,2009,55.76
bwa,2010,52.87
bwa,2013,63.22
bwa,2019,56.54
bwa,2020,56.54
caf,1975,53.18
caf,1988,69.05
can,1961,29.71
can,1971,39.91
can,1976,45.7
can,1977,46.53
can,1978,47.94
can,1979,49.38
can,1980,50.6
can,1981,52.02
can,1982,52.13
can,1983,52.97
can,1984,53.77
can,1985,54.93
can,1986,55.72
can,1987,56.46
can,1988,57.42
can,1989,58.11
can,1990,58.5
can,1991,58.43
can,1992,57.84
can,1993,57.66
can,1994,57.52
can,1995,57.48
can,1996,57.47
can,1997,57.79
can,1998,58.38
can,1999,58.91
can,2000,59.4
can,2001,59.75
can,2002,60.91
can,2003,61.89
can,2004,61.99
can,2005,61.66
can,2006,61.88
can,2007,62.51
can,2008,62.55
can,2009,62.43
can,2010,62.41
can,2011,62.16
can,2012,62.13
can,2013,62.17
can,2014,61.55
can,2015,61.22
can,2016,61.28
can,2017,61.48
can,2018,61.3
can,2019,61.45
can,2020,59.52
can,2021,60.63
che,1960,35.29
che,1970,41.49
che,1978,31.67
che,1979,32.03
che,1980,42.1
che,1985,37.38
che,1986,37.53
che,1988,38.45
che,1989,39.1
che,1990,49.33
che,1991,56.81
che,1992,57.13
che,1993,56.94
che,1994,56.22
che,1995,55.85
che,1996,57.03
che,1997,56.95
che,1998,58.18
che,1999,58.18
che,2000,57.63
che,2001,58.83
che,2002,59.3
che,2003,59.46
che,2004,59.11
che,2005,59.34
che,2006,59.76
che,2007,59.94
che,2008,61.29
che,2009,61.57
che,2010,59.98
che,2011,60.53
che,2012,60.83
che,2013,61.14
che,2014,61.9
che,2015,62.28
che,2016,62.84
che,2017,62.61
che,2018,62.91
che,2019,62.98
che,2020,62.51
chl,1960,22.74
chl,1970,21.66
chl,1980,26.25
chl,1981,26.79
chl,1982,27.37
chl,1983,28.35
chl,1984,28.68
chl,1985,29.8
chl,1986,29.59
chl,1988,31.19
chl,1989,31.64
chl,1990,31.76
chl,1991,31.29
chl,1992,33.41
chl,1993,34.89
chl,1994,35
chl,1995,33.93
chl,1996,36.83
chl,1997,37.56
chl,1998,37.92
chl,1999,38.15
chl,2000,37.75
chl,2001,36.78
chl,2002,36.5
chl,2003,37.84
chl,2004,39.26
chl,2005,40.17
chl,2006,41.33
chl,2007,42.28
chl,2008,44.23
chl,2009,44.67
chl,2010,45.48
chl,2011,47.46
chl,2012,47.72
chl,2013,47.87
chl,2014,48.54
chl,2015,48.39
chl,2016,48.16
chl,2017,48.67
chl,2018,49.25
chl,2019,49.42
chl,2020,44.57
chn,1982,70.61
chn,1990,73.02
chn,2000,70.57
chn,2010,63.73
civ,1964,73.86
civ,1970,58.8
civ,1975,44.93
civ,1978,64.55
civ,1988,42.01
civ,1998,48.27
civ,2012,62.52
civ,2013,69.58
civ,2016,49.54
civ,2017,46.17
cmr,1976,48.26
cmr,1980,54.67
cmr,1982,48.21
cmr,1985,49.72
cmr,1987,30.34
cmr,1996,61.5
cmr,2001,65.5
cmr,2005,68.3
cmr,2007,78.2
cmr,2010,70.66
cmr,2014,67.19
cod,2005,71.23
cod,2012,62.53
cog,1974,56.2
cog,1984,49.32
cog,2005,66.87
cog,2009,47.19
cog,2012,43
col,1964,20.31
col,1973,23.88
col,1980,22.4
col,1985,31.59
col,1986,32.6
col,1987,34.3
col,1989,46.36
col,1993,31.43
col,1996,37.3
col,2000,57.1
col,2001,53.55
col,2002,53.76
col,2003,54.92
col,2004,53.1
col,2005,52.16
col,2007,49.17
col,2008,49.75
col,2009,53.22
col,2010,55.36
col,2011,56.19
col,2012,57.69
col,2013,57.54
col,2014,57.64
col,2015,58.17
col,2016,57.86
col,2017,57.73
col,2018,57.01
col,2019,56
col,2020,50.28
com,1980,27.08
com,1991,26.64
com,2004,32.53
com,2014,33.04
cpv,1960,56.73
cpv,1980,20.67
cpv,1990,41.08
cpv,2015,59.36
cpv,2017,52.15
cpv,2018,48.72
cpv,2019,50.53
cri,1963,17.53
cri,1973,19.96
cri,1984,22.28
cri,1990,32.93
cri,1991,33.57
cri,1992,32.84
cri,1993,33.66
cri,1994,34.71
cri,1995,35.69
cri,1996,34.12
cri,1997,37.14
cri,1998,39.53
cri,1999,40.16
cri,2000,38.33
cri,2001,42.18
cri,2002,41.99
cri,2003,42.5
cri,2004,40.78
cri,2005,44.46
cri,2006,44.35
cri,2007,45.47
cri,2008,46.08
cri,2009,46.21
cri,2010,44.4
cri,2011,44.1
cri,2012,49.18
cri,2013,48.92
cri,2014,48.67
cri,2015,47.55
cri,2016,43.68
cri,2017,43.89
cri,2018,46.37
cri,2019,50.35
cri,2020,46.4
cub,1970,18.28
cub,1981,32.83
cub,1986,40.49
cub,1988,41.17
cub,2004,37.94
cub,2006,39.31
cub,2007,40.76
cub,2008,41.17
cub,2009,42.34
cub,2010,41.83
cub,2011,41.59
cub,2012,57.38
cub,2013,57.3
cym,1960,30.48
cym,1970,22.9
cym,1979,39.79
cym,1989,74.2
cym,1991,75.91
cym,1999,82.42
cym,2006,79.38
cym,2007,79.14
cym,2008,80.78
cym,2009,80.57
cym,2011,77.56
cym,2012,80.96
cym,2013,80.59
cym,2014,80.32
cym,2015,80.98
cyp,1960,40.82
cyp,1976,27.73
cyp,1978,21.64
cyp,1984,27.12
cyp,1985,32.25
cyp,1987,33.38
cyp,1988,46.76
cyp,1989,47.55
cyp,1990,48.24
cyp,1991,48.74
cyp,1992,43.26
cyp,1995,47.56
cyp,2000,49.13
cyp,2001,51.77
cyp,2002,52.44
cyp,2003,53.85
cyp,2004,53.5
cyp,2005,53.31
cyp,2006,54.36
cyp,2007,55.8
cyp,2008,55.85
cyp,2009,56.7
cyp,2010,57.84
cyp,2011,57.46
cyp,2012,56.94
cyp,2013,57.07
cyp,2014,58.58
cyp,2015,57.71
cyp,2016,56.39
cyp,2017,56.82
cyp,2018,57.37
cyp,2019,57.46
cyp,2020,56.59
cze,1991,60.83
cze,1993,52.34
cze,1994,52.58
cze,1995,52.33
cze,1996,51.82
cze,1997,51.6
cze,1998,51.7
cze,1999,51.95
cze,2000,51.55
cze,2001,51.14
cze,2002,50.78
cze,2003,50.88
cze,2004,50.5
cze,2005,50.66
cze,2006,50.55
cze,2007,49.78
cze,2008,49.32
cze,2009,49.53
cze,2010,49.32
cze,2011,49.47
cze,2012,50.04
cze,2013,50.91
cze,2014,50.86
cze,2015,51.25
cze,2016,51.86
cze,2017,52.29
cze,2018,52.78
cze,2019,52.59
cze,2020,51.81
deu,1983,40.11
deu,1984,40.71
deu,1985,41.12
deu,1986,41.57
deu,1987,41.45
deu,1988,42.11
deu,1989,42.53
deu,1990,45.36
deu,1991,48.14
deu,1992,47.87
deu,1993,47.6
deu,1994,47.78
deu,1995,47.68
deu,1996,47.85
deu,1997,48.18
deu,1998,48.41
deu,1999,48.97
deu,2000,48.86
deu,2001,49.29
deu,2002,49.36
deu,2003,49.74
deu,2004,49.43
deu,2005,51.1
deu,2006,51.98
deu,2007,52.41
deu,2008,52.52
deu,2009,52.92
deu,2010,53.06
deu,2011,54.01
deu,2012,54.03
deu,2013,54.59
deu,2014,54.77
deu,2015,54.71
deu,2016,55.64
deu,2017,55.89
deu,2018,55.95
deu,2019,56.58
deu,2020,56.83
dji,1996,48.7
dji,2017,18.21
dma,1960,31.75
dma,1970,21.76
dma,1981,38.06
dma,1989,43.45
dma,1991,25.74
dma,1997,59.49
dma,1999,54.51
dma,2001,45.06
dnk,1960,36.45
dnk,1965,41.14
dnk,1970,43.93
dnk,1974,51.01
dnk,1976,52.19
dnk,1977,53.67
dnk,1978,54.94
dnk,1979,55.69
dnk,1981,57.01
dnk,1983,58.26
dnk,1984,59.3
dnk,1985,59.66
dnk,1986,60.78
dnk,1987,60.36
dnk,1988,60.78
dnk,1989,60.55
dnk,1990,61.46
dnk,1991,61.7
dnk,1992,62.39
dnk,1993,61.85
dnk,1994,58.29
dnk,1995,57.47
dnk,1996,58.72
dnk,1997,59.01
dnk,1998,59.51
dnk,1999,60.03
dnk,2000,60.22
dnk,2001,59.66
dnk,2002,60.24
dnk,2003,59.72
dnk,2004,60.38
dnk,2005,60.39
dnk,2006,60.93
dnk,2007,60.66
dnk,2008,59.91
dnk,2009,59.65
dnk,2010,58.85
dnk,2011,58.59
dnk,2012,58.15
dnk,2013,57.6
dnk,2014,57.02
dnk,2015,56.73
dnk,2016,57.56
dnk,2017,57.61
dnk,2018,57.56
dnk,2019,57.99
dnk,2020,57.75
dom,1960,11.01
dom,1970,26.76
dom,1979,27.13
dom,1981,30.55
dom,1991,37.2
dom,1992,42.2
dom,1993,25.23
dom,1994,37
dom,1996,42.95
dom,1997,41.58
dom,1998,41.43
dom,2000,39.98
dom,2001,38.57
dom,2002,40.16
dom,2003,39.27
dom,2004,39.23
dom,2005,39.78
dom,2006,40.7
dom,2007,40.36
dom,2008,41.96
dom,2009,39.02
dom,2010,41.73
dom,2011,43.73
dom,2012,45.28
dom,2013,45.15
dom,2014,45.45
dom,2015,48.33
dom,2016,49.03
dom,2017,49.21
dom,2018,50.49
dom,2019,52.52
dom,2020,47.69
dza,1966,2.91
dza,1975,3.29
dza,1977,3.79
dza,1983,2.44
dza,1984,5.93
dza,1985,8.53
dza,1987,7.78
dza,1996,11.82
dza,1997,7.37
dza,2000,6.65
dza,2009,13.95
dza,2010,14.16
dza,2012,15.8
dza,2013,16.6
dza,2014,15.58
dza,2015,16.3
dza,2016,16.94
dza,2017,13.46
ecu,1962,17.63
ecu,1974,17.08
ecu,1980,30.26
ecu,1981,30.21
ecu,1982,19.55
ecu,1988,32.76
ecu,1989,32.72
ecu,1990,28.16
ecu,1996,48.41
ecu,1997,48.81
ecu,1998,52.16
ecu,2000,45.97
ecu,2001,54.72
ecu,2002,53.18
ecu,2003,49.2
ecu,2004,52.88
ecu,2005,51.97
ecu,2006,52.81
ecu,2007,52.11
ecu,2008,52.2
ecu,2009,49.88
ecu,2010,48.25
ecu,2011,47.33
ecu,2012,48.3
ecu,2013,48.31
ecu,2014,47.93
ecu,2015,52.14
ecu,2016,55.63
ecu,2017,56.38
ecu,2018,54.63
ecu,2019,54.53
ecu,2020,48.43
egy,1960,5.22
egy,1966,5.84
egy,1973,4.36
egy,1975,5.14
egy,1976,6.42
egy,1977,6.92
egy,1978,8.32
egy,1979,7.77
egy,1980,7.4
egy,1981,5.95
egy,1982,5.83
egy,1983,17.15
egy,1984,18.03
egy,1986,9.84
egy,1989,29.97
egy,1990,26.74
egy,1991,22.03
egy,1992,22.8
egy,1993,22.13
egy,1994,22.98
egy,1995,21.6
egy,1996,14.5
egy,1998,19.55
egy,1999,20.37
egy,2000,13.45
egy,2001,20.16
egy,2002,18.41
egy,2003,13.62
egy,2004,14.09
egy,2005,23.09
egy,2006,21.13
egy,2007,23.16
egy,2008,21.72
egy,2009,22.77
egy,2010,23.06
egy,2011,22.37
egy,2012,22.39
egy,2013,22.92
egy,2014,23.06
egy,2015,22.67
egy,2016,22.92
egy,2017,21.93
egy,2018,18.31
egy,2019,15.61
egy,2020,14.3
esp,1960,17.72
esp,1970,17.87
esp,1977,27.85
esp,1978,27.68
esp,1979,27.56
esp,1980,27.19
esp,1981,26.81
esp,1982,27.23
esp,1983,27.82
esp,1984,27.73
esp,1985,27.81
esp,1986,27.67
esp,1987,30.29
esp,1988,31.74
esp,1989,32.03
esp,1990,32.63
esp,1991,32.6
esp,1992,34.6
esp,1993,35.12
esp,1994,36.34
esp,1995,36.8
esp,1996,37.32
esp,1997,38.08
esp,1998,38.42
esp,1999,39.12
esp,2000,40.7
esp,2001,39.56
esp,2002,42.13
esp,2003,43.62
esp,2004,45.01
esp,2005,46.49
esp,2006,47.91
esp,2007,48.96
esp,2008,50.35
esp,2009,51.45
esp,2010,52.16
esp,2011,52.82
esp,2012,53.44
esp,2013,53.38
esp,2014,53.11
esp,2015,53.12
esp,2016,53.04
esp,2017,52.63
esp,2018,52.42
esp,2019,52.69
esp,2020,51.62
est,1989,64.56
est,1990,66.46
est,1991,64.77
est,1992,61.72
est,1993,59.8
est,1994,59.46
est,1995,58.07
est,1996,57.89
est,1997,58.45
est,1998,52.61
est,1999,51.62
est,2000,52.66
est,2001,52.31
est,2002,51.19
est,2003,52.44
est,2004,53.32
est,2005,53.63
est,2006,54.78
est,2007,54.06
est,2008,54.74
est,2009,54.7
est,2010,55.1
est,2011,55.68
est,2012,55.42
est,2013,55.4
est,2014,54.59
est,2015,55.93
est,2016,56.37
est,2017,57.07
est,2018,57.39
est,2019,57.64
est,2020,57.57
eth,1981,28.41
eth,1987,46.8
eth,1994,66.54
eth,1999,54.48
eth,2005,74.79
eth,2013,74.3
fin,1960,48.53
fin,1970,48.76
fin,1976,48.72
fin,1977,42.68
fin,1979,54.02
fin,1980,44.13
fin,1981,55.61
fin,1982,71.49
fin,1984,59.62
fin,1985,59.57
fin,1986,59.04
fin,1987,58.46
fin,1988,58.33
fin,1989,58.41
fin,1990,64.75
fin,1991,63.49
fin,1992,62.15
fin,1993,61.28
fin,1994,60.47
fin,1995,56.26
fin,1996,54.6
fin,1997,54.86
fin,1998,55.13
fin,1999,58.13
fin,2000,58.31
fin,2001,58.53
fin,2002,58.71
fin,2003,58.29
fin,2004,57.8
fin,2005,56.77
fin,2006,57.07
fin,2007,57.37
fin,2008,57.39
fin,2009,56.96
fin,2010,56.02
fin,2011,55.8
fin,2012,55.98
fin,2013,55.53
fin,2014,55.48
fin,2015,55.61
fin,2016,55
fin,2017,55.2
fin,2018,55.89
fin,2019,55.8
fin,2020,55.26
fji,1966,7.53
fji,1976,17.12
fji,1982,21.35
fji,1986,23.35
fji,1996,39.37
fji,2005,34.84
fji,2011,45.46
fji,2014,41.3
fji,2016,38.55
fra,1962,36.51
fra,1968,36.21
fra,1975,38.66
fra,1979,40.64
fra,1980,40.96
fra,1981,41.27
fra,1982,41.77
fra,1983,45.85
fra,1984,46.44
fra,1985,46.48
fra,1986,47.09
fra,1987,46.86
fra,1988,46.68
fra,1989,46.78
fra,1990,46.7
fra,1991,46.88
fra,1992,47.31
fra,1993,47.78
fra,1994,47.97
fra,1995,48.22
fra,1996,48.6
fra,1997,48.27
fra,1998,48.59
fra,1999,48.92
fra,2000,49.08
fra,2001,48.86
fra,2002,49.07
fra,2003,50.32
fra,2004,50.14
fra,2005,50.46
fra,2006,50.53
fra,2007,50.9
fra,2008,51.1
fra,2009,51.45
fra,2010,51.46
fra,2011,51.33
fra,2012,51.54
fra,2013,51.73
fra,2014,51.64
fra,2015,51.59
fra,2016,51.53
fra,2017,51.31
fra,2018,51.43
fra,2019,51.26
fra,2020,50.63
fro,1960,27.97
fro,1966,18.69
fro,1970,27.3
fro,1977,33.29
fsm,2014,46.19
gab,1963,49.48
gab,1993,54.45
gab,2005,53.47
gab,2010,39.91
gbm,1966,23.69
gbm,1971,35.88
gbm,1976,30.25
gbm,1981,37.92
gbm,1991,46.49
gbm,1996,49.79
gbm,2001,55.68
gbm,2006,56.22
gbm,2011,57.49
gbm,2016,79.77
gbr,1961,37.57
gbr,1966,41.94
gbr,1971,42.57
gbr,1978,35.38
gbr,1979,35.92
gbr,1980,35.92
gbr,1981,44.54
gbr,1983,45.65
gbr,1984,47.15
gbr,1985,48.7
gbr,1986,49.16
gbr,1987,49.97
gbr,1988,50.63
gbr,1989,52.1
gbr,1990,52.45
gbr,1991,52.27
gbr,1992,52.39
gbr,1993,52.47
gbr,1994,52.5
gbr,1995,52.47
gbr,1996,52.89
gbr,1997,53.3
gbr,1998,53.33
gbr,1999,53.79
gbr,2000,54.19
gbr,2001,54.08
