geo,time,gc_xpn_trft_cn
che,1997,59906517843.65
che,1998,61261555606.77
che,1999,59662959784.34
che,2000,59066109457.71
che,2001,61140062052.03
che,2002,63808406158.17
che,2003,67043077933.49
che,2004,68019234483.48
che,2005,69459433916.50999
che,2006,69754922190.28
che,2007,70827114136.8
che,2008,71164254002.73
che,2009,76329635121.02998
che,2010,77913651241.11
che,2011,78540953777.28998
che,2012,80170665407.92998
che,2013,82649405726.94
che,2014,83719935691.39
che,2015,85673419964.92998
che,2016,87296514936.55998
che,2017,88895625820.94998
che,2018,89561277905.02998
che,2019,91071685134.75
chl,2000,4669380000000
chl,2001,4935490000000
chl,2002,5289160000000
chl,2003,5529360000000
chl,2004,5851780000000
chl,2005,6375000000000
chl,2006,7037000000000
chl,2007,7910539000000
chl,2008,9538810000000
chl,2009,9928022257495.31055
chl,2010,10236184786520
chl,2011,10532699865719.80078
chl,2012,11703820496426.09961
chl,2013,12616970000000
chl,2014,13958862465193.69922
chl,2015,15215925168891
chl,2016,16651918278720
chl,2017,13592880000000
chl,2018,14560309576796.19922
chl,2019,15404906868809
civ,1995,127200000000
civ,2001,65371000000
civ,2002,77971000000
civ,2003,101900000000
civ,2004,84700000000
civ,2005,94300000000
civ,2006,49800000000
civ,2007,92700000000
civ,2008,62100000000
civ,2009,140170700000
civ,2010,194733000000
civ,2011,245992000000
civ,2012,316503434854
civ,2013,247918000000
civ,2014,221866500000
civ,2015,1393491986308
civ,2016,1355539492741
civ,2017,1579555466374.73999
civ,2018,1846766271946
civ,2019,1804941646966.70972
cmr,1990,64720000000
cmr,1991,98150000000
cmr,1992,79390000000
cmr,1993,59950000000
cmr,1994,57940000000
cmr,1995,67900000000
cmr,1998,97200000000
cmr,1999,125500000000
cmr,2012,481758000000
cmr,2013,607861000000
cmr,2014,597200000000
cmr,2015,564000000000
cmr,2016,492300000000
cmr,2017,338800000000
cmr,2018,475058766742
cod,1988,0
cog,2001,83400000000
cog,2002,114200000000
cog,2003,45989600000
cog,2004,323913831561
cog,2005,404835248612
cog,2006,225051000000
cog,2007,240755000000
cog,2008,189345000000
cog,2009,81701220010
cog,2010,99318607503
cog,2011,215871436112
cog,2012,324351906759
cog,2013,250953284099
cog,2014,313664569710
cog,2015,263278000000
cog,2016,328729268811
cog,2017,221842674203
cog,2018,493153114507
col,1998,7992118579217.24023
col,1999,9766713653184.73828
col,2000,10758880073888.69922
col,2003,30984689545400
col,2008,47253082000000
col,2009,51297553000000
col,2010,57782888000000
col,2011,52306079000000
col,2012,85474574000000
col,2013,130043863000000
col,2014,135368451103671
col,2015,129345652205458
col,2016,120077709331402
col,2017,140078267555631
col,2018,173981605721806
col,2019,198023614238766
cpv,2005,6133388409.74486
cpv,2006,8716354399.99197
cpv,2007,7851229159
cpv,2008,9129786054
cpv,2009,11718490962
cpv,2010,11036789479
cpv,2011,11791368441
cpv,2012,11376025065
cpv,2013,11629623742
cpv,2014,12263364976
cpv,2015,13255470529.29
cpv,2016,14215239405.49
cpv,2017,16309758531
cri,1987,470000000
cri,1988,470000000
cri,1989,280000000
cri,1990,26340000000
cri,1991,32780000000
cri,1992,42490000000
cri,1993,70760000000
cri,1994,122930000000
cri,1995,116040000000
cri,1996,133610000000
cri,1997,175310000000
cri,1998,211820000000
cri,1999,248420000000
cri,2000,278520000000
cri,2001,340830000000
cri,2002,389880000000
cri,2003,390900000000
cri,2004,468248000000
cri,2005,599440500000
cri,2006,639720000000
cri,2007,827700000000
cri,2008,875895883792.07983
cri,2009,979230590766.11011
cri,2010,1081033810662.88
cri,2011,1234045163623.31006
cri,2012,1370457253146.6001
cri,2013,1493065752085
cri,2014,1626725296828.81006
cri,2015,2028625475429.55005
cri,2016,1833261758016.08008
cri,2017,2080687534586.3501
cri,2018,2329003461552.2002
cri,2019,2807932172339.24023
cyp,1980,29524632.90698
cyp,1981,38494790.47421
cyp,1982,39178231.05076
cyp,1983,51856053.74577
cyp,1984,55973783.21948
cyp,1985,51206785.19804
cyp,1986,34359974.98607
cyp,1987,32070449.05463
cyp,1988,48080044.56033
cyp,1989,55751665.0321
cyp,1990,622369593.19393
cyp,1991,661400886.6927
cyp,1992,800681590.71861
cyp,1993,960134788.24313
cyp,1994,1130185113.32192
cyp,1995,1066679879.85115
cyp,1996,1177738973.5406
cyp,1997,1265902807.91561
cyp,1998,1433174889.02634
cyp,1999,1494001100.33933
cyp,2000,1750633036.83403
cyp,2001,1930036188.17853
cyp,2002,2120032668.45956
cyp,2003,2531293035.3988
cyp,2004,2844821399.89133
cyp,2005,3109654623.30464
cyp,2006,3182441044.70727
cyp,2007,3248563920.48852
cyp,2008,3679985784.43601
cyp,2009,2289400000
cyp,2010,2541000000
cyp,2011,2692900000
cyp,2012,2674800000
cyp,2013,2579300000
cyp,2014,2548500000
cyp,2015,2853800000
cyp,2016,2940600000
cyp,2017,2958900000
cyp,2018,3268900000
cyp,2019,3242900000
cze,1993,244421000000
cze,1994,295571000000
cze,1995,239052000000
cze,1996,250327000000
cze,1997,305070000000
cze,1998,340531000000
cze,1999,365143000000
cze,2000,383223000000
cze,2001,415660000000
cze,2002,436670000000
cze,2003,455434000000
cze,2004,470550000000
cze,2005,487096000000
cze,2006,520959000000
cze,2007,571772000000
cze,2008,598474000000
cze,2009,647886000000
cze,2010,654459000000
cze,2011,688717000000
cze,2012,726800000000
cze,2013,743477000000
cze,2014,763146000000
cze,2015,783014000000
cze,2016,805293000000
cze,2017,829248000000
cze,2018,876020000000
cze,2019,948676000000
deu,1990,44073360159.114
deu,1991,383643000000
deu,1992,413718000000
deu,1993,436259000000
deu,1994,464725000000
deu,1995,481028000000
deu,1996,500335000000
deu,1997,504907000000
deu,1998,512247000000
deu,1999,525377000000
deu,2000,528992000000
deu,2001,537633000000
deu,2002,553117000000
deu,2003,566356000000
deu,2004,558573000000
deu,2005,566533000000
deu,2006,564462000000
deu,2007,564122000000
deu,2008,573718000000
deu,2009,610902000000
deu,2010,626787000000
deu,2011,625889000000
deu,2012,630489000000
deu,2013,655681000000
deu,2014,675301000000
deu,2015,701872000000
deu,2016,725434000000
deu,2017,753034000000
deu,2018,778698000000
deu,2019,816937000000
dnk,1985,8491000000
dnk,1986,8677000000
dnk,1987,9038000000
dnk,1988,12590000000
dnk,1989,14613000000
dnk,1990,196464000000
dnk,1991,205685000000
dnk,1992,224390000000
dnk,1993,238047000000
dnk,1994,262622000000
dnk,1995,99549000000
dnk,1996,102338000000
dnk,1997,101222000000
dnk,1998,101799000000
dnk,1999,101574000000
dnk,2000,101544000000
dnk,2001,103409000000
dnk,2002,108203000000
dnk,2003,112464000000
dnk,2004,114717000000
dnk,2005,110179000000
dnk,2006,102277000000
dnk,2007,99534000000
dnk,2008,95864000000
dnk,2009,111844000000
dnk,2010,121739000000
dnk,2011,123573000000
dnk,2012,126645000000
dnk,2013,126052000000
dnk,2014,126588000000
dnk,2015,125684000000
dnk,2016,121104000000
dnk,2017,122276000000
dnk,2018,119822000000
dnk,2019,119561000000
dom,1993,2185900000
dom,1994,1858300000
dom,1995,3112400000
dom,1996,4982300000
dom,1997,8288900000
dom,1998,8544000000
dom,1999,9896600000
dom,2000,7554600000
dom,2001,10738709821.68
dom,2002,9174867915.87
dom,2003,10405674140.1
dom,2004,44400377559.06
dom,2005,49116528939.1684
dom,2006,55595813836.80769
dom,2007,58519888299.75249
dom,2008,99605887291.07489
dom,2009,73783210217.09711
dom,2010,73912510367.87268
dom,2011,80592084907.1223
dom,2012,105197320049.10001
dom,2013,107334099221.82001
dom,2014,119017209145.76801
dom,2015,80650044780.1573
dom,2016,96666532051.4765
dom,2017,80159493511.44998
dom,2018,101013033873.93401
dom,2019,114095509409.867
egy,1987,1652000000
egy,1988,3195000000
egy,1989,2573000000
egy,1991,3287000000
egy,1992,4470000000
egy,1993,3859000000
egy,1994,3418000000
egy,1995,3639000000
egy,1996,4075000000
egy,1997,4379000000
egy,2002,24522000000
egy,2003,27159000000
egy,2004,33311000000
egy,2005,39375000000
egy,2006,86055900000
egy,2007,86123600000
egy,2008,124249200000
egy,2009,140262400000
egy,2010,144759300000
egy,2011,166583500000
egy,2012,198810200000
egy,2013,256390400000
egy,2014,292427400000
egy,2015,274927400000
esp,1970,83456000000
esp,1971,88235000000
esp,1985,3093409301.26333
esp,1986,2790499200.6539
esp,1987,2910100609.42627
esp,1988,3248470424.19434
esp,1989,3299556453.06696
esp,1990,66115538566.9468
esp,1991,74661930691.2841
esp,1992,85689901794.62219
esp,1993,95453944442.4411
esp,1994,99887009724.3759
esp,2017,293068000000
esp,2018,307098000000
esp,2019,321601000000
est,1991,1203760.74188
est,1995,562800000
est,1996,718500000
est,1997,845600000
est,1998,998500000
est,1999,1098800000
est,2000,1128000000
est,2001,1304900000
est,2002,1437000000
est,2003,1587600000
est,2004,1819500000
est,2005,2105100000
est,2006,2501500000
est,2007,3003800000
est,2008,3582700000
est,2009,3603600000
est,2010,3475600000
est,2011,3569900000
est,2012,3766200000
est,2013,3989500000
est,2014,4132200000
est,2015,4547600000
est,2016,4824200000
est,2017,5097900000
est,2018,5768700000
est,2019,6290700000
eth,1990,454100000
eth,1991,373500000
eth,1992,792100000
eth,1993,571000000
eth,1994,709400000
eth,1995,1039200000
eth,1996,884000000
eth,1997,1944000000
eth,1998,3727900000
eth,1999,3975800000
eth,2001,4366000000
eth,2002,5289200000
eth,2003,5280900000
eth,2004,5529000000
eth,2005,6654100000
eth,2006,3176600000
eth,2007,1147280000
eth,2008,19395000000
eth,2009,23722800000
eth,2010,29187900000
eth,2011,34712649000
eth,2012,46090200000
eth,2013,53381737769.43
eth,2014,57724468544.36
eth,2015,77335572145.55
eth,2016,85233389971.61
eth,2017,108244266303.27
eth,2018,125425679120.7
eth,2019,136962659079.59
fin,1990,6942965792.25764
fin,1991,7765236564.72796
fin,1992,7750772403.05227
fin,1993,7593348503.8843
fin,1994,7150677881.4376
fin,1995,23559000000
fin,1996,23050000000
fin,1997,23036000000
fin,1998,23408000000
fin,1999,23905000000
fin,2000,23731000000
fin,2001,24477000000
fin,2002,25924000000
fin,2003,27029000000
fin,2004,28029000000
fin,2005,28846000000
fin,2006,29661000000
fin,2007,30361000000
fin,2008,31868000000
fin,2009,34720000000
fin,2010,36345000000
fin,2011,37665000000
fin,2012,39807000000
fin,2013,42060000000
fin,2014,43935000000
fin,2015,45375000000
fin,2016,45788000000
fin,2017,46752000000
fin,2018,47250000000
fin,2019,48017000000
fji,1994,125330000
fji,2004,261859000
fji,2005,287860000
fji,2006,288734637
fji,2010,324680357.26
fji,2011,365023604.55
fji,2012,430992201.94
fji,2013,603702761.12
fji,2014,932968074.22
fji,2015,1066110554.93
fji,2016,939807747.87
fji,2017,1061678024.03
fji,2018,1140239238.45
fji,2019,1174845103.74
fra,1980,7759654977.38419
fra,1981,9787226906.64175
fra,1982,11540390604.872
fra,1983,13522227828.9583
fra,1984,17196249144.3799
fra,1985,16052881515.0993
fra,1986,17516392080.5785
fra,1987,17897514623.672
fra,1988,15199167018.5698
fra,1989,15641269168.5583
fra,1990,276710211187.62402
fra,1991,296955440676.75098
fra,1992,315660935091.78198
fra,1993,334290204998.19293
fra,1994,349108249473.66998
fra,1995,278887000000
fra,1996,288599000000
fra,1997,297961000000
fra,1998,306245000000
fra,1999,315999000000
fra,2000,326219000000
fra,2001,342919000000
fra,2002,361875000000
fra,2003,377003000000
fra,2004,386965000000
fra,2005,402744000000
fra,2006,422064000000
fra,2007,441202000000
fra,2008,457926000000
fra,2009,486500000000
fra,2010,502782000000
fra,2011,514466000000
fra,2012,532458000000
fra,2013,546559000000
fra,2014,568560000000
fra,2015,585484000000
fra,2016,595509000000
fra,2017,607100000000
fra,2018,622671000000
fra,2019,643746000000
fsm,2008,836456
fsm,2009,953267
fsm,2010,3190727
fsm,2011,1637433
fsm,2012,1540547
fsm,2013,1344640
fsm,2014,2092654
fsm,2015,1101344
fsm,2016,2105000
fsm,2017,1605000
fsm,2018,1115000
fsm,2019,2551704
gab,2012,457977605310.83295
gab,2013,447500893755.02002
gab,2014,368926000000
gab,2015,315805165177
gab,2016,223146897436
gab,2017,221198292519
gab,2018,194605177809.60001
gab,2019,250435968075.62
gbr,1972,5761000000
gbr,1973,6327000000
gbr,1974,7746000000
gbr,1975,10210000000
gbr,1976,12667000000
gbr,1977,14964000000
gbr,1978,17801000000
gbr,1979,21197000000
gbr,1980,30066000000
gbr,1981,36748000000
gbr,1982,41520000000
gbr,1983,42277000000
gbr,1984,45394000000
gbr,1985,50256000000
gbr,1986,53025000000
gbr,1987,55452000000
gbr,1988,56569000000
gbr,1989,58351000000
gbr,1990,106003000000
gbr,1991,131606000000
gbr,1992,152921000000
gbr,1993,156153000000
gbr,1994,160609000000
gbr,1995,176499000000
gbr,1996,182003000000
gbr,1997,181569000000
gbr,1998,186135000000
gbr,1999,193437000000
gbr,2000,208080000000
gbr,2001,217606000000
gbr,2002,237048000000
gbr,2003,261723000000
gbr,2004,277327000000
gbr,2005,293465000000
gbr,2006,310361000000
gbr,2007,326802000000
gbr,2008,346494000000
gbr,2009,373486000000
gbr,2010,392836000000
gbr,2011,394784000000
gbr,2012,413632000000
gbr,2013,407938000000
gbr,2014,417109000000
gbr,2015,424142000000
gbr,2016,422105000000
gbr,2017,424444000000
gbr,2018,437343000000
gbr,2019,446601000000
geo,1995,177600000
geo,1996,257900000
geo,1997,338000000
geo,1998,361200000
geo,1999,412900000
geo,2000,548600000
geo,2001,697400000
geo,2002,707300000
geo,2003,779400000
geo,2004,1229800000
geo,2005,1584000000
geo,2006,1800100000
geo,2007,1907700000
geo,2008,2586700000
geo,2009,2795100000
geo,2010,2860400000
geo,2011,3070100000
geo,2012,3379200000
geo,2013,3555900000
geo,2014,4054000000
geo,2015,4504900000
geo,2016,4904600000
geo,2017,5244000000
geo,2018,5595000000
geo,2019,6425200000
geo,2020,8143800000
gha,2001,29401800
gha,2002,38555600
gha,2003,280074937
gha,2004,536812836
gha,2005,563929309
gha,2006,836657149
gha,2007,1528906086
gha,2008,1871585806
gha,2009,1842423238
gha,2010,3154266692
gha,2011,4177314159
gha,2012,4573930912.1545
gha,2013,5707014847.75929
gha,2014,8447040732.38
gha,2015,16204891119.89
gha,2016,8607303837.19884
gha,2017,9220021176
gha,2018,11080174943
gha,2019,11648327025.9776
gin,1989,15551000000
gin,1990,17366000000
gin,1991,18981000000
gin,1992,27440000000
gmb,1990,52130000
gnb,2017,17160699000
gnb,2019,26905632059.25
gnq,2006,65150000000
gnq,2007,75845000000
gnq,2008,169693000000
gnq,2009,116992000000
gnq,2010,170012600000
gnq,2011,182408988000
gnq,2012,250968810530.37399
gnq,2013,236897423064.45999
gnq,2014,184456093390.60001
gnq,2015,69349428194.3333
gnq,2016,56888699460
gnq,2017,58475845701
gnq,2018,72853379045
gnq,2019,68041177401
grc,1995,11939000000
grc,1996,13194000000
grc,1997,14439000000
grc,1998,16061000000
grc,1999,17604000000
grc,2000,19639000000
grc,2001,21801000000
grc,2002,23322000000
grc,2003,27495000000
grc,2004,28940000000
grc,2005,31646000000
grc,2006,35433000000
grc,2007,39518000000
grc,2008,45082000000
grc,2009,48292000000
grc,2010,46628000000
grc,2011,47904000000
grc,2012,44955000000
grc,2013,39888000000
grc,2014,39749000000
grc,2015,39922000000
grc,2016,39867000000
grc,2017,39274000000
grc,2018,38878000000
grc,2019,40510000000
gtm,1990,290660000
gtm,1991,283880000
gtm,1992,366740000
gtm,1993,380530000
