geo,time,ip_pat_resd
cyp,2004,9
cyp,2005,20
cyp,2007,3
cyp,2008,11
cyp,2009,6
cyp,2010,4
cyp,2012,4
cyp,2013,2
cyp,2014,4
cyp,2015,6
cyp,2016,3
cyp,2017,8
cyp,2018,4
cyp,2019,4
cyp,2020,2
cze,1993,893
cze,1994,756
cze,1995,626
cze,1996,614
cze,1997,579
cze,1998,624
cze,1999,596
cze,2000,555
cze,2001,568
cze,2002,526
cze,2003,625
cze,2004,623
cze,2005,586
cze,2006,641
cze,2007,716
cze,2008,712
cze,2009,789
cze,2010,868
cze,2011,783
cze,2012,867
cze,2013,984
cze,2014,910
cze,2015,880
cze,2016,792
cze,2017,794
cze,2018,678
cze,2019,765
cze,2020,673
deu,1980,28683
deu,1981,29841
deu,1982,30668
deu,1983,31658
deu,1984,31984
deu,1985,32202
deu,1986,32169
deu,1987,31597
deu,1988,31912
deu,1989,31171
deu,1990,30724
deu,1991,32256
deu,1992,33919
deu,1993,34752
deu,1994,36715
deu,1995,38103
deu,1996,42322
deu,1997,44438
deu,1998,46523
deu,1999,50029
deu,2000,51736
deu,2001,49989
deu,2002,47598
deu,2003,47818
deu,2004,48448
deu,2005,48367
deu,2006,48012
deu,2007,47853
deu,2008,49240
deu,2009,47859
deu,2010,47047
deu,2011,46986
deu,2012,46620
deu,2013,47353
deu,2014,48154
deu,2015,47384
deu,2016,48480
deu,2017,47785
deu,2018,46617
deu,2019,46632
deu,2020,42260
dji,2013,1
dnk,1980,964
dnk,1981,1085
dnk,1982,1095
dnk,1983,1167
dnk,1984,966
dnk,1985,856
dnk,1986,958
dnk,1987,1007
dnk,1988,1197
dnk,1989,1120
dnk,1990,1218
dnk,1991,1061
dnk,1992,1204
dnk,1993,1159
dnk,1994,1274
dnk,1995,1234
dnk,1996,1309
dnk,1997,1319
dnk,1998,1543
dnk,1999,1656
dnk,2000,1730
dnk,2001,1757
dnk,2002,1815
dnk,2003,1772
dnk,2004,1877
dnk,2005,1658
dnk,2006,1503
dnk,2007,1660
dnk,2008,1634
dnk,2009,1518
dnk,2010,1626
dnk,2011,1574
dnk,2012,1406
dnk,2013,1341
dnk,2014,1377
dnk,2015,1462
dnk,2016,1552
dnk,2017,1490
dnk,2018,1262
dnk,2019,1351
dnk,2020,1261
dom,1983,25
dom,1986,14
dom,2000,5
dom,2001,11
dom,2002,11
dom,2003,18
dom,2004,24
dom,2005,8
dom,2006,15
dom,2007,34
dom,2008,8
dom,2009,17
dom,2010,15
dom,2011,15
dom,2012,19
dom,2013,12
dom,2014,16
dom,2015,25
dom,2016,28
dom,2017,20
dom,2018,17
dom,2019,23
dom,2020,10
dza,1980,5
dza,1981,14
dza,1982,14
dza,1983,30
dza,1984,30
dza,1988,5
dza,1989,4
dza,1990,6
dza,1991,6
dza,1992,10
dza,1993,8
dza,1994,27
dza,1995,28
dza,1996,50
dza,1997,34
dza,1998,42
dza,1999,36
dza,2000,32
dza,2001,51
dza,2002,43
dza,2003,30
dza,2004,58
dza,2005,59
dza,2006,58
dza,2007,84
dza,2010,76
dza,2011,94
dza,2012,119
dza,2013,118
dza,2014,94
dza,2015,89
dza,2016,106
dza,2017,149
dza,2018,152
dza,2019,113
dza,2020,163
ecu,1980,35
ecu,1981,14
ecu,1982,22
ecu,1983,24
ecu,1984,24
ecu,1986,27
ecu,1987,21
ecu,1988,24
ecu,1989,26
ecu,1991,13
ecu,1992,23
ecu,1993,21
ecu,1994,4
ecu,1995,8
ecu,1996,7
ecu,1997,8
ecu,1999,15
ecu,2000,10
ecu,2001,7
ecu,2002,13
ecu,2003,7
ecu,2004,14
ecu,2005,11
ecu,2006,8
ecu,2007,4
ecu,2008,2
ecu,2009,6
ecu,2010,4
ecu,2013,7
ecu,2014,24
ecu,2015,20
ecu,2016,45
ecu,2017,16
ecu,2018,34
ecu,2019,29
ecu,2020,33
egy,1980,76
egy,1981,59
egy,1982,53
egy,1983,88
egy,1984,128
egy,1985,168
egy,1986,142
egy,1987,170
egy,1988,190
egy,1989,186
egy,1990,278
egy,1991,308
egy,1992,301
egy,1993,328
egy,1994,308
egy,1995,408
egy,1996,504
egy,1998,494
egy,1999,536
egy,2000,534
egy,2001,464
egy,2002,627
egy,2003,493
egy,2004,382
egy,2005,428
egy,2007,516
egy,2008,481
egy,2009,490
egy,2010,605
egy,2011,618
egy,2012,683
egy,2013,641
egy,2014,752
egy,2015,718
egy,2016,920
egy,2017,1025
egy,2018,997
egy,2019,1027
egy,2020,978
esp,1980,1876
esp,1981,1718
esp,1982,1646
esp,1983,1498
esp,1984,1784
esp,1985,2149
esp,1986,1649
esp,1987,1720
esp,1988,1816
esp,1989,2087
esp,1990,2218
esp,1991,2156
esp,1992,2076
esp,1993,2165
esp,1994,2136
esp,1995,2047
esp,1996,2274
esp,1997,2237
esp,1998,2271
esp,1999,2439
esp,2000,2710
esp,2001,2528
esp,2002,2763
esp,2003,2813
esp,2004,2871
esp,2005,3040
esp,2006,3111
esp,2007,3267
esp,2008,3632
esp,2009,3596
esp,2010,3566
esp,2011,3430
esp,2012,3266
esp,2013,3026
esp,2014,2953
esp,2015,2799
esp,2016,2745
esp,2017,2167
esp,2018,1525
esp,2019,1288
esp,2020,1431
est,1994,16
est,1995,16
est,1996,12
est,1997,15
est,1998,20
est,1999,13
est,2000,13
est,2001,18
est,2002,19
est,2003,18
est,2004,27
est,2005,23
est,2006,36
est,2007,44
est,2008,62
est,2009,76
est,2010,84
est,2011,62
est,2012,20
est,2013,25
est,2014,44
est,2015,30
est,2016,29
est,2017,37
est,2018,24
est,2019,31
est,2020,21
eth,1996,3
eth,2000,3
eth,2002,1
eth,2003,3
eth,2004,1
eth,2005,1
eth,2006,5
eth,2007,12
eth,2011,4
eth,2013,1
eth,2014,2
eth,2015,18
eth,2016,10
eth,2017,14
eth,2018,13
eth,2020,6
fin,1980,1356
fin,1981,1423
fin,1982,1638
fin,1983,1719
fin,1984,1775
fin,1985,1727
fin,1986,1754
fin,1987,1859
fin,1988,1981
fin,1989,1948
fin,1990,2059
fin,1991,2123
fin,1992,2052
fin,1993,2166
fin,1994,2306
fin,1995,2058
fin,1996,2179
fin,1997,2355
fin,1998,2471
fin,1999,2511
fin,2000,2579
fin,2001,2390
fin,2002,2162
fin,2003,1972
fin,2004,2011
fin,2005,1830
fin,2006,1816
fin,2007,1804
fin,2008,1799
fin,2009,1806
fin,2010,1731
fin,2011,1650
fin,2012,1698
fin,2013,1596
fin,2014,1419
fin,2015,1289
fin,2016,1260
fin,2017,1390
fin,2018,1387
fin,2019,1321
fin,2020,1588
fji,1980,2
fra,1980,11000
fra,1981,10945
fra,1982,10681
fra,1983,11147
fra,1984,11333
fra,1985,12050
fra,1986,12155
fra,1987,12695
fra,1988,12437
fra,1989,12592
fra,1990,12378
fra,1991,12597
fra,1992,12539
fra,1993,12638
fra,1994,12519
fra,1995,12419
fra,1996,12916
fra,1997,13252
fra,1998,13251
fra,1999,13592
fra,2000,13870
fra,2001,13499
fra,2002,13519
fra,2003,13511
fra,2004,14230
fra,2005,14327
fra,2006,14529
fra,2007,14722
fra,2008,14658
fra,2009,14100
fra,2010,14748
fra,2011,14655
fra,2012,14540
fra,2013,14690
fra,2014,14500
fra,2015,14306
fra,2016,14206
fra,2017,14415
fra,2018,14303
fra,2019,14103
fra,2020,12771
gbr,1980,19612
gbr,1981,20808
gbr,1982,20530
gbr,1983,19893
gbr,1984,19093
gbr,1985,19672
gbr,1986,20040
gbr,1987,19945
gbr,1988,20536
gbr,1989,19732
gbr,1990,19310
gbr,1991,19230
gbr,1992,18848
gbr,1993,18727
gbr,1994,18384
gbr,1995,18630
gbr,1996,18184
gbr,1997,17938
gbr,1998,19530
gbr,1999,21333
gbr,2000,22050
gbr,2001,21423
gbr,2002,20624
gbr,2003,20426
gbr,2004,19178
gbr,2005,17833
gbr,2006,17484
gbr,2007,17375
gbr,2008,16523
gbr,2009,15985
gbr,2010,15490
gbr,2011,15343
gbr,2012,15370
gbr,2013,14972
gbr,2014,15196
gbr,2015,14867
gbr,2016,13876
gbr,2017,13301
gbr,2018,12865
gbr,2019,12061
gbr,2020,11990
geo,1992,365
geo,1993,502
geo,1994,386
geo,1995,287
geo,1996,288
geo,1997,263
geo,1998,277
geo,1999,265
geo,2000,232
geo,2001,254
geo,2002,194
geo,2003,195
geo,2004,249
geo,2005,225
geo,2006,236
geo,2007,248
geo,2008,222
geo,2009,256
geo,2010,183
geo,2011,138
geo,2012,139
geo,2013,114
geo,2014,110
geo,2015,99
geo,2016,96
geo,2017,75
geo,2018,103
geo,2019,85
geo,2020,81
gha,2016,14
gha,2017,15
gha,2018,13
gha,2020,12
grc,1980,1265
grc,1981,1221
grc,1982,1264
grc,1983,1191
grc,1984,1277
grc,1985,1121
grc,1986,1249
grc,1987,1539
grc,1988,205
grc,1989,216
grc,1990,241
grc,1991,188
grc,1992,222
grc,1993,221
grc,1994,267
grc,1995,266
grc,1996,267
grc,1997,293
grc,1998,276
grc,1999,290
grc,2000,306
grc,2001,385
grc,2002,376
grc,2003,393
grc,2004,379
grc,2005,462
grc,2006,532
grc,2007,575
grc,2008,628
grc,2009,698
grc,2010,728
grc,2011,721
grc,2012,628
grc,2013,698
grc,2014,651
grc,2015,550
grc,2016,606
grc,2017,498
grc,2018,430
grc,2019,356
grc,2020,400
grd,2020,2
gtm,1982,17
gtm,1985,72
gtm,1986,25
gtm,1987,8
gtm,1988,16
gtm,1989,5
gtm,1990,27
gtm,1991,31
gtm,1992,27
gtm,1993,40
gtm,1994,21
gtm,1995,32
gtm,1996,22
gtm,1997,36
gtm,1998,26
gtm,1999,28
gtm,2000,54
gtm,2001,30
gtm,2002,8
gtm,2003,6
gtm,2004,9
gtm,2005,17
gtm,2006,28
gtm,2007,9
gtm,2008,5
gtm,2009,7
gtm,2010,7
gtm,2011,4
gtm,2012,7
gtm,2013,4
gtm,2014,10
gtm,2015,7
gtm,2016,3
gtm,2017,3
gtm,2018,6
gtm,2019,7
gtm,2020,7
guy,1983,1
guy,1985,1
guy,1986,9
guy,2014,1
guy,2016,1
guy,2018,2
hkg,1983,21
hkg,1984,20
hkg,1985,16
hkg,1986,10
hkg,1987,13
hkg,1988,12
hkg,1989,15
hkg,1990,21
hkg,1991,16
hkg,1992,11
hkg,1993,9
hkg,1994,21
hkg,1995,23
hkg,1996,41
hkg,1997,26
hkg,1998,128
hkg,1999,42
hkg,2000,51
hkg,2001,74
hkg,2002,112
hkg,2003,107
hkg,2004,127
hkg,2005,156
hkg,2006,172
hkg,2007,160
hkg,2008,173
hkg,2009,149
hkg,2010,133
hkg,2011,181
hkg,2012,171
hkg,2013,226
hkg,2014,192
hkg,2015,239
hkg,2016,233
hkg,2017,324
hkg,2018,314
hkg,2019,346
hkg,2020,423
hnd,1980,6
hnd,1982,63
hnd,1983,16
hnd,1984,4
hnd,1985,12
hnd,1987,12
hnd,1990,6
hnd,1995,7
hnd,1996,10
hnd,1998,11
hnd,1999,8
hnd,2000,4
hnd,2001,7
hnd,2002,7
hnd,2011,2
hnd,2012,8
hnd,2013,6
hnd,2015,4
hnd,2016,10
hnd,2017,4
hnd,2018,8
hrv,1992,479
hrv,1993,503
hrv,1994,277
hrv,1995,265
hrv,1996,259
hrv,1997,273
hrv,1998,267
hrv,1999,246
hrv,2000,337
hrv,2001,362
hrv,2002,328
hrv,2003,387
hrv,2004,385
hrv,2005,363
hrv,2006,317
hrv,2007,344
hrv,2008,330
hrv,2009,250
hrv,2010,257
hrv,2011,230
hrv,2012,217
hrv,2013,230
hrv,2014,170
hrv,2015,169
hrv,2016,175
hrv,2017,148
hrv,2018,121
hrv,2019,195
hrv,2020,117
hti,1980,4
hti,1982,2
hti,1983,1
hti,1984,2
hti,1985,6
hti,1986,4
hti,1987,9
hti,1988,1
hti,1991,3
hti,1996,3
hti,1999,1
hti,2011,1
hti,2012,2
hti,2014,2
hun,1980,1601
hun,1981,2124
hun,1982,2344
hun,1983,2760
hun,1984,2869
hun,1985,2904
hun,1986,2847
hun,1987,3229
hun,1988,3262
hun,1989,2657
hun,1990,2477
hun,1991,2210
hun,1992,1497
hun,1993,1139
hun,1994,1162
hun,1995,1096
hun,1996,803
hun,1997,737
hun,1998,690
hun,1999,729
hun,2000,810
hun,2001,919
hun,2002,842
hun,2003,756
hun,2004,748
hun,2005,705
hun,2006,718
hun,2007,689
hun,2008,683
hun,2009,757
hun,2010,649
hun,2011,662
hun,2012,692
hun,2013,642
hun,2014,546
hun,2015,569
hun,2016,616
hun,2017,496
hun,2018,407
hun,2019,427
hun,2020,428
idn,1980,5
idn,1982,16
idn,1983,40
idn,1984,26
idn,1985,49
idn,1986,32
idn,1987,62
idn,1989,113
idn,1991,34
idn,1992,67
idn,1993,38
idn,1994,29
idn,1995,61
idn,1996,40
idn,1997,79
idn,1998,93
idn,1999,152
idn,2000,157
idn,2001,212
idn,2002,234
idn,2003,201
idn,2004,227
idn,2005,235
idn,2006,288
idn,2007,284
idn,2008,386
idn,2009,415
idn,2010,508
idn,2011,533
idn,2013,663
idn,2014,702
idn,2015,1058
idn,2016,1101
idn,2017,2271
idn,2018,1407
idn,2019,3093
idn,2020,1309
ind,1980,1207
ind,1981,1067
ind,1982,1128
ind,1984,1003
ind,1985,982
ind,1986,999
ind,1987,988
ind,1988,1033
ind,1989,1048
ind,1990,1147
ind,1991,1267
ind,1992,1248
ind,1993,1209
ind,1994,1588
ind,1995,1545
ind,1996,1661
ind,1997,1926
ind,1998,2247
ind,1999,2206
ind,2000,2206
ind,2001,2379
ind,2002,2693
ind,2003,3425
ind,2004,4014
ind,2005,4721
ind,2006,5686
ind,2007,6296
ind,2008,6425
ind,2009,7262
ind,2010,8853
ind,2011,8841
ind,2012,9553
ind,2013,10669
ind,2014,12040
ind,2015,12579
ind,2016,13199
ind,2017,14961
ind,2018,16289
ind,2019,19454
ind,2020,23141
irl,1980,394
irl,1981,461
irl,1982,434
irl,1983,567
irl,1984,651
irl,1985,726
irl,1986,743
irl,1987,719
irl,1988,727
irl,1989,736
irl,1990,734
irl,1991,786
irl,2016,79
irl,2017,62
irl,2018,76
irl,2019,58
irl,2020,75
irn,1980,169
irn,1981,286
irn,1982,202
irn,1983,213
irn,1984,162
irn,1985,183
irn,1987,207
irn,1988,167
irn,1989,141
irn,1990,182
irn,1991,262
irn,1992,225
irn,1993,278
irn,1994,266
irn,1995,278
irn,1996,288
irn,1997,284
irn,1998,337
irn,1999,366
irn,2000,410
irn,2001,691
irn,2002,910
irn,2003,1287
irn,2004,2426
irn,2005,4051
irn,2006,5970
irn,2007,10648
irn,2008,15403
irn,2009,12184
irn,2010,11108
irn,2011,11529
irn,2012,10622
irn,2013,11305
irn,2014,13683
irn,2016,14930
irn,2017,15264
irn,2018,11908
irn,2019,11569
irn,2020,11396
irq,1980,19
irq,1981,26
irq,1982,47
irq,1983,33
irq,1984,124
irq,1985,296
irq,1986,199
irq,1987,272
irq,1988,272
irq,1989,247
irq,1992,149
irq,1993,164
irq,1994,112
irq,1995,76
irq,1996,68
irq,2015,335
irq,2017,613
irq,2018,653
irq,2019,737
irq,2020,635
isl,1980,19
isl,1981,14
isl,1982,18
isl,1983,32
isl,1984,28
isl,1985,21
isl,1986,29
