geo,time,fb_ast_nper_zs
btn,2015,6.59417
btn,2016,7.18675
btn,2017,8.41731
btn,2018,7.02804
btn,2019,8.4466
bwa,2012,2.62061
bwa,2013,3.61343
bwa,2014,3.54945
bwa,2015,3.73436
bwa,2016,4.85264
bwa,2017,5.2769
bwa,2018,5.42632
bwa,2019,4.78797
bwa,2020,4.32344
bwa,2021,4.2389
caf,2010,12.63801
caf,2011,11.99626
caf,2012,9.58298
caf,2013,28.50159
caf,2014,27.66217
caf,2015,30.86475
caf,2016,25.61075
caf,2017,22.93816
caf,2018,15.59115
caf,2019,12.58274
caf,2020,13.3833
can,2005,0.49952
can,2006,0.42033
can,2007,0.4316
can,2008,0.76325
can,2009,1.26687
can,2010,1.19246
can,2011,0.84469
can,2012,0.65115
can,2013,0.57492
can,2014,0.51788
can,2015,0.5166
can,2016,0.59605
can,2017,0.44946
can,2018,0.50521
can,2019,0.50341
can,2020,0.5311
che,2005,1.23098
che,2006,0.90817
che,2007,0.73859
che,2008,0.88659
che,2009,1.03418
che,2010,0.85672
che,2011,0.8092
che,2012,0.77206
che,2013,0.76062
che,2014,0.71394
che,2015,0.74749
che,2016,0.73947
che,2017,0.63721
che,2018,0.66197
che,2019,0.64342
che,2020,0.75127
chl,2001,1.61916
chl,2002,1.823
chl,2003,1.63484
chl,2004,1.2025
chl,2005,0.90529
chl,2006,0.74813
chl,2007,0.7507
chl,2008,0.97646
chl,2009,2.92564
chl,2010,2.69328
chl,2011,2.34646
chl,2012,2.15715
chl,2013,2.10543
chl,2014,2.05967
chl,2015,1.87466
chl,2016,1.83264
chl,2017,1.91636
chl,2018,1.87201
chl,2019,2.05505
chl,2020,1.55299
chn,2010,1.13237
chn,2011,0.96159
chn,2012,0.95367
chn,2013,0.9997
chn,2014,1.24873
chn,2015,1.67388
chn,2016,1.74448
chn,2017,1.74435
chn,2018,1.83295
chn,2019,1.86175
chn,2020,1.83962
cmr,2010,10.10135
cmr,2011,11.44671
cmr,2012,11.5528
cmr,2013,10.29533
cmr,2014,9.70169
