geo,time,fb_atm_totl_p5
aus,2014,165.23
aus,2015,163.9
aus,2016,167.7
aus,2017,160.32
aus,2018,146.17
aus,2019,136.54
aus,2020,129.69
aut,2004,116.16
aut,2005,106.79
aut,2006,108.34
aut,2007,108.62
aut,2008,110.16
aut,2009,112.34
aut,2010,112.92
aut,2011,113.8
aut,2012,115.63
aut,2013,117.27
aut,2014,186.37
aut,2015,183.27
aut,2016,162.92
aut,2017,165.04
aut,2018,169.41
aut,2019,171.91
aut,2020,167.95
aze,2006,17.07
aze,2007,20.36
aze,2008,22.71
aze,2009,24.67
aze,2010,27.08
aze,2011,30.03
aze,2012,31.39
aze,2013,33.24
aze,2014,35.41
aze,2015,36.2
aze,2016,32.72
aze,2017,32.16
aze,2018,32.85
aze,2019,34.49
aze,2020,35.11
bdi,2004,0.05
bdi,2005,0.05
bdi,2006,0.05
bdi,2007,0.05
bdi,2008,0.07
bdi,2009,0.28
bdi,2010,0.53
bdi,2011,0.71
bdi,2012,0.99
bdi,2013,1.55
bdi,2014,1.51
bdi,2015,1.43
bdi,2016,1.42
bel,2004,83.89
bel,2005,83.58
bel,2006,83.12
bel,2007,86.71
bel,2008,87.6
bel,2009,87.37
bel,2010,91.76
bel,2011,93.32
bel,2012,94.23
bel,2013,93.95
bel,2014,90.93
bel,2015,90.02
bel,2016,88.34
bel,2017,87.45
bel,2018,80.97
bel,2019,75.19
ben,2010,2.52
ben,2011,2.87
ben,2012,3.59
ben,2013,4.49
ben,2014,4.52
ben,2015,4.6
ben,2016,4.85
ben,2017,4.89
ben,2018,4.74
ben,2019,4.94
ben,2020,4.48
bfa,2010,1.35
bfa,2011,2.22
bfa,2012,2.31
bfa,2013,2.65
bfa,2014,3.21
bfa,2015,3.46
bfa,2016,3.69
bfa,2017,3.97
bfa,2018,3.96
bfa,2019,4.36
bfa,2020,4.38
bgd,2004,0.13
bgd,2005,0.2
bgd,2006,0.35
bgd,2007,0.51
bgd,2008,0.84
bgd,2009,1.29
bgd,2010,2.11
bgd,2011,3.71
bgd,2012,4.04
bgd,2013,4.96
bgd,2014,5.77
bgd,2015,7.09
bgd,2016,8.03
bgd,2017,8.36
bgd,2018,8.92
bgd,2019,9.42
bgd,2020,10.53
bgr,2004,26.39
bgr,2005,34.45
bgr,2006,54.85
bgr,2007,67.6
bgr,2008,80.01
bgr,2009,87.82
bgr,2010,90.55
bgr,2011,93.86
bgr,2012,93.12
bgr,2013,93.74
bgr,2014,90.48
bgr,2015,91.27
bgr,2016,94.16
bgr,2017,94.67
bgr,2018,93.4
bgr,2019,94.33
bgr,2020,91.36
bhs,2004,66.02
bhs,2005,67.66
bhs,2006,66.98
bhs,2007,69.25
bhs,2008,70.22
bhs,2009,71.54
bhs,2010,70.9
bhs,2011,82.01
bhs,2012,80.48
bhs,2013,112.87
bhs,2014,119.46
bhs,2015,121.3
bhs,2016,138.78
bhs,2017,122.95
bhs,2018,127.79
bhs,2019,126.85
bhs,2020,123.58
bih,2006,15.76
bih,2007,20.9
bih,2008,28.71
bih,2009,43.24
bih,2010,35.17
bih,2011,38.96
bih,2012,42.19
bih,2013,45.63
bih,2014,48.31
bih,2015,51.92
bih,2016,52.48
bih,2017,53.89
bih,2018,55.84
bih,2019,58.24
bih,2020,58.02
blr,2004,10.86
blr,2005,15.4
blr,2006,18.95
blr,2007,25.67
blr,2008,30.25
blr,2009,33.37
blr,2010,37.92
blr,2011,41.23
blr,2012,46.17
blr,2013,51.18
blr,2014,54.77
blr,2015,55.55
blr,2016,55.29
blr,2017,55.67
blr,2018,53.89
blr,2019,54.96
blr,2020,55.86
blz,2004,28.02
blz,2005,29.41
blz,2006,31.13
blz,2007,32.69
blz,2008,34.11
blz,2009,35.41
blz,2010,37.09
blz,2011,38.59
blz,2012,37.76
blz,2013,40.02
blz,2014,40.44
blz,2015,39.99
blz,2016,39.64
blz,2017,38.51
blz,2018,44.56
blz,2019,39.72
blz,2020,45.82
bol,2007,13.11
bol,2008,14.26
bol,2009,16.69
bol,2010,19.79
bol,2011,24.19
bol,2012,27.54
bol,2013,31.1
bol,2014,34.3
bol,2015,37.77
bol,2016,39.7
bol,2017,39.66
bol,2018,40.38
bol,2019,42.04
bol,2020,42.31
bra,2004,105.07
bra,2005,108.58
bra,2006,107.16
bra,2007,109.34
bra,2008,111.84
bra,2009,114.39
bra,2010,118.06
bra,2011,116.31
bra,2012,115.36
bra,2013,118.44
bra,2014,117.93
bra,2015,114.97
bra,2016,112.1
bra,2017,107.87
bra,2018,106.55
bra,2019,102.74
bra,2020,96.56
brb,2006,30.33
brb,2007,31.92
brb,2008,36.63
brb,2009,36.85
brb,2010,36.66
brb,2011,32.47
brb,2012,36.21
brb,2013,36.87
brb,2014,42.7
brb,2015,36.46
brb,2016,23.45
brb,2017,26.3
brb,2018,26.17
brb,2019,28.98
brb,2020,28.01
brn,2004,34.96
brn,2005,43.26
brn,2006,46.57
brn,2007,58.89
brn,2008,71.52
brn,2009,82.33
brn,2010,82.02
brn,2011,80.77
brn,2012,92.69
brn,2013,82.86
brn,2014,81.75
brn,2015,79.69
brn,2016,76.36
brn,2017,69.59
brn,2018,74.5
brn,2019,73.96
btn,2004,0.49
btn,2005,0.47
btn,2006,0.46
btn,2007,2.26
btn,2008,3.32
btn,2009,4.33
btn,2010,8.9
btn,2011,14.91
btn,2012,8.29
btn,2013,21.15
btn,2014,23.77
btn,2015,28.76
btn,2016,34.83
btn,2017,39.45
btn,2018,43.93
btn,2019,48.09
bwa,2004,15.62
bwa,2005,16.72
bwa,2006,19.81
bwa,2007,33.17
bwa,2008,29.95
bwa,2009,28.6
bwa,2010,30.26
bwa,2011,27.96
bwa,2012,27.56
bwa,2013,29.05
bwa,2014,30.32
bwa,2015,33.98
bwa,2016,33.76
bwa,2017,35.42
bwa,2018,44.51
bwa,2019,45.02
bwa,2020,47
caf,2004,0
caf,2005,0
caf,2006,0
caf,2007,0
caf,2008,0.13
caf,2009,0.33
caf,2010,0.69
caf,2011,0.98
caf,2012,0.98
caf,2013,1.23
caf,2014,0.69
caf,2015,0.85
caf,2016,1.16
caf,2017,1.38
can,2004,185.08
can,2005,198.36
can,2006,206.5
can,2007,212.01
can,2008,217.78
can,2009,216.26
can,2010,218.22
can,2011,207.65
can,2012,203.39
can,2013,221.01
can,2014,221.85
can,2015,221.49
can,2016,223.89
can,2017,228.42
can,2018,219.96
can,2019,214.12
can,2020,210.23
che,2004,87.37
che,2005,89.18
che,2006,91.26
che,2007,93.21
che,2008,94.15
che,2009,94.91
che,2010,95.99
che,2011,98.96
che,2012,99.28
che,2013,98.96
che,2014,97.64
che,2015,98.71
che,2016,98.42
che,2017,97.93
che,2018,99.2
che,2019,97.15
che,2020,93.96
chl,2004,33.41
chl,2005,39.47
chl,2006,43.45
chl,2007,48.95
chl,2008,54.87
chl,2009,57.81
chl,2010,61.68
chl,2011,64.64
chl,2012,67.54
chl,2013,63.87
chl,2014,56.63
chl,2015,55.88
chl,2016,53.23
chl,2017,51.6
chl,2018,49.69
chl,2019,49.62
chl,2020,49.47
chn,2006,9.62
chn,2007,12
chn,2008,15.62
chn,2009,19.89
chn,2010,24.91
chn,2011,30.47
chn,2012,37.69
chn,2013,46.86
chn,2014,55.05
chn,2015,77.13
chn,2016,81.74
chn,2017,84.43
chn,2018,97.12
chn,2019,95.55
chn,2020,87.88
civ,2010,3.69
civ,2011,4.46
civ,2012,4.32
civ,2013,5.57
civ,2014,6.61
civ,2015,6.75
civ,2016,6.8
civ,2017,7.1
civ,2018,6.9
civ,2019,6
civ,2020,7.3
cmr,2004,0.32
cmr,2005,0.6
cmr,2006,0.69
cmr,2007,0.89
cmr,2008,1.21
cmr,2009,1.54
cmr,2010,1.8
cmr,2011,2.34
cmr,2012,2.58
cmr,2013,3.16
cmr,2014,3.58
cmr,2015,3.94
cmr,2016,4.29
cmr,2017,4.37
cmr,2018,4.81
cmr,2019,4.61
cmr,2020,5.04
cod,2009,0.1
cod,2010,0.41
cod,2011,0.49
cod,2012,0.65
cod,2013,0.72
cod,2014,1.11
cod,2015,1.31
cod,2016,1.2
cod,2017,1.35
cod,2018,1.4
cog,2004,0.49
cog,2005,0.52
cog,2006,0.6
cog,2007,0.66
cog,2008,1.11
cog,2009,1.37
cog,2010,1.92
cog,2011,2.39
cog,2012,2.79
cog,2013,3.66
cog,2014,6.46
cog,2015,7.73
cog,2016,9.01
cog,2017,9.5
col,2007,25.31
col,2008,27.23
col,2009,28.67
col,2010,34.95
col,2011,32.51
col,2012,36.05
col,2013,39.52
col,2014,40.97
col,2015,41.31
col,2016,41.61
col,2017,42.02
col,2018,42.34
col,2019,42.43
col,2020,41.15
com,2004,0.58
com,2005,0.57
com,2006,0.55
com,2007,1.07
com,2008,1.04
com,2009,1.52
com,2010,1.97
com,2011,6.94
com,2012,5.59
com,2013,5.9
com,2014,5.08
com,2015,4.94
com,2016,5.03
com,2017,5.1
com,2018,4.97
com,2019,5.23
com,2020,6.22
cpv,2004,13.24
cpv,2005,15.24
cpv,2006,20.16
cpv,2007,27.7
cpv,2008,34.48
cpv,2009,37.53
cpv,2010,42.28
cpv,2011,44.24
cpv,2012,46.49
cpv,2013,45.92
cpv,2014,47.33
cpv,2015,45.97
cpv,2016,45.72
cpv,2017,47.03
cpv,2018,49.32
cpv,2019,52.07
cpv,2020,49.77
cri,2004,25.47
cri,2005,28.04
cri,2006,31
cri,2007,35.56
cri,2008,37.91
cri,2009,41.49
cri,2010,43.26
cri,2011,51.78
cri,2012,53.7
cri,2013,71.38
cri,2014,78.8
cri,2015,60.6
cri,2016,63.26
cri,2017,64.25
cri,2018,74.34
cri,2019,70.51
cri,2020,66.82
cyp,2004,55.42
cyp,2005,57.17
cyp,2006,64.46
cyp,2007,63.48
cyp,2008,66.19
cyp,2009,69.86
cyp,2010,71.76
cyp,2011,69.93
cyp,2012,63.89
cyp,2013,52.9
cyp,2014,53.35
cyp,2015,51.2
cyp,2016,50.06
cyp,2017,48.52
cyp,2018,42.14
cyp,2019,40.77
cyp,2020,40.71
cze,2004,31.73
cze,2005,34.51
cze,2006,37.53
cze,2007,38.1
cze,2008,38.27
cze,2009,39.89
cze,2010,41.66
cze,2011,43.79
cze,2012,45.7
cze,2013,49.05
cze,2014,49.59
cze,2015,50.86
cze,2016,52.64
cze,2017,55.64
cze,2018,57.1
cze,2019,57.98
cze,2020,57.17
deu,2007,107.06
deu,2008,109.88
deu,2009,112.32
deu,2010,116.69
deu,2011,121.13
deu,2012,118.65
deu,2013,118.41
deu,2014,123.51
deu,2015,122.3
deu,2016,131.14
deu,2017,129.53
deu,2019,129.95
dji,2004,0.84
dji,2005,0.82
dji,2006,0.99
dji,2007,0.96
dji,2008,1.12
dji,2009,2.18
dji,2010,2.82
dji,2011,3.1
dji,2012,4.04
dji,2013,5.11
dji,2014,6.93
dji,2015,8.35
dji,2016,9.58
dji,2017,12.1
dji,2018,13.18
dji,2019,12.33
dji,2020,16.23
dma,2004,19.97
dma,2005,21.7
dma,2006,21.65
dma,2007,18.01
dma,2008,21.57
dma,2009,35.87
dma,2010,30.4
dma,2011,46.31
dma,2012,46.1
dma,2013,49.4
dma,2014,47.39
dma,2015,41.91
dma,2016,39.95
dma,2017,36.28
dma,2018,36.19
dma,2019,34.28
dma,2020,34.28
dnk,2004,67.02
dnk,2005,68.14
dnk,2006,69.89
dnk,2007,70.39
dnk,2008,68.73
dnk,2009,65.18
dnk,2010,63.14
dnk,2011,61.05
dnk,2012,58.71
dnk,2013,56.13
dnk,2014,53.99
dnk,2015,51.82
dnk,2016,49.65
dnk,2017,49.17
dnk,2018,46.82
dnk,2019,44.81
dnk,2020,42.56
dom,2004,19.27
dom,2005,24.3
dom,2006,24.74
dom,2007,26.47
dom,2008,26.99
dom,2009,27.84
dom,2010,28.73
dom,2011,30.26
dom,2012,31.48
dom,2013,33.32
dom,2014,34.22
dom,2015,36.58
dom,2016,38.33
dom,2017,39.37
dom,2018,36.88
dom,2019,40.73
dom,2020,40.4
dza,2004,1.27
dza,2005,1.5
dza,2006,2.39
dza,2007,3.72
dza,2008,4.2
dza,2009,5.33
dza,2010,5.92
dza,2011,6.1
dza,2012,6.21
dza,2013,6.51
dza,2014,7.61
dza,2015,8.35
dza,2016,8.57
dza,2017,9.13
dza,2018,9.54
dza,2019,9.64
dza,2020,8.9
ecu,2004,8.19
ecu,2005,8.06
ecu,2006,13.61
ecu,2007,34.83
ecu,2008,34.13
ecu,2009,43.21
ecu,2010,44.67
ecu,2011,26.21
ecu,2012,27.53
ecu,2013,29.08
ecu,2014,32.21
ecu,2015,33.61
ecu,2016,34.01
ecu,2017,33.56
ecu,2018,34.93
ecu,2019,36.84
ecu,2020,0
egy,2004,2.65
egy,2005,3.34
egy,2006,4.44
egy,2007,5.42
egy,2008,6.48
egy,2009,7.69
egy,2010,8.64
egy,2011,9.22
egy,2012,10.32
egy,2013,10.94
egy,2014,12.06
egy,2015,13.7
egy,2016,15.69
egy,2017,17.71
egy,2018,18.72
egy,2019,20.07
egy,2020,22.06
esp,2004,145.72
esp,2005,148.55
esp,2006,152.09
esp,2007,157.56
esp,2008,156.71
esp,2009,152.1
esp,2010,149.44
esp,2011,147.23
esp,2012,136.14
esp,2013,130.73
esp,2014,118.66
esp,2015,116.78
esp,2016,113.04
esp,2017,111.8
esp,2018,108.5
esp,2019,106.18
esp,2020,103.4
est,2004,67.66
est,2005,73.17
est,2006,80.2
est,2007,87.67
est,2008,89.49
est,2009,88.69
est,2010,88.67
est,2011,87.83
est,2012,83.59
est,2013,79.57
est,2014,76.71
est,2015,72.61
est,2016,69.96
est,2017,67.77
est,2018,67.92
est,2019,65.68
est,2020,64.6
eth,2004,0.02
eth,2005,0.02
eth,2006,0.03
eth,2007,0.04
eth,2008,0.07
eth,2009,0.1
eth,2010,0.3
eth,2011,0.32
eth,2012,0.46
fin,2006,38.27
fin,2007,37.78
fin,2008,37.38
fin,2009,37.15
fin,2010,36.83
fin,2011,36.47
fin,2012,35.73
fin,2013,36.35
fin,2014,35.86
fin,2015,33.75
fin,2016,31.69
fin,2017,32.47
fin,2018,34.72
fin,2019,37.76
fin,2020,37.33
fji,2004,19.06
fji,2005,19.45
fji,2006,21.16
fji,2007,22.58
fji,2008,25.92
fji,2009,27.19
fji,2010,33.09
fji,2011,36.56
fji,2012,37.03
fji,2013,42.33
fji,2014,46.04
fji,2015,47.92
fji,2016,53.19
fji,2017,52.65
fji,2018,54.28
fji,2019,53.87
fji,2020,52.96
fra,2004,85.61
fra,2005,92.88
fra,2006,92.19
fra,2007,99.97
fra,2008,101.63
fra,2009,104.14
fra,2010,106.1
fra,2011,109.21
fra,2012,109.37
fra,2013,108.95
fra,2014,108.22
fra,2015,107.23
fra,2016,104.74
fra,2017,102.19
fra,2018,98.09
fra,2019,96.24
fra,2020,93.52
fsm,2004,3.09
fsm,2005,3.08
fsm,2006,3.07
fsm,2007,3.06
fsm,2008,3.06
fsm,2009,3.05
fsm,2010,9.06
fsm,2011,8.94
fsm,2012,14.6
fsm,2013,14.27
fsm,2014,13.95
fsm,2015,13.67
fsm,2016,13.41
fsm,2017,13.19
fsm,2018,13
fsm,2019,12.82
fsm,2020,12.64
gab,2005,5.45
gab,2006,5.83
gab,2007,6.29
gab,2008,6.48
gab,2009,7.47
gab,2010,8.96
gab,2011,10.19
gab,2012,11.76
gab,2013,12.85
gbr,2005,117.65
gbr,2006,120.94
gbr,2007,125.8
gbr,2008,125.56
gbr,2009,121.15
gbr,2010,121.92
gbr,2011,123.42
gbr,2012,125.92
gbr,2013,128.51
gbr,2014,129.51
gbr,2015,131.29
gbr,2016,129.5
gbr,2017,127.94
gbr,2018,115.44
gbr,2019,110.28
gbr,2020,98.63
geo,2004,2.15
geo,2005,5.85
geo,2006,13.84
geo,2007,26.55
geo,2008,42.31
geo,2009,43.65
geo,2010,48.28
geo,2011,50.96
geo,2012,63.42
geo,2013,68.11
geo,2014,71.02
geo,2015,70.13
geo,2016,74.42
geo,2017,76.03
geo,2018,77.62
geo,2019,85.08
geo,2020,90.89
gha,2008,3.79
gha,2009,3.83
gha,2010,3.87
gha,2011,4
gha,2012,5.36
gha,2013,7.94
gha,2014,7.98
gha,2015,9.99
gha,2016,10.92
gha,2017,11.29
gha,2018,11.51
gha,2019,11.14
gha,2020,11.45
gin,2004,0.08
gin,2005,0.25
gin,2006,0.26
gin,2007,0.33
gin,2008,0.46
gin,2009,0.56
gin,2010,0.77
gin,2011,1.01
gin,2012,1.23
gin,2013,1.5
gin,2014,1.87
gin,2015,2.29
gin,2016,2.46
gin,2017,2.45
gin,2018,2.5
gin,2019,2.53
gin,2020,2.54
gmb,2005,0.6
gmb,2006,0.58
gmb,2007,0.9
gmb,2008,1.42
gmb,2009,3.05
gmb,2010,3.25
gmb,2011,3.94
gmb,2012,5.05
gmb,2013,5.35
gmb,2014,5.62
gmb,2015,5.7
gmb,2016,7.62
gmb,2017,8.85
gmb,2018,7.55
gmb,2019,8.16
gmb,2020,8.64
gnb,2010,1.5
gnb,2011,1.46
gnb,2012,2.08
gnb,2013,4.04
gnb,2014,4.34
gnb,2015,4.22
gnb,2016,4.98
gnb,2017,4.85
gnb,2018,4.72
gnb,2019,5.58
gnb,2020,6.12
gnq,2004,0
gnq,2005,0
gnq,2006,0
gnq,2007,0.8
gnq,2008,2.47
gnq,2009,2.35
gnq,2010,2.93
gnq,2011,5.42
gnq,2012,6.11
gnq,2013,5.24
gnq,2014,5.44
gnq,2015,7.4
gnq,2016,9.21
gnq,2017,10.23
gnq,2018,10.45
gnq,2019,10.88
gnq,2020,12.63
grc,2005,66.55
grc,2006,70.99
grc,2007,76.69
grc,2008,80.43
grc,2009,80.24
grc,2010,78.61
grc,2011,74.79
grc,2012,73.01
grc,2013,62.2
grc,2014,59.46
grc,2015,58.68
grc,2016,59.28
grc,2017,61.56
grc,2018,62.28
grc,2019,63.37
grc,2020,63.88
grd,2004,33.71
grd,2005,35.89
grd,2006,36.69
grd,2007,40.09
grd,2008,43.38
grd,2009,45.27
grd,2010,48.29
grd,2011,46.71
grd,2012,36.52
grd,2013,44.61
grd,2014,31.09
grd,2015,39.23
grd,2016,42.53
grd,2017,41.19
grd,2018,43.43
grd,2019,44.48
grd,2020,41.97
gtm,2011,27.02
gtm,2012,30.82
gtm,2013,33.17
gtm,2014,35.26
gtm,2015,36.07
gtm,2016,37.55
gtm,2017,37.91
gtm,2018,36.84
gtm,2019,36.93
gtm,2020,36.09
guy,2004,10.33
guy,2005,11.15
guy,2006,12.06
guy,2007,13.14
guy,2008,13.77
guy,2009,13.97
guy,2010,14.57
guy,2011,15.15
guy,2012,16.09
guy,2013,15.88
guy,2014,16.24
guy,2015,16.78
guy,2016,18.98
guy,2017,20.23
guy,2018,20.74
guy,2019,20.92
guy,2020,20.76
hkg,2004,39.8
hkg,2005,41.13
hkg,2006,42.27
hkg,2007,41.65
hkg,2008,42.82
hkg,2009,44.16
hkg,2010,46.88
hkg,2011,49.62
hkg,2012,48.91
hkg,2013,50.15
hkg,2014,49.76
hkg,2015,49.41
hkg,2016,50.65
hkg,2017,50.43
hkg,2018,51.8
hkg,2019,53.18
hkg,2020,52.04
hnd,2004,4.38
hnd,2005,5.87
hnd,2006,7.58
hnd,2007,10.47
hnd,2008,13.27
hnd,2009,15.64
hnd,2010,16.28
hnd,2011,21.37
hnd,2012,21.82
hnd,2013,22.88
hnd,2014,22.63
hnd,2015,23.25
hnd,2016,23.81
hnd,2017,23.72
hnd,2018,24.3
hnd,2019,25.4
hnd,2020,24.87
hrv,2005,63.52
hrv,2006,72.45
hrv,2007,82.13
hrv,2008,91.74
hrv,2009,99.01
hrv,2010,104.46
hrv,2011,109.79
hrv,2012,112.87
hrv,2013,113.9
hrv,2014,116.77
hrv,2015,122.98
hrv,2016,127.41
hrv,2017,140.01
hrv,2018,147.31
hrv,2019,156.8
hrv,2020,141.56
hti,2014,1.09
hti,2015,1.3
hti,2016,2.03
hti,2017,2.26
hti,2018,2.11
hti,2019,3.81
hun,2004,38.72
hun,2005,41.43
hun,2006,44.75
hun,2007,50.34
hun,2008,54.28
hun,2009,55.73
hun,2010,56.69
hun,2011,57.7
hun,2012,56.48
hun,2013,57.12
hun,2014,57.83
hun,2015,57.25
hun,2016,59.44
hun,2017,60.93
hun,2018,60.56
hun,2019,60.94
hun,2020,59.96
idn,2004,8.56
idn,2005,9.32
idn,2006,10.49
idn,2007,11.46
idn,2008,13.11
idn,2009,14.12
idn,2010,13.04
idn,2011,16.45
idn,2012,35.73
idn,2013,42.02
idn,2014,49.21
idn,2015,52.97
idn,2016,54.34
idn,2017,55.14
idn,2018,54.37
idn,2019,53.41
idn,2020,51.66
ind,2005,2.29
ind,2006,2.73
ind,2007,3.37
ind,2008,4.27
ind,2009,5.29
ind,2010,7.24
ind,2011,8.82
ind,2012,10.95
ind,2013,12.82
ind,2014,17.73
ind,2015,19.64
ind,2016,21.17
ind,2017,22
ind,2018,21.65
ind,2019,20.95
ind,2020,21.5
irl,2004,90.36
irl,2005,88.68
irl,2006,89.62
irl,2007,92.5
irl,2008,95.4
irl,2009,94.39
irl,2010,90.39
irl,2011,88.31
irl,2012,84.59
irl,2013,84.67
irl,2014,98.75
irl,2015,92.06
irl,2016,90.65
irl,2017,89.58
irl,2018,78.79
irl,2019,73.41
irl,2020,59.91
irn,2005,4.49
irn,2006,8.54
irn,2007,14.02
irn,2008,18.27
irn,2009,23.48
irn,2010,30.58
irn,2011,36.27
irn,2012,46.19
irn,2013,51.69
irn,2014,57.18
irn,2015,67.57
irn,2016,72.67
irn,2017,77.52
irn,2018,88.65
irq,2008,0.7
irq,2009,1.2
irq,2010,2.22
irq,2011,2.17
irq,2012,2.17
irq,2013,1.08
irq,2014,1.61
irq,2015,1.86
irq,2016,2.38
irq,2017,2.85
irq,2018,3.65
irq,2019,4.16
irq,2020,5.35
isl,2004,105.9
isl,2005,111.29
isl,2006,106.25
isl,2007,106.48
isl,2008,101.71
isl,2009,79.14
isl,2010,81.38
isl,2011,75.94
isl,2012,73.87
isl,2013,76.18
isl,2014,78.69
isl,2015,73.59
isl,2016,88.85
isl,2017,88.81
isl,2018,86.29
isl,2019,78.01
isl,2020,59.61
isr,2004,68.76
isr,2005,58.14
isr,2006,76.89
isr,2007,81.52
isr,2008,87.46
isr,2009,101.24
isr,2010,120.92
isr,2011,122.48
isr,2012,122.8
isr,2013,123.05
isr,2014,123.07
isr,2015,101.52
isr,2016,111.05
isr,2017,121.38
isr,2018,128.38
isr,2019,133.15
isr,2020,133.3
ita,2004,74.27
ita,2005,75.44
ita,2006,80.02
ita,2007,87.41
ita,2008,99.26
ita,2009,106.98
ita,2010,100.01
ita,2011,101.61
ita,2012,99.33
ita,2013,92.45
ita,2014,92.45
ita,2015,96.25
ita,2016,94.09
ita,2017,92.38
ita,2018,91.04
ita,2019,91.03
ita,2020,90.31
jam,2004,17.6
jam,2005,19.27
jam,2006,21.43
jam,2007,21.5
jam,2008,22.77
jam,2009,24.28
jam,2010,25.01
jam,2011,26.28
jam,2012,26.84
jam,2013,27.49
jam,2014,30.05
jam,2015,30.69
jam,2016,32.05
jam,2017,33.57
jam,2018,34.32
jam,2019,36.02
jam,2020,39.7
jor,2007,20.71
jor,2008,22.67
jor,2009,23.42
jor,2010,24.65
jor,2011,24.92
jor,2012,24.84
jor,2013,24.9
jor,2014,25.13
jor,2015,24.12
jor,2016,26.71
jor,2017,27.5
jor,2018,29.41
jor,2019,26.13
jor,2020,30.56
jpn,2004,124.37
jpn,2005,123.9
jpn,2006,124.12
jpn,2007,125.13
jpn,2008,125.45
jpn,2009,132.81
jpn,2010,130.93
jpn,2011,128.58
jpn,2012,127.91
jpn,2013,128.32
jpn,2014,127.52
jpn,2015,127.65
jpn,2016,127.77
jpn,2017,127.66
jpn,2018,127.38
jpn,2019,124.12
jpn,2020,121.71
kaz,2004,9.97
kaz,2005,14.79
kaz,2006,19.55
kaz,2007,37.12
kaz,2008,51.97
kaz,2009,56.87
kaz,2010,61.35
kaz,2011,64.8
kaz,2012,68.57
kaz,2013,70.55
kaz,2014,72
kaz,2015,71.12
kaz,2016,73.92
kaz,2017,74.59
kaz,2018,84.26
kaz,2019,85.94
kaz,2020,95.78
ken,2004,1.61
ken,2005,1.58
ken,2006,2.92
ken,2007,4.65
ken,2008,5.92
ken,2009,7.18
ken,2010,8.8
ken,2011,8.99
ken,2012,9.39
ken,2013,9.49
ken,2014,9.64
ken,2015,9.69
ken,2016,9.16
ken,2017,9.43
ken,2018,9.15
ken,2019,7.69
ken,2020,7.3
kgz,2004,0.6
kgz,2005,0.95
kgz,2006,1.19
kgz,2007,2.36
kgz,2008,4.67
kgz,2009,8.34
kgz,2010,7.33
kgz,2011,11.93
kgz,2012,15.62
kgz,2013,20.65
kgz,2014,24.83
kgz,2015,30.29
kgz,2016,31.41
kgz,2017,33.61
kgz,2018,37.01
kgz,2019,39.29
kgz,2020,41.81
khm,2005,0.01
khm,2006,0.74
khm,2007,1.34
khm,2008,3.72
