geo,time,is_shp_gcnw_xq
col,2014,39.33198
col,2015,48.72589
col,2016,47.94001
col,2017,47.32195
col,2018,45.73174
col,2019,48.60314
col,2020,49.36579
com,2006,4.98712
com,2007,4.74993
com,2008,1.50913
com,2009,5.10965
com,2010,6.28878
com,2011,6.17293
com,2012,6.19549
com,2013,5.98577
com,2014,6.21916
com,2015,6.22928
com,2016,5.68566
com,2017,5.17227
com,2018,5.31612
com,2019,5.92589
com,2020,6.1296
cpv,2006,5.19302
cpv,2007,4.0696
cpv,2008,6.24989
cpv,2009,4.96821
cpv,2010,4.84305
cpv,2011,5.80113
cpv,2012,5.39714
cpv,2013,4.18344
cpv,2014,4.50106
cpv,2015,5.0581
cpv,2016,4.82865
cpv,2017,5.99373
cpv,2018,5.89507
cpv,2019,5.81777
cpv,2020,4.2315
cri,2006,17.92201
cri,2007,16.45286
cri,2008,17.21199
cri,2009,16.85506
cri,2010,20.04632
cri,2011,17.12909
cri,2012,18.5065
cri,2013,18.47929
cri,2014,19.59431
cri,2015,17.78391
cri,2016,18.62744
cri,2017,17.58449
cri,2018,18.35562
cri,2019,24.29014
cri,2020,24.55057
cub,2006,7.65342
cub,2007,7.90429
cub,2008,7.77701
cub,2009,7.66092
cub,2010,8.09829
cub,2011,10.0784
cub,2012,9.39341
cub,2013,9.24426
cub,2014,8.38318
cub,2015,8.26884
cub,2016,10.4442
cub,2017,9.64402
cub,2018,9.45087
cub,2019,8.25779
cub,2020,8.50531
cym,2006,2.28299
cym,2007,2.28143
cym,2008,1.74303
cym,2009,2.16326
cym,2010,1.74303
cym,2011,2.27114
cym,2012,2.0088
cym,2013,2.0088
cym,2014,2.0088
cym,2015,1.59794
cym,2016,1.65477
cym,2017,1.65477
cym,2018,1.47381
cym,2019,1.88491
cym,2020,2.04034
cyp,2006,16.5241
cyp,2007,17.82128
cyp,2008,12.29363
cyp,2009,16.11723
cyp,2010,18.06247
cyp,2011,15.51226
cyp,2012,16.59959
cyp,2013,15.88383
cyp,2014,16.68889
cyp,2015,18.22039
cyp,2016,19.62741
cyp,2017,17.37296
cyp,2018,17.85761
cyp,2019,18.55183
cyp,2020,17.93827
deu,2006,79.45675
deu,2007,82.34786
deu,2008,82.65142
deu,2009,79.00593
