geo,time,sh_h2o_smdw_ru_zs
civ,2018,14.82093
civ,2019,14.69877
civ,2020,14.57659
cod,2000,0.48771
cod,2001,0.50895
cod,2002,0.53063
cod,2003,0.55277
cod,2004,0.57536
cod,2005,0.59841
cod,2006,0.6219
cod,2007,0.64584
cod,2008,0.67024
cod,2009,0.69509
cod,2010,0.72039
cod,2011,0.74614
cod,2012,0.77235
cod,2013,0.799
cod,2014,0.82611
cod,2015,0.85366
cod,2016,0.88167
cod,2017,0.91014
cod,2018,0.93905
cod,2019,0.96841
cod,2020,0.99823
cog,2000,6.94979
cog,2001,6.94979
cog,2002,6.94979
cog,2003,6.94979
cog,2004,7.66039
cog,2005,8.39472
cog,2006,9.15279
cog,2007,9.93459
cog,2008,10.74013
cog,2009,11.56941
cog,2010,12.42242
cog,2011,13.29917
cog,2012,14.19966
cog,2013,15.12388
cog,2014,16.07184
cog,2015,17.04354
cog,2016,18.03897
cog,2017,19.05814
cog,2018,19.05814
cog,2019,19.05814
cog,2020,19.05814
col,2000,33.70463
col,2001,34.02967
col,2002,34.35471
col,2003,34.67976
col,2004,35.0048
col,2005,35.32984
col,2006,35.65488
col,2007,35.97992
col,2008,36.30497
col,2009,36.63001
col,2010,36.95505
col,2011,37.28009
col,2012,37.60513
col,2013,37.93018
col,2014,38.25522
col,2015,38.58026
col,2016,38.9053
col,2017,39.23034
col,2018,39.55539
col,2019,39.88043
col,2020,40.20547
cri,2000,71.17762
cri,2001,71.76022
cri,2002,72.34282
cri,2003,72.92542
cri,2004,73.50802
cri,2005,74.09062
cri,2006,74.67322
cri,2007,75.25582
cri,2008,75.83842
cri,2009,76.42102
cri,2010,77.00362
cri,2011,77.58622
cri,2012,78.16882
cri,2013,78.75142
cri,2014,79.33402
cri,2015,79.91662
cri,2016,80.49922
cri,2017,81.05455
cri,2018,81.05455
cri,2019,81.05455
cri,2020,81.05455
cze,2000,93.69603
cze,2001,93.69603
cze,2002,94.00047
cze,2003,94.305
cze,2004,94.60962
cze,2005,94.91434
cze,2006,95.21916
cze,2007,95.52406
cze,2008,95.82906
cze,2009,96.13416
cze,2010,96.43934
cze,2011,96.74462
cze,2012,97.05
cze,2013,97.35547
cze,2014,97.66103
cze,2015,97.66103
cze,2016,97.66103
cze,2017,97.66103
cze,2018,97.66103
cze,2019,97.66103
cze,2020,97.66103
dza,2000,51.99715
dza,2001,52.88813
dza,2002,53.78448
dza,2003,54.68619
dza,2004,55.59327
dza,2005,56.50571
dza,2006,57.42352
dza,2007,58.34669
dza,2008,59.27523
dza,2009,60.20913
dza,2010,61.1484
dza,2011,62.09303
dza,2012,63.04303
dza,2013,63.99839
dza,2014,64.95912
dza,2015,65.92521
