geo,time,ic_lgl_durs
caf,2003,660
caf,2004,660
caf,2005,660
caf,2006,660
caf,2007,660
caf,2008,660
caf,2009,660
caf,2010,660
caf,2011,660
caf,2012,660
caf,2013,660
caf,2014,660
caf,2015,660
caf,2016,660
caf,2017,660
caf,2018,660
caf,2019,660
can,2003,570
can,2004,570
can,2005,570
can,2006,570
can,2007,570
can,2008,570
can,2009,570
can,2010,570
can,2011,570
can,2012,570
can,2013,570
can,2014,680
can,2015,830
can,2016,910
can,2017,910
can,2018,910
can,2019,910
che,2003,535
che,2004,535
che,2005,535
che,2006,535
che,2007,535
che,2008,535
che,2009,535
che,2010,535
che,2011,508
che,2012,508
che,2013,598
che,2014,598
che,2015,598
che,2016,598
che,2017,598
che,2018,598
che,2019,598
chl,2003,521
chl,2004,521
chl,2005,521
chl,2006,521
chl,2007,521
chl,2008,521
chl,2009,521
chl,2010,521
chl,2011,521
chl,2012,521
chl,2013,521
chl,2014,521
chl,2015,521
chl,2016,521
chl,2017,521
chl,2018,521
chl,2019,519
chn,2013,496.25
chn,2014,496.25
chn,2015,496.25
chn,2016,496.25
chn,2017,496.25
chn,2018,496.25
chn,2019,496.25
civ,2003,770
civ,2004,770
civ,2005,770
civ,2006,770
civ,2007,770
civ,2008,770
civ,2009,770
civ,2010,770
civ,2011,770
civ,2012,770
civ,2013,585
civ,2014,525
civ,2015,525
civ,2016,525
civ,2017,525
civ,2018,525
civ,2019,525
cmr,2003,800
cmr,2004,800
cmr,2005,800
cmr,2006,800
cmr,2007,800
cmr,2008,800
cmr,2009,800
cmr,2010,800
cmr,2011,800
cmr,2012,800
cmr,2013,800
cmr,2014,800
cmr,2015,800
cmr,2016,800
cmr,2017,800
cmr,2018,800
cmr,2019,800
cod,2003,670
cod,2004,670
cod,2005,670
cod,2006,670
cod,2007,670
cod,2008,630
cod,2009,610
cod,2010,610
cod,2011,610
cod,2012,610
cod,2013,610
cod,2014,610
cod,2015,610
cod,2016,610
cod,2017,610
cod,2018,610
cod,2019,610
cog,2003,560
cog,2004,560
cog,2005,560
cog,2006,560
cog,2007,560
cog,2008,560
cog,2009,560
cog,2010,560
cog,2011,560
cog,2012,560
cog,2013,560
cog,2014,560
cog,2015,560
cog,2016,560
cog,2017,560
cog,2018,560
cog,2019,560
col,2003,1510
col,2004,1346
col,2005,1346
col,2006,1346
col,2007,1346
col,2008,1346
col,2009,1346
col,2010,1346
col,2011,1346
col,2012,1346
col,2013,1288
col,2014,1288
col,2015,1288
col,2016,1288
col,2017,1288
col,2018,1288
col,2019,1288
com,2005,506
com,2006,506
com,2007,506
com,2008,506
com,2009,506
com,2010,506
com,2011,506
com,2012,506
com,2013,506
com,2014,506
com,2015,506
com,2016,506
com,2017,506
com,2018,506
com,2019,506
cpv,2005,425
cpv,2006,425
cpv,2007,425
cpv,2008,425
cpv,2009,425
cpv,2010,425
cpv,2011,425
cpv,2012,425
cpv,2013,425
cpv,2014,425
cpv,2015,425
cpv,2016,425
cpv,2017,425
cpv,2018,425
cpv,2019,425
cri,2003,877
cri,2004,877
cri,2005,877
cri,2006,877
cri,2007,877
cri,2008,877
cri,2009,852
cri,2010,852
cri,2011,852
cri,2012,852
cri,2013,852
cri,2014,852
cri,2015,852
cri,2016,852
cri,2017,852
cri,2018,852
cri,2019,852
cyp,2008,735
cyp,2009,735
cyp,2010,735
cyp,2011,735
cyp,2012,735
cyp,2013,735
cyp,2014,1100
cyp,2015,1100
cyp,2016,1100
cyp,2017,1100
cyp,2018,1100
cyp,2019,1100
cze,2003,730
cze,2004,730
cze,2005,720
cze,2006,720
cze,2007,720
cze,2008,720
cze,2009,678
cze,2010,678
cze,2011,678
cze,2012,678
cze,2013,678
cze,2014,678
cze,2015,678
cze,2016,678
cze,2017,678
cze,2018,678
cze,2019,678
deu,2003,403
deu,2004,403
deu,2005,394
deu,2006,394
deu,2007,394
deu,2008,394
deu,2009,394
deu,2010,394
deu,2011,394
deu,2012,394
deu,2013,394
deu,2014,459
deu,2015,479
deu,2016,499
deu,2017,499
deu,2018,499
deu,2019,499
dji,2005,695
dji,2006,695
dji,2007,695
dji,2008,695
dji,2009,695
dji,2010,695
dji,2011,695
dji,2012,695
dji,2013,695
dji,2014,695
dji,2015,695
dji,2016,695
dji,2017,695
dji,2018,695
dji,2019,695
dma,2005,681
dma,2006,681
dma,2007,681
dma,2008,681
dma,2009,681
dma,2010,681
dma,2011,681
dma,2012,681
dma,2013,681
dma,2014,681
dma,2015,681
dma,2016,681
dma,2017,681
dma,2018,741
dma,2019,741
dnk,2003,380
dnk,2004,380
dnk,2005,380
dnk,2006,380
dnk,2007,380
dnk,2008,380
dnk,2009,380
dnk,2010,410
dnk,2011,410
dnk,2012,410
dnk,2013,515
dnk,2014,485
dnk,2015,485
dnk,2016,485
dnk,2017,485
dnk,2018,485
dnk,2019,485
dom,2003,580
dom,2004,580
dom,2005,580
dom,2006,460
dom,2007,460
dom,2008,460
dom,2009,460
dom,2010,460
dom,2011,460
dom,2012,590
dom,2013,590
dom,2014,590
dom,2015,590
dom,2016,590
dom,2017,590
