geo,time,en_atm_meth_kt_ce
bgr,2014,7470
bgr,2015,7380
bgr,2016,7090
bgr,2017,7030
bgr,2018,6910
bhr,1990,3170
bhr,1991,3240
bhr,1992,3310
bhr,1993,3380
bhr,1994,3500
bhr,1995,4140
bhr,1996,4790
bhr,1997,5430
bhr,1998,6080
bhr,1999,6730
bhr,2000,7380
bhr,2001,7680
bhr,2002,7990
bhr,2003,8280
bhr,2004,8580
bhr,2005,8880
bhr,2006,9430
bhr,2007,9980
bhr,2008,10520
bhr,2009,11070
bhr,2010,11620
bhr,2011,12080
bhr,2012,12540
bhr,2013,13010
bhr,2014,13470
bhr,2015,13930
bhr,2016,14240
bhr,2017,14540
bhr,2018,14850
bhs,1990,160
bhs,1991,160
bhs,1992,170
bhs,1993,170
bhs,1994,170
bhs,1995,170
bhs,1996,170
bhs,1997,180
bhs,1998,180
bhs,1999,180
bhs,2000,180
bhs,2001,180
bhs,2002,190
bhs,2003,190
bhs,2004,210
bhs,2005,200
bhs,2006,200
bhs,2007,210
bhs,2008,210
bhs,2009,210
bhs,2010,210
bhs,2011,220
bhs,2012,220
bhs,2013,230
bhs,2014,220
bhs,2015,230
bhs,2016,230
bhs,2017,230
bhs,2018,230
bih,1990,5050
bih,1991,4950
bih,1992,3250
bih,1993,2450
bih,1994,2450
bih,1995,2230
bih,1996,2510
bih,1997,2960
bih,1998,3260
bih,1999,3420
bih,2000,3580
bih,2001,3580
bih,2002,2950
bih,2003,3180
bih,2004,3360
bih,2005,3460
bih,2006,3640
bih,2007,3810
bih,2008,3900
bih,2009,4000
bih,2010,3790
bih,2011,3860
bih,2012,3780
bih,2013,3780
bih,2014,3470
bih,2015,3480
bih,2016,3460
bih,2017,3420
bih,2018,3380
blr,1990,20090
blr,1991,19660
blr,1992,17600
blr,1993,16740
blr,1994,15930
blr,1995,15120
blr,1996,14850
blr,1997,14630
blr,1998,14560
blr,1999,14400
blr,2000,13970
blr,2001,13730
blr,2002,13530
blr,2003,13620
blr,2004,14060
blr,2005,13790
blr,2006,14150
blr,2007,14560
blr,2008,15410
blr,2009,15480
blr,2010,15930
blr,2011,15610
blr,2012,15890
blr,2013,16590
blr,2014,16700
blr,2015,16980
blr,2016,16550
blr,2017,16720
blr,2018,16730
blz,1990,6120
blz,1991,6240
blz,1992,6380
blz,1993,6480
blz,1994,6610
blz,1995,5520
blz,1996,4450
blz,1997,3400
