geo,time,ag_lnd_irig_ag_zs
cze,2008,0.23563
cze,2009,0.2595
cze,2010,0.44875
cze,2011,0.47293
cze,2012,0.47337
cze,2013,0.51122
cze,2014,0.51195
cze,2015,0.51517
cze,2016,0.71674
cze,2017,0.71003
cze,2018,0.70962
deu,2006,1.3844
deu,2009,2.20893
deu,2013,2.18961
deu,2016,2.71237
dnk,2001,7.62332
dnk,2002,7.65478
dnk,2003,7.58089
dnk,2004,7.70975
dnk,2005,9.67861
dnk,2006,9.6679
dnk,2007,9.53811
dnk,2008,9.52024
dnk,2009,9.64313
dnk,2010,12.14775
dnk,2013,9.20852
dnk,2015,5.54311
dnk,2016,8.2266
dnk,2017,8.70296
dom,2001,8.90219
dom,2002,7.92127
dom,2003,7.77413
dom,2004,8.94497
dom,2005,9.93794
dom,2006,9.19321
dom,2007,8.89532
dom,2008,8.85273
dom,2009,8.96955
dom,2010,8.65665
dom,2011,8.6942
dom,2018,12.2717
dza,2003,1.80927
dza,2004,1.92733
dza,2005,2.00189
dza,2006,2.02763
dza,2007,2.19383
dza,2008,2.07151
dza,2009,2.13712
dza,2010,2.38125
dza,2011,2.38477
dza,2012,2.51924
dza,2013,2.62963
dza,2014,2.74253
dza,2015,2.93142
dza,2016,3.04764
dza,2017,3.16041
ecu,2002,8.58478
ecu,2003,9.26897
ecu,2004,9.52571
ecu,2005,10.02667
ecu,2006,10.223
ecu,2007,10.75283
ecu,2008,10.18133
ecu,2009,12.63538
ecu,2010,12.56385
ecu,2011,12.76868
ecu,2012,12.62838
ecu,2013,12.5782
ecu,2014,16.63927
ecu,2015,15.66765
ecu,2016,16.27991
ecu,2017,15.04472
ecu,2018,15.0514
esp,2001,12.62534
esp,2002,12.84884
esp,2003,12.26975
esp,2004,11.74366
esp,2005,11.70964
esp,2006,11.60312
esp,2007,11.84831
esp,2008,11.93874
esp,2009,11.46586
esp,2010,12.00218
esp,2011,12.11964
esp,2012,13.00572
esp,2013,14.18461
esp,2014,14.40289
esp,2015,13.53986
esp,2016,13.75977
esp,2017,13.93355
esp,2018,14.14542
est,2005,0.06803
est,2010,0.03162
est,2013,0.03109
est,2016,0.1994
eth,2001,0.32347
eth,2002,0.32461
eth,2003,0.38156
eth,2004,0.36706
eth,2005,0.43732
eth,2006,0.39306
eth,2007,0.51259
eth,2008,0.47626
eth,2009,0.44133
eth,2010,0.51005
eth,2011,0.45313
eth,2017,1.84002
eth,2018,2.0807
fin,2001,2.88029
fin,2002,2.86225
fin,2003,2.84951
fin,2004,2.84066
fin,2005,2.81467
fin,2010,0.65535
fin,2013,0.42063
fin,2014,0.39698
fin,2015,0.3519
fin,2016,0.35165
fra,2005,5.77195
fra,2007,5.17597
fra,2010,5.4746
fra,2013,4.94757
gbr,2003,1.33876
gbr,2005,1.22906
gbr,2007,0.78314
gbr,2010,0.38551
gbr,2013,0.28365
gbr,2018,0.41391
geo,2006,3.97141
geo,2007,4.17163
geo,2008,4.0175
gha,2005,0.07661
gha,2006,0.12458
gha,2007,0.07566
gha,2009,0.2038
gha,2010,0.20255
gha,2011,0.20238
gha,2012,0.20221
gha,2013,0.18857
gha,2014,0.24224
gin,2003,0.68545
grc,2003,15.88706
grc,2005,16.61462
grc,2006,18.64428
grc,2007,18.67664
grc,2008,18.62348
grc,2009,18.22751
grc,2010,18.3202
grc,2011,18.65873
grc,2012,18.90704
grc,2013,19.19474
grc,2014,20.23867
grc,2015,19.90644
grc,2016,19.68709
grc,2017,20.27204
grd,2008,2.85714
gtm,2003,6.16311
guy,2003,11.24237
hnd,2005,2.59143
hrv,2003,0.75251
hrv,2004,0.93537
hrv,2005,1.23865
hrv,2006,0.3252
hrv,2007,0.3827
hrv,2009,0.38473
hrv,2010,1.08712
hrv,2013,0.85497
hrv,2016,1.01552
hti,2009,5.3999
hti,2013,4.34783
hun,2003,2.54049
hun,2004,2.04502
hun,2005,1.28091
hun,2006,1.34137
hun,2007,2.0818
hun,2008,1.38238
hun,2009,1.8461
hun,2010,0.84035
hun,2011,1.89432
hun,2012,2.33795
hun,2013,2.25984
hun,2014,1.88678
hun,2015,2.36132
hun,2016,1.84968
hun,2017,1.91213
hun,2018,1.62387
idn,2002,16.0831
idn,2003,11.38101
idn,2004,14.42117
idn,2005,15.21043
ind,2001,32.20731
ind,2002,31.53301
ind,2003,30.7336
ind,2004,31.63299
ind,2005,32.86921
ind,2006,33.81655
