geo,time,dc_oda_totl_kd
che,1975,554877000
che,1976,567304000
che,1977,576515000
che,1978,602966000
che,1979,674368000
che,1980,786134000
che,1981,818990000
che,1982,837114000
che,1983,1072868000
che,1984,1033272000
che,1985,1119276000
che,1986,1108122000
che,1987,1165396000
che,1988,1255488000
che,1989,1226315000
che,1990,1338754000
che,1991,1508824000
che,1992,1912336000
che,1993,1367476000
che,1994,1548355000
che,1995,1466903000
che,1996,1449558000
che,1997,1511738000
che,1998,1492239000
che,1999,1692106000
che,2000,1696949000
che,2001,1712390000
che,2002,1639100000
che,2003,1941634000
che,2004,2126336000
che,2005,2426153000
che,2006,2225359000
che,2007,2131527000
che,2008,2314482000
che,2009,2579614000
che,2010,2464003000
che,2011,2775489000
che,2012,2941223000
che,2013,3047276000
che,2014,3330960000
che,2015,3529330000
che,2016,3699173000
cze,1993,51858000
cze,1994,58222000
cze,1998,28836000
cze,1999,27489000
cze,2000,32973000
cze,2001,50745000
cze,2002,72972000
cze,2003,123641000
cze,2004,129848000
cze,2005,150940000
cze,2006,168180000
cze,2007,162262000
cze,2008,189447000
cze,2009,174070000
cze,2010,188099000
cze,2011,191717000
cze,2012,183200000
cze,2013,173595000
cze,2014,180862000
cze,2015,199000000
cze,2016,256364000
deu,1960,2396721000
deu,1961,3613482000
deu,1962,3828304000
deu,1963,3555150000
deu,1964,4059250000
deu,1965,3907833000
deu,1966,3478214000
deu,1967,4142192000
deu,1968,4437739000
deu,1969,4358013000
deu,1970,3886176000
deu,1971,4239901000
deu,1972,4061929000
deu,1973,4350122000
deu,1974,5107579000
deu,1975,5427541000
deu,1976,5050268000
deu,1977,4841450000
deu,1978,5496276000
deu,1979,6994665000
deu,1980,6957913000
deu,1981,7400229000
deu,1982,7515713000
deu,1983,7719259000
deu,1984,7387110000
deu,1985,7908127000
deu,1986,7359335000
deu,1987,6856780000
deu,1988,7111851000
deu,1989,7780460000
deu,1990,8274979000
deu,1991,9087828000
deu,1992,8946211000
deu,1993,8338209000
deu,1994,7854925000
deu,1995,7504855000
deu,1996,7912950000
deu,1997,7007759000
deu,1998,6734644000
deu,1999,6922101000
deu,2000,7331212000
deu,2001,7389415000
deu,2002,7393454000
deu,2003,7763891000
deu,2004,7756381000
deu,2005,10311472000
deu,2006,10534672000
deu,2007,11187687000
deu,2008,11978261000
deu,2009,10533961000
deu,2010,11817097000
deu,2011,12086286000
deu,2012,11822864000
deu,2013,12342802000
deu,2014,14121837000
deu,2015,17940210000
deu,2016,24473199000
dnk,1960,80976000
dnk,1961,118878000
dnk,1962,71372000
dnk,1963,95194000
dnk,1964,138615000
dnk,1965,110872000
dnk,1966,195390000
dnk,1967,233141000
dnk,1968,261935000
dnk,1969,464356000
dnk,1970,462934000
dnk,1971,536137000
dnk,1972,592248000
dnk,1973,633631000
dnk,1974,722236000
dnk,1975,734105000
dnk,1976,737858000
dnk,1977,808937000
dnk,1978,1024260000
dnk,1979,1085500000
dnk,1980,1118135000
dnk,1981,1073276000
dnk,1982,1173886000
dnk,1983,1141703000
dnk,1984,1385952000
dnk,1985,1331516000
dnk,1986,1565809000
dnk,1987,1561606000
dnk,1988,1586146000
dnk,1989,1668955000
dnk,1990,1716593000
dnk,1991,1769134000
dnk,1992,1906161000
dnk,1993,1958742000
dnk,1994,2042042000
dnk,1995,1993409000
dnk,1996,2208643000
dnk,1997,2277010000
dnk,1998,2374733000
dnk,1999,2475904000
dnk,2000,2673872000
dnk,2001,2635294000
dnk,2002,2452861000
dnk,2003,2144818000
dnk,2004,2228872000
dnk,2005,2245517000
dnk,2006,2311814000
dnk,2007,2368395000
dnk,2008,2362476000
dnk,2009,2437306000
dnk,2010,2536865000
dnk,2011,2453585000
dnk,2012,2378139000
dnk,2013,2486253000
dnk,2014,2531746000
dnk,2015,2565570000
dnk,2016,2367965000
esp,1980,384963000
esp,1981,647558000
esp,1982,672766000
esp,1983,229797000
esp,1984,454374000
esp,1985,553284000
esp,1986,494399000
esp,1987,468894000
esp,1988,447765000
esp,1989,928589000
esp,1990,1328125000
esp,1991,1655477000
esp,1992,1839273000
esp,1993,1877252000
esp,1994,1903855000
esp,1995,1745251000
esp,1996,1590870000
esp,1997,1771274000
esp,1998,1964280000
esp,1999,1982166000
esp,2000,1944753000
esp,2001,2795404000
esp,2002,2514925000
esp,2003,2312303000
esp,2004,2514250000
esp,2005,2988811000
esp,2006,3596264000
esp,2007,4300792000
esp,2008,5339275000
esp,2009,5289218000
esp,2010,5016936000
esp,2011,3351183000
esp,2012,1768619000
esp,2013,1966464000
esp,2014,1577013000
esp,2015,1396740000
esp,2016,4263392000
fin,1961,17349000
fin,1962,19320000
fin,1963,23531000
fin,1964,20380000
fin,1965,14926000
fin,1966,24236000
fin,1967,29000000
fin,1968,35628000
fin,1969,99596000
fin,1970,48724000
fin,1971,88489000
fin,1972,123886000
fin,1973,136660000
fin,1974,148828000
fin,1975,162607000
fin,1976,159171000
fin,1977,145471000
fin,1978,154625000
fin,1979,221361000
fin,1980,237294000
fin,1981,299785000
fin,1982,329758000
fin,1983,373524000
fin,1984,430760000
fin,1985,500346000
fin,1986,579480000
fin,1987,662912000
fin,1988,821473000
fin,1989,922803000
fin,1990,936898000
fin,1991,1072386000
fin,1992,815912000
fin,1993,563829000
fin,1994,412862000
fin,1995,443524000
fin,1996,490734000
fin,1997,503846000
fin,1998,526737000
fin,1999,572439000
fin,2000,579825000
fin,2001,605706000
fin,2002,677308000
fin,2003,681225000
fin,2004,749582000
fin,2005,984960000
fin,2006,894094000
fin,2007,938233000
fin,2008,1026192000
fin,2009,1154694000
fin,2010,1249890000
fin,2011,1224274000
fin,2012,1207391000
fin,2013,1239697000
fin,2014,1388850000
fin,2015,1288000000
fin,2016,1050069000
fra,1960,6838916000
fra,1961,7276334000
fra,1962,7232472000
fra,1963,5955210000
fra,1964,5780066000
fra,1965,5097496000
fra,1966,4913646000
fra,1967,5292876000
fra,1968,5271466000
fra,1969,5771323000
fra,1970,4476638000
fra,1971,4627349000
fra,1972,4736061000
fra,1973,4291699000
fra,1974,4566488000
fra,1975,4543988000
fra,1976,4385931000
fra,1977,4286106000
fra,1978,4464441000
fra,1979,5073476000
fra,1980,5342143000
fra,1981,6311495000
fra,1982,7003575000
fra,1983,7066902000
fra,1984,7874672000
fra,1985,7948291000
fra,1986,7522398000
fra,1987,8270130000
fra,1988,8266368000
fra,1989,9101367000
fra,1990,9344724000
fra,1991,9728329000
fra,1992,10017098000
fra,1993,10093902000
fra,1994,10487905000
fra,1995,9296170000
fra,1996,8297744000
fra,1997,7942013000
fra,1998,7238655000
fra,1999,7402951000
fra,2000,6134868000
fra,2001,6329536000
fra,2002,7701453000
fra,2003,8337784000
fra,2004,8714503000
fra,2005,10112030000
fra,2006,10361171000
fra,2007,8636587000
fra,2008,8835775000
fra,2009,10562674000
fra,2010,11260311000
fra,2011,10693795000
fra,2012,10583127000
fra,2013,9584180000
fra,2014,8935731000
fra,2015,9039300000
fra,2016,9577273000
gbr,1960,4301740000
gbr,1961,4676107000
gbr,1962,4155099000
gbr,1963,4045840000
gbr,1964,4663141000
gbr,1965,4207773000
gbr,1966,4124065000
gbr,1967,4100067000
gbr,1968,3848514000
gbr,1969,4150858000
gbr,1970,3815467000
gbr,1971,4461533000
gbr,1972,4385316000
gbr,1973,3962104000
gbr,1974,4336928000
gbr,1975,4177170000
gbr,1976,4361516000
gbr,1977,4969154000
gbr,1978,5317008000
gbr,1979,6189882000
gbr,1980,4036117000
gbr,1981,4916117000
gbr,1982,4307888000
gbr,1983,4207558000
gbr,1984,4047122000
gbr,1985,4251861000
gbr,1986,4046485000
gbr,1987,3710753000
gbr,1988,4554478000
gbr,1989,4498383000
gbr,1990,3912235000
gbr,1991,4487863000
gbr,1992,4437214000
gbr,1993,4554286000
gbr,1994,4834594000
gbr,1995,4586568000
gbr,1996,4452268000
gbr,1997,4465208000
gbr,1998,4909957000
gbr,1999,4420833000
gbr,2000,6084267000
gbr,2001,6427591000
gbr,2002,6517315000
gbr,2003,7428927000
gbr,2004,8158058000
gbr,2005,10915743000
gbr,2006,12114919000
gbr,2007,8587550000
gbr,2008,10786379000
gbr,2009,12073197000
gbr,2010,13912330000
gbr,2011,13923352000
gbr,2012,13932021000
gbr,2013,17825509000
gbr,2014,17990705000
gbr,2015,18544860000
gbr,2016,20139408000
grc,1996,217046000
grc,1997,217461000
grc,1998,232513000
grc,1999,250821000
grc,2000,343142000
grc,2001,308428000
grc,2002,388639000
grc,2003,411178000
grc,2004,320751000
grc,2005,376088000
grc,2006,396982000
grc,2007,415308000
grc,2008,531643000
grc,2009,462947000
grc,2010,403502000
grc,2011,319336000
grc,2012,267296000
grc,2013,193902000
grc,2014,204670000
grc,2015,238700000
grc,2016,369304000
hun,1975,99650000
hun,1976,191573000
hun,1977,153641000
hun,1978,100869000
hun,1979,65573000
hun,1980,147330000
hun,1981,139319000
hun,1982,181844000
hun,1983,151177000
hun,1984,178011000
hun,1985,194474000
hun,1986,165752000
hun,1987,79135000
hun,1988,120502000
hun,1989,39826000
hun,1990,18040000
hun,1991,16196000
hun,1992,489000
hun,2003,25530000
hun,2004,72598000
hun,2005,99913000
hun,2006,151619000
hun,2007,86917000
hun,2008,81840000
hun,2009,98729000
hun,2010,97347000
hun,2011,112550000
hun,2012,103183000
hun,2013,107916000
hun,2014,122082000
hun,2015,155550000
hun,2016,200390000
irl,1974,31068000
irl,1975,34383000
irl,1976,38783000
irl,1977,35680000
irl,1978,87699000
irl,1979,83601000
irl,1980,74426000
irl,1981,75181000
irl,1982,122712000
irl,1983,89249000
irl,1984,101583000
irl,1985,112272000
irl,1986,132293000
irl,1987,95922000
irl,1988,100012000
irl,1989,87623000
irl,1990,88959000
irl,1991,113586000
irl,1992,101512000
irl,1993,129354000
irl,1994,167303000
irl,1995,213214000
irl,1996,248528000
irl,1997,265387000
irl,1998,279920000
irl,1999,349394000
irl,2000,362240000
irl,2001,430235000
irl,2002,537404000
irl,2003,549556000
irl,2004,600042000
irl,2005,689005000
irl,2006,943900000
irl,2007,982988000
irl,2008,1044341000
irl,2009,864548000
irl,2010,838021000
irl,2011,786299000
irl,2012,733268000
irl,2013,732662000
irl,2014,715593000
irl,2015,718320000
irl,2016,803927000
isl,1990,2545000
isl,1991,10117000
isl,1992,5864000
isl,1993,9206000
isl,1994,8314000
isl,1997,10116000
isl,1998,8860000
isl,1999,9235000
isl,2000,10994000
isl,2001,14163000
isl,2002,16301000
isl,2003,18983000
isl,2004,20384000
isl,2005,22857000
isl,2006,35700000
isl,2007,36483000
isl,2008,46372000
isl,2009,40521000
isl,2010,31809000
isl,2011,26084000
isl,2012,27818000
isl,2013,35640000
isl,2014,34983000
isl,2015,39860000
isl,2016,52031000
ita,1960,883516000
ita,1961,669046000
ita,1962,849559000
ita,1963,688361000
ita,1964,439721000
ita,1965,532292000
ita,1966,679820000
ita,1967,1304034000
ita,1968,1209154000
ita,1969,1037550000
ita,1970,1102743000
ita,1971,1261833000
ita,1972,625992000
ita,1973,1041841000
ita,1974,1091541000
ita,1975,792978000
ita,1976,1064728000
ita,1977,832698000
ita,1978,1340891000
ita,1979,820980000
ita,1980,1745249000
ita,1981,1901493000
ita,1982,2345482000
ita,1983,2352964000
ita,1984,3338573000
ita,1985,3221607000
ita,1986,5123245000
ita,1987,4574535000
ita,1988,5255448000
ita,1989,5901652000
ita,1990,4469324000
ita,1991,4240732000
ita,1992,4968905000
ita,1993,4505241000
ita,1994,3967735000
ita,1995,2291680000
ita,1996,3087936000
ita,1997,1740336000
ita,1998,3115662000
ita,1999,2543199000
ita,2000,2197796000
ita,2001,2596166000
ita,2002,3421587000
ita,2003,2885554000
ita,2004,2589626000
ita,2005,5254620000
ita,2006,3652009000
ita,2007,3564838000
ita,2008,4041408000
ita,2009,2785321000
ita,2010,2652502000
ita,2011,3595114000
ita,2012,2427173000
ita,2013,2909420000
ita,2014,3372826000
ita,2015,4003370000
ita,2016,5042053000
jpn,1960,1195265000
jpn,1961,1139152000
jpn,1962,861895000
jpn,1963,1324135000
jpn,1964,1054732000
jpn,1965,2105400000
jpn,1966,2344980000
jpn,1967,3001139000
jpn,1968,2611560000
jpn,1969,3023481000
jpn,1970,2972572000
jpn,1971,3063368000
jpn,1972,3064072000
jpn,1973,3964699000
jpn,1974,3929127000
jpn,1975,3800068000
jpn,1976,3383697000
jpn,1977,3700504000
jpn,1978,4311366000
jpn,1979,5298146000
jpn,1980,6489768000
jpn,1981,5787114000
jpn,1982,6135097000
jpn,1983,7210667000
jpn,1984,8141538000
jpn,1985,7116147000
jpn,1986,7327564000
jpn,1987,8202213000
jpn,1988,9010050000
jpn,1989,9319516000
jpn,1990,9672983000
jpn,1991,10575393000
jpn,1992,9984330000
jpn,1993,8809200000
jpn,1994,9508764000
jpn,1995,9652307000
jpn,1996,7311207000
jpn,1997,8013312000
jpn,1998,9862014000
jpn,1999,9935675000
jpn,2000,10575679000
jpn,2001,8794388000
jpn,2002,8677800000
jpn,2003,7818266000
jpn,2004,7427705000
jpn,2005,11269825000
jpn,2006,10223093000
jpn,2007,7218483000
jpn,2008,8012069000
jpn,2009,7165050000
jpn,2010,8037689000
jpn,2011,7457058000
jpn,2012,7209685000
jpn,2013,9587942000
jpn,2014,8458724000
jpn,2015,9202640000
jpn,2016,9330520000
kor,1987,48425000
kor,1988,57857000
kor,1989,49737000
kor,1990,86448000
kor,1991,76849000
kor,1992,101384000
kor,1993,142658000
kor,1994,166261000
kor,1995,123344000
kor,1996,169278000
kor,1997,224168000
kor,1998,310787000
kor,1999,463088000
kor,2000,291532000
kor,2001,400611000
kor,2002,396966000
kor,2003,479636000
kor,2004,518221000
kor,2005,815258000
kor,2006,459104000
kor,2007,669470000
kor,2008,895145000
kor,2009,1009033000
kor,2010,1276063000
kor,2011,1358493000
kor,2012,1648694000
kor,2013,1746436000
kor,2014,1766504000
kor,2015,1915390000
kor,2016,2262929000
lux,1980,11305000
lux,1981,13390000
lux,1982,11895000
lux,1983,12460000
lux,1984,24941000
lux,1985,28254000
lux,1986,28350000
lux,1987,30020000
lux,1988,37471000
lux,1989,37762000
lux,1990,43850000
lux,1991,72128000
lux,1992,59144000
lux,1993,79115000
lux,1994,88706000
lux,1995,84138000
lux,1996,107747000
lux,1997,145600000
lux,1998,175486000
lux,1999,184502000
lux,2000,216702000
lux,2001,253906000
lux,2002,250809000
lux,2003,268201000
lux,2004,289572000
lux,2005,302564000
lux,2006,317721000
lux,2007,370675000
lux,2008,376290000
lux,2009,382695000
lux,2010,375251000
lux,2011,345270000
lux,2012,355508000
lux,2013,365564000
lux,2014,355209000
lux,2015,362880000
lux,2016,398134000
nld,1960,449803000
nld,1961,669772000
nld,1962,746859000
nld,1963,414509000
nld,1964,496482000
nld,1965,662799000
nld,1966,849650000
nld,1967,983110000
nld,1968,1031996000
nld,1969,1117907000
nld,1970,1442065000
nld,1971,1419453000
nld,1972,1690492000
nld,1973,1418097000
nld,1974,1691773000
nld,1975,2015632000
nld,1976,2315430000
nld,1977,2510459000
nld,1978,2485912000
nld,1979,3036434000
nld,1980,3157731000
nld,1981,3483478000
nld,1982,3447349000
nld,1983,2930363000
nld,1984,3446591000
nld,1985,3140752000
nld,1986,3544555000
nld,1987,3552045000
nld,1988,3644265000
nld,1989,3619786000
nld,1990,3709772000
nld,1991,3663090000
nld,1992,3676972000
nld,1993,3506762000
nld,1994,3354569000
nld,1995,3716269000
nld,1996,3872764000
nld,1997,3967982000
nld,1998,4080161000
nld,1999,4318039000
nld,2000,4820693000
nld,2001,4819318000
nld,2002,4649941000
nld,2003,4519143000
nld,2004,4286745000
nld,2005,5114752000
nld,2006,5267606000
nld,2007,5400674000
nld,2008,5619006000
nld,2009,5327265000
nld,2010,5492854000
nld,2011,5213875000
nld,2012,4841419000
nld,2013,4552005000
nld,2014,4663255000
nld,2015,5725510000
nld,2016,4953910000
nor,1960,67175000
nor,1961,85684000
nor,1962,87740000
nor,1963,115274000
nor,1964,106863000
nor,1965,120357000
nor,1966,143313000
nor,1967,143644000
nor,1968,251882000
nor,1969,268824000
nor,1970,296907000
nor,1971,316674000
nor,1972,420357000
nor,1973,461634000
nor,1974,604877000
nor,1975,735169000
nor,1976,845746000
nor,1977,1033379000
nor,1978,1151758000
nor,1979,1274204000
nor,1980,1242850000
nor,1981,1229829000
nor,1982,1498754000
nor,1983,1653334000
nor,1984,1612255000
nor,1985,1715774000
nor,1986,2061348000
nor,1987,1954818000
nor,1988,1994638000
nor,1989,1863923000
nor,1990,2137525000
nor,1991,2117637000
nor,1992,2208140000
nor,1993,1963430000
nor,1994,2192296000
nor,1995,2091319000
nor,1996,2153620000
nor,1997,2285789000
nor,1998,2484500000
nor,1999,2494921000
nor,2000,2249372000
nor,2001,2409902000
nor,2002,2743207000
nor,2003,2848878000
nor,2004,2756213000
nor,2005,3078201000
nor,2006,2971090000
nor,2007,3338841000
nor,2008,3158633000
nor,2009,3734541000
nor,2010,3634444000
nor,2011,3433845000
nor,2012,3444876000
nor,2013,3987552000
nor,2014,3882859000
nor,2015,4277660000
nor,2016,4639389000
nzl,1961,93082000
nzl,1962,73328000
nzl,1963,76184000
nzl,1964,82637000
nzl,1965,82726000
nzl,1966,84884000
nzl,1967,83687000
nzl,1968,98266000
nzl,1969,114331000
nzl,1970,120636000
nzl,1971,127928000
nzl,1972,134518000
nzl,1973,137217000
nzl,1974,197920000
nzl,1975,341049000
nzl,1976,278786000
nzl,1977,241231000
nzl,1978,205218000
nzl,1979,224165000
nzl,1980,215543000
nzl,1981,194361000
nzl,1982,194619000
nzl,1983,190730000
nzl,1984,189723000
nzl,1985,186686000
nzl,1986,212625000
nzl,1987,191529000
nzl,1988,192176000
nzl,1989,168692000
nzl,1990,179365000
nzl,1991,193646000
nzl,1992,198401000
nzl,1993,194501000
nzl,1994,197721000
nzl,1995,196043000
nzl,1996,181033000
nzl,1997,237280000
nzl,1998,244786000
nzl,1999,253734000
nzl,2000,244317000
nzl,2001,249412000
nzl,2002,245517000
nzl,2003,262073000
nzl,2004,284326000
nzl,2005,336874000
nzl,2006,337729000
nzl,2007,353328000
nzl,2008,393009000
nzl,2009,383102000
nzl,2010,357397000
nzl,2011,392936000
nzl,2012,406932000
nzl,2013,397731000
nzl,2014,426411000
nzl,2015,441740000
nzl,2016,430491000
pol,1975,110646000
pol,1976,103589000
pol,1977,64375000
pol,1978,72795000
pol,1979,71201000
pol,1980,89109000
pol,1981,13666000
pol,1982,6836000
pol,1983,4330000
pol,1984,9529000
pol,1985,43450000
pol,1986,31725000
pol,1987,19237000
pol,1988,16542000
pol,1989,9635000
pol,1990,3469000
pol,1991,1337000
pol,1998,28060000
pol,1999,32636000
pol,2000,47237000
pol,2001,53016000
pol,2002,20733000
pol,2003,37306000
pol,2004,144560000
pol,2005,217574000
pol,2006,300376000
pol,2007,312468000
pol,2008,272950000
pol,2009,336705000
pol,2010,323570000
pol,2011,340386000
pol,2012,368238000
pol,2013,412735000
pol,2014,380317000
pol,2015,440890000
pol,2016,691057000
prt,1980,12856000
prt,1981,20181000
prt,1982,14383000
prt,1983,48323000
prt,1984,34140000
prt,1985,40696000
prt,1986,64815000
prt,1987,101706000
prt,1988,196667000
prt,1989,254839000
prt,1990,263124000
prt,1991,349555000
prt,1992,417926000
prt,1993,372736000
prt,1994,462776000
prt,1995,343208000
prt,1996,291754000
prt,1997,366630000
prt,1998,374797000
prt,1999,404178000
prt,2000,442884000
prt,2001,435907000
prt,2002,477654000
prt,2003,381623000
prt,2004,1093386000
prt,2005,386888000
prt,2006,390195000
prt,2007,412454000
prt,2008,507101000
prt,2009,429526000
prt,2010,567964000
prt,2011,591699000
prt,2012,527290000
prt,2013,419698000
prt,2014,367261000
prt,2015,308030000
prt,2016,338950000
svk,1999,16751000
svk,2000,13629000
svk,2001,19150000
svk,2002,13936000
svk,2003,24213000
svk,2004,37546000
svk,2005,71158000
svk,2006,64050000
svk,2007,64305000
svk,2008,75024000
svk,2009,62201000
svk,2010,63623000
svk,2011,69581000
svk,2012,68853000
svk,2013,71608000
svk,2014,69418000
svk,2015,84910000
svk,2016,106589000
svn,2005,36664000
svn,2006,45119000
svn,2007,48845000
svn,2008,55384000
svn,2009,58491000
svn,2010,51090000
svn,2011,51553000
svn,2012,51788000
svn,2013,52347000
svn,2014,51953000
svn,2015,63290000
svn,2016,80915000
swe,1960,52758000
swe,1961,64244000
swe,1962,135714000
swe,1963,164526000
swe,1964,224094000
swe,1965,246044000
swe,1966,346786000
swe,1967,345521000
swe,1968,402936000
swe,1969,658193000
swe,1970,609436000
swe,1971,760736000
swe,1972,825465000
swe,1973,981086000
swe,1974,1332309000
swe,1975,1534574000
swe,1976,1545087000
swe,1977,1844160000
swe,1978,1704049000
swe,1979,1890603000
swe,1980,1626951000
swe,1981,1709821000
swe,1982,2108299000
swe,1983,1787220000
swe,1984,1761815000
swe,1985,1950662000
swe,1986,1971536000
swe,1987,2114216000
swe,1988,2138815000
swe,1989,2445603000
swe,1990,2287787000
swe,1991,2276602000
swe,1992,2522682000
swe,1993,2372747000
swe,1994,2357349000
swe,1995,1967936000
swe,1996,2148245000
swe,1997,2086562000
swe,1998,1957934000
swe,1999,2088375000
swe,2000,2517394000
swe,2001,2567824000
swe,2002,2870222000
swe,2003,2797584000
swe,2004,2868407000
swe,2005,3574978000
swe,2006,4078683000
swe,2007,3988260000
swe,2008,4159436000
swe,2009,4461185000
swe,2010,4151985000
swe,2011,4569785000
swe,2012,4415365000
swe,2013,4675209000
swe,2014,5176574000
swe,2015,7089300000
swe,2016,4907504000
tha,2006,76195000
tha,2007,63921000
tha,2008,161680000
tha,2009,36441000
tha,2010,4197000
tha,2011,20186000
tha,2012,10430000
tha,2013,32852000
tha,2014,62134000
tha,2015,62420000
tha,2016,168834000
tur,1990,4075000
tur,1991,163559000
tur,1992,120625000
tur,1993,82126000
tur,1994,99452000
tur,1995,151164000
tur,1996,124074000
tur,1997,111616000
tur,1998,97875000
tur,1999,178544000
tur,2000,121367000
tur,2001,122319000
tur,2002,124716000
tur,2003,91729000
tur,2004,395653000
tur,2005,613605000
tur,2006,711781000
tur,2007,513617000
tur,2008,598137000
tur,2009,608134000
tur,2010,763370000
tur,2011,1031735000
tur,2012,2058349000
tur,2013,2691418000
tur,2014,3101314000
tur,2015,3919140000
tur,2016,6738692000
usa,1960,17371063000
usa,1961,18840149000
usa,1962,20399728000
usa,1963,21773121000
usa,1964,21572688000
usa,1965,23659826000
usa,1966,21852487000
usa,1967,18323789000
usa,1968,20463904000
usa,1969,17158951000
usa,1970,15221738000
usa,1971,14298910000
usa,1972,17432402000
usa,1973,11090379000
usa,1974,14077964000
usa,1975,14594091000
usa,1976,14497583000
