geo,time,ne_con_prvt_cn_ad
bel,2006,162732400000
bel,2007,170591900000
bel,2008,178419200000
bel,2009,177992900000
bel,2010,186792300000
bel,2011,193783700000
bel,2012,200593700000
bel,2013,206109500000
bel,2014,208800500000
bel,2015,213930100000
bel,2016,220597399999.99896
bel,2017,229076799999.99896
bel,2018,238209400000
bel,2019,245798400000.00101
bel,2020,226960999999.99896
ben,1990,408725118574.09802
ben,1991,445953875101.76703
ben,1992,486311434659.78497
ben,1993,515545147979.76898
ben,1994,659333473400
ben,1995,792675219600
ben,1996,875159752800
ben,1997,961199397300
ben,1998,1073791236700
ben,1999,1855930527200
ben,2000,2051152523800
ben,2001,2220172510700
ben,2002,2377060421700
ben,2003,2492009388100
ben,2004,2573880329500
ben,2005,2806693784600
ben,2006,2980947950500
ben,2007,3092120531900
ben,2008,3471306391600
ben,2009,3604119522100
ben,2010,3702090272600
ben,2011,3932179389300
ben,2012,4353741508300
ben,2013,4584673980100
ben,2014,4786267022900
ben,2015,5061202000000
ben,2016,5129264000000.01953
ben,2017,5356387039100.00977
ben,2018,5581029266594.95996
ben,2019,5771739692100.01953
ben,2020,6130953723799.99023
bfa,1990,620775014400
bfa,1991,618778001400
bfa,1992,618789011500
bfa,1993,642549022700
bfa,1994,606056284200
bfa,1995,752337551400
bfa,1996,896025296900
bfa,1997,923842052100
bfa,1998,1139327762400
bfa,1999,1860711511300
bfa,2000,1871068405400
bfa,2001,1995438935000
bfa,2002,2149517249000
bfa,2003,2278537020200
bfa,2004,2413855545800
bfa,2005,2694073860900
bfa,2006,2803669113800
bfa,2007,2852106292300
bfa,2008,3358977628200
bfa,2009,3444938134200
bfa,2010,3581240997100
bfa,2011,3910748146300
bfa,2012,4433691944700
bfa,2013,4748784087300
bfa,2014,4834446227000
bfa,2015,5003264000000
bfa,2016,5229176000000.01953
bfa,2017,5452361999999.98047
bfa,2018,5673343000000.00977
bfa,2019,5780283430299.98047
bgd,1990,951103076387.25793
bgd,1991,1026907713779.31995
bgd,1992,1116140673071.33008
bgd,1993,1185771802923.25
bgd,1994,1269400483846.56006
bgd,1995,1433768264678.29004
bgd,1996,1497665000000
bgd,1997,1605939000000
bgd,1998,1730082000000
bgd,1999,1879203000000
bgd,2000,2013993000000
bgd,2001,2171126000000
bgd,2002,2330025000000
bgd,2003,2601467000000
bgd,2004,2822489000000
bgd,2005,3150272000000
bgd,2006,3527007462600
bgd,2007,4062643719299.99023
bgd,2008,4754868771800
bgd,2009,5257991248699.99023
bgd,2010,5910930186200.00977
bgd,2011,6802819337999.99023
bgd,2012,7780746926299.98047
bgd,2013,8733888424799.99023
bgd,2014,9751386000000.00781
bgd,2015,10980061000000
bgd,2016,11979247000000
bgd,2017,13568893000000
bgd,2018,15935308000000
bgd,2019,17468248000000
bgd,2020,19162668000000
bgr,1990,27159000
bgr,1991,73426000
bgr,1992,131755000
bgr,1993,219662000
bgr,1994,389130000
bgr,1995,733600000
bgr,1996,1614554000
bgr,1997,12454929000
bgr,1998,14846370000
