geo,time,st_int_dprt
bol,2016,940000
bol,2017,997000
bol,2018,1060000
bol,2019,1160000
bol,2020,432000
bra,1995,2600000
bra,1996,3797000
bra,1997,4014000
bra,1998,4171000
bra,1999,2863000
bra,2000,3228000
bra,2001,2674000
bra,2002,2338000
bra,2003,3229000
bra,2004,2968000
bra,2005,3364000
bra,2006,3886000
bra,2007,4662000
bra,2008,5238000
bra,2009,4920000
bra,2010,6457000
bra,2011,7807000
bra,2012,8497000
bra,2013,8866000
bra,2014,9617000
bra,2015,9478000
bra,2016,8872000
bra,2017,10610000
bra,2018,10628000
btn,2019,72000
caf,2002,5000
caf,2003,6000
caf,2004,7000
caf,2005,8000
caf,2006,11000
caf,2010,38000
can,2006,46912000
can,2007,50044000
can,2008,51737000
can,2009,47481000
can,2010,53620000
can,2011,61909000
can,2012,65175000
can,2013,65780000
can,2014,63737000
can,2015,55971000
can,2016,52979000
can,2017,54955000
can,2018,38069000
can,2019,37845898.4375
che,2003,17548000
che,2008,17407000
che,2009,16522000
che,2010,15902000
che,2011,18949000
che,2012,20293000
che,2013,20303000
che,2014,19833000
che,2015,22086000
che,2016,21536000
che,2017,22481000
che,2018,24572000
che,2019,19797000
chl,2000,1528000
chl,2001,1340000
chl,2002,1444000
chl,2003,1509000
chl,2004,1727000
chl,2005,2031000
chl,2006,2264000
chl,2007,2451000
chl,2008,2317000
chl,2009,2359000
chl,2010,2737000
chl,2011,3220000
chl,2012,3448000
chl,2013,3674000
chl,2014,3842000
chl,2015,4103000
chl,2016,4269000
chl,2017,4367000
chl,2018,4605000
chl,2019,4091000
chn,1995,4520000
chn,1996,5061000
chn,1997,5324000
chn,1998,8426000
chn,1999,9232000
chn,2000,10473000
chn,2001,12133000
chn,2002,16602000
chn,2003,20222000
chn,2004,28853000
chn,2005,31026000
chn,2006,34524000
chn,2007,40954000
chn,2008,45844000
chn,2009,47656000
chn,2010,57386000
chn,2011,70250000
chn,2012,83182000
chn,2013,98185000
chn,2014,116593000
chn,2015,127860000
chn,2016,135130000
chn,2017,143035000
chn,2018,149720000
chn,2019,154632000
chn,2020,20334000
cod,1998,50000
cod,1999,50000
cod,2015,356000
cod,2016,424000
cog,2012,161000
cog,2013,180000
col,1995,1057000
col,1996,929000
col,1997,1071000
col,1998,1093000
col,1999,1098000
col,2000,1235000
col,2001,1381000
col,2002,1277000
col,2003,1177000
col,2004,1405000
col,2005,1553000
col,2007,2028000
col,2008,2042000
col,2009,2122000
col,2010,2342000
col,2011,2522000
col,2012,3169000
col,2013,3605000
col,2014,3911000
col,2015,3862000
col,2016,3795000
col,2017,4017000
col,2018,4368000
col,2019,4479000
col,2020,1275000
cri,1995,273000
cri,1996,283000
cri,1997,288000
cri,1998,330000
cri,1999,353000
cri,2000,381000
cri,2001,361000
cri,2002,364000
cri,2003,373000
cri,2004,425000
cri,2005,487000
cri,2006,485000
cri,2007,577000
cri,2008,528000
cri,2009,579000
cri,2010,662000
cri,2011,717000
cri,2012,773000
cri,2013,790000
cri,2014,798000
cri,2015,919000
cri,2016,1036000
cri,2017,1150000
cri,2018,1079000
cri,2019,1153000
cri,2020,324000
cub,1995,72000
cub,1996,72000
cub,1997,83000
cub,1998,94000
cub,1999,97000
cub,2000,139000
cub,2001,121000
cub,2002,111000
cub,2003,113000
cub,2004,124000
cub,2005,162000
cub,2006,199000
cub,2007,194000
cub,2008,202000
cub,2009,206000
cub,2010,251000
cub,2011,253000
cub,2012,213000
cub,2013,286000
cub,2014,355000
cub,2015,580000
cub,2016,385000
cub,2017,459000
cub,2018,552000
cub,2019,650000
cub,2020,271000
cyp,1995,360000
cyp,1996,365000
cyp,1997,422000
cyp,1998,484000
cyp,1999,540000
cyp,2000,588000
cyp,2001,684000
cyp,2002,744000
cyp,2003,737000
cyp,2004,859000
cyp,2005,914000
cyp,2006,932000
cyp,2007,1081000
cyp,2008,1210000
cyp,2009,1172000
cyp,2010,1246000
cyp,2011,1209000
cyp,2012,1194000
cyp,2013,1115000
cyp,2014,1209000
cyp,2015,1119000
cyp,2016,1268000
cyp,2017,1407000
cyp,2018,1446000
cyp,2019,1578000
cze,2003,7213000
cze,2004,6643000
cze,2005,6963000
cze,2006,6393000
cze,2007,9048000
cze,2008,9665000
cze,2009,8904000
cze,2010,8673000
cze,2011,5279000
cze,2012,5419000
cze,2013,5781000
cze,2014,5651000
cze,2015,5856000
cze,2016,6027000
cze,2017,6775000
cze,2018,7390000
cze,2019,7346000
cze,2020,2399000
deu,1997,55800000
deu,1998,69200000
deu,1999,78100000
deu,2000,80507000
deu,2001,81551000
deu,2002,80393000
deu,2003,85345000
deu,2004,84859000
deu,2005,86622000
deu,2006,81801000
deu,2007,82099000
deu,2008,86201000
deu,2009,85547000
deu,2010,85872000
deu,2011,84692000
deu,2012,82729000
deu,2013,87459000
deu,2014,83008000
deu,2015,83737000
deu,2016,90966000
deu,2017,92402000
deu,2018,108542000
deu,2019,99533000
dnk,1996,5035000
dnk,1997,4693000
dnk,1998,4788000
dnk,1999,4744000
dnk,2000,5011000
dnk,2001,4946000
dnk,2002,4935000
dnk,2003,5564000
dnk,2004,4630000
dnk,2005,5469000
dnk,2006,6129000
dnk,2007,6564000
dnk,2008,6347000
dnk,2009,7037000
dnk,2010,7726000
dnk,2011,7846000
dnk,2012,7843000
dnk,2013,6977000
dnk,2014,8528000
dnk,2015,8991000
dnk,2016,9651000
dnk,2017,8087000
dnk,2018,7475000
dnk,2019,9088000
dnk,2020,4230000
dom,1995,168000
dom,1996,358000
dom,1997,355000
dom,1998,354000
dom,1999,363000
dom,2000,360000
dom,2001,331000
dom,2002,332000
dom,2003,321000
dom,2004,368000
dom,2005,419000
dom,2006,420000
dom,2007,443000
dom,2008,413000
dom,2009,415000
dom,2010,401000
dom,2011,408000
dom,2012,418000
dom,2013,392000
dom,2014,427000
dom,2015,478000
dom,2016,500000
dom,2017,522000
dom,2018,514000
dom,2019,532000
dom,2020,210000
dza,1995,1090000
dza,1996,874000
dza,1997,827000
dza,1998,879000
dza,1999,903000
dza,2000,1006000
dza,2001,1190000
dza,2002,1257000
dza,2003,1254000
dza,2004,1417000
dza,2005,1513000
dza,2006,1349000
dza,2007,1499000
dza,2008,1539000
dza,2009,1677000
dza,2010,1757000
dza,2011,1715000
dza,2012,1911000
dza,2013,2136000
dza,2014,2839000
dza,2015,3638000
dza,2016,4530000
dza,2017,5058000
dza,2018,5610000
dza,2019,5732000
dza,2020,1386000
ecu,1995,271000
ecu,1996,275000
ecu,1997,321000
ecu,1998,330000
ecu,1999,386000
ecu,2000,520000
ecu,2001,562000
ecu,2002,627000
ecu,2003,613000
ecu,2004,603000
ecu,2005,664000
ecu,2006,733000
ecu,2007,801000
ecu,2008,815000
ecu,2009,814000
ecu,2010,899000
ecu,2011,1022000
ecu,2012,1022000
ecu,2013,1138000
ecu,2014,1096000
ecu,2015,1221000
ecu,2016,1366000
ecu,2017,1347000
ecu,2018,1402000
ecu,2019,1515000
egy,2009,4716000
egy,2010,4618000
egy,2011,4863000
egy,2012,5678000
egy,2013,5782000
egy,2014,6180000
esp,2007,12709000
esp,2008,13042000
esp,2009,13754000
esp,2010,14254000
esp,2011,15944000
esp,2012,14916000
esp,2013,13434000
esp,2014,13952000
esp,2015,17625000
esp,2016,18277000
esp,2017,20274000
esp,2018,22287000
esp,2019,22816000
esp,2020,6236000
est,1995,1764000
est,1996,1547000
est,1997,1616000
est,1998,1659000
est,1999,1780000
est,2000,1800000
est,2001,1658000
est,2002,1849000
est,2003,2075000
est,2006,438000
est,2007,677000
est,2008,692000
est,2009,752000
est,2010,955000
est,2011,1054000
est,2012,1147000
est,2013,1166000
est,2014,1426000
est,2015,1250000
est,2016,1339000
est,2017,1279000
est,2018,2069000
est,2019,1702000
est,2020,558000
eth,1995,120000
eth,1996,133000
fin,2005,6668000
fin,2006,6428000
fin,2007,6413000
fin,2008,6566000
fin,2009,6693000
fin,2010,7485000
fin,2011,8238000
fin,2012,9978000
fin,2013,9526000
fin,2014,9783000
fin,2015,10022000
fin,2016,10278000
fin,2017,10480000
fin,2018,10480000
fin,2019,10440000
fin,2020,2690000
fji,1995,68000
fji,1996,72000
fji,1997,74000
fji,1998,78000
fji,1999,89000
fji,2000,83000
fji,2001,85000
fji,2002,99000
fji,2003,104000
fji,2004,94000
fji,2005,109000
fji,2006,121000
fji,2007,120000
fji,2008,124000
fji,2009,125000
fji,2010,128000
fji,2011,132000
fji,2012,132000
fji,2016,156000
fji,2017,169000
fji,2018,174000
fji,2019,174000
fra,2006,27107000
fra,2007,33144000
fra,2008,30960000
fra,2009,30646000
fra,2010,29973000
fra,2011,31153000
fra,2012,29642000
fra,2013,30457000
fra,2014,31941000
fra,2015,30608000
fra,2016,29636000
fra,2017,44265000
fra,2018,48069000
fra,2019,49276000
fra,2020,21287000
gab,1998,203000
gab,1999,187000
gab,2000,168000
gab,2001,189000
gab,2002,219000
gab,2003,236000
gbr,1995,41345000
gbr,1996,42050000
gbr,1997,45957000
gbr,1998,50872000
gbr,1999,53881000
gbr,2000,56837000
gbr,2001,58281000
gbr,2002,59377000
gbr,2003,61424000
gbr,2004,64194000
gbr,2005,66494000
gbr,2006,69536000
gbr,2007,69450000
gbr,2008,69011000
gbr,2009,63513000
gbr,2010,64647000
gbr,2011,67493000
gbr,2012,66858000
gbr,2013,68959000
gbr,2014,72204000
gbr,2015,77619000
gbr,2016,81757000
gbr,2017,87242000
gbr,2018,90571000
gbr,2019,93086000
gbr,2020,23827000
geo,1995,228000
geo,1996,219000
geo,1997,355000
geo,1998,433000
geo,1999,373000
geo,2000,315000
geo,2001,306000
geo,2002,317000
geo,2004,466000
geo,2005,857000
geo,2006,1346000
geo,2007,1473000
geo,2008,1872000
geo,2009,1980000
geo,2010,2086000
geo,2011,2237000
geo,2012,2734000
geo,2013,3220000
geo,2014,3106000
geo,2015,3136000
geo,2016,3400000
geo,2017,3851000
geo,2018,3698000
geo,2019,3780000
gmb,2005,387000
gmb,2006,307000
grc,2008,3765000
grc,2009,3835000
grc,2010,3799000
grc,2011,4941000
grc,2012,4681000
grc,2013,4594000
grc,2014,5802000
grc,2015,6291000
grc,2016,7235000
grc,2017,7685000
grc,2018,7961000
grc,2019,7848000
grc,2020,2324000
gtm,1995,333000
gtm,1996,333000
gtm,1997,331000
gtm,1998,391000
gtm,1999,485000
gtm,2000,488000
gtm,2001,580000
gtm,2002,629000
gtm,2003,658000
gtm,2004,854000
gtm,2005,982000
gtm,2006,1055000
gtm,2007,1168000
gtm,2008,1277000
gtm,2009,651000
gtm,2010,694000
gtm,2011,718000
gtm,2012,721000
gtm,2013,846000
gtm,2014,992000
gtm,2015,1130000
gtm,2016,1195000
gtm,2017,1328000
gtm,2018,1538000
gtm,2019,1703000
gtm,2020,507799.98779
hkg,1998,47594000
hkg,1999,53144000
hkg,2000,58901000
hkg,2001,61096000
hkg,2002,64540000
hkg,2003,60936000
hkg,2004,68903000
hkg,2005,72300000
hkg,2006,75812000
hkg,2007,80682000
hkg,2008,81911000
hkg,2009,81958000
hkg,2010,84442000
hkg,2011,84816000
hkg,2012,85276000
hkg,2013,84414000
hkg,2014,84519000
hkg,2015,89082000
hkg,2016,91758000
hkg,2017,91304000
hkg,2018,92214000
hkg,2019,94715000
hkg,2020,8261000
hnd,2010,1090000
hnd,2011,1092000
hnd,2012,1072000
hnd,2013,1055000
hnd,2014,1065000
hnd,2015,1150000
hnd,2016,1121000
hnd,2017,727000
hnd,2018,703000
hrv,2008,4393000
hrv,2009,4823000
hrv,2011,5526000
hrv,2012,5159000
hrv,2013,5444000
hrv,2014,4638000
hrv,2015,4355000
hrv,2016,2581000
hrv,2017,2597000
hrv,2018,2980000
hrv,2019,3500000
hrv,2020,678000
hun,1995,13083000
hun,1996,12064000
hun,1997,12173000
hun,1998,12317000
hun,1999,10622000
hun,2000,11065000
hun,2001,11167000
hun,2002,12966000
hun,2003,14283000
hun,2004,17558000
hun,2005,17759000
hun,2006,16597000
hun,2007,17056000
hun,2008,17162000
hun,2009,16640000
hun,2010,16082000
hun,2011,16634000
hun,2012,16143000
hun,2013,16038000
hun,2014,16340000
hun,2015,17276000
hun,2016,18895000
hun,2017,20297000
hun,2018,22805000
hun,2019,24860000
hun,2020,12727000
idn,2000,2205000
idn,2001,2505000
idn,2002,3231000
idn,2003,3478000
idn,2004,3941000
idn,2005,4106000
idn,2006,4967000
idn,2007,5158000
idn,2008,5486000
idn,2009,5053000
idn,2010,6235000
idn,2011,6750000
idn,2012,7454000
idn,2013,8025000
idn,2014,8074000
idn,2015,8176000
idn,2016,8340000
idn,2017,8856000
idn,2018,9468000
idn,2019,11689000
idn,2020,2918000
ind,1995,3056000
ind,1996,3464000
ind,1997,3726000
ind,1998,3811000
ind,1999,4115000
ind,2000,4416000
ind,2001,4564000
ind,2002,4940000
ind,2003,5351000
ind,2004,6213000
ind,2005,7185000
ind,2006,8340000
ind,2007,9783000
ind,2008,10868000
ind,2009,11067000
ind,2010,12988000
ind,2011,13994000
ind,2012,14920000
ind,2013,16626000
ind,2014,18330000
ind,2015,20376000
ind,2016,21872000
ind,2017,23943000
ind,2018,26296000
ind,2019,26915000
irl,1995,2547000
irl,1996,2733000
irl,1997,3053000
irl,1998,3330000
irl,1999,3576000
irl,2000,3783000
irl,2001,4216000
irl,2002,4634000
irl,2003,4929000
irl,2004,5409000
irl,2005,6113000
irl,2006,6848000
irl,2007,7713000
irl,2008,7877000
irl,2009,7047000
irl,2010,6917000
irl,2011,6514000
irl,2012,6600000
irl,2013,6579000
irl,2014,6676000
irl,2015,7094000
irl,2016,7646000
irl,2017,8171000
irl,2018,8643000
irl,2019,9350000
irl,2020,2326000
irn,2014,7698000
irn,2015,6620000
irn,2016,9007000
irn,2017,10543000
irn,2018,7243000
irn,2020,1550000
isl,1995,166000
isl,1996,190000
isl,1997,203000
isl,1998,227000
isl,1999,257000
isl,2000,283000
isl,2005,364000
isl,2006,440000
isl,2007,460000
isl,2008,414000
isl,2009,259000
isl,2010,299000
isl,2011,341000
isl,2012,358000
isl,2013,365000
isl,2014,400000
isl,2015,450000
isl,2016,536000
isl,2017,619000
isl,2018,668000
isl,2019,611000
isl,2020,130000
isr,1995,2259000
isr,1996,2505000
isr,1997,2707000
isr,1998,2983000
isr,1999,3203000
isr,2000,3530000
isr,2001,3561000
isr,2002,3273000
isr,2003,3299000
isr,2004,3614000
isr,2005,3687000
isr,2006,3713000
isr,2007,4147000
isr,2008,4207000
isr,2009,4007000
isr,2010,4269000
isr,2011,4387000
isr,2012,4349000
isr,2013,4757000
isr,2014,5181000
isr,2015,5891000
isr,2016,6781000
isr,2017,7597000
isr,2018,8473000
isr,2019,9179000
ita,1997,40196000
ita,1998,42431000
ita,1999,42390000
ita,2000,44628000
ita,2001,43611000
ita,2002,44660000
ita,2003,46357000
ita,2004,40400000
ita,2005,43407000
ita,2006,46369000
ita,2007,49166000
ita,2008,54421000
ita,2009,54839000
ita,2010,55304000
ita,2011,52617000
ita,2012,53338000
ita,2013,52633000
ita,2014,55169000
ita,2015,57418000
ita,2016,57480000
ita,2017,60042000
ita,2018,61194601.5625
ita,2019,62207000
ita,2020,21448000
jor,1995,1128000
jor,1996,1141000
jor,1997,1233000
jor,1998,1347000
jor,1999,1561000
jor,2000,1625000
jor,2001,1755000
jor,2002,1276000
jor,2003,1229000
jor,2004,1420000
jor,2005,1523000
jor,2006,2139000
jor,2007,2094000
jor,2008,1972000
jor,2009,2054000
jor,2010,2708000
jor,2011,1931000
jor,2012,1567000
jor,2013,1498000
jor,2014,1230000
jor,2016,1511000
jor,2017,1592000
jor,2018,1501000
jor,2019,1537000
jor,2020,406000
jpn,1995,15298000
jpn,1996,16695000
jpn,1997,16803000
jpn,1998,15806000
jpn,1999,16358000
jpn,2000,17819000
jpn,2001,16216000
jpn,2002,16523000
jpn,2003,13296000
jpn,2004,16831000
jpn,2005,17404000
jpn,2006,17535000
jpn,2007,17295000
jpn,2008,15987000
jpn,2009,15446000
jpn,2010,16637000
jpn,2011,16994000
jpn,2012,18491000
jpn,2013,17473000
jpn,2014,16903000
jpn,2015,16214000
jpn,2016,17116000
jpn,2017,17889000
jpn,2018,18954000
jpn,2019,20081000
jpn,2020,3174000
kaz,2006,3688000
kaz,2007,4544000
kaz,2008,4330000
kaz,2009,5423000
kaz,2010,6019000
kaz,2011,8020000
kaz,2012,9066000
kaz,2013,10144000
kaz,2014,10450000
kaz,2015,11303000
kaz,2016,9756000
kaz,2017,10261000
kaz,2018,10646000
kaz,2019,10707000
kaz,2020,2865000
kgz,2008,2273000
kgz,2009,2354000
kgz,2010,1342000
kgz,2011,3061000
kgz,2012,3621000
kgz,2013,3993000
kgz,2014,3790000
kgz,2015,4008000
kgz,2016,4185000
kgz,2017,4446000
kgz,2018,6839000
kgz,2019,5314000
khm,1995,31000
khm,1996,38000
khm,1997,45000
khm,1998,41000
khm,1999,49000
khm,2000,41000
khm,2001,37000
khm,2002,45000
khm,2003,60000
khm,2004,239000
khm,2005,568000
khm,2006,787000
khm,2007,996000
khm,2008,786000
khm,2009,340000
khm,2010,505000
khm,2011,710000
khm,2012,792000
khm,2013,872000
khm,2014,956000
khm,2015,1194000
khm,2016,1434000
khm,2017,1752000
khm,2018,1995000
khm,2019,2038000
khm,2020,326000
kor,1995,3819000
kor,1996,4649000
kor,1997,4542000
kor,1998,3067000
kor,1999,4342000
kor,2000,5508000
kor,2001,6084000
kor,2002,7123000
kor,2003,7086000
kor,2004,8826000
kor,2005,10080000
kor,2006,11610000
kor,2007,13325000
kor,2008,11996000
kor,2009,9494000
kor,2010,12488000
kor,2011,12694000
kor,2012,13737000
kor,2013,14846000
kor,2014,16081000
kor,2015,19310000
kor,2016,22383000
kor,2017,26496000
kor,2018,28696000
kor,2019,28714000
kor,2020,4276000
kwt,1995,878000
kwt,1996,1051000
kwt,1997,1097000
kwt,1998,1264000
kwt,1999,1209000
kwt,2000,1236000
kwt,2001,1666000
kwt,2002,1725000
kwt,2003,1774000
kwt,2004,1928000
kwt,2005,2173000
kwt,2006,2529000
kwt,2007,2649000
lao,2010,1686000
lao,2011,1788000
lao,2012,2052000
lao,2013,2857000
lao,2014,3320000
lao,2015,3067000
lao,2016,3059000
lao,2017,3049000
lao,2018,3207000
lao,2019,2690000
lao,2020,707000
lby,1995,484000
lby,1996,493000
lby,1997,650000
lka,1995,504000
lka,1996,494000
lka,1997,531000
lka,1998,518000
lka,1999,497000
lka,2000,524000
lka,2001,505000
lka,2002,533000
lka,2003,561000
lka,2004,680000
lka,2005,727000
lka,2006,757000
lka,2007,862000
lka,2008,966000
lka,2009,963000
lka,2010,1122000
lka,2011,1239000
lka,2012,1269000
lka,2013,1262000
lka,2014,1311000
lka,2015,1356000
lka,2016,1448000
lka,2017,1439000
lka,2018,1476000
lka,2019,1441000
lka,2020,305000
ltu,2006,4362000
ltu,2007,3627000
ltu,2008,3847000
ltu,2009,3639000
ltu,2010,4311000
ltu,2011,4020000
ltu,2012,4108000
ltu,2013,4228000
ltu,2014,4292000
ltu,2015,3981000
ltu,2016,4143000
ltu,2017,4294000
ltu,2018,4702000
ltu,2019,4881000
ltu,2020,1643000
lux,1997,694000
lux,1998,757000
lux,1999,809000
lux,2000,950000
lux,2001,923000
lux,2002,1049000
lux,2003,1021000
lux,2004,1100000
lux,2005,1185000
lux,2006,1084000
lux,2007,1132000
lux,2008,1190000
lux,2009,1362000
lux,2010,1237000
lux,2011,1643000
lux,2012,1580000
lux,2013,1624000
lux,2014,1815000
lux,2015,1702000
lux,2016,1588000
lux,2017,2346000
lux,2018,2510000
lux,2019,2548000
lux,2020,1460000
lva,1995,1812000
lva,1996,1798000
lva,1997,1877000
lva,1998,1961000
lva,1999,2256000
lva,2000,2596000
lva,2001,2697000
lva,2002,2306000
lva,2003,2286000
lva,2004,2457000
lva,2005,2959000
lva,2006,3151000
lva,2007,3398000
lva,2008,3782000
lva,2009,3268000
lva,2010,3332000
lva,2011,3257000
lva,2012,1830000
lva,2013,1776000
lva,2014,1846000
lva,2015,1720000
lva,2016,1939000
lva,2017,2055000
lva,2018,2175000
lva,2019,2384000
lva,2020,690000
mac,2005,629000
mac,2006,645000
mac,2007,599000
mac,2008,606000
mac,2009,671000
mac,2010,753000
mac,2011,908000
mac,2012,1291000
mac,2013,1446000
mac,2014,1537000
mac,2015,1466000
mac,2016,1251000
mac,2017,1391000
mac,2018,1780000
mac,2019,1765000
mac,2020,125000
mar,1995,1317000
mar,1996,1212000
mar,1997,1203000
mar,1998,1275000
mar,1999,1545000
mar,2000,1508000
mar,2001,1701000
mar,2002,1533000
mar,2003,1612000
mar,2004,1603000
mar,2005,2247000
mar,2006,2135000
mar,2007,2669000
mar,2008,3421000
mar,2009,2293000
mar,2010,2175000
mar,2011,2378000
mar,2012,2323000
mar,2013,2195000
mar,2014,1850000
mar,2015,1910000
mar,2016,1864000
mar,2017,1849000
mar,2018,1923000
mar,2019,2009000
mar,2020,646000
mda,2009,93300.00305
mda,2010,117199.99695
mda,2011,136100.0061
mda,2012,146800.00305
mda,2013,157600.0061
mda,2014,180600.0061
mda,2015,189800.00305
mda,2016,177000
mda,2017,229000
mda,2018,264000
mda,2019,311000
mda,2020,75000
mdg,1995,39000
mdv,1995,32000
mdv,1996,32000
mdv,1997,33000
mdv,1998,37000
mdv,1999,42000
mdv,2000,42000
mdv,2001,41000
mdv,2002,43000
mdv,2003,44000
mdv,2004,61000
mdv,2005,77000
mdv,2006,74000
mdv,2007,102000
mdv,2008,123000
mex,1995,103161000
mex,1996,103442000
mex,1997,107242000
mex,1998,107927000
mex,1999,117383000
mex,2000,127268000
mex,2001,123732000
mex,2002,124633000
mex,2003,123015000
mex,2004,128903000
mex,2005,128392000
mex,2006,122022000
mex,2007,109540000
mex,2008,107519000
mex,2009,98228000
mex,2010,91658000
mex,2011,88113000
mex,2012,87332000
mex,2013,90787000
mex,2014,90982000
mex,2015,94988000
mex,2016,97372000
mex,2017,94274000
mex,2018,86280000
mex,2019,82752000
mex,2020,36056000
mlt,2008,292000
mlt,2009,292000
mlt,2010,328000
mlt,2011,348000
mlt,2012,368000
mlt,2013,404000
mlt,2014,430000
mlt,2015,456000
mlt,2016,550000
mlt,2017,633000
mlt,2018,728000
mlt,2019,774000
mlt,2020,218000
mus,1995,107000
mus,1996,120000
mus,1997,132000
mus,1998,143000
mus,1999,154000
