geo,time,sh_dth_mort
bdi,2011,31225
bdi,2012,30151
bdi,2013,29101
bdi,2014,28109
bdi,2015,27250
bdi,2016,26465
bdi,2017,25728
bdi,2018,25101
bdi,2019,24471
bdi,2020,23864
bel,1960,5316
bel,1961,5133
bel,1962,4954
bel,1963,4760
bel,1964,4555
bel,1965,4344
bel,1966,4139
bel,1967,3946
bel,1968,3768
bel,1969,3592
bel,1970,3402
bel,1971,3197
bel,1972,2981
bel,1973,2761
bel,1974,2552
bel,1975,2364
bel,1976,2200
bel,1977,2061
bel,1978,1942
bel,1979,1838
bel,1980,1745
bel,1981,1659
bel,1982,1579
bel,1983,1505
bel,1984,1440
bel,1985,1387
bel,1986,1344
bel,1987,1304
bel,1988,1264
bel,1989,1228
bel,1990,1194
bel,1991,1159
bel,1992,1112
bel,1993,1051
bel,1994,980
bel,1995,905
bel,1996,833
bel,1997,773
bel,1998,728
bel,1999,692
bel,2000,663
bel,2001,640
bel,2002,620
bel,2003,604
bel,2004,592
bel,2005,584
bel,2006,580
bel,2007,577
bel,2008,573
bel,2009,567
bel,2010,560
bel,2011,552
bel,2012,541
bel,2013,530
bel,2014,520
bel,2015,514
bel,2016,511
bel,2017,514
bel,2018,520
bel,2019,525
bel,2020,526
ben,1960,31662
ben,1961,31875
ben,1962,32084
ben,1963,32300
ben,1964,32499
ben,1965,32673
ben,1966,32872
ben,1967,33078
ben,1968,33300
ben,1969,33510
ben,1970,33726
ben,1971,33947
ben,1972,34135
ben,1973,34307
ben,1974,34459
ben,1975,34609
ben,1976,34737
ben,1977,34884
ben,1978,35059
ben,1979,35261
ben,1980,35488
ben,1981,35742
ben,1982,36007
ben,1983,36284
ben,1984,36565
ben,1985,36830
ben,1986,37068
ben,1987,37307
ben,1988,37507
ben,1989,37679
ben,1990,37835
ben,1991,37965
ben,1992,38059
ben,1993,38134
ben,1994,38199
ben,1995,38265
ben,1996,38331
ben,1997,38371
ben,1998,38381
ben,1999,38360
ben,2000,38303
ben,2001,38234
ben,2002,38148
ben,2003,38070
ben,2004,38005
ben,2005,37952
ben,2006,37938
ben,2007,37956
ben,2008,37965
ben,2009,37995
ben,2010,38007
ben,2011,37971
ben,2012,37900
ben,2013,37792
ben,2014,37647
ben,2015,37488
ben,2016,37270
ben,2017,37035
ben,2018,36737
ben,2019,36339
ben,2020,35910
bfa,1960,75638
bfa,1961,75743
bfa,1962,76000
bfa,1963,76371
bfa,1964,76766
bfa,1965,77233
bfa,1966,77821
bfa,1967,78550
bfa,1968,79289
bfa,1969,80049
bfa,1970,80713
bfa,1971,81282
bfa,1972,81538
bfa,1973,81369
bfa,1974,80774
bfa,1975,79805
bfa,1976,78604
bfa,1977,77507
bfa,1978,76671
bfa,1979,76161
bfa,1980,75966
bfa,1981,76074
bfa,1982,76281
bfa,1983,76492
bfa,1984,76696
bfa,1985,76761
bfa,1986,76703
bfa,1987,76803
bfa,1988,77182
bfa,1989,78002
bfa,1990,79272
bfa,1991,80917
bfa,1992,82784
bfa,1993,84642
bfa,1994,86381
bfa,1995,87798
bfa,1996,88816
bfa,1997,89601
bfa,1998,90340
bfa,1999,90899
bfa,2000,91328
bfa,2001,91508
bfa,2002,91373
bfa,2003,90747
bfa,2004,89625
bfa,2005,88011
bfa,2006,86003
bfa,2007,83749
bfa,2008,81438
bfa,2009,79303
bfa,2010,77389
bfa,2011,75768
bfa,2012,74177
bfa,2013,72654
bfa,2014,71255
bfa,2015,69909
bfa,2016,68633
bfa,2017,67332
bfa,2018,66090
bfa,2019,64948
bfa,2020,63887
bgd,1960,573560
bgd,1961,577034
bgd,1962,581370
bgd,1963,586717
bgd,1964,593071
bgd,1965,600496
bgd,1966,610022
bgd,1967,620493
bgd,1968,631905
bgd,1969,643755
bgd,1970,795593
bgd,1971,1132254
bgd,1972,662132
bgd,1973,676674
bgd,1974,685038
bgd,1975,691303
bgd,1976,695374
bgd,1977,694824
bgd,1978,691977
bgd,1979,687177
bgd,1980,680940
bgd,1981,673540
bgd,1982,664377
bgd,1983,653404
bgd,1984,640043
bgd,1985,624340
bgd,1986,606541
bgd,1987,586610
bgd,1988,565569
bgd,1989,543663
bgd,1990,521088
bgd,1991,497908
bgd,1992,474440
bgd,1993,450938
bgd,1994,427731
bgd,1995,404817
bgd,1996,382437
bgd,1997,360619
bgd,1998,339673
bgd,1999,319382
bgd,2000,300051
bgd,2001,281638
bgd,2002,264017
bgd,2003,247318
bgd,2004,231405
bgd,2005,216274
bgd,2006,201932
bgd,2007,188485
bgd,2008,176003
bgd,2009,164615
bgd,2010,154269
bgd,2011,144900
bgd,2012,136388
bgd,2013,128490
bgd,2014,121148
bgd,2015,114215
bgd,2016,107595
bgd,2017,101269
bgd,2018,95256
bgd,2019,89548
bgd,2020,84346
bgr,1960,7637
bgr,1961,6654
bgr,1962,5946
bgr,1963,5464
bgr,1964,5158
bgr,1965,4986
bgr,1966,4883
bgr,1967,4795
bgr,1968,4688
bgr,1969,4536
bgr,1970,4351
bgr,1971,4189
bgr,1972,4099
bgr,1973,4068
bgr,1974,4051
bgr,1975,4013
bgr,1976,3931
bgr,1977,3790
bgr,1978,3606
bgr,1979,3408
bgr,1980,3213
bgr,1981,3037
bgr,1982,2884
bgr,1983,2742
bgr,1984,2590
bgr,1985,2425
bgr,1986,2271
bgr,1987,2149
bgr,1988,2064
bgr,1989,2020
bgr,1990,2005
bgr,1991,1976
bgr,1992,1898
bgr,1993,1787
bgr,1994,1679
bgr,1995,1588
bgr,1996,1503
bgr,1997,1414
bgr,1998,1323
bgr,1999,1237
bgr,2000,1162
bgr,2001,1102
bgr,2002,1057
bgr,2003,1019
bgr,2004,980
bgr,2005,937
bgr,2006,897
bgr,2007,870
bgr,2008,849
bgr,2009,828
bgr,2010,798
bgr,2011,757
bgr,2012,705
bgr,2013,649
bgr,2014,596
bgr,2015,549
bgr,2016,510
bgr,2017,475
bgr,2018,443
bgr,2019,412
bgr,2020,380
bhr,1961,1295
bhr,1962,1223
bhr,1963,1148
bhr,1964,1071
bhr,1965,993
bhr,1966,914
bhr,1967,835
bhr,1968,760
bhr,1969,688
bhr,1970,622
bhr,1971,564
bhr,1972,515
bhr,1973,475
bhr,1974,442
bhr,1975,417
bhr,1976,398
bhr,1977,384
bhr,1978,373
bhr,1979,365
bhr,1980,358
bhr,1981,352
bhr,1982,348
bhr,1983,344
bhr,1984,340
bhr,1985,336
bhr,1986,333
bhr,1987,332
bhr,1988,331
bhr,1989,331
bhr,1990,329
bhr,1991,324
bhr,1992,314
bhr,1993,298
bhr,1994,277
bhr,1995,255
bhr,1996,233
bhr,1997,214
bhr,1998,199
bhr,1999,189
bhr,2000,182
bhr,2001,178
bhr,2002,177
bhr,2003,177
bhr,2004,177
bhr,2005,177
bhr,2006,176
bhr,2007,174
bhr,2008,171
bhr,2009,167
bhr,2010,164
bhr,2011,163
bhr,2012,161
bhr,2013,161
bhr,2014,161
bhr,2015,161
bhr,2016,160
bhr,2017,158
bhr,2018,155
bhr,2019,152
bhr,2020,149
bhs,1973,148
bhs,1974,151
bhs,1975,152
bhs,1976,153
bhs,1977,153
bhs,1978,154
bhs,1979,155
bhs,1980,158
bhs,1981,161
bhs,1982,163
bhs,1983,166
bhs,1984,167
bhs,1985,166
bhs,1986,164
bhs,1987,159
bhs,1988,154
bhs,1989,148
bhs,1990,143
bhs,1991,138
bhs,1992,132
bhs,1993,127
bhs,1994,121
bhs,1995,114
bhs,1996,108
bhs,1997,102
bhs,1998,96
bhs,1999,92
bhs,2000,88
bhs,2001,86
bhs,2002,84
bhs,2003,84
bhs,2004,84
bhs,2005,84
bhs,2006,84
bhs,2007,84
bhs,2008,84
bhs,2009,83
bhs,2010,82
bhs,2011,80
bhs,2012,79
bhs,2013,77
bhs,2014,76
bhs,2015,74
bhs,2016,73
bhs,2017,71
bhs,2018,70
bhs,2019,121
bhs,2020,66
bih,1989,1343
bih,1990,1199
bih,1991,1067
bih,1992,2231
bih,1993,2111
bih,1994,1495
bih,1995,750
bih,1996,629
bih,1997,571
bih,1998,516
bih,1999,467
bih,2000,424
bih,2001,389
bih,2002,362
bih,2003,342
bih,2004,326
bih,2005,313
bih,2006,300
bih,2007,287
bih,2008,274
bih,2009,259
bih,2010,246
bih,2011,233
bih,2012,221
bih,2013,210
bih,2014,201
bih,2015,192
bih,2016,184
bih,2017,175
bih,2018,167
bih,2019,158
bih,2020,150
blr,1985,2858
blr,1986,2763
blr,1987,2645
blr,1988,2514
blr,1989,2378
blr,1990,2253
blr,1991,2148
blr,1992,2057
blr,1993,1964
blr,1994,1863
blr,1995,1754
blr,1996,1637
blr,1997,1516
blr,1998,1390
blr,1999,1265
blr,2000,1150
blr,2001,1051
blr,2002,968
blr,2003,904
blr,2004,853
blr,2005,808
blr,2006,761
blr,2007,713
blr,2008,669
blr,2009,630
blr,2010,596
blr,2011,566
blr,2012,540
blr,2013,515
blr,2014,492
blr,2015,467
blr,2016,440
blr,2017,411
blr,2018,380
blr,2019,348
blr,2020,319
blz,1972,458
blz,1973,448
blz,1974,440
blz,1975,431
blz,1976,422
blz,1977,413
blz,1978,404
blz,1979,393
blz,1980,383
blz,1981,371
blz,1982,360
blz,1983,348
blz,1984,336
blz,1985,322
blz,1986,309
blz,1987,296
blz,1988,281
blz,1989,267
blz,1990,253
blz,1991,239
blz,1992,227
blz,1993,216
blz,1994,206
blz,1995,198
blz,1996,191
blz,1997,185
blz,1998,179
blz,1999,175
blz,2000,171
blz,2001,167
blz,2002,164
blz,2003,162
blz,2004,159
blz,2005,157
blz,2006,154
blz,2007,151
blz,2008,148
blz,2009,145
blz,2010,142
blz,2011,139
blz,2012,135
blz,2013,130
blz,2014,125
blz,2015,119
blz,2016,114
blz,2017,108
blz,2018,102
blz,2019,98
blz,2020,93
bol,1965,43406
bol,1966,43125
bol,1967,42794
bol,1968,42452
bol,1969,42097
bol,1970,41697
bol,1971,41276
bol,1972,40812
bol,1973,40298
bol,1974,39740
bol,1975,39127
bol,1976,38501
bol,1977,37838
bol,1978,37156
bol,1979,36500
bol,1980,35854
bol,1981,35252
bol,1982,34659
bol,1983,34055
bol,1984,33423
bol,1985,32765
bol,1986,32055
bol,1987,31313
bol,1988,30523
bol,1989,29690
bol,1990,28836
bol,1991,27960
bol,1992,27059
bol,1993,26133
bol,1994,25186
bol,1995,24215
bol,1996,23220
bol,1997,22195
bol,1998,21157
bol,1999,20108
bol,2000,19063
bol,2001,18036
bol,2002,17031
bol,2003,16056
bol,2004,15124
bol,2005,14229
bol,2006,13373
bol,2007,12564
bol,2008,11803
bol,2009,11088
bol,2010,10426
bol,2011,9808
bol,2012,9227
bol,2013,8685
bol,2014,8194
bol,2015,7758
bol,2016,7383
bol,2017,7044
bol,2018,6750
bol,2019,6486
bol,2020,6253
bra,1960,497825
bra,1961,495380
bra,1962,491961
bra,1963,487638
bra,1964,482756
bra,1965,477224
bra,1966,470847
bra,1967,463512
bra,1968,455375
bra,1969,446220
bra,1970,436585
bra,1971,427192
bra,1972,418569
bra,1973,410839
bra,1974,404227
bra,1975,398368
bra,1976,392681
bra,1977,386779
bra,1978,379724
bra,1979,371094
bra,1980,361014
bra,1981,349505
bra,1982,337141
bra,1983,324130
bra,1984,311013
bra,1985,297868
bra,1986,284646
bra,1987,271575
bra,1988,258595
bra,1989,246048
bra,1990,233805
bra,1991,221807
bra,1992,209691
bra,1993,197514
bra,1994,185442
bra,1995,173777
bra,1996,162693
bra,1997,152045
bra,1998,141802
bra,1999,131989
bra,2000,122391
bra,2001,113078
bra,2002,104056
bra,2003,95558
bra,2004,87609
bra,2005,80324
bra,2006,73913
bra,2007,68307
bra,2008,63489
bra,2009,59488
bra,2010,56169
bra,2011,53485
bra,2012,51352
bra,2013,49646
bra,2014,48290
bra,2015,47147
bra,2016,49408
bra,2017,45255
bra,2018,44324
bra,2019,43325
bra,2020,42241
brb,1960,596
brb,1961,547
brb,1962,502
brb,1963,461
brb,1964,422
brb,1965,387
brb,1966,354
brb,1967,325
brb,1968,299
brb,1969,276
brb,1970,254
brb,1971,235
brb,1972,218
brb,1973,201
brb,1974,186
brb,1975,172
brb,1976,159
brb,1977,147
brb,1978,137
brb,1979,128
brb,1980,120
brb,1981,114
brb,1982,108
brb,1983,104
brb,1984,100
brb,1985,96
brb,1986,92
brb,1987,88
brb,1988,84
brb,1989,80
brb,1990,76
brb,1991,72
brb,1992,68
brb,1993,65
brb,1994,63
brb,1995,60
brb,1996,59
brb,1997,58
brb,1998,57
brb,1999,57
brb,2000,57
brb,2001,58
brb,2002,58
brb,2003,58
brb,2004,58
brb,2005,57
brb,2006,56
brb,2007,55
brb,2008,53
brb,2009,52
brb,2010,50
brb,2011,49
brb,2012,47
brb,2013,46
brb,2014,45
brb,2015,43
brb,2016,42
brb,2017,41
brb,2018,40
brb,2019,38
brb,2020,37
brn,1960,429
brn,1961,396
brn,1962,363
brn,1963,333
brn,1964,307
brn,1965,287
brn,1966,273
brn,1967,264
brn,1968,258
brn,1969,253
brn,1970,246
brn,1971,238
brn,1972,227
brn,1973,213
brn,1974,199
brn,1975,184
brn,1976,170
brn,1977,157
brn,1978,145
brn,1979,134
brn,1980,125
brn,1981,117
brn,1982,110
brn,1983,105
brn,1984,101
brn,1985,98
brn,1986,97
brn,1987,96
brn,1988,96
brn,1989,97
brn,1990,99
brn,1991,101
brn,1992,102
brn,1993,101
brn,1994,100
brn,1995,97
brn,1996,93
brn,1997,89
brn,1998,85
brn,1999,82
brn,2000,79
brn,2001,76
brn,2002,74
brn,2003,72
brn,2004,69
brn,2005,68
brn,2006,66
brn,2007,65
brn,2008,64
brn,2009,64
brn,2010,65
brn,2011,67
brn,2012,68
brn,2013,70
brn,2014,71
brn,2015,72
brn,2016,73
brn,2017,73
brn,2018,73
brn,2019,73
brn,2020,72
btn,1974,3662
btn,1975,3625
btn,1976,3586
btn,1977,3533
btn,1978,3482
btn,1979,3423
btn,1980,3359
btn,1981,3287
btn,1982,3218
btn,1983,3148
btn,1984,3079
btn,1985,3003
btn,1986,2920
btn,1987,2830
btn,1988,2729
btn,1989,2616
btn,1990,2495
btn,1991,2365
btn,1992,2230
btn,1993,2094
btn,1994,1958
btn,1995,1828
btn,1996,1699
btn,1997,1577
btn,1998,1461
btn,1999,1353
btn,2000,1252
btn,2001,1157
btn,2002,1071
btn,2003,991
btn,2004,916
btn,2005,846
btn,2006,782
btn,2007,722
btn,2008,667
btn,2009,616
btn,2010,571
btn,2011,531
btn,2012,498
btn,2013,470
btn,2014,447
btn,2015,428
btn,2016,413
btn,2017,398
btn,2018,384
btn,2019,370
btn,2020,356
bwa,1960,3875
bwa,1961,3814
bwa,1962,3757
bwa,1963,3698
bwa,1964,3647
bwa,1965,3603
bwa,1966,3556
bwa,1967,3511
bwa,1968,3465
bwa,1969,3417
bwa,1970,3362
bwa,1971,3309
bwa,1972,3253
bwa,1973,3196
bwa,1974,3139
bwa,1975,3077
bwa,1976,3013
bwa,1977,2946
bwa,1978,2882
bwa,1979,2817
bwa,1980,2750
bwa,1981,2674
bwa,1982,2591
bwa,1983,2504
bwa,1984,2415
bwa,1985,2322
bwa,1986,2238
bwa,1987,2168
bwa,1988,2122
bwa,1989,2118
bwa,1990,2160
bwa,1991,2260
bwa,1992,2408
bwa,1993,2572
bwa,1994,2760
bwa,1995,2965
bwa,1996,3163
bwa,1997,3354
bwa,1998,3529
bwa,1999,3670
bwa,2000,3786
bwa,2001,3809
bwa,2002,3776
bwa,2003,3721
bwa,2004,3612
bwa,2005,3373
bwa,2006,3146
bwa,2007,3047
bwa,2008,3039
bwa,2009,2958
bwa,2010,2781
bwa,2011,2846
bwa,2012,2812
bwa,2013,2764
bwa,2014,2811
bwa,2015,2789
bwa,2016,2762
bwa,2017,2683
bwa,2018,2630
bwa,2019,2559
bwa,2020,2486
caf,1965,17080
caf,1966,16974
caf,1967,16843
caf,1968,16709
caf,1969,16562
caf,1970,16425
caf,1971,16297
caf,1972,16179
caf,1973,16077
caf,1974,15991
caf,1975,15944
caf,1976,15929
caf,1977,15961
caf,1978,16043
caf,1979,16195
caf,1980,16417
caf,1981,16693
caf,1982,17027
caf,1983,17400
caf,1984,17797
caf,1985,18177
caf,1986,18543
caf,1987,18913
caf,1988,19310
caf,1989,19770
caf,1990,20238
caf,1991,20668
caf,1992,21057
caf,1993,21434
caf,1994,21814
caf,1995,22231
caf,1996,22672
caf,1997,23116
caf,1998,23523
caf,1999,23934
caf,2000,24318
caf,2001,24652
caf,2002,24949
caf,2003,25202
caf,2004,25409
caf,2005,25553
caf,2006,25511
caf,2007,25379
caf,2008,25145
caf,2009,24640
caf,2010,24073
caf,2011,23342
caf,2012,22588
caf,2013,21915
caf,2014,21124
caf,2015,20230
caf,2016,19324
caf,2017,18713
caf,2018,18182
caf,2019,17534
caf,2020,17069
can,1960,15184
can,1961,14735
can,1962,14160
can,1963,13460
can,1964,12652
can,1965,11784
can,1966,10914
can,1967,10078
can,1968,9301
can,1969,8602
can,1970,7987
can,1971,7453
can,1972,6991
can,1973,6583
can,1974,6216
can,1975,5880
can,1976,5568
can,1977,5272
can,1978,4993
can,1979,4728
can,1980,4479
can,1981,4248
can,1982,4039
can,1983,3859
can,1984,3710
can,1985,3586
can,1986,3484
can,1987,3398
can,1988,3318
can,1989,3237
can,1990,3152
can,1991,3060
can,1992,2955
can,1993,2841
can,1994,2718
can,1995,2591
can,1996,2462
can,1997,2342
can,1998,2237
can,1999,2156
can,2000,2097
can,2001,2064
can,2002,2053
can,2003,2056
can,2004,2070
can,2005,2088
can,2006,2108
can,2007,2126
can,2008,2139
can,2009,2147
can,2010,2148
can,2011,2142
can,2012,2129
can,2013,2110
can,2014,2086
can,2015,2061
can,2016,2035
can,2017,2009
can,2018,1984
can,2019,1958
can,2020,1929
che,1960,2506
che,1961,2532
che,1962,2539
che,1963,2519
che,1964,2470
che,1965,2394
che,1966,2302
che,1967,2203
che,1968,2097
che,1969,1981
che,1970,1856
che,1971,1720
che,1972,1577
che,1973,1432
che,1974,1290
che,1975,1157
che,1976,1039
che,1977,942
che,1978,864
che,1979,803
che,1980,758
che,1981,727
che,1982,704
che,1983,689
che,1984,679
che,1985,674
che,1986,671
che,1987,670
