geo,time,sl_tlf_acti_1524_ma_ne_zs
ben,2018,31.47
bfa,1985,88.38
bfa,1991,83.39
bfa,2006,75.32
bfa,2014,59.22
bfa,2018,27.65
bgd,1961,86.2
bgd,1974,74.85
bgd,1981,72.34
bgd,1984,76.21
bgd,1985,76.43
bgd,1986,75.65
bgd,1989,75.88
bgd,1991,78.26
bgd,1996,72.03
bgd,2000,71.28
bgd,2003,69.93
bgd,2006,69.58
bgd,2010,58.98
bgd,2013,53.75
bgd,2016,53.12
bgd,2017,54.92
bgr,1965,54.73
bgr,1975,46.33
bgr,1992,44.04
bgr,1997,32.6
bgr,2000,35.95
bgr,2001,36.84
bgr,2002,35.07
bgr,2003,32.73
bgr,2004,33.29
bgr,2005,31.12
bgr,2006,31.3
bgr,2007,31.72
bgr,2008,33.98
bgr,2009,34.02
bgr,2010,35.49
bgr,2011,33.86
bgr,2012,35.29
bgr,2013,34.33
bgr,2014,31.54
bgr,2015,30.49
bgr,2016,27.98
bgr,2017,30.52
bgr,2018,27.84
bgr,2019,27.58
bgr,2020,25.35
bhr,1971,63.42
bhr,1981,64.52
bhr,1985,49.74
bhr,1987,49.79
bhr,1991,60.82
bhr,2001,55.22
bhr,2004,47.75
bhr,2010,52.78
bhr,2011,51.22
bhr,2015,54.91
bhs,1963,88.27
bhs,1970,75.02
bhs,1980,64.41
bhs,1990,62.79
bhs,1994,65.17
bhs,1998,57.11
bih,2006,39.82
bih,2007,40.32
bih,2008,39.53
bih,2009,39.81
bih,2010,39.27
bih,2011,38.47
bih,2012,37.46
bih,2013,36.08
bih,2014,34.2
bih,2015,38.84
bih,2016,38.11
bih,2017,39.7
bih,2018,40.2
bih,2019,39.12
bih,2020,38.45
blr,1989,54.11
blr,1999,48.42
blr,2009,53.5
blr,2020,46.15
blz,1960,83.14
blz,1970,21.83
blz,1994,61.39
blz,2012,64.58
blz,2013,59.85
blz,2014,61.86
blz,2015,59.6
blz,2016,60.33
blz,2017,59.2
blz,2019,63.92
bmu,1970,76.38
bmu,1976,97.33
bmu,1980,76.16
bmu,1991,59.06
bmu,2000,50.29
bol,1976,67.81
bol,1980,69.44
bol,1981,68.85
bol,1982,68.49
bol,1985,65.71
bol,1986,66.94
bol,1987,67.21
bol,1990,67.05
bol,1992,59.03
bol,1995,51.32
bol,1996,45.75
bol,1997,59.81
bol,1999,59.1
bol,2000,60.12
bol,2005,55.28
bol,2006,61.9
bol,2008,57.73
bol,2009,56.46
bol,2011,60.4
bol,2012,53.92
bol,2013,53.02
bol,2014,60.07
bol,2015,53.67
bol,2016,50.14
bol,2017,50.95
bol,2018,55.14
bol,2019,56.46
bol,2020,57.3
bra,1960,81.61
bra,1970,73.96
bra,1973,81.45
bra,1980,76.37
bra,1985,82.3
bra,1986,82.4
bra,1987,83.08
bra,1988,82.11
bra,1989,82.24
bra,1990,81.17
bra,1991,81.17
bra,1992,81.72
bra,1993,80.78
bra,1995,77.85
bra,1996,74.19
bra,1997,75.16
bra,1998,74.42
bra,1999,74.09
bra,2001,72.25
bra,2002,72.67
bra,2003,72.13
bra,2004,73.11
bra,2005,74.31
bra,2006,72.67
bra,2007,71.87
bra,2008,71.38
bra,2009,71
bra,2011,67.02
bra,2012,65.47
bra,2013,64.25
bra,2014,63.04
bra,2015,62.65
bra,2016,62.05
bra,2017,62.46
bra,2018,62.61
bra,2019,63.08
bra,2020,57.91
brb,1970,75.34
brb,1980,75.7
brb,1983,69.08
brb,1986,65.25
brb,1987,67.63
brb,1988,67.51
brb,1989,74.64
brb,1990,67.9
brb,1991,60.66
brb,1992,65.42
brb,1994,68.69
brb,1995,68.06
brb,1996,68.32
brb,1997,65.88
brb,2003,59.89
brb,2004,62.78
brb,2011,56.58
brb,2012,52.06
brb,2013,53.21
brb,2014,47.09
brb,2015,46.14
brb,2016,44.54
brb,2017,43.07
brb,2018,47.86
brb,2019,46.8
brn,1960,66.37
brn,1971,57.73
brn,1978,61.9
brn,1981,63.94
brn,1986,54.11
brn,1991,55.89
brn,2001,53.88
brn,2014,39.29
brn,2017,42.91
brn,2018,45.08
brn,2019,46.07
brn,2020,47.75
btn,2005,53.67
btn,2006,40.7
btn,2009,44.12
btn,2010,40.48
btn,2011,35.24
btn,2012,28.26
btn,2014,25.27
btn,2015,28.01
bwa,1981,68.96
bwa,1985,64.98
bwa,1991,56.69
bwa,1994,51.1
bwa,1996,37.19
bwa,1998,45.4
bwa,2000,41.78
bwa,2001,41.25
bwa,2006,46.68
bwa,2009,43.22
bwa,2010,42.35
bwa,2013,49.82
bwa,2019,37.31
bwa,2020,39.75
caf,1988,71.25
can,1961,61.85
can,1971,65.26
can,1976,68.87
can,1977,69.91
can,1978,70.77
can,1979,72.41
can,1980,73.15
can,1981,73.59
can,1982,70.74
can,1983,70.64
can,1984,70.82
can,1985,71.26
can,1986,72.31
can,1987,73.01
can,1988,73.07
can,1989,73.78
can,1990,72.4
can,1991,70.08
can,1992,67.79
can,1993,66.54
can,1994,65.9
can,1995,64.9
can,1996,64.04
can,1997,63.64
can,1998,63.44
can,1999,65.28
can,2000,65.84
can,2001,66.03
can,2002,67.74
can,2003,68.15
can,2004,67.59
can,2005,66.03
can,2006,66.25
can,2007,67.45
can,2008,67.87
can,2009,65.42
can,2010,64.17
can,2011,64.58
can,2012,63.34
can,2013,63.83
can,2014,63.78
can,2015,64.06
can,2016,63.45
can,2017,63.85
can,2018,63.34
can,2019,64.09
can,2020,61.9
can,2021,63.84
che,1960,79.93
che,1970,76.01
che,1980,70.39
che,1990,71.55
che,1991,72.89
che,1992,71.83
che,1993,72.78
che,1994,68.16
che,1995,67.97
che,1996,69.87
che,1997,69.43
che,1998,70.79
che,1999,68.54
che,2000,70.64
che,2001,68.59
che,2002,70.4
che,2003,70.41
che,2004,68.13
che,2005,66.58
che,2006,70.15
che,2007,70.24
che,2008,68.1
che,2009,66.13
che,2010,68.84
che,2011,69.15
che,2012,68.88
che,2013,68.92
che,2014,68.34
che,2015,66.75
che,2016,67.77
che,2017,69.54
che,2018,68.34
che,2019,66.64
che,2020,65.44
chl,1960,75.06
chl,1970,63.23
chl,1980,51.27
chl,1981,51.39
chl,1982,51.08
chl,1983,49.03
chl,1984,50.31
chl,1985,54.93
chl,1986,52.91
chl,1988,52.78
chl,1989,52.66
chl,1990,52.53
chl,1991,50.94
chl,1992,50.28
chl,1993,54.23
chl,1994,54.03
chl,1995,50.58
chl,1996,55.6
chl,1997,53.23
chl,1998,51.5
chl,1999,50.48
chl,2000,47.66
chl,2001,46.38
chl,2002,45.74
chl,2003,44.2
chl,2004,43.65
chl,2005,42.66
chl,2006,43.83
chl,2007,44.14
chl,2008,46.81
chl,2009,44.59
chl,2010,44.12
chl,2011,44.49
chl,2012,42.3
chl,2013,41.36
chl,2014,41.12
chl,2015,41.09
chl,2016,39.38
chl,2017,37.92
chl,2018,36.52
chl,2019,33.78
chl,2020,30.18
chn,1982,81.54
chn,1990,77.4
chn,2000,68.04
chn,2010,59.6
civ,1988,75.34
civ,1998,62.55
civ,2012,50.99
civ,2013,50.59
civ,2016,41.06
civ,2017,31.42
cmr,1976,60.92
cmr,1980,57.17
cmr,1982,64.37
cmr,1985,56.86
cmr,1996,51.7
cmr,2001,51.6
cmr,2007,69.19
cmr,2010,61.18
cmr,2014,52.59
cod,2005,39.58
cod,2012,32.22
cog,1974,50.88
cog,1984,34.17
cog,2005,41.32
cog,2009,50.08
col,1964,76.75
col,1973,65.27
col,1985,49.12
col,1993,61.59
col,2001,67.24
col,2002,66.81
col,2003,66.72
col,2004,63.95
col,2005,62.82
col,2007,57.69
col,2008,57.06
col,2009,60.87
col,2010,61.85
col,2011,63.64
col,2012,64.79
col,2013,62.98
col,2014,63.07
col,2015,63.44
col,2016,61.48
col,2017,60.62
col,2018,60.45
col,2019,58.2
col,2020,54.05
com,1980,56.84
com,2004,15.91
com,2014,17.38
cpv,1980,40.64
cpv,1990,79.49
cpv,2015,49.16
cpv,2017,39.64
cpv,2018,36.78
cpv,2019,37.29
cri,1963,84.97
cri,1973,68.43
cri,1984,69.23
cri,1990,73.72
cri,1991,70.74
cri,1992,69.47
cri,1993,70.58
cri,1994,68.89
cri,1995,70.55
cri,1996,66.37
cri,1997,67.26
cri,1998,68.55
cri,1999,65.81
cri,2000,64.68
cri,2001,64.71
cri,2002,62.95
cri,2003,64.82
cri,2004,61.81
cri,2005,60.5
cri,2006,61.23
cri,2007,63.57
cri,2008,59.41
cri,2009,57.1
cri,2010,55.2
cri,2011,52.22
cri,2012,56.62
cri,2013,54.44
cri,2014,56.5
cri,2015,52.96
cri,2016,50.89
cri,2017,51.41
cri,2018,54.3
cri,2019,51.22
cri,2020,49.37
cub,1970,67.81
cub,1981,48.9
cub,2008,44.71
cym,1960,90.51
cym,1989,76.04
cym,1991,73.55
cym,2006,60.05
cym,2007,49.86
cym,2008,57.43
cym,2011,50.87
cym,2012,51.62
cym,2013,54.93
cym,2014,46.41
cym,2015,52.03
cyp,1960,78.43
cyp,1976,50.04
cyp,1988,71.49
cyp,1989,75.23
cyp,1990,73.02
cyp,1991,71.13
cyp,1992,58.13
cyp,1995,60.81
cyp,2000,42.35
cyp,2001,42.95
cyp,2002,40.92
cyp,2003,42.42
cyp,2004,43.77
cyp,2005,46.64
cyp,2006,44.97
cyp,2007,43.89
cyp,2008,43.1
cyp,2009,42.11
cyp,2010,40.93
cyp,2011,41.4
cyp,2012,42.81
cyp,2013,40.77
cyp,2014,41.2
cyp,2015,36.81
cyp,2016,35.77
cyp,2017,33.21
cyp,2018,36.46
cyp,2019,37.67
cyp,2020,40.23
cze,1991,58.7
cze,1993,59.7
cze,1994,59.93
cze,1995,58.75
cze,1996,57.58
cze,1997,53.08
cze,1998,52.46
cze,1999,51
cze,2000,47.65
cze,2001,44.6
cze,2002,42.35
cze,2003,38.82
cze,2004,37.77
cze,2005,38.85
cze,2006,37.72
cze,2007,36.73
cze,2008,35.89
cze,2009,37.25
cze,2010,36.19
cze,2011,35.46
cze,2012,36.43
cze,2013,36.79
cze,2014,38.06
cze,2015,37.36
cze,2016,37.48
cze,2017,36.47
cze,2018,34.37
cze,2019,33.37
cze,2020,32.87
deu,1983,53.74
deu,1984,59.99
deu,1985,60.74
deu,1986,61.81
deu,1987,62.04
deu,1988,63.17
deu,1989,61.31
deu,1990,62.51
deu,1991,62.33
deu,1992,60.15
deu,1993,58.39
deu,1994,56.89
deu,1995,54.57
deu,1996,53.61
deu,1997,53.15
deu,1998,53.52
deu,1999,53.95
deu,2000,53.66
deu,2001,53.42
deu,2002,52.75
deu,2003,52.17
deu,2004,50.47
deu,2005,52.43
deu,2006,53.15
deu,2007,53.99
deu,2008,54.71
deu,2009,54.26
deu,2010,53.71
deu,2011,54.78
deu,2012,53.24
deu,2013,52.89
deu,2014,52.03
deu,2015,50.46
deu,2016,50.91
deu,2017,51.28
deu,2018,52.51
deu,2019,54.21
deu,2020,53.54
dji,2017,17.89
dma,1981,73.52
dma,1989,74.68
dma,1997,64.71
dma,1999,64.3
dma,2001,50.52
dnk,1960,82.08
dnk,1965,78.47
dnk,1970,69.82
dnk,1974,65.28
dnk,1976,65.01
dnk,1977,64.94
dnk,1978,64.99
dnk,1979,64.91
dnk,1981,71.74
dnk,1983,68.28
dnk,1984,76.77
dnk,1985,78.77
dnk,1986,78.55
dnk,1987,76.3
dnk,1988,78.56
dnk,1989,79.32
dnk,1990,76.5
dnk,1991,75.39
dnk,1992,72.96
dnk,1993,71.03
dnk,1994,72.1
dnk,1995,76.99
dnk,1996,76.61
dnk,1997,77.66
dnk,1998,71.53
dnk,1999,76.74
dnk,2000,75.17
dnk,2001,69.35
dnk,2002,70.58
dnk,2003,68.09
dnk,2004,68.97
dnk,2005,70
dnk,2006,70.54
dnk,2007,72.02
dnk,2008,69.91
dnk,2009,68.5
dnk,2010,64.01
dnk,2011,63.4
dnk,2012,61.03
dnk,2013,57.28
dnk,2014,57.76
dnk,2015,58.06
dnk,2016,57.93
dnk,2017,59.57
dnk,2018,59.36
dnk,2019,60.5
dnk,2020,60.08
dom,1960,82
dom,1970,67.01
dom,1979,67.76
dom,1981,58.34
dom,1991,76.3
dom,1992,79.2
dom,1993,66.9
dom,1994,67.7
dom,1996,67.37
dom,1997,71.32
dom,1998,67.47
dom,2000,59.67
dom,2001,58.02
dom,2002,55.9
dom,2003,53.17
dom,2004,53.76
dom,2005,52.78
dom,2006,53.81
dom,2007,53.84
dom,2008,54.1
dom,2009,49.15
dom,2010,49.07
dom,2011,51.46
dom,2012,51.15
dom,2013,51.68
dom,2014,52.13
dom,2015,56
dom,2016,56.87
dom,2017,54.7
dom,2018,56.26
dom,2019,56.98
dom,2020,50.56
dza,1966,76.43
dza,1975,73.9
dza,1977,54.13
dza,1985,45.12
dza,1987,60.5
dza,1996,65
dza,2009,47.79
dza,2010,46.46
dza,2014,42.82
dza,2015,41
dza,2016,40.59
dza,2017,32.88
ecu,1962,86.24
ecu,1974,72.18
ecu,1980,69.23
ecu,1981,68.75
ecu,1982,60.56
ecu,1988,59.42
ecu,1989,59.28
ecu,1990,64.93
ecu,1996,57.63
ecu,1997,58.14
ecu,1998,63.21
ecu,2000,64.53
ecu,2001,70.31
ecu,2002,59.69
ecu,2003,64.4
ecu,2004,64.85
ecu,2005,64.46
ecu,2006,67.21
ecu,2007,61.96
ecu,2008,62.03
ecu,2009,58.15
ecu,2010,55.3
ecu,2011,52.92
ecu,2012,54.02
ecu,2013,51.16
ecu,2014,51.76
ecu,2015,53.08
ecu,2016,54.43
ecu,2017,55.06
ecu,2018,53.72
ecu,2019,53.07
ecu,2020,48.4
egy,1960,76.76
egy,1973,55.43
egy,1975,53.8
egy,1976,60.28
egy,1977,53.02
egy,1978,52.87
egy,1979,52.33
egy,1980,51.13
egy,1983,57.45
egy,1984,53.54
egy,1986,57.12
egy,1989,43.57
egy,1990,40.57
egy,1991,38.71
egy,1992,42.68
egy,1993,44.31
egy,1994,45
egy,1995,46.51
egy,1998,42.4
egy,1999,46.59
egy,2001,38.33
egy,2002,39
egy,2005,50.35
egy,2006,46.21
egy,2007,46.46
egy,2008,49.33
egy,2009,48.26
egy,2010,49.46
egy,2011,47.95
egy,2012,47.98
egy,2013,48.12
egy,2014,46.18
egy,2015,42.92
egy,2016,41.93
egy,2017,38.22
egy,2018,36.15
egy,2019,35.66
egy,2020,37.21
esp,1960,82.07
esp,1970,73.21
esp,1977,61.51
esp,1978,60.34
esp,1979,59.05
esp,1980,58.3
esp,1981,57.78
esp,1982,57.89
esp,1983,56.94
esp,1984,56.96
esp,1985,56.05
esp,1986,54.46
esp,1987,54.47
esp,1988,54.15
esp,1989,51.85
esp,1990,51.57
esp,1991,50.69
esp,1992,49.64
esp,1993,47.96
esp,1994,47.26
esp,1995,44.55
esp,1996,43.97
esp,1997,44.47
esp,1998,45.02
esp,1999,46.36
esp,2000,46.68
esp,2001,47.41
esp,2002,48.57
esp,2003,49.3
esp,2004,49.77
esp,2005,52.54
esp,2006,52.18
esp,2007,52.16
esp,2008,51.47
esp,2009,48.2
esp,2010,44.97
esp,2011,42.57
esp,2012,40.35
esp,2013,39.59
esp,2014,37.35
esp,2015,36.17
esp,2016,34.73
esp,2017,35.09
esp,2018,35.1
esp,2019,35.13
esp,2020,32.19
est,1989,55.33
est,1990,60.4
est,1991,60.15
est,1992,61.26
est,1993,59.25
est,1994,62.11
est,1995,58.32
est,1996,54.81
est,1997,51.33
est,1998,46.75
est,1999,43
est,2000,43.16
est,2001,38.83
est,2002,37.4
est,2003,48.54
est,2004,47.04
est,2005,41.15
est,2006,40.86
est,2007,43.54
est,2008,44.5
est,2009,43.79
est,2010,41.16
est,2011,43.44
est,2012,44.27
est,2013,41.38
est,2014,41.38
est,2015,45.72
est,2016,46.1
est,2017,49.7
est,2018,49.56
est,2019,46.26
est,2020,44.8
eth,1994,79.97
eth,1999,73.42
eth,2005,80.76
eth,2013,79.1
fin,1960,70.99
fin,1970,61.25
fin,1976,49.48
fin,1979,57.21
fin,1980,26.01
fin,1981,58.06
fin,1982,61.78
fin,1984,62.51
fin,1990,64.16
fin,1991,61.09
fin,1992,56.58
fin,1993,54.63
fin,1994,51.24
fin,1995,51.11
fin,1996,49.27
fin,1997,52.22
fin,1998,52.12
fin,1999,65.11
fin,2000,64.85
fin,2001,64.43
fin,2002,63.62
fin,2003,61.91
fin,2004,60.24
fin,2005,50.91
fin,2006,52.59
fin,2007,53.26
fin,2008,53.44
fin,2009,49.71
fin,2010,49.42
fin,2011,50.52
fin,2012,51.16
fin,2013,50.76
fin,2014,51.52
fin,2015,51.1
fin,2016,51.23
fin,2017,52.32
fin,2018,51.47
fin,2019,54.29
fin,2020,53.07
fji,1966,83.05
fji,1976,71.67
fji,1982,77.05
fji,1986,74.37
fji,1996,57.16
fji,2005,49.79
fji,2011,50.16
fji,2014,47.09
fji,2016,51.56
fra,1962,49.42
fra,1968,56
fra,1975,48.48
fra,1979,52.47
fra,1980,52.28
fra,1981,50.91
fra,1982,51.35
fra,1983,57.87
fra,1984,55.82
fra,1985,55.28
fra,1986,54.98
fra,1987,53.04
fra,1988,49.39
fra,1989,47.98
fra,1990,47.74
fra,1991,42.12
fra,1992,41.94
fra,1993,39.97
fra,1994,38.41
fra,1995,37.29
fra,1996,37.38
fra,1997,36.41
fra,1998,36.27
fra,1999,39.5
fra,2000,38.59
fra,2001,39.22
fra,2002,41.02
fra,2003,40.68
fra,2004,40.12
fra,2005,41.94
fra,2006,42.03
fra,2007,41.92
fra,2008,42.22
fra,2009,42.94
fra,2010,42.62
fra,2011,41.31
fra,2012,40.8
fra,2013,40.78
fra,2014,39.72
fra,2015,40.44
fra,2016,39.86
fra,2017,40.25
fra,2018,41.05
fra,2019,39.61
fra,2020,38.19
fro,1960,90.74
fro,1966,31.45
fro,1970,78.33
fro,1977,67.4
fsm,2014,45.74
gab,1993,38.07
gab,2010,20.77
gbm,1971,80.8
gbm,1976,68.88
gbm,1981,69.84
gbm,1991,67.07
gbm,1996,58.82
gbm,2001,61.14
gbm,2006,54.33
gbm,2011,57.81
gbm,2016,57.63
gbr,1961,83.58
gbr,1966,80.25
gbr,1971,75.93
gbr,1981,69.04
gbr,1983,69.89
gbr,1984,72.09
gbr,1985,75.28
gbr,1986,75.2
gbr,1987,75.83
gbr,1988,76.65
gbr,1989,77.44
gbr,1990,76.7
gbr,1991,74.65
gbr,1992,72.67
gbr,1993,70.41
gbr,1994,69
gbr,1995,67.88
gbr,1996,68.33
gbr,1997,68.31
gbr,1998,67.79
gbr,1999,66.84
gbr,2000,67
gbr,2001,65.65
gbr,2002,65.53
gbr,2003,64.04
gbr,2004,63.97
gbr,2005,65.18
gbr,2006,64.88
gbr,2007,64.16
gbr,2008,64.31
gbr,2009,61.3
gbr,2010,60.94
gbr,2011,60.73
gbr,2012,60.92
gbr,2013,60.21
gbr,2014,59.5
gbr,2015,59.97
gbr,2016,59.18
gbr,2017,58.15
gbr,2018,58.52
gbr,2019,57.56
geo,1999,42.5
geo,2000,45.79
geo,2001,45.03
geo,2002,44.17
geo,2003,46.19
geo,2004,39.29
geo,2005,41.75
geo,2006,38.3
geo,2007,36.1
geo,2008,40.97
geo,2009,48.76
geo,2010,50.4
geo,2011,53.11
geo,2012,53.92
geo,2013,53.92
geo,2014,53.78
geo,2015,52.25
geo,2016,51.14
geo,2017,50.13
geo,2018,47.49
geo,2019,45.68
geo,2020,41.98
gha,1960,75.72
gha,1970,59.78
gha,1989,36.9
gha,1991,57.47
gha,1992,40.3
gha,1998,70.99
gha,1999,71
gha,2000,52.77
gha,2006,35.02
gha,2010,42.9
gha,2013,55.77
gha,2015,46.51
gha,2017,31.23
gib,1970,86.73
gib,1981,78.75
gin,1983,61.25
gin,2002,41.96
gin,2019,26.11
gmb,1983,67.95
gmb,1993,44.99
gmb,2012,46.29
gmb,2018,20.74
gnb,1979,68.4
gnb,2018,39.9
gnq,1983,85.19
grc,1961,60.54
grc,1971,47.41
grc,1981,33.76
grc,1982,34.81
grc,1983,50.39
grc,1984,49.66
grc,1985,48.21
grc,1986,45.21
grc,1987,44.38
grc,1988,44.59
grc,1989,45.16
grc,1990,44.07
grc,1991,43.38
grc,1992,43
grc,1993,42.38
grc,1994,41.76
grc,1995,41.32
grc,1996,40.08
grc,1997,38.71
grc,1998,43.99
grc,1999,41.84
grc,2000,41.74
grc,2001,38.81
grc,2002,39.3
grc,2003,38.38
grc,2004,40.28
grc,2005,36.92
grc,2006,35.75
grc,2007,34.44
grc,2008,34.01
grc,2009,33.92
grc,2010,33.03
grc,2011,31.69
grc,2012,31.24
grc,2013,31.56
grc,2014,29.99
grc,2015,27.66
grc,2016,26.44
grc,2017,26.16
grc,2018,25.08
grc,2019,23.94
grc,2020,23.12
grd,1988,65.72
grd,1998,68.5
grl,1960,27.77
grl,1970,86.96
grl,1976,57.74
gtm,1964,86.83
gtm,1973,80.27
gtm,1978,69.49
gtm,1979,76.42
gtm,1980,81.33
gtm,1981,73.53
gtm,1985,74.39
gtm,1987,83.75
gtm,1989,82.29
gtm,1994,73.39
gtm,1999,76.78
gtm,2003,82
gtm,2004,76.79
gtm,2006,79.58
gtm,2010,69.13
gtm,2011,71.09
gtm,2012,77.11
gtm,2013,68.43
gtm,2014,71.18
gtm,2015,72.68
gtm,2016,71.9
gtm,2017,74.53
gtm,2018,73.05
gtm,2019,71.71
gum,1960,73.04
gum,1970,70.43
gum,1980,70.23
gum,1983,39.9
gum,1986,50.19
gum,1988,55.13
gum,1990,75.77
gum,2002,48.9
gum,2004,53.1
gum,2005,52.5
gum,2006,54.2
gum,2007,45.4
gum,2009,49.5
gum,2011,47.5
guy,1980,78.35
guy,1987,75.17
guy,1993,69.57
guy,2002,66.2
guy,2018,57.22
guy,2019,51.31
hkg,1961,73.59
hkg,1966,66.04
hkg,1971,67.98
hkg,1975,66.85
hkg,1976,68.97
hkg,1979,63.17
hkg,1980,65.78
hkg,1981,70.28
hkg,1982,66.2
hkg,1983,67.42
hkg,1984,67.76
hkg,1985,64.1
hkg,1986,63.86
hkg,1987,62.46
hkg,1988,61.08
hkg,1989,58.98
hkg,1990,57.74
hkg,1991,56.99
hkg,1992,55.4
hkg,1993,55.17
hkg,1994,53.31
hkg,1995,51.21
hkg,1996,50.84
hkg,1997,50.29
hkg,1998,49.46
hkg,2000,46.4
hkg,2001,44.38
hkg,2002,44.34
hkg,2003,44.48
hkg,2004,43.93
hkg,2005,42.89
hkg,2006,41.69
hkg,2007,40.92
hkg,2008,38.79
hkg,2009,38.12
hkg,2010,35.36
hkg,2011,35.73
hkg,2012,36.33
hkg,2013,37.8
hkg,2014,37.77
hkg,2015,39.07
hkg,2016,39.45
hkg,2017,38.05
hkg,2018,39.25
hkg,2019,39.57
hkg,2020,35.93
hnd,1974,81.48
hnd,1993,65
hnd,1994,75.9
hnd,1999,79.48
hnd,2001,73.43
hnd,2002,75
hnd,2003,73.5
