geo,time,se_ter_cuat_ba_fe_zs
moz,1980,0
moz,2017,1.31014
mrt,2013,1.02178
mwi,1998,0.25429
mys,2016,12.31396
mys,2019,13.44193
ner,2012,0.57368
nga,2006,6.54534
nld,2013,24.56499
nld,2014,25.61676
nld,2015,26.56355
nld,2016,27.45689
nld,2018,29.52412
nld,2020,33.33875
nld_curacao,2020,30.82023
nor,2014,29.69427
nor,2015,30.80063
nor,2016,31.70654
nor,2017,32.67652
nor,2019,34.35116
npl,2011,2.23697
nzl,2014,27.29524
nzl,2015,27.66767
nzl,2016,29.99338
nzl,2020,35.55542
omn,2010,13.38648
omn,2015,18.15541
omn,2020,22.88093
pan,2010,18.71755
pan,2019,22.34131
phl,2010,18.0453
phl,2013,19.23904
phl,2017,18.80533
phl,2019,27.01022
pol,2013,24.82291
pol,2014,25.9513
pol,2016,27.71876
pol,2020,31.16296
pri,2012,16.43407
pri,2017,8.76907
prt,1970,0.94639
prt,1981,2.22368
prt,1991,7.20784
prt,1998,7.4737
prt,1999,7.55914
prt,2000,7.8287
prt,2001,8.4015
prt,2002,8.90282
prt,2003,10.14062
prt,2004,11.43142
prt,2005,11.62607
prt,2006,12.2734
prt,2007,12.67599
prt,2008,13.15874
prt,2009,13.51721
prt,2010,14.44891
prt,2011,15.61735
prt,2012,16.85516
prt,2013,18.05482
prt,2014,19.89921
prt,2015,20.60311
prt,2016,21.45883
prt,2017,21.92285
prt,2018,21.4512
prt,2019,23.22363
prt,2020,25.42135
pry,2012,10.98329
pry,2013,13.99492
pry,2014,13.64804
pry,2015,15.27854
pry,2016,14.8254
pry,2018,15.75087
pry,2019,16.83599
pry,2020,16.53306
pse,2013,15.10981
pse,2014,15.73516
pse,2015,16.58315
pse,2016,17.42703
pse,2017,18.15504
pse,2018,20.10098
pse,2020,23.05584
qat,2004,29.96173
qat,2007,32.92279
qat,2008,33.23221
qat,2009,35.24859
qat,2011,30.84624
qat,2012,33.87307
qat,2013,34.48604
qat,2014,36.10111
qat,2016,34.69919
qat,2017,35.26343
rou,2014,12.73791
rus,2010,60.98058
rwa,2012,1.40767
rwa,2014,1.48454
rwa,2018,3.42399
sau,2004,14.82216
sau,2013,20.39454
sau,2017,26.88691
sau,2020,32.26086
sen,2011,1.0888
sen,2013,1.80182
sen,2017,0.90232
sgp,2006,17.08729
sgp,2007,17.82677
sgp,2008,19.48114
sgp,2009,20.30797
sgp,2010,21.60116
sgp,2011,22.72257
sgp,2012,23.46401
sgp,2013,25.1599
sgp,2014,25.47448
sgp,2015,26.13423
sgp,2016,27.29824
sgp,2017,28.36425
sgp,2018,29.35413
sgp,2019,30.7934
sle,2004,0.29194
slv,2013,5.54891
slv,2016,6.509
slv,2017,6.11726
slv,2019,7.70891
smr,2018,17.44898
srb,2002,6.82417
srb,2011,11.7761
srb,2013,10.95974
srb,2014,12.5838
srb,2015,13.86618
srb,2016,15.00626
srb,2017,15.3534
srb,2019,16.28859
ssd,2008,2.49862
stp,1981,0.11534
stp,2012,2.17914
sur,2012,10.08972
svk,2011,18.63522
svk,2014,18.54957
svk,2015,19.80222
svk,2016,20.86902
svk,2017,21.9999
svk,2018,23.37376
svk,2019,24.59314
svn,2014,20.12658
svn,2015,21.38284
svn,2016,22.54478
svn,2017,23.59961
svn,2019,24.23929
swe,2013,24.98544
swe,2014,25.65616
swe,2015,26.29769
swe,2016,26.95552
swe,2017,27.57755
swe,2019,29.03789
tcd,2009,0.25103
tha,2013,14.13305
tha,2016,16.26812
tha,2018,16.58242
tha,2019,17.4759
tjk,1989,8.1
tjk,2000,6.24269
tjk,2017,7.13522
tto,2008,11.08178
tto,2009,10.27728
tto,2011,6.23494
tza,2002,0.66512
tza,2012,1.29961
uga,2008,1.99592
uga,2010,1.93796
uga,2012,1.1388
ukr,2001,16.07957
ury,2013,7.58387
ury,2014,8.00046
ury,2015,12.75233
ury,2016,13.09841
ury,2017,13.81074
ury,2018,13.87987
ury,2019,14.22666
usa,2013,31.39076
usa,2014,32.00147
usa,2015,32.67396
usa,2016,33.69419
usa,2018,35.31721
usa,2020,38.32017
uzb,2013,13.08208
uzb,2014,13.28741
uzb,2015,13.34938
uzb,2016,12.00487
uzb,2018,12.71713
uzb,2019,13.31259
ven,2011,22.19852
ven,2015,26.00358
ven,2016,29.45482
vnm,2019,9.50352
wsm,2001,3.40224
zaf,2015,5.71576
zaf,2017,8.21088
zaf,2019,2.57878
zwe,2017,2.46643
