geo,time,sp_pop_1564_ma_in
aut,2012,2843311
aut,2013,2857718
aut,2014,2877576
aut,2015,2907318
aut,2016,2936493
aut,2017,2955757
aut,2018,2969088
aut,2019,2979921
aut,2020,2987777
aze,1960,985782
aze,1961,1001989
aze,1962,1019084
aze,1963,1038393
aze,1964,1061692
aze,1965,1089915
aze,1966,1114420
aze,1967,1146404
aze,1968,1184204
aze,1969,1224767
aze,1970,1266496
aze,1971,1310892
aze,1972,1354780
aze,1973,1400399
aze,1974,1450641
aze,1975,1506417
aze,1976,1562274
aze,1977,1622651
aze,1978,1686115
aze,1979,1749976
aze,1980,1812340
aze,1981,1868528
aze,1982,1921133
aze,1983,1970143
aze,1984,2015961
aze,1985,2058726
aze,1986,2089644
aze,1987,2118902
aze,1988,2147221
aze,1989,2174218
aze,1990,2178774
aze,1991,2194265
aze,1992,2214529
aze,1993,2236533
aze,1994,2257878
aze,1995,2279438
aze,1996,2303325
aze,1997,2331670
aze,1998,2365743
aze,1999,2404098
aze,2000,2446536
aze,2001,2500099
aze,2002,2554717
aze,2003,2612332
aze,2004,2677001
aze,2005,2749553
aze,2006,2818959
aze,2007,2892883
aze,2008,2995957
aze,2009,3095678
aze,2010,3161631
aze,2011,3219598
aze,2012,3271365
aze,2013,3315721
aze,2014,3355395
aze,2015,3392252
aze,2016,3416271
aze,2017,3439877
aze,2018,3461293
aze,2019,3480420
aze,2020,3491422
bdi,1960,707510
bdi,1961,717263
bdi,1962,725803
bdi,1963,734795
bdi,1964,746763
bdi,1965,762824
bdi,1966,777003
bdi,1967,795934
bdi,1968,817479
bdi,1969,838656
bdi,1970,857916
bdi,1971,866312
bdi,1972,873297
bdi,1973,880697
bdi,1974,890705
bdi,1975,904628
bdi,1976,924512
bdi,1977,948723
bdi,1978,976256
bdi,1979,1005774
bdi,1980,1036072
bdi,1981,1057825
bdi,1982,1081239
bdi,1983,1105607
bdi,1984,1130674
bdi,1985,1156772
bdi,1986,1181459
bdi,1987,1208493
bdi,1988,1237251
bdi,1989,1267047
bdi,1990,1297056
bdi,1991,1304880
bdi,1992,1314249
bdi,1993,1324947
bdi,1994,1336934
bdi,1995,1350963
bdi,1996,1366917
bdi,1997,1384141
bdi,1998,1405368
bdi,1999,1433456
bdi,2000,1469961
bdi,2001,1526874
bdi,2002,1592787
bdi,2003,1666169
bdi,2004,1744693
bdi,2005,1826288
bdi,2006,1906248
bdi,2007,1989850
bdi,2008,2075335
bdi,2009,2160572
bdi,2010,2244297
bdi,2011,2317455
bdi,2012,2389942
bdi,2013,2462419
bdi,2014,2536534
bdi,2015,2613727
bdi,2016,2694557
bdi,2017,2780190
bdi,2018,2870522
bdi,2019,2965168
bdi,2020,3063957
bel,1960,2941389
bel,1961,2932496
bel,1962,2933130
bel,1963,2949445
bel,1964,2973061
bel,1965,2995142
bel,1966,3005649
bel,1967,3015157
bel,1968,3022276
bel,1969,3029214
bel,1970,3034050
bel,1971,3041492
bel,1972,3057630
bel,1973,3074615
bel,1974,3095748
bel,1975,3120407
bel,1976,3136570
bel,1977,3154929
bel,1978,3176352
bel,1979,3201643
bel,1980,3231200
bel,1981,3254284
bel,1982,3279041
bel,1983,3303966
bel,1984,3325132
bel,1985,3341360
bel,1986,3343604
bel,1987,3343573
bel,1988,3348658
bel,1989,3354505
bel,1990,3358552
bel,1991,3362705
bel,1992,3367713
bel,1993,3372079
bel,1994,3374361
bel,1995,3374773
bel,1996,3371551
bel,1997,3372843
bel,1998,3375618
bel,1999,3380275
bel,2000,3386111
bel,2001,3397706
bel,2002,3412650
bel,2003,3426882
bel,2004,3443160
bel,2005,3465474
bel,2006,3489042
bel,2007,3518377
bel,2008,3550701
bel,2009,3581354
bel,2010,3611937
bel,2011,3649376
bel,2012,3659879
bel,2013,3664021
bel,2014,3668642
bel,2015,3681262
bel,2016,3689841
bel,2017,3696349
bel,2018,3706610
bel,2019,3719665
bel,2020,3729137
ben,1960,641070
ben,1961,645435
ben,1962,649953
ben,1963,655142
ben,1964,662035
ben,1965,671160
ben,1966,677762
ben,1967,686865
ben,1968,698018
ben,1969,710498
ben,1970,723907
ben,1971,734541
ben,1972,746857
ben,1973,760789
ben,1974,776378
ben,1975,793642
ben,1976,809336
ben,1977,827052
ben,1978,846737
ben,1979,868387
ben,1980,891972
ben,1981,913773
ben,1982,938279
ben,1983,965197
ben,1984,994156
ben,1985,1024992
ben,1986,1053912
ben,1987,1085281
ben,1988,1119535
ben,1989,1157338
ben,1990,1199056
ben,1991,1244063
ben,1992,1293640
ben,1993,1346596
ben,1994,1401492
ben,1995,1457390
ben,1996,1506360
ben,1997,1556872
ben,1998,1609446
ben,1999,1664903
ben,2000,1723853
ben,2001,1783657
ben,2002,1847622
ben,2003,1914946
ben,2004,1984501
ben,2005,2055490
ben,2006,2119765
ben,2007,2185637
ben,2008,2253864
ben,2009,2325499
ben,2010,2401161
ben,2011,2476803
ben,2012,2557280
ben,2013,2641889
ben,2014,2729644
ben,2015,2820011
ben,2016,2909841
ben,2017,3003145
ben,2018,3099937
ben,2019,3200303
ben,2020,3304206
bfa,1960,1381492
bfa,1961,1385645
bfa,1962,1392387
bfa,1963,1401426
bfa,1964,1412392
bfa,1965,1425149
bfa,1966,1432885
bfa,1967,1442936
bfa,1968,1455323
bfa,1969,1470334
bfa,1970,1488063
bfa,1971,1498482
bfa,1972,1512908
bfa,1973,1530644
bfa,1974,1550497
bfa,1975,1571892
bfa,1976,1585768
bfa,1977,1601463
bfa,1978,1619890
bfa,1979,1642342
bfa,1980,1669462
bfa,1981,1692122
bfa,1982,1721044
bfa,1983,1755019
bfa,1984,1792514
bfa,1985,1832924
bfa,1986,1870784
bfa,1987,1913046
bfa,1988,1959785
bfa,1989,2011386
bfa,1990,2068190
bfa,1991,2123907
bfa,1992,2185176
bfa,1993,2251966
bfa,1994,2324149
bfa,1995,2401526
bfa,1996,2473384
bfa,1997,2551651
bfa,1998,2635633
bfa,1999,2724493
bfa,2000,2817900
bfa,2001,2905448
bfa,2002,2999246
bfa,2003,3099169
bfa,2004,3205138
bfa,2005,3317053
bfa,2006,3423520
bfa,2007,3537374
bfa,2008,3658130
bfa,2009,3785556
bfa,2010,3919556
bfa,2011,4049896
bfa,2012,4188691
bfa,2013,4335087
bfa,2014,4488209
bfa,2015,4647767
bfa,2016,4809163
bfa,2017,4977033
bfa,2018,5152024
bfa,2019,5334997
bfa,2020,5526184
bgd,1960,13989593
bgd,1961,14272802
bgd,1962,14592605
bgd,1963,14941735
bgd,1964,15309384
bgd,1965,15690705
bgd,1966,16058684
bgd,1967,16447530
bgd,1968,16840515
bgd,1969,17226797
bgd,1970,17603622
bgd,1971,17869732
bgd,1972,18100174
bgd,1973,18329121
bgd,1974,18590987
bgd,1975,18909735
bgd,1976,19276987
bgd,1977,19745182
bgd,1978,20293462
bgd,1979,20900669
bgd,1980,21551347
bgd,1981,22174387
bgd,1982,22864783
bgd,1983,23607990
bgd,1984,24386336
bgd,1985,25191370
bgd,1986,25961978
bgd,1987,26762094
bgd,1988,27591008
bgd,1989,28454285
bgd,1990,29353349
bgd,1991,30203312
bgd,1992,31081319
bgd,1993,31989885
bgd,1994,32931586
bgd,1995,33908624
bgd,1996,34869988
bgd,1997,35865345
bgd,1998,36886973
bgd,1999,37925332
bgd,2000,38970535
bgd,2001,39937379
bgd,2002,40917506
bgd,2003,41892291
bgd,2004,42838162
bgd,2005,43741407
bgd,2006,44482064
bgd,2007,45183061
bgd,2008,45869498
bgd,2009,46572888
bgd,2010,47316700
bgd,2011,48166330
bgd,2012,49040218
bgd,2013,49941512
bgd,2014,50870213
bgd,2015,51818200
bgd,2016,52745990
bgd,2017,53691198
bgd,2018,54633816
bgd,2019,55546280
bgd,2020,56413569
bgr,1960,2616615
bgr,1961,2647680
bgr,1962,2680338
bgr,1963,2713461
bgr,1964,2746130
bgr,1965,2774355
bgr,1966,2796583
bgr,1967,2816972
bgr,1968,2838474
bgr,1969,2860617
bgr,1970,2878475
bgr,1971,2889383
bgr,1972,2897378
bgr,1973,2906204
bgr,1974,2918340
bgr,1975,2924219
bgr,1976,2923651
bgr,1977,2925676
bgr,1978,2917803
bgr,1979,2915560
bgr,1980,2927424
bgr,1981,2939142
bgr,1982,2956756
bgr,1983,2976023
bgr,1984,2992141
bgr,1985,2995634
bgr,1986,2992052
bgr,1987,2987436
bgr,1988,2979672
bgr,1989,2937561
bgr,1990,2883963
bgr,1991,2848630
bgr,1992,2818678
bgr,1993,2801969
bgr,1994,2799551
bgr,1995,2793409
bgr,1996,2784159
bgr,1997,2771788
bgr,1998,2758403
bgr,1999,2750918
bgr,2000,2749289
bgr,2001,2705699
bgr,2002,2659766
bgr,2003,2652304
bgr,2004,2646111
bgr,2005,2639033
bgr,2006,2620625
bgr,2007,2603434
bgr,2008,2585905
bgr,2009,2566806
bgr,2010,2543649
bgr,2011,2510608
bgr,2012,2478323
bgr,2013,2446070
bgr,2014,2414222
bgr,2015,2382364
bgr,2016,2351265
bgr,2017,2319780
bgr,2018,2290464
bgr,2019,2265492
bgr,2020,2247373
bhr,1960,50891
bhr,1961,51905
bhr,1962,53127
bhr,1963,54311
bhr,1964,55312
bhr,1965,56245
bhr,1966,57776
bhr,1967,59178
bhr,1968,60578
bhr,1969,62242
bhr,1970,64389
bhr,1971,68089
bhr,1972,72791
bhr,1973,78451
bhr,1974,85033
bhr,1975,92487
bhr,1976,102423
bhr,1977,113225
bhr,1978,124146
bhr,1979,134318
bhr,1980,143161
bhr,1981,148535
bhr,1982,152232
bhr,1983,154961
bhr,1984,157824
bhr,1985,161638
bhr,1986,167415
bhr,1987,174484
bhr,1988,182143
bhr,1989,189714
bhr,1990,196957
bhr,1991,203235
bhr,1992,209841
bhr,1993,216658
bhr,1994,223579
bhr,1995,230533
bhr,1996,236122
bhr,1997,242318
bhr,1998,249294
bhr,1999,257905
bhr,2000,269151
bhr,2001,289528
bhr,2002,312934
bhr,2003,339585
bhr,2004,370187
bhr,2005,405162
bhr,2006,451669
bhr,2007,502406
bhr,2008,552945
bhr,2009,597552
bhr,2010,632429
bhr,2011,648912
bhr,2012,655664
bhr,2013,658303
bhr,2014,665429
bhr,2015,683198
bhr,2016,720084
bhr,2017,768976
bhr,2018,823821
bhr,2019,875215
bhr,2020,916543
bhs,1960,27484
bhs,1961,29164
bhs,1962,30874
bhs,1963,32593
bhs,1964,34301
bhs,1965,36037
bhs,1966,38061
bhs,1967,40131
bhs,1968,42137
bhs,1969,43903
bhs,1970,45391
bhs,1971,47082
bhs,1972,48272
bhs,1973,49184
bhs,1974,50158
bhs,1975,51422
bhs,1976,52864
bhs,1977,54780
bhs,1978,56979
bhs,1979,59150
bhs,1980,61105
bhs,1981,63357
bhs,1982,65214
bhs,1983,66852
bhs,1984,68554
bhs,1985,70465
bhs,1986,72123
bhs,1987,74121
bhs,1988,76302
bhs,1989,78393
bhs,1990,80260
bhs,1991,82258
bhs,1992,83906
bhs,1993,85326
bhs,1994,86759
bhs,1995,88325
bhs,1996,89344
bhs,1997,90549
bhs,1998,91903
bhs,1999,93272
bhs,2000,94604
bhs,2001,96304
bhs,2002,98073
bhs,2003,99949
bhs,2004,101967
bhs,2005,104061
bhs,2006,106268
bhs,2007,108392
bhs,2008,110535
bhs,2009,112720
bhs,2010,114924
bhs,2011,117089
bhs,2012,119248
bhs,2013,121400
bhs,2014,123498
bhs,2015,125514
bhs,2016,127598
bhs,2017,129457
bhs,2018,131173
bhs,2019,132877
bhs,2020,134614
bih,1960,907859
bih,1961,925196
bih,1962,944724
bih,1963,966175
bih,1964,988484
bih,1965,1010790
bih,1966,1025880
bih,1967,1043040
bih,1968,1061611
bih,1969,1080323
bih,1970,1098623
bih,1971,1118484
bih,1972,1136989
bih,1973,1155868
bih,1974,1177418
bih,1975,1202414
bih,1976,1227917
bih,1977,1256124
bih,1978,1286346
bih,1979,1317035
bih,1980,1347282
bih,1981,1378371
bih,1982,1407501
bih,1983,1435209
bih,1984,1462689
bih,1985,1490098
bih,1986,1514781
bih,1987,1538925
bih,1988,1556974
bih,1989,1561550
bih,1990,1548771
bih,1991,1515560
bih,1992,1464863
bih,1993,1405825
bih,1994,1350408
bih,1995,1306555
bih,1996,1282397
bih,1997,1271162
bih,1998,1269431
bih,1999,1272072
bih,2000,1275325
bih,2001,1276232
bih,2002,1279165
bih,2003,1283670
bih,2004,1289148
bih,2005,1295121
bih,2006,1302818
bih,2007,1308368
bih,2008,1311064
bih,2009,1310306
bih,2010,1305211
bih,2011,1288368
bih,2012,1269350
bih,2013,1249111
bih,2014,1227804
bih,2015,1205846
bih,2016,1186359
bih,2017,1165236
bih,2018,1144338
bih,2019,1125956
bih,2020,1110857
blr,1960,2248261
blr,1961,2250700
blr,1962,2263179
blr,1963,2283717
blr,1964,2309063
blr,1965,2337463
blr,1966,2373473
blr,1967,2413593
blr,1968,2458068
blr,1969,2506734
blr,1970,2558238
blr,1971,2613920
blr,1972,2667486
blr,1973,2718724
blr,1974,2767611
blr,1975,2813533
blr,1976,2851520
blr,1977,2896284
blr,1978,2946428
blr,1979,2993901
blr,1980,3036888
blr,1981,3077459
blr,1982,3111315
blr,1983,3140628
blr,1984,3168442
blr,1985,3195812
blr,1986,3215845
blr,1987,3237660
blr,1988,3247764
blr,1989,3256650
blr,1990,3259808
blr,1991,3251445
blr,1992,3250346
blr,1993,3252659
blr,1994,3249438
blr,1995,3246180
blr,1996,3252561
blr,1997,3259456
blr,1998,3268449
blr,1999,3280042
blr,2000,3292013
blr,2001,3290004
blr,2002,3283966
blr,2003,3276794
blr,2004,3271838
blr,2005,3268638
blr,2006,3260293
blr,2007,3259487
blr,2008,3261890
blr,2009,3263774
blr,2010,3261003
blr,2011,3243593
blr,2012,3224228
blr,2013,3205467
blr,2014,3188823
blr,2015,3175041
blr,2016,3161630
blr,2017,3143438
blr,2018,3120812
blr,2019,3095577
blr,2020,3061442
blz,1960,22664
blz,1961,23017
blz,1962,23482
blz,1963,24019
blz,1964,24605
blz,1965,25245
blz,1966,25980
blz,1967,26744
blz,1968,27537
blz,1969,28345
blz,1970,29144
blz,1971,29618
blz,1972,30066
blz,1973,30512
blz,1974,30991
blz,1975,31522
blz,1976,32180
blz,1977,32930
blz,1978,33809
blz,1979,34785
blz,1980,35836
blz,1981,37122
blz,1982,38397
blz,1983,39696
blz,1984,41068
blz,1985,42549
blz,1986,43876
blz,1987,45361
blz,1988,46900
blz,1989,48360
blz,1990,49682
blz,1991,50716
blz,1992,51561
blz,1993,52421
blz,1994,53546
blz,1995,55066
blz,1996,57461
blz,1997,60279
blz,1998,63290
blz,1999,66218
blz,2000,68958
blz,2001,71614
blz,2002,74167
blz,2003,76721
blz,2004,79373
blz,2005,82172
blz,2006,85000
blz,2007,87861
blz,2008,90755
blz,2009,93657
blz,2010,96557
blz,2011,99858
blz,2012,103158
blz,2013,106467
blz,2014,109816
blz,2015,113175
blz,2016,116321
blz,2017,119495
blz,2018,122661
blz,2019,125754
blz,2020,128758
bol,1960,976232
bol,1961,995765
bol,1962,1017588
bol,1963,1041376
bol,1964,1066868
bol,1965,1093932
bol,1966,1116484
bol,1967,1141301
bol,1968,1168042
bol,1969,1196396
bol,1970,1226191
bol,1971,1251907
bol,1972,1279658
bol,1973,1309239
bol,1974,1340539
bol,1975,1373531
bol,1976,1402391
bol,1977,1433591
bol,1978,1466811
bol,1979,1501745
bol,1980,1538249
bol,1981,1569442
bol,1982,1602709
bol,1983,1637811
bol,1984,1674505
bol,1985,1712726
bol,1986,1750284
bol,1987,1789612
bol,1988,1830731
bol,1989,1873904
bol,1990,1919195
bol,1991,1961915
bol,1992,2007987
bol,1993,2056648
bol,1994,2106811
bol,1995,2157902
bol,1996,2205552
bol,1997,2254299
bol,1998,2304446
bol,1999,2356559
bol,2000,2410848
bol,2001,2464652
bol,2002,2520533
bol,2003,2578090
bol,2004,2636901
bol,2005,2696716
bol,2006,2755038
bol,2007,2815218
bol,2008,2876881
bol,2009,2939474
bol,2010,3002658
bol,2011,3066074
bol,2012,3129428
bol,2013,3193145
bol,2014,3257947
bol,2015,3324048
bol,2016,3388250
bol,2017,3454131
bol,2018,3520987
bol,2019,3587524
bol,2020,3652954
bra,1960,19265365
bra,1961,19763716
bra,1962,20292470
bra,1963,20857481
bra,1964,21467487
bra,1965,22126120
bra,1966,22748930
bra,1967,23442772
bra,1968,24189958
bra,1969,24965937
bra,1970,25759248
