geo,time,en_pop_el5m_zs
nzl,2000,4.23349
nzl,2010,4.23258
omn,1990,4.5859
omn,2000,5.64621
omn,2010,5.65235
pak,1990,1.05163
pak,2000,1.05806
pak,2010,1.06489
pan,1990,3.01573
pan,2000,3.0276
pan,2010,3.00958
per,1990,0.91184
per,2000,0.91133
per,2010,0.91531
phl,1990,5.75383
phl,2000,5.64762
phl,2010,5.65129
plw,1990,3.70674
plw,2000,3.53733
plw,2010,3.45392
png,1990,0.52728
png,2000,0.48858
png,2010,0.48749
pol,1990,1.73535
pol,2000,1.74855
pol,2010,1.74711
pri,1990,9.69142
pri,2000,9.03522
pri,2010,8.91276
prk,1990,5.2288
prk,2000,5.12794
prk,2010,5.13153
prt,1990,3.45417
prt,2000,3.63369
prt,2010,3.62596
pse,1990,0.53666
pse,2000,0.55854
pse,2010,0.55386
pyf,1990,5.34325
pyf,2000,4.95166
pyf,2010,4.96923
qat,1990,14.50619
qat,2000,13.19099
qat,2010,12.82907
rou,1990,1.92913
rou,2000,1.95198
rou,2010,1.9515
rus,1990,1.28199
rus,2000,1.20644
rus,2010,1.20663
sau,1990,4.93688
sau,2000,5.17065
sau,2010,5.19934
sdn,1990,0.26342
sdn,2000,0.30324
sdn,2010,0.30361
sen,1990,9.72655
sen,2000,10.03846
sen,2010,10.05758
sgp,1990,10.48214
sgp,2000,10.48214
sgp,2010,10.33207
slb,1990,2.73654
slb,2000,2.82019
slb,2010,2.8568
sle,1990,3.71578
sle,2000,3.79145
sle,2010,3.78706
slv,1990,0.517
slv,2000,0.50561
slv,2010,0.49699
smr,1990,0
smr,2000,0
smr,2010,0
som,1990,1.91641
som,2000,2.46741
som,2010,2.5003
stp,1990,1.18267
stp,2000,1.3084
stp,2010,1.32086
sur,1990,53.1748
sur,2000,55.9607
sur,2010,56.1885
svn,1990,0.75347
svn,2000,0.758
svn,2010,0.75648
swe,1990,3.63797
swe,2000,3.73373
swe,2010,3.73696
swz,1990,0
swz,2000,0
swz,2010,0
syc,1990,16.74658
syc,2000,16.74655
syc,2010,16.63716
syr,1990,0.13133
syr,2000,0.13272
syr,2010,0.13214
tca,1990,48.49361
tca,2000,48.65555
tca,2010,48.35396
tgo,1990,3.53167
tgo,2000,3.55778
tgo,2010,3.61
tha,1990,9.11775
tha,2000,10.26623
tha,2010,10.34186
tls,1990,0.92141
tls,2000,0.93519
tls,2010,0.93504
ton,1990,7.56725
ton,2000,7.53148
ton,2010,7.52886
tto,1990,2.92994
tto,2000,2.92379
tto,2010,2.90722
tun,1990,8.31677
tun,2000,8.46445
tun,2010,8.51559
tur,1990,1.56683
tur,2000,1.74897
tur,2010,1.75587
tuv,1990,43.01677
tuv,2000,47.46696
tuv,2010,47.46696
tza,1990,0.69647
tza,2000,0.70319
tza,2010,0.71018
ukr,1990,1.77512
ukr,2000,1.79611
ukr,2010,1.80094
ury,1990,4.16774
ury,2000,4.12098
ury,2010,4.11402
usa,1990,2.57457
usa,2000,2.50236
usa,2010,2.51256
vct,1990,3.72369
vct,2000,3.72492
vct,2010,3.71026
ven,1990,2.35056
ven,2000,2.48746
ven,2010,2.49611
vgb,1990,12.04506
vgb,2000,12.04406
vgb,2010,12.01159
vir,1990,5.63185
vir,2000,5.63211
vir,2010,5.44484
vnm,1990,37.05687
vnm,2000,37.05687
vnm,2010,36.97183
vut,1990,1.12508
vut,2000,1.1733
vut,2010,1.17643
wsm,1990,1.44864
wsm,2000,1.45211
wsm,2010,1.4446
yem,1990,1.537
yem,2000,1.55692
yem,2010,1.58123
zaf,1990,0.15892
zaf,2000,0.16443
zaf,2010,0.16452
