geo,time,se_ter_cuat_st_zs
cze,2011,16.52293
cze,2012,17.34349
cze,2013,18.28116
cze,2014,18.96725
cze,2015,19.53053
cze,2016,20.24125
cze,2017,20.85695
cze,2019,21.01292
deu,2004,22.35756
deu,2005,22.07248
deu,2006,21.52043
deu,2007,21.95724
deu,2008,23.04858
deu,2009,24.03834
deu,2010,24.27409
deu,2011,25.04294
deu,2012,25.61967
deu,2013,26.01148
deu,2014,24.87272
deu,2015,25.42612
deu,2016,26.17681
deu,2018,25.74189
dma,2001,5.03387
dnk,1991,19.62109
dnk,1994,18.93684
dnk,1995,19.72952
dnk,2003,32.47396
dnk,2004,32.53165
dnk,2007,31.46853
dnk,2008,34.14229
dnk,2009,31.0772
dnk,2010,30.69135
dnk,2011,30.68707
dnk,2012,32.28393
dnk,2013,32.96768
dnk,2014,33.29419
dnk,2015,34.50745
dnk,2016,35.41787
dnk,2018,37.11665
dnk,2020,37.74166
dom,1970,1.9
dom,2007,18.65133
dom,2010,10.78617
dom,2011,10.27196
dom,2012,10.78866
dom,2013,10.85859
dom,2014,11.78635
dom,2015,12.38035
dom,2016,21.97098
dza,1971,0.31726
dza,2006,7.65762
dza,2008,8.03136
ecu,1974,3.17138
ecu,1982,7.51888
ecu,1990,12.91963
ecu,2007,11.44763
ecu,2008,10.93895
ecu,2009,11.07479
ecu,2010,11.36205
ecu,2011,10.67376
ecu,2012,12.00285
ecu,2013,12.73122
ecu,2014,11.72843
ecu,2015,13.6029
ecu,2016,13.48267
ecu,2017,13.95734
ecu,2020,13.9266
egy,2006,13.1601
egy,2017,6.1679
esp,1970,3.68259
esp,1981,7.15017
esp,1986,7
esp,1991,8.44641
esp,2004,21.61652
esp,2005,23.3035
esp,2006,23.62624
esp,2007,24.18417
esp,2008,24.49914
esp,2009,24.89298
esp,2010,25.67359
esp,2011,26.49158
esp,2012,26.94193
esp,2014,28.97893
esp,2015,29.29108
esp,2016,29.79126
esp,2018,31.10641
esp,2020,33.44231
est,1989,13.65259
est,2000,28.15222
est,2006,32.41149
est,2007,32.10965
est,2008,33.2539
est,2009,34.50862
est,2010,34.02901
est,2011,35.53011
est,2012,36.04406
est,2013,37.0678
est,2014,37.09958
est,2015,37.60364
est,2016,37.79958
est,2017,38.7834
est,2018,40.29036
est,2020,39.49889
eth,2007,0.50457
eth,2011,1.09299
fin,1985,13.8
fin,1990,15.36384
fin,2003,28.59551
fin,2005,29.54046
fin,2006,30.04247
fin,2007,30.49442
fin,2008,31.17265
fin,2009,31.60918
fin,2010,32.13383
fin,2011,32.59481
fin,2012,33.06768
fin,2013,33.68302
fin,2014,34.10039
fin,2015,34.34607
fin,2017,35.24765
fin,2019,36.48098
fji,1976,3.32447
fji,1986,4.45642
fji,1996,8.57577
fji,2007,12.30886
fji,2017,5.16891
fra,2004,19.80779
fra,2005,20.53558
fra,2007,22.51867
fra,2008,22.94235
fra,2009,22.48214
fra,2010,24.4325
fra,2011,25.11531
fra,2012,25.95176
fra,2013,27.19112
fra,2014,28.52746
fra,2015,30.38622
fra,2016,29.51004
fra,2017,30.13079
fra,2019,32.17384
gbr,1971,7.92897
gbr,2009,31.4906
gbr,2010,33.70109
gbr,2011,33.05904
gbr,2012,36.95036
gbr,2013,37.85674
gbr,2014,38.9803
gbr,2017,44.09417
gbr,2020,47.24378
geo,2002,25.85996
geo,2012,30.17271
geo,2014,30.88183
geo,2016,32.85854
geo,2017,34.06376
geo,2019,33.69809
gha,2010,3.12943
gmb,2015,7.50002
grc,1981,7.6
grc,1991,8.7
grc,2006,17.90592
grc,2007,18.99021
grc,2008,19.22018
grc,2010,20.03332
grc,2014,23.02719
grc,2015,23.70704
grc,2016,21.20057
grc,2020,26.80897
grl,2012,12.98999
grl,2014,13.24063
grl,2015,13.17023
grl,2018,13.69537
grl,2019,13.49528
gtm,1973,1.2
gtm,1981,2.2
gtm,2002,3.62246
gtm,2006,3.40715
gtm,2012,2.56928
gtm,2013,2.86267
gtm,2014,8.53061
gtm,2019,4.50545
guy,2002,0.19876
hkg,2006,15.20629
hkg,2008,15.7135
hkg,2009,16.38045
hkg,2010,17.21102
hkg,2011,18.68917
hkg,2014,20.55182
hkg,2015,21.72613
hkg,2017,22.9105
hkg,2019,23.46276
hnd,1974,1.05079
hnd,2007,7.36238
hnd,2011,8.02833
hnd,2012,7.13872
hnd,2014,9.77358
hnd,2015,9.66533
hnd,2016,10.79066
hnd,2018,9.74761
hnd,2019,10.04167
hrv,1991,6.41926
hrv,2001,13.95893
hrv,2011,18.29156
hun,1970,5.08216
hun,1980,6.97642
hun,1990,10.10249
hun,2001,12.64464
hun,2005,14.69275
hun,2009,18.73807
hun,2010,18.99349
hun,2011,20.02697
hun,2012,21.01024
hun,2013,21.45709
hun,2014,20.87763
hun,2015,21.67435
hun,2016,21.39629
hun,2020,24.99868
idn,1971,0.45275
idn,1980,0.8027
idn,1990,2.32264
idn,2006,6.9496
idn,2007,4.49848
idn,2008,4.31999
idn,2009,7.50208
idn,2011,7.88074
idn,2014,8.6548
idn,2015,9.24636
idn,2016,9.3982
idn,2018,9.99415
idn,2020,11.02807
ind,2011,9.89301
irl,2007,28.56215
irl,2011,31.8035
irl,2017,36.65642
irn,2006,16.17399
irn,2008,15.76646
irn,2010,18.53014
irn,2012,19.7987
irn,2013,21.31421
irn,2014,21.72996
irn,2016,23.06212
irq,2013,10.74047
isl,2005,28.92438
isl,2019,38.34738
isl,2020,38.72659
isr,1972,14.77005
isr,1982,23.1
isr,1983,11.2
isr,2004,28.20697
isr,2006,41.07094
isr,2007,41.78801
isr,2009,42.80128
isr,2010,43.25063
isr,2011,44.07899
isr,2012,44.66997
isr,2013,45.41605
isr,2014,46.79059
isr,2015,47.07398
ita,1971,2.58225
ita,1981,4.1
ita,2001,9.35807
ita,2005,10.06195
ita,2006,10.56366
ita,2007,11.10493
ita,2008,11.71253
ita,2009,11.85939
ita,2010,12.1344
ita,2011,12.21703
ita,2012,12.75082
ita,2014,13.84892
ita,2015,14.35266
ita,2020,16.565
jor,2003,1.40941
jor,2008,15.92741
jor,2010,16.18239
jpn,1970,9.47812
jpn,1980,14.31461
jpn,1990,21.13489
jpn,2010,34.39562
kaz,2009,52.38229
kaz,2018,73.91028
ken,2009,2.18306
kgz,1999,14.87401
kgz,2009,17.62265
khm,2007,1.64701
khm,2014,5.4834
khm,2015,5.49314
kor,1970,5.73537
kor,1975,6.9
kor,1980,8.91445
kor,1985,11.70817
kor,1990,13.4
kor,1995,20.82788
kor,2000,24.05019
kor,2005,31.58874
kor,2009,28.00646
kor,2010,35.32099
kor,2015,40.30227
kwt,1970,4.6
kwt,1975,6.6
kwt,1980,10.09236
kwt,1985,12.65568
kwt,1988,16.38586
kwt,2005,13.51235
kwt,2006,13.14825
kwt,2007,12.82023
kwt,2008,13.17522
kwt,2012,16.49865
kwt,2013,13.77169
kwt,2015,15.02227
kwt,2017,17.39209
kwt,2018,18.50706
lbn,1970,3.1
lbn,2007,15.36266
lca,1970,1
lca,1980,1.29572
lca,1991,3.40057
lca,2010,6.77725
lca,2013,10.29254
lca,2019,9.25032
lka,1971,2.25574
lka,1981,1.0607
lka,2001,13.70463
lka,2008,13.87674
lka,2009,14.10822
lso,1976,0.11737
lso,2006,1.55128
lso,2008,1.88756
ltu,1989,12.60906
ltu,2005,22.60824
ltu,2006,23.44013
ltu,2007,25.69367
ltu,2008,26.35877
ltu,2009,26.78369
ltu,2010,28.0674
ltu,2011,29.28699
ltu,2012,29.33477
ltu,2013,29.88393
lux,2001,15.33036
lux,2003,19.68823
lux,2007,23.47974
lux,2009,32.89987
lux,2010,33.17057
lux,2011,34.95206
lux,2012,36.76339
lux,2013,38.92815
lux,2014,43.1259
lux,2015,34.27727
lva,2004,18.94246
lva,2005,19.88081
lva,2006,20.22774
lva,2007,21.26496
lva,2008,23.96035
lva,2009,24.87025
lva,2010,25.24889
lva,2011,25.91948
lva,2012,27.21001
lva,2013,29.24035
lva,2014,28.72764
lva,2015,29.77351
lva,2016,31.39028
lva,2018,33.07475
lva,2019,33.9761
mac,1991,5.94889
mac,2001,10.08609
mac,2006,12.57799
mac,2011,17.36436
mac,2016,23.85601
mda,2007,15.09286
mda,2008,15.62452
mda,2009,16.26503
mda,2010,16.96554
mda,2011,17.86586
mda,2012,18.86181
mda,2013,33.08051
mda,2014,33.51818
mda,2015,33.07303
mda,2018,33.51442
mda,2019,34.17305
mdg,2018,4.70569
mdv,2006,1.7416
mex,1980,5.32739
mex,1990,9.16988
mex,2000,9.02967
mex,2004,12.54011
mex,2005,12.10782
mex,2006,14.91233
mex,2007,14.44718
mex,2008,14.46253
mex,2009,15.47879
mex,2010,14.42384
mex,2012,16.31269
mex,2013,14.7768
mex,2014,14.43193
mex,2015,16.27255
mex,2016,15.15323
mex,2017,15.82328
mex,2018,16.44959
mex,2020,18.77146
mkd,2020,21.95744
mli,1976,0.21076
mli,2015,3.76984
mli,2016,2.05767
mli,2018,2.81132
mli,2020,2.37153
mlt,2000,2.64461
mlt,2005,10.79449
mlt,2007,11.20077
mlt,2010,12.22444
mlt,2011,13.49022
mlt,2012,13.99055
mlt,2013,16.13704
mlt,2014,16.46212
mlt,2015,16.44249
mlt,2016,16.78452
mlt,2018,22.11887
mlt,2020,25.33552
mmr,1973,0.2
mmr,1983,2
mmr,2019,9.35007
mne,2003,15.44174
mne,2011,19.57146
mng,2020,34.14674
moz,2009,1.50201
moz,2011,1.93097
moz,2015,1.80533
moz,2017,1.97416
mrt,2013,2.85226
mus,2000,2.64461
mus,2011,5.27569
mwi,1998,0.488
mys,2000,8.33084
mys,2016,18.83808
mys,2019,20.28806
nam,2001,2.29878
ner,1977,0.2
ner,2012,1.70499
nga,2006,17.34511
nld,2004,26.74753
nld,2005,26.13319
nld,2007,27.76037
nld,2008,27.47928
nld,2009,28.16876
nld,2010,28.81669
nld,2011,28.62151
nld,2012,29.28335
nld,2013,29.87916
nld,2014,30.2678
nld,2015,30.96116
nld,2016,31.50662
nld,2018,33.03968
nld,2020,36.71514
nor,2004,26.73101
nor,2005,27.58383
nor,2006,28.20258
nor,2007,28.86913
nor,2008,29.8813
nor,2009,30.43048
nor,2010,31.17918
nor,2011,32.23366
nor,2014,35.72327
nor,2015,36.51887
nor,2016,37.23278
nor,2017,38.03245
nor,2019,39.23257
nzl,2001,24.65824
nzl,2006,30.23407
nzl,2011,36.87502
nzl,2012,35.78994
nzl,2014,31.10399
nzl,2015,30.24875
nzl,2016,32.30976
nzl,2020,36.64203
omn,2003,9.32876
omn,2008,14.03204
pak,1972,3.4
pak,1981,1.89251
pak,2005,3.91674
pak,2006,6.29512
pak,2008,5.97695
pak,2009,6.67146
pak,2010,6.97446
pak,2011,7.36819
pak,2012,7.54165
pak,2013,7.99135
pak,2014,8.75331
pak,2016,8.75331
pak,2017,8.65033
pak,2018,3.17433
pak,2019,4.14663
pan,2000,10.45149
pan,2010,21.35891
pan,2019,26.71758
per,2014,21.88958
per,2015,20.87703
per,2018,21.90983
phl,2000,8.61266
phl,2008,24.2162
phl,2010,26.78886
phl,2013,26.58568
phl,2019,28.14524
plw,2013,33.94601
pol,1970,5.4
pol,1978,5.7
pol,1988,7.87415
pol,2002,12.37425
pol,2008,17.46093
pol,2009,18.82247
pol,2010,20.30921
pol,2011,21.13086
pol,2012,21.79255
pol,2013,22.79908
pol,2014,23.88493
pol,2016,25.0334
pol,2020,28.24012
pri,2000,25.32585
pri,2005,20.78002
pri,2006,20.74168
pri,2007,21.23683
pri,2008,21.15206
pri,2011,31.12557
pri,2012,31.20643
pri,2017,26.27696
prt,1970,1.64108
prt,1981,3.47295
prt,1991,7.66813
prt,1998,6.87264
prt,1999,7.12214
prt,2000,7.25665
prt,2001,7.57332
prt,2002,7.69954
prt,2003,8.94607
prt,2004,10.2277
prt,2005,10.44759
prt,2006,11.07161
prt,2007,11.20875
prt,2008,11.59382
prt,2009,11.98344
prt,2010,12.66298
prt,2011,14.11663
prt,2012,15.23539
prt,2013,15.87279
prt,2014,17.48499
prt,2015,18.18253
prt,2016,19.00351
prt,2017,19.26189
prt,2018,18.6855
prt,2019,20.77851
prt,2020,22.54778
pry,1972,1.98785
pry,1982,3.35188
pry,1992,7.54852
pry,2003,7.99953
pry,2005,4.51313
pry,2006,3.74461
pry,2007,8.6951
pry,2008,10.42246
pry,2009,9.80848
pry,2012,10.85572
pry,2013,13.66506
pry,2014,13.64638
pry,2015,14.52065
pry,2016,14.04515
pry,2018,15.22289
pry,2019,16.1943
pry,2020,15.93073
pse,2004,17.73035
pse,2006,18.3751
pse,2007,19.0071
pse,2008,19.43376
pse,2009,21.85122
pse,2010,21.99041
pse,2011,23.58294
pse,2012,24.82232
pse,2013,22.53745
pse,2014,22.73339
pse,2015,23.48981
pse,2016,23.68486
pse,2017,24.30003
pse,2018,25.85932
pse,2020,28.85414
pyf,2007,17.48378
qat,2010,17.11993
rou,2002,8.97845
rou,2007,10.38779
rou,2008,11.09472
rou,2009,11.42711
rou,2010,11.85323
rou,2011,12.75759
rou,2012,13.25017
rou,2013,13.52862
rou,2014,13.53528
rou,2015,14.45557
rou,2016,14.60701
rou,2017,14.68339
rou,2019,15.31331
rus,2002,54.75577
rus,2010,60.1009
rwa,2012,3.62482
rwa,2014,3.32374
rwa,2018,4.13283
sau,2000,12.04128
sau,2004,19.50328
sau,2013,24.8408
sau,2017,31.47765
sau,2020,37.92296
sdn,1983,0.8
sen,2006,0.79773
sen,2011,2.9813
sen,2013,4.26378
sen,2017,4.03246
sgp,1980,3.4
sgp,1990,4.73381
sgp,1995,7.59067
sgp,2005,29.12756
sgp,2006,30.43677
sgp,2007,31.47339
sgp,2008,33.89039
sgp,2009,35.01882
sgp,2010,36.97231
sgp,2011,38.08078
sgp,2012,39.56747
sgp,2013,41.29612
sgp,2014,42.44054
sgp,2015,42.93919
sgp,2016,43.85105
sgp,2017,45.31815
sgp,2018,46.70003
sgp,2019,48.14904
slv,1971,1.86713
slv,1992,6.44245
slv,2006,9.35125
slv,2007,6.16616
slv,2008,10.73418
slv,2009,10.81727
slv,2010,6.78207
slv,2011,10.20798
slv,2012,11.21886
slv,2013,10.16436
slv,2016,8.49257
slv,2017,7.95081
slv,2019,9.57399
smr,2018,15.76002
srb,2002,13.20084
srb,2008,14.84572
srb,2009,15.35999
srb,2010,15.72136
srb,2011,18.20111
srb,2013,18.21503
srb,2014,18.97663
srb,2015,19.95789
srb,2016,20.69145
srb,2017,20.77654
srb,2019,21.70183
ssd,2008,10.24896
sur,2004,3.91474
svk,1991,9.59596
svk,2001,11.82111
svk,2012,17.16791
svk,2013,17.8811
svk,2014,18.29406
svk,2015,19.20446
svk,2016,19.84355
svk,2017,20.89298
svk,2018,22.15537
svk,2019,23.03431
svn,2005,18.12877
svn,2006,18.99863
svn,2007,19.29107
svn,2008,20.12173
svn,2009,20.74716
svn,2010,21.23942
svn,2011,22.20771
svn,2012,23.66695
svn,2013,24.82178
svn,2014,25.11386
svn,2015,26.12671
svn,2016,26.9522
svn,2017,28.17666
svn,2019,28.51791
swe,2005,27.35441
swe,2006,28.08664
swe,2007,28.81837
swe,2008,27.33274
swe,2009,27.99395
swe,2010,28.64257
swe,2011,29.27809
swe,2012,29.90207
swe,2013,30.51169
swe,2014,31.0949
swe,2015,31.6511
swe,2016,32.23157
swe,2017,32.81812
swe,2019,34.02504
syc,2002,7.69545
syr,1970,1.3
syr,2002,5.29554
syr,2007,5.80968
syr,2008,5.90096
syr,2009,6.24558
tcd,2004,3.22367
tcd,2009,1.68564
tgo,2009,2.6322
tha,1970,1.1
tha,1980,2.98509
tha,2004,12.99327
tha,2006,12.86897
tha,2010,11.95259
tha,2013,16.89656
tha,2016,19.0674
tha,2018,19.31893
tha,2019,20.36775
tjk,1989,11.7
tjk,2000,19.82228
tjk,2017,22.86993
tkm,1995,12.65997
ton,1986,2.86169
ton,1996,7.88155
ton,2006,12.13218
ton,2011,6.22699
tto,1970,1.2
tto,1980,2.9
tto,1990,3.52938
tto,2011,21.25964
tun,1975,1.2
tun,1980,1.8
tun,1984,2.84173
tur,1975,1.78662
tur,1980,3.6
tur,1985,10.81653
tur,2004,7.33287
tur,2005,7.92871
tur,2006,8.54139
tur,2007,8.92608
tur,2008,9.84591
tur,2009,10.71131
tur,2010,11.5273
tur,2011,12.76432
tur,2012,13.37589
tur,2013,14.88325
tur,2014,15.82832
tur,2015,17.39358
tur,2016,18.15708
tur,2017,19.08784
tur,2019,20.76436
tza,2002,0.93039
tza,2012,1.92836
uga,1991,0.5073
uga,2002,4.80754
uga,2008,6.86662
uga,2010,8.19465
uga,2012,8.14537
ukr,1970,5.96438
ukr,2001,38.14171
ury,1975,6.33634
ury,1985,8.10194
ury,1996,10.21179
ury,2003,9.92396
ury,2006,9.60366
ury,2008,9.51637
ury,2009,9.65251
ury,2010,9.40847
ury,2011,10.94071
ury,2012,10.88215
ury,2013,11.78742
ury,2014,12.13938
ury,2015,12.4214
ury,2016,12.24622
ury,2017,13.16651
ury,2018,13.31772
ury,2019,13.69948
usa,1970,21.24819
usa,1975,26.3
usa,1979,31.1
usa,1980,31.89131
usa,1981,32.15311
usa,1990,45.23981
usa,1994,46.54106
usa,2004,36.127
usa,2005,36.22994
usa,2006,37.36785
usa,2008,38.25891
usa,2009,38.62077
usa,2010,39.13742
usa,2011,39.94494
usa,2012,40.66323
usa,2013,41.50467
usa,2014,41.8897
usa,2015,42.33751
usa,2016,43.51188
usa,2018,45.16791
usa,2020,48.08917
uzb,2013,51.93229
uzb,2014,54.94764
uzb,2015,55.30374
uzb,2016,62.50791
uzb,2018,63.89017
uzb,2019,69.17845
ven,1971,2.6145
ven,1981,7.02727
ven,1990,11.77691
ven,2006,13.01982
ven,2007,13.96212
ven,2008,14.68426
ven,2009,15.9215
ven,2011,24.86441
ven,2015,29.77756
ven,2016,34.28989
vnm,1979,1.2022
vnm,1989,2.63297
vnm,2009,6.69601
vnm,2019,13.51813
wsm,1971,3.56224
wsm,1976,2.2
wsm,1981,2.68013
zaf,1970,3.66038
zaf,1980,1.35476
zaf,1985,2.30002
zaf,2002,4.75122
zaf,2003,5.48102
zaf,2004,4.90361
zaf,2005,4.1878
zaf,2006,4.16617
zaf,2007,4.38639
zaf,2008,4.65347
zaf,2009,5.8343
zaf,2010,6.18815
zaf,2011,6.14248
zaf,2012,6.45048
zaf,2014,7.13678
zaf,2015,7.81812
zaf,2017,11.83354
zaf,2019,16.26316
zmb,1980,0.41698
zmb,1990,0.28678
zwe,2002,1.54264
zwe,2012,3.39972
zwe,2014,13.05274
zwe,2017,9.41853
