geo,time,sh_dyn_nmrt
and,1992,6.5
and,1993,6.1
and,1994,5.7
and,1995,5.3
and,1996,4.9
and,1997,4.6
and,1998,4.3
and,1999,4
and,2000,3.8
and,2001,3.6
and,2002,3.3
and,2003,3.2
and,2004,3
and,2005,2.9
and,2006,2.7
and,2007,2.6
and,2008,2.5
and,2009,2.3
and,2010,2.2
and,2011,2.1
and,2012,2
and,2013,1.9
and,2014,1.8
and,2015,1.7
and,2016,1.6
and,2017,1.5
and,2018,1.4
and,2019,1.4
and,2020,1.3
are,1978,18.2
are,1979,17.1
are,1980,15.9
are,1981,14.5
are,1982,13.3
are,1983,12.2
are,1984,11.4
are,1985,10.6
are,1986,10
are,1987,9.5
are,1988,9
are,1989,8.6
are,1990,8.2
are,1991,7.9
are,1992,7.6
are,1993,7.3
are,1994,7.1
are,1995,6.8
are,1996,6.6
are,1997,6.4
are,1998,6.2
are,1999,6
are,2000,5.9
are,2001,5.7
are,2002,5.6
are,2003,5.5
are,2004,5.3
are,2005,5.2
are,2006,5.1
are,2007,5
are,2008,4.9
are,2009,4.8
are,2010,4.6
are,2011,4.5
are,2012,4.4
are,2013,4.3
are,2014,4.2
are,2015,4.1
are,2016,4
are,2017,3.9
are,2018,3.8
are,2019,3.7
are,2020,3.6
arg,1970,24.9
arg,1971,24.7
arg,1972,24.6
arg,1973,24.6
arg,1974,24.5
arg,1975,24.1
arg,1976,23.3
arg,1977,22.3
arg,1978,21.4
arg,1979,20.4
arg,1980,19.2
arg,1981,17.6
arg,1982,16.2
arg,1983,15.5
arg,1984,16.1
arg,1985,16.9
arg,1986,17.1
arg,1987,16.8
arg,1988,16.2
arg,1989,15.6
arg,1990,15
arg,1991,14.7
arg,1992,14.6
arg,1993,14.5
arg,1994,14.2
arg,1995,13.6
arg,1996,12.6
arg,1997,11.5
arg,1998,10.9
arg,1999,10.9
arg,2000,11
arg,2001,11
arg,2002,10.8
arg,2003,10.3
arg,2004,9.7
arg,2005,9.1
arg,2006,8.7
arg,2007,8.4
arg,2008,8.1
arg,2009,7.8
arg,2010,7.6
arg,2011,7.5
arg,2012,7.6
arg,2013,7.4
arg,2014,6.9
arg,2015,6.5
arg,2016,6.4
arg,2017,6.3
arg,2018,6
arg,2019,5.3
arg,2020,4.6
arm,1977,27.8
arm,1978,27.2
arm,1979,26.5
arm,1980,26
arm,1981,25.5
arm,1982,25
arm,1983,24.6
arm,1984,24.4
arm,1985,24.1
arm,1986,23.9
arm,1987,23.7
arm,1988,24.1
arm,1989,23.1
arm,1990,22.8
arm,1991,22.3
arm,1992,21.8
arm,1993,21.2
arm,1994,20.6
arm,1995,20
arm,1996,19.4
arm,1997,18.6
arm,1998,17.7
arm,1999,16.9
arm,2000,16.1
arm,2001,15.3
arm,2002,14.5
arm,2003,13.8
arm,2004,13.1
arm,2005,12.5
arm,2006,11.9
arm,2007,11.3
arm,2008,10.7
arm,2009,10.1
arm,2010,9.6
arm,2011,9.1
arm,2012,8.7
arm,2013,8.2
arm,2014,7.8
arm,2015,7.4
arm,2016,7
arm,2017,6.7
arm,2018,6.4
arm,2019,6
arm,2020,5.7
atg,1971,16.1
atg,1972,15
atg,1973,14.2
atg,1974,13.5
atg,1975,12.8
atg,1976,12.2
atg,1977,11.5
atg,1978,10.7
atg,1979,10
atg,1980,9.3
atg,1981,8.7
atg,1982,8.1
atg,1983,7.7
atg,1984,7.5
atg,1985,7.3
atg,1986,7.3
atg,1987,7.4
atg,1988,7.5
atg,1989,7.8
atg,1990,8.1
atg,1991,8.4
atg,1992,8.8
atg,1993,9.1
atg,1994,9.4
atg,1995,9.7
atg,1996,9.8
atg,1997,9.9
atg,1998,9.9
atg,1999,9.8
atg,2000,9.7
atg,2001,9.5
atg,2002,9.3
atg,2003,8.9
atg,2004,8.6
atg,2005,8.2
atg,2006,7.7
atg,2007,7.3
atg,2008,6.8
atg,2009,6.3
atg,2010,5.8
atg,2011,5.4
atg,2012,5.1
atg,2013,4.7
atg,2014,4.5
atg,2015,4.2
atg,2016,4.1
atg,2017,3.9
atg,2018,3.8
atg,2019,3.6
atg,2020,3.5
aus,1968,12.9
aus,1969,12.8
aus,1970,12.6
aus,1971,12.4
aus,1972,12.1
aus,1973,11.7
aus,1974,11.1
aus,1975,10.4
aus,1976,9.6
aus,1977,8.9
aus,1978,8.2
aus,1979,7.6
aus,1980,7.1
aus,1981,6.7
aus,1982,6.4
aus,1983,6.1
aus,1984,5.9
aus,1985,5.7
aus,1986,5.5
aus,1987,5.3
aus,1988,5.1
aus,1989,4.8
aus,1990,4.6
aus,1991,4.4
aus,1992,4.2
aus,1993,4
aus,1994,3.9
aus,1995,3.7
aus,1996,3.7
aus,1997,3.6
aus,1998,3.6
aus,1999,3.5
aus,2000,3.5
aus,2001,3.5
aus,2002,3.4
aus,2003,3.4
aus,2004,3.3
aus,2005,3.2
aus,2006,3.1
aus,2007,3
aus,2008,2.9
aus,2009,2.8
aus,2010,2.7
aus,2011,2.6
aus,2012,2.5
aus,2013,2.4
aus,2014,2.4
aus,2015,2.3
aus,2016,2.3
aus,2017,2.3
aus,2018,2.3
aus,2019,2.4
aus,2020,2.4
aut,1960,23.6
aut,1961,22.7
aut,1962,22
aut,1963,21.3
aut,1964,20.6
aut,1965,20.1
aut,1966,19.7
aut,1967,19.3
aut,1968,18.9
aut,1969,18.8
aut,1970,18.9
aut,1971,18.9
aut,1972,18.6
aut,1973,17.8
aut,1974,16.6
aut,1975,14.9
aut,1976,13.2
aut,1977,11.7
aut,1978,10.5
aut,1979,9.6
aut,1980,8.9
aut,1981,8.4
aut,1982,7.9
aut,1983,7.5
aut,1984,7
aut,1985,6.6
aut,1986,6.1
aut,1987,5.6
aut,1988,5.2
aut,1989,4.8
aut,1990,4.6
aut,1991,4.4
aut,1992,4.2
aut,1993,4
aut,1994,3.7
aut,1995,3.5
aut,1996,3.4
aut,1997,3.2
aut,1998,3.2
aut,1999,3.1
aut,2000,3.1
aut,2001,3.1
aut,2002,3.1
aut,2003,3
aut,2004,2.9
aut,2005,2.8
aut,2006,2.8
aut,2007,2.7
aut,2008,2.6
aut,2009,2.6
aut,2010,2.5
aut,2011,2.4
aut,2012,2.4
aut,2013,2.3
aut,2014,2.3
aut,2015,2.2
aut,2016,2.2
aut,2017,2.2
aut,2018,2.2
aut,2019,2.3
aut,2020,2.3
aze,1983,30.4
aze,1984,29.9
aze,1985,29.2
aze,1986,28.7
aze,1987,28.5
aze,1988,28.7
aze,1989,29.3
aze,1990,30.4
aze,1991,31.8
aze,1992,33.3
aze,1993,34.6
aze,1994,35.7
aze,1995,36.5
aze,1996,36.9
aze,1997,36.9
aze,1998,36.4
aze,1999,35.5
aze,2000,34.3
aze,2001,32.8
aze,2002,31.3
aze,2003,29.8
aze,2004,28.3
aze,2005,26.8
aze,2006,25.5
aze,2007,24.1
aze,2008,22.8
aze,2009,21.6
aze,2010,20.3
aze,2011,18.8
aze,2012,17.3
aze,2013,16
aze,2014,14.7
aze,2015,13.5
aze,2016,12.5
aze,2017,11.7
aze,2018,10.9
aze,2019,10.4
aze,2020,9.8
bdi,1964,50
bdi,1965,50.1
bdi,1966,50.1
bdi,1967,50.2
bdi,1968,50.3
bdi,1969,50.3
bdi,1970,50.1
bdi,1971,49.9
bdi,1972,50.8
bdi,1973,49.5
bdi,1974,49.2
bdi,1975,48.9
bdi,1976,48.6
bdi,1977,48.1
bdi,1978,47.4
bdi,1979,46.7
bdi,1980,45.8
bdi,1981,44.7
bdi,1982,43.7
bdi,1983,42.6
bdi,1984,41.7
bdi,1985,40.8
bdi,1986,40.2
bdi,1987,39.7
bdi,1988,39.5
bdi,1989,39.5
bdi,1990,39.4
bdi,1991,39.4
bdi,1992,39.2
bdi,1993,39.5
bdi,1994,39
bdi,1995,38.8
bdi,1996,38.6
bdi,1997,38.2
bdi,1998,37.7
bdi,1999,37.2
bdi,2000,36.6
bdi,2001,36
bdi,2002,35.4
bdi,2003,34.8
bdi,2004,34.1
bdi,2005,33.2
bdi,2006,32.3
bdi,2007,31.3
bdi,2008,30.2
bdi,2009,29.2
bdi,2010,28.2
bdi,2011,27.1
bdi,2012,26.1
bdi,2013,25.2
bdi,2014,24.4
bdi,2015,23.6
bdi,2016,23
bdi,2017,22.4
bdi,2018,21.8
bdi,2019,21.3
bdi,2020,20.9
bel,1960,20
bel,1961,18.8
bel,1962,17.9
bel,1963,17.2
bel,1964,16.8
bel,1965,16.5
bel,1966,16.3
bel,1967,15.9
bel,1968,15.3
bel,1969,14.6
bel,1970,14
bel,1971,13.5
bel,1972,13.1
bel,1973,12.7
bel,1974,12.1
bel,1975,11.3
bel,1976,10.4
bel,1977,9.6
bel,1978,8.8
bel,1979,8.2
bel,1980,7.6
bel,1981,7.2
bel,1982,6.8
bel,1983,6.4
bel,1984,6
bel,1985,5.7
bel,1986,5.5
bel,1987,5.3
bel,1988,5
bel,1989,4.8
bel,1990,4.6
bel,1991,4.4
bel,1992,4.2
bel,1993,4.1
bel,1994,4
bel,1995,3.8
bel,1996,3.6
bel,1997,3.4
bel,1998,3.3
bel,1999,3.1
bel,2000,3
bel,2001,2.8
bel,2002,2.8
bel,2003,2.7
bel,2004,2.7
bel,2005,2.6
bel,2006,2.6
bel,2007,2.5
bel,2008,2.5
bel,2009,2.4
bel,2010,2.3
bel,2011,2.3
bel,2012,2.3
bel,2013,2.3
bel,2014,2.3
bel,2015,2.3
bel,2016,2.3
bel,2017,2.3
bel,2018,2.4
bel,2019,2.4
bel,2020,2.4
ben,1960,64.1
ben,1961,63.7
ben,1962,63.3
ben,1963,62.8
ben,1964,62.2
ben,1965,61.6
ben,1966,60.9
ben,1967,60.3
ben,1968,59.7
ben,1969,59
ben,1970,58.4
ben,1971,57.7
ben,1972,57.1
ben,1973,56.4
ben,1974,55.7
ben,1975,55
ben,1976,54.3
ben,1977,53.7
ben,1978,53
ben,1979,52.3
ben,1980,51.6
ben,1981,50.9
ben,1982,50.2
ben,1983,49.6
ben,1984,49
ben,1985,48.4
ben,1986,47.8
ben,1987,47.2
ben,1988,46.5
ben,1989,45.9
ben,1990,45.2
ben,1991,44.4
ben,1992,43.7
ben,1993,43
ben,1994,42.4
ben,1995,41.9
ben,1996,41.4
ben,1997,40.9
ben,1998,40.4
ben,1999,39.7
ben,2000,39
ben,2001,38.3
ben,2002,37.6
ben,2003,36.8
ben,2004,36.2
ben,2005,35.8
ben,2006,35.3
ben,2007,35
ben,2008,34.6
ben,2009,34.3
ben,2010,33.9
ben,2011,33.5
ben,2012,33.1
ben,2013,32.7
ben,2014,32.3
ben,2015,31.9
ben,2016,31.5
ben,2017,31.1
ben,2018,30.6
ben,2019,30.2
ben,2020,29.7
bfa,1969,71.3
bfa,1970,71.5
bfa,1971,71.7
bfa,1972,71.8
bfa,1973,71.5
bfa,1974,70.7
bfa,1975,69.3
bfa,1976,67.4
bfa,1977,65.4
bfa,1978,63.4
bfa,1979,61.7
bfa,1980,60.2
bfa,1981,59
bfa,1982,57.8
bfa,1983,56.5
bfa,1984,54.9
bfa,1985,53.1
bfa,1986,51.2
bfa,1987,49.4
bfa,1988,47.9
bfa,1989,46.7
bfa,1990,45.8
bfa,1991,45.2
bfa,1992,44.8
bfa,1993,44.4
bfa,1994,44
bfa,1995,43.5
bfa,1996,43.1
bfa,1997,42.6
bfa,1998,42
bfa,1999,41.4
bfa,2000,40.7
bfa,2001,39.9
bfa,2002,39.2
bfa,2003,38.3
bfa,2004,37.2
bfa,2005,36
bfa,2006,34.8
bfa,2007,33.7
bfa,2008,32.7
bfa,2009,31.9
bfa,2010,31.2
bfa,2011,30.5
bfa,2012,29.9
bfa,2013,29.3
bfa,2014,28.8
bfa,2015,28.2
bfa,2016,27.7
bfa,2017,27.3
bfa,2018,26.7
bfa,2019,26.2
bfa,2020,25.8
bgd,1960,102.7
bgd,1961,101
bgd,1962,99.3
bgd,1963,97.7
bgd,1964,96.2
bgd,1965,95.1
bgd,1966,94.2
bgd,1967,93.7
bgd,1968,93.4
bgd,1969,93.5
bgd,1970,94.4
bgd,1971,96.3
bgd,1972,94.1
bgd,1973,94.3
bgd,1974,94.4
bgd,1975,94.3
bgd,1976,94
bgd,1977,93.3
bgd,1978,92.2
bgd,1979,90.8
bgd,1980,89.1
bgd,1981,86.9
bgd,1982,84.5
bgd,1983,81.9
bgd,1984,79.3
bgd,1985,76.8
bgd,1986,74.5
bgd,1987,72.3
bgd,1988,70.1
bgd,1989,67.8
bgd,1990,65.6
bgd,1991,63.3
bgd,1992,61.1
bgd,1993,58.8
bgd,1994,56.4
bgd,1995,54.2
bgd,1996,52
bgd,1997,49.9
bgd,1998,47.9
bgd,1999,45.9
bgd,2000,44
bgd,2001,42.2
bgd,2002,40.4
bgd,2003,38.8
bgd,2004,37.3
bgd,2005,35.9
bgd,2006,34.5
bgd,2007,33.1
bgd,2008,31.8
bgd,2009,30.6
bgd,2010,29.4
bgd,2011,28.2
bgd,2012,27.1
bgd,2013,25.9
bgd,2014,24.8
bgd,2015,23.6
bgd,2016,22.4
bgd,2017,20.9
bgd,2018,19.7
bgd,2019,18.5
bgd,2020,17.5
bgr,1964,14.9
bgr,1965,14.6
bgr,1966,14.4
bgr,1967,14.3
bgr,1968,14.1
bgr,1969,13.8
bgr,1970,13.4
bgr,1971,13.3
bgr,1972,13.5
bgr,1973,13.8
bgr,1974,13.7
bgr,1975,13.2
bgr,1976,12.5
bgr,1977,11.8
bgr,1978,11.3
bgr,1979,10.8
bgr,1980,10.4
bgr,1981,10.1
bgr,1982,9.7
bgr,1983,9.2
bgr,1984,8.8
bgr,1985,8.5
bgr,1986,8.1
bgr,1987,7.8
bgr,1988,7.6
bgr,1989,7.7
bgr,1990,8
bgr,1991,8.5
bgr,1992,8.7
bgr,1993,8.7
bgr,1994,8.6
bgr,1995,8.5
bgr,1996,8.4
bgr,1997,8.3
bgr,1998,8.3
bgr,1999,8.1
bgr,2000,7.9
bgr,2001,7.6
bgr,2002,7.3
bgr,2003,6.9
bgr,2004,6.4
bgr,2005,6
bgr,2006,5.6
bgr,2007,5.3
bgr,2008,5.2
bgr,2009,5.2
bgr,2010,5.1
bgr,2011,5
bgr,2012,4.8
bgr,2013,4.5
bgr,2014,4.3
bgr,2015,4.1
bgr,2016,3.9
bgr,2017,3.7
bgr,2018,3.4
bgr,2019,3.2
bgr,2020,3
bhr,1971,29.9
bhr,1972,27.9
bhr,1973,26.1
bhr,1974,24.4
bhr,1975,23
bhr,1976,21.8
bhr,1977,21
bhr,1978,20.3
bhr,1979,19.3
bhr,1980,18.6
bhr,1981,18.1
bhr,1982,17.8
bhr,1983,17.5
bhr,1984,17.2
bhr,1985,16.9
bhr,1986,16.6
bhr,1987,16.3
bhr,1988,16
bhr,1989,15.7
bhr,1990,15.2
bhr,1991,14.5
bhr,1992,13.5
bhr,1993,12.3
bhr,1994,10.9
bhr,1995,9.4
bhr,1996,8
bhr,1997,6.9
bhr,1998,5.9
bhr,1999,5.2
bhr,2000,4.7
bhr,2001,4.4
bhr,2002,4.1
bhr,2003,3.9
bhr,2004,3.7
bhr,2005,3.6
bhr,2006,3.4
bhr,2007,3.3
bhr,2008,3.2
bhr,2009,3.2
bhr,2010,3.2
bhr,2011,3.2
bhr,2012,3.2
bhr,2013,3.2
bhr,2014,3.2
bhr,2015,3.2
bhr,2016,3.2
bhr,2017,3.1
bhr,2018,3.1
bhr,2019,3
bhr,2020,2.9
bhs,1969,20.9
bhs,1970,21
bhs,1971,21
bhs,1972,21.2
bhs,1973,21.4
bhs,1974,21.6
bhs,1975,21.6
bhs,1976,21.3
bhs,1977,20.8
bhs,1978,20
bhs,1979,19.2
bhs,1980,18.5
bhs,1981,17.9
bhs,1982,17.5
bhs,1983,17.2
bhs,1984,17.1
bhs,1985,16.9
bhs,1986,16.6
bhs,1987,16.1
bhs,1988,15.5
bhs,1989,14.7
bhs,1990,13.8
bhs,1991,12.9
bhs,1992,12.1
bhs,1993,11.2
bhs,1994,10.4
bhs,1995,9.7
bhs,1996,9.1
bhs,1997,8.6
bhs,1998,8.2
bhs,1999,8
bhs,2000,8
bhs,2001,8.2
bhs,2002,8.3
bhs,2003,8.5
bhs,2004,8.6
bhs,2005,8.7
bhs,2006,8.7
bhs,2007,8.6
bhs,2008,8.5
bhs,2009,8.3
bhs,2010,8.1
bhs,2011,7.9
bhs,2012,7.8
bhs,2013,7.7
bhs,2014,7.5
bhs,2015,7.4
bhs,2016,7.3
bhs,2017,7.2
bhs,2018,7
bhs,2019,6.9
bhs,2020,6.6
bih,1985,15.5
bih,1986,14.1
bih,1987,13
bih,1988,12.1
bih,1989,11.6
bih,1990,11.3
bih,1991,11
bih,1992,10.9
bih,1993,10.4
bih,1994,9.8
bih,1995,9.1
bih,1996,8.6
bih,1997,8.2
bih,1998,7.8
bih,1999,7.3
bih,2000,6.9
bih,2001,6.5
bih,2002,6.2
bih,2003,5.9
bih,2004,5.7
bih,2005,5.5
bih,2006,5.4
bih,2007,5.3
bih,2008,5.3
bih,2009,5.2
bih,2010,5.1
bih,2011,5
bih,2012,4.9
bih,2013,4.8
bih,2014,4.7
bih,2015,4.6
bih,2016,4.5
bih,2017,4.4
bih,2018,4.3
bih,2019,4.2
bih,2020,4.1
blr,1989,8.5
blr,1990,8.3
blr,1991,8.2
blr,1992,8.2
blr,1993,8.2
blr,1994,8.2
blr,1995,8.1
blr,1996,7.9
blr,1997,7.5
blr,1998,7.1
blr,1999,6.6
blr,2000,6
blr,2001,5.5
blr,2002,5
blr,2003,4.5
blr,2004,4
blr,2005,3.5
blr,2006,3
blr,2007,2.6
blr,2008,2.2
blr,2009,2
blr,2010,1.8
blr,2011,1.7
blr,2012,1.7
blr,2013,1.7
blr,2014,1.6
blr,2015,1.6
blr,2016,1.5
blr,2017,1.4
blr,2018,1.2
blr,2019,1.1
blr,2020,1
blz,1968,35.8
blz,1969,34.9
blz,1970,34.1
blz,1971,33.4
blz,1972,32.7
blz,1973,32
blz,1974,31.2
blz,1975,30.6
blz,1976,30
blz,1977,29.3
blz,1978,28.6
blz,1979,27.7
blz,1980,26.9
blz,1981,26
blz,1982,25.1
blz,1983,24.3
blz,1984,23.5
blz,1985,22.7
blz,1986,21.8
blz,1987,21
blz,1988,20.2
blz,1989,19.4
blz,1990,18.6
blz,1991,17.9
blz,1992,16.8
blz,1993,15.9
blz,1994,15.2
blz,1995,14.5
blz,1996,13.9
blz,1997,13.3
blz,1998,12.8
blz,1999,12.4
blz,2000,12
blz,2001,11.6
blz,2002,11.1
blz,2003,10.6
blz,2004,10
blz,2005,9.4
blz,2006,8.7
blz,2007,8.4
blz,2008,8.4
blz,2009,8.7
blz,2010,9.3
blz,2011,10
blz,2012,10.4
blz,2013,10.5
blz,2014,10.4
blz,2015,10.1
blz,2016,9.6
blz,2017,9.1
blz,2018,8.6
blz,2019,8.1
blz,2020,7.7
bol,1966,71.2
bol,1967,69.4
bol,1968,67.3
bol,1969,65.2
bol,1970,63.3
bol,1971,61.6
bol,1972,60.2
bol,1973,58.9
bol,1974,57.7
bol,1975,56.5
bol,1976,55.1
bol,1977,53.7
bol,1978,52.4
bol,1979,51.2
bol,1980,50.2
bol,1981,49.3
bol,1982,48.6
bol,1983,47.9
bol,1984,47.1
bol,1985,46.1
bol,1986,45
bol,1987,44
bol,1988,43
bol,1989,42.1
bol,1990,41.1
bol,1991,39.9
bol,1992,38.9
bol,1993,38
bol,1994,37
bol,1995,35.9
bol,1996,34.7
bol,1997,33.4
bol,1998,32
bol,1999,30.7
bol,2000,29.6
bol,2001,28.7
bol,2002,28
bol,2003,27.4
bol,2004,26.8
bol,2005,26.2
bol,2006,25.5
bol,2007,24.7
bol,2008,23.7
bol,2009,22.8
bol,2010,21.8
bol,2011,20.8
bol,2012,19.9
bol,2013,18.7
bol,2014,17.6
bol,2015,16.7
bol,2016,15.9
bol,2017,15.2
bol,2018,14.6
bol,2019,14
bol,2020,13.5
bra,1963,49.6
bra,1964,49.2
bra,1965,49
bra,1966,48.8
bra,1967,48.6
bra,1968,48.2
bra,1969,47.7
bra,1970,47
bra,1971,46.2
bra,1972,45.3
bra,1973,44.2
bra,1974,42.9
bra,1975,41.6
bra,1976,40.2
bra,1977,38.8
bra,1978,37.6
bra,1979,36.4
bra,1980,35.2
bra,1981,34.2
bra,1982,33.1
bra,1983,32.1
bra,1984,31
bra,1985,30
bra,1986,29
bra,1987,28.1
bra,1988,27.2
bra,1989,26.3
bra,1990,25.4
bra,1991,24.5
bra,1992,23.7
bra,1993,22.9
bra,1994,22.2
bra,1995,21.6
bra,1996,21
bra,1997,20.5
bra,1998,20
bra,1999,19.4
bra,2000,18.5
bra,2001,17.6
bra,2002,16.7
bra,2003,15.8
bra,2004,15
bra,2005,14.2
bra,2006,13.5
bra,2007,12.8
bra,2008,12.2
bra,2009,11.6
bra,2010,11.1
bra,2011,10.7
bra,2012,10.3
bra,2013,10
bra,2014,9.7
bra,2015,9.5
bra,2016,10
bra,2017,9.3
bra,2018,9.2
bra,2019,8.9
bra,2020,8.7
brb,1968,31.1
brb,1969,29.7
brb,1970,28.3
brb,1971,27.1
brb,1972,26
brb,1973,25
brb,1974,24
brb,1975,23
brb,1976,21.7
brb,1977,20.5
brb,1978,19.2
brb,1979,18.2
brb,1980,17.2
brb,1981,16.4
brb,1982,15.8
brb,1983,15.3
brb,1984,14.9
brb,1985,14.6
brb,1986,14.3
brb,1987,13.8
brb,1988,13.2
brb,1989,12.5
brb,1990,11.7
brb,1991,11.1
brb,1992,10.5
brb,1993,10.1
brb,1994,9.7
brb,1995,9.5
brb,1996,9.4
brb,1997,9.3
brb,1998,9.2
brb,1999,9.2
brb,2000,9.3
brb,2001,9.3
brb,2002,9.5
brb,2003,9.6
brb,2004,9.8
brb,2005,9.9
brb,2006,10
brb,2007,10.1
brb,2008,10.1
brb,2009,10
brb,2010,10
brb,2011,9.9
brb,2012,9.8
brb,2013,9.7
brb,2014,9.5
brb,2015,9.3
brb,2016,9.1
brb,2017,8.9
brb,2018,8.6
brb,2019,8.4
brb,2020,8.1
brn,1989,5.6
brn,1990,5.6
brn,1991,5.6
brn,1992,5.5
brn,1993,5.5
brn,1994,5.4
brn,1995,5.3
brn,1996,5.1
brn,1997,5
brn,1998,5
brn,1999,4.9
brn,2000,5
brn,2001,5
brn,2002,5
brn,2003,5
brn,2004,5
brn,2005,5
brn,2006,4.9
brn,2007,4.9
brn,2008,4.8
brn,2009,4.8
brn,2010,4.8
brn,2011,4.8
brn,2012,4.8
brn,2013,4.9
brn,2014,5
brn,2015,5.2
brn,2016,5.4
brn,2017,5.6
brn,2018,5.8
brn,2019,6
brn,2020,6.1
btn,1989,43.3
btn,1990,42.3
btn,1991,41.3
btn,1992,40.3
btn,1993,39.2
btn,1994,38.1
btn,1995,37
btn,1996,35.9
btn,1997,34.8
btn,1998,33.8
btn,1999,32.8
btn,2000,31.8
btn,2001,30.9
btn,2002,30
btn,2003,29
btn,2004,28
btn,2005,27.1
btn,2006,26.2
btn,2007,25.3
btn,2008,24.4
btn,2009,23.4
btn,2010,22.5
btn,2011,21.6
btn,2012,20.8
btn,2013,20.1
btn,2014,19.3
btn,2015,18.4
btn,2016,17.6
btn,2017,17
btn,2018,16.3
btn,2019,15.7
btn,2020,15.3
bwa,1965,41.5
bwa,1966,40.1
bwa,1967,38.6
bwa,1968,37
bwa,1969,35.5
bwa,1970,34.2
bwa,1971,33.3
bwa,1972,32.6
bwa,1973,32.1
bwa,1974,31.5
bwa,1975,31
bwa,1976,30.6
bwa,1977,30.4
bwa,1978,30.2
bwa,1979,30.2
bwa,1980,30.2
bwa,1981,30.4
bwa,1982,30.4
bwa,1983,30.1
bwa,1984,29.3
bwa,1985,28.2
bwa,1986,27.1
bwa,1987,26.1
bwa,1988,25.2
bwa,1989,24.4
bwa,1990,23.6
bwa,1991,22.9
bwa,1992,22.2
bwa,1993,21.3
bwa,1994,20.3
bwa,1995,19.2
bwa,1996,18.2
bwa,1997,17.4
bwa,1998,16.8
bwa,1999,16.5
bwa,2000,16.6
bwa,2001,17
bwa,2002,17.8
bwa,2003,18.7
bwa,2004,19.6
bwa,2005,20.4
bwa,2006,21
bwa,2007,21.6
bwa,2008,22
bwa,2009,22.4
bwa,2010,22.7
bwa,2011,22.9
bwa,2012,23.1
bwa,2013,23.2
bwa,2014,23.3
bwa,2015,23.3
bwa,2016,23.2
bwa,2017,23
bwa,2018,22.7
bwa,2019,22.3
bwa,2020,21.9
caf,1971,57.5
caf,1972,57
caf,1973,56.5
caf,1974,56
caf,1975,55.4
caf,1976,54.9
caf,1977,54.4
caf,1978,53.9
caf,1979,53.4
caf,1980,53
caf,1981,52.8
caf,1982,52.7
caf,1983,52.8
caf,1984,52.9
caf,1985,52.9
caf,1986,52.9
caf,1987,52.7
caf,1988,52.4
caf,1989,52.1
caf,1990,51.6
caf,1991,51.2
caf,1992,50.8
caf,1993,50.4
caf,1994,50.1
caf,1995,49.9
caf,1996,49.6
caf,1997,49.4
caf,1998,49.3
caf,1999,49.1
caf,2000,49
caf,2001,48.9
caf,2002,48.7
caf,2003,48.6
caf,2004,48.4
caf,2005,48.2
caf,2006,48
caf,2007,47.7
caf,2008,47.2
caf,2009,46.7
caf,2010,46.1
caf,2011,45.5
caf,2012,44.7
caf,2013,43.9
caf,2014,43.2
caf,2015,42.5
caf,2016,41.7
caf,2017,41
caf,2018,40.2
caf,2019,39.6
caf,2020,38.8
can,1969,13.9
can,1970,13.2
can,1971,12.5
can,1972,11.7
can,1973,10.9
can,1974,10
can,1975,9.3
