geo,time,sn_itk_svfi_zs
eth,2015,14.5
eth,2016,15
eth,2017,14.8
eth,2018,14.1
eth,2019,16.4
fin,2015,2.4
fin,2016,2.3
fin,2017,2.1
fin,2018,2
fin,2019,1.9
fji,2018,2
fji,2019,2
fra,2015,1.6
fra,2016,1.2
fra,2017,0.9
fra,2018,0.7
fra,2019,0.7
gbr,2015,1.9
gbr,2016,2.1
gbr,2017,1.7
gbr,2018,1.3
gbr,2019,0.7
geo,2015,7
geo,2016,7.9
geo,2017,7.5
geo,2018,7.3
geo,2019,9.5
gha,2015,7.6
gha,2016,7.9
gha,2017,8.1
gha,2018,8.3
gha,2019,8.6
gin,2015,44.3
gin,2016,47.1
gin,2017,49.7
gin,2018,49.7
gin,2019,49.7
gmb,2015,23.6
gmb,2016,23.6
gmb,2017,23.6
gmb,2018,24.6
gmb,2019,25.7
grc,2015,2.6
grc,2016,3.2
grc,2017,3.2
grc,2018,2.3
grc,2019,1.7
gtm,2015,16.1
gtm,2016,17
gtm,2017,17.1
gtm,2018,18.1
gtm,2019,19.2
hnd,2015,14.2
hnd,2016,14.1
hnd,2017,14.1
hnd,2018,14
hnd,2019,14.6
hrv,2015,0.6
hrv,2016,0.6
hrv,2017,0.8
hrv,2018,0.9
hrv,2019,1.3
hun,2015,1.4
hun,2016,1.1
hun,2017,0.9
hun,2018,0.8
hun,2019,1.4
idn,2015,0.7
idn,2016,0.9
idn,2017,0.9
idn,2018,0.8
idn,2019,0.7
irl,2015,3.4
irl,2016,2.8
irl,2017,2.9
irl,2018,3.5
irl,2019,4.3
irn,2015,9.5
irn,2016,9.3
irn,2017,8.7
irn,2018,8.4
irn,2019,8.7
isl,2015,1.7
isl,2016,1.7
isl,2017,1.5
isl,2018,1.5
isl,2019,1.5
isr,2015,1.3
isr,2016,1.4
isr,2017,1.6
isr,2018,1.7
isr,2019,1.9
ita,2015,1.2
ita,2016,1.1
ita,2017,1.1
ita,2018,1.1
ita,2019,1.2
jpn,2015,0
jpn,2016,0
jpn,2017,0.5
jpn,2018,0.7
jpn,2019,0.7
kaz,2017,0
kaz,2018,0
kaz,2019,0
ken,2015,17.3
ken,2016,19.2
ken,2017,21.2
ken,2018,23.3
ken,2019,25.7
kgz,2017,0.8
kgz,2018,0.8
kgz,2019,1.1
khm,2015,16.9
khm,2016,14.3
khm,2017,14
khm,2018,13.6
khm,2019,13.4
kir,2018,8
kir,2019,7.9
kor,2015,0
kor,2016,0
kor,2017,0.5
kor,2018,0
kor,2019,0.6
kwt,2015,4.9
kwt,2016,4.9
kwt,2017,4.9
kwt,2018,4.9
kwt,2019,4.9
lao,2019,8.9
lbr,2019,37.3
lby,2015,11.2
lby,2016,12.4
lby,2017,14.3
lby,2018,16.7
lby,2019,18.6
lca,2015,4.5
lca,2016,4.5
lca,2017,4.5
lso,2019,27
ltu,2015,2.5
ltu,2016,2
ltu,2017,1.6
ltu,2018,1.1
ltu,2019,1.7
lux,2015,1.8
lux,2016,1.4
lux,2017,0.9
lux,2018,0.9
lux,2019,0.8
lva,2015,0.6
lva,2016,0.6
lva,2017,0.6
lva,2018,0.6
lva,2019,0.7
mda,2015,1.6
mda,2016,2.2
mda,2017,2.9
mda,2018,4
mda,2019,4.5
mex,2015,3.6
mex,2016,3.3
mex,2017,3.3
mex,2018,3.7
mex,2019,5.8
mkd,2015,3.6
mkd,2016,3.1
mkd,2017,3.1
mkd,2018,3.2
mkd,2019,5
mlt,2015,1.5
mlt,2016,1.4
mlt,2017,1
mlt,2018,0.8
mlt,2019,0.9
mmr,2019,1.9
mne,2015,2.1
mne,2016,2.2
mne,2017,2.3
mne,2018,2.2
mne,2019,2.8
mng,2015,3.4
mng,2016,5.1
mng,2017,5.9
mng,2018,5.9
mng,2019,4.9
moz,2018,40.7
moz,2019,40.5
mrt,2015,4.6
mrt,2016,5
mrt,2017,5.5
mrt,2018,5.9
mrt,2019,6.5
mus,2015,5.2
mus,2016,5.9
mus,2017,6.3
mus,2018,6.8
mus,2019,8.3
mwi,2015,51.8
mwi,2016,51.7
mwi,2017,51.6
mwi,2018,51.5
mwi,2019,51.4
mys,2015,7.8
mys,2016,6.7
mys,2017,6.7
mys,2018,6.7
mys,2019,7.5
nam,2015,28.9
nam,2016,29.6
nam,2017,30.5
nam,2018,31.3
nam,2019,32.1
nga,2015,6.6
nga,2016,9.3
nga,2017,12.1
nga,2018,14.8
nga,2019,21.4
nld,2015,1.5
nld,2016,1.7
nld,2017,1.5
nld,2018,1.7
nld,2019,1.4
nor,2015,1.1
nor,2016,1.2
nor,2017,1.1
nor,2018,1.1
nor,2019,1
npl,2015,10.4
npl,2016,9.6
npl,2017,9.6
npl,2018,10.3
npl,2019,12
nzl,2015,2.8
nzl,2016,3.3
nzl,2017,4.2
nzl,2018,4.4
nzl,2019,3.9
per,2015,13.5
per,2016,16.7
per,2017,16.6
per,2018,18
per,2019,19.2
phl,2015,3.2
phl,2018,3.2
phl,2019,4
pol,2015,1.8
pol,2016,1.2
pol,2017,0.7
pol,2018,0.5
pol,2019,0
prt,2015,4.1
prt,2016,3.5
prt,2017,3.2
prt,2018,2.9
prt,2019,3.2
pse,2017,4.4
pse,2018,4.4
pse,2019,4.4
rou,2015,5.6
rou,2016,4.8
rou,2017,4
rou,2018,3.4
rou,2019,3.4
rus,2015,0.7
rus,2016,0.7
rus,2017,0.6
rus,2018,0.5
rus,2019,0
sdn,2015,13.4
sdn,2016,14.4
sdn,2017,15.4
sdn,2018,16.4
sdn,2019,16.8
sen,2015,14.5
sen,2016,15.7
sen,2017,12.5
sen,2018,13.9
sen,2019,13.6
sgp,2015,1
sgp,2016,1.2
sgp,2017,1.4
sgp,2018,1.4
sgp,2019,0.9
sle,2015,30.4
sle,2016,30.8
sle,2017,31.2
sle,2018,31.5
sle,2019,31.8
slv,2015,13.8
slv,2016,13.7
slv,2017,14
slv,2018,14.6
slv,2019,13.8
som,2019,43
srb,2015,1.7
srb,2016,2.3
srb,2017,1.9
srb,2018,2
srb,2019,2.6
ssd,2015,65.4
ssd,2017,65.4
ssd,2018,63.7
ssd,2019,62
svk,2015,1.1
svk,2016,0.9
svk,2017,0.9
svk,2018,0.8
svk,2019,1.1
svn,2015,0.9
svn,2016,0.8
svn,2017,0.6
svn,2018,0.5
svn,2019,0
swe,2015,0.8
swe,2016,1
swe,2017,1
swe,2018,1.2
swe,2019,1.2
swz,2015,29.4
swz,2016,29.4
swz,2017,29.4
swz,2018,30
swz,2019,30.8
syc,2015,3.2
syc,2016,3.2
syc,2017,3.2
syc,2019,3.3
tha,2015,4.2
tha,2016,5.8
tha,2017,7.2
tha,2018,7.7
tha,2019,8.5
ton,2018,6
ton,2019,6
tun,2015,9.1
tun,2016,9.3
tun,2017,9.1
tun,2018,9.7
tun,2019,10.7
tza,2016,23.8
tza,2017,23.8
tza,2018,23.8
tza,2019,24.7
uga,2015,17.5
uga,2016,18.5
uga,2017,19.5
uga,2018,20.6
uga,2019,21.7
ukr,2015,2
ukr,2016,2.2
ukr,2017,2
ukr,2018,1.6
ukr,2019,2.5
ury,2015,6.8
ury,2016,7.6
ury,2017,7.4
ury,2018,6.4
ury,2019,6.7
usa,2015,1.1
usa,2016,1
usa,2017,0.9
usa,2018,0.8
usa,2019,0.8
uzb,2015,1.9
uzb,2016,2.1
uzb,2017,2.2
uzb,2018,2.8
uzb,2019,4
vnm,2017,0
vnm,2018,0
vnm,2019,0.5
vut,2018,2.4
vut,2019,2.4
wsm,2017,3.4
wsm,2018,3.4
wsm,2019,3.4
zaf,2015,18
zaf,2019,19.3
zmb,2015,21.8
zmb,2016,22.1
zmb,2017,22.5
zmb,2018,22.8
zmb,2019,23.2
zwe,2015,35.5
zwe,2016,36.7
zwe,2017,35.9
zwe,2018,34.2
zwe,2019,32.1
