geo,time,ny_gns_ictr_cn
bdi,2010,80437695469.99249
bdi,2011,55084891214.5692
bdi,2012,366254488837.09399
bdi,2013,149979485584.03699
bdi,2014,25824511064.8448
bdi,2015,547684690570.51599
bdi,2016,316042845240.40302
bdi,2017,397467282874.026
bdi,2018,297737136113.60999
bel,2002,72062411304.095
bel,2003,73742583156.44189
bel,2004,80718180890.34081
bel,2005,84692419855.1514
bel,2006,90548192860.0744
bel,2007,98892092954.2608
bel,2008,96473780142.32227
bel,2009,86627678998.49921
bel,2010,92060707593.4153
bel,2011,88354857366.20541
bel,2012,95507140574.5544
bel,2013,95210978605.49001
bel,2014,99046618182.81169
bel,2015,104211512247.814
bel,2016,106734124210.755
bel,2017,111951940715.42999
bel,2018,112916031669.04601
bel,2019,119982779804.043
bel,2020,114236414669.44299
ben,1974,14821915070.2905
ben,1975,14722828077.0794
ben,1976,18717513004.5313
ben,1977,25088818760.24689
ben,1978,22016394290.4665
ben,1979,31898892961.9816
ben,1980,12387994321.3614
ben,1981,-11407698573.1714
ben,1982,55080966740.6429
ben,1983,34195559394.0378
ben,1984,34523809102.3095
ben,1985,12375586002.9605
ben,1986,19143630093.5447
ben,1987,20462872454.3953
ben,1988,3718009191.50269
ben,1989,21634072350.3632
ben,1990,51700025873.8354
ben,1991,60278347245.2501
ben,1992,56916594295.5698
ben,1993,62380174519.1041
ben,1994,128706730261.59399
ben,1995,172160305164.60001
ben,1996,184121030839.884
ben,1997,214317147180.117
ben,1998,228824399645.673
ben,1999,281933382371.77698
ben,2000,317087595656.76001
ben,2001,356556712698.12402
ben,2002,396101910711.49902
ben,2003,352587834158.41101
ben,2004,432752483675.72302
ben,2005,422153737942.50702
ben,2006,458058876055.49695
ben,2007,549164411933.65997
ben,2008,551853691416.08203
ben,2009,524612283863.96094
ben,2010,537254918562.07697
ben,2011,611037277253.33118
ben,2012,769805954792.04285
ben,2013,1006715717533.80005
ben,2014,1220178841520.52002
ben,2015,933304700289.01282
ben,2016,1219070396843.17993
ben,2017,1283240242797.80005
ben,2018,1555612683294.07007
ben,2019,1831435863357.95996
ben,2020,1920217441356.55005
bfa,2005,189701808770.841
bfa,2006,215967773525.16501
bfa,2007,371157624039.48694
bfa,2008,404861451773.72699
bfa,2009,510774715648.46399
bfa,2010,792281073829.0061
bfa,2011,995993483071.96411
bfa,2012,1158418627972.88989
bfa,2013,955544177724.01611
bfa,2014,921773655815.30493
bfa,2015,829598000926.68494
bfa,2016,1022945993870.68005
bfa,2017,1209872280226.20996
bfa,2018,1509964239611.58008
bfa,2019,1598795720046.37988
bgd,1976,-1263370809.21168
bgd,1977,14989933731.2101
bgd,1978,11455681731.1344
bgd,1979,16764178687.8157
bgd,1980,23396954554.4698
bgd,1981,69958560774.9299
bgd,1982,87349255056.4473
bgd,1983,96646395234.2708
bgd,1984,77078254165.215
bgd,1985,124653933694.37199
bgd,1986,148778036730.741
bgd,1987,170423164903.452
bgd,1988,184062795254.98199
bgd,1989,206454682716.49399
bgd,1990,239358440625.81
bgd,1991,249333585338.11896
bgd,1992,262921726195.32101
bgd,1993,262037207811.91501
bgd,1994,303555987874.90503
bgd,1995,337768254099.96698
bgd,1996,439482983212.21295
bgd,1997,502595868385.414
bgd,1998,586251945560.01697
bgd,1999,657191662860.66602
bgd,2000,746371190124.39905
bgd,2001,828046482786.27185
bgd,2002,966386346843.09692
bgd,2003,1050693835506.66003
bgd,2004,1210342821170.81006
bgd,2005,1382126179479.78003
bgd,2006,1704506703034.41992
bgd,2007,1996731465669.5
bgd,2008,2350173300563.75
bgd,2009,2748096207642.56006
bgd,2010,3092972398289.02979
bgd,2011,3485391270179.95996
bgd,2012,4283695431346.40967
bgd,2013,4765232355600.33008
bgd,2014,5076306828822.30957
bgd,2015,5568113283804.78027
bgd,2016,6431730275589.62988
bgd,2017,6961475442656.5
bgd,2018,7487107333232.68945
bgd,2019,9084053195550.25
bgd,2020,9745309778133.39062
bgr,1980,7653900
bgr,1981,10031600
bgr,1982,10132700
bgr,1983,10066100
bgr,1984,11189100
bgr,1985,10381500
bgr,1986,11057500
bgr,1987,11081100
bgr,1988,12530100
bgr,1989,11408900
bgr,1990,6652000
bgr,1991,23526840
bgr,1992,25749260
bgr,1993,18578440
bgr,1994,44727240
bgr,1995,326129880
bgr,1996,217764880
bgr,1997,4064311420
bgr,1998,6665356075.26911
bgr,1999,4035067175.94689
bgr,2000,3792310502.09701
bgr,2001,4871580785.18643
bgr,2002,6127323802.34008
bgr,2003,6158767802.34247
bgr,2004,6994739209.90333
bgr,2005,7878577558.68417
bgr,2006,8011636611.9671
bgr,2007,6154582840.54762
bgr,2008,10826747845.9142
bgr,2009,14363481421.1254
bgr,2010,15866551554
bgr,2011,18189807555
bgr,2012,18397219640
bgr,2013,19655533696
bgr,2014,19673986678
bgr,2015,19884740488
bgr,2016,22732804320
bgr,2017,25806371295
bgr,2018,26082828970
bgr,2019,29242764310
bgr,2020,25456728489
bhr,1980,591490999.55746
bhr,1981,710500000.08777
bhr,1982,687400200.07207
bhr,1983,687700000.04043
bhr,1984,621699899.99956
bhr,1985,471000000
bhr,1986,261700000
bhr,1987,317399900
bhr,1988,432700000
bhr,1989,346000000
bhr,1990,575400000
bhr,1991,269600000
bhr,1992,215000000
bhr,1993,225199996.5051
bhr,1994,346800088.46675
bhr,1995,409955588.94614
bhr,1996,426919485.92819
bhr,1997,405020085.92553
bhr,1998,205792675.25598
bhr,1999,183119638.92805
bhr,2000,876899132
bhr,2001,615607812
bhr,2002,823435900
bhr,2003,1063830500
bhr,2004,1191885600
bhr,2005,2159505900
bhr,2006,2936787300
bhr,2007,3929102000
bhr,2008,4227139428
bhr,2009,2465470800
bhr,2010,2927057000
bhr,2011,2908390000
bhr,2012,4223519100
bhr,2013,4079805100
bhr,2014,3942752400
bhr,2015,2755231600
bhr,2016,3023560000
bhr,2017,3848820000
bhr,2018,4096240000
bhs,1977,112900000
bhs,1978,80200000
bhs,1979,109600100
bhs,1980,210500000
bhs,1981,188099900
bhs,1982,311400000
bhs,1983,371800000
bhs,1984,279900000
bhs,1985,394899900
bhs,1986,419300000
bhs,1987,474699900
bhs,1989,606510000
bhs,1990,602620000
bhs,1991,451690000
bhs,1992,602800000
bhs,1993,527570000
bhs,1994,534960000
bhs,1995,1089948500
bhs,1996,1428365600
bhs,1997,1824960000
bhs,1998,1882720000
bhs,1999,2599672280
bhs,2000,2639787000
bhs,2001,2390870000
bhs,2002,2852765325
bhs,2003,2767670000
bhs,2004,2961150000
bhs,2005,2934567080
bhs,2006,2704190000
bhs,2007,2951240000
bhs,2008,2817055449
bhs,2009,2541940000
bhs,2010,2394690000
bhs,2011,2119236000
bhs,2012,2233940000
bhs,2013,2135227000
bhs,2014,2297117661.031
bhs,2015,2469201789.0228
bhs,2016,2717164541.3959
bhs,2017,1914339093.80597
bhs,2018,1919837752.0842
bhs,2019,2633119440.65
bhs,2020,1201630976.73
bih,2000,1490880205.07709
bih,2001,1125837176.56336
bih,2002,907534483.39452
bih,2003,541973573.87423
bih,2004,2063760370.37696
bih,2005,1384355232.52252
bih,2006,2175194777.54398
bih,2007,2994477250.32446
bih,2008,2922026656.60429
bih,2009,2350843055.84627
bih,2010,2193726101.58016
bih,2011,2095807011.26213
bih,2012,1743573510.43752
bih,2013,2319861114.50498
bih,2014,2613059340.94655
bih,2015,3146732934.84997
bih,2016,3824575197.31592
bih,2017,4610316360.35724
bih,2018,5710904621.22121
bih,2019,6766608607.72044
bih,2020,5383729438.57533
blr,1993,25293.81
blr,1994,357825.932
blr,1995,2532786.36
blr,1996,3869482
blr,1997,8447597.76
blr,1998,16056104.68
blr,1999,69001033.1
blr,2000,222975579.879
blr,2001,372960000
blr,2002,539384190
blr,2003,836500610
blr,2004,1344715100
blr,2005,1818994180
blr,2006,2343003350
blr,2007,2830850040
blr,2008,3958881880
blr,2009,3700077430
blr,2010,4577922040
blr,2011,10053611500
blr,2012,17105598800
blr,2013,19072455000
blr,2014,22134518600
blr,2015,25991824860
blr,2016,25069509360
blr,2017,29627513000
blr,2018,35666546760
blr,2019,37485690140
blr,2020,41470558000
blz,1984,200500518.25735
blz,1985,187431390.80248
blz,1986,226281968.42411
blz,1987,283919786.38639
blz,1988,305642503.40455
blz,1989,352351924.95045
blz,1990,422525763.63858
blz,1991,423141500
blz,1992,188212600
blz,1993,211691300
blz,1994,164427000
blz,1995,193491700
blz,1996,154385600
blz,1997,147365800
blz,1998,120430000
blz,1999,101163723.64
blz,2000,226361107.6
blz,2001,94164981.27449
blz,2002,78018101.15032
blz,2003,49921028.80841
blz,2004,80185642.87977
blz,2005,163611151.35171
blz,2006,364404155.31225
blz,2007,328420841.96726
blz,2008,404716065.52908
blz,2009,322607604.98867
blz,2010,277350190.07969
blz,2011,372800217.97561
blz,2012,363969861.47104
blz,2013,336302551.03973
blz,2014,377043618.35213
blz,2015,452920204.6292
blz,2016,375650102.91323
blz,2017,445605790.15376
blz,2018,437612514.90653
blz,2019,595446875.58354
blz,2020,582914067.50814
bmu,2010,2553901582.59893
bmu,2011,2332579897.32018
bmu,2012,2513408939.09386
bmu,2013,2589470486.70621
bmu,2014,2542074034.07722
bmu,2015,2658303132.26595
bmu,2016,2713027982.21407
bmu,2017,2891412239.50424
bmu,2018,2917614489.68514
bmu,2019,2931786139.32227
bmu,2020,2723001009.1845
bol,1976,8927.825
bol,1977,9475.479
bol,1978,11182.131
bol,1979,13211.12129
bol,1980,16007.728
bol,1981,15017.63815
bol,1982,31554.57687
bol,1983,160162.09558
bol,1984,2352121.82256
bol,1985,240429404.1925
bol,1986,286935146.68667
bol,1987,426196410.4
bol,1988,733998879.6267
bol,1989,1093423680.3333
bol,1990,1474200090
bol,1991,1699766200
bol,1992,1866906200
bol,1993,1907497490
bol,1994,2818782700
bol,1995,3600256660
bol,1996,4530374900
bol,1997,5239700650
bol,1998,6003623460
bol,1999,5132227140
bol,2000,5719953260
bol,2001,6054757452
bol,2002,6970264100
bol,2003,8967319946.17024
bol,2004,11868916766.5092
bol,2005,15314269707.59
bol,2006,24388609053.9057
bol,2007,29497752835.5649
bol,2008,34980986423.9863
bol,2009,27875287400
bol,2010,34260927051.46149
bol,2011,43747898882.6474
bol,2012,48087423424.171
bol,2013,50614396273.66689
bol,2014,47400769425.3465
bol,2015,32419050027.4958
bol,2016,36165137282.0264
bol,2017,41617364648.0764
bol,2018,44897765198.886
bol,2019,39886523684.5671
bol,2020,31632470567.7807
bra,1975,0.0787
bra,1976,0.11386
bra,1977,0.17917
bra,1978,0.25703
bra,1979,0.39716
bra,1980,0.80457
bra,1981,1.66275
bra,1982,2.8107
bra,1983,5.67847
bra,1984,22.12388
bra,1985,95.98004
bra,1986,228.00873
bra,1987,914.99114
bra,1988,7535.91855
bra,1989,152442.82346
bra,1990,2188818.91906
bra,1991,11293261.19596
bra,1992,129463404.4415
bra,1993,2855279789.0909
bra,1994,74346935154.66431
bra,1995,101298671346.927
bra,1996,108426074515.567
bra,1997,115876500908.97501
bra,1998,115618559738.998
bra,1999,115245819563.088
bra,2000,167773406314.647
bra,2001,178871654837.85999
bra,2002,229360662125.87399
bra,2003,282052096138.10602
bra,2004,369134357367.52893
bra,2005,393181750951.77698
bra,2006,443575299955.44098
bra,2007,526271868778.85999
bra,2008,597917070873.36096
bra,2009,545964009489.52496
bra,2010,691774000553.71399
bra,2011,814062474434.40991
bra,2012,851158496380.76782
bra,2013,967778996439.16284
bra,2014,932399681458
bra,2015,871148709855.28406
bra,2016,841453721477.61902
bra,2017,894161172545.69812
bra,2018,890045611017.5769
bra,2019,929013110357.7489
bra,2020,1120132444643.69995
brb,1986,888253063.499
brb,1987,914431690.661
brb,1988,1146536632.46125
brb,1989,1267456623.75075
brb,1990,618578838.8895
brb,1991,558636783.84325
brb,1992,568044545
brb,1993,548159941.35325
brb,1994,655315283.38
brb,1995,404583473.39725
brb,1996,504135206.7075
brb,1997,491668824.249
brb,1998,704057871.48375
brb,1999,669096879.862
brb,2000,651792625
brb,2001,518854395
brb,2002,591585745.05
brb,2003,760446030
brb,2004,559726183.57855
brb,2005,292749123.02867
brb,2006,851930851.4095
brb,2007,1032193594.6035
brb,2008,407346945.213
