geo,time,lp_lpi_ovrl_xq
dom,2012,2.7
dom,2014,2.86055
dom,2016,2.62728
dom,2018,2.66
dza,2007,2.06
dza,2010,2.36
dza,2012,2.41
dza,2014,2.64945
dza,2016,2.76968
dza,2018,2.45
ecu,2007,2.6
ecu,2010,2.77
ecu,2012,2.76
ecu,2014,2.71099
ecu,2016,2.77908
ecu,2018,2.88
egy,2007,2.37
egy,2010,2.61
egy,2012,2.98
egy,2014,2.96591
egy,2016,3.18496
egy,2018,2.82
eri,2007,2.19
eri,2010,1.7
eri,2012,2.11
eri,2014,2.08475
eri,2016,2.17184
eri,2018,2.09
esp,2007,3.52
esp,2010,3.63
esp,2012,3.7
esp,2014,3.71864
esp,2016,3.72741
esp,2018,3.83
est,2007,2.95
est,2010,3.16
est,2012,2.86
est,2014,3.34592
est,2016,3.36349
est,2018,3.31
eth,2007,2.33
eth,2010,2.41
eth,2012,2.24
eth,2014,2.59362
eth,2016,2.37677
fin,2007,3.82
fin,2010,3.89
fin,2012,4.05
fin,2014,3.62303
fin,2016,3.92075
fin,2018,3.97
fji,2010,2.24
fji,2012,2.42
fji,2014,2.545
fji,2016,2.31619
fji,2018,2.35
fra,2007,3.76
fra,2010,3.84
fra,2012,3.85
fra,2014,3.8473
fra,2016,3.90095
fra,2018,3.84
gab,2007,2.1
gab,2010,2.41
gab,2012,2.34
gab,2014,2.2029
gab,2016,2.19165
gab,2018,2.16
gbr,2007,3.99
gbr,2010,3.95
gbr,2012,3.9
gbr,2014,4.01465
gbr,2016,4.06967
gbr,2018,3.99
geo,2010,2.61
geo,2012,2.77
geo,2014,2.50749
geo,2016,2.35301
geo,2018,2.44
gha,2007,2.16
gha,2010,2.47
gha,2012,2.51
gha,2014,2.62693
gha,2016,2.66093
gha,2018,2.57
gin,2007,2.71
gin,2010,2.6
gin,2012,2.48
gin,2014,2.46419
gin,2016,2.35896
gin,2018,2.2
gmb,2007,2.52
gmb,2010,2.49
gmb,2012,2.46
gmb,2014,2.24908
gmb,2018,2.4
gnb,2007,2.28
gnb,2010,2.1
gnb,2012,2.6
gnb,2014,2.42646
gnb,2016,2.37068
gnb,2018,2.39
gnq,2014,2.35464
gnq,2016,1.87919
gnq,2018,2.32
grc,2007,3.36
grc,2010,2.96
grc,2012,2.83
grc,2014,3.2016
grc,2016,3.23952
grc,2018,3.2
gtm,2007,2.53
gtm,2010,2.63
gtm,2012,2.8
gtm,2014,2.79745
gtm,2016,2.47633
gtm,2018,2.41
guy,2007,2.05
guy,2010,2.27
guy,2012,2.33
guy,2014,2.45913
guy,2016,2.66702
guy,2018,2.36
hkg,2007,4
hkg,2010,3.88
hkg,2012,4.12
hkg,2014,3.82676
hkg,2016,4.0691
hkg,2018,3.92
hnd,2007,2.5
hnd,2010,2.78
hnd,2012,2.53
hnd,2014,2.60743
hnd,2016,2.46281
hnd,2018,2.6
hrv,2007,2.71
hrv,2010,2.77
hrv,2012,3.16
hrv,2014,3.05295
hrv,2016,3.16083
hrv,2018,3.1
hti,2007,2.21
hti,2010,2.59
hti,2012,2.03
hti,2014,2.2696
hti,2016,1.7161
hti,2018,2.11
hun,2007,3.15
hun,2010,2.99
hun,2012,3.17
hun,2014,3.46444
hun,2016,3.42897
hun,2018,3.42
idn,2007,3.01
idn,2010,2.76
idn,2012,2.94
idn,2014,3.08181
idn,2016,2.98454
idn,2018,3.15
ind,2007,3.07
ind,2010,3.12
ind,2012,3.08
ind,2014,3.08014
ind,2016,3.42004
ind,2018,3.18
irl,2007,3.91
irl,2010,3.89
irl,2012,3.52
irl,2014,3.86801
irl,2016,3.79489
irl,2018,3.51
irn,2007,2.51
irn,2010,2.57
irn,2012,2.49
irn,2016,2.60125
irn,2018,2.85
irq,2010,2.11
irq,2012,2.16
irq,2014,2.29784
irq,2016,2.1499
irq,2018,2.18
isl,2010,3.2
isl,2012,3.39
isl,2014,3.39186
isl,2016,3.3456
isl,2018,3.23
isr,2007,3.21
isr,2010,3.41
isr,2014,3.26045
isr,2016,3.66033
isr,2018,3.31
ita,2007,3.58
ita,2010,3.64
ita,2012,3.67
ita,2014,3.69108
ita,2016,3.75541
ita,2018,3.74
jam,2007,2.25
jam,2010,2.53
jam,2012,2.42
jam,2014,2.84249
jam,2016,2.40021
jam,2018,2.52
jor,2007,2.89
jor,2010,2.74
jor,2012,2.56
jor,2014,2.87392
jor,2016,2.95661
jor,2018,2.69
jpn,2007,4.02
jpn,2010,3.97
jpn,2012,3.93
jpn,2014,3.91462
jpn,2016,3.97046
jpn,2018,4.03
kaz,2007,2.12
kaz,2010,2.83
kaz,2012,2.69
kaz,2014,2.69942
kaz,2016,2.752
kaz,2018,2.81
ken,2007,2.52
ken,2010,2.59
ken,2012,2.43
ken,2014,2.81208
ken,2016,3.33129
ken,2018,2.81
kgz,2007,2.35
kgz,2010,2.62
kgz,2012,2.35
kgz,2014,2.20934
kgz,2016,2.15593
kgz,2018,2.55
khm,2007,2.5
khm,2010,2.37
khm,2012,2.56
khm,2014,2.74141
khm,2016,2.80059
khm,2018,2.58
kor,2007,3.52
kor,2010,3.64
kor,2012,3.7
kor,2014,3.66624
kor,2016,3.71713
kor,2018,3.61
kwt,2007,2.99
kwt,2010,3.28
kwt,2012,2.83
kwt,2014,3.0113
kwt,2016,3.15162
kwt,2018,2.86
lao,2007,2.25
lao,2010,2.46
lao,2012,2.5
lao,2014,2.3897
lao,2016,2.06725
lao,2018,2.7
lbn,2007,2.37
lbn,2010,3.34
lbn,2012,2.58
lbn,2014,2.7258
lbn,2016,2.71726
lbn,2018,2.72
lbr,2007,2.31
lbr,2010,2.38
lbr,2012,2.45
lbr,2014,2.62
lbr,2016,2.20391
lbr,2018,2.23
lby,2010,2.33
lby,2012,2.28
lby,2014,2.49698
lby,2016,2.2645
lby,2018,2.11
lka,2007,2.4
lka,2010,2.29
lka,2012,2.75
lka,2014,2.69524
lka,2018,2.6
lso,2007,2.3
lso,2012,2.24
lso,2014,2.37285
lso,2016,2.02598
lso,2018,2.28
ltu,2007,2.78
ltu,2010,3.13
ltu,2012,2.95
ltu,2014,3.17842
ltu,2016,3.63169
ltu,2018,3.02
lux,2007,3.54
lux,2010,3.98
lux,2012,3.82
lux,2014,3.94673
lux,2016,4.21941
lux,2018,3.63
lva,2007,3.02
lva,2010,3.25
lva,2012,2.78
lva,2014,3.40279
lva,2016,3.32711
lva,2018,2.81
mar,2007,2.38
mar,2012,3.03
mar,2016,2.66599
mar,2018,2.54
mda,2007,2.31
mda,2010,2.57
mda,2012,2.33
mda,2014,2.65331
mda,2016,2.61427
mda,2018,2.46
mdg,2007,2.24
mdg,2010,2.66
mdg,2012,2.72
mdg,2014,2.38235
mdg,2016,2.15464
mdg,2018,2.39
mdv,2010,2.4
mdv,2012,2.55
mdv,2014,2.74754
mdv,2016,2.51308
mdv,2018,2.67
mex,2007,2.87
mex,2010,3.05
mex,2012,3.06
mex,2014,3.12832
mex,2016,3.11403
mex,2018,3.05
mkd,2007,2.43
mkd,2010,2.77
mkd,2012,2.56
mkd,2014,2.49914
mkd,2016,2.51026
mkd,2018,2.7
mli,2007,2.29
mli,2010,2.27
mli,2014,2.49523
mli,2016,2.50307
mli,2018,2.59
mlt,2010,2.82
mlt,2012,3.16
mlt,2014,3.10628
mlt,2016,3.06926
mlt,2018,2.81
mmr,2007,1.86
mmr,2010,2.33
mmr,2012,2.37
mmr,2014,2.24991
mmr,2016,2.45857
mmr,2018,2.3
mne,2010,2.43
mne,2012,2.45
mne,2014,2.87552
mne,2016,2.38002
mne,2018,2.75
mng,2007,2.08
mng,2010,2.25
mng,2012,2.25
mng,2014,2.35561
mng,2016,2.50606
mng,2018,2.37
moz,2007,2.29
moz,2010,2.29
moz,2014,2.22892
moz,2016,2.68411
mrt,2007,2.63
mrt,2012,2.4
mrt,2014,2.22891
mrt,2016,1.866
mrt,2018,2.33
mus,2007,2.13
mus,2010,2.72
mus,2012,2.82
mus,2014,2.51492
mus,2018,2.73
mwi,2007,2.42
mwi,2012,2.81
mwi,2014,2.81303
mwi,2018,2.59
mys,2007,3.48
mys,2010,3.44
mys,2012,3.49
mys,2014,3.59043
mys,2016,3.42631
mys,2018,3.22
nam,2007,2.16
nam,2010,2.02
nam,2012,2.65
nam,2014,2.65788
nam,2016,2.74474
ner,2007,1.97
ner,2010,2.54
ner,2012,2.69
ner,2014,2.3934
ner,2016,2.56195
ner,2018,2.07
nga,2007,2.4
nga,2010,2.59
nga,2012,2.45
nga,2014,2.80878
nga,2016,2.62809
nga,2018,2.53
nic,2007,2.21
nic,2010,2.54
nic,2014,2.65328
nic,2016,2.53106
nld,2007,4.18
nld,2010,4.07
nld,2012,4.02
nld,2014,4.04778
nld,2016,4.18753
nld,2018,4.02
nor,2007,3.81
nor,2010,3.93
nor,2012,3.68
nor,2014,3.95824
nor,2016,3.73216
nor,2018,3.7
npl,2007,2.14
npl,2010,2.2
npl,2012,2.04
npl,2014,2.58791
npl,2016,2.37678
npl,2018,2.51
nzl,2007,3.75
nzl,2010,3.65
nzl,2012,3.42
nzl,2014,3.64389
nzl,2016,3.388
nzl,2018,3.88
omn,2007,2.92
omn,2010,2.84
omn,2012,2.89
omn,2014,2.99503
omn,2016,3.23431
omn,2018,3.2
pak,2007,2.62
pak,2010,2.53
pak,2012,2.83
pak,2014,2.82543
pak,2016,2.92322
pak,2018,2.42
pan,2007,2.89
pan,2010,3.02
pan,2012,2.93
pan,2014,3.19373
pan,2016,3.33784
pan,2018,3.28
per,2007,2.77
per,2010,2.8
per,2012,2.94
per,2014,2.84069
per,2016,2.89339
per,2018,2.69
phl,2007,2.69
phl,2010,3.14
phl,2012,3.02
phl,2014,3.00384
phl,2016,2.85626
phl,2018,2.9
png,2007,2.38
png,2010,2.41
png,2012,2.38
png,2014,2.4301
png,2016,2.51062
png,2018,2.17
pol,2007,3.04
pol,2010,3.44
pol,2012,3.43
pol,2014,3.49383
pol,2016,3.42588
pol,2018,3.54
prt,2007,3.38
prt,2010,3.34
prt,2012,3.5
prt,2014,3.56028
prt,2016,3.40937
prt,2018,3.64
pry,2007,2.57
pry,2010,2.75
pry,2012,2.48
pry,2014,2.77973
pry,2016,2.56134
pry,2018,2.78
qat,2007,2.98
qat,2010,2.95
qat,2012,3.32
qat,2014,3.51666
qat,2016,3.59923
qat,2018,3.47
rou,2007,2.91
rou,2010,2.84
rou,2012,3
rou,2014,3.26116
rou,2016,2.99312
rou,2018,3.12
rus,2007,2.37
rus,2010,2.61
rus,2012,2.58
rus,2014,2.69448
rus,2016,2.57086
rus,2018,2.76
rwa,2007,1.77
rwa,2010,2.04
rwa,2012,2.27
rwa,2014,2.75912
rwa,2016,2.98623
rwa,2018,2.97
sau,2007,3.02
sau,2010,3.22
sau,2012,3.18
sau,2014,3.14844
sau,2016,3.15638
sau,2018,3.01
sdn,2007,2.71
sdn,2010,2.21
sdn,2012,2.1
sdn,2014,2.16095
sdn,2016,2.53041
sdn,2018,2.43
sen,2007,2.37
sen,2010,2.86
sen,2012,2.49
sen,2014,2.62217
sen,2016,2.32771
sen,2018,2.25
sgp,2007,4.19
sgp,2010,4.09
sgp,2012,4.13
sgp,2014,4.00445
sgp,2016,4.14363
sgp,2018,4
slb,2007,2.08
slb,2010,2.31
slb,2012,2.41
slb,2014,2.58753
slb,2016,2.41732
slb,2018,2.57
sle,2007,1.95
sle,2010,1.97
sle,2012,2.08
sle,2016,2.0254
sle,2018,2.08
slv,2007,2.66
slv,2010,2.67
slv,2012,2.6
slv,2014,2.96047
slv,2016,2.70573
slv,2018,2.58
som,2007,2.16
som,2010,1.34
som,2014,1.77313
som,2016,1.7471
som,2018,2.21
srb,2007,2.28
srb,2010,2.69
srb,2012,2.8
srb,2014,2.96256
srb,2016,2.76258
srb,2018,2.84
stp,2007,2.86
stp,2012,2.48
stp,2014,2.7339
stp,2016,2.32563
stp,2018,2.65
svk,2007,2.92
svk,2010,3.24
svk,2012,3.03
svk,2014,3.25453
svk,2016,3.3369
svk,2018,3.03
svn,2007,3.14
svn,2010,2.87
svn,2012,3.29
svn,2014,3.38327
svn,2016,3.18451
svn,2018,3.31
swe,2007,4.08
swe,2010,4.08
swe,2012,3.85
swe,2014,3.96135
swe,2016,4.20459
swe,2018,4.05
syr,2007,2.09
syr,2010,2.74
syr,2012,2.6
syr,2014,2.09092
syr,2016,1.59832
syr,2018,2.3
tcd,2007,1.98
tcd,2010,2.49
tcd,2012,2.03
tcd,2014,2.52968
tcd,2016,2.16445
tcd,2018,2.42
tgo,2007,2.25
tgo,2010,2.6
tgo,2012,2.58
tgo,2014,2.31846
tgo,2016,2.61778
tgo,2018,2.45
tha,2007,3.31
tha,2010,3.29
tha,2012,3.18
tha,2014,3.42958
tha,2016,3.2551
tha,2018,3.41
tjk,2007,1.93
tjk,2010,2.35
tjk,2012,2.28
tjk,2014,2.52742
tjk,2016,2.06274
tjk,2018,2.34
tkm,2010,2.49
tkm,2014,2.30495
tkm,2016,2.2114
tkm,2018,2.41
tls,2007,1.71
tto,2016,2.39842
tto,2018,2.42
tun,2007,2.76
tun,2010,2.84
tun,2012,3.17
tun,2014,2.551
tun,2016,2.49669
tun,2018,2.57
tur,2007,3.15
tur,2010,3.22
tur,2012,3.51
tur,2014,3.50022
tur,2016,3.42369
tur,2018,3.15
tza,2007,2.08
tza,2010,2.6
tza,2012,2.65
tza,2014,2.33083
tza,2016,2.99018
uga,2007,2.49
uga,2010,2.82
uga,2016,3.04328
uga,2018,2.58
ukr,2007,2.55
ukr,2010,2.57
ukr,2012,2.85
ukr,2014,2.97644
ukr,2016,2.73668
ukr,2018,2.83
ury,2007,2.51
ury,2010,2.75
ury,2012,2.98
ury,2014,2.67865
ury,2016,2.97454
ury,2018,2.69
usa,2007,3.84
usa,2010,3.86
usa,2012,3.93
usa,2014,3.91783
usa,2016,3.99217
usa,2018,3.89
uzb,2007,2.16
uzb,2010,2.79
uzb,2012,2.46
uzb,2014,2.39477
uzb,2016,2.40453
uzb,2018,2.58
ven,2007,2.62
ven,2010,2.68
ven,2012,2.49
ven,2014,2.80811
ven,2016,2.39078
ven,2018,2.23
vnm,2007,2.89
vnm,2010,2.96
vnm,2012,3
vnm,2014,3.15476
vnm,2016,2.97663
vnm,2018,3.27
yem,2007,2.29
yem,2010,2.58
yem,2012,2.89
yem,2014,2.18395
yem,2018,2.27
zaf,2007,3.53
zaf,2010,3.46
zaf,2012,3.67
zaf,2014,3.43124
zaf,2016,3.77532
zaf,2018,3.38
zmb,2007,2.37
zmb,2010,2.28
zmb,2014,2.46267
zmb,2016,2.42981
zmb,2018,2.53
zwe,2007,2.29
zwe,2012,2.55
zwe,2014,2.33928
zwe,2016,2.08241
zwe,2018,2.12
