geo,time,ic_reg_durs
bdi,2005,13
bdi,2006,13
bdi,2007,13
bdi,2008,13
bdi,2009,13
bdi,2010,13
bdi,2011,13
bdi,2012,7
bdi,2013,5
bdi,2014,5
bdi,2015,4
bdi,2016,4
bdi,2017,4
bdi,2018,5
bdi,2019,5
bel,2003,56
bel,2004,34
bel,2005,34
bel,2006,27
bel,2007,4.5
bel,2008,4.5
bel,2009,4.5
bel,2010,4.5
bel,2011,4.5
bel,2012,4.5
bel,2013,4.5
bel,2014,4.5
bel,2015,4.5
bel,2016,4.5
bel,2017,4.5
bel,2018,4.5
bel,2019,5
ben,2003,35.5
ben,2004,34.5
ben,2005,34.5
ben,2006,34.5
ben,2007,34.5
ben,2008,34.5
ben,2009,34.5
ben,2010,34.5
ben,2011,32.5
ben,2012,29.5
ben,2013,18.5
ben,2014,12.5
ben,2015,12.5
ben,2016,8.5
ben,2017,8.5
ben,2018,8.5
ben,2019,8.5
bfa,2003,40
bfa,2004,40
bfa,2005,40
bfa,2006,34
bfa,2007,18
bfa,2008,16
bfa,2009,14
bfa,2010,14
bfa,2011,13
bfa,2012,13
bfa,2013,13
bfa,2014,13
bfa,2015,13
bfa,2016,13
bfa,2017,13
bfa,2018,13
bfa,2019,13
bgd,2013,21.8
bgd,2014,19.5
bgd,2015,19.5
bgd,2016,19.5
bgd,2017,19.5
bgd,2018,19.5
bgd,2019,19.5
bgr,2003,39
bgr,2004,39
bgr,2005,39
bgr,2006,39
bgr,2007,39
bgr,2008,56
bgr,2009,25
bgr,2010,25
bgr,2011,25
bgr,2012,25
bgr,2013,25
bgr,2014,25
bgr,2015,25
bgr,2016,23
bgr,2017,23
bgr,2018,23
bgr,2019,23
bhr,2007,9.4
bhr,2008,9.4
bhr,2009,9.3
bhr,2010,9.3
bhr,2011,9.3
bhr,2012,9.3
bhr,2013,9.3
bhr,2014,9.3
bhr,2015,9.4
bhr,2016,8.3
bhr,2017,8.3
bhr,2018,8.3
bhr,2019,8.3
bhs,2007,30.5
bhs,2008,30.5
bhs,2009,30.5
bhs,2010,23.5
bhs,2011,23.5
bhs,2012,23.5
bhs,2013,23.5
bhs,2014,23.5
bhs,2015,28.5
bhs,2016,21.5
bhs,2017,21.5
bhs,2018,21.5
bhs,2019,11.5
bih,2003,68
bih,2004,63
bih,2005,93
bih,2006,93
bih,2007,93
bih,2008,99
bih,2009,99
bih,2010,109
bih,2011,85
bih,2012,82
bih,2013,82
bih,2014,82
bih,2015,82
bih,2016,80
bih,2017,80
bih,2018,80
bih,2019,80
blr,2003,80
blr,2004,80
blr,2005,80
blr,2006,70
blr,2007,49
blr,2008,32
blr,2009,13
blr,2010,13
blr,2011,13
blr,2012,13
blr,2013,12
blr,2014,12
blr,2015,9
blr,2016,9
blr,2017,9
blr,2018,9
blr,2019,8.5
blz,2005,57
blz,2006,44
blz,2007,43
blz,2008,43
blz,2009,43
blz,2010,43
blz,2011,43
blz,2012,43
blz,2013,43
blz,2014,43
blz,2015,43
blz,2016,43
blz,2017,48
blz,2018,48
blz,2019,48
bol,2003,59
bol,2004,59
bol,2005,49
bol,2006,49
bol,2007,49
bol,2008,49
bol,2009,49
bol,2010,49
bol,2011,49
bol,2012,49
bol,2013,49
bol,2014,49
bol,2015,49
bol,2016,45
bol,2017,41
bol,2018,39.5
bol,2019,39.5
bra,2013,86.6
bra,2014,83.6
bra,2015,86
bra,2016,82.5
bra,2017,82.5
bra,2018,20.1
bra,2019,16.6
brb,2011,18
brb,2012,18
brb,2013,18
brb,2014,19
brb,2015,19
brb,2016,16
brb,2017,16
brb,2018,16
brb,2019,16
brn,2006,121.5
brn,2007,121.5
brn,2008,121.5
brn,2009,121.5
brn,2010,108.5
brn,2011,104.5
brn,2012,104.5
brn,2013,104.5
brn,2014,104.5
brn,2015,14.5
brn,2016,14.5
brn,2017,12.5
brn,2018,5.5
brn,2019,5.5
btn,2003,62
btn,2004,62
btn,2005,62
btn,2006,62
btn,2007,48
btn,2008,46
btn,2009,46
btn,2010,46
btn,2011,35
btn,2012,35
btn,2013,30
btn,2014,15
btn,2015,15
btn,2016,15
btn,2017,12
btn,2018,12
btn,2019,12
bwa,2003,125
bwa,2004,125
bwa,2005,125
bwa,2006,105
bwa,2007,105
bwa,2008,74
bwa,2009,59
bwa,2010,59
bwa,2011,40
bwa,2012,40
bwa,2013,41
bwa,2014,48
bwa,2015,48
bwa,2016,48
bwa,2017,48
bwa,2018,48
bwa,2019,48
caf,2003,22
caf,2004,22
caf,2005,22
caf,2006,22
caf,2007,22
caf,2008,23
caf,2009,24
caf,2010,24
caf,2011,22
caf,2012,22
caf,2013,22
caf,2014,22
caf,2015,22
caf,2016,22
caf,2017,22
caf,2018,22
caf,2019,22
can,2003,3.5
can,2004,3.5
can,2005,3.5
can,2006,3.5
can,2007,3.5
can,2008,5.5
can,2009,5.5
can,2010,5.5
can,2011,5.5
can,2012,5.5
can,2013,5.5
can,2014,5.5
can,2015,1.5
can,2016,1.5
can,2017,1.5
can,2018,1.5
can,2019,1.5
che,2003,20
che,2004,18
che,2005,18
che,2006,18
che,2007,18
che,2008,18
che,2009,18
che,2010,18
che,2011,18
che,2012,18
che,2013,18
che,2014,10
che,2015,10
che,2016,10
che,2017,10
che,2018,10
che,2019,10
chl,2003,42
chl,2004,42
chl,2005,42
chl,2006,40
chl,2007,40
chl,2008,40
chl,2009,40
chl,2010,36.5
chl,2011,9.5
chl,2012,7.5
chl,2013,7.5
chl,2014,7.5
chl,2015,7.5
chl,2016,7.5
chl,2017,7.5
chl,2018,6
chl,2019,4
chn,2013,34.3
chn,2014,31.3
chn,2015,31.3
chn,2016,28.9
chn,2017,24.9
chn,2018,8.5
chn,2019,8.5
civ,2003,62
civ,2004,58
civ,2005,45
civ,2006,45
civ,2007,42
civ,2008,40
civ,2009,40
civ,2010,40
civ,2011,32
civ,2012,32
civ,2013,8
civ,2014,7
civ,2015,7
civ,2016,7
civ,2017,8
civ,2018,6
civ,2019,6
cmr,2003,45
cmr,2004,45
cmr,2005,45
cmr,2006,45
cmr,2007,38
cmr,2008,38.5
cmr,2009,35.5
cmr,2010,20.5
cmr,2011,16.5
cmr,2012,16.5
cmr,2013,16.5
cmr,2014,16.5
cmr,2015,16.5
cmr,2016,16.5
cmr,2017,16.5
cmr,2018,13.5
cmr,2019,13.5
cod,2003,166.5
cod,2004,133.5
cod,2005,133.5
cod,2006,133.5
cod,2007,132.5
cod,2008,132.5
cod,2009,126.5
cod,2010,84.5
cod,2011,65.5
cod,2012,58.5
cod,2013,31.5
cod,2014,16.5
cod,2015,11.5
cod,2016,11.5
cod,2017,7
cod,2018,7
cod,2019,7
cog,2003,37.5
cog,2004,37.5
cog,2005,37.5
cog,2006,38.5
cog,2007,38.5
cog,2008,158.5
cog,2009,158.5
cog,2010,158.5
cog,2011,158.5
cog,2012,158.5
cog,2013,98.5
cog,2014,50.5
cog,2015,50.5
cog,2016,50.5
cog,2017,49.5
cog,2018,49.5
cog,2019,49.5
col,2003,44
col,2004,41
col,2005,41
col,2006,42
col,2007,41
col,2008,35
col,2009,19
col,2010,11
col,2011,11
col,2012,12
col,2013,12
col,2014,12
col,2015,12
col,2016,11
col,2017,11
col,2018,11
col,2019,10
com,2005,30
com,2006,30
com,2007,30
com,2008,22
com,2009,22
com,2010,22
com,2011,22
com,2012,20
com,2013,16
com,2014,16
com,2015,16
com,2016,16
com,2017,16
com,2018,16
com,2019,16
cpv,2005,60
cpv,2006,52
cpv,2007,52
cpv,2008,52
cpv,2009,24
cpv,2010,18
cpv,2011,18
cpv,2012,18
cpv,2013,18
cpv,2014,18
cpv,2015,18
cpv,2016,18
cpv,2017,18
cpv,2018,18
cpv,2019,9
cri,2003,90
cri,2004,90
cri,2005,90
cri,2006,87
cri,2007,90
cri,2008,74
cri,2009,73.5
cri,2010,73.5
cri,2011,73.5
cri,2012,57.5
cri,2013,23
cri,2014,23
cri,2015,23
cri,2016,22.5
cri,2017,22.5
cri,2018,23
cri,2019,23
cyp,2008,8
cyp,2009,8
cyp,2010,8
cyp,2011,8
cyp,2012,8
cyp,2013,8
cyp,2014,8
cyp,2015,8
cyp,2016,6
cyp,2017,6
cyp,2018,6
cyp,2019,6
cze,2003,57
cze,2004,57
cze,2005,57
cze,2006,39
cze,2007,32
cze,2008,35
cze,2009,32
cze,2010,32
cze,2011,30.5
cze,2012,30.5
cze,2013,30.5
cze,2014,30.5
cze,2015,30.5
cze,2016,24.5
cze,2017,24.5
cze,2018,24.5
cze,2019,24.5
deu,2003,45
deu,2004,45
deu,2005,22
deu,2006,22
deu,2007,18
deu,2008,17.5
deu,2009,17.5
deu,2010,14.5
deu,2011,14.5
deu,2012,14.5
deu,2013,14.5
deu,2014,14.5
deu,2015,10.5
deu,2016,8
deu,2017,8
deu,2018,8
deu,2019,8
dji,2005,44
dji,2006,44
dji,2007,44
dji,2008,37
dji,2009,37
dji,2010,37
dji,2011,37
dji,2012,37
dji,2013,17
dji,2014,14
dji,2015,14
dji,2016,14
dji,2017,14
dji,2018,14
dji,2019,14
dma,2005,14
dma,2006,14
dma,2007,14
dma,2008,13
dma,2009,13
dma,2010,13
dma,2011,12
dma,2012,12
dma,2013,12
dma,2014,12
dma,2015,12
dma,2016,12
dma,2017,12
dma,2018,12
dma,2019,12
dnk,2003,7.5
dnk,2004,7.5
dnk,2005,6.5
dnk,2006,6.5
dnk,2007,6.5
dnk,2008,6.5
dnk,2009,6.5
dnk,2010,6
dnk,2011,6
dnk,2012,6
dnk,2013,6
dnk,2014,6
dnk,2015,3.5
dnk,2016,3.5
dnk,2017,3.5
dnk,2018,3.5
dnk,2019,3.5
dom,2003,79
dom,2004,79
dom,2005,76
dom,2006,76
dom,2007,25
dom,2008,15
dom,2009,16
dom,2010,15
dom,2011,14.5
dom,2012,14.5
dom,2013,14.5
dom,2014,14.5
dom,2015,14.5
dom,2016,18.5
dom,2017,16.5
dom,2018,16.5
dom,2019,16.5
dza,2003,25
dza,2004,24
dza,2005,22
dza,2006,22
dza,2007,22
dza,2008,22
dza,2009,22
dza,2010,22
dza,2011,22
dza,2012,22
dza,2013,22
dza,2014,20
dza,2015,18
dza,2016,18
dza,2017,18
dza,2018,18
dza,2019,18
ecu,2003,92
ecu,2004,92
ecu,2005,69
ecu,2006,65
ecu,2007,65
ecu,2008,65
ecu,2009,64
ecu,2010,56
ecu,2011,55.5
ecu,2012,55.5
ecu,2013,55.5
ecu,2014,55.5
ecu,2015,50.5
ecu,2016,48.5
ecu,2017,48.5
ecu,2018,48.5
ecu,2019,48.5
egy,2003,42.5
egy,2004,42.5
egy,2005,26.5
egy,2006,23.5
egy,2007,17.5
egy,2008,12.5
egy,2009,12.5
egy,2010,12.5
egy,2011,12.5
egy,2012,12.5
egy,2013,12.5
egy,2014,12.5
egy,2015,16.5
egy,2016,16.5
egy,2017,16.5
egy,2018,11.5
egy,2019,12.5
eri,2004,76
eri,2005,76
eri,2006,76
eri,2007,83
eri,2008,84
eri,2009,84
eri,2010,84
eri,2011,84
eri,2012,84
eri,2013,84
eri,2014,84
eri,2015,84
eri,2016,84
eri,2017,84
eri,2018,84
eri,2019,84
esp,2003,138
esp,2004,137
esp,2005,70
esp,2006,60
esp,2007,60
esp,2008,61
esp,2009,61
esp,2010,52
esp,2011,29
esp,2012,30
esp,2013,24
esp,2014,14
esp,2015,14
esp,2016,13
esp,2017,13
esp,2018,12.5
esp,2019,12.5
est,2003,72
est,2004,72
est,2005,35
est,2006,35
est,2007,6.5
est,2008,6.5
est,2009,6.5
est,2010,6.5
est,2011,6.5
est,2012,6.5
est,2013,6.5
est,2014,4.5
est,2015,3.5
est,2016,3.5
est,2017,3.5
est,2018,3.5
est,2019,3.5
eth,2003,47
eth,2004,35
eth,2005,35
eth,2006,19
eth,2007,19
eth,2008,19
eth,2009,20
eth,2010,20
eth,2011,40
eth,2012,40
eth,2013,39
eth,2014,39
eth,2015,35
eth,2016,35
eth,2017,33
eth,2018,32
eth,2019,32
fin,2003,31
fin,2004,17
fin,2005,17
fin,2006,17
fin,2007,17
fin,2008,17
fin,2009,17
fin,2010,17
fin,2011,17
fin,2012,17
fin,2013,17
fin,2014,17
fin,2015,17
fin,2016,17
fin,2017,17
fin,2018,17
fin,2019,13
fji,2003,31
fji,2004,31
fji,2005,44
fji,2006,44
fji,2007,44
fji,2008,44
fji,2009,44
fji,2010,44
fji,2011,44
fji,2012,58
fji,2013,58
fji,2014,58
fji,2015,58
fji,2016,40
fji,2017,40
fji,2018,40
fji,2019,40
fra,2003,41
fra,2004,7
fra,2005,7
fra,2006,7
fra,2007,7
fra,2008,6.5
fra,2009,6.5
fra,2010,6.5
fra,2011,6.5
fra,2012,6.5
fra,2013,6.5
fra,2014,4.5
fra,2015,4
fra,2016,3.5
fra,2017,3.5
fra,2018,3.5
fra,2019,4
fsm,2003,36
fsm,2004,16
fsm,2005,16
fsm,2006,16
fsm,2007,16
fsm,2008,16
fsm,2009,16
fsm,2010,16
fsm,2011,16
fsm,2012,16
fsm,2013,16
fsm,2014,16
fsm,2015,16
fsm,2016,16
fsm,2017,16
fsm,2018,16
fsm,2019,16
gab,2005,54
gab,2006,54
gab,2007,54
gab,2008,54
gab,2009,54
gab,2010,54
gab,2011,54
gab,2012,54
gab,2013,47
gab,2014,47
gab,2015,47
gab,2016,47
gab,2017,33
gab,2018,31
gab,2019,10
gbr,2003,12
gbr,2004,12
gbr,2005,11.5
gbr,2006,11.5
gbr,2007,11.5
gbr,2008,11.5
gbr,2009,11.5
gbr,2010,11.5
gbr,2011,11.5
gbr,2012,11.5
gbr,2013,11.5
gbr,2014,6
gbr,2015,4.5
gbr,2016,4.5
gbr,2017,4.5
gbr,2018,4.5
gbr,2019,4.5
geo,2003,25
geo,2004,25
geo,2005,21
geo,2006,16
geo,2007,11
geo,2008,3
geo,2009,3
geo,2010,3
geo,2011,2
geo,2012,2
geo,2013,2
geo,2014,2
geo,2015,2
geo,2016,2
geo,2017,2
geo,2018,2
geo,2019,1
gha,2003,21
gha,2004,21
gha,2005,17
gha,2006,17
gha,2007,13
gha,2008,11
gha,2009,11
gha,2010,11
gha,2011,11
gha,2012,11
gha,2013,14
gha,2014,14
gha,2015,14
gha,2016,14
gha,2017,14
gha,2018,14
gha,2019,13
gin,2003,48
gin,2004,40
gin,2005,40
gin,2006,40
gin,2007,40
gin,2008,40
gin,2009,40
gin,2010,40
gin,2011,40
gin,2012,43
gin,2013,23
gin,2014,15
gin,2015,15
gin,2016,15
gin,2017,15
gin,2018,15
gin,2019,15
gmb,2005,28
gmb,2006,27
gmb,2007,32
gmb,2008,27
gmb,2009,27
gmb,2010,27
gmb,2011,27
gmb,2012,27
gmb,2013,27
gmb,2014,26
gmb,2015,25
gmb,2016,25
gmb,2017,25
gmb,2018,25
gmb,2019,8
gnb,2005,259.5
gnb,2006,260.5
gnb,2007,259.5
gnb,2008,259.5
gnb,2009,216.5
gnb,2010,216.5
gnb,2011,8.5
gnb,2012,8.5
gnb,2013,8.5
gnb,2014,8.5
gnb,2015,8.5
gnb,2016,8.5
gnb,2017,8.5
gnb,2018,8.5
gnb,2019,8.5
gnq,2005,155
gnq,2006,155
gnq,2007,155
gnq,2008,155
gnq,2009,155
gnq,2010,155
gnq,2011,150
gnq,2012,150
gnq,2013,150
gnq,2014,150
gnq,2015,150
gnq,2016,149
gnq,2017,33
gnq,2018,33
gnq,2019,33
grc,2003,38
grc,2004,38
grc,2005,38
grc,2006,38
grc,2007,38
grc,2008,19
grc,2009,19
grc,2010,19
grc,2011,11
grc,2012,11
grc,2013,14
grc,2014,13
grc,2015,13
grc,2016,13
grc,2017,12.5
grc,2018,12.5
grc,2019,4
grd,2005,20
grd,2006,20
grd,2007,19
grd,2008,19
grd,2009,19
grd,2010,14
grd,2011,14
grd,2012,14
grd,2013,15
grd,2014,15
grd,2015,15
grd,2016,15
grd,2017,15
grd,2018,15
grd,2019,12
gtm,2003,41
gtm,2004,41
gtm,2005,41
gtm,2006,37
gtm,2007,36
gtm,2008,36
gtm,2009,36
gtm,2010,36
gtm,2011,36
gtm,2012,36
gtm,2013,26.5
gtm,2014,26.5
gtm,2015,26.5
gtm,2016,26.5
gtm,2017,26.5
gtm,2018,15
gtm,2019,15
guy,2004,42
guy,2005,42
guy,2006,42
guy,2007,37
guy,2008,38
guy,2009,27
guy,2010,23
guy,2011,19
guy,2012,18
guy,2013,18
guy,2014,18
guy,2015,18
guy,2016,18
guy,2017,18
guy,2018,18
guy,2019,18
hkg,2003,11
hkg,2004,11
hkg,2005,11
hkg,2006,11
hkg,2007,11
hkg,2008,11
hkg,2009,6
hkg,2010,6
hkg,2011,2.5
hkg,2012,2.5
hkg,2013,2.5
hkg,2014,2.5
hkg,2015,1.5
hkg,2016,1.5
hkg,2017,1.5
hkg,2018,1.5
hkg,2019,1.5
hnd,2003,61
hnd,2004,61
hnd,2005,69
hnd,2006,57
hnd,2007,20
hnd,2008,20
hnd,2009,14
hnd,2010,43
hnd,2011,43
hnd,2012,43
hnd,2013,43
hnd,2014,43
hnd,2015,41
hnd,2016,42
hnd,2017,42
hnd,2018,42
hnd,2019,42
hrv,2003,29
hrv,2004,29
hrv,2005,29
hrv,2006,25
hrv,2007,22.5
hrv,2008,22.5
hrv,2009,22.5
hrv,2010,20.5
hrv,2011,20
hrv,2012,22.5
hrv,2013,22.5
hrv,2014,22.5
hrv,2015,22.5
hrv,2016,22.5
hrv,2017,22.5
hrv,2018,22.5
hrv,2019,19.5
hti,2003,260
hti,2004,202
hti,2005,202
hti,2006,202
hti,2007,202
hti,2008,224
hti,2009,224
hti,2010,134
hti,2011,134
hti,2012,134
hti,2013,97
hti,2014,97
hti,2015,97
hti,2016,97
hti,2017,97
hti,2018,97
hti,2019,97
hun,2003,54
hun,2004,54
hun,2005,39
hun,2006,39
hun,2007,17
hun,2008,6
hun,2009,5
hun,2010,5
hun,2011,5
hun,2012,7
hun,2013,7
hun,2014,7
hun,2015,7
hun,2016,7
hun,2017,7
hun,2018,7
hun,2019,7
idn,2013,77
idn,2014,53.9
idn,2015,49.3
idn,2016,26.3
idn,2017,24.5
idn,2018,21
idn,2019,12.6
ind,2013,32.7
ind,2014,35
ind,2015,30
ind,2016,28.5
ind,2017,29.8
ind,2018,16.5
ind,2019,17.5
irl,2003,24
irl,2004,24
irl,2005,24
irl,2006,19
irl,2007,19
irl,2008,19
irl,2009,19
irl,2010,19
irl,2011,19
irl,2012,16
irl,2013,16
irl,2014,12
irl,2015,12
irl,2016,11
irl,2017,11
irl,2018,11
irl,2019,11
irn,2003,81.5
irn,2004,81.5
irn,2005,80.5
irn,2006,80.5
irn,2007,80.5
irn,2008,80.5
irn,2009,62.5
irn,2010,64.5
irn,2011,64.5
irn,2012,73.5
irn,2013,73.5
irn,2014,72.5
irn,2015,72.5
irn,2016,72.5
irn,2017,72.5
irn,2018,72.5
irn,2019,72.5
irq,2004,30.5
irq,2005,30.5
irq,2006,29.5
irq,2007,30.5
irq,2008,30.5
irq,2009,30.5
irq,2010,30.5
irq,2011,30.5
irq,2012,27.5
irq,2013,27.5
irq,2014,27.5
irq,2015,34.5
irq,2016,34.5
irq,2017,26.5
irq,2018,26.5
irq,2019,26.5
isl,2004,5
isl,2005,5
isl,2006,5
isl,2007,5
isl,2008,5
isl,2009,5
isl,2010,5
isl,2011,4.5
isl,2012,4.5
isl,2013,4.5
isl,2014,12
isl,2015,12
isl,2016,11.5
isl,2017,11.5
isl,2018,11.5
isl,2019,11.5
isr,2003,18
isr,2004,18
isr,2005,18
isr,2006,18
isr,2007,18
isr,2008,18
isr,2009,18
isr,2010,18
isr,2011,18
isr,2012,19
isr,2013,12
isr,2014,12
isr,2015,12
isr,2016,11
isr,2017,11
isr,2018,11
isr,2019,11
ita,2003,23
ita,2004,15
ita,2005,15
ita,2006,15
ita,2007,15
ita,2008,12
ita,2009,12.5
ita,2010,12.5
ita,2011,12.5
ita,2012,12.5
ita,2013,12.5
ita,2014,11.5
ita,2015,11
ita,2016,11
ita,2017,11
ita,2018,11
ita,2019,11
jam,2003,31
jam,2004,31
jam,2005,8
jam,2006,8
jam,2007,8
jam,2008,8
jam,2009,8
jam,2010,8
jam,2011,7
jam,2012,7
jam,2013,6
jam,2014,15
jam,2015,3
jam,2016,10
jam,2017,3
jam,2018,3
jam,2019,3
jor,2003,79.5
jor,2004,26.5
jor,2005,16.5
jor,2006,16.5
jor,2007,13.5
jor,2008,13.5
jor,2009,12.5
jor,2010,12.5
jor,2011,12.5
jor,2012,12.5
jor,2013,12.5
jor,2014,12.5
jor,2015,12.5
jor,2016,12.5
jor,2017,12.5
jor,2018,12.5
jor,2019,12.5
jpn,2013,11.6
jpn,2014,11.1
jpn,2015,11.2
jpn,2016,11.1
jpn,2017,11.1
jpn,2018,11.1
jpn,2019,11.1
kaz,2003,32
kaz,2004,32
kaz,2005,31
kaz,2006,27
kaz,2007,27
kaz,2008,27
kaz,2009,26
kaz,2010,25
kaz,2011,25
kaz,2012,25
kaz,2013,18
kaz,2014,16
kaz,2015,11
kaz,2016,9
kaz,2017,9
kaz,2018,5
kaz,2019,5
ken,2003,60
ken,2004,47
ken,2005,55
ken,2006,55
ken,2007,45
ken,2008,33
ken,2009,33
ken,2010,33
ken,2011,35
ken,2012,34
ken,2013,34
ken,2014,32
ken,2015,28
ken,2016,22
ken,2017,23
ken,2018,23
ken,2019,23
kgz,2003,21
kgz,2004,21
kgz,2005,21
kgz,2006,21
kgz,2007,21
kgz,2008,19
kgz,2009,15
kgz,2010,14
kgz,2011,14
kgz,2012,14
kgz,2013,10
kgz,2014,10
kgz,2015,10
kgz,2016,10
kgz,2017,10
kgz,2018,10
kgz,2019,10
khm,2003,95
khm,2004,95
khm,2005,87
khm,2006,86
khm,2007,86
khm,2008,102
khm,2009,102
khm,2010,102
khm,2011,102
khm,2012,102
khm,2013,101
khm,2014,101
khm,2015,87
khm,2016,99
khm,2017,99
khm,2018,99
khm,2019,99
kir,2003,21
kir,2004,31
kir,2005,31
kir,2006,31
kir,2007,31
kir,2008,31
kir,2009,31
kir,2010,31
kir,2011,31
kir,2012,31
kir,2013,31
kir,2014,31
kir,2015,31
kir,2016,31
kir,2017,31
kir,2018,31
kir,2019,31
kna,2005,19
kna,2006,19
kna,2007,19
kna,2008,19
kna,2009,19
kna,2010,19
kna,2011,19
kna,2012,19
kna,2013,18.5
kna,2014,18.5
kna,2015,18.5
kna,2016,18.5
kna,2017,18.5
kna,2018,18.5
kna,2019,18.5
kor,2003,17
kor,2004,17
kor,2005,17
kor,2006,17
kor,2007,17
kor,2008,17
kor,2009,14
kor,2010,14
kor,2011,9
kor,2012,8
kor,2013,8
kor,2014,8
kor,2015,8
kor,2016,8
kor,2017,8
kor,2018,8
kor,2019,8
kos,2009,52
kos,2010,58
kos,2011,58
kos,2012,51
kos,2013,29
kos,2014,10
kos,2015,10
kos,2016,6
kos,2017,5.5
kos,2018,5.5
kos,2019,4.5
kwt,2003,35.4
kwt,2004,35.4
kwt,2005,35.4
kwt,2006,35.4
kwt,2007,35.4
kwt,2008,35.4
kwt,2009,35.4
kwt,2010,35.4
kwt,2011,32.4
kwt,2012,32.4
kwt,2013,32.4
kwt,2014,31.4
kwt,2015,31.4
kwt,2016,61.4
kwt,2017,38.4
kwt,2018,35.4
kwt,2019,19.4
lao,2003,135
lao,2004,135
lao,2005,135
lao,2006,116
lao,2007,86
lao,2008,86
lao,2009,86
lao,2010,86
lao,2011,78
lao,2012,88
lao,2013,88
lao,2014,88
lao,2015,187
lao,2016,174
lao,2017,174
lao,2018,174
lao,2019,173
lbn,2003,53
lbn,2004,53
lbn,2005,53
lbn,2006,53
lbn,2007,53
lbn,2008,18
lbn,2009,15
lbn,2010,15
lbn,2011,15
lbn,2012,15
lbn,2013,15
lbn,2014,15
lbn,2015,15
lbn,2016,15
lbn,2017,15
lbn,2018,15
lbn,2019,15
lbr,2006,69
lbr,2007,69
lbr,2008,33
lbr,2009,21
lbr,2010,21
lbr,2011,7
lbr,2012,7
lbr,2013,6
lbr,2014,6
lbr,2015,6
lbr,2016,6
lbr,2017,6
lbr,2018,18
lbr,2019,18
lby,2012,35
lby,2013,35
lby,2014,35
lby,2015,35
lby,2016,35
lby,2017,35
lby,2018,35
lby,2019,35
lca,2005,22
lca,2006,20
lca,2007,20
lca,2008,20
lca,2009,14
lca,2010,14
lca,2011,11
lca,2012,11
lca,2013,11
lca,2014,11
lca,2015,11
lca,2016,11
lca,2017,11
lca,2018,11
lca,2019,11
lie,2018,46
lie,2019,46
lka,2003,56
lka,2004,46
lka,2005,46
lka,2006,46
lka,2007,42
lka,2008,44
lka,2009,44
lka,2010,38
lka,2011,35
lka,2012,11
lka,2013,11
lka,2014,11
lka,2015,10
lka,2016,9
lka,2017,9
lka,2018,9
