geo,time,se_prm_uner_fe_zs
bhr,1976,26.1636
bhr,1977,26.42695
bhr,1978,27.2371
bhr,1979,25.02553
bhr,1980,21.86187
bhr,1981,21.52109
bhr,1982,23.07557
bhr,1983,19.32257
bhr,1984,14.50877
bhr,1985,8.6396
bhr,1986,4.12947
bhr,1987,3.95823
bhr,1988,2.11057
bhr,1989,1.20296
bhr,1992,2.03877
bhr,1993,1.19374
bhr,1994,0.98419
bhr,1995,0.0672
bhr,2001,2.26533
bhr,2002,3.25865
bhr,2003,4.20317
bhr,2004,4.89453
bhr,2005,7.3622
bhr,2006,4.67365
bhr,2011,6.56809
bhr,2012,6.13397
bhr,2013,5.16396
bhr,2014,3.27299
bhr,2015,1.06007
bhr,2016,0.46906
bhr,2018,2.02831
bhr,2019,2.83481
bhs,1992,11.15329
bhs,1993,10.2378
bhs,1999,9.6236
bhs,2004,10.45201
bhs,2005,9.13885
bih,2014,6.1946
bih,2015,8.36612
bih,2016,12.91551
bih,2017,12.02807
bih,2018,13.34897
blr,1995,13.71875
blr,2013,1.52779
blr,2014,2.58531
blr,2015,1.35976
blr,2016,1.01335
blr,2018,2.10219
blz,1999,0.90424
blz,2000,3.88979
blz,2001,6.51149
blz,2003,5.20204
blz,2004,3.23947
blz,2005,4.80984
blz,2006,3.69677
blz,2007,3.98997
blz,2008,3.80243
blz,2009,2.95008
blz,2010,1.60131
blz,2011,2.87563
blz,2012,0.32537
blz,2013,1.20088
blz,2014,1.64405
bmu,1978,22.09195
bmu,1979,24.32517
bmu,1984,11.36891
bmu,1985,10.28357
bmu,2011,2.99815
bmu,2012,9.38967
bol,2009,2.05358
bol,2010,4.95221
bol,2011,7.49365
bol,2012,10.69466
bol,2013,11.56648
bol,2014,11.82524
bol,2015,11.39499
bol,2016,10.22788
bol,2017,8.63613
bol,2018,6.89912
bol,2019,5.34752
bra,2009,1.49212
bra,2011,5.40983
bra,2012,1.39789
bra,2015,0.57631
brb,1971,14.46701
brb,1972,13.10886
brb,1973,11.52931
brb,1976,1.84495
brb,1981,4.69383
brb,1982,6.80739
brb,1983,6.63495
brb,1989,0.2218
brb,1990,3.35155
brb,1992,10.77893
brb,2000,2.48209
brb,2001,2.93557
brb,2002,6.59083
brb,2003,6.69151
brb,2004,7.23203
brb,2005,7.64108
brb,2006,5.21028
brb,2007,1.91426
brb,2008,0.92191
brb,2009,2.05281
brb,2010,1.49644
brb,2011,4.11242
brb,2014,5.91001
brb,2015,3.71308
brb,2016,1.44401
brb,2017,4.21299
brb,2018,2.47406
brb,2020,3.34526
brn,1977,11.43762
brn,1978,11.03149
brn,1979,20.46188
brn,1980,20.71646
brn,1981,23.43953
brn,1982,24.97008
brn,1983,23.60473
brn,1984,22.72039
brn,1986,19.83956
brn,1991,10.92126
brn,1992,8.17814
brn,1993,4.53533
brn,1994,4.78684
brn,1995,1.85656
brn,2020,1.52253
btn,1978,86.76091
btn,1979,84.40836
btn,1998,49.77114
btn,1999,48.45438
btn,2000,45.21221
btn,2001,42.20327
btn,2005,29.65333
btn,2006,25.17384
btn,2008,18.43341
btn,2009,13.47172
btn,2010,10.83171
btn,2011,9.49724
btn,2012,7.1663
btn,2013,7.82838
btn,2015,8.58598
btn,2016,9.32138
btn,2017,9.69158
btn,2018,7.38426
btn,2020,2.20498
bwa,1970,46.87737
bwa,1971,50.43779
bwa,1972,48.65869
bwa,1973,45.11305
bwa,1974,40.46414
bwa,1975,32.88754
bwa,1976,28.0726
bwa,1977,23.76047
bwa,1978,23.21348
bwa,1979,21.76243
bwa,1980,17.34651
bwa,1981,12.98644
bwa,1983,8.33794
bwa,1984,7.92583
bwa,1985,6.04423
bwa,1986,6.13279
bwa,1987,5.6821
bwa,1988,5.24233
bwa,1989,5.08172
bwa,1990,5.00145
bwa,1991,2.72395
bwa,1992,3.77283
bwa,1993,4.61705
bwa,1994,4.81643
bwa,1995,14.71796
bwa,1996,14.39997
bwa,1998,11.74568
bwa,1999,12.93215
bwa,2000,11.99374
bwa,2001,10.66458
bwa,2002,10.78751
bwa,2003,10.65101
bwa,2004,11.32196
bwa,2005,9.3141
bwa,2006,8.9536
bwa,2007,10.46034
bwa,2008,11.77487
bwa,2009,12.67343
bwa,2012,10.05499
bwa,2013,10.2357
bwa,2014,10.45863
bwa,2015,10.62365
bwa,2017,8.08053
caf,1971,65.73115
caf,1972,63.61961
caf,1973,61.02644
caf,1977,61.91817
caf,1978,62.15005
caf,1981,57.7693
caf,1982,56.87988
caf,1983,57.49515
caf,1986,49.50033
caf,1987,58.66493
caf,1988,60.12101
caf,1989,59.70897
caf,1990,52.39339
caf,1991,55.58891
caf,2005,59.54639
caf,2006,59.5413
caf,2007,53.17003
caf,2008,44.76856
caf,2009,44.88959
caf,2010,42.46476
caf,2011,43.99524
caf,2012,40.80646
can,1982,4.04044
can,1983,4.50284
can,1984,5.14844
can,1985,5.17007
can,1986,4.76086
can,1987,4.74986
can,1988,4.72318
can,1989,5.07925
can,1990,3.91596
can,1991,1.88798
can,1992,2.12013
can,1993,4.1395
can,1994,5.08568
can,1995,5.89928
can,1996,4.99354
can,1998,0.89224
che,1977,23.0651
che,1978,22.59827
che,1981,22.07918
che,1982,22.20489
che,1983,22.40478
che,1984,22.82641
che,1985,22.98238
che,1986,22.61193
che,1987,21.31512
che,1988,19.54623
che,1989,17.67283
che,1990,15.95461
che,1991,15.0871
che,1992,15.02305
che,1993,15.56195
che,1994,16.31487
che,1995,11.04389
che,1996,8.98255
che,2004,0.31524
che,2009,0.30809
che,2010,0.28986
che,2011,0.09722
che,2012,0.02198
chl,2007,3.57616
chl,2008,3.20654
chl,2009,4.4754
chl,2010,3.00832
chl,2011,3.65164
chl,2012,3.77238
chl,2013,4.20076
chl,2014,4.18039
chl,2015,3.99965
chl,2016,3.3311
chl,2017,2.56709
chl,2018,1.6207
chl,2019,0.87884
chn,1987,11.13819
chn,1989,7.55792
chn,1991,6.17271
chn,1992,6.84686
chn,1993,7.75889
chn,1994,9.10694
chn,1995,10.44691
chn,1996,11.32022
chn,1997,11.6294
civ,1977,60.61724
civ,1996,53.1773
civ,1997,52.30843
civ,1999,50.54599
civ,2000,52.13976
civ,2001,48.05477
civ,2002,48.8117
civ,2003,50.12018
civ,2009,49.47184
civ,2013,34.53411
civ,2014,31.59946
civ,2015,27.94593
civ,2016,17.54472
civ,2017,15.13918
civ,2018,10.14562
civ,2019,8.38753
civ,2020,7.01395
cmr,1971,43.72234
cmr,1972,43.60677
cmr,1973,45.19721
cmr,1974,46.06072
cmr,1975,40.26433
cmr,1976,38.53816
cmr,1977,39.40572
cmr,1978,38.23609
cmr,1979,37.00657
cmr,1980,36.6296
cmr,1988,31.07676
cmr,1990,31.84549
cmr,1991,33.52625
cmr,2011,16.6497
cmr,2016,9.22136
cmr,2017,10.68952
cmr,2019,12.72457
cod,1971,45.70982
cod,1972,46.53212
cod,1975,42.22292
cod,1979,39.88782
cod,1983,35.80394
cod,1984,34.58272
cod,1988,43.51245
cod,1991,45.92325
cod,1992,46.8601
cod,1993,47.51988
cod,1994,47.35316
cod,1995,44.04469
cod,1999,64.11402
cog,1972,23.50668
cog,1974,17.14748
cog,1976,12.67365
cog,1978,7.91038
cog,1979,7.37624
cog,1980,13.93158
cog,1981,14.84386
cog,1982,13.98973
cog,1983,13.0442
cog,1984,12.24004
cog,2005,43.54196
cog,2006,47.5783
cog,2010,15.38117
cog,2012,6.86249
cog,2018,16.32869
col,1986,30.94128
col,1991,22.98689
col,1999,2.94199
col,2000,3.14229
col,2001,8.34821
col,2002,7.64075
col,2004,2.64044
col,2009,0.87829
col,2010,2.47165
col,2011,2.86143
col,2012,4.87933
col,2015,3.39001
col,2016,4.09662
col,2017,2.24788
col,2018,1.78929
col,2019,0.31507
com,1987,32.40159
com,1994,37.70391
com,1999,43.7654
com,2000,37.86399
com,2007,23.74947
com,2013,14.44207
com,2014,14.65834
com,2017,15.30119
com,2018,18.17248
cpv,1981,11.19023
cpv,1982,13.10631
cpv,1983,16.58497
cpv,1984,8.76695
cpv,1985,6.11617
cpv,1986,4.57669
cpv,1987,2.76406
cpv,2001,2.36262
cpv,2002,2.79893
cpv,2003,3.41686
cpv,2004,4.35932
cpv,2005,3.524
cpv,2006,2.26895
cpv,2007,3.14534
cpv,2008,4.14516
cpv,2009,5.3463
cpv,2010,6.07839
cpv,2011,7.75778
cpv,2012,7.3085
cpv,2013,7.51711
cpv,2014,7.57004
cpv,2015,7.3428
cpv,2016,8.14767
cpv,2017,7.88232
cpv,2018,7.33386
cpv,2019,8.22356
cri,1970,15.05955
cri,1972,12.40772
cri,1973,11.24164
cri,1975,9.43832
cri,1976,7.19014
cri,1978,8.61638
cri,1979,10.04097
cri,1980,10.03688
cri,1981,9.75224
cri,1982,11.45528
cri,1985,14.45171
cri,1986,13.36326
cri,1987,13.27463
cri,1989,13.09086
cri,1990,12.98136
cri,1991,12.35831
cri,2013,0.36729
cri,2014,2.37602
cri,2015,1.99578
cri,2016,1.4284
cri,2017,3.31332
cub,1972,6.46446
cub,1973,5.5807
cub,1974,4.90529
cub,1980,3.63115
cub,1981,5.58161
cub,1982,6.71161
cub,1983,6.91772
cub,1984,7.8911
cub,1985,9.94968
cub,1986,9.70582
cub,1987,8.26278
cub,1988,8.63214
cub,1989,8.32297
cub,1990,8.10441
cub,1991,8.28096
cub,1992,5.7591
cub,1993,4.96906
cub,1994,2.75336
cub,1995,2.85733
cub,1996,1.44934
cub,1997,1.76047
cub,1998,1.62295
cub,1999,0.98562
cub,2000,0.85477
cub,2003,1.6599
cub,2004,2.2252
cub,2005,2.94088
cub,2006,3.49991
cub,2007,3.4033
cub,2008,3.41568
cub,2009,1.81149
cub,2010,1.20506
cub,2011,1.5061
cub,2012,2.06832
cub,2013,2.13967
cub,2014,4.82563
cub,2015,6.02367
cub,2016,5.55608
cub,2017,4.4731
cub,2018,2.34023
cub,2019,0.93172
cym,2000,1.8226
cym,2001,6.04862
cym,2002,12.25806
cym,2004,16.81555
cym,2005,21.11406
cym,2006,15.91272
cym,2007,9.22509
cym,2008,11.5205
cym,2011,9.09957
cym,2012,9.51941
cym,2013,11.39127
cym,2014,9.41487
cym,2015,7.92762
cym,2016,12.10326
cym,2017,13.01084
cym,2018,11.30435
cym,2019,11.53049
cym,2020,8.43776
cyp,1971,20.42647
cyp,1972,21.78482
cyp,1973,21.95988
cyp,1974,22.91165
cyp,1975,29.00915
cyp,1976,31.22413
cyp,1977,31.88653
cyp,1978,30.981
cyp,1979,30.00447
cyp,1980,30.78258
cyp,1981,28.48216
cyp,1982,31.56456
cyp,1983,31.94484
cyp,1984,31.90117
cyp,1985,31.04803
cyp,1986,26.49703
cyp,1987,22.51317
cyp,1988,21.23984
cyp,1989,21.04757
cyp,1990,21.21959
cyp,1991,20.84929
cyp,1992,22.80079
cyp,1993,2.33119
cyp,1994,3.22094
cyp,1995,3.86853
cyp,1996,4.14283
cyp,1997,3.62397
cyp,2000,1.59503
cyp,2001,1.84182
cyp,2002,0.92856
cyp,2003,0.72283
cyp,2004,0.89743
cyp,2012,1.32428
cyp,2013,1.55781
cyp,2014,1.84463
cyp,2015,1.26015
cyp,2016,1.56887
cyp,2017,1.16712
cyp,2018,0.8185
cze,2011,0.8547
cze,2012,0.3486
cze,2013,0.82711
cze,2014,0.47994
cze,2019,0.49345
deu,2002,4.44493
deu,2003,3.52318
deu,2004,2.89624
deu,2005,2.16788
deu,2006,2.02152
deu,2007,1.63843
deu,2008,2.63405
deu,2009,2.98271
deu,2010,2.44592
deu,2011,2.53881
deu,2012,3.19924
deu,2013,3.47067
deu,2014,3.03013
deu,2015,1.54366
deu,2016,0.18031
deu,2019,0.3035
dji,1985,78.45443
dji,1986,77.47466
dji,1987,77.59448
dji,1988,77.4609
dji,1989,77.1775
dji,1990,76.41022
dji,1992,75.62768
dji,1993,76.93565
dji,1994,76.1261
dji,1995,75.09374
dji,1996,75.55734
dji,1997,76.50597
dji,1999,77.31375
dji,2000,76.61041
dji,2001,74.21855
dji,2002,72.68549
dji,2004,68.83915
dji,2005,66.99877
dji,2006,63.96183
dji,2007,58.81727
dji,2008,53.08553
dji,2009,51.93456
dji,2011,39.16838
dji,2013,38.87216
dji,2014,30.88036
dji,2015,36.89984
dji,2016,40.38476
dji,2017,37.97905
dji,2018,37.09673
dji,2019,32.98193
dji,2020,34.58586
dji,2021,36.09756
dma,1976,6.56724
dma,1977,5.45175
dma,1979,9.76763
dma,1980,12.92916
dma,1981,11.04025
dma,1982,11.70724
dma,2001,4.61983
dma,2002,4.32309
dma,2003,6.04969
dma,2004,8.3912
dma,2005,10.65525
dma,2006,11.09723
dma,2007,16.86668
dma,2008,16.10831
dma,2009,6.91991
dma,2019,3.25798
dma,2020,0.77415
dnk,1981,4.40714
dnk,1982,3.59843
dnk,1983,1.84247
dnk,1984,1.07157
dnk,1985,0.97437
dnk,1986,1.37249
dnk,1987,1.0121
dnk,1988,0.84928
dnk,1989,2.05165
dnk,1990,2.15877
dnk,1991,1.68383
dnk,1992,2.66252
dnk,1993,3.16742
dnk,1994,1.42139
dnk,1995,1.55253
dnk,1996,1.9101
dnk,2004,1.14757
dnk,2005,1.44432
dnk,2006,1.00773
dnk,2007,0.33277
dnk,2008,0.50064
dnk,2009,0.70521
dnk,2010,1.06482
dnk,2011,0.80414
dnk,2012,0.47189
dnk,2013,0.25527
dnk,2014,0.38135
dnk,2015,0.0417
dnk,2018,0.22929
dnk,2019,0.42964
dom,1999,12.99068
dom,2000,11.76419
dom,2002,7.95986
dom,2003,11.68111
dom,2004,13.53768
dom,2005,12.29577
dom,2006,12.87371
dom,2007,7.55377
dom,2008,11.22957
dom,2010,7.3039
dom,2011,5.93337
dom,2012,7.02318
dom,2013,6.91853
dom,2014,8.55569
dom,2015,4.95945
dom,2016,4.56674
dom,2017,5.22231
dom,2018,5.50056
dom,2019,3.52223
dom,2020,3.5809
dza,1973,44.20883
dza,1974,40.83935
dza,1975,38.37543
dza,1976,36.16629
dza,1977,33.97407
dza,1978,32.28171
dza,1979,31.5784
dza,1980,30.2387
dza,1981,29.68313
dza,1982,29.69832
dza,1983,29.84669
dza,1984,28.57086
dza,1985,27.68422
dza,1986,25.93669
dza,1987,24.18981
dza,1988,22.74942
dza,1989,21.30881
dza,1990,20.47409
dza,1991,18.37935
dza,1992,16.82145
dza,1993,16.7356
dza,1994,16.20376
dza,1995,15.60767
dza,1996,15.56719
dza,1997,15.70265
dza,1999,11.89131
dza,2000,10.87703
dza,2001,8.78983
dza,2002,7.37515
dza,2003,6.765
dza,2004,5.98404
dza,2005,5.67122
dza,2006,5.46786
dza,2007,5.05028
dza,2008,3.51844
ecu,1971,20.86717
ecu,1973,20.55441
ecu,1974,19.3501
ecu,1975,19.56367
ecu,1976,19.11605
ecu,1977,16.20906
ecu,1978,14.4525
ecu,1979,11.66106
ecu,1980,12.9796
ecu,1994,7.42357
ecu,1995,6.88725
ecu,1996,5.5982
ecu,1997,3.13256
ecu,1998,2.51583
ecu,1999,2.65911
ecu,2000,2.24662
ecu,2001,0.73553
ecu,2005,1.25661
ecu,2006,0.70661
ecu,2008,3.93172
egy,1971,48.55897
egy,1972,48.42865
egy,1973,48.65878
egy,1978,45.56057
egy,1994,19.14046
egy,1997,15.84436
egy,1999,15.52651
egy,2000,13.50715
egy,2001,12.26346
egy,2002,10.96831
egy,2003,9.78785
egy,2004,8.42468
egy,2012,0.67494
eri,1992,72.17449
eri,1994,68.55253
eri,1995,67.19915
eri,1996,64.96987
eri,1997,64.42408
eri,1999,57.29408
eri,2000,50.22885
eri,2001,47.51806
eri,2002,40.12923
eri,2003,32.54898
eri,2004,27.18916
eri,2005,22.16633
eri,2006,19.92664
eri,2007,25.12843
eri,2008,29.584
eri,2009,34.27213
eri,2010,38.4076
eri,2011,36.18488
eri,2012,34.3449
eri,2013,37.28721
eri,2014,39.20721
eri,2015,42.17189
eri,2017,49.38405
eri,2018,49.80647
esp,1971,5.34359
esp,1972,3.84144
esp,1973,3.10339
esp,1978,1.15431
esp,1979,0.87675
esp,1988,1.34077
esp,1989,0.64894
esp,1990,0.84287
esp,1992,0.19534
esp,2016,0.62934
esp,2017,2.19344
esp,2018,2.82905
esp,2019,2.58401
est,1995,13.9243
est,1996,10.09114
est,2004,0.72129
est,2005,1.29957
est,2006,1.65051
est,2013,1.52948
est,2014,2.23114
est,2015,2.32587
est,2016,2.43643
est,2017,2.21463
est,2018,2.02556
est,2019,2.10882
eth,1987,75.66742
eth,1988,75.36911
eth,1989,75.8728
eth,1994,84.42824
eth,1995,82.72592
eth,1996,79.68819
eth,1998,73.25847
eth,1999,70.25834
eth,2000,65.72537
eth,2001,61.03837
eth,2002,58.49499
eth,2003,57.35579
eth,2004,53.57243
eth,2005,42.13727
eth,2006,36.83734
eth,2007,31.39016
eth,2008,25.69585
eth,2009,25.46297
eth,2010,27.51903
eth,2011,23.90881
eth,2012,22.2491
eth,2014,16.73775
eth,2015,17.56192
eth,2020,16.84797
fin,1993,1.28423
fin,1994,1.29208
fin,1995,1.63872
fin,1996,1.33023
fin,1997,1.20971
fin,1998,0.65828
fin,2002,0.43384
fin,2003,1.18602
fin,2004,2.18509
fin,2005,2.40768
fin,2006,2.79564
fin,2007,2.18034
fin,2008,1.94777
fin,2009,1.75552
fin,2010,1.48336
fin,2011,1.28035
fin,2012,0.76541
fin,2013,0.71795
fin,2014,0.25559
fin,2015,0.62153
fin,2016,0.67694
fin,2017,1.06907
fin,2018,1.15904
fin,2019,1.55299
fji,1992,3.31449
fji,1994,2.87659
fji,1995,4.21598
fji,1996,7.0956
fji,1997,6.65632
fji,1998,5.41808
fji,1999,5.43422
fji,2000,5.10251
fji,2001,1.91696
fji,2003,0.03562
fji,2009,0.63065
fji,2010,0.35923
fji,2013,0.06984
fji,2015,1.2056
fra,1971,2.20237
fra,1972,2.18756
fra,1977,5.48416
fra,1979,0.88722
fra,1980,0.34394
fra,1982,2.23554
fra,1983,4.15658
fra,1985,4.90886
fra,1986,2.40827
fra,1992,0.78567
fra,1993,2.17565
fra,1994,2.2884
fra,1995,1.14372
fra,1997,0.01005
fra,1999,3.11898
fra,2000,3.42935
fra,2001,3.49194
fra,2002,3.52684
fra,2003,3.76165
fra,2004,3.67026
fra,2008,0.45845
fra,2009,0.81827
fra,2010,1.30592
fra,2011,0.05972
fra,2012,0.01258
fra,2013,0.30177
fra,2014,1.17428
fra,2015,0.43696
fra,2016,0.02556
fsm,2014,9.08429
fsm,2015,14.3477
fsm,2016,10.99326
fsm,2019,11.31105
fsm,2020,16.01495
gab,1997,9.16837
gab,2019,22.84137
gbr,1971,1.82688
gbr,1972,2.81266
gbr,1973,3.74422
gbr,1974,4.15916
gbr,1975,4.13278
gbr,1976,3.90587
gbr,1977,3.60194
gbr,1978,3.5069
gbr,1979,3.36887
gbr,1980,2.05472
gbr,1981,2.14224
gbr,1982,3.0543
gbr,1983,4.72818
gbr,1984,5.37364
gbr,1985,6.31516
gbr,1986,4.72985
gbr,1987,1.78753
gbr,1988,0.1379
gbr,1991,1.55645
gbr,1992,3.17108
gbr,2002,0.10491
gbr,2004,0.50506
gbr,2006,0.10657
gbr,2007,1.99202
gbr,2008,1.10783
gbr,2009,1.93544
gbr,2010,1.66945
gbr,2011,1.70635
gbr,2012,1.53027
gbr,2013,0.39893
gbr,2016,0.43269
gbr,2017,0.57461
gbr,2018,0.81445
gbr,2019,1.26062
geo,1995,9.2128
geo,1996,1.00164
geo,2008,0.88489
geo,2009,2.64768
geo,2011,1.85982
geo,2012,1.64671
geo,2014,1.12223
geo,2016,1.72736
geo,2020,0.07433
gha,1999,41.40702
gha,2000,33.1648
gha,2001,38.14287
gha,2002,34.02598
gha,2003,34.32386
gha,2005,29.90866
gha,2006,26.84975
gha,2007,21.76159
gha,2008,16.09345
gha,2009,15.66141
gha,2011,7.79406
gha,2017,1.65736
gha,2018,3.3244
gha,2019,0.41329
gha,2020,5.07016
gib,1978,23.96338
gib,1979,25.8962
gib,1981,26.99256
gib,1982,24.53433
gin,1984,83.97797
gin,1985,82.66074
gin,1986,83.73958
gin,1987,85.10662
gin,1988,84.31941
gin,1989,84.17792
gin,1990,84.52876
gin,1991,82.87765
gin,1998,68.15873
gin,1999,65.4781
gin,2000,61.72587
gin,2001,58.18854
gin,2002,51.5688
gin,2003,48.02039
gin,2004,44.71726
gin,2005,42.33612
gin,2006,39.78508
gin,2007,37.70459
gin,2008,38.74932
gin,2009,37.43576
gin,2010,35.78562
gin,2011,30.90766
gin,2012,31.53618
gin,2013,29.97968
gin,2014,26.52696
gin,2016,29.37746
gin,2020,21.34023
gmb,1971,87.05956
gmb,1972,86.78739
gmb,1973,85.73602
gmb,1974,85.08966
