geo,time,hd_hci_ovrl_ma
mys,2018,0.61229
mys,2020,0.58996
nam,2010,0.38172
ner,2017,0.317
ner,2018,0.32048
ner,2020,0.31789
nga,2017,0.345
nga,2018,0.3499
nga,2020,0.35543
nic,2017,0.513
nic,2018,0.48903
nic,2020,0.48991
nld,2010,0.78962
nld,2017,0.787
nld,2018,0.79084
nld,2020,0.77314
nor,2010,0.75308
nor,2017,0.756
nor,2018,0.75478
nor,2020,0.75036
nru,2020,0.48333
nzl,2010,0.75688
nzl,2017,0.751
nzl,2018,0.7543
nzl,2020,0.76122
omn,2010,0.52181
omn,2017,0.589
omn,2018,0.58049
omn,2020,0.57815
pak,2017,0.393
pak,2018,0.40225
pak,2020,0.41105
pan,2010,0.49322
pan,2017,0.517
pan,2018,0.5007
pan,2020,0.48586
per,2010,0.53202
per,2017,0.563
per,2018,0.59172
per,2020,0.60573
phl,2017,0.521
phl,2018,0.52207
phl,2020,0.49456
plw,2018,0.54462
plw,2020,0.56302
png,2017,0.386
png,2018,0.42524
png,2020,0.42875
pol,2017,0.716
pol,2018,0.73114
pol,2020,0.72236
prt,2010,0.719
prt,2017,0.767
prt,2018,0.77343
prt,2020,0.75587
pry,2010,0.50134
pry,2017,0.531
pry,2018,0.52495
pry,2020,0.52563
pse,2017,0.533
pse,2018,0.54616
pse,2020,0.55472
qat,2010,0.57496
qat,2017,0.587
qat,2018,0.61503
qat,2020,0.61042
rou,2010,0.56836
rou,2017,0.576
rou,2018,0.56946
rou,2020,0.55938
rus,2017,0.679
rus,2018,0.68393
rus,2020,0.63911
rwa,2017,0.361
rwa,2018,0.36389
rwa,2020,0.36621
sau,2010,0.53769
sau,2017,0.561
sau,2018,0.5539
sau,2020,0.55985
sdn,2018,0.36867
sdn,2020,0.37009
sen,2010,0.38145
sen,2017,0.408
sen,2018,0.40478
sen,2020,0.40208
sgp,2010,0.83335
sgp,2017,0.871
sgp,2018,0.87512
sgp,2020,0.86921
slb,2017,0.435
slb,2018,0.41771
slb,2020,0.40772
sle,2017,0.35
sle,2018,0.34695
sle,2020,0.35555
slv,2017,0.49
slv,2018,0.52531
slv,2020,0.524
srb,2010,0.63464
srb,2017,0.74
srb,2018,0.74528
srb,2020,0.65891
svk,2010,0.64562
svk,2017,0.671
svk,2018,0.6579
svk,2020,0.64021
svn,2010,0.71978
svn,2017,0.766
svn,2018,0.76601
svn,2020,0.74987
swe,2010,0.74503
swe,2017,0.786
swe,2018,0.78932
swe,2020,0.7805
swz,2010,0.29739
syc,2010,0.5676
tcd,2010,0.29396
tcd,2017,0.298
tcd,2018,0.30694
tcd,2020,0.30785
tgo,2010,0.36907
tgo,2017,0.416
tgo,2018,0.41917
tgo,2020,0.43409
tha,2010,0.55708
tha,2017,0.591
tha,2018,0.59643
tha,2020,0.58554
tjk,2017,0.536
tjk,2018,0.54309
tls,2010,0.40193
tls,2017,0.433
tls,2018,0.43649
tls,2020,0.43719
ton,2017,0.475
ton,2018,0.49406
ton,2020,0.50933
tto,2010,0.51658
tun,2010,0.50605
tun,2017,0.488
tun,2018,0.48934
tun,2020,0.49664
tur,2010,0.62083
tur,2017,0.601
tur,2018,0.61659
tur,2020,0.64035
tuv,2018,0.42253
tuv,2020,0.42619
tza,2017,0.39
tza,2018,0.37549
tza,2020,0.37891
ukr,2010,0.59063
ukr,2017,0.609
ukr,2018,0.60466
ukr,2020,0.58948
ury,2010,0.56321
ury,2018,0.57891
ury,2020,0.57468
usa,2010,0.67888
usa,2017,0.726
usa,2018,0.69745
usa,2020,0.68429
uzb,2020,0.61449
vct,2018,0.50911
vct,2020,0.50085
vnm,2010,0.63434
vnm,2018,0.65268
vnm,2020,0.65478
vut,2017,0.46
vut,2018,0.43218
vut,2020,0.44213
wsm,2018,0.50206
wsm,2020,0.51999
yem,2017,0.374
yem,2018,0.37782
yem,2020,0.37795
zaf,2010,0.41766
zaf,2017,0.362
zaf,2018,0.40295
zaf,2020,0.40609
zwe,2010,0.40493
