geo,time,ny_ttf_gnfs_kn
blz,1996,55021811.32621
blz,1997,20251369.85288
blz,1998,39293396.71376
blz,1999,23557490.84791
blz,2000,0
blz,2001,-29539433.07123
blz,2002,-21414313.16428
blz,2003,-119200707.40405
blz,2004,-193759522.79113
blz,2005,-241368913.18759
blz,2006,-396880713.72551
blz,2007,-161875328.34713
blz,2008,-199362478.09324
blz,2009,-303096119.30955
blz,2010,-267195881.70644
blz,2011,-204737424.82863
blz,2012,-225209916.00178
blz,2013,-181368993.35764
blz,2014,-146203056.88808
blz,2015,-105084730.82226
blz,2016,20132962.6592
blz,2017,73866302.71141
blz,2018,-28375627.509
blz,2019,-73717074.72793
blz,2020,-256904917.793
bmu,2014,266280609.58823
bmu,2015,286505502.24085
bmu,2016,200841047.30288
bmu,2017,319918696.27411
bmu,2018,197655114.62815
bmu,2019,311647251.24583
bmu,2020,235411715.92181
bol,1960,-335623931.76116
bol,1961,-260246300.25362
bol,1962,-355772186.82021
bol,1963,-438032118.82791
bol,1964,-233823221.77947
bol,1965,18841298.99889
bol,1966,-51776548.77449
bol,1967,-188880227.60728
bol,1968,-285683885.43339
bol,1969,-180669031.12142
bol,1970,266441406.59256
bol,1971,-11972394.33403
bol,1972,5685003.15985
bol,1973,69549719.69694
bol,1974,747736915.44383
bol,1975,-124459572.13283
bol,1976,-36544052.19693
bol,1977,-76314183.38331
bol,1978,-392625761.57572
bol,1979,-18830418.78291
bol,1980,31167280
bol,1981,88324060.60606
bol,1982,-374682123.80952
bol,1983,-350350410.59603
bol,1984,-270467779.17918
bol,1985,400652292.35631
bol,1986,221152129.88085
bol,1987,356640253.06488
bol,1988,168241432.92708
bol,1989,89422073.15357
bol,1990,0
bol,1991,-460296003.42657
bol,1992,-662110623.47571
bol,1993,-966972373.38599
bol,1994,-1032480209.48845
bol,1995,-971696248.56301
bol,1996,-861707137.73592
bol,1997,-812116110.24053
bol,1998,-1022478345.8985
bol,1999,-998837530.00198
bol,2000,-1219886546.67283
bol,2001,-1155567799.90407
bol,2002,-936439325.06949
bol,2003,-334978314.69276
bol,2004,406337056.49868
bol,2005,367252755.964
bol,2006,1309083347.13777
bol,2007,986799831.80835
bol,2008,1452822412.04753
bol,2009,481980015.58116
bol,2010,1793178580.42592
bol,2011,2767290089.54531
bol,2012,3141471245.01184
bol,2013,3084946438.05685
bol,2014,1708975693.7756
bol,2015,-1176325207.26661
bol,2016,-1831151193.13899
bol,2017,-390578606.61554
bol,2018,-10547024.49744
bol,2019,-209611361.71273
bol,2020,-846098480.41431
bra,1960,7572992579.94815
bra,1961,6225751808.32258
bra,1962,2218922789.5082
bra,1963,3096472619.04218
bra,1964,5057023663.91005
bra,1965,5702007847.99671
bra,1966,5596257343.71907
bra,1967,4910960813.5628
bra,1968,4904527903.60572
bra,1969,6879340836.10601
bra,1970,9961525926.22096
bra,1971,10018168860.6329
bra,1972,12722347567.0401
bra,1973,20156367342.6438
bra,1974,11473133876.6588
bra,1975,11352311495.1538
bra,1976,17597450784.0253
bra,1977,25212128550.5857
bra,1978,18280933470.3564
bra,1979,13687453531.7077
bra,1980,5451306792.34124
bra,1981,-3469490019.03295
bra,1982,-3751601527.67023
bra,1983,-4584321454.19662
bra,1984,421924569.38495
bra,1985,-4893372095.43408
bra,1986,8107133472.00093
bra,1987,-1738682031.57378
bra,1988,8593379203.56398
bra,1989,-5551898624.58932
bra,1990,-23194991981.8265
bra,1991,-25821576986.54869
bra,1992,-23114686612.5367
bra,1993,-24256298938.80289
bra,1994,-19385857946.9023
bra,1995,-15616588805.7202
bra,1996,-14590388270.3032
bra,1997,-17144451539.515
bra,1998,-21852439910.5374
bra,1999,-41074992568.5812
bra,2000,-53916462736.71
bra,2001,-62333039920.1031
bra,2002,-62580920637.2921
bra,2003,-72233975156.7433
bra,2004,-73187752648.6683
bra,2005,-79868517985.68861
bra,2006,-60668896082.3773
bra,2007,-58083167536.72569
bra,2008,-46909949070.859
bra,2009,-44115012319.7813
bra,2010,0.00092
bra,2011,32068839323.9678
bra,2012,13627853695.0497
bra,2013,2691094320.04889
bra,2014,-16974309395.6456
bra,2015,-56868148908.4462
bra,2016,-57173700531.985
bra,2017,-40159532083.1583
bra,2018,-40314153102.8864
bra,2019,-43693262333.3483
bra,2020,-35519733521.3925
brn,1989,-6434343545.12195
brn,1990,-6089287817.07317
brn,1991,-6359291446.94434
brn,1992,-7585199299.41807
brn,1993,-7695082892.74898
brn,1994,-8372443996.8233
brn,1995,-9753794444.28724
brn,1996,-8683827796.36488
brn,1997,-8910673621.93177
brn,1998,-8560905755.03597
brn,1999,-9330418356.75676
brn,2000,-8663634956.28289
brn,2001,-9039322994.74578
brn,2002,-9737604620.93247
brn,2003,-9456437352.24168
brn,2004,-8693849092.30868
brn,2005,-6032408350.20569
brn,2006,-5061721237.57044
brn,2007,-3802941473.55277
brn,2008,552999451.16106
brn,2009,-3008073342.03895
brn,2010,-544000
brn,2011,3952854815.66162
brn,2012,4295404973.35702
brn,2013,3641825455.66883
brn,2014,1510491873.98623
brn,2015,-2338092583.15548
brn,2016,-2352777717.31404
brn,2017,-1489520969.43372
brn,2018,-595065976.56358
brn,2019,-1608851174.36524
brn,2020,-3255963356.84106
btn,1990,980257.51073
btn,1991,65139.03672
btn,1992,41046.1052
btn,1993,33651.29691
btn,1994,9958.61772
btn,1995,4560.77372
btn,1996,15541.68343
btn,1997,3357.22923
btn,1998,0
btn,1999,24547.35056
btn,2000,0
btn,2001,-50.41745
btn,2002,-6.35336
btn,2003,-27.49049
btn,2004,54.41034
btn,2005,-30630.67128
btn,2006,-1223.4781
btn,2007,-18.77663
btn,2008,4711.36663
btn,2009,340540.2238
btn,2010,89658.0982
btn,2011,247593.59082
btn,2012,-117383.05298
btn,2013,-181566.33157
btn,2014,1058.95615
btn,2015,47.13637
btn,2016,-745.52434
btn,2017,-187.48335
btn,2018,381.34602
btn,2019,214.56224
btn,2020,-702.75675
bwa,1975,-1258847049.23851
bwa,1976,-1832558024.72763
bwa,1977,-2838379162.78749
bwa,1978,-2952069624.48394
bwa,1979,-2023902275.4007
bwa,1980,-2694030719.84561
bwa,1981,-3876738404.12342
bwa,1982,-5586239588.38881
bwa,1983,-8423272434.61824
bwa,1984,-8076218234.55732
bwa,1985,-5654164070.24369
bwa,1986,-6153260334.69583
bwa,1987,-5568503806.31983
bwa,1988,-2951109890.41568
bwa,1989,-2342168789.75973
bwa,1990,-3741884419.7212
bwa,1991,-5690660492.96997
bwa,1992,-7613436776.38275
bwa,1993,-7067185184.28059
bwa,1994,-8405471628.25364
bwa,1995,-9313807229.71156
bwa,1996,-9077340135.18131
bwa,1997,-8285116442.20483
bwa,1998,-5675949227.11481
bwa,1999,-6524846385.10852
bwa,2000,-6738102292.18529
bwa,2001,-6578682590.2294
bwa,2002,-7165496839.90376
bwa,2003,-6644030311.45278
bwa,2004,-7354220458.92929
bwa,2005,-8804967494.5872
bwa,2006,-9081319831.15843
bwa,2007,-9310922948.9184
bwa,2008,-20701127064.3588
bwa,2009,-10785835381.1472
bwa,2010,-6468488546.61432
bwa,2011,-6968116052.63252
bwa,2012,-10541889837.7263
bwa,2013,-14232505559.774
