geo,time,sl_uem_basc_zs
nor,2000,6.57
nor,2001,6.95
nor,2002,7.98
nor,2003,7.79
nor,2004,7.4
nor,2005,9.81
nor,2006,6.39
nor,2007,5.16
nor,2008,5.9
nor,2009,6.49
nor,2010,7.29
nor,2011,6.9
nor,2012,6.2
nor,2013,7.65
nor,2014,7.55
nor,2015,9.17
nor,2016,9.63
nor,2017,9.37
nor,2018,8.3
nor,2019,7.99
nor,2020,8.96
npl,2008,1.03
npl,2017,10.44
nru,2013,13.05
nzl,1995,0.29
nzl,1997,0.46
nzl,1999,7.76
nzl,2000,9.01
nzl,2001,8.49
nzl,2002,9.01
nzl,2006,6.21
nzl,2007,6.53
nzl,2009,10.15
nzl,2010,10.33
nzl,2011,10.15
nzl,2012,10.18
nzl,2013,9.44
nzl,2014,6.47
nzl,2015,6.57
nzl,2016,6.88
nzl,2017,6.2
nzl,2018,5.98
nzl,2019,5.39
nzl,2020,6.75
omn,1996,10.09
omn,2008,3.31
omn,2016,3.28
pak,2002,8.09
pak,2004,6.83
pak,2006,0.6
pak,2007,0.45
pak,2008,0.31
pak,2009,0.56
pak,2010,0.65
pak,2011,0.76
pak,2013,2.53
pak,2014,1.45
pak,2015,2.2
pak,2018,3.86
pak,2019,4.73
pan,1997,4.26
pan,2003,12.4
pan,2004,11.23
pan,2005,8.53
pan,2006,7.99
pan,2007,5.62
pan,2008,4.9
pan,2010,5.54
pan,2011,4.08
pan,2012,3.71
pan,2013,3.48
pan,2014,4.73
pan,2015,4.49
pan,2016,4.67
pan,2017,5.29
pan,2018,4.66
pan,2019,6.15
pan,2020,15.32
pan,2021,9.8
per,1996,3.96
per,1997,1.74
per,1998,1.71
per,1999,1.57
per,2000,1.34
per,2001,1.83
per,2002,3.49
per,2003,3.11
per,2004,3.19
per,2005,3.93
per,2006,3.62
per,2007,3.61
per,2008,3.15
per,2009,3.36
per,2010,2.89
per,2011,2.8
per,2012,2.63
per,2013,2.78
per,2014,2.36
per,2015,2.46
per,2016,3.19
per,2017,2.96
per,2018,2.25
per,2019,2.74
per,2020,4.37
phl,2004,7.43
phl,2006,7.35
phl,2007,6.89
phl,2008,6.46
phl,2009,6.29
phl,2010,6.21
phl,2011,5.87
phl,2012,6.35
phl,2014,5.36
phl,2015,5.27
phl,2016,4.46
plw,2000,6.49
png,2010,1.63
pol,1994,15.44
pol,1995,14.8
pol,1996,13.75
pol,1998,13.29
pol,1999,17.04
pol,2000,21.47
pol,2001,23.88
pol,2002,26.06
pol,2003,26.4
pol,2004,28.56
pol,2005,27.08
pol,2006,22.29
pol,2007,15.57
pol,2008,11.99
pol,2009,14.48
pol,2010,17.35
pol,2011,18.08
pol,2012,19.31
pol,2013,20.31
pol,2014,18.85
pol,2015,16.75
pol,2016,14.41
pol,2017,11.93
pol,2018,9.85
pol,2019,8.26
pol,2020,8.51
prt,1998,4.71
prt,1999,4.52
prt,2000,3.8
prt,2001,4.1
prt,2002,4.72
prt,2003,6.46
prt,2004,6.97
prt,2005,8.03
prt,2006,7.92
prt,2007,8.28
prt,2008,7.84
prt,2009,10.3
prt,2010,11.7
prt,2011,13.65
prt,2012,16.14
prt,2013,16.96
prt,2014,15
prt,2015,13.22
prt,2016,11.79
prt,2017,9.5
prt,2018,7.15
prt,2019,6.63
prt,2020,6.38
pry,1998,5.16
pry,1999,5.77
pry,2001,7.14
pry,2002,10.29
pry,2003,7.64
pry,2004,6.89
pry,2005,5.37
pry,2006,5.94
pry,2007,5.15
pry,2008,4.84
pry,2009,5.37
pry,2010,4.75
pry,2011,4.61
pry,2012,3.75
pry,2013,4.68
pry,2014,4.7
pry,2015,5.2
pry,2016,5.08
pry,2017,4.99
pse,2000,11.62
pse,2001,25.5
pse,2002,33.06
pse,2003,26.13
pse,2004,26.69
pse,2005,21.34
pse,2006,21.09
pse,2007,19.99
pse,2008,25.02
pse,2009,22.13
pse,2010,22.93
pse,2011,17.49
pse,2012,18.34
pse,2013,19.42
pse,2014,19.99
pse,2015,21.55
pse,2016,21.52
pse,2017,22.45
pse,2018,24.02
pse,2019,22.51
pse,2020,24.32
qat,2013,0.12
qat,2014,0.08
qat,2015,0.06
qat,2016,0.07
qat,2017,0.06
qat,2019,0.03
qat,2020,0.05
rou,1995,5.96
rou,1996,5.36
rou,1998,3.09
rou,1999,3.59
rou,2000,3.91
rou,2001,4.03
rou,2002,5.88
rou,2003,5.87
rou,2004,8.15
rou,2005,6.54
rou,2006,7.39
rou,2007,6.82
rou,2008,6.79
rou,2009,7.35
rou,2010,5.75
rou,2011,7.05
rou,2012,6.6
rou,2013,6.58
rou,2014,6.49
rou,2015,7.92
rou,2016,7.43
rou,2017,6.57
rou,2018,5.56
rou,2019,5.87
rou,2020,7.62
rus,1998,19.16
rus,2002,14.62
rus,2003,13.96
rus,2004,15.97
rus,2006,15.2
rus,2007,13.15
rus,2008,14.88
rus,2009,18
rus,2010,16.65
rus,2011,16.36
rus,2012,13.7
rus,2013,13.71
rus,2014,13.26
rus,2015,13.82
rus,2016,14.02
rus,2017,13.51
rus,2018,12.69
rus,2019,10.85
rus,2020,12.51
rwa,2014,0.9
rwa,2017,16.61
rwa,2018,14.16
rwa,2019,14.74
rwa,2020,15.74
sau,2009,2.58
sau,2014,1.17
sau,2016,0.51
sau,2017,5.16
sau,2018,5.14
sau,2019,4.43
sau,2020,6.67
sdn,2011,18.56
sen,2015,8.4
sen,2016,6.22
sen,2017,5.32
sen,2018,6.14
sen,2019,3.34
sgp,1994,2.92
sgp,1995,3.3
sgp,1996,3.34
sgp,1997,3.71
sgp,1998,5.09
sgp,2001,6.06
sgp,2002,8.93
sgp,2003,9.1
sgp,2006,11.7
sgp,2007,9.63
sgp,2008,10.1
sgp,2009,4.99
sgp,2010,3.55
sgp,2011,6.92
sgp,2012,6.65
sgp,2013,2.53
sgp,2015,3.49
sgp,2017,3.53
sgp,2020,5.44
slb,2013,0.52
sle,2014,6.5
sle,2018,4.1
slv,1996,10.31
slv,2010,4.58
slv,2011,3.91
slv,2012,3.54
slv,2013,3.48
slv,2014,3.81
slv,2015,3.89
slv,2016,3.41
slv,2017,3.69
slv,2018,3.75
slv,2019,3.39
slv,2020,4
smr,2009,3.73
smr,2010,3.55
smr,2016,4.46
som,2019,22.52
srb,2008,15.27
srb,2009,19.5
srb,2010,22.89
srb,2011,26.84
srb,2012,27.37
srb,2013,24.36
srb,2014,18.35
srb,2015,15.11
srb,2016,12.43
srb,2017,11.08
srb,2018,12.27
srb,2019,10.58
srb,2020,8.69
sur,2016,9.14
svk,1994,17.39
svk,1995,18.52
svk,1997,51.21
svk,1998,28.61
svk,1999,34.1
svk,2000,40.39
svk,2001,42.38
svk,2002,46.02
svk,2003,46.96
svk,2004,51.98
svk,2005,53.17
svk,2006,48.13
svk,2007,44.83
svk,2008,39.23
svk,2009,41.5
svk,2010,44.18
svk,2011,42.28
svk,2012,44.53
svk,2013,42.34
svk,2014,41.07
svk,2015,37.67
svk,2016,31.65
svk,2017,29.75
svk,2018,29.78
svk,2019,30.93
svk,2020,30.54
svn,1998,9.27
svn,1999,9.87
svn,2000,10.57
svn,2001,8.92
svn,2002,8.55
svn,2003,10.25
svn,2004,9.24
svn,2005,9.33
svn,2006,7.61
svn,2007,6.54
svn,2008,5.9
svn,2009,8.4
svn,2010,11.03
svn,2011,12.96
svn,2012,14.4
svn,2013,17.41
svn,2014,14.86
svn,2015,13.67
svn,2016,14.32
svn,2017,10.89
svn,2018,8.41
svn,2019,9.33
svn,2020,10.95
swe,1998,12.07
swe,1999,11.48
swe,2000,8.12
swe,2001,7.8
swe,2002,7.83
swe,2003,8.57
swe,2004,10.03
swe,2005,13.18
swe,2006,12.46
swe,2007,11.85
swe,2008,12.84
swe,2009,15.82
swe,2010,16.97
swe,2011,16.5
swe,2012,17.58
swe,2013,18.79
swe,2014,19.08
swe,2015,18.86
swe,2016,18.84
swe,2017,18.53
swe,2018,18.71
swe,2019,20.59
swe,2020,24.61
swz,2016,25.39
syc,2014,4.36
syc,2015,3.44
syc,2016,1.15
syc,2017,2.3
tcd,2018,1.06
tgo,2006,3.67
tgo,2011,0.87
tgo,2017,4.78
tha,2010,0.51
tha,2011,0.5
tha,2012,0.54
tha,2013,0.18
tha,2014,0.5
tha,2015,0.46
tha,2016,0.55
tha,2017,0.65
tha,2018,0.61
tha,2019,0.55
tha,2020,0.89
tjk,2003,2.96
tjk,2007,3.34
tjk,2009,7
tjk,2016,6.42
tls,2010,2.69
tls,2013,12.88
tls,2016,4.35
ton,2018,3.8
tto,2010,5.09
tto,2011,3.86
tto,2012,5.15
tto,2013,3.03
tto,2014,2.93
tto,2015,2.81
tto,2016,3.93
tun,1994,9.35
tun,1997,28.64
tun,2005,14.27
tun,2006,12.98
tun,2007,11.43
tun,2008,10.55
tun,2009,10.41
tun,2010,9.24
tun,2011,12.41
tun,2012,12.16
tun,2013,9.91
tun,2015,8.85
tun,2016,8.61
tun,2017,8.31
tur,2000,5.72
tur,2001,7.92
tur,2002,9.79
tur,2003,10.18
tur,2004,9.86
tur,2005,10.15
tur,2006,8.37
tur,2007,8.36
tur,2008,9.42
tur,2009,12.39
tur,2010,10.42
tur,2011,8.25
tur,2012,7.63
tur,2013,8.27
tur,2014,9.3
tur,2015,9.85
tur,2016,10.02
tur,2017,9.68
tur,2018,10.01
tur,2019,13.1
tur,2020,12.56
tuv,2016,8.07
tza,2001,7.29
tza,2006,9.15
tza,2011,3.3
tza,2012,0.38
tza,2013,3.22
tza,2014,4.96
uga,2012,4.12
uga,2017,6.63
ukr,2011,6.59
ukr,2012,6.36
ukr,2013,6.89
ukr,2014,13.56
ukr,2015,12.23
ukr,2016,8.04
ukr,2017,1.08
ukr,2018,10.31
ukr,2019,9.95
ukr,2020,11.82
ury,1998,10.67
ury,1999,11.62
ury,2000,14.08
ury,2001,17.17
ury,2002,19.73
ury,2003,19.27
ury,2004,15.54
ury,2005,14.25
ury,2006,12.59
ury,2007,9.99
ury,2008,9.29
ury,2009,9.58
ury,2010,8.67
ury,2011,7.34
ury,2012,7.62
ury,2013,7.58
ury,2014,7.89
ury,2015,8.89
ury,2016,9.3
ury,2017,9.4
ury,2018,9.87
ury,2019,10.59
usa,1994,12.6
usa,1995,12.04
usa,1996,11.39
usa,1997,10.34
usa,1998,9.53
usa,1999,9.31
usa,2000,8.67
usa,2001,9.67
usa,2002,10.11
usa,2003,10.32
usa,2004,9.88
usa,2005,8.8
usa,2006,8.13
usa,2007,7.95
usa,2008,10.46
usa,2009,14.85
usa,2010,15.27
usa,2011,13.6
usa,2012,12.74
usa,2013,10.81
usa,2014,8.84
usa,2015,7.76
usa,2016,7.49
usa,2017,6.55
usa,2018,5.87
usa,2019,5.4
usa,2020,11.72
usa,2021,8.06
ven,2005,10.97
ven,2006,8.74
ven,2007,7.21
ven,2008,6.13
ven,2009,5.96
ven,2010,6.81
ven,2011,6.34
ven,2012,6.09
ven,2016,4.67
ven,2017,3.94
vnm,2010,0.81
vnm,2011,0.71
vnm,2012,0.67
vnm,2013,0.81
vnm,2014,0.73
vnm,2015,1.24
vnm,2016,1.17
vnm,2017,1.27
vnm,2018,0.86
vnm,2019,1.65
vnm,2020,1.71
vut,2006,8.6
vut,2010,2.05
vut,2019,9.14
wsm,2012,10.42
wsm,2017,14.57
yem,2010,20.66
yem,2014,12.75
zaf,2000,33.2
zaf,2001,34.21
zaf,2002,38.4
zaf,2003,37.18
zaf,2004,33.66
zaf,2005,33.37
zaf,2006,32.68
zaf,2007,31.6
zaf,2008,28.33
zaf,2009,29.45
zaf,2010,30.55
zaf,2011,31.02
zaf,2013,31.23
zaf,2014,31.66
zaf,2015,31.46
zaf,2016,32.71
zaf,2017,33.29
zaf,2018,32.65
zaf,2019,34.92
zaf,2020,35.48
zmb,2017,12.16
zmb,2018,11.18
zmb,2019,12.32
zwe,2011,5.27
zwe,2014,4.38
zwe,2019,14.76
