geo,time,ny_adj_dfor_cd
col,1975,0
col,1976,0
col,1977,0
col,1978,0
col,1979,0
col,1980,0
col,1981,0
col,1982,0
col,1983,0
col,1984,0
col,1985,0
col,1986,0
col,1987,0
col,1988,0
col,1989,0
col,1990,0
col,1991,0
col,1992,0
col,1993,0
col,1994,0
col,1995,0
col,1996,0
col,1997,0
col,1998,0
col,1999,0
col,2000,0
col,2001,0
col,2002,0
col,2003,0
col,2004,0
col,2005,0
col,2006,0
col,2007,0
col,2008,0
col,2009,0
col,2010,0
col,2011,0
col,2012,0
col,2013,0
col,2014,0
col,2015,0
col,2016,0
col,2017,0
col,2018,0
col,2019,0
com,1970,137125.14605
com,1971,116891.31256
com,1972,138985.86473
com,1973,258279.03173
com,1974,282143.71406
com,1975,452144.77627
com,1976,476335.79786
com,1977,976902.67012
com,1978,1040259.09645
com,1979,963066.06815
com,1980,1237621.57742
com,1981,1159812.25432
com,1982,1746676.14947
com,1983,1133892.25409
com,1984,1074351.63709
com,1985,777963.98313
com,1986,1341601.14111
com,1987,1342372.17355
com,1988,1548474.45509
com,1989,1652120.31748
com,1990,2601804.77534
com,1991,2660308.79126
com,1992,2818399.15822
com,1993,2434553.96322
com,1994,2982971.29159
com,1995,5891256.00991
com,1996,6024186.1247
com,1997,5680794.94468
com,1998,6032277.42579
com,1999,4344635.51031
com,2000,4411347.25787
com,2001,4345918.04555
com,2002,5303867.58194
com,2003,8230730.24198
com,2004,7129678.39447
com,2005,7711531.26436
com,2006,8125639.81046
com,2007,11623254.63005
com,2008,14549634.35399
com,2009,14703737.48478
com,2010,13475066.12467
com,2011,15602760.62179
com,2012,18196594.94504
com,2013,19003061.84899
com,2014,21366050.20107
com,2015,22442291.52133
com,2016,23967530.48316
com,2017,24306871.93853
com,2018,16362145.18655
com,2019,13709715.88214
cpv,1970,271622.851
cpv,1971,233304.76869
cpv,1972,261627.63996
cpv,1973,444888.14857
cpv,1974,474884.07247
cpv,1975,642638.45544
cpv,1976,547246.06105
cpv,1977,1035187.02313
cpv,1978,976366.16409
cpv,1979,810354.21673
cpv,1980,842266.19691
cpv,1981,718895.59176
cpv,1982,1014718.9609
cpv,1983,597616.89203
cpv,1984,539465.39159
cpv,1985,362022.79548
cpv,1986,594592.56262
cpv,1987,558556.78157
cpv,1988,613649.08754
cpv,1989,622396.31082
cpv,1990,775032.63979
cpv,1991,809015.23472
cpv,1992,863621.27469
cpv,1993,709427.73631
cpv,1994,919138
cpv,1995,1490715.84762
cpv,1996,1570559.97417
cpv,1997,1543016.17242
cpv,1998,1681008.53924
cpv,1999,1003435.1533
cpv,2000,1040364.81139
cpv,2001,1574861.95869
cpv,2002,1893177.28999
cpv,2003,3303536.72213
cpv,2004,3022148.30475
cpv,2005,2972425.30643
cpv,2006,2829819.33581
cpv,2007,4325308.52967
cpv,2008,4876524.30264
cpv,2009,5161115.87691
cpv,2010,4386642.19312
cpv,2011,4940727.3885
cpv,2012,5657897.84082
cpv,2013,5778862.40344
cpv,2014,6459649.98605
cpv,2015,6845795.3262
cpv,2016,7100983.2443
cpv,2017,6614721.55207
cpv,2018,3779421.67818
cpv,2019,3202620.98959
cri,1970,0
cri,1971,0
cri,1972,0
cri,1973,2214761.13482
cri,1974,1916396.56534
cri,1975,10818949.59367
cri,1976,13329168.52719
cri,1977,21253052.04101
cri,1978,25501600.63177
cri,1979,39535762.6823
cri,1980,28114883.82521
cri,1981,22664966.67135
cri,1982,22650585.52106
cri,1983,8710772.47072
cri,1984,9105555.24926
cri,1985,9579075.58405
cri,1986,11906473.77984
cri,1987,22674291.0677
cri,1988,23489742.89924
cri,1989,22356618.51712
cri,1990,28525404.42653
cri,1991,29508427.45446
cri,1992,38836692.03069
cri,1993,39123620.20036
cri,1994,66312265.84315
cri,1995,93809213.06955
cri,1996,86620279.27504
cri,1997,84724421.47708
cri,1998,44130086.3359
cri,1999,29477651.8823
cri,2000,30939406.29362
cri,2001,38494209.23333
cri,2002,29039605.70619
cri,2003,28647589.69755
cri,2004,31464082.95275
cri,2005,39697828.62968
cri,2006,62721641.97073
cri,2007,87937150.84736
cri,2008,85089136.19392
cri,2009,62504200.19856
cri,2010,102547411.29374
cri,2011,120042995.3807
cri,2012,179617345.18148
cri,2013,251089391.4579
cri,2014,329428325.86452
cri,2015,346040776.37424
cri,2016,445168788.03932
cri,2017,479162359.87301
cri,2018,452340523.50009
cri,2019,397381594.05958
cub,1970,0
cub,1971,0
cub,1972,0
cub,1973,0
cub,1974,0
cub,1975,0
cub,1976,0
cub,1977,0
cub,1978,0
cub,1979,0
cub,1980,0
cub,1981,0
cub,1982,0
cub,1983,0
cub,1984,0
cub,1985,0
cub,1986,0
cub,1987,0
cub,1988,0
cub,1989,0
cub,1990,0
cub,1991,0
cub,1992,0
cub,1993,0
cub,1994,0
cub,1995,0
cub,1996,0
cub,1997,0
cub,1998,0
cub,1999,0
cub,2000,0
cub,2001,0
cub,2002,0
cub,2003,0
cub,2004,0
cub,2005,0
cub,2006,0
cub,2007,0
cub,2008,0
cub,2009,0
cub,2010,0
cub,2011,0
cub,2012,0
cub,2013,0
cub,2014,0
cub,2015,0
cub,2016,0
cub,2017,0
cub,2018,0
cub,2019,0
cyp,1970,0
cyp,1971,0
cyp,1972,26493.05637
cyp,1973,0
cyp,1974,0
cyp,1975,0
cyp,1976,694710.51579
cyp,1977,829709.26011
cyp,1978,0
cyp,1979,0
cyp,1980,0
cyp,1981,0
cyp,1982,0
cyp,1983,0
cyp,1984,0
cyp,1985,0
cyp,1986,0
cyp,1987,0
cyp,1988,0
cyp,1989,0
cyp,1990,0
cyp,1991,0
cyp,1992,0
cyp,1993,0
cyp,1994,0
cyp,1995,0
cyp,1996,0
cyp,1997,0
cyp,1998,0
cyp,1999,0
cyp,2000,0
cyp,2001,0
cyp,2002,0
cyp,2003,0
cyp,2004,0
cyp,2005,0
cyp,2006,0
cyp,2007,0
cyp,2008,0
cyp,2009,0
cyp,2010,0
cyp,2011,0
cyp,2012,0
cyp,2013,0
cyp,2014,0
cyp,2015,0
cyp,2016,0
cyp,2017,0
cyp,2018,0
cyp,2019,0
cze,1993,0
cze,1994,0
cze,1995,0
cze,1996,0
cze,1997,0
cze,1998,0
cze,1999,0
cze,2000,0
cze,2001,0
cze,2002,0
cze,2003,0
cze,2004,0
cze,2005,0
cze,2006,13081143.14406
cze,2007,29492296.60666
cze,2008,0
cze,2009,0
cze,2010,0
cze,2011,0
cze,2012,0
cze,2013,0
cze,2014,0
cze,2015,0
cze,2016,0
cze,2017,30866983.72784
cze,2018,183163758.8911
cze,2019,343228027.49732
deu,1970,0
deu,1971,0
deu,1972,0
deu,1973,0
deu,1974,0
deu,1975,0
deu,1976,0
deu,1977,0
deu,1978,0
deu,1979,0
deu,1980,0
deu,1981,0
deu,1982,0
deu,1983,0
deu,1984,0
deu,1985,0
deu,1986,0
deu,1987,0
deu,1988,0
deu,1989,0
deu,1990,0
deu,1991,0
deu,1992,0
deu,1993,0
deu,1994,0
deu,1995,0
deu,1996,0
deu,1997,0
deu,1998,0
deu,1999,0
deu,2000,0
deu,2001,0
deu,2002,0
deu,2003,0
deu,2004,0
deu,2005,0
deu,2006,0
deu,2007,0
deu,2008,0
deu,2009,0
deu,2010,0
deu,2011,0
deu,2012,0
deu,2013,0
deu,2014,0
deu,2015,0
deu,2016,0
deu,2017,0
deu,2018,0
deu,2019,0
dji,1970,86998.48511
dji,1971,81443.29787
dji,1972,106769.67779
dji,1973,150904.97561
dji,1974,183954.375
dji,1975,243625.32857
dji,1976,216275.4
dji,1977,400477.62857
dji,1978,547516.2
dji,1979,511671.6
dji,1980,682780.45
dji,1981,741174.225
dji,1982,1879363.2
dji,1983,1349380.47619
dji,1984,1484204.4381
dji,1985,571267.312
dji,1986,1823431.97143
dji,1987,1990884.44762
dji,1988,2156384.79048
dji,1989,2338224.74286
dji,1990,2499225.0381
dji,1991,2626151.73333
dji,1992,2312686.91021
dji,1993,1732098.3065
dji,1994,2010361.31934
dji,1995,3077477.43448
dji,1996,3209705.02069
dji,1997,3332135.17241
dji,1998,4773348.8
dji,1999,2054847.04235
dji,2000,2065931.51445
dji,2001,2336569.56923
dji,2002,2636114.97981
dji,2003,3806097.51471
dji,2004,3750439.16354
dji,2005,3685767.13784
dji,2006,4658989.64366
dji,2007,4363485.94106
dji,2008,7768429.63105
dji,2009,7672177.78106
dji,2010,9310707.49851
dji,2011,10838829.3748
dji,2012,11913952.17907
dji,2013,10515821.65668
dji,2014,17215545.90393
dji,2015,15830740.76414
dji,2016,12437721.39596
dji,2017,15561319.28635
dji,2018,7879458.47007
dji,2019,9413082.90897
dma,1970,0
dma,1971,0
dma,1972,0
dma,1973,0
dma,1974,0
dma,1975,0
dma,1976,0
dma,1977,0
dma,1978,0
dma,1979,0
dma,1980,0
dma,1981,0
dma,1982,0
dma,1983,0
dma,1984,0
dma,1985,0
dma,1986,0
dma,1987,0
dma,1988,0
dma,1989,0
dma,1990,0
dma,1991,0
dma,1992,0
dma,1993,0
dma,1994,0
dma,1995,0
dma,1996,0
dma,1997,0
dma,1998,0
dma,1999,0
dma,2000,0
dma,2001,0
dma,2002,0
dma,2003,0
dma,2004,0
dma,2005,0
dma,2006,0
dma,2007,0
dma,2008,0
dma,2009,0
dma,2010,0
dma,2011,0
dma,2012,0
dma,2013,0
dma,2014,0
dma,2015,0
dma,2016,0
dma,2017,0
dma,2018,0
dma,2019,0
dnk,1970,0
dnk,1971,0
dnk,1972,0
dnk,1973,0
dnk,1974,0
dnk,1975,0
dnk,1976,0
dnk,1977,0
dnk,1978,0
dnk,1979,0
dnk,1980,0
dnk,1981,0
dnk,1982,0
dnk,1983,0
dnk,1984,0
dnk,1985,0
dnk,1986,0
dnk,1987,0
dnk,1988,0
dnk,1989,0
dnk,1990,0
dnk,1991,0
dnk,1992,0
dnk,1993,0
dnk,1994,0
dnk,1995,0
dnk,1996,0
dnk,1997,0
dnk,1998,0
dnk,1999,0
dnk,2000,0
dnk,2001,0
dnk,2002,0
dnk,2003,0
dnk,2004,0
dnk,2005,0
dnk,2006,0
dnk,2007,0
dnk,2008,0
dnk,2009,0
dnk,2010,0
dnk,2011,0
dnk,2012,0
dnk,2013,0
dnk,2014,0
dnk,2015,0
dnk,2016,0
dnk,2017,0
dnk,2018,0
dnk,2019,0
dom,1970,0
dom,1971,0
dom,1972,0
dom,1973,0
dom,1974,0
