geo,time,sp_dyn_imrt_in
and,2014,3.3
and,2015,3.1
and,2016,2.9
and,2017,2.8
and,2018,2.6
and,2019,2.5
and,2020,2.4
are,1960,133.2
are,1961,126.9
are,1962,120.7
are,1963,114.7
are,1964,108.4
are,1965,102.1
are,1966,95.6
are,1967,89.1
are,1968,82.6
are,1969,76.4
are,1970,70.3
are,1971,64.6
are,1972,59.3
are,1973,54.5
are,1974,50.1
are,1975,45.9
are,1976,42
are,1977,38.3
are,1978,34.9
are,1979,31.9
are,1980,29
are,1981,26.5
are,1982,24.3
are,1983,22.4
are,1984,20.8
are,1985,19.3
are,1986,18
are,1987,16.9
are,1988,15.9
are,1989,15
are,1990,14.2
are,1991,13.5
are,1992,12.8
are,1993,12.2
are,1994,11.7
are,1995,11.3
are,1996,10.9
are,1997,10.5
are,1998,10.2
are,1999,9.9
are,2000,9.6
are,2001,9.3
are,2002,9.1
are,2003,8.9
are,2004,8.6
are,2005,8.4
are,2006,8.2
are,2007,8.1
are,2008,7.9
are,2009,7.6
are,2010,7.4
are,2011,7.2
are,2012,7
are,2013,6.8
are,2014,6.7
are,2015,6.5
are,2016,6.3
are,2017,6.2
are,2018,6
are,2019,5.8
are,2020,5.6
arg,1969,59.5
arg,1970,58.9
arg,1971,58.3
arg,1972,57.5
arg,1973,56.4
arg,1974,54.8
arg,1975,52.8
arg,1976,50.1
arg,1977,47
arg,1978,43.6
arg,1979,40.1
arg,1980,36.9
arg,1981,34.2
arg,1982,31.9
arg,1983,29.9
arg,1984,28.2
arg,1985,26.9
arg,1986,26.1
arg,1987,25.7
arg,1988,25.6
arg,1989,25.5
arg,1990,25.3
arg,1991,24.9
arg,1992,24.2
arg,1993,23.3
arg,1994,22.4
arg,1995,21.5
arg,1996,20.5
arg,1997,19.7
arg,1998,18.9
arg,1999,18.2
arg,2000,17.5
arg,2001,16.9
arg,2002,16.4
arg,2003,15.8
arg,2004,15.3
arg,2005,14.8
arg,2006,14.4
arg,2007,14
arg,2008,13.7
arg,2009,13.3
arg,2010,12.9
arg,2011,12.4
arg,2012,11.9
arg,2013,11.3
arg,2014,10.8
arg,2015,10.2
arg,2016,9.7
arg,2017,9.2
arg,2018,8.6
arg,2019,8.1
arg,2020,7.6
arm,1976,70.1
arm,1977,67.6
arm,1978,65.1
arm,1979,62.7
arm,1980,60.4
arm,1981,58.2
arm,1982,56.2
arm,1983,54.2
arm,1984,52.3
arm,1985,50.4
arm,1986,48.7
arm,1987,46.9
arm,1988,58.7
arm,1989,43.6
arm,1990,41.9
arm,1991,40.3
arm,1992,38.6
arm,1993,37
arm,1994,35.4
arm,1995,33.9
arm,1996,32.4
arm,1997,31
arm,1998,29.6
arm,1999,28.2
arm,2000,27
arm,2001,25.7
arm,2002,24.5
arm,2003,23.3
arm,2004,22.2
arm,2005,21.1
arm,2006,20
arm,2007,19
arm,2008,18.1
arm,2009,17.2
arm,2010,16.3
arm,2011,15.5
arm,2012,14.7
arm,2013,14
arm,2014,13.3
arm,2015,12.6
arm,2016,12
arm,2017,11.3
arm,2018,10.8
arm,2019,10.2
arm,2020,9.7
atg,1960,62.8
atg,1961,58.7
atg,1962,54.2
atg,1963,49.5
atg,1964,44.9
atg,1965,40.3
atg,1966,36.1
atg,1967,32.3
atg,1968,29
atg,1969,26.2
atg,1970,23.8
atg,1971,21.9
atg,1972,20.3
atg,1973,19
atg,1974,17.9
atg,1975,16.8
atg,1976,15.9
atg,1977,15
atg,1978,14.1
atg,1979,13.3
atg,1980,12.6
atg,1981,12
atg,1982,11.5
atg,1983,11.1
atg,1984,10.9
atg,1985,10.7
atg,1986,10.6
atg,1987,10.6
atg,1988,10.7
atg,1989,10.9
atg,1990,11.1
atg,1991,11.3
atg,1992,11.6
atg,1993,11.9
atg,1994,12.3
atg,1995,12.5
atg,1996,12.8
atg,1997,12.9
atg,1998,12.9
atg,1999,12.8
atg,2000,12.6
atg,2001,12.3
atg,2002,11.9
atg,2003,11.5
atg,2004,11
atg,2005,10.6
atg,2006,10.1
atg,2007,9.6
atg,2008,9.2
atg,2009,8.7
atg,2010,8.3
atg,2011,7.9
atg,2012,7.5
atg,2013,7.1
atg,2014,6.8
atg,2015,6.5
atg,2016,6.2
atg,2017,6
atg,2018,5.8
atg,2019,5.6
atg,2020,5.4
aus,1960,20.3
aus,1961,19.9
aus,1962,19.5
aus,1963,19.1
aus,1964,18.7
aus,1965,18.5
aus,1966,18.3
aus,1967,18.2
aus,1968,18.1
aus,1969,18
aus,1970,17.8
aus,1971,17.4
aus,1972,16.9
aus,1973,16.1
aus,1974,15.3
aus,1975,14.4
aus,1976,13.5
aus,1977,12.6
aus,1978,11.9
aus,1979,11.3
aus,1980,10.8
aus,1981,10.4
aus,1982,10.1
aus,1983,9.8
aus,1984,9.6
aus,1985,9.3
aus,1986,9.1
aus,1987,8.8
aus,1988,8.4
aus,1989,8
aus,1990,7.6
aus,1991,7.1
aus,1992,6.7
aus,1993,6.3
aus,1994,6
aus,1995,5.8
aus,1996,5.6
aus,1997,5.4
aus,1998,5.3
aus,1999,5.2
aus,2000,5.1
aus,2001,5
aus,2002,5
aus,2003,4.9
aus,2004,4.8
aus,2005,4.8
aus,2006,4.7
aus,2007,4.5
aus,2008,4.4
aus,2009,4.2
aus,2010,4
aus,2011,3.8
aus,2012,3.6
aus,2013,3.5
aus,2014,3.4
aus,2015,3.3
aus,2016,3.2
aus,2017,3.2
aus,2018,3.2
aus,2019,3.2
aus,2020,3.1
aut,1960,37.3
aut,1961,34.9
aut,1962,32.9
aut,1963,31.1
aut,1964,29.6
aut,1965,28.3
aut,1966,27.2
aut,1967,26.3
aut,1968,25.7
aut,1969,25.2
aut,1970,25
aut,1971,24.7
aut,1972,24.2
aut,1973,23.1
aut,1974,21.6
aut,1975,19.8
aut,1976,18
aut,1977,16.6
aut,1978,15.5
aut,1979,14.6
aut,1980,13.9
aut,1981,13.2
aut,1982,12.6
aut,1983,11.9
aut,1984,11.3
aut,1985,10.7
aut,1986,10.1
aut,1987,9.4
aut,1988,8.9
aut,1989,8.4
aut,1990,8
aut,1991,7.7
aut,1992,7.2
aut,1993,6.7
aut,1994,6.2
aut,1995,5.7
aut,1996,5.3
aut,1997,5
aut,1998,4.8
aut,1999,4.7
aut,2000,4.6
aut,2001,4.5
aut,2002,4.4
aut,2003,4.3
aut,2004,4.2
aut,2005,4.1
aut,2006,3.9
aut,2007,3.8
aut,2008,3.8
aut,2009,3.7
aut,2010,3.6
aut,2011,3.5
aut,2012,3.3
aut,2013,3.2
aut,2014,3.1
aut,2015,3
aut,2016,3
aut,2017,2.9
aut,2018,2.9
aut,2019,2.9
aut,2020,3
aze,1982,85.8
aze,1983,84.1
aze,1984,82.3
aze,1985,80.6
aze,1986,79.1
aze,1987,77.8
aze,1988,76.7
aze,1989,76
aze,1990,75.7
aze,1991,75.8
aze,1992,76.1
aze,1993,76.2
aze,1994,75.9
aze,1995,75
aze,1996,73.4
aze,1997,71.1
aze,1998,68.1
aze,1999,64.7
aze,2000,60.9
aze,2001,57.2
aze,2002,53.5
aze,2003,50.1
aze,2004,47
aze,2005,44.1
aze,2006,41.5
aze,2007,39.1
aze,2008,36.8
aze,2009,34.7
aze,2010,32.5
aze,2011,30.5
aze,2012,28.5
aze,2013,26.7
aze,2014,24.9
aze,2015,23.3
aze,2016,21.8
aze,2017,20.3
aze,2018,19.2
aze,2019,18.2
aze,2020,17.3
bdi,1964,142.3
bdi,1965,143.6
bdi,1966,145
bdi,1967,146.1
bdi,1968,147
bdi,1969,147.9
bdi,1970,148.6
bdi,1971,148.8
bdi,1972,164.2
bdi,1973,149.1
bdi,1974,149.1
bdi,1975,148.9
bdi,1976,148
bdi,1977,146
bdi,1978,142.8
bdi,1979,138.3
bdi,1980,132.9
bdi,1981,127
bdi,1982,121
bdi,1983,115.2
bdi,1984,110.1
bdi,1985,106.2
bdi,1986,103.6
bdi,1987,102.3
bdi,1988,101.9
bdi,1989,102.3
bdi,1990,103
bdi,1991,103.7
bdi,1992,104.2
bdi,1993,109.3
bdi,1994,104.4
bdi,1995,104
bdi,1996,103.1
bdi,1997,101.7
bdi,1998,99.7
bdi,1999,97.3
bdi,2000,94.7
bdi,2001,91.9
bdi,2002,88.9
bdi,2003,85.7
bdi,2004,82.3
bdi,2005,78.4
bdi,2006,74.4
bdi,2007,70.4
bdi,2008,66.5
bdi,2009,62.9
bdi,2010,59.4
bdi,2011,56.3
bdi,2012,53.4
bdi,2013,50.7
bdi,2014,48.2
bdi,2015,46.2
bdi,2016,44.4
bdi,2017,42.7
bdi,2018,41.3
bdi,2019,39.9
bdi,2020,38.6
bel,1960,29.3
bel,1961,28.1
bel,1962,27
bel,1963,26
bel,1964,25
bel,1965,24
bel,1966,23.2
bel,1967,22.5
bel,1968,21.9
bel,1969,21.3
bel,1970,20.6
bel,1971,19.7
bel,1972,18.7
bel,1973,17.7
bel,1974,16.7
bel,1975,15.7
bel,1976,14.9
bel,1977,14.1
bel,1978,13.5
bel,1979,12.9
bel,1980,12.3
bel,1981,11.7
bel,1982,11.2
bel,1983,10.7
bel,1984,10.2
bel,1985,9.8
bel,1986,9.5
bel,1987,9.2
bel,1988,8.9
bel,1989,8.6
bel,1990,8.4
bel,1991,8.1
bel,1992,7.7
bel,1993,7.3
bel,1994,6.8
bel,1995,6.3
bel,1996,5.9
bel,1997,5.5
bel,1998,5.2
bel,1999,5
bel,2000,4.8
bel,2001,4.6
bel,2002,4.4
bel,2003,4.3
bel,2004,4.2
bel,2005,4
bel,2006,4
bel,2007,3.9
bel,2008,3.8
bel,2009,3.7
bel,2010,3.6
bel,2011,3.6
bel,2012,3.5
bel,2013,3.4
bel,2014,3.3
bel,2015,3.3
bel,2016,3.3
bel,2017,3.3
bel,2018,3.4
bel,2019,3.4
bel,2020,3.4
ben,1960,184.3
ben,1961,181.3
ben,1962,178.1
ben,1963,175
ben,1964,171.8
ben,1965,168.5
ben,1966,165.4
ben,1967,162.5
ben,1968,159.7
ben,1969,156.9
ben,1970,154.1
ben,1971,151.5
ben,1972,148.7
ben,1973,145.8
ben,1974,142.8
ben,1975,139.9
ben,1976,136.8
ben,1977,133.8
ben,1978,131
ben,1979,128.5
ben,1980,126.1
ben,1981,123.8
ben,1982,121.5
ben,1983,119.4
ben,1984,117.3
ben,1985,115.2
ben,1986,113.1
ben,1987,111
ben,1988,108.8
ben,1989,106.6
ben,1990,104.5
ben,1991,102.4
ben,1992,100.2
ben,1993,98.1
ben,1994,96.1
ben,1995,94.1
ben,1996,92.2
ben,1997,90.4
ben,1998,88.6
ben,1999,86.8
ben,2000,85
ben,2001,83.3
ben,2002,81.5
ben,2003,79.8
ben,2004,78.2
ben,2005,76.5
ben,2006,75
ben,2007,73.6
ben,2008,72.2
ben,2009,70.9
ben,2010,69.6
ben,2011,68.3
ben,2012,67
ben,2013,65.7
ben,2014,64.4
ben,2015,63.2
ben,2016,61.9
ben,2017,60.6
ben,2018,59.3
ben,2019,57.9
ben,2020,56.5
bfa,1960,156.6
bfa,1961,155.1
bfa,1962,153.7
bfa,1963,152.4
bfa,1964,151.2
bfa,1965,149.9
bfa,1966,148.8
bfa,1967,147.9
bfa,1968,147
bfa,1969,146.1
bfa,1970,145
bfa,1971,143.7
bfa,1972,141.9
bfa,1973,139.5
bfa,1974,136.3
bfa,1975,132.5
bfa,1976,128.4
bfa,1977,124.3
bfa,1978,120.6
bfa,1979,117.4
bfa,1980,114.7
bfa,1981,112.4
bfa,1982,110.5
bfa,1983,108.6
bfa,1984,106.9
bfa,1985,105.1
bfa,1986,103.2
bfa,1987,101.6
bfa,1988,100.2
bfa,1989,99.3
bfa,1990,98.7
bfa,1991,98.5
bfa,1992,98.4
bfa,1993,98.2
bfa,1994,97.9
bfa,1995,97.2
bfa,1996,96.2
bfa,1997,95
bfa,1998,93.7
bfa,1999,92.3
bfa,2000,90.9
bfa,2001,89.3
bfa,2002,87.6
bfa,2003,85.5
bfa,2004,83.3
bfa,2005,80.8
bfa,2006,78.1
bfa,2007,75.4
bfa,2008,72.7
bfa,2009,70.3
bfa,2010,68.1
bfa,2011,66.3
bfa,2012,64.4
bfa,2013,62.7
bfa,2014,61.2
bfa,2015,59.6
bfa,2016,58.2
bfa,2017,56.7
bfa,2018,55.4
bfa,2019,54.1
bfa,2020,52.8
bgd,1960,175.2
bgd,1961,170.9
bgd,1962,167
bgd,1963,163.5
bgd,1964,160.4
bgd,1965,157.7
bgd,1966,155.7
bgd,1967,154.2
bgd,1968,153.2
bgd,1969,152.6
bgd,1970,169.5
bgd,1971,210.9
bgd,1972,151.9
bgd,1973,151.5
bgd,1974,150.7
bgd,1975,149.6
bgd,1976,148.1
bgd,1977,146.1
bgd,1978,143.8
bgd,1979,141
bgd,1980,138
bgd,1981,134.9
bgd,1982,131.5
bgd,1983,128
bgd,1984,124.3
bgd,1985,120.5
bgd,1986,116.7
bgd,1987,112.8
bgd,1988,108.9
bgd,1989,105
bgd,1990,101.1
bgd,1991,97.2
bgd,1992,93.2
bgd,1993,89.2
bgd,1994,85.2
bgd,1995,81.3
bgd,1996,77.4
bgd,1997,73.6
bgd,1998,69.9
bgd,1999,66.4
bgd,2000,63.1
bgd,2001,60
bgd,2002,57
bgd,2003,54.3
bgd,2004,51.8
bgd,2005,49.4
bgd,2006,47
bgd,2007,44.8
bgd,2008,42.7
bgd,2009,40.7
bgd,2010,38.9
bgd,2011,37.2
bgd,2012,35.6
bgd,2013,34
bgd,2014,32.5
bgd,2015,31
bgd,2016,29.6
bgd,2017,28.2
bgd,2018,26.8
bgd,2019,25.5
bgd,2020,24.3
bgr,1960,45.1
bgr,1961,39.9
bgr,1962,36.2
bgr,1963,33.8
bgr,1964,32.3
bgr,1965,31.5
bgr,1966,31.1
bgr,1967,30.7
bgr,1968,30
bgr,1969,29
bgr,1970,27.6
bgr,1971,26.4
bgr,1972,25.6
bgr,1973,25.1
bgr,1974,24.7
bgr,1975,24.3
bgr,1976,23.6
bgr,1977,22.7
bgr,1978,21.7
bgr,1979,20.6
bgr,1980,19.6
bgr,1981,18.8
bgr,1982,18.1
bgr,1983,17.4
bgr,1984,16.6
bgr,1985,15.7
bgr,1986,14.9
bgr,1987,14.3
bgr,1988,14.1
bgr,1989,14.2
bgr,1990,14.6
bgr,1991,15.1
bgr,1992,15.3
bgr,1993,15.3
bgr,1994,15.4
bgr,1995,15.5
bgr,1996,15.7
bgr,1997,15.6
bgr,1998,15.3
bgr,1999,14.9
bgr,2000,14.4
bgr,2001,13.8
bgr,2002,13.2
bgr,2003,12.5
bgr,2004,11.8
bgr,2005,11
bgr,2006,10.3
bgr,2007,9.9
bgr,2008,9.5
bgr,2009,9.3
bgr,2010,9
bgr,2011,8.7
bgr,2012,8.2
bgr,2013,7.8
bgr,2014,7.3
bgr,2015,6.9
bgr,2016,6.5
bgr,2017,6.1
bgr,2018,5.8
bgr,2019,5.5
bgr,2020,5.1
bhr,1960,133.1
bhr,1961,122.6
bhr,1962,113.1
bhr,1963,104.2
bhr,1964,95.9
bhr,1965,88.1
bhr,1966,80.8
bhr,1967,74.1
bhr,1968,67.8
bhr,1969,62.1
bhr,1970,56.9
bhr,1971,52.2
bhr,1972,47.9
bhr,1973,44
bhr,1974,40.5
bhr,1975,37.4
bhr,1976,34.7
bhr,1977,32.3
bhr,1978,30.2
bhr,1979,28.4
bhr,1980,26.7
bhr,1981,25.3
bhr,1982,24
bhr,1983,22.9
bhr,1984,22
bhr,1985,21.1
bhr,1986,20.5
bhr,1987,20.1
bhr,1988,19.8
bhr,1989,19.7
bhr,1990,19.5
bhr,1991,19.3
bhr,1992,18.8
bhr,1993,18
bhr,1994,16.8
bhr,1995,15.6
bhr,1996,14.3
bhr,1997,13.1
bhr,1998,12.1
bhr,1999,11.3
bhr,2000,10.7
bhr,2001,10.3
bhr,2002,10
bhr,2003,9.7
bhr,2004,9.4
bhr,2005,9.1
bhr,2006,8.8
bhr,2007,8.4
bhr,2008,8
bhr,2009,7.6
bhr,2010,7.3
bhr,2011,7
bhr,2012,6.8
bhr,2013,6.7
bhr,2014,6.6
bhr,2015,6.5
bhr,2016,6.4
bhr,2017,6.3
bhr,2018,6.1
bhr,2019,5.9
bhr,2020,5.8
bhs,1968,24.8
bhs,1969,25.3
bhs,1970,25.7
bhs,1971,26.1
bhs,1972,26.5
bhs,1973,26.7
bhs,1974,26.7
bhs,1975,26.6
bhs,1976,26.4
bhs,1977,26.1
bhs,1978,25.8
bhs,1979,25.4
bhs,1980,25
bhs,1981,24.6
bhs,1982,24.3
bhs,1983,24.1
bhs,1984,23.9
bhs,1985,23.6
bhs,1986,23.2
bhs,1987,22.6
bhs,1988,21.8
bhs,1989,20.9
bhs,1990,20
bhs,1991,19.1
bhs,1992,18.2
bhs,1993,17.3
bhs,1994,16.5
bhs,1995,15.7
bhs,1996,15.1
bhs,1997,14.5
bhs,1998,14.1
bhs,1999,13.9
bhs,2000,13.9
bhs,2001,14
bhs,2002,14.1
bhs,2003,14.3
bhs,2004,14.4
bhs,2005,14.4
bhs,2006,14.3
bhs,2007,14.1
bhs,2008,13.9
bhs,2009,13.6
bhs,2010,13.3
bhs,2011,13
bhs,2012,12.8
bhs,2013,12.5
bhs,2014,12.2
bhs,2015,12
bhs,2016,11.7
bhs,2017,11.4
bhs,2018,11.2
bhs,2019,14.5
bhs,2020,10.5
bih,1984,26.1
bih,1985,24
bih,1986,22.1
bih,1987,20.4
bih,1988,18.8
bih,1989,17.4
bih,1990,16.1
bih,1991,14.9
bih,1992,21.7
bih,1993,21
bih,1994,17
bih,1995,11.8
bih,1996,10.8
bih,1997,10.2
bih,1998,9.6
bih,1999,9.1
bih,2000,8.7
bih,2001,8.4
bih,2002,8.2
bih,2003,8.1
bih,2004,7.9
bih,2005,7.8
bih,2006,7.5
bih,2007,7.2
bih,2008,6.9
bih,2009,6.6
bih,2010,6.3
bih,2011,6
bih,2012,5.8
bih,2013,5.6
bih,2014,5.5
bih,2015,5.4
bih,2016,5.3
bih,2017,5.3
bih,2018,5.2
bih,2019,5.1
bih,2020,4.9
blr,1980,17.2
blr,1981,16.5
blr,1982,15.8
blr,1983,15.2
blr,1984,14.7
blr,1985,14.2
blr,1986,13.7
blr,1987,13.2
blr,1988,12.7
blr,1989,12.4
blr,1990,12.1
blr,1991,12.1
blr,1992,12.2
blr,1993,12.3
blr,1994,12.4
blr,1995,12.4
blr,1996,12.2
blr,1997,11.9
blr,1998,11.4
blr,1999,10.7
blr,2000,9.9
blr,2001,9.2
blr,2002,8.5
blr,2003,7.8
blr,2004,7.3
blr,2005,6.7
blr,2006,6.2
blr,2007,5.6
blr,2008,5.1
blr,2009,4.6
blr,2010,4.3
blr,2011,3.9
blr,2012,3.7
blr,2013,3.5
blr,2014,3.3
blr,2015,3.1
blr,2016,2.9
blr,2017,2.7
blr,2018,2.5
blr,2019,2.4
blr,2020,2.2
blz,1967,79
blz,1968,76
blz,1969,73.1
blz,1970,70.3
blz,1971,67.7
blz,1972,65.2
blz,1973,62.8
blz,1974,60.6
blz,1975,58.6
blz,1976,56.6
blz,1977,54.7
blz,1978,52.9
blz,1979,51.2
blz,1980,49.5
blz,1981,47.8
blz,1982,46
blz,1983,44.3
blz,1984,42.5
blz,1985,40.6
blz,1986,38.7
blz,1987,36.8
blz,1988,34.9
blz,1989,33.1
blz,1990,31.2
blz,1991,29.5
blz,1992,28
blz,1993,26.6
blz,1994,25.3
blz,1995,24.2
blz,1996,23.2
blz,1997,22.3
blz,1998,21.4
blz,1999,20.7
blz,2000,20
blz,2001,19.4
blz,2002,18.9
blz,2003,18.5
blz,2004,18.2
blz,2005,17.9
blz,2006,17.6
blz,2007,17.3
blz,2008,17
blz,2009,16.6
blz,2010,16.2
blz,2011,15.7
blz,2012,15.2
blz,2013,14.6
blz,2014,13.9
blz,2015,13.2
blz,2016,12.5
blz,2017,11.8
blz,2018,11.1
blz,2019,10.6
blz,2020,10
bol,1960,175.3
bol,1961,172.2
bol,1962,169
bol,1963,165.8
bol,1964,162.7
bol,1965,159.4
bol,1966,156.3
bol,1967,153
bol,1968,149.8
bol,1969,146.6
bol,1970,143.3
bol,1971,140
bol,1972,136.7
bol,1973,133.2
bol,1974,129.8
bol,1975,126.3
bol,1976,123
bol,1977,119.7
bol,1978,116.6
bol,1979,113.7
bol,1980,110.9
bol,1981,108.4
bol,1982,105.9
bol,1983,103.4
bol,1984,100.9
bol,1985,98.2
bol,1986,95.5
bol,1987,92.6
bol,1988,89.8
bol,1989,86.9
bol,1990,84
bol,1991,81.2
bol,1992,78.4
bol,1993,75.6
bol,1994,72.9
bol,1995,70.1
bol,1996,67.3
bol,1997,64.4
bol,1998,61.6
bol,1999,58.7
bol,2000,55.9
bol,2001,53.1
bol,2002,50.4
bol,2003,47.8
bol,2004,45.4
bol,2005,43.1
bol,2006,40.8
bol,2007,38.7
bol,2008,36.7
bol,2009,34.8
bol,2010,33
bol,2011,31.2
bol,2012,29.6
bol,2013,28
bol,2014,26.6
bol,2015,25.4
bol,2016,24.3
bol,2017,23.2
bol,2018,22.3
bol,2019,21.5
bol,2020,20.7
bra,1960,127.8
bra,1961,124.6
bra,1962,121.5
bra,1963,118.6
bra,1964,115.9
bra,1965,113.5
bra,1966,111.2
bra,1967,109
bra,1968,106.9
bra,1969,104.6
bra,1970,102.3
bra,1971,99.9
bra,1972,97.5
bra,1973,95.1
bra,1974,92.8
bra,1975,90.4
bra,1976,87.9
bra,1977,85.3
bra,1978,82.6
bra,1979,79.7
bra,1980,76.6
bra,1981,73.5
bra,1982,70.5
bra,1983,67.7
bra,1984,65.2
bra,1985,62.8
bra,1986,60.6
bra,1987,58.6
bra,1988,56.6
bra,1989,54.6
bra,1990,52.6
bra,1991,50.6
bra,1992,48.4
bra,1993,46
bra,1994,43.5
bra,1995,41.1
bra,1996,38.7
bra,1997,36.5
bra,1998,34.3
bra,1999,32.3
bra,2000,30.4
bra,2001,28.5
bra,2002,26.8
bra,2003,25.1
bra,2004,23.5
bra,2005,22
bra,2006,20.7
bra,2007,19.5
bra,2008,18.4
bra,2009,17.5
bra,2010,16.7
bra,2011,16
bra,2012,15.4
bra,2013,14.9
bra,2014,14.6
bra,2015,14.2
bra,2016,15
bra,2017,13.8
bra,2018,13.6
bra,2019,13.3
bra,2020,13.1
brb,1960,70.1
brb,1961,65.3
brb,1962,61.1
brb,1963,57.5
brb,1964,54.3
brb,1965,51.5
brb,1966,49
brb,1967,46.8
brb,1968,44.8
brb,1969,42.8
brb,1970,40.9
brb,1971,38.9
brb,1972,37
brb,1973,35.1
brb,1974,33.2
brb,1975,31.4
brb,1976,29.7
brb,1977,28
brb,1978,26.4
brb,1979,24.9
brb,1980,23.5
brb,1981,22.4
brb,1982,21.4
brb,1983,20.6
brb,1984,19.9
brb,1985,19.3
brb,1986,18.7
brb,1987,18.1
brb,1988,17.5
brb,1989,16.8
brb,1990,16.2
brb,1991,15.5
brb,1992,14.9
brb,1993,14.4
brb,1994,14
brb,1995,13.7
brb,1996,13.5
brb,1997,13.4
brb,1998,13.4
brb,1999,13.6
brb,2000,13.7
brb,2001,14
brb,2002,14.2
brb,2003,14.3
brb,2004,14.4
brb,2005,14.4
brb,2006,14.3
brb,2007,14.2
brb,2008,14.1
brb,2009,13.9
brb,2010,13.8
brb,2011,13.7
brb,2012,13.6
brb,2013,13.5
brb,2014,13.3
brb,2015,13
brb,2016,12.7
brb,2017,12.4
brb,2018,12.1
brb,2019,11.7
brb,2020,11.4
brn,1960,84
brn,1961,75.8
brn,1962,68
brn,1963,61.2
brn,1964,55.5
brn,1965,51.1
brn,1966,47.9
brn,1967,45.3
brn,1968,43.2
brn,1969,41.1
brn,1970,38.7
brn,1971,36
brn,1972,33.1
brn,1973,30.2
brn,1974,27.3
brn,1975,24.6
brn,1976,22.3
brn,1977,20.2
brn,1978,18.4
brn,1979,16.8
brn,1980,15.4
brn,1981,14.2
brn,1982,13.2
brn,1983,12.4
brn,1984,11.7
brn,1985,11.2
brn,1986,10.8
brn,1987,10.5
brn,1988,10.3
brn,1989,10.2
brn,1990,10.2
brn,1991,10.3
brn,1992,10.2
brn,1993,10.2
brn,1994,10
brn,1995,9.7
brn,1996,9.4
brn,1997,9.1
brn,1998,8.8
brn,1999,8.5
brn,2000,8.2
brn,2001,8
brn,2002,7.9
brn,2003,7.8
brn,2004,7.7
brn,2005,7.7
