geo,time,se_adt_1524_lt_fm_zs
mdg,2018,0.98266
mdv,1977,1.03431
mdv,1985,1.0134
mdv,1990,1.00242
mdv,1995,1.00269
mdv,2000,1.00269
mdv,2006,1.00121
mdv,2014,1.0036
mdv,2016,1.00704
mex,1980,0.97608
mex,1990,0.98895
mex,2000,0.99722
mex,2002,0.99317
mex,2004,1.00093
mex,2005,0.99983
mex,2006,0.99578
mex,2007,0.99916
mex,2008,0.99946
mex,2009,0.99708
mex,2010,1.00118
mex,2011,1.00091
mex,2012,1.00312
mex,2013,1.00076
mex,2014,1.00159
mex,2015,1.00143
mex,2016,1.00183
mex,2017,1.00088
mex,2018,1.00141
mex,2020,1.00179
mhl,2011,1.00594
mkd,1994,0.99417
mkd,2002,0.99495
mkd,2014,0.99737
mkd,2020,1.00134
mli,1976,0.50532
mli,1998,0.52279
mli,2006,0.65003
mli,2010,0.60218
mli,2011,0.52731
mli,2015,0.64779
mli,2018,0.7504
mli,2020,0.69625
mlt,1985,1.01963
mlt,1995,1.03519
mlt,2005,1.01666
mlt,2011,1.00989
mlt,2018,1.00506
mmr,1983,0.91846
mmr,2000,0.97581
mmr,2016,0.99171
mmr,2019,1.00295
mne,1981,0.99131
mne,1991,0.99722
mne,2003,0.99902
mne,2011,0.9969
mne,2018,0.99738
mng,2000,1.01456
mng,2010,1.00897
mng,2018,1.00898
mng,2020,1.00302
moz,1980,0.39271
moz,1997,0.61483
moz,2003,0.67292
moz,2009,0.70816
moz,2015,0.79258
moz,2017,0.84765
mrt,2000,0.81916
mrt,2007,0.71856
mrt,2013,0.91684
mrt,2017,0.80016
mus,1990,1.01102
mus,2000,1.0172
mus,2011,1.009
mus,2018,1.00619
mwi,1987,0.69744
mwi,1998,0.86125
mwi,2010,0.94227
mwi,2014,0.9308
mwi,2015,1.01218
mys,1980,0.96688
mys,1991,0.99286
mys,2000,1.00061
mys,2010,1.00078
mys,2016,1.00477
mys,2017,1.00325
mys,2018,1.00333
mys,2019,1.00389
nam,1991,1.05214
nam,2001,1.02653
nam,2007,1.08141
nam,2011,1.0198
nam,2018,1.02172
ncl,1976,1.00979
ncl,1989,1.00206
ncl,1996,1.00098
ncl,2014,1.00121
ner,2001,0.54264
ner,2005,0.44228
ner,2012,0.65168
ner,2018,0.6963
nga,1991,0.76808
nga,2003,0.77449
nga,2006,0.89631
nga,2008,0.76693
nga,2018,0.83675
nic,2001,1.05841
nic,2005,1.0415
nic,2015,1.0423
npl,1981,0.33188
npl,1991,0.47877
npl,2001,0.74605
npl,2011,0.89234
npl,2018,0.96649
omn,2003,0.9877
omn,2008,0.99991
omn,2010,1.00774
omn,2014,0.99925
omn,2015,0.99315
omn,2016,1.0047
omn,2017,1.00497
omn,2018,1.00629
pak,1981,0.53554
pak,1998,0.64206
pak,2005,0.69259
pak,2006,0.73791
pak,2007,0.75473
pak,2008,0.77121
pak,2009,0.77659
pak,2010,0.78359
pak,2011,0.80901
pak,2012,0.80303
pak,2013,0.79893
pak,2014,0.82175
pak,2017,0.83109
pak,2018,0.80656
pak,2019,0.81759
pan,1980,1.0037
pan,1990,0.99354
pan,2000,0.9906
pan,2010,0.9939
pan,2018,0.99559
pan,2019,0.99955
per,1981,0.93007
per,1993,0.96701
per,2004,0.97805
per,2005,0.98332
per,2006,0.98421
per,2007,0.98665
per,2012,0.99956
per,2014,0.99629
per,2015,0.9953
per,2016,0.9958
per,2017,0.99594
per,2018,0.99887
per,2020,0.99833
phl,1980,1.0152
phl,1990,1.0062
phl,1994,1.00484
phl,2000,1.01318
phl,2003,1.03109
phl,2008,1.01494
phl,2013,1.01407
phl,2015,1.00365
phl,2019,1.01007
plw,1980,1.00174
plw,2013,1.0006
plw,2015,1.00933
png,2000,0.92658
png,2010,1.09566
pol,1978,1.00037
pol,1988,1.00037
pol,1998,1.00037
pol,2008,1.00037
pri,1980,1.01461
pri,1990,1.02006
pri,2010,1.0004
pri,2017,1
prk,2008,1
prt,1981,1.00568
prt,1991,1.00116
prt,2011,1.00088
prt,2018,1.00075
pry,1982,0.987
pry,1992,0.99483
pry,2007,0.99969
pry,2008,1.0055
pry,2009,1.00956
pry,2010,1.00231
pry,2012,0.9985
pry,2013,1.00614
pry,2014,0.99494
pry,2015,1.00621
pry,2016,1.00503
pry,2018,1.01148
pry,2019,1.00658
pry,2020,1.00026
pse,1997,1.00278
pse,2004,0.99858
pse,2006,1.00108
pse,2007,0.9985
pse,2008,0.9977
pse,2009,0.99991
pse,2010,1.00049
pse,2011,1.00105
pse,2012,0.99884
pse,2013,0.99855
pse,2014,0.99909
pse,2015,0.99863
pse,2016,0.99858
pse,2017,1.00116
pse,2018,1.00091
pse,2019,0.99926
pse,2020,1.00025
qat,1986,1.02963
qat,1997,1.0176
qat,2004,1.03628
qat,2007,1.04222
qat,2008,1.02463
qat,2009,1.01683
qat,2010,1.05392
qat,2011,1.03634
qat,2012,1.05923
qat,2013,1.05733
qat,2014,1.03804
qat,2016,1.02528
qat,2017,1.02127
rou,1992,0.99851
rou,2002,1.00036
rou,2011,0.99962
rou,2018,1.0002
rus,1989,1.00059
rus,2002,1.00092
rus,2010,1.00095
rus,2018,1.00099
rwa,1978,0.74915
rwa,2000,0.97886
rwa,2010,1.01685
rwa,2012,1.02836
rwa,2014,1.02838
rwa,2018,1.04718
sau,1992,0.86282
sau,2000,0.95553
sau,2004,0.97651
sau,2013,0.99835
sau,2017,0.99959
sau,2020,0.99902
sdn,2000,0.84406
sdn,2008,0.91334
sdn,2018,1.01334
sen,1988,0.57066
sen,2002,0.70049
sen,2006,0.76628
sen,2009,0.75334
sen,2011,0.79678
sen,2013,0.81419
sen,2017,0.84025
sgp,1980,0.99741
sgp,1990,1.00231
sgp,2000,1.00195
sgp,2010,1.00029
sgp,2011,0.99987
sgp,2012,0.99996
sgp,2013,1.00005
sgp,2014,1.00007
sgp,2015,1.00103
sgp,2016,1.00027
sgp,2017,1.00019
sgp,2018,1.00025
sgp,2019,1.00029
sle,2004,0.62665
sle,2013,0.78811
sle,2018,0.88839
slv,1992,1.00003
slv,2006,1.01107
slv,2007,1.00714
slv,2008,1.01118
slv,2009,1.00646
slv,2010,1.00744
slv,2011,1.0082
slv,2013,1.00567
slv,2015,1.00987
slv,2016,1.00565
slv,2017,1.00357
slv,2018,1.00492
slv,2019,1.00721
som,1972,0.65869
srb,2003,0.99923
srb,2011,0.99924
srb,2016,1.00009
srb,2019,1
ssd,2008,0.67101
ssd,2018,0.97819
stp,1981,0.81543
stp,1991,0.95871
stp,2001,0.98832
stp,2008,0.93114
stp,2012,0.99207
stp,2018,1.00145
sur,2004,0.98455
sur,2008,1.00084
sur,2010,1.00839
sur,2012,0.99158
sur,2018,0.99519
svn,1991,1.00042
svn,2004,1.0011
svn,2014,1.0011
swz,1976,0.9855
swz,1986,1.01437
swz,2000,1.0242
swz,2010,1.02703
swz,2018,1.0248
syc,1987,1.01683
syc,1994,1.0065
syc,2002,1.00608
syc,2010,1.00801
syc,2018,1.01044
syr,1981,0.66437
syr,2002,0.95697
syr,2004,0.95361
tcd,1993,0.34084
tcd,2000,0.41726
tcd,2004,0.573
tcd,2015,0.50146
tcd,2016,0.55015
tgo,2000,0.75854
tgo,2006,0.80046
tgo,2009,0.85082
tgo,2011,0.83653
tgo,2015,0.87397
tgo,2019,0.91228
tha,1980,0.98567
tha,2000,0.99743
tha,2005,0.99656
tha,2010,0.99906
tha,2013,1.00686
tha,2015,1.00295
tha,2018,1.00916
tjk,1989,0.99935
tjk,2000,1.00005
tjk,2014,1.0004
tkm,1995,1.00005
tkm,2014,1.0013
tls,2010,0.97613
tls,2018,1.0259
ton,1976,0.99955
ton,1996,1.0009
ton,2006,1.00254
ton,2011,1.00145
ton,2018,1.00192
tto,1980,1.00049
tto,1990,1
tto,2000,0.9996
tto,2010,1.0005
tun,1984,0.72918
tun,2004,0.9569
tun,2007,0.96816
tun,2008,0.97306
tun,2010,0.97844
tun,2011,0.98047
tun,2012,0.977
tun,2014,0.99161
tur,1975,0.75207
tur,1980,0.80364
tur,1985,0.89838
tur,1990,0.91524
tur,2004,0.95175
tur,2005,0.95526
tur,2006,0.95683
tur,2007,0.95643
tur,2009,0.97527
tur,2010,0.97967
tur,2011,0.98481
tur,2012,0.98817
tur,2013,0.9905
tur,2014,0.99202
tur,2015,0.9936
tur,2016,0.99511
tur,2017,0.99678
tur,2019,0.99883
tza,1988,0.90327
tza,2002,0.94173
tza,2010,0.95137
tza,2012,0.97331
tza,2015,0.97274
uga,1991,0.81741
uga,2002,0.88624
uga,2006,0.92968
uga,2010,0.95355
uga,2012,0.95213
uga,2018,1.01249
ukr,2001,1.00058
ukr,2012,1.00026
ury,1975,1.01108
ury,1985,1.00739
ury,1996,1.00873
ury,2006,1.0081
ury,2007,1.00536
ury,2008,1.00697
ury,2009,1.00726
ury,2010,1.00873
ury,2011,1.00512
ury,2012,1.00676
ury,2013,1.00751
ury,2014,1.01088
ury,2015,1.00595
ury,2016,1.00571
ury,2017,1.00761
ury,2018,1.00566
ury,2019,1.00591
uzb,2000,1.00041
uzb,2013,1
uzb,2014,1
uzb,2015,1
uzb,2016,1
uzb,2018,1
uzb,2019,1
vct,1970,1.00074
ven,1981,1.01657
ven,1990,1.01908
ven,2001,1.01774
ven,2007,1.00872
ven,2009,1.00542
ven,2011,1.01371
ven,2015,1.0061
ven,2016,1.00657
vnm,1979,0.9783
vnm,1989,0.99277
vnm,1999,0.99512
vnm,2000,0.98397
vnm,2009,0.99369
vnm,2019,0.99827
vut,1979,0.89306
vut,1984,0.93084
vut,1994,0.97659
vut,2004,0.99859
vut,2014,1.00533
vut,2018,1.00642
wsm,1991,0.99828
wsm,2011,1.00431
wsm,2018,1.00598
yem,1994,0.42725
yem,2004,0.65267
zaf,1980,0.99563
zaf,1996,1.00838
zaf,2007,1.01067
zaf,2009,1.00913
zaf,2010,1.00518
zaf,2011,1.00728
zaf,2012,1.0078
zaf,2014,1.00406
zaf,2015,1.00549
zaf,2017,1.0322
zaf,2019,1.00853
zmb,1990,0.97406
zmb,1999,0.91202
zmb,2002,0.85315
zmb,2007,0.83173
zmb,2010,0.94861
zmb,2018,0.98994
zwe,1982,0.90392
zwe,1992,0.97734
zwe,2011,1.02751
zwe,2014,1.06006
