geo,time,fx_own_totl_zs
hun,2014,72.25683
hun,2017,74.94497
idn,2011,19.58199
idn,2014,36.05899
idn,2017,48.85745
ind,2011,35.23184
ind,2014,53.14155
ind,2017,79.87533
irl,2011,93.88835
irl,2014,94.71014
irl,2017,95.34045
irn,2011,73.68385
irn,2014,92.28025
irn,2017,93.98192
irq,2011,10.55375
irq,2014,10.97235
irq,2017,22.66515
isr,2011,90.46864
isr,2014,89.95277
isr,2017,92.81496
ita,2011,71.00853
ita,2014,87.33458
ita,2017,93.78502
jam,2011,70.9915
jam,2014,78.45821
jor,2011,25.4711
jor,2014,24.61591
jor,2017,42.49302
jpn,2011,96.42204
jpn,2014,96.64558
jpn,2017,98.24339
kaz,2011,42.10509
kaz,2014,53.90742
kaz,2017,58.69753
ken,2011,42.34346
ken,2014,74.65784
ken,2017,81.56757
kgz,2011,3.75726
kgz,2014,18.4706
kgz,2017,39.942
khm,2011,3.65971
khm,2014,22.16527
khm,2017,21.67178
kor,2011,93.04687
kor,2014,94.36082
kor,2017,94.85101
kos,2011,44.30996
kos,2014,47.80315
kos,2017,52.2734
kwt,2011,86.77325
kwt,2014,72.90818
kwt,2017,79.84016
lao,2011,26.77346
lao,2017,29.05642
lbn,2011,37.02732
lbn,2014,46.92714
lbn,2017,44.75142
lbr,2011,18.80147
lbr,2017,35.71384
lby,2017,65.66752
lka,2011,68.52617
lka,2014,82.69138
lka,2017,73.64646
lso,2011,18.49702
lso,2017,45.56382
ltu,2011,73.7552
ltu,2014,77.90629
ltu,2017,82.88385
lux,2011,94.58679
lux,2014,96.16869
lux,2017,98.76785
lva,2011,89.65883
lva,2014,90.21825
lva,2017,93.22247
mar,2017,28.64446
mda,2011,18.06632
mda,2014,17.75575
mda,2017,43.78565
mdg,2011,5.52322
mdg,2014,8.55134
mdg,2017,17.86787
mex,2011,27.42938
mex,2014,39.14085
mex,2017,36.93192
mkd,2011,73.69894
mkd,2014,71.7985
mkd,2017,76.56877
mli,2011,8.21385
mli,2014,20.07604
mli,2017,35.41668
mlt,2011,95.27007
mlt,2014,96.328
mlt,2017,97.36292
mmr,2014,22.78419
mmr,2017,25.9923
mne,2011,50.43801
mne,2014,59.82601
mne,2017,68.36179
mng,2011,77.71709
mng,2014,91.82178
mng,2017,92.97117
moz,2017,41.6701
mrt,2011,17.46181
mrt,2014,22.86588
mrt,2017,20.87251
mus,2011,80.12321
mus,2014,82.20827
mus,2017,89.84253
mwi,2011,16.54061
mwi,2014,18.09242
mwi,2017,33.71393
mys,2011,66.17381
mys,2014,80.67462
mys,2017,85.34375
nam,2014,58.8339
nam,2017,80.6335
ner,2011,1.5217
ner,2014,6.70659
ner,2017,15.52324
nga,2011,29.66754
nga,2014,44.44199
nga,2017,39.66686
nic,2011,14.21833
nic,2014,19.43848
nic,2017,30.86199
nld,2011,98.65853
nld,2014,99.2956
nld,2017,99.63762
nor,2014,100
nor,2017,99.74514
npl,2011,25.30856
npl,2014,33.80135
npl,2017,45.38557
nzl,2011,99.43673
nzl,2014,99.52554
nzl,2017,99.17844
omn,2011,73.60242
pak,2011,10.3063
pak,2014,13.03619
pak,2017,21.29325
pan,2011,24.92649
pan,2014,43.66214
pan,2017,46.49426
per,2011,20.45868
per,2014,28.97523
per,2017,42.60318
phl,2011,26.55593
phl,2014,31.28584
phl,2017,34.49841
pol,2011,70.19429
pol,2014,77.86217
pol,2017,86.73331
pri,2014,69.73527
prt,2011,81.22942
prt,2014,87.38635
prt,2017,92.34099
pry,2011,21.72015
pry,2017,48.64686
pse,2011,19.42803
pse,2014,24.24381
pse,2017,25.02218
qat,2011,65.87539
rou,2011,44.59163
rou,2014,60.83715
rou,2017,57.7518
rus,2011,48.17849
rus,2014,67.38309
rus,2017,75.75889
rwa,2011,32.76382
rwa,2014,42.11691
rwa,2017,50.01979
sau,2011,46.42066
sau,2014,69.40958
sau,2017,71.69812
sdn,2011,6.8998
sdn,2014,15.26843
sen,2011,5.82114
sen,2014,15.42457
sen,2017,42.34402
sgp,2011,98.22189
sgp,2014,96.3526
sgp,2017,97.93117
sle,2011,15.34176
sle,2014,15.58001
sle,2017,19.80876
slv,2011,13.76462
slv,2014,36.71971
slv,2017,30.35295
som,2014,38.66033
srb,2011,62.21622
srb,2014,83.09234
srb,2017,71.44105
ssd,2017,8.57
svk,2011,79.58302
svk,2014,77.24139
svk,2017,84.18159
svn,2011,97.14371
svn,2014,97.24451
svn,2017,97.5334
swe,2011,98.99195
swe,2014,99.71992
swe,2017,99.74221
swz,2011,28.56944
syr,2011,23.25309
tcd,2011,8.95975
tcd,2014,12.43334
tcd,2017,21.75919
tgo,2011,10.18524
tgo,2014,18.25146
tgo,2017,45.28935
tha,2011,72.66644
tha,2014,78.13655
tha,2017,81.594
tjk,2011,2.53486
tjk,2014,11.45923
tjk,2017,47.02439
tkm,2011,0.40491
tkm,2017,40.57641
tto,2011,75.92206
tto,2017,80.78335
tun,2014,27.43231
tun,2017,36.90657
tur,2011,57.60143
tur,2014,56.67748
tur,2017,68.59031
tza,2011,17.25777
tza,2014,39.77948
tza,2017,46.75156
uga,2011,20.46142
uga,2014,44.44715
uga,2017,59.19915
ukr,2011,41.26857
ukr,2014,52.71481
ukr,2017,62.90233
ury,2011,23.5426
ury,2014,45.58573
ury,2017,63.868
usa,2011,87.95786
usa,2014,93.5838
usa,2017,93.12218
uzb,2011,22.50392
uzb,2014,40.71001
uzb,2017,37.08974
ven,2011,44.11666
ven,2014,57.02633
ven,2017,73.49451
vnm,2011,21.36949
vnm,2014,30.95094
vnm,2017,30.79579
yem,2011,3.65995
yem,2014,6.44848
zaf,2011,53.64507
zaf,2014,70.31745
zaf,2017,69.21849
zmb,2011,21.36491
zmb,2014,35.64487
zmb,2017,45.86326
zwe,2011,39.65121
zwe,2014,32.38925
zwe,2017,55.28514
