geo,time,sn_itk_defc_zs
blr,2014,2.5
blr,2015,2.5
blr,2016,2.5
blr,2017,2.5
blr,2018,2.5
blr,2019,2.5
blz,2001,5.8
blz,2002,5.4
blz,2003,5.5
blz,2004,5.5
blz,2005,5.7
blz,2006,5.8
blz,2007,6.6
blz,2008,7.1
blz,2009,6.9
blz,2010,6.8
blz,2011,7.1
blz,2012,7.8
blz,2013,8.1
blz,2014,7.8
blz,2015,7.7
blz,2016,7.2
blz,2017,6.7
blz,2018,6.2
blz,2019,5.9
bol,2001,27.9
bol,2002,26.9
bol,2003,27.7
bol,2004,27.7
bol,2005,26.8
bol,2006,24.6
bol,2007,23.9
bol,2008,24.7
bol,2009,22.9
bol,2010,20.3
bol,2011,17.2
bol,2012,16.5
bol,2013,16.4
bol,2014,15.5
bol,2015,14.3
bol,2016,13.1
bol,2017,12.5
bol,2018,12.6
bol,2019,12.6
bra,2001,10.7
bra,2002,9.3
bra,2003,7.9
bra,2004,6.8
bra,2005,6.5
bra,2006,6.2
bra,2007,5.6
bra,2008,5.1
bra,2009,4.4
bra,2010,3.9
bra,2011,3.4
bra,2012,3.1
bra,2013,2.8
bra,2014,2.6
bra,2015,2.5
bra,2016,2.5
bra,2017,2.5
bra,2018,2.5
bra,2019,2.5
brb,2001,6.4
brb,2002,6.2
brb,2003,6.7
brb,2004,6.2
brb,2005,6.1
brb,2006,5.3
brb,2007,5.3
brb,2008,4.9
brb,2009,4.8
brb,2010,4.8
brb,2011,4.7
brb,2012,4.5
brb,2013,4.4
brb,2014,4.2
brb,2015,4.3
brb,2016,4.3
brb,2017,4.3
brb,2018,4.2
brb,2019,4.1
brn,2001,2.6
brn,2002,2.5
brn,2003,2.5
brn,2004,2.5
brn,2005,2.5
brn,2006,2.5
brn,2007,2.5
brn,2008,2.5
brn,2009,2.5
brn,2010,2.5
brn,2011,2.5
brn,2012,2.5
brn,2013,2.5
brn,2014,2.5
brn,2015,2.5
brn,2016,2.5
brn,2017,2.5
brn,2018,2.5
brn,2019,2.5
bwa,2001,23.7
bwa,2002,24.1
bwa,2003,24.5
bwa,2004,24.2
bwa,2005,25.2
bwa,2006,27.5
bwa,2007,29.8
bwa,2008,30.9
bwa,2009,31.6
bwa,2010,31.5
bwa,2011,30.2
bwa,2012,29.7
bwa,2013,28
bwa,2014,27.3
bwa,2015,26.4
bwa,2016,27.7
bwa,2017,28.9
bwa,2018,29.5
bwa,2019,29.3
caf,2001,39.2
caf,2002,40.1
caf,2003,40.6
caf,2004,40.5
caf,2005,39.6
caf,2006,37.7
caf,2007,35.7
caf,2008,33.3
caf,2009,31
caf,2010,29.1
caf,2011,28.1
caf,2012,32.8
caf,2013,40.3
caf,2014,48.3
caf,2015,49.9
caf,2016,48.6
caf,2017,46.1
caf,2018,46.7
caf,2019,48.2
can,2001,2.5
can,2002,2.5
can,2003,2.5
can,2004,2.5
can,2005,2.5
can,2006,2.5
can,2007,2.5
can,2008,2.5
can,2009,2.5
can,2010,2.5
can,2011,2.5
can,2012,2.5
can,2013,2.5
can,2014,2.5
can,2015,2.5
can,2016,2.5
can,2017,2.5
can,2018,2.5
can,2019,2.5
che,2001,2.5
che,2002,2.5
che,2003,2.5
che,2004,2.5
che,2005,2.5
che,2006,2.5
che,2007,2.5
che,2008,2.5
che,2009,2.5
che,2010,2.5
che,2011,2.5
che,2012,2.5
che,2013,2.5
che,2014,2.5
che,2015,2.5
che,2016,2.5
che,2017,2.5
che,2018,2.5
che,2019,2.5
chl,2001,3.4
chl,2002,3.2
chl,2003,3.2
chl,2004,3.2
chl,2005,3.1
chl,2006,3.1
chl,2007,3.1
chl,2008,3.4
chl,2009,3.6
chl,2010,3.6
chl,2011,3.4
chl,2012,3.2
chl,2013,3.1
chl,2014,3.1
chl,2015,3
chl,2016,3.1
chl,2017,3
chl,2018,3
chl,2019,3.4
chn,2001,10.1
chn,2002,9.5
chn,2003,8.8
chn,2004,8
chn,2005,7.1
chn,2006,6.1
chn,2007,5
chn,2008,4
chn,2009,2.8
chn,2010,2.5
chn,2011,2.5
chn,2012,2.5
chn,2013,2.5
chn,2014,2.5
chn,2015,2.5
chn,2016,2.5
chn,2017,2.5
chn,2018,2.5
chn,2019,2.5
civ,2001,20.4
civ,2002,21.3
civ,2003,21.2
civ,2004,20.6
civ,2005,20.2
civ,2006,20.2
civ,2007,21.1
civ,2008,22.1
civ,2009,22.3
civ,2010,22.3
civ,2011,21.7
civ,2012,21.9
civ,2013,20.4
civ,2014,18.6
civ,2015,16.5
civ,2016,15.5
civ,2017,15
civ,2018,14.9
civ,2019,14.9
cmr,2001,22.9
cmr,2002,20.7
cmr,2003,19.3
cmr,2004,17.6
cmr,2005,15.9
cmr,2006,14.1
cmr,2007,12.6
cmr,2008,11.2
cmr,2009,9.1
cmr,2010,7.6
cmr,2011,6.2
cmr,2012,5.8
cmr,2013,5.6
cmr,2014,5.5
cmr,2015,5.4
cmr,2016,5.5
cmr,2017,5.6
cmr,2018,5.6
cmr,2019,5.3
cod,2001,38.2
cod,2002,38.2
cod,2003,38.2
cod,2004,38.3
cod,2005,38.4
cod,2006,38.5
cod,2007,38.6
cod,2008,38.7
cod,2009,38.7
cod,2010,38.8
cod,2011,40
cod,2012,41.5
cod,2013,41.5
cod,2014,40.7
cod,2015,40.1
cod,2016,39.9
cod,2017,40.2
cod,2018,40.4
cod,2019,41.7
cog,2001,27
cog,2002,26.4
cog,2003,26.4
cog,2004,31.7
cog,2005,34
cog,2006,36.6
cog,2007,35.4
cog,2008,35.5
cog,2009,35.5
cog,2010,36.5
cog,2011,36
cog,2012,33
cog,2013,30.9
cog,2014,31.1
cog,2015,34.1
cog,2016,34.6
cog,2017,36
cog,2018,36.8
cog,2019,37.7
col,2001,8.7
col,2002,9.1
col,2003,9.8
col,2004,10.6
col,2005,11.2
col,2006,11.4
col,2007,11
col,2008,11.3
col,2009,12.2
col,2010,13.1
col,2011,12.1
col,2012,10.1
col,2013,8.1
col,2014,7.1
col,2015,6.5
col,2016,6.8
col,2017,7.1
col,2018,7.9
col,2019,8.8
cpv,2001,14.5
cpv,2002,14.4
cpv,2003,13.1
cpv,2004,11.3
cpv,2005,11
cpv,2006,11.4
cpv,2007,12.3
cpv,2008,13.1
cpv,2009,15
cpv,2010,15.8
cpv,2011,16.3
cpv,2012,16
cpv,2013,16
cpv,2014,16.4
cpv,2015,16.8
cpv,2016,17
cpv,2017,16.7
cpv,2018,16.2
cpv,2019,15.4
cri,2001,4.7
cri,2002,5
cri,2003,5.2
cri,2004,5
cri,2005,4.4
cri,2006,3.9
cri,2007,3.8
cri,2008,3.9
cri,2009,4
cri,2010,3.8
cri,2011,3.8
cri,2012,3.8
cri,2013,4.1
cri,2014,4.3
cri,2015,4.1
cri,2016,3.6
cri,2017,3.1
cri,2018,3
cri,2019,3.1
cub,2001,2.5
cub,2002,2.5
cub,2003,2.5
cub,2004,2.5
cub,2005,2.5
cub,2006,2.5
cub,2007,2.5
cub,2008,2.5
cub,2009,2.5
cub,2010,2.5
cub,2011,2.5
cub,2012,2.5
cub,2013,2.5
cub,2014,2.5
cub,2015,2.5
cub,2016,2.5
cub,2017,2.5
cub,2018,2.5
cub,2019,2.5
cyp,2001,5.1
cyp,2002,5.7
cyp,2003,6.1
cyp,2004,6.9
cyp,2005,7.6
cyp,2006,7.5
cyp,2007,6.9
cyp,2008,6.4
cyp,2009,6.3
cyp,2010,6.2
cyp,2011,6.1
cyp,2012,6.2
cyp,2013,4.7
cyp,2014,2.8
cyp,2015,2.5
cyp,2016,2.5
cyp,2017,2.5
cyp,2018,2.5
cyp,2019,2.5
cze,2001,2.5
cze,2002,2.5
cze,2003,2.5
cze,2004,2.5
cze,2005,2.5
cze,2006,2.5
cze,2007,2.5
cze,2008,2.5
cze,2009,2.5
cze,2010,2.5
cze,2011,2.5
cze,2012,2.5
cze,2013,2.5
cze,2014,2.5
cze,2015,2.5
cze,2016,2.5
cze,2017,2.5
cze,2018,2.5
cze,2019,2.5
deu,2001,2.5
deu,2002,2.5
deu,2003,2.5
deu,2004,2.5
deu,2005,2.5
deu,2006,2.5
deu,2007,2.5
deu,2008,2.5
deu,2009,2.5
deu,2010,2.5
deu,2011,2.5
deu,2012,2.5
deu,2013,2.5
deu,2014,2.5
deu,2015,2.5
deu,2016,2.5
deu,2017,2.5
deu,2018,2.5
deu,2019,2.5
dji,2001,42
dji,2002,40.8
dji,2003,38.2
dji,2004,34.7
dji,2005,31.3
dji,2006,27.3
dji,2007,25.1
dji,2008,23.4
dji,2009,23.2
dji,2010,22.9
dji,2011,22.2
dji,2012,20.8
dji,2013,19.7
dji,2014,18.1
dji,2015,17.5
dji,2016,16.7
dji,2017,16.4
dji,2018,16
dji,2019,16.2
dma,2001,3.7
dma,2002,4.1
dma,2003,4.7
dma,2004,5
dma,2005,5.4
dma,2006,5
dma,2007,4.6
dma,2008,4.1
dma,2009,4.4
dma,2010,4.7
dma,2011,4.9
dma,2012,5.1
dma,2013,5.2
dma,2014,5.1
dma,2015,5.1
dma,2016,5
dma,2017,5.3
dma,2018,5.5
dma,2019,5.6
dnk,2001,2.5
dnk,2002,2.5
dnk,2003,2.5
dnk,2004,2.5
dnk,2005,2.5
dnk,2006,2.5
dnk,2007,2.5
dnk,2008,2.5
dnk,2009,2.5
dnk,2010,2.5
dnk,2011,2.5
dnk,2012,2.5
dnk,2013,2.5
dnk,2014,2.5
dnk,2015,2.5
dnk,2016,2.5
dnk,2017,2.5
dnk,2018,2.5
dnk,2019,2.5
dom,2001,20.4
dom,2002,22.6
dom,2003,23.6
dom,2004,23
dom,2005,19.2
dom,2006,16.4
dom,2007,16.2
dom,2008,16
dom,2009,14.6
dom,2010,12.3
dom,2011,10.3
dom,2012,9.7
dom,2013,8.9
dom,2014,8.3
dom,2015,7.4
dom,2016,6.8
dom,2017,6.4
dom,2018,6.7
dom,2019,8.3
dza,2001,8
dza,2002,7.3
dza,2003,7
dza,2004,7
dza,2005,6.7
dza,2006,6.4
dza,2007,5.9
dza,2008,5.6
dza,2009,5.3
dza,2010,4.6
dza,2011,4
dza,2012,3.3
dza,2013,3.1
dza,2014,2.9
dza,2015,2.8
dza,2016,2.8
dza,2017,2.7
dza,2018,2.5
dza,2019,2.5
ecu,2001,21
ecu,2002,22.7
ecu,2003,22.7
ecu,2004,22.7
ecu,2005,22.4
ecu,2006,22.8
ecu,2007,22.1
ecu,2008,21.3
ecu,2009,16
ecu,2010,12.3
ecu,2011,8.5
ecu,2012,9.1
ecu,2013,9
ecu,2014,8.9
ecu,2015,9
ecu,2016,9.7
ecu,2017,10.7
ecu,2018,11.2
ecu,2019,12.4
egy,2001,5.2
egy,2002,5.4
egy,2003,6
egy,2004,6.4
egy,2005,6.4
egy,2006,6
egy,2007,5.7
egy,2008,5.6
egy,2009,5.5
egy,2010,5.4
egy,2011,5.1
egy,2012,5.2
egy,2013,4.9
egy,2014,4.6
egy,2015,4.4
egy,2016,4.6
egy,2017,4.9
egy,2018,5.1
egy,2019,5.4
esp,2001,2.5
esp,2002,2.5
esp,2003,2.5
esp,2004,2.5
esp,2005,2.5
esp,2006,2.5
esp,2007,2.5
esp,2008,2.5
esp,2009,2.5
esp,2010,2.5
esp,2011,2.5
esp,2012,2.5
esp,2013,2.5
esp,2014,2.5
esp,2015,2.5
esp,2016,2.5
esp,2017,2.5
esp,2018,2.5
esp,2019,2.5
est,2001,3.6
est,2002,3.5
est,2003,3.3
est,2004,2.9
est,2005,2.5
est,2006,2.5
est,2007,2.5
est,2008,2.5
est,2009,2.5
est,2010,2.5
est,2011,2.5
est,2012,2.5
est,2013,2.5
est,2014,2.5
est,2015,2.5
est,2016,2.5
est,2017,2.5
est,2018,2.5
est,2019,2.5
eth,2001,47
eth,2002,44.2
eth,2003,42.6
eth,2004,39
eth,2005,37.1
eth,2006,35.6
eth,2007,35
eth,2008,33.5
eth,2009,29.7
eth,2010,27.6
eth,2011,26
eth,2012,25.3
eth,2013,21.8
eth,2014,17.8
eth,2015,14.8
eth,2016,13.8
eth,2017,14
eth,2018,14.4
eth,2019,16.2
fin,2001,2.5
fin,2002,2.5
fin,2003,2.5
fin,2004,2.5
fin,2005,2.5
fin,2006,2.5
fin,2007,2.5
fin,2008,2.5
fin,2009,2.5
fin,2010,2.5
fin,2011,2.5
fin,2012,2.5
fin,2013,2.5
fin,2014,2.5
fin,2015,2.5
fin,2016,2.5
fin,2017,2.5
fin,2018,2.5
fin,2019,2.5
fji,2001,4
fji,2002,3.8
fji,2003,3.9
fji,2004,3.8
fji,2005,3.7
fji,2006,3.7
fji,2007,3.7
fji,2008,3.9
fji,2009,3.9
fji,2010,4
fji,2011,3.8
fji,2012,3.4
fji,2013,4.4
fji,2014,5.2
fji,2015,6.4
fji,2016,6.3
fji,2017,6.3
fji,2018,5.8
fji,2019,5.6
fra,2001,2.5
fra,2002,2.5
fra,2003,2.5
fra,2004,2.5
fra,2005,2.5
fra,2006,2.5
fra,2007,2.5
fra,2008,2.5
fra,2009,2.5
fra,2010,2.5
fra,2011,2.5
fra,2012,2.5
fra,2013,2.5
fra,2014,2.5
fra,2015,2.5
fra,2016,2.5
fra,2017,2.5
fra,2018,2.5
fra,2019,2.5
gab,2001,10.7
gab,2002,12.1
gab,2003,13.3
gab,2004,13.9
gab,2005,14.3
gab,2006,14.8
gab,2007,15.9
gab,2008,16.8
gab,2009,17.4
gab,2010,17.2
gab,2011,17.2
gab,2012,17.3
gab,2013,16.1
gab,2014,14.7
gab,2015,13.9
gab,2016,15
gab,2017,16
gab,2018,16.2
gab,2019,15.7
gbr,2001,2.5
gbr,2002,2.5
gbr,2003,2.5
gbr,2004,2.5
gbr,2005,2.5
gbr,2006,2.5
gbr,2007,2.5
gbr,2008,2.5
gbr,2009,2.5
gbr,2010,2.5
gbr,2011,2.5
gbr,2012,2.5
gbr,2013,2.5
gbr,2014,2.5
gbr,2015,2.5
gbr,2016,2.5
gbr,2017,2.5
gbr,2018,2.5
gbr,2019,2.5
geo,2001,7.7
geo,2002,5.9
geo,2003,4.8
geo,2004,4.1
geo,2005,4.1
geo,2006,4
geo,2007,4
geo,2008,3.6
geo,2009,3.7
geo,2010,4.2
geo,2011,4.6
geo,2012,4.3
geo,2013,5.4
geo,2014,6.6
geo,2015,8.1
geo,2016,8.3
geo,2017,8.3
geo,2018,8.1
geo,2019,8.7
gha,2001,14.9
gha,2002,13.5
gha,2003,12.6
gha,2004,12.2
gha,2005,11.2
gha,2006,10.6
gha,2007,9.4
gha,2008,8.2
gha,2009,6.7
gha,2010,6.6
gha,2011,6.7
gha,2012,7.2
gha,2013,7.1
gha,2014,7.4
gha,2015,7.7
gha,2016,7.6
gha,2017,7.1
gha,2018,6.4
gha,2019,6.1
gmb,2001,17.8
gmb,2002,19.6
gmb,2003,20.5
gmb,2004,20.7
gmb,2005,21.7
gmb,2006,20.7
gmb,2007,18.7
gmb,2008,15.8
gmb,2009,14.2
gmb,2010,13.1
gmb,2011,12.7
gmb,2012,13
gmb,2013,12.4
gmb,2014,11.9
gmb,2015,11.3
gmb,2016,11.7
gmb,2017,11.9
gmb,2018,12.4
gmb,2019,13.6
grc,2001,2.5
grc,2002,2.5
grc,2003,2.5
grc,2004,2.5
grc,2005,2.5
grc,2006,2.5
grc,2007,2.5
grc,2008,2.5
grc,2009,2.5
grc,2010,2.5
grc,2011,2.5
grc,2012,2.5
grc,2013,2.5
grc,2014,2.5
grc,2015,2.5
grc,2016,2.5
grc,2017,2.5
grc,2018,2.5
grc,2019,2.5
gtm,2001,22.2
gtm,2002,19.9
gtm,2003,18.9
gtm,2004,19.1
gtm,2005,18.9
gtm,2006,17.8
gtm,2007,18.2
gtm,2008,17.9
gtm,2009,17.7
gtm,2010,16.5
gtm,2011,16.5
gtm,2012,17
gtm,2013,17.6
gtm,2014,17.7
gtm,2015,17.3
gtm,2016,16.4
gtm,2017,16.3
gtm,2018,16
gtm,2019,16.8
guy,2001,6.5
guy,2002,6.5
guy,2003,6.8
guy,2004,6.9
guy,2005,7.1
guy,2006,7.1
guy,2007,7.5
guy,2008,7.6
guy,2009,7.7
guy,2010,7.3
guy,2011,6.6
guy,2012,5.9
guy,2013,5.9
guy,2014,6.1
guy,2015,6.7
guy,2016,6.3
guy,2017,6
guy,2018,5.5
guy,2019,5.2
hkg,2001,2.5
hkg,2002,2.5
hkg,2003,2.5
hkg,2004,2.5
hkg,2005,2.5
hkg,2006,2.5
hkg,2007,2.5
hkg,2008,2.5
hkg,2009,2.5
hkg,2010,2.5
hkg,2011,2.5
hkg,2012,2.5
hkg,2013,2.5
hkg,2014,2.5
hkg,2015,2.5
hkg,2016,2.5
hkg,2017,2.5
hkg,2018,2.5
hkg,2019,2.5
hnd,2001,21.9
hnd,2002,21.2
hnd,2003,21.7
hnd,2004,22.2
hnd,2005,22.3
hnd,2006,21.8
hnd,2007,21
hnd,2008,20.8
hnd,2009,18.3
hnd,2010,15.9
hnd,2011,13.5
hnd,2012,13.4
hnd,2013,14.1
hnd,2014,14.6
hnd,2015,14.5
hnd,2016,13.8
hnd,2017,13.2
hnd,2018,13.1
hnd,2019,13.5
hrv,2001,6.8
hrv,2002,4.6
hrv,2003,3.7
hrv,2004,3.1
hrv,2005,2.5
hrv,2006,2.5
hrv,2007,2.5
hrv,2008,2.5
hrv,2009,2.5
hrv,2010,2.5
hrv,2011,2.5
hrv,2012,2.5
hrv,2013,2.5
hrv,2014,2.5
hrv,2015,2.5
hrv,2016,2.5
hrv,2017,2.5
hrv,2018,2.5
hrv,2019,2.5
hti,2001,53.2
hti,2002,54.7
hti,2003,55.1
hti,2004,55.7
hti,2005,55
hti,2006,54.2
hti,2007,52.7
hti,2008,51.4
hti,2009,48.9
hti,2010,47.5
hti,2011,46.8
hti,2012,47.7
hti,2013,47.1
hti,2014,46.4
hti,2015,46.1
hti,2016,46.7
hti,2017,48
hti,2018,47.9
hti,2019,46.8
hun,2001,2.5
hun,2002,2.5
hun,2003,2.5
hun,2004,2.5
hun,2005,2.5
hun,2006,2.5
hun,2007,2.5
hun,2008,2.5
hun,2009,2.5
hun,2010,2.5
hun,2011,2.5
hun,2012,2.5
hun,2013,2.5
hun,2014,2.5
hun,2015,2.5
hun,2016,2.5
hun,2017,2.5
hun,2018,2.5
hun,2019,2.5
idn,2001,19.2
idn,2002,19.1
idn,2003,18.9
idn,2004,19.1
idn,2005,19.2
idn,2006,19
idn,2007,18.5
idn,2008,17.4
idn,2009,15.5
idn,2010,13
idn,2011,10.7
idn,2012,9.4
idn,2013,8.3
idn,2014,7.7
idn,2015,7
idn,2016,6.8
idn,2017,6.4
idn,2018,6.4
idn,2019,6.5
ind,2001,18.4
ind,2002,20.1
ind,2003,21.5
ind,2004,22.1
ind,2005,21.6
ind,2006,19.6
ind,2007,17.5
ind,2008,16.6
ind,2009,16.3
ind,2010,16
ind,2011,15.6
ind,2012,15
ind,2013,15.1
ind,2014,14.9
ind,2015,14.7
ind,2016,14.2
ind,2017,13.8
ind,2018,14
ind,2019,15.3
irl,2001,2.5
irl,2002,2.5
irl,2003,2.5
irl,2004,2.5
irl,2005,2.5
irl,2006,2.5
irl,2007,2.5
irl,2008,2.5
irl,2009,2.5
irl,2010,2.5
irl,2011,2.5
irl,2012,2.5
irl,2013,2.5
irl,2014,2.5
irl,2015,2.5
irl,2016,2.5
irl,2017,2.5
irl,2018,2.5
irl,2019,2.5
irn,2001,4.8
irn,2002,5
irn,2003,5
irn,2004,4.9
irn,2005,5.2
irn,2006,5.5
irn,2007,5.7
irn,2008,5.4
irn,2009,5.5
irn,2010,6
irn,2011,6.3
irn,2012,6.2
irn,2013,5.3
irn,2014,4.9
irn,2015,4.7
irn,2016,4.9
irn,2017,5.2
irn,2018,5.4
irn,2019,5.5
irq,2001,22.4
irq,2002,22.7
irq,2003,23.1
irq,2004,23.8
irq,2005,23.8
irq,2006,25.1
irq,2007,25.7
irq,2008,24.9
irq,2009,27.9
irq,2010,31.6
irq,2011,36.7
irq,2012,37.1
irq,2013,36.7
irq,2014,36.8
irq,2015,37.8
irq,2016,38.4
irq,2017,37.9
irq,2018,37.4
irq,2019,37.5
isl,2001,2.5
isl,2002,2.5
isl,2003,2.5
isl,2004,2.5
isl,2005,2.5
isl,2006,2.5
isl,2007,2.5
isl,2008,2.5
isl,2009,2.5
isl,2010,2.5
isl,2011,2.5
isl,2012,2.5
isl,2013,2.5
isl,2014,2.5
isl,2015,2.5
isl,2016,2.5
isl,2017,2.5
isl,2018,2.5
isl,2019,2.5
isr,2001,2.5
isr,2002,2.5
isr,2003,2.5
isr,2004,2.5
isr,2005,2.5
isr,2006,2.5
isr,2007,2.5
isr,2008,2.5
isr,2009,2.5
isr,2010,2.5
isr,2011,2.5
isr,2012,2.5
isr,2013,2.5
isr,2014,2.5
isr,2015,2.5
isr,2016,2.5
isr,2017,2.5
isr,2018,2.5
isr,2019,2.5
ita,2001,2.5
ita,2002,2.5
ita,2003,2.5
ita,2004,2.5
ita,2005,2.5
ita,2006,2.5
ita,2007,2.5
ita,2008,2.5
ita,2009,2.5
ita,2010,2.5
ita,2011,2.5
ita,2012,2.5
ita,2013,2.5
ita,2014,2.5
ita,2015,2.5
ita,2016,2.5
ita,2017,2.5
ita,2018,2.5
ita,2019,2.5
jam,2001,7.4
jam,2002,6.9
jam,2003,7
jam,2004,7.1
jam,2005,7.4
jam,2006,7.7
jam,2007,8.3
jam,2008,9
jam,2009,9.5
jam,2010,9.6
jam,2011,9.8
jam,2012,10.1
jam,2013,10.1
jam,2014,9.7
jam,2015,9.6
jam,2016,9.3
jam,2017,8.8
jam,2018,7.7
jam,2019,7.7
jor,2001,9.7
jor,2002,7.7
jor,2003,6.3
jor,2004,5.7
jor,2005,5.5
jor,2006,5.7
jor,2007,6.1
jor,2008,6.5
jor,2009,6.9
