geo,time,tm_tax_tcom_sm_ar_zs
aut,2001,9.87
aut,2002,6.42
aut,2003,6.54
aut,2004,6.85
aut,2005,7.36
aut,2006,7.24
aut,2007,6.51
aut,2008,5.94
aut,2009,6.25
aut,2010,6.3
aut,2011,5.84
aut,2012,5.6
aut,2013,5.38
aut,2014,5.72
aut,2015,5.69
aut,2016,5.32
aut,2017,5.16
aut,2018,5.24
aut,2019,5.87
aut,2020,2.21
aze,2002,17.93
aze,2005,20.19
aze,2007,15.87
aze,2008,9.71
aze,2009,15.81
aze,2011,12.45
aze,2012,13.31
aze,2013,12.65
aze,2014,11.34
aze,2015,9.16
aze,2019,56.31
aze,2020,9.81
bdi,2002,27.94
bdi,2003,28.1
bdi,2005,25.16
bdi,2006,15.1
bdi,2007,12.77
bdi,2008,11.69
bdi,2009,15.13
bdi,2010,14.05
bdi,2011,13.53
bdi,2012,18.76
bdi,2013,14.12
bdi,2014,14.95
bdi,2015,13.08
bdi,2016,12.52
bdi,2018,19.31
bdi,2019,19.02
bdi,2020,16.89
bel,1988,5.87
bel,1989,6.23
bel,1990,6.78
bel,1991,6.57
bel,1992,6.61
bel,1993,5.52
bel,1994,5.55
bel,1995,13.06
bel,1996,11.09
bel,1997,9.61
bel,1998,9.21
bel,1999,9.51
bel,2000,7.93
bel,2001,9.87
bel,2002,6.42
bel,2003,6.54
bel,2004,6.85
bel,2005,7.36
bel,2006,7.24
bel,2007,6.51
bel,2008,5.94
bel,2009,6.25
bel,2010,6.3
bel,2011,5.84
bel,2012,5.6
bel,2013,5.38
bel,2014,5.72
bel,2015,5.69
bel,2016,5.32
bel,2017,5.16
bel,2018,5.24
bel,2019,5.87
bel,2020,2.21
ben,2001,15.46
ben,2002,15.36
ben,2003,15.33
ben,2004,15.41
ben,2005,15.37
ben,2006,13.39
ben,2007,13.25
ben,2008,13.25
ben,2009,13.25
ben,2010,13.25
ben,2011,13.24
ben,2012,13.24
ben,2013,13.25
ben,2014,13.32
ben,2015,14.29
ben,2016,13.04
ben,2017,18.44
ben,2018,18.16
ben,2019,15.31
ben,2020,15.31
bfa,1993,5
bfa,2001,13.55
bfa,2002,13.7
bfa,2003,13.81
bfa,2004,13.95
bfa,2005,13.7
bfa,2006,11.13
bfa,2007,11.41
bfa,2008,11.41
bfa,2009,11.41
bfa,2010,11.48
bfa,2011,11.24
bfa,2012,11.16
bfa,2013,11.18
bfa,2014,10.26
bfa,2015,10.51
bfa,2016,12.25
bfa,2017,16.37
bfa,2018,16.44
bfa,2019,14.34
bfa,2020,11.09
bgd,1989,78.85
bgd,1994,81.76
bgd,1998,24.88
bgd,1999,21.79
bgd,2000,21.79
bgd,2001,21.39
bgd,2002,21.46
bgd,2003,19.98
bgd,2004,18.62
bgd,2005,15.79
bgd,2006,15.83
bgd,2007,14.97
bgd,2008,15.85
bgd,2009,14.92
bgd,2010,14.89
bgd,2011,14.58
bgd,2012,15.35
bgd,2013,14.4
bgd,2015,13.13
bgd,2016,13.63
bgd,2019,13.91
bgd,2020,14.53
bgr,1988,5.87
bgr,1989,6.23
bgr,1990,6.78
bgr,1991,6.57
bgr,1992,6.61
bgr,1993,5.52
bgr,1994,5.55
bgr,1995,13.06
bgr,1996,11.09
bgr,1997,9.61
bgr,1998,9.21
bgr,1999,9.51
bgr,2000,7.93
bgr,2001,9.87
bgr,2002,6.42
bgr,2003,6.54
bgr,2004,6.85
bgr,2005,7.36
bgr,2006,7.24
bgr,2007,6.51
bgr,2008,5.94
bgr,2009,6.25
bgr,2010,6.3
bgr,2011,5.84
bgr,2012,5.6
bgr,2013,5.38
bgr,2014,5.72
bgr,2015,5.69
bgr,2016,5.32
bgr,2017,5.16
bgr,2018,5.24
bgr,2019,5.87
bgr,2020,2.21
bhr,1999,8.98
bhr,2000,9.27
bhr,2001,8.88
bhr,2002,7.68
bhr,2003,7.4
bhr,2004,7.41
bhr,2005,5.73
bhr,2006,5.96
bhr,2007,6.13
bhr,2008,5.85
bhr,2009,6.83
bhr,2010,7.6
bhr,2011,6.11
bhr,2012,6.11
bhr,2013,3.82
bhr,2014,3.04
bhr,2015,2.88
bhr,2016,2.95
bhr,2017,5
bhr,2018,3.43
bhr,2019,3.34
bhr,2020,2.9
bhs,1999,25.78
bhs,2002,23.84
bhs,2006,24.38
bhs,2010,22.4
bhs,2011,22.42
bhs,2013,21
bhs,2014,20.89
bhs,2015,19.35
bhs,2016,18.3
bhs,2018,13.98
bih,2001,3.55
bih,2006,10.3
bih,2007,8.49
bih,2008,7.55
bih,2009,5.96
bih,2010,5.27
bih,2011,4.85
bih,2012,3.78
bih,2013,3.19
bih,2014,3.87
bih,2015,2.2
bih,2016,2.48
bih,2017,3.16
bih,2018,3.34
bih,2019,24.33
bih,2020,3.41
blr,1996,9.34
blr,1997,10.44
blr,2000,8.94
blr,2001,8.97
blr,2002,10.54
blr,2008,7.52
blr,2009,7.48
blr,2010,7.75
blr,2011,7.97
blr,2012,7.76
blr,2013,7.46
blr,2014,6.52
blr,2015,5.86
blr,2016,4.98
blr,2017,5.34
blr,2018,5.44
blr,2019,28.25
blr,2020,5.36
blz,1996,22.74
blz,1999,23.76
blz,2001,19.73
blz,2002,19.82
blz,2003,19.14
blz,2006,16.05
blz,2007,15.46
blz,2008,15.75
blz,2009,18.65
blz,2010,18.94
blz,2011,16.14
blz,2012,16.24
blz,2013,16.9
blz,2014,16.9
blz,2015,16.79
blz,2016,17.01
blz,2017,16.95
blz,2018,16.65
blz,2019,16.31
blz,2020,24.15
bmu,2007,17.12
bmu,2008,16.06
bmu,2009,16.24
bmu,2010,16.82
bmu,2011,16.19
bmu,2012,15.6
bmu,2013,13.9
bmu,2014,14.62
bmu,2015,16.54
bmu,2016,16.57
bmu,2017,17.08
bmu,2018,39.42
bmu,2019,129.47
bmu,2020,32.43
bol,1993,9.99
bol,1994,9.99
bol,1995,9.99
bol,1996,9.99
bol,1997,9.99
bol,1998,9.99
bol,1999,9.99
bol,2000,9.86
bol,2001,9.83
bol,2002,10.42
bol,2003,10
bol,2004,8.09
bol,2005,7.48
bol,2006,6.43
bol,2007,6.11
bol,2008,6.17
bol,2009,7.53
bol,2010,8.61
bol,2011,7.38
bol,2012,7.42
bol,2013,7.29
bol,2014,7.45
bol,2015,7.4
bol,2016,7.4
bol,2017,8.89
bol,2018,7.86
bol,2019,7.86
bol,2020,7.74
bra,1989,31.64
bra,1990,23.27
bra,1991,19
bra,1992,20.37
bra,1993,9.06
bra,1994,8.66
bra,1995,9.02
bra,1996,10.34
bra,1997,10.26
bra,1998,12.9
bra,1999,11.22
bra,2000,12.23
bra,2001,11.74
bra,2002,10.86
bra,2003,10.83
bra,2004,9.13
bra,2005,7.97
bra,2006,7.77
bra,2007,7.83
bra,2008,7.89
bra,2009,8.04
bra,2010,7.95
bra,2011,8.18
bra,2012,8.36
bra,2013,9.77
bra,2014,8.5
bra,2015,8.6
bra,2016,8.49
bra,2017,8.54
bra,2018,8.54
bra,2019,8.48
bra,2020,8.58
brb,1996,34.06
brb,1999,31.17
brb,2000,31.95
brb,2001,37.39
brb,2002,37.03
brb,2003,37.08
brb,2004,27.9
brb,2006,23.62
brb,2007,26.36
brb,2010,23.29
brb,2011,22.98
brb,2012,17.4
brb,2013,25.99
brb,2020,19.21
brn,1992,0.85
brn,1996,1.57
brn,1997,1.55
brn,1998,1.58
brn,1999,1.5
brn,2000,1.09
brn,2001,1.51
brn,2002,1.41
brn,2003,1.45
brn,2004,0.91
brn,2005,0.83
brn,2006,0.91
brn,2007,1.76
brn,2008,0.17
brn,2009,0.18
brn,2010,0.27
brn,2011,0.12
brn,2014,0.06
brn,2016,0.09
brn,2017,0.04
brn,2018,0.06
brn,2019,0.05
brn,2020,0.06
btn,1996,20.76
btn,2002,20.8
btn,2004,39.31
btn,2005,39.33
btn,2007,18.84
btn,2015,20.13
btn,2019,14.18
btn,2020,8.42
bwa,2001,7.87
bwa,2002,6.03
bwa,2004,3.19
bwa,2005,7.18
bwa,2006,6.27
bwa,2007,6.04
bwa,2008,6.17
bwa,2009,5.06
bwa,2010,6.58
bwa,2011,5.96
bwa,2012,10.36
bwa,2013,3.82
bwa,2014,4.54
bwa,2015,5.42
bwa,2016,6.43
bwa,2017,3.71
bwa,2018,3.19
bwa,2019,12.92
bwa,2020,4.09
caf,1995,19.43
caf,1997,20.87
caf,2001,23.73
caf,2002,22.72
caf,2003,27.27
caf,2004,27.27
caf,2005,23.48
caf,2006,27.33
caf,2007,17.92
caf,2008,17.92
caf,2009,17.92
caf,2010,17.92
caf,2011,19.41
caf,2012,22.26
caf,2013,17.29
caf,2015,17.14
caf,2016,17.14
caf,2017,17.14
can,1989,4.43
can,1993,3.87
can,1995,8.19
can,1996,7
can,1997,6.17
can,1998,5.56
can,1999,6.47
can,2000,5.06
can,2001,5.57
can,2002,5.27
can,2003,17.41
can,2004,5.2
can,2005,5.3
can,2006,5.16
can,2007,5.05
can,2008,5.03
can,2009,4.94
can,2010,4.79
can,2011,4.89
can,2012,4.48
can,2013,4.34
can,2014,4.45
can,2015,4.51
can,2016,4.38
can,2017,3.73
can,2018,3.67
can,2019,5.06
can,2020,3.72
che,1990,18.42
che,1993,19.38
che,1995,39.94
che,1996,28.02
che,1997,23.66
che,1998,21.72
che,1999,22.49
che,2000,22.31
che,2001,23.7
che,2002,20.62
che,2003,24.39
che,2004,20.38
che,2005,23.87
che,2006,29.15
che,2007,19.78
che,2008,17.55
che,2009,16.93
che,2010,15.36
che,2011,19.88
che,2012,19.25
che,2013,17.99
che,2014,18.38
che,2015,17.93
che,2016,19.67
che,2017,25.75
che,2018,25.37
che,2019,30.47
che,2020,19.87
chl,1992,11
chl,1993,11
chl,1994,11
chl,1995,10.7
chl,1996,11
chl,1997,11
chl,1998,11
chl,1999,10
chl,2000,9
chl,2001,8
chl,2002,7
chl,2003,6
chl,2004,4.41
chl,2005,4.36
chl,2006,1.93
chl,2007,3.14
chl,2008,3.05
chl,2009,3.01
chl,2010,2.88
chl,2011,2.84
chl,2012,2.95
chl,2013,6
chl,2015,1.26
chl,2016,6
chl,2017,1.25
chl,2018,1.2
chl,2019,1.17
chl,2020,1.17
chn,1992,34.67
chn,1993,30.9
chn,1994,29.25
chn,1996,23.71
chn,1997,17.09
chn,1998,16.78
chn,1999,16.67
chn,2000,17.39
chn,2001,16
chn,2002,12.23
chn,2003,10.75
chn,2004,9.78
chn,2005,8.78
chn,2006,8.85
chn,2007,8.86
chn,2008,8.68
chn,2009,8.02
chn,2010,8.19
chn,2011,8
chn,2014,7.55
chn,2015,7.78
chn,2016,8.17
chn,2017,9.08
chn,2018,7.98
chn,2019,6.48
chn,2020,6.51
civ,1993,4.88
civ,1996,4.79
civ,2001,14.98
civ,2002,15.41
civ,2003,15.32
civ,2004,15.85
civ,2005,15.76
civ,2006,15.37
civ,2007,15.28
civ,2008,15.28
civ,2009,15.1
civ,2010,15.15
civ,2011,15.08
civ,2012,14.69
civ,2013,14.69
civ,2014,14.57
civ,2015,15.58
civ,2016,15.43
civ,2017,17.59
civ,2018,16.95
civ,2019,15.6
civ,2020,15.54
cmr,1994,21.78
cmr,1995,21.56
cmr,2001,22.06
cmr,2002,22.24
cmr,2003,23.2
cmr,2004,23.2
cmr,2005,23
cmr,2006,23.12
cmr,2007,21.84
cmr,2008,21.83
cmr,2009,21.94
cmr,2010,21.83
cmr,2011,21.62
cmr,2012,21.95
cmr,2013,21.84
cmr,2014,22.93
cmr,2019,22.02
cod,2003,14.8
cod,2006,14.29
cod,2007,14.16
cod,2008,14.11
cod,2009,14.16
cod,2010,12.08
cod,2014,12.11
cod,2019,12.5
cod,2020,11.78
cog,1994,23.91
cog,1997,17.65
cog,2001,23.47
cog,2002,23.45
cog,2003,23.52
cog,2004,23.52
cog,2005,23.36
cog,2006,23.52
cog,2007,21.03
cog,2008,21.02
cog,2009,21.02
cog,2010,21.02
cog,2011,21.02
cog,2013,22.28
cog,2014,22.23
cog,2015,16.13
col,1991,7.12
col,1992,11.79
col,1994,12.22
col,1995,12.35
col,1996,12.84
col,1997,12.91
col,1998,13.29
col,1999,13.21
col,2000,13.11
col,2001,13.01
col,2002,12.94
col,2003,12.83
col,2004,11.37
col,2005,11.55
col,2006,10
col,2007,9.8
col,2008,9.85
col,2009,9.71
col,2010,10.8
col,2011,7.46
col,2012,6.93
col,2013,7.41
col,2014,6.7
col,2015,9.43
col,2016,8.96
col,2017,4.58
col,2018,3.79
col,2019,3.72
col,2020,3.5
com,2008,4.27
com,2010,4.6
com,2011,4.6
com,2012,7.57
com,2013,8.99
com,2014,9.8
com,2015,8.92
com,2017,8.24
com,2018,9.32
com,2019,9.55
com,2020,9.28
cpv,2005,15.59
cpv,2006,15.48
cpv,2007,15.82
cpv,2008,15.82
cpv,2009,16.15
cpv,2010,16.22
cpv,2011,16.43
cpv,2012,16.3
cpv,2013,16.62
cpv,2015,16.48
cpv,2019,16.43
cpv,2020,16.25
cri,1995,12.45
cri,1996,13.57
cri,1997,10.65
cri,1998,9.87
cri,1999,9.52
cri,2000,8.33
cri,2001,9.85
cri,2002,10.63
cri,2003,8.63
cri,2004,8.85
cri,2005,10.45
cri,2006,8.11
cri,2007,8.49
cri,2008,7.7
cri,2009,6.59
cri,2010,6.08
cri,2011,5.98
cri,2012,5.56
cri,2013,5.56
cri,2014,5.21
cri,2016,5.14
cri,2018,4.86
cri,2019,4.69
cri,2020,4.61
cub,1993,11.83
cub,1996,11.13
cub,1997,11.08
cub,1998,11.13
cub,1999,11.19
cub,2000,11.61
cub,2001,12.03
cub,2002,11.6
cub,2003,12.48
cub,2004,11.31
cub,2005,10.58
cub,2006,10.78
cub,2007,10.8
cub,2008,10.64
cub,2009,11.1
cub,2010,11.03
cub,2011,11.18
cub,2012,11.41
cub,2013,11.55
cub,2015,11.18
cub,2016,11.42
cub,2017,11
cub,2019,11.49
cub,2020,12.23
cym,2016,32.47
cyp,1988,5.87
cyp,1989,6.23
cyp,1990,6.78
cyp,1991,6.57
cyp,1992,6.61
cyp,1993,5.52
cyp,1994,5.55
cyp,1995,13.06
cyp,1996,11.09
cyp,1997,9.61
cyp,1998,9.21
cyp,1999,9.51
cyp,2000,7.93
cyp,2001,9.87
cyp,2002,6.42
cyp,2003,6.54
cyp,2004,6.85
cyp,2005,7.36
cyp,2006,7.24
cyp,2007,6.51
cyp,2008,5.94
cyp,2009,6.25
cyp,2010,6.3
cyp,2011,5.84
cyp,2012,5.6
cyp,2013,5.38
cyp,2014,5.72
cyp,2015,5.69
cyp,2016,5.32
cyp,2017,5.16
cyp,2018,5.24
cyp,2019,5.87
cyp,2020,2.21
cze,1988,5.87
cze,1989,6.23
cze,1990,6.78
cze,1991,6.57
cze,1992,6.61
cze,1993,5.52
cze,1994,5.55
cze,1995,13.06
cze,1996,11.09
cze,1997,9.61
cze,1998,9.21
cze,1999,9.51
cze,2000,7.93
cze,2001,9.87
cze,2002,6.42
cze,2003,6.54
cze,2004,6.85
cze,2005,7.36
cze,2006,7.24
cze,2007,6.51
cze,2008,5.94
cze,2009,6.25
cze,2010,6.3
cze,2011,5.84
cze,2012,5.6
cze,2013,5.38
cze,2014,5.72
cze,2015,5.69
cze,2016,5.32
cze,2017,5.16
cze,2018,5.24
cze,2019,5.87
cze,2020,2.21
deu,1988,5.87
deu,1989,6.23
deu,1990,6.78
deu,1991,6.57
deu,1992,6.61
deu,1993,5.52
deu,1994,5.55
deu,1995,13.06
deu,1996,11.09
deu,1997,9.61
deu,1998,9.21
deu,1999,9.51
deu,2000,7.93
deu,2001,9.87
deu,2002,6.42
deu,2003,6.54
deu,2004,6.85
deu,2005,7.36
deu,2006,7.24
deu,2007,6.51
deu,2008,5.94
deu,2009,6.25
deu,2010,6.3
deu,2011,5.84
deu,2012,5.6
deu,2013,5.38
deu,2014,5.72
deu,2015,5.69
deu,2016,5.32
deu,2017,5.16
deu,2018,5.24
deu,2019,5.87
deu,2020,2.21
dji,1998,31.21
dji,1999,61.71
dji,2002,20.67
dji,2005,20.97
dji,2006,19.48
dji,2009,14.1
dji,2011,14.24
dji,2012,14.24
dji,2014,14.41
dma,1996,22.39
dma,1997,27.24
dma,1998,27.24
dma,1999,21.58
dma,2000,21.26
dma,2001,25.29
dma,2002,24.36
dma,2003,24.21
dma,2006,19.23
dma,2007,19.24
dma,2010,18.44
dma,2011,14.64
dma,2012,14.45
dma,2013,18.53
dma,2015,24.83
dma,2016,18.67
dma,2017,18.26
dma,2020,19.32
dnk,1988,5.87
dnk,1989,6.23
dnk,1990,6.78
dnk,1991,6.57
dnk,1992,6.61
dnk,1993,5.52
dnk,1994,5.55
dnk,1995,13.06
dnk,1996,11.09
dnk,1997,9.61
dnk,1998,9.21
dnk,1999,9.51
dnk,2000,7.93
dnk,2001,9.87
dnk,2002,6.42
dnk,2003,6.54
dnk,2004,6.85
dnk,2005,7.36
dnk,2006,7.24
dnk,2007,6.51
dnk,2008,5.94
dnk,2009,6.25
dnk,2010,6.3
dnk,2011,5.84
dnk,2012,5.6
dnk,2013,5.38
dnk,2014,5.72
dnk,2015,5.69
dnk,2016,5.32
dnk,2017,5.16
dnk,2018,5.24
dnk,2019,5.87
dnk,2020,2.21
dom,1996,13.32
dom,1997,18.97
dom,1998,13.32
dom,1999,13.32
dom,2000,22.99
dom,2001,13.41
dom,2002,13.03
dom,2003,13.15
dom,2004,13.07
dom,2005,12.89
dom,2006,12.39
dom,2007,10.26
dom,2008,11.71
dom,2010,10.68
dom,2011,12.73
dom,2012,12.77
dom,2013,12.65
dom,2015,11.14
dom,2016,10.12
dom,2017,9.24
dom,2018,9.24
dom,2020,8.85
dza,1993,20.39
dza,1997,23.15
dza,1998,22.15
dza,2001,20.81
dza,2002,19.75
dza,2003,18.58
dza,2005,15.92
dza,2006,15.82
dza,2007,16.89
dza,2008,17.22
dza,2009,14.53
dza,2014,16.16
dza,2015,15.72
dza,2016,14.61
dza,2017,14.52
dza,2018,14.68
dza,2019,14.72
dza,2020,14.72
ecu,1993,9.1
ecu,1994,12.04
ecu,1995,11.81
ecu,1996,11.72
ecu,1997,11.85
ecu,1998,11.96
ecu,1999,13.55
ecu,2000,11.57
ecu,2001,11.62
ecu,2002,12.05
ecu,2003,11.88
ecu,2004,10.98
ecu,2005,10.99
ecu,2006,9.02
ecu,2007,8.71
ecu,2008,7.56
ecu,2009,7.34
ecu,2010,9.02
ecu,2011,7.06
ecu,2012,7.27
ecu,2014,6.53
ecu,2015,8.05
ecu,2016,8.27
ecu,2017,6.42
ecu,2018,6.95
ecu,2019,11.24
ecu,2020,6.86
egy,1995,27.98
egy,1998,23.56
egy,1999,52.32
egy,2000,52.34
egy,2001,52.3
egy,2002,19.52
egy,2003,51.43
egy,2004,45.19
egy,2005,37.03
egy,2006,43.29
egy,2007,42.86
egy,2008,37.05
egy,2009,32.75
egy,2010,33.01
egy,2011,30.64
egy,2012,28.77
egy,2013,24.22
egy,2014,23.19
egy,2015,22.97
egy,2016,29.55
egy,2017,39.78
egy,2018,35.27
egy,2019,99.4
eri,2002,10.5
eri,2006,9.24
esp,1988,5.87
esp,1989,6.23
esp,1990,6.78
esp,1991,6.57
esp,1992,6.61
esp,1993,5.52
esp,1994,5.55
esp,1995,13.06
esp,1996,11.09
esp,1997,9.61
esp,1998,9.21
esp,1999,9.51
esp,2000,7.93
esp,2001,9.87
esp,2002,6.42
esp,2003,6.54
esp,2004,6.85
esp,2005,7.36
esp,2006,7.24
esp,2007,6.51
esp,2008,5.94
esp,2009,6.25
esp,2010,6.3
esp,2011,5.84
esp,2012,5.6
esp,2013,5.38
esp,2014,5.72
esp,2015,5.69
esp,2016,5.32
esp,2017,5.16
esp,2018,5.24
esp,2019,5.87
esp,2020,2.21
est,1988,5.87
est,1989,6.23
est,1990,6.78
est,1991,6.57
est,1992,6.61
est,1993,5.52
est,1994,5.55
est,1995,13.06
est,1996,11.09
est,1997,9.61
est,1998,9.21
est,1999,9.51
est,2000,7.93
est,2001,9.87
est,2002,6.42
est,2003,6.54
est,2004,6.85
est,2005,7.36
est,2006,7.24
est,2007,6.51
est,2008,5.94
est,2009,6.25
est,2010,6.3
est,2011,5.84
est,2012,5.6
est,2013,5.38
est,2014,5.72
est,2015,5.69
est,2016,5.32
est,2017,5.16
est,2018,5.24
est,2019,5.87
est,2020,2.21
eth,1995,34.44
eth,2001,21.55
eth,2002,22.06
eth,2006,17.89
eth,2008,19.41
eth,2009,19.86
eth,2010,19.74
eth,2011,19.59
eth,2012,19.89
eth,2015,18.53
eth,2018,18.45
fin,1988,5.87
fin,1989,6.23
fin,1990,6.78
fin,1991,6.57
fin,1992,6.61
fin,1993,5.52
fin,1994,5.55
fin,1995,13.06
fin,1996,11.09
fin,1997,9.61
fin,1998,9.21
fin,1999,9.51
fin,2000,7.93
fin,2001,9.87
fin,2002,6.42
fin,2003,6.54
fin,2004,6.85
fin,2005,7.36
fin,2006,7.24
fin,2007,6.51
fin,2008,5.94
fin,2009,6.25
fin,2010,6.3
fin,2011,5.84
fin,2012,5.6
fin,2013,5.38
fin,2014,5.72
fin,2015,5.69
fin,2016,5.32
fin,2017,5.16
fin,2018,5.24
fin,2019,5.87
fin,2020,2.21
fji,2003,16.23
fji,2004,18.46
fji,2006,21.06
fji,2007,19.89
fji,2008,21.78
fji,2009,19.65
fji,2010,21.3
fji,2011,39.76
fji,2012,21.67
fji,2013,23.68
fji,2015,14.27
fji,2017,27.28
fji,2018,36.05
fji,2019,77.24
fji,2020,34.83
fra,1988,5.87
fra,1989,6.23
fra,1990,6.78
fra,1991,6.57
fra,1992,6.61
fra,1993,5.52
fra,1994,5.55
fra,1995,13.06
fra,1996,11.09
fra,1997,9.61
fra,1998,9.21
fra,1999,9.51
fra,2000,7.93
fra,2001,9.87
fra,2002,6.42
fra,2003,6.54
fra,2004,6.85
fra,2005,7.36
fra,2006,7.24
fra,2007,6.51
fra,2008,5.94
fra,2009,6.25
fra,2010,6.3
fra,2011,5.84
fra,2012,5.6
fra,2013,5.38
fra,2014,5.72
fra,2015,5.69
fra,2016,5.32
fra,2017,5.16
fra,2018,5.24
fra,2019,5.87
fra,2020,2.21
gab,1995,24.05
gab,1998,23.77
gab,2000,23.81
gab,2001,23.73
gab,2002,23
gab,2003,23.01
gab,2004,23.01
gab,2005,22.81
gab,2007,21.38
gab,2008,21.32
gab,2009,21.3
gab,2010,21.17
gab,2011,21.45
gab,2012,20.85
gab,2013,20.83
gab,2015,17.74
gab,2016,20.55
gab,2019,20.19
gbr,2000,7.06
gbr,2001,9.17
gbr,2002,6.29
gbr,2003,6.46
gbr,2004,6.65
gbr,2005,7.07
gbr,2006,7.09
gbr,2007,6.32
gbr,2008,5.9
gbr,2009,6
gbr,2010,5.84
gbr,2011,5.43
gbr,2012,5.36
gbr,2013,5.27
gbr,2014,5.59
gbr,2015,5.56
gbr,2016,5.49
gbr,2017,4.86
gbr,2018,4.72
gbr,2019,4.92
gbr,2020,2.25
geo,1999,11.89
geo,2001,11.78
geo,2002,13.69
geo,2003,12.4
geo,2004,11.9
geo,2005,11.38
geo,2006,8.54
geo,2007,4.46
geo,2008,4.53
geo,2009,3.95
geo,2010,3.75
geo,2011,4.62
geo,2012,4.6
geo,2013,4.1
geo,2015,1.23
geo,2016,4.15
geo,2020,0.93
gha,1993,18.53
gha,2000,21.02
gha,2001,17.31
gha,2002,17.31
gha,2003,17.31
gha,2007,16.74
gha,2008,16.63
gha,2009,16.71
gha,2010,17.04
gha,2013,16.2
gha,2016,15.23
gha,2017,15.94
gha,2018,16.15
gha,2019,16.1
gha,2020,15.94
gin,1998,6.54
gin,2004,6.54
gin,2005,16.44
gin,2008,15.61
gin,2009,15.86
gin,2010,15.59
gin,2012,15.65
gin,2017,18.78
gin,2018,19.13
gin,2019,17.87
gin,2020,18.18
gmb,2003,13.81
gmb,2007,16.95
gmb,2008,16.92
gmb,2009,16.93
gmb,2010,15.64
gmb,2011,15.81
gmb,2012,15.81
gmb,2013,15.77
gmb,2018,19.66
gmb,2020,18.22
gnb,2001,16.54
gnb,2002,16.54
gnb,2003,16.04
gnb,2004,16.31
gnb,2005,16.17
gnb,2006,12.34
gnb,2007,16.38
gnb,2008,14.49
gnb,2009,14.65
gnb,2010,14.92
