geo,time,fs_ast_domo_gd_zs
mar,2015,92.93231
mar,2016,95.29989
mar,2017,95.29292
mar,2018,93.94048
mar,2019,96.77805
mar,2020,106.50156
mda,2010,30.23443
mda,2011,30.77265
mda,2012,35.18463
mda,2013,37.29885
mda,2014,32.48209
mda,2015,30.68822
mda,2016,26.69237
mda,2017,23.58448
mda,2018,23.92641
mda,2019,25.32668
mda,2020,28.38305
mdv,2004,24.67343
mdv,2005,42.11921
mdv,2006,45.47613
mdv,2007,58.83421
mdv,2008,62.49151
mdv,2009,58.45962
mdv,2010,52.23475
mdv,2011,46.68427
mdv,2012,38.81004
mdv,2013,34.44404
mdv,2014,31.49017
mdv,2015,31.73288
mdv,2016,35.96391
mdv,2017,36.39839
mdv,2018,34.86657
mdv,2019,34.32435
mdv,2020,56.8063
mex,2001,13.66319
mex,2002,15.75148
mex,2003,16.52274
mex,2004,16.46673
mex,2005,17.59473
mex,2006,20.5591
mex,2007,22.70136
mex,2008,22.11191
mex,2009,25.71055
mex,2010,26.39873
mex,2011,27.87304
mex,2012,29.7432
mex,2013,33.02424
mex,2014,33.71487
mex,2015,36.48375
mex,2016,38.45312
mex,2017,39.26443
mex,2018,38.35943
mex,2019,40.30274
mex,2020,42.58158
mkd,2012,48.28445
mkd,2013,47.87682
mkd,2014,50.81967
mkd,2015,52.34448
mkd,2016,49.32036
mkd,2017,50.25093
mkd,2018,50.58291
mkd,2019,51.57625
mkd,2020,56.51546
nam,2015,67.84865
nam,2016,70.73566
nam,2017,67.9241
nam,2018,67.74848
nam,2019,73.03215
nam,2020,74.45149
nic,2001,14.05537
nic,2002,15.49081
nic,2003,18.36066
nic,2004,20.57022
nic,2005,23.41728
nic,2006,27.15656
nic,2007,33.69782
nic,2008,31.90584
nic,2009,29.02639
nic,2010,27.21667
nic,2011,26.60725
nic,2012,29.00748
nic,2013,32.32631
nic,2014,34.35385
nic,2015,37.35877
nic,2016,39.26676
nic,2017,43.47549
nic,2018,40.52293
nic,2019,33.50872
nic,2020,30.4294
nor,2001,106.22142
nor,2002,112.58014
nor,2003,117.99415
nor,2004,116.8897
nor,2005,118.21794
nor,2006,107.76378
nor,2007,118.36192
nor,2008,132.79645
nor,2009,142.99659
nor,2010,144.05129
nor,2011,141.44269
nor,2012,139.65239
nor,2013,142.16485
nor,2014,145.6674
nor,2015,156.3722
nor,2016,164.51858
nor,2017,164.96461
nor,2018,160.71367
nor,2019,168.46513
nor,2020,185.55527
nzl,2014,151.6125
nzl,2015,154.69153
nzl,2016,158.73879
nzl,2017,156.62099
nzl,2018,157.0482
nzl,2019,159.9118
nzl,2020,166.80174
pan,2010,84.3118
pan,2011,83.03516
pan,2012,82.19027
pan,2013,67.43259
pan,2014,83.60996
pan,2015,85.83492
pan,2016,87.1487
pan,2017,87.46621
pan,2018,87.1655
pan,2019,86.92944
pan,2020,106.99344
phl,2017,64.55202
phl,2018,65.63195
phl,2019,66.67115
phl,2020,74.12606
png,2009,22.42514
png,2010,21.82486
png,2011,21.42537
png,2012,23.8404
png,2013,25.61621
png,2014,25.35705
png,2015,26.56816
png,2016,25.94645
png,2017,22.9227
png,2018,21.9603
png,2019,21.4496
png,2020,20.93654
rus,2017,78.59969
rus,2018,77.04557
rus,2019,79.23873
rus,2020,90.84702
slb,2001,23.43562
slb,2002,22.6971
slb,2003,21.76995
slb,2004,21.46228
slb,2005,21.5131
slb,2006,23.91838
slb,2007,28.30215
slb,2008,29.99711
slb,2009,27.77703
slb,2010,24.54533
slb,2011,21.47779
slb,2012,21.10945
slb,2013,30.68675
slb,2014,32.98854
slb,2015,34.28156
slb,2016,35.39351
slb,2017,33.94328
slb,2018,33.74029
slb,2019,33.85513
slb,2020,34.3912
slv,2001,46.14664
slv,2002,46.11717
slv,2003,47.9899
slv,2004,48.84049
slv,2005,56.54015
slv,2006,51.36741
slv,2007,52.47828
slv,2008,52.01765
slv,2009,50.89458
slv,2010,48.64874
slv,2011,46.39655
slv,2012,45.86413
slv,2013,48.86635
slv,2014,50.90622
slv,2015,51.93793
slv,2016,52.89197
slv,2017,53.62376
slv,2018,54.85995
slv,2019,56.72275
slv,2020,63.601
tha,2007,115.17127
tha,2008,112.83615
tha,2009,117.15177
tha,2010,123.74887
tha,2011,136.87724
tha,2012,142.87942
tha,2013,147.56607
tha,2014,151.87858
tha,2015,154.2483
tha,2016,152.19828
tha,2017,150.94393
tha,2018,150.26871
tha,2019,149.77275
tha,2020,166.54055
tjk,2008,27.62767
tjk,2009,23.51215
tjk,2010,15.66675
tjk,2011,17.17773
tjk,2012,16.74647
tjk,2013,20.83681
tjk,2014,23.79251
tjk,2015,24.86083
tjk,2016,22.36567
tjk,2017,16.39764
tjk,2018,14.9989
tjk,2019,14.92425
tjk,2020,15.93754
tur,2008,34.57853
tur,2009,38.20902
tur,2010,45.23734
tur,2011,49.77502
tur,2012,52.56132
tur,2013,61.06627
tur,2014,64.25731
tur,2015,67.38279
tur,2016,70.40729
tur,2017,71.60479
tur,2018,68.69065
tur,2019,66.95304
tur,2020,76.57796
uga,2011,11.7242
uga,2012,12.30621
uga,2013,12.38652
uga,2014,13.13365
uga,2015,13.98587
uga,2016,13.87371
uga,2017,13.72261
uga,2018,13.88271
uga,2019,14.08903
uga,2020,14.45637
ukr,2008,88.43893
ukr,2009,92.28887
ukr,2010,80.40629
ukr,2011,73.21077
ukr,2012,71.91294
ukr,2013,75.37197
ukr,2014,80.54242
ukr,2015,61.6903
ukr,2016,51.02335
ukr,2017,41.3362
ukr,2018,37.07919
ukr,2019,31.7371
ukr,2020,30.10763
usa,2001,179.59256
usa,2002,171.29432
usa,2003,186.85459
usa,2004,194.44718
usa,2005,198.46803
usa,2006,208.39085
usa,2007,217.45645
usa,2008,196.75073
usa,2009,200.2935
usa,2010,194.6959
usa,2011,187.19491
usa,2012,188.19177
usa,2013,196.10867
usa,2014,196.43799
usa,2015,190.96229
usa,2016,193.36285
usa,2017,201.71696
usa,2018,189.34604
usa,2019,200.93132
usa,2020,226.93334
wsm,2007,62.96384
wsm,2008,63.27327
wsm,2009,66.05385
wsm,2010,67.80712
wsm,2011,68.67355
wsm,2012,70.37025
wsm,2013,75.44475
wsm,2014,82.31582
wsm,2015,79.90584
wsm,2016,82.40346
wsm,2017,85.85451
wsm,2018,89.30751
wsm,2019,91.61798
wsm,2020,96.10971
zaf,2001,130.36592
zaf,2002,106.18831
zaf,2003,113.79865
zaf,2004,122.57083
zaf,2005,135.49888
zaf,2006,152.7581
zaf,2007,156.83327
zaf,2008,137.51682
zaf,2009,134.97064
zaf,2010,139.21102
zaf,2011,132.37225
zaf,2012,138.99922
zaf,2013,140.09635
zaf,2014,141.61055
zaf,2015,137.11706
zaf,2016,134.78041
zaf,2017,136.57027
zaf,2018,128.04558
zaf,2019,127.32841
zaf,2020,119.48612
zmb,2011,13.90605
zmb,2012,16.5384
zmb,2013,16.11306
zmb,2014,17.25007
zmb,2015,19.94784
zmb,2016,15.57957
zmb,2017,15.08807
zmb,2018,15.32096
zmb,2019,16.06346
zmb,2020,16.50059
