geo,time,sl_tlf_acti_1524_fe_ne_zs
mac,2011,53.15
mac,2012,49.75
mac,2013,51.7
mac,2014,50.71
mac,2015,49.21
mac,2016,45.85
mar,1960,8.55
mar,1971,15.22
mar,1982,19.63
mar,1990,23.02
mar,1994,23.13
mar,1995,31.25
mar,1998,20.81
mar,1999,29.41
mar,2000,28.2
mar,2001,21.24
mar,2002,21.02
mar,2003,23.81
mar,2004,25.13
mar,2005,23.33
mar,2006,22.91
mar,2007,25.64
mar,2008,21.31
mar,2009,21.62
mar,2010,18.97
mar,2011,18.39
mar,2012,17.28
mar,2013,17.03
mar,2014,17.84
mar,2015,17.47
mar,2016,15.71
mda,1989,54.18
mda,2002,29.64
mda,2003,22.38
mda,2004,20.98
mda,2005,20.5
mda,2006,19.81
mda,2007,17.72
mda,2008,18.41
mda,2009,19.08
mda,2010,19.54
mda,2011,20.28
mda,2012,18.01
mda,2013,17.78
mda,2014,17.27
mda,2015,18.65
mda,2016,18.17
mda,2017,18.73
mda,2018,20.68
mda,2019,18.22
mda,2020,15.37
mdg,1975,63.13
mdg,2003,67.26
mdg,2005,73.06
mdg,2012,89.96
mdg,2015,72.92
mdv,1977,56.34
mdv,1985,21.62
mdv,1990,18.37
mdv,1995,22.36
mdv,2000,30.07
mdv,2009,38.14
mdv,2014,42.72
mdv,2016,41.63
mdv,2019,44.86
mex,1960,17.95
mex,1970,22.35
mex,1978,33.72
mex,1979,35.51
mex,1980,31.54
mex,1990,23.02
mex,1991,34.54
mex,1992,35.22
mex,1993,35.94
mex,1994,35.83
mex,1995,37.28
mex,1996,35.99
mex,1997,36.7
mex,1998,37.43
mex,1999,36.47
mex,2000,36.29
mex,2001,34.64
mex,2002,32.68
mex,2003,32.63
mex,2004,32.47
mex,2005,34.32
mex,2006,34.98
mex,2007,35.09
mex,2008,34.13
mex,2009,33.38
mex,2010,33.28
mex,2011,33.26
mex,2012,33.78
mex,2013,33.05
mex,2014,31.99
mex,2015,31.56
mex,2016,31.16
mex,2017,30.74
mex,2018,30.87
mex,2019,32.4
mex,2020,28.65
mhl,2019,9.46
mkd,1991,38.88
mkd,1994,34.46
mkd,1997,35.1
mkd,1998,34.9
mkd,1999,31.24
mkd,2000,31.3
mkd,2001,35
mkd,2002,28.32
mkd,2003,29.74
mkd,2006,29.25
mkd,2007,27.47
mkd,2008,28.09
mkd,2009,26.2
mkd,2010,24.03
mkd,2011,23.88
mkd,2012,26.24
mkd,2013,27.06
mkd,2014,25.12
mkd,2015,25.15
mkd,2016,22.99
mkd,2017,23.36
mkd,2018,22.48
mkd,2019,25.83
mkd,2020,23.36
