geo,time,ic_imp_csbc_cd
cri,2016,420
cri,2017,420
cri,2018,420
cri,2019,500
cyp,2014,335
cyp,2015,335
cyp,2016,335
cyp,2017,335
cyp,2018,335
cyp,2019,335
cze,2014,0
cze,2015,0
cze,2016,0
cze,2017,0
cze,2018,0
cze,2019,0
deu,2014,0
deu,2015,0
deu,2016,0
deu,2017,0
deu,2018,0
deu,2019,0
dji,2014,1055
dji,2015,1055
dji,2016,1055
dji,2017,1055
dji,2018,1055
dji,2019,1055
dma,2014,905.5556
dma,2015,905.5556
dma,2016,905.5556
dma,2017,905.5556
dma,2018,905.5556
dma,2019,905.5556
dnk,2014,0
dnk,2015,0
dnk,2016,0
dnk,2017,0
dnk,2018,0
dnk,2019,0
dom,2014,579.1667
dom,2015,579.1667
dom,2016,579.1667
dom,2017,579.1667
dom,2018,579.1667
dom,2019,579.1667
dza,2014,408.7778
dza,2015,408.7778
dza,2016,408.7778
dza,2017,408.7778
dza,2018,408.7778
dza,2019,408.7778
ecu,2014,250
ecu,2015,250
ecu,2016,250
ecu,2017,250
ecu,2018,250
ecu,2019,250
egy,2014,553.6667
egy,2015,553.6667
egy,2016,553.6667
egy,2017,553.6667
egy,2018,553.6667
egy,2019,553.6667
esp,2014,0
esp,2015,0
esp,2016,0
esp,2017,0
esp,2018,0
esp,2019,0
est,2014,0
est,2015,0
est,2016,0
est,2017,0
est,2018,0
est,2019,0
eth,2014,120
eth,2015,120
eth,2016,120
eth,2017,120
eth,2018,120
eth,2019,120
fin,2014,0
fin,2015,0
fin,2016,0
fin,2017,0
fin,2018,0
fin,2019,0
fji,2014,319.8333
fji,2015,319.8333
fji,2016,319.8333
fji,2017,319.8333
fji,2018,319.8333
fji,2019,319.8333
fra,2014,0
fra,2015,0
fra,2016,0
fra,2017,0
fra,2018,0
fra,2019,0
fsm,2014,180
fsm,2015,180
fsm,2016,180
fsm,2017,180
fsm,2018,180
fsm,2019,180
gab,2014,1152.5
gab,2015,1152.5
gab,2016,1320
gab,2017,1320
gab,2018,1320
gab,2019,1320
gbr,2014,0
gbr,2015,0
gbr,2016,0
gbr,2017,0
gbr,2018,0
gbr,2019,0
geo,2014,396.4286
geo,2015,396.4286
geo,2016,396.4286
geo,2017,396.4286
geo,2018,396.4286
geo,2019,396.4286
gha,2014,552.8571
gha,2015,552.8571
gha,2016,552.8571
gha,2017,552.8571
gha,2018,552.8571
gha,2019,552.8571
gin,2014,908.5714
gin,2015,908.5714
gin,2016,908.5714
gin,2017,908.5714
gin,2018,808.5714
gin,2019,808.5714
gmb,2014,325.625
gmb,2015,325.625
gmb,2016,325.625
gmb,2017,325.625
gmb,2018,325.625
gmb,2019,325.625
gnb,2014,550
gnb,2015,550
gnb,2016,550
gnb,2017,550
gnb,2018,550
gnb,2019,550
gnq,2014,985
gnq,2015,985
gnq,2016,985
gnq,2017,985
gnq,2018,985
gnq,2019,985
grc,2014,0
grc,2015,0
grc,2016,0
grc,2017,0
grc,2018,0
grc,2019,0
grd,2014,1606
grd,2015,1606
grd,2016,1256
grd,2017,1256
grd,2018,1256
grd,2019,1256
gtm,2014,405
gtm,2015,405
gtm,2016,405
gtm,2017,405
gtm,2018,405
gtm,2019,405
guy,2014,265
guy,2015,265
guy,2016,265
guy,2017,265
guy,2018,265
guy,2019,265
hkg,2014,265.625
hkg,2015,265.625
hkg,2016,265.625
hkg,2017,265.625
hkg,2018,265.625
hkg,2019,265.625
hnd,2014,475
hnd,2015,475
hnd,2016,482.76
hnd,2017,482.76
hnd,2018,482.76
hnd,2019,482.76
hrv,2014,0
hrv,2015,0
hrv,2016,0
hrv,2017,0
hrv,2018,0
hrv,2019,0
hti,2014,582.5
hti,2015,582.5
hti,2016,582.5
hti,2017,562.5
hti,2018,562.5
hti,2019,562.5
hun,2014,0
hun,2015,0
hun,2016,0
hun,2017,0
hun,2018,0
hun,2019,0
idn,2014,382.5867
idn,2015,382.5867
idn,2016,382.5867
idn,2017,382.5867
idn,2018,382.5867
idn,2019,382.5867
ind,2014,574.0398
ind,2015,574.0398
ind,2016,574.0398
ind,2017,543.2126
ind,2018,330.99
ind,2019,266.11
irl,2014,253
irl,2015,253
irl,2016,253
irl,2017,253
irl,2018,253
irl,2019,253
irn,2014,660.3846
irn,2015,660.3846
irn,2016,660.3846
irn,2017,660.3846
irn,2018,660.3846
irn,2019,660.3846
irq,2014,644.4444
irq,2015,644.4444
irq,2016,644.4444
irq,2017,644.4444
irq,2018,644.4444
irq,2019,644.4444
isl,2014,365
isl,2015,365
isl,2016,365
isl,2017,365
isl,2018,365
isl,2019,365
isr,2014,306.6667
isr,2015,306.6667
isr,2016,306.6667
isr,2017,306.6667
isr,2018,306.6667
isr,2019,306.6667
ita,2014,0
ita,2015,0
ita,2016,0
ita,2017,0
ita,2018,0
ita,2019,0
jam,2014,906
jam,2015,906
jam,2016,906
jam,2017,906
jam,2018,906
jam,2019,906
jor,2014,205.7143
jor,2015,205.7143
jor,2016,205.7143
jor,2017,205.7143
jor,2018,205.7143
jor,2019,205.7143
jpn,2014,299.2083
jpn,2015,299.2083
jpn,2016,299.2083
jpn,2017,299.2083
jpn,2018,314.8417
jpn,2019,314.8417
kaz,2014,0
kaz,2015,0
kaz,2016,0
kaz,2017,0
kaz,2018,0
kaz,2019,0
ken,2014,832.5
ken,2015,832.5
ken,2016,832.5
ken,2017,832.5
ken,2018,832.5
ken,2019,832.5
kgz,2014,511.5
kgz,2015,511.5
kgz,2016,511.5
kgz,2017,511.5
kgz,2018,499.0909
kgz,2019,499.0909
khm,2014,240
khm,2015,240
khm,2016,240
khm,2017,240
khm,2018,240
khm,2019,240
kir,2014,685
kir,2015,685
kir,2016,685
kir,2017,685
kir,2018,685
kir,2019,685
kna,2014,310.7143
kna,2015,310.7143
kna,2016,310.7143
kna,2017,310.7143
kna,2018,310.7143
kna,2019,310.7143
kor,2014,314.6389
kor,2015,314.6389
kor,2016,314.6389
kor,2017,314.6389
kor,2018,314.6389
kor,2019,314.6389
kos,2014,128.3333
kos,2015,128.3333
kos,2016,128.3333
kos,2017,128.3333
kos,2018,128.3333
kos,2019,128.3333
kwt,2014,633.7273
kwt,2015,633.7273
kwt,2016,633.7273
kwt,2017,633.7273
kwt,2018,633.7273
kwt,2019,633.7273
lao,2014,223.5
lao,2015,223.5
lao,2016,223.5
lao,2017,223.5
lao,2018,223.5
lao,2019,223.5
lbn,2014,790
lbn,2015,790
lbn,2016,790
lbn,2017,790
lbn,2018,790
lbn,2019,790
lbr,2014,1007.5
lbr,2015,1007.5
lbr,2016,1012.5
lbr,2017,1012.5
lbr,2018,1012.5
lbr,2019,1012.5
lby,2014,637.4286
lby,2015,637.4286
lby,2016,637.4286
lby,2017,637.4286
lby,2018,637.4286
lby,2019,637.4286
lca,2014,842.0545
lca,2015,842.0545
lca,2016,842.0545
lca,2017,842.0545
lca,2018,842.0545
lca,2019,842.0545
lie,2018,115
lie,2019,115
lka,2014,299.6667
lka,2015,299.6667
lka,2016,299.6667
lka,2017,299.6667
lka,2018,299.6667
lka,2019,299.6667
lso,2014,150
lso,2015,150
lso,2016,150
lso,2017,150
lso,2018,150
lso,2019,150
ltu,2014,0
ltu,2015,0
ltu,2016,0
ltu,2017,0
ltu,2018,0
ltu,2019,0
lux,2014,0
lux,2015,0
lux,2016,0
lux,2017,0
lux,2018,0
lux,2019,0
lva,2014,0
lva,2015,0
lva,2016,0
lva,2017,0
lva,2018,0
lva,2019,0
mar,2014,228.1111
mar,2015,228.1111
mar,2016,228.1111
mar,2017,228.1111
mar,2018,228.1111
mar,2019,228.1111
mda,2014,82.77778
mda,2015,82.77778
mda,2016,82.77778
mda,2017,82.77778
mda,2018,82.77778
mda,2019,82.77778
mdg,2014,430
mdg,2015,595
mdg,2016,595
mdg,2017,595
mdg,2018,595
mdg,2019,595
mdv,2014,980.5
mdv,2015,980.5
mdv,2016,980.5
mdv,2017,980.5
mdv,2018,980.5
mdv,2019,980.5
mex,2014,450
mex,2015,450
mex,2016,450
mex,2017,450
mex,2018,450
mex,2019,450
mhl,2014,297.5
mhl,2015,297.5
mhl,2016,297.5
mhl,2017,297.5
mhl,2018,297.5
mhl,2019,297.5
mkd,2014,150
mkd,2015,150
mkd,2016,150
mkd,2017,150
mkd,2018,150
mkd,2019,150
mli,2014,545
mli,2015,545
mli,2016,545
mli,2017,545
mli,2018,545
mli,2019,545
mlt,2014,230
mlt,2015,230
mlt,2016,230
mlt,2017,230
mlt,2018,230
mlt,2019,230
mmr,2014,366.6667
mmr,2015,366.6667
mmr,2016,456.6667
mmr,2017,456.6667
mmr,2018,456.6667
mmr,2019,456.6667
mne,2014,305.5556
mne,2015,305.5556
mne,2016,305.5556
mne,2017,305.5556
mne,2018,305.5556
mne,2019,305.5556
mng,2014,209.7778
mng,2015,209.7778
mng,2016,209.7778
mng,2017,209.7778
mng,2018,209.7778
mng,2019,209.7778
moz,2014,399
moz,2015,399
moz,2016,399
moz,2017,399
moz,2018,399
moz,2019,399
mrt,2014,582
mrt,2015,582
mrt,2016,582
mrt,2017,580
mrt,2018,580
mrt,2019,580
mus,2014,372.125
mus,2015,372.125
mus,2016,372.125
mus,2017,372.125
mus,2018,372.125
mus,2019,372.125
mwi,2014,143.4615
mwi,2015,143.4615
mwi,2016,143.4615
mwi,2017,143.4615
mwi,2018,143.4615
mwi,2019,143.4615
mys,2014,274
mys,2015,274
mys,2016,274
mys,2017,274
mys,2018,212.5
mys,2019,212.5
nam,2014,145
nam,2015,145
nam,2016,145
nam,2017,145
nam,2018,145
nam,2019,145
ner,2014,461.5
ner,2015,761.5
ner,2016,461.5
ner,2017,461.5
ner,2018,461.5
ner,2019,461.5
nga,2014,1076.786
nga,2015,1076.786
nga,2016,1076.786
nga,2017,1076.786
nga,2018,1076.786
nga,2019,1076.786
nic,2014,329.7778
nic,2015,329.7778
nic,2016,399.7778
nic,2017,399.7778
nic,2018,399.7778
nic,2019,399.7778
nld,2014,0
nld,2015,0
nld,2016,0
nld,2017,0
nld,2018,0
nld,2019,0
nor,2014,125
nor,2015,125
nor,2016,125
nor,2017,125
nor,2018,125
nor,2019,125
npl,2014,155.5556
npl,2015,155.5556
npl,2016,190
npl,2017,190
npl,2018,190
npl,2019,190
nzl,2014,366.5
nzl,2015,366.5
nzl,2016,366.5
nzl,2017,366.5
nzl,2018,366.5
nzl,2019,366.5
omn,2014,353.5714
omn,2015,353.5714
omn,2016,353.5714
omn,2017,393.5714
omn,2018,393.5714
omn,2019,243.5714
pak,2014,307.5714
pak,2015,307.5714
pak,2016,307.5714
pak,2017,287
pak,2018,287
pak,2019,287
pan,2014,490
pan,2015,490
pan,2016,490
pan,2017,490
pan,2018,490
pan,2019,490
per,2014,709
per,2015,700
per,2016,700
per,2017,700
per,2018,700
per,2019,700
phl,2014,689.5
phl,2015,689.5
phl,2016,689.5
phl,2017,689.5
phl,2018,689.5
phl,2019,689.5
plw,2014,605
plw,2015,605
plw,2016,605
plw,2017,605
plw,2018,605
plw,2019,605
png,2014,790
png,2015,790
png,2016,790
png,2017,790
png,2018,790
png,2019,940
pol,2014,0
pol,2015,0
pol,2016,0
pol,2017,0
pol,2018,0
pol,2019,0
pri,2014,385.7143
pri,2015,385.7143
pri,2016,385.7143
pri,2017,385.7143
pri,2018,385.7143
pri,2019,385.7143
prt,2014,0
prt,2015,0
prt,2016,0
prt,2017,0
prt,2018,0
prt,2019,0
pry,2014,500
pry,2015,500
pry,2016,500
pry,2017,500
pry,2018,500
pry,2019,500
pse,2014,50
pse,2015,50
pse,2016,50
pse,2017,50
pse,2018,50
pse,2019,50
qat,2014,422.7778
qat,2015,557.7778
qat,2016,557.7778
qat,2017,557.7778
qat,2018,557.7778
qat,2019,557.7778
rou,2014,0
rou,2015,0
rou,2016,0
rou,2017,0
rou,2018,0
rou,2019,0
rus,2014,550
rus,2015,550
rus,2016,550
rus,2017,520
rus,2018,520
rus,2019,520
rwa,2014,285.3571
rwa,2015,530.3571
rwa,2016,282.1429
rwa,2017,282.1429
rwa,2018,282.1429
rwa,2019,282.1429
sau,2014,778.8462
sau,2015,778.8462
sau,2016,778.8462
sau,2017,778.8462
sau,2018,778.8462
sau,2019,464.4615
sdn,2014,1092.5
sdn,2015,1092.5
sdn,2016,1092.5
sdn,2017,1092.5
sdn,2018,1092.5
sdn,2019,1092.5
sen,2014,701.6667
sen,2015,701.6667
sen,2016,701.6667
sen,2017,701.6667
sen,2018,701.6667
sen,2019,701.6667
sgp,2014,220
sgp,2015,220
sgp,2016,220
sgp,2017,220
sgp,2018,220
sgp,2019,220
slb,2014,740
slb,2015,740
slb,2016,740
slb,2017,740
slb,2018,740
slb,2019,740
sle,2014,821
sle,2015,821
sle,2016,821
sle,2017,821
sle,2018,821
sle,2019,821
slv,2014,128.3333
slv,2015,128.3333
slv,2016,128.3333
slv,2017,128.3333
slv,2018,128.3333
slv,2019,128.3333
smr,2014,50
smr,2015,50
smr,2016,50
smr,2017,50
smr,2018,50
smr,2019,50
som,2015,952
som,2016,952
som,2017,952
som,2018,952
som,2019,952
srb,2014,52
srb,2015,52
srb,2016,52
srb,2017,52
srb,2018,52
srb,2019,52
ssd,2014,781.25
ssd,2015,781.25
ssd,2016,781.25
ssd,2017,781.25
ssd,2018,781.25
ssd,2019,781.25
stp,2014,406
stp,2015,406
stp,2016,406
stp,2017,406
stp,2018,406
stp,2019,406
sur,2014,505
sur,2015,505
sur,2016,658
sur,2017,658
sur,2018,658
sur,2019,658
svk,2014,0
svk,2015,0
svk,2016,0
svk,2017,0
svk,2018,0
svk,2019,0
svn,2014,0
svn,2015,0
svn,2016,0
svn,2017,0
svn,2018,0
svn,2019,0
swe,2014,0
swe,2015,0
swe,2016,0
swe,2017,0
swe,2018,0
swe,2019,0
swz,2014,134.4444
swz,2015,134.4444
swz,2016,134.4444
swz,2017,134.4444
swz,2018,134.4444
swz,2019,134.4444
syc,2014,340.625
syc,2015,340.625
syc,2016,340.625
syc,2017,340.625
syc,2018,340.625
syc,2019,340.625
syr,2014,827.7778
syr,2015,827.7778
syr,2016,827.7778
syr,2017,827.7778
syr,2018,827.7778
syr,2019,827.7778
tcd,2014,965
tcd,2015,965
tcd,2016,965
tcd,2017,965
tcd,2018,965
tcd,2019,965
tgo,2014,611.6667
tgo,2015,611.6667
tgo,2016,611.6667
tgo,2017,611.6667
tgo,2018,611.6667
tgo,2019,611.6667
tha,2014,232.5455
tha,2015,232.5455
tha,2016,232.5455
tha,2017,232.5455
tha,2018,232.5455
tha,2019,232.5455
tjk,2014,223.3333
tjk,2015,223.3333
tjk,2016,223.3333
tjk,2017,223.3333
tjk,2018,223.3333
tjk,2019,223.3333
tls,2014,410
tls,2015,410
tls,2016,410
tls,2017,410
tls,2018,410
tls,2019,410
ton,2014,330
ton,2015,330
ton,2016,330
ton,2017,330
ton,2018,330
ton,2019,330
tto,2014,635
tto,2015,635
tto,2016,635
tto,2017,635
tto,2018,635
tto,2019,635
tun,2014,596.1538
tun,2015,596.1538
tun,2016,596.1538
tun,2017,596.1538
tun,2018,596.1538
tun,2019,596.1538
tur,2014,266.5385
tur,2015,266.5385
tur,2016,266.5385
tur,2017,266.5385
tur,2018,46
tur,2019,46
tza,2014,1350
tza,2015,1350
tza,2016,1350
tza,2017,1350
tza,2018,1350
tza,2019,1350
uga,2014,446.6875
uga,2015,446.6875
uga,2016,446.6875
uga,2017,446.6875
uga,2018,446.6875
uga,2019,446.6875
ukr,2014,100
ukr,2015,100
ukr,2016,100
ukr,2017,100
ukr,2018,100
ukr,2019,100
ury,2014,500
ury,2015,500
ury,2016,500
ury,2017,500
ury,2018,500
ury,2019,500
usa,2014,175
usa,2015,175
usa,2016,175
usa,2017,175
usa,2018,175
usa,2019,175
uzb,2014,277.8947
uzb,2015,277.8947
uzb,2016,277.8947
uzb,2017,277.8947
uzb,2018,277.8947
uzb,2019,277.8947
vct,2014,540
vct,2015,540
vct,2016,540
vct,2017,540
vct,2018,540
vct,2019,540
ven,2014,1500
ven,2015,1500
ven,2016,1500
ven,2017,1500
ven,2018,1500
vnm,2014,392.0833
vnm,2015,392.0833
vnm,2016,392.0833
vnm,2017,373
vnm,2018,373
vnm,2019,373
vut,2014,680.625
vut,2015,680.625
vut,2016,680.625
vut,2017,680.625
vut,2018,680.625
vut,2019,680.625
wsm,2014,900
wsm,2015,900
wsm,2016,900
wsm,2017,900
wsm,2018,900
wsm,2019,900
zaf,2014,667.5
zaf,2015,667.5
zaf,2016,667.5
zaf,2017,667.5
zaf,2018,676
zaf,2019,676
zmb,2014,380
zmb,2015,380
zmb,2016,380
zmb,2017,380
zmb,2018,380
zmb,2019,380
zwe,2014,211.6667
zwe,2015,211.6667
zwe,2016,561.6667
zwe,2017,561.6667
zwe,2018,561.6667
zwe,2019,561.6667
