geo,time,sh_dth_comm_zs
nic,2019,9.45054
nld,2000,7.14
nld,2010,6.38228
nld,2015,5.79152
nld,2019,6.00082
nor,2000,7.41889
nor,2010,6.87863
nor,2015,7.42235
nor,2019,7.67958
npl,2000,57.93932
npl,2010,36.81961
npl,2015,27.52666
npl,2019,24.82083
nzl,2000,2.73724
nzl,2010,3.65339
nzl,2015,4.30923
nzl,2019,4.35473
omn,2000,13.21299
omn,2010,9.67244
omn,2015,9.83759
omn,2019,9.76462
pak,2000,48.20694
pak,2010,39.21033
pak,2015,35.87852
pak,2019,33.14796
pan,2000,18.77536
pan,2010,17.7646
pan,2015,15.27857
pan,2019,13.36727
per,2000,33.04297
per,2010,21.69958
per,2015,19.14185
per,2019,17.53758
phl,2000,35.76832
phl,2010,28.22277
phl,2015,25.72673
phl,2019,24.28166
png,2000,49.87081
png,2010,40.16885
png,2015,33.16449
png,2019,30.27203
pol,2000,3.94573
pol,2010,3.95535
pol,2015,4.83864
pol,2019,5.85222
prk,2000,45.70788
prk,2010,16.41386
prk,2015,10.37918
prk,2019,12.79434
prt,2000,8.46686
prt,2010,9.16058
prt,2015,9.31753
prt,2019,8.517
pry,2000,26.07677
pry,2010,18.27843
pry,2015,14.96162
pry,2019,13.95407
qat,2000,6.50956
qat,2010,5.7092
qat,2015,5.6826
qat,2019,4.95049
rou,2000,4.66262
rou,2010,3.47353
rou,2015,4.09772
rou,2019,5.3277
rus,2000,4.27802
rus,2010,4.2309
rus,2015,4.11293
rus,2019,3.90345
rwa,2000,62.72048
rwa,2010,49.6738
rwa,2015,42.22741
rwa,2019,38.18092
sau,2000,15.16812
sau,2010,9.83145
sau,2015,7.95388
sau,2019,7.13056
sdn,2000,53.94573
sdn,2010,44.79892
sdn,2015,38.13089
sdn,2019,35.54565
sen,2000,63.79733
sen,2010,51.82297
sen,2015,46.82701
sen,2019,43.75461
sgp,2000,13.6714
sgp,2010,17.33075
sgp,2015,20.17741
sgp,2019,20.70522
slb,2000,41.39685
slb,2010,28.10384
slb,2015,24.58431
slb,2019,23.39944
sle,2000,74.62502
sle,2010,67.87887
sle,2015,65.28889
sle,2019,56.67576
slv,2000,21.63291
slv,2010,15.07206
slv,2015,15.41596
slv,2019,15.79892
som,2000,70.95346
som,2010,66.16935
som,2015,64.08664
som,2019,61.01646
srb,2000,2.67839
srb,2010,1.68284
srb,2015,2.59481
srb,2019,2.70973
ssd,2000,74.60906
ssd,2010,67.91377
ssd,2015,62.96907
ssd,2019,61.30458
stp,2000,57.34689
stp,2010,40.2552
stp,2015,35.13556
stp,2019,30.95466
sur,2000,20.47137
sur,2010,16.28463
sur,2015,13.9781
sur,2019,11.81466
svk,2000,4.15804
svk,2010,5.05859
svk,2015,4.72323
svk,2019,5.10478
svn,2000,5.37217
svn,2010,3.82672
svn,2015,4.67377
svn,2019,2.65496
swe,2000,5.45654
swe,2010,4.53888
swe,2015,5.87383
swe,2019,5.91546
swz,2000,62.61151
swz,2010,51.41138
swz,2015,46.19156
swz,2019,42.0794
syc,2000,12.30757
syc,2010,13.60871
syc,2015,14.4245
syc,2019,13.48509
syr,2000,14.89124
syr,2010,12.56892
syr,2015,5.60896
syr,2019,10.65661
tcd,2000,73.48535
tcd,2010,69.33697
tcd,2015,65.6774
tcd,2019,63.44752
tgo,2000,63.57357
tgo,2010,56.59304
tgo,2015,51.94282
tgo,2019,48.56244
tha,2000,23.93472
tha,2010,16.12526
tha,2015,15.76054
tha,2019,13.90397
tjk,2000,38.48559
tjk,2010,22.30152
tjk,2015,20.93795
tjk,2019,19.49273
tkm,2000,22.52206
tkm,2010,19.50358
tkm,2015,22.85266
tkm,2019,21.95306
tls,2000,62.26469
tls,2010,45.14926
tls,2015,44.58487
tls,2019,40.05524
ton,2000,14.40031
ton,2010,13.3252
ton,2015,12.41291
ton,2019,11.08284
tto,2000,12.80809
