geo,time,sh_sta_suic_ma_p5
aus,2002,17.4
aus,2003,16.2
aus,2004,15.9
aus,2005,17.3
aus,2006,16.1
aus,2007,16.2
aus,2008,17.9
aus,2009,16.9
aus,2010,17.7
aus,2011,16.8
aus,2012,17.1
aus,2013,17
aus,2014,18.9
aus,2015,19.7
aus,2016,18
aus,2017,19.5
aus,2018,18.7
aus,2019,18.6
aut,2000,29.8
aut,2001,27.7
aut,2002,30.4
aut,2003,27.5
aut,2004,27.1
aut,2005,26.4
aut,2006,25.7
aut,2007,24.5
aut,2008,24.6
aut,2009,24.8
aut,2010,25.1
aut,2011,25.4
aut,2012,25.7
aut,2013,24.9
aut,2014,25.3
aut,2015,24.8
aut,2016,23.6
aut,2017,24.5
aut,2018,24.9
aut,2019,22.8
aze,2000,5.1
aze,2001,5.5
aze,2002,5.8
aze,2003,6
aze,2004,6.9
aze,2005,7.2
aze,2006,7.5
aze,2007,7.8
aze,2008,7.5
aze,2009,7.4
aze,2010,7.3
aze,2011,7.2
aze,2012,7
aze,2013,6.9
aze,2014,6.7
aze,2015,6.6
aze,2016,6.4
aze,2017,6.4
aze,2018,6.5
aze,2019,6.6
bdi,2000,16.6
bdi,2001,15
bdi,2002,14.1
bdi,2003,13.3
bdi,2004,12.6
bdi,2005,12.1
bdi,2006,12.2
bdi,2007,11.6
bdi,2008,11
bdi,2009,10.7
bdi,2010,10.6
bdi,2011,10.3
bdi,2012,10.1
bdi,2013,9.9
bdi,2014,9.4
bdi,2015,9.2
bdi,2016,9.2
bdi,2017,9.3
bdi,2018,9.3
bdi,2019,9.2
bel,2000,31.5
bel,2001,32.9
bel,2002,30.2
bel,2003,31.8
bel,2004,29.6
bel,2005,30.3
bel,2006,29
bel,2007,26.7
bel,2008,29.5
bel,2009,29.7
bel,2010,29.1
bel,2011,29.7
bel,2012,30.2
bel,2013,27.4
bel,2014,27
bel,2015,25.8
bel,2016,27.1
bel,2017,26.1
bel,2018,25.6
bel,2019,24.9
ben,2000,12.9
ben,2001,13.1
ben,2002,13.1
ben,2003,13
ben,2004,13.1
ben,2005,13
ben,2006,12.9
ben,2007,12.7
ben,2008,12.5
ben,2009,12.8
ben,2010,12.7
ben,2011,12.7
ben,2012,12.6
ben,2013,12.5
ben,2014,12.4
ben,2015,12.2
ben,2016,12.1
ben,2017,12
ben,2018,12
ben,2019,11.8
bfa,2000,11.9
bfa,2001,11.5
bfa,2002,11.2
bfa,2003,11.1
bfa,2004,11.2
bfa,2005,11.4
bfa,2006,11.5
bfa,2007,11.6
bfa,2008,11.5
bfa,2009,11.6
bfa,2010,11.9
bfa,2011,11.7
bfa,2012,12.4
bfa,2013,12.4
bfa,2014,12
bfa,2015,11.9
bfa,2016,11.8
bfa,2017,11.6
bfa,2018,11.6
bfa,2019,11.3
bgd,2000,8.7
bgd,2001,8
bgd,2002,7.5
bgd,2003,7.1
bgd,2004,6.8
bgd,2005,6.9
bgd,2006,7
bgd,2007,7
bgd,2008,6.8
bgd,2009,6.5
bgd,2010,6.3
bgd,2011,5.6
bgd,2012,5.1
bgd,2013,5
bgd,2014,5.1
bgd,2015,5
bgd,2016,5.1
bgd,2017,5.3
bgd,2018,5.5
bgd,2019,5.7
bgr,2000,26.8
bgr,2001,26.4
bgr,2002,26.9
bgr,2003,22.9
bgr,2004,21.7
bgr,2005,20.2
bgr,2006,21.2
bgr,2007,18.8
bgr,2008,20.1
bgr,2009,19.4
bgr,2010,19.2
bgr,2011,17.8
bgr,2012,19.9
bgr,2013,17.1
bgr,2014,16.3
bgr,2015,15.5
bgr,2016,15.1
bgr,2017,16.1
bgr,2018,15.4
bgr,2019,15.3
bhr,2000,9.8
bhr,2001,13.1
bhr,2002,13.5
bhr,2003,14.7
bhr,2004,14.6
bhr,2005,14.6
bhr,2006,11.3
bhr,2007,13.3
bhr,2008,12.7
bhr,2009,11.8
bhr,2010,11.3
bhr,2011,10.9
bhr,2012,10.3
bhr,2013,9.9
bhr,2014,10.4
bhr,2015,10.4
bhr,2016,10.9
bhr,2017,11.4
bhr,2018,12.1
bhr,2019,12.5
bhs,2000,3.6
bhs,2001,4.1
bhs,2002,3.8
bhs,2003,3.9
bhs,2004,5.2
bhs,2005,4.9
bhs,2006,5.6
bhs,2007,5.3
bhs,2008,5.5
bhs,2009,5.5
bhs,2010,6.1
bhs,2011,6.3
bhs,2012,6
bhs,2013,5.3
bhs,2014,5.7
bhs,2015,5.9
bhs,2016,6.2
bhs,2017,5.9
bhs,2018,6
bhs,2019,5.9
bih,2000,14.3
bih,2001,14.8
bih,2002,15.4
bih,2003,15.6
bih,2004,15.7
bih,2005,17.3
bih,2006,17
bih,2007,18.4
bih,2008,17.4
bih,2009,17.2
bih,2010,16.8
bih,2011,17.1
bih,2012,16.6
bih,2013,17
bih,2014,16.9
bih,2015,17
bih,2016,16.8
bih,2017,16.8
bih,2018,17.3
bih,2019,17.6
blr,2000,75.6
blr,2001,78.6
blr,2002,80.1
blr,2003,77.6
blr,2004,75.6
blr,2005,78.5
blr,2006,73.5
blr,2007,65.7
blr,2008,65.5
blr,2009,64.8
blr,2010,64.3
blr,2011,64.7
blr,2012,52.9
blr,2013,49.1
blr,2014,46.6
blr,2015,42.7
blr,2016,42.3
blr,2017,40.6
blr,2018,39.7
blr,2019,36.7
blz,2000,12.5
blz,2001,10.1
blz,2002,10.2
blz,2003,10.5
blz,2004,11.8
blz,2005,9.2
blz,2006,9.5
blz,2007,8.9
blz,2008,7.3
blz,2009,10.6
blz,2010,11.9
blz,2011,11.7
blz,2012,10.9
blz,2013,10.2
blz,2014,10.4
blz,2015,10.5
blz,2016,10.3
blz,2017,12.5
blz,2018,11.5
blz,2019,12.5
bol,2000,9
bol,2001,8.7
bol,2002,8.5
bol,2003,8.4
bol,2004,8.1
bol,2005,8
bol,2006,7.6
bol,2007,7.7
bol,2008,7.5
bol,2009,7.6
bol,2010,7.7
bol,2011,7.8
bol,2012,7.7
bol,2013,7.7
bol,2014,8
bol,2015,8.3
bol,2016,8.8
bol,2017,8.5
bol,2018,8.4
bol,2019,8.4
bra,2000,6.3
bra,2001,7
bra,2002,6.7
bra,2003,6.8
bra,2004,6.9
bra,2005,7.3
bra,2006,7.2
bra,2007,7.5
bra,2008,7.9
bra,2009,8
bra,2010,7.6
bra,2011,8
bra,2012,8.2
bra,2013,8.6
bra,2014,8.8
bra,2015,9.1
bra,2016,9.4
bra,2017,10.3
bra,2018,10.9
bra,2019,10.9
brb,2000,4.9
brb,2001,2.8
brb,2002,0.4
brb,2003,0.7
brb,2004,0.8
brb,2005,4.1
brb,2006,3.1
brb,2007,2.9
brb,2008,1.5
brb,2009,2.5
brb,2010,2.6
brb,2011,1.6
brb,2012,0.5
brb,2013,0.7
brb,2014,0.9
brb,2015,0.9
brb,2016,1
brb,2017,0.9
brb,2018,0.9
brb,2019,0.9
brn,2000,3.1
brn,2001,2.4
brn,2002,2.7
brn,2003,2.8
brn,2004,3
brn,2005,3.2
brn,2006,4.3
brn,2007,3.5
brn,2008,2.9
brn,2009,2.2
brn,2010,1.8
brn,2011,3.7
brn,2012,3.5
brn,2013,2.4
brn,2014,2.2
brn,2015,2.9
brn,2016,4.4
brn,2017,5.6
brn,2018,5.3
brn,2019,4.4
btn,2000,6.2
btn,2001,6.2
btn,2002,6
btn,2003,6.1
btn,2004,6
btn,2005,5.9
btn,2006,5.9
btn,2007,5.9
btn,2008,5.9
btn,2009,5.9
btn,2010,5.9
btn,2011,5.9
btn,2012,6
btn,2013,6.1
btn,2014,6.2
btn,2015,6.2
btn,2016,6.2
btn,2017,6.3
btn,2018,6.3
btn,2019,6.3
bwa,2000,53.3
bwa,2001,51.9
bwa,2002,49.2
bwa,2003,46.8
bwa,2004,48
bwa,2005,51.2
bwa,2006,48.8
bwa,2007,43.8
bwa,2008,43.2
bwa,2009,40.7
bwa,2010,41
bwa,2011,37.2
bwa,2012,37.8
bwa,2013,36.2
bwa,2014,31.4
bwa,2015,30.6
bwa,2016,28.5
bwa,2017,28.1
bwa,2018,28.3
bwa,2019,26.3
caf,2000,29
caf,2001,27
caf,2002,26.5
caf,2003,25
caf,2004,24
caf,2005,23.2
caf,2006,24.2
caf,2007,23.8
caf,2008,23.4
caf,2009,24.7
caf,2010,24.3
caf,2011,23.8
caf,2012,23
caf,2013,23.7
caf,2014,25.4
caf,2015,23.1
caf,2016,22.2
caf,2017,23.4
caf,2018,20.4
caf,2019,19.6
can,2000,18.3
can,2001,18.8
can,2002,18.4
can,2003,18.8
can,2004,17.4
can,2005,18.2
can,2006,16.9
can,2007,17
can,2008,17.1
can,2009,18.1
can,2010,17.8
can,2011,16.5
can,2012,17.5
can,2013,17.9
can,2014,18.7
can,2015,19.2
can,2016,17.6
can,2017,19.8
can,2018,17.9
can,2019,17.6
che,2000,28.4
che,2001,27.3
che,2002,28
che,2003,24.4
che,2004,24.6
che,2005,25.7
che,2006,24.5
che,2007,25.8
che,2008,24.3
che,2009,22.9
che,2010,19.9
che,2011,20.2
che,2012,20.3
che,2013,21
che,2014,19.8
che,2015,20.5
che,2016,19.8
che,2017,20.5
che,2018,20.1
che,2019,20.2
chl,2000,17.9
chl,2001,17.9
chl,2002,16.5
chl,2003,16.7
chl,2004,17.4
chl,2005,16.3
chl,2006,16.9
chl,2007,18
chl,2008,19.9
chl,2009,20.6
chl,2010,19.1
chl,2011,19.4
chl,2012,17.5
chl,2013,16.2
chl,2014,16.4
chl,2015,16
chl,2016,16.8
chl,2017,15.5
chl,2018,14.6
chl,2019,14.9
chn,2000,13.9
chn,2001,13
chn,2002,12.9
chn,2003,13.7
chn,2004,14.2
chn,2005,13.8
chn,2006,13
chn,2007,12.5
chn,2008,12.3
chn,2009,12
chn,2010,11.7
chn,2011,11
chn,2012,10.5
chn,2013,10.1
chn,2014,10
chn,2015,9.8
chn,2016,9.9
chn,2017,9.9
chn,2018,9.9
chn,2019,9.8
civ,2000,22.5
civ,2001,21.3
civ,2002,20.4
civ,2003,20.1
civ,2004,19.7
civ,2005,18.8
civ,2006,18.7
civ,2007,18.5
civ,2008,17.3
civ,2009,17.5
civ,2010,18.1
civ,2011,18.1
civ,2012,18.5
civ,2013,18.2
civ,2014,17.4
civ,2015,16.6
civ,2016,15.9
civ,2017,15.4
civ,2018,15
civ,2019,14.9
cmr,2000,15.6
cmr,2001,15.9
cmr,2002,15.6
cmr,2003,15.8
cmr,2004,15.7
cmr,2005,16.8
cmr,2006,17.3
cmr,2007,17
cmr,2008,16.7
cmr,2009,16.5
cmr,2010,16.1
cmr,2011,16.2
cmr,2012,16.2
cmr,2013,15.5
cmr,2014,14.8
cmr,2015,14.1
cmr,2016,13.9
cmr,2017,13.7
cmr,2018,13.5
cmr,2019,13.6
cod,2000,12.5
cod,2001,12.2
cod,2002,12.2
cod,2003,12.2
cod,2004,11.9
cod,2005,11.7
cod,2006,11.5
cod,2007,11.1
cod,2008,11.1
cod,2009,11.3
cod,2010,11.2
cod,2011,11.1
cod,2012,10.9
cod,2013,10.7
cod,2014,10.6
cod,2015,10.4
cod,2016,10.3
cod,2017,10.3
cod,2018,10.7
cod,2019,10.6
cog,2000,20.1
cog,2001,17.3
cog,2002,15.2
cog,2003,13.7
cog,2004,13.5
cog,2005,12.6
cog,2006,12.4
cog,2007,12
cog,2008,11.6
cog,2009,12
cog,2010,11.6
cog,2011,11.5
cog,2012,11.8
cog,2013,11
cog,2014,10.1
cog,2015,9.4
cog,2016,9.5
cog,2017,9.3
cog,2018,9.3
cog,2019,9.5
col,2000,7.5
col,2001,7.5
col,2002,7.1
col,2003,6.7
col,2004,6.8
col,2005,6.4
col,2006,6.4
col,2007,6.5
col,2008,6.6
col,2009,6.5
col,2010,6.2
col,2011,5.9
col,2012,6.2
col,2013,5.9
col,2014,6.2
col,2015,6.5
col,2016,6.9
col,2017,7.6
col,2018,6.4
col,2019,6.1
com,2000,8
com,2001,7.7
com,2002,7.4
com,2003,7.1
com,2004,6.8
com,2005,6.6
com,2006,6.6
com,2007,6.6
com,2008,6.8
com,2009,6.2
com,2010,7
com,2011,6.3
com,2012,6.6
com,2013,6.5
com,2014,7.1
com,2015,7.1
com,2016,7.1
com,2017,7
com,2018,6.9
com,2019,7
cpv,2000,19.7
cpv,2001,19.9
cpv,2002,20.5
cpv,2003,20.8
cpv,2004,21.5
cpv,2005,22.3
cpv,2006,21.9
cpv,2007,22.6
cpv,2008,23.3
cpv,2009,24.1
cpv,2010,24.7
cpv,2011,24.8
cpv,2012,24.8
cpv,2013,24.3
cpv,2014,23.8
cpv,2015,24
cpv,2016,23.9
cpv,2017,23.7
cpv,2018,22.2
cpv,2019,21.3
cri,2000,11.3
cri,2001,8.9
cri,2002,11.9
cri,2003,13
cri,2004,13.9
cri,2005,11.1
cri,2006,14.1
cri,2007,9.4
cri,2008,9.4
cri,2009,9.5
cri,2010,11.8
cri,2011,11.4
cri,2012,11.2
cri,2013,11.7
cri,2014,9.4
cri,2015,11.2
cri,2016,13
cri,2017,9.9
cri,2018,12.2
cri,2019,14.1
cub,2000,24.6
cub,2001,22.3
cub,2002,21.1
cub,2003,20.7
cub,2004,21
cub,2005,19.4
cub,2006,20.4
cub,2007,19.4
cub,2008,20
cub,2009,21.3
cub,2010,22.9
cub,2011,22.5
cub,2012,22.3
cub,2013,22.4
cub,2014,21.3
cub,2015,22.5
cub,2016,21.4
cub,2017,22.9
cub,2018,22.7
cub,2019,23
cyp,2000,2.8
cyp,2001,2.9
cyp,2002,3
cyp,2003,3.1
cyp,2004,1.3
cyp,2005,3.9
cyp,2006,4.7
cyp,2007,4.8
cyp,2008,9
cyp,2009,7.5
cyp,2010,8.4
cyp,2011,7.6
cyp,2012,9.9
cyp,2013,10.2
cyp,2014,7.6
cyp,2015,7.3
cyp,2016,8
cyp,2017,6.4
cyp,2018,6.6
cyp,2019,6
cze,2000,26.3
cze,2001,26.5
cze,2002,25
cze,2003,27.7
cze,2004,27.2
cze,2005,26.3
cze,2006,23.9
cze,2007,24
cze,2008,23.4
cze,2009,25.5
cze,2010,25.4
cze,2011,27.4
cze,2012,28.2
cze,2013,26.1
cze,2014,24.1
cze,2015,22.5
cze,2016,21.2
cze,2017,22.4
cze,2018,22.3
cze,2019,19.8
deu,2000,21.7
deu,2001,21.7
deu,2002,21.5
deu,2003,21.4
deu,2004,21.1
deu,2005,19.9
deu,2006,19.2
deu,2007,18.7
deu,2008,19
deu,2009,19.4
deu,2010,20
deu,2011,20
deu,2012,18.9
deu,2013,19.9
deu,2014,20.1
deu,2015,19.5
deu,2016,19.4
deu,2017,18.8
deu,2018,19.2
deu,2019,18.6
dji,2000,9.6
dji,2001,9.3
dji,2002,9.7
dji,2003,9.8
dji,2004,10
dji,2005,10
dji,2006,10
dji,2007,9.8
dji,2008,9.9
dji,2009,10
dji,2010,10.5
dji,2011,10.9
dji,2012,11.2
dji,2013,11.6
dji,2014,11.9
dji,2015,11.6
dji,2016,12.1
dji,2017,12.7
dji,2018,12.6
dji,2019,12.6
dnk,2000,22.6
dnk,2001,21.8
dnk,2002,20.5
dnk,2003,19.6
dnk,2004,19
dnk,2005,20.3
dnk,2006,20.2
dnk,2007,16.5
dnk,2008,17.3
dnk,2009,19.3
dnk,2010,16.5
dnk,2011,18.1
dnk,2012,18.8
dnk,2013,17.4
dnk,2014,17.3
dnk,2015,14.7
dnk,2016,15.7
dnk,2017,15.6
dnk,2018,15.8
dnk,2019,14.9
dom,2000,6.5
dom,2001,6.4
dom,2002,6.6
dom,2003,7.2
dom,2004,7.2
dom,2005,7.6
dom,2006,7.8
dom,2007,7.9
dom,2008,7.9
dom,2009,8
dom,2010,7.7
dom,2011,8
dom,2012,8.5
dom,2013,9
dom,2014,9.9
dom,2015,10.4
dom,2016,10.4
dom,2017,9.2
dom,2018,8.5
dom,2019,8
dza,2000,5.6
dza,2001,5.6
dza,2002,5.5
dza,2003,5.1
dza,2004,5
dza,2005,4.8
dza,2006,4.7
dza,2007,4.4
dza,2008,4.3
dza,2009,4
dza,2010,3.8
dza,2011,3.7
dza,2012,3.7
dza,2013,3.6
dza,2014,3.5
dza,2015,3.4
dza,2016,3.2
dza,2017,3.1
dza,2018,3.1
dza,2019,3.1
ecu,2000,8.5
ecu,2001,9.2
ecu,2002,10.7
ecu,2003,11.7
ecu,2004,12.4
ecu,2005,14
ecu,2006,14
ecu,2007,14.7
ecu,2008,15.4
ecu,2009,15.3
ecu,2010,14.3
ecu,2011,14.3
ecu,2012,15
ecu,2013,14.2
ecu,2014,13
ecu,2015,13.3
ecu,2016,13.6
ecu,2017,14.1
ecu,2018,12.2
ecu,2019,11.6
egy,2000,3.8
egy,2001,3.9
egy,2002,3.9
egy,2003,3.9
egy,2004,3.9
egy,2005,3.9
egy,2006,3.9
egy,2007,3.9
egy,2008,4
egy,2009,4.1
egy,2010,4.1
egy,2011,4.5
egy,2012,4.6
egy,2013,4.6
egy,2014,4.4
egy,2015,4.4
egy,2016,4.3
egy,2017,4
egy,2018,3.9
egy,2019,4
eri,2000,22.9
eri,2001,22.1
eri,2002,21.6
eri,2003,20.2
eri,2004,20.4
eri,2005,20.4
eri,2006,20.5
eri,2007,20.1
eri,2008,20.4
eri,2009,19.9
eri,2010,19.5
eri,2011,19.2
eri,2012,18.8
eri,2013,18.4
eri,2014,18
eri,2015,17.8
eri,2016,17.5
eri,2017,17.3
eri,2018,17.2
eri,2019,16.6
esp,2000,13.2
esp,2001,12.4
esp,2002,12.8
esp,2003,13
esp,2004,12.9
esp,2005,12.2
esp,2006,11.6
esp,2007,11.2
esp,2008,12
esp,2009,11.8
esp,2010,10.9
esp,2011,10.8
esp,2012,11.9
esp,2013,12.8
esp,2014,12.9
esp,2015,11.8
esp,2016,11.8
esp,2017,12.2
esp,2018,11.6
esp,2019,11.4
est,2000,48
est,2001,51.4
est,2002,51.2
est,2003,45.9
est,2004,46.9
est,2005,39.2
est,2006,34.8
est,2007,37.8
est,2008,32.8
est,2009,41.7
est,2010,32.7
est,2011,32.3
est,2012,36.5
est,2013,32.4
est,2014,33.7
est,2015,27.9
est,2016,26.5
est,2017,30.7
est,2018,24.6
est,2019,24.3
eth,2000,13.3
eth,2001,12.5
eth,2002,12
eth,2003,11.5
eth,2004,11.1
eth,2005,10.7
eth,2006,10.5
eth,2007,10.4
eth,2008,10.3
eth,2009,10
eth,2010,9.7
eth,2011,9.3
eth,2012,8.6
eth,2013,8.1
eth,2014,7.8
eth,2015,7.9
eth,2016,7.8
eth,2017,7.7
eth,2018,7.7
eth,2019,7.7
fin,2000,37
fin,2001,38
fin,2002,33.6
fin,2003,33.4
fin,2004,33.2
fin,2005,29.5
fin,2006,32
fin,2007,30.2
fin,2008,32.1
fin,2009,30.3
fin,2010,28.2
fin,2011,28
fin,2012,25.8
fin,2013,26
fin,2014,23.6
fin,2015,21.7
fin,2016,23.8
fin,2017,23.4
fin,2018,24.6
fin,2019,23.2
fji,2000,13.3
fji,2001,13.2
fji,2002,12.6
fji,2003,12.1
fji,2004,11.8
fji,2005,12.4
fji,2006,12.3
fji,2007,12.8
fji,2008,12.8
fji,2009,12.8
fji,2010,12.9
fji,2011,13.5
fji,2012,13.8
fji,2013,13.9
fji,2014,13.4
fji,2015,13
fji,2016,13
fji,2017,12.7
fji,2018,12.5
fji,2019,12.2
fra,2000,29.2
fra,2001,28.1
fra,2002,28.2
fra,2003,29.2
fra,2004,28
fra,2005,27.7
fra,2006,26.8
fra,2007,26
fra,2008,26.7
fra,2009,27
fra,2010,26.5
fra,2011,26.6
fra,2012,26.4
fra,2013,25
fra,2014,22.9
fra,2015,23.7
fra,2016,22.3
fra,2017,21.7
fra,2018,21.1
fra,2019,20.4
fsm,2000,36.3
fsm,2001,35.5
fsm,2002,34.5
fsm,2003,34.7
fsm,2004,36.4
fsm,2005,37.6
fsm,2006,37.6
fsm,2007,37.4
fsm,2008,37.5
fsm,2009,37.6
fsm,2010,37.5
fsm,2011,38.6
fsm,2012,39.1
fsm,2013,39.1
fsm,2014,39.5
fsm,2015,41.3
fsm,2016,41.4
fsm,2017,42.6
fsm,2018,43.3
fsm,2019,43.2
gab,2000,20.7
gab,2001,19.4
gab,2002,18
gab,2003,17.6
gab,2004,16.1
gab,2005,16.4
gab,2006,16.5
gab,2007,16.5
gab,2008,18
gab,2009,16.5
gab,2010,16.4
gab,2011,16.5
gab,2012,15
gab,2013,14.6
gab,2014,16.3
gab,2015,16
gab,2016,15.5
gab,2017,14.8
gab,2018,14.6
gab,2019,14.2
gbr,2000,13
gbr,2001,12.9
gbr,2002,12.6
gbr,2003,11.9
gbr,2004,12.2
gbr,2005,11.8
gbr,2006,12
gbr,2007,11.7
gbr,2008,12.6
gbr,2009,12.5
gbr,2010,12.1
gbr,2011,12.8
gbr,2012,13
gbr,2013,14
gbr,2014,13.4
gbr,2015,13.4
gbr,2016,13
gbr,2017,12.5
gbr,2018,12.2
gbr,2019,11.8
geo,2000,12.5
geo,2001,11.4
geo,2002,13.6
geo,2003,10.5
geo,2004,12.2
geo,2005,10.2
geo,2006,10.3
geo,2007,10.1
geo,2008,12.7
geo,2009,14
geo,2010,14.2
geo,2011,14.8
geo,2012,16
geo,2013,17
geo,2014,17.7
geo,2015,18.1
geo,2016,18.6
geo,2017,16.7
geo,2018,16.3
geo,2019,16
gha,2000,8.9
gha,2001,9.6
gha,2002,10.1
gha,2003,10.7
gha,2004,11.2
gha,2005,11.6
gha,2006,12
gha,2007,12.2
gha,2008,12.8
gha,2009,13.1
gha,2010,13.6
gha,2011,13.6
gha,2012,13.7
gha,2013,13.6
gha,2014,13.3
gha,2015,13
gha,2016,12.9
gha,2017,12.5
gha,2018,11.9
gha,2019,11.8
gin,2000,7
gin,2001,7.1
gin,2002,7.3
gin,2003,7.4
gin,2004,7.5
gin,2005,7.3
gin,2006,7.8
gin,2007,8.3
gin,2008,8.4
gin,2009,8.4
gin,2010,8.9
gin,2011,9.2
gin,2012,9.4
gin,2013,9.7
gin,2014,9.5
gin,2015,9.5
gin,2016,9.3
gin,2017,9
gin,2018,9
gin,2019,9.2
gmb,2000,7.6
gmb,2001,7.7
gmb,2002,7.9
gmb,2003,7.9
gmb,2004,8.1
gmb,2005,8
gmb,2006,7.8
gmb,2007,7.7
gmb,2008,7.7
gmb,2009,7.4
gmb,2010,7.2
gmb,2011,7.4
gmb,2012,7.2
gmb,2013,7.1
gmb,2014,7.1
gmb,2015,6.9
gmb,2016,6.7
gmb,2017,6.8
gmb,2018,6.6
gmb,2019,6.6
gnb,2000,14.3
gnb,2001,14
gnb,2002,13.6
gnb,2003,13.2
gnb,2004,13.1
gnb,2005,12.6
gnb,2006,12.5
gnb,2007,12.4
gnb,2008,12.5
gnb,2009,12.7
gnb,2010,12.4
gnb,2011,12.1
gnb,2012,11.9
gnb,2013,11.9
gnb,2014,11.4
gnb,2015,10.5
gnb,2016,10.7
gnb,2017,10.7
gnb,2018,10.7
gnb,2019,10.2
gnq,2000,19.4
gnq,2001,17.2
gnq,2002,14.9
gnq,2003,14.1
gnq,2004,13.2
gnq,2005,12.3
gnq,2006,12.2
gnq,2007,11.8
gnq,2008,11.1
gnq,2009,10.6
gnq,2010,12.7
gnq,2011,15
gnq,2012,13.3
gnq,2013,10.7
gnq,2014,11
gnq,2015,11.9
gnq,2016,11.4
gnq,2017,9.4
gnq,2018,10.4
gnq,2019,9.4
grc,2000,5.4
grc,2001,5.3
grc,2002,4.7
grc,2003,5.4
grc,2004,5.1
grc,2005,6
grc,2006,6.1
grc,2007,5
grc,2008,5.7
grc,2009,6.2
grc,2010,6.3
grc,2011,7.3
grc,2012,8
grc,2013,8.1
grc,2014,8.6
grc,2015,8.2
grc,2016,7.9
grc,2017,8.3
grc,2018,8.3
grc,2019,8.4
grd,2000,3.3
grd,2001,0
grd,2002,6
grd,2003,4.3
grd,2004,8.5
grd,2005,5.6
grd,2006,8.8
grd,2007,3.3
grd,2008,4.1
grd,2009,1.5
grd,2010,1.9
grd,2011,3.4
grd,2012,2.8
grd,2013,1.8
grd,2014,0
grd,2015,0.9
grd,2016,0.9
grd,2017,0.8
grd,2018,0
grd,2019,0.6
gtm,2000,17.2
gtm,2001,18
gtm,2002,17.4
gtm,2003,17.9
gtm,2004,18.2
gtm,2005,19
gtm,2006,17.9
gtm,2007,13.3
gtm,2008,12.9
gtm,2009,12.5
gtm,2010,11.5
gtm,2011,10.3
gtm,2012,9.4
gtm,2013,9
gtm,2014,8.8
gtm,2015,8.9
gtm,2016,8.7
gtm,2017,8.6
gtm,2018,9.4
gtm,2019,9.4
guy,2000,49.1
guy,2001,54.6
guy,2002,55.4
guy,2003,50.8
guy,2004,50.3
guy,2005,47.7
guy,2006,46.7
guy,2007,47.3
guy,2008,46
guy,2009,47.5
guy,2010,51.7
guy,2011,51
guy,2012,54.6
guy,2013,59.3
guy,2014,60.6
guy,2015,58.5
guy,2016,59.3
guy,2017,60.1
guy,2018,61.6
guy,2019,63
hnd,2000,3.4
hnd,2001,3.4
hnd,2002,3.4
hnd,2003,3.5
